漢字	IPA	注釋
鼓	ku7	～□lu⁷（嘴）：漱口
枯	kʰu1	
箍	kʰu1	桶～。名詞。《集韻》空胡切
□	kʰu1	啃，咬去皮
苦	kʰu3	
庫	kʰu5	
褲	kʰu5	
哭	kʰu7	
酷	kʰu7	
殼	kʰu7	
□	kʰu7	～笪：簟
吳	ŋu2	
蜈	ŋu2	新讀
吾	ŋu2	
梧	ŋu2	
五	ŋu3	
午	ŋu3	
□	ŋu5	物體互相搭連,聯繫極不緊密
□	ŋu5	頑固,死性子
呼	hu1	
敷	hu1	
麩	hu1	
烌	hu1	灰燼
夫	hu1	（文讀）～人
胡	hu2	
湖	hu2	
糊	hu2	（文讀）～塗
醐	hu2	
蝴	hu2	
葫	hu2	
胡	hu2	
扶	hu2	
芙	hu2	
弧	hu2	
狐	hu2	
壺	hu2	
和	hu2	～牌
符	hu2	
俘	hu2	
浮	hu2	（文讀）～誇
匏	hu2	（文讀）
豪	hu2	（文讀）～豺：刺蝟
虎	hu3	
府	hu3	
俯	hu3	
腑	hu3	
滸	hu3	
輔	hu3	
釜	hu3	
斧	hu3	（文讀）～正
腐	hu3	～敗。新讀
父	hu4	
戶	hu4	
滬	hu4	
伏	hu4	
袱	hu4	
斛	hu4	
服	hu4	
負	hu4	
婦	hu4	（文讀）～女
雨	hu4	（白讀）落～：下雨
富	hu5	
護	hu5	
攙	hu5	
扶	hu5	
付	hu5	
附	hu5	
咐	hu5	
赴	hu5	來伓～：來不及
訃	hu5	
互	hu5	
阜	hu5	
埠	hu5	
傅	hu5	
腐	hu5	豆～
孵	hu5	（文讀）～化
福	hu7	
幅	hu7	
蝠	hu7	
複	hu7	
馥	hu7	
腹	hu7	（文讀）心～
覆	hu7	（文讀）反～
巫	u1	
誣	u1	
烏	u1	色黑
塢	u1	
菇	u1	（白讀）
無	u2	（文讀）～所謂
盂	u2	（白讀）桶～：大澡盆
舞	u3	
伍	u3	
武	u3	
鵡	u3	
侮	u3	
撫	u3	
□	u4	扔，甩
□	u4	發～子：打嗝
務	u5	
霧	u5	（文讀）噴～器
誤	u5	
芋	u5	
悟	u5	
惡	u5	可～
屋	u7	
握	u7	（文讀）～手
沃	u7	（白讀）澆灌
除	ty2	
廚	ty2	
櫥	ty2	
拄	ty3	（白讀）頂住
宙	ty4	
軸	ty4	
朮	ty4	白～
箸	ty5	筷子
住	ty5	（白讀）～人
竹	ty7	
鋤	tʰy2	
柱	tʰy4	（白讀）柱子
逐	tʰy4	驅趕。跟從
畜	tʰy7	～生
驢	ly2	
□	ly2	潤滑。～倒：滑倒。一種在山地運送木材的木橇
呂	ly3	
鋁	ly3	
旅	ly3	
屢	ly3	
縷	ly3	
褸	ly3	
六	ly4	
陸	ly4	
綠	ly4	
錄	ly4	
□	ly4	～□œ³～□tsõ⁵：髒兮兮
慮	ly5	
濾	ly5	
鑢	ly5	割
□	ly7	休克
朱	tʃy1	
珠	tʃy1	
株	tʃy1	
誅	tʃy1	
侏	tʃy1	
硃	tʃy1	
蛛	tʃy1	
茱	tʃy1	
豬	tʃy1	
諸	tʃy1	
儲	tʃy1	誤讀
徐	tʃy2	
主	tʃy3	
煮	tʃy3	
阻	tʃy3	
聚	tʃy4	
集	tʃy4	
注	tʃy5	
注	tʃy5	
蛀	tʃy5	
駐	tʃy5	
住	tʃy5	（文讀）～院
柱	tʃy5	（文讀）中流砥～
拄	tʃy5	（文讀）～拐
著	tʃy5	名～
鑄	tʃy5	
足	tʃy7	
祝	tʃy7	
燭	tʃy7	
囑	tʃy7	
粥	tʃy7	
蛆	tʃʰy1	
趨	tʃʰy1	
□	tʃʰy1	動形兩用，滑
鼠	tʃʰy3	
暑	tʃʰy3	
處	tʃʰy3	～理
取	tʃʰy3	（文讀）～笑
娶	tʃʰy3	（文讀）～妻生子
趣	tʃʰy5	舒服。無～：沒面子
樹	tʃʰy5	（白讀）桃～
處	tʃʰy5	（文讀）～所
促	tʃʰy7	
粟	tʃʰy7	（白讀）稻穀
書	ʃy1	
虛	ʃy1	
墟	ʃy1	
噓	ʃy1	
舒	ʃy1	
須	ʃy1	何～
須	ʃy1	（文讀）鬍～
需	ʃy1	
籲	ʃy1	
輸	ʃy1	
殊	ʃy2	番～：甘薯。通作“薯＂。《廣韻》署魚切①秋穀裕幸《福建石陂方言音系》，《方言》2004年第1期，第81頁。又北京大學中國語言文學系語言學教研室編《漢語方音字彙》（第二版重排本），北京：語文出版社，2003年，第123頁。
徐	ʃy2	新讀
許	ʃy3	
杵	ʃy3	誤讀
熟	ʃy4	
孰	ʃy4	
塾	ʃy4	
序	ʃy4	
緒	ʃy4	
敘	ʃy4	②“緒敘、絮、戌＂分別或讀sy⁴、sy⁵、sy⁷。
俗	ʃy4	
蜀	ʃy4	
屬	ʃy4	
續	ʃy4	
贖	ʃy4	
□	ʃy4	無事（～）：無恙
豎	ʃy5	
恕	ʃy5	
署	ʃy5	
曙	ʃy5	
庶	ʃy5	
叔	ʃy5	唵～：叔叔
樹	ʃy5	（文讀）～立
絮	ʃy5	
□	ʃy5	□tɯ⁵～：囉嗦
肅	ʃy7	
黍	ʃy7	
戌	ʃy7	
戍	ʃy7	
夙	ʃy7	
菽	ʃy7	
淑	ʃy7	
叔	ʃy7	～伯兄弟：堂兄弟
粟	ʃy7	（文讀）包～：玉米
畜	ʃy7	～牧
蓄	ʃy7	
蓿	ʃy7	
宿	ʃy7	入～：（雞鴨等）進窩
居	ky1	
裾	ky1	
車	ky1	～馬炮
拘	ky1	
駒	ky1	
渠	ky2	
葵	ky2	
瞿	ky2	
衢	ky2	
舉	ky3	
矩	ky3	
巨	ky4	
拒	ky4	
距	ky4	
具	ky4	
俱	ky4	
懼	ky4	
局	ky4	
劇	ky4	～烈
劇	ky4	電視～。新讀
𠍲	ky4	第三人稱代詞。或作“佢＂
句	ky5	
據	ky5	
鋸	ky5	
菊	ky7	
鞠	ky7	
掬	ky7	
舉	ky7	引水上流。築
區	kʰy1	
驅	kʰy1	
軀	kʰy1	
嶇	kʰy1	
嬉	kʰy1	（白讀）玩兒
丘	kʰy1	（白讀）兩～田
□	kʰy2	笨拙，傻
臼	kʰy4	
去	kʰy5	（文讀）～聲
曲	kʰy7	
曲	kʰy7	
□	ŋy1	（房子）歪，傾斜
魚	ŋy2	
漁	ŋy2	
娛	ŋy2	
蜈	ŋy2	
愚	ŋy2	
虞	ŋy2	
女	ŋy3	
語	ŋy3	
肉	ŋy4	
玉	ŋy4	
獄	ŋy4	
遇	ŋy5	
寓	ŋy5	
禦	ŋy5	
禦	ŋy5	
□	ŋy7	折，弄彎；扭傷
淤	y1	
餘	y2	
餘	y2	
於	y2	
於	y2	
盂	y2	（文讀）痰～
如	y2	
俞	y2	
榆	y2	
愉	y2	
儒	y2	（文讀）～家
與	y3	
嶼	y3	讀同“與＂
宇	y3	
羽	y3	
禹	y3	
乳	y3	
汝	y3	
雨	y3	（文讀）穀～
浴	y4	
欲	y4	
育	y4	
辱	y4	
媷	y4	
褥	y4	
裕	y5	
譽	y5	
預	y5	
豫	y5	
喻	y5	
愈	y5	讀同“喻＂
□	y5	掩蓋（火種等）
鬱	y7	
鬱	y7	
巴	pa1	
芭	pa1	
疤	pa1	
粑	pa1	
吧	pa1	酒～
叭	pa1	
爬	pa2	
鈀	pa2	～子
琶	pa2	
扒	pa2	
把	pa3	
靶	pa3	
