漢字	IPA	注釋
舵	tɯ4	
惰	tɯ4	
鐸	tɯ4	
擇	tɯ4	（白讀）挑選
墮	tɯ4	
到	tɯ5	
倒	tɯ5	～水
導	tɯ5	
剁	tɯ5	
□	tɯ5	～□ʃy⁵：囉嗦
琢	tɯ7	
啄	tɯ7	（文讀）
□	tɯ7	妨害
□	tɯ7	把物體鬥在一塊兒
滔	tʰɯ1	
縚	tʰɯ1	絛子
叨	tʰɯ1	
拖	tʰɯ1	（文讀）
桃	tʰɯ2	
討	tʰɯ3	
妥	tʰɯ3	
套	tʰɯ5	
唾	tʰɯ5	
托	tʰɯ7	
托	tʰɯ7	
□	tʰɯ7	陡
蹂	lɯ1	踩，踏
□	lɯ1	焦
羅	lɯ2	
蘿	lɯ2	
籮	lɯ2	（文讀）杉～（盆）：臉盆
囉	lɯ2	
鑼	lɯ2	
邏	lɯ2	尋找，巡邏
牢	lɯ2	
勞	lɯ2	
嘮	lɯ2	
癆	lɯ2	
嶗	lɯ2	
騾	lɯ2	
捼	lɯ2	搓動。《集韻》奴禾切，兩手相切摩也
□	lɯ2	～鴉：烏鴉
腦	lɯ3	
惱	lɯ3	
老	lɯ3	～倽：老人。不嫩
佬	lɯ3	
落	lɯ4	
洛	lɯ4	
駱	lɯ4	
諾	lɯ4	
樂	lɯ4	快～
糯	lɯ5	
懦	lɯ5	
□	lɯ5	呆滯
□	lɯ5	大桿秤。用大桿秤稱
□	lɯ5	～命：糊口
絡	lɯ7	套住。手～：袖套
酪	lɯ7	
珞	lɯ7	
遭	tsɯ1	
糟	tsɯ1	（文讀）～糕
曹	tsɯ2	
槽	tsɯ2	
嘈	tsɯ2	～人：煩人
左	tsɯ3	
佐	tsɯ3	
早	tsɯ3	
棗	tsɯ3	
蚤	tsɯ3	
澡	tsɯ3	
座	tsɯ4	
坐	tsɯ4	（文讀）～標
鑿	tsɯ4	（文讀）確～
做	tsɯ5	
造	tsɯ5	
作	tsɯ5	～業
作	tsɯ7	～水：圍攏蓄水。生事
搓	tsʰɯ1	
操	tsʰɯ1	體～
臊	tsʰɯ1	
鱢	tsʰɯ1	腥臭
草	tsʰɯ3	
□	tsʰɯ3	毛重
糙	tsʰɯ5	
躁	tsʰɯ5	
操	tsʰɯ5	曹～
錯	tsʰɯ5	擦拭。《廣韻》倉故切
措	tsʰɯ7	
錯	tsʰɯ7	錯誤。《廣韻》倉各切
騷	sɯ1	
唆	sɯ1	
梭	sɯ1	
蓑	sɯ1	
鎖	sɯ3	
瑣	sɯ3	
嫂	sɯ3	
燥	sɯ5	滲透，使幹
索	sɯ7	繩子
朔	sɯ7	節～：節氣
率	sɯ7	～領
蟀	sɯ7	
妁	sɯ7	
爍	sɯ7	
縮	sɯ7	（文讀）收～
招	tʃɯ1	
昭	tʃɯ1	
沼	tʃɯ3	
濁	tʃɯ4	
鐲	tʃɯ4	
碩	tʃɯ4	
石	tʃɯ4	十鬥
□	tʃɯ4	頻繁
照	tʃɯ5	
詔	tʃɯ5	
桌	tʃɯ7	
卓	tʃɯ7	
綽	tʃɯ7	
勺	tʃɯ7	《廣韻》之若切
芍	tʃɯ7	
灼	tʃɯ7	
酌	tʃɯ7	
著	tʃɯ7	～實
炙	tʃɯ7	～火：烤火籠
招	tʃɯ7	煊耀，引誘
燒	tʃʰɯ1	
蓆	tʃʰɯ4	（白讀）草席
笑	tʃʰɯ5	（白讀）好～
處	tʃʰɯ5	（白讀）房子；家。一般作“厝＂①鄭張尚芳《由音韻地位比較來考定一些吳閩方言詞的本字》，漢語方言學會年會論文，1991年。另參潘悟雲《溫、處方言和閩語》，收於潘悟雲《著名中年語言學家自選集•潘悟雲卷》，合肥：安徽教育出版社，2002年，第99-100頁。房屋作“厝＂字，以黃典誠《閩語作房屋解的“厝＂字》為代表，中國語言學會昆明年會論文，1985年。收於黃典誠《黃典誠語言學論文集》，廈門大學出版社，2003年，第195-200頁。
剉	tʃʰɯ5	
尺	tʃʰɯ7	
確	tʃʰɯ7	的～涼：一種布料。新讀
□	tʃʰɯ7	拾，撿
靴	ʃɯ1	
少	ʃɯ3	多～
少	ʃɯ5	年～
哥	kɯ1	
歌	kɯ1	
高	kɯ1	
篙	kɯ1	
羔	kɯ1	
糕	kɯ1	
膏	kɯ1	
鍋	kɯ1	
戈	kɯ1	（文讀）
□	kɯ1	～□mɯ¹：奇怪，怪異
籇	kɯ2	一種用小竹筒製成的捕鼠器具
果	kɯ3	
稿	kɯ3	
犒	kɯ3	
裹	kɯ3	（文讀）包～
過	kɯ5	
告	kɯ5	
誥	kɯ5	
個	kɯ5	（文讀）～人
各	kɯ7	
閣	kɯ7	
鴿	kɯ7	
擱	kɯ7	
郭	kɯ7	
廓	kɯ7	
佮	kɯ7	拼湊，縫合
□	kɯ7	洋～：大青蛙
□	kɯ7	無～落：不合群；關係不好
科	kʰɯ1	
柯	kʰɯ1	
棵	kʰɯ1	
顆	kʰɯ1	
窠	kʰɯ1	山坳
□	kʰɯ2	敲，打
考	kʰɯ3	（白讀）～書：考試
栲	kʰɯ3	
拷	kʰɯ3	
可	kʰɯ3	（文讀）～以
坷	kʰɯ3	放（水），俗作此
炣	kʰɯ3	燒（湯）
□	kʰɯ4	倒去
課	kʰɯ5	
去	kʰɯ5	（白讀）～厝：回家
擴	kʰɯ7	
郝	kʰɯ7	
確	kʰɯ7	
磕	kʰɯ7	
霍	kʰɯ7	
藿	kʰɯ7	
格	kʰɯ7	（白讀）～子
俄	ŋɯ2	
蛾	ŋɯ2	
峨	ŋɯ2	
鵝	ŋɯ2	（文讀）天～
敖	ŋɯ2	
熬	ŋɯ2	（文讀）～油
遨	ŋɯ2	
訛	ŋɯ2	
我	ŋɯ3	（文讀）～們
樂	ŋɯ4	音～
餓	ŋɯ5	
臥	ŋɯ5	（文讀）～龍
教	hɯ1	～書
何	hɯ2	（文讀）～必
河	hɯ2	（文讀）～北
荷	hɯ2	～花
禾	hɯ2	（文讀）鋤～日當午
和	hɯ2	
號	hɯ2	～哭
豪	hɯ2	（文讀）自～
蠔	hɯ2	
壕	hɯ2	
毫	hɯ2	
好	hɯ3	～壞
夥	hɯ3	（文讀）有～隊：有伴兒
合	hɯ4	
盒	hɯ4	
喝	hɯ4	
禍	hɯ4	
鶴	hɯ4	
賀	hɯ5	
貨	hɯ5	（文讀）百～
好	hɯ5	愛～
號	hɯ5	～數
浩	hɯ5	
皓	hɯ5	
耗	hɯ5	
荷	hɯ5	薄～
闔	hɯ7	
窩	ɯ1	
萵	ɯ1	
臥	ɯ2	（白讀）～遘日晝：睡到中午
襖	ɯ3	
學	ɯ4	（白讀）～手藝
奧	ɯ5	
懊	ɯ5	
澳	ɯ5	
□	ɯ5	咳嗽
□	ɯ5	爭搶；霸佔
萼	ɯ7	
鄂	ɯ7	
顎	ɯ7	
鍔	ɯ7	
鱷	ɯ7	
諤	ɯ7	
握	ɯ7	（白讀）把～
沃	ɯ7	（文讀）肥～
惡	ɯ7	作～：作孽。乖巧。此為反義相訓
□	ɯ7	～婢：婢女
標	piɯ1	坐～
鏢	piɯ1	
飆	piɯ1	
彪	piɯ1	
表	piɯ3	
表	piɯ3	
裱	piɯ3	
婊	piɯ3	
標	pʰiɯ1	用於人名等。《集韻》紕招切
飄	pʰiɯ1	
漂	pʰiɯ1	～泊
瓢	pʰiɯ2	
嫖	pʰiɯ2	
薸	pʰiɯ2	浮萍
票	pʰiɯ5	
漂	pʰiɯ5	～亮
苗	miɯ2	
描	miɯ2	
瞄	miɯ2	
貓	miɯ2	（文讀）熊～
秒	miɯ3	
渺	miɯ3	
藐	miɯ3	
妙	miɯ5	
廟	miɯ5	
繆	miɯ5	
謬	miɯ5	
醪	miɯ5	
刁	tiɯ1	
焦	tiɯ1	（白讀）乾燥。通作“燋＂
朝	tiɯ1	今～：今天
貂	tiɯ1	
凋	tiɯ1	
雕	tiɯ1	大～：鳥名
潮	tiɯ2	
朝	tiɯ2	～代
調	tiɯ2	～理
跳	tiɯ2	～溪：投水自盡。《廣韻》徒聊切
趙	tiɯ4	
肇	tiɯ4	
著	tiɯ4	碰～
兆	tiɯ4	～頭：德性
釣	tiɯ5	
調	tiɯ5	音～，～動
墿	tiɯ5	路
吊	tiɯ5	（文讀）～動機：起重機
召	tiɯ5	
超	tʰiɯ1	
挑	tʰiɯ1	～擔
迢	tʰiɯ2	
挑	tʰiɯ3	～撥
窕	tʰiɯ3	
跳	tʰiɯ5	
糶	tʰiɯ5	
撩	liɯ1	
聊	liɯ2	
遼	liɯ2	
療	liɯ2	
燎	liɯ2	
膫	liɯ2	豨～油：板油
寮	liɯ2	（文讀）
了	liɯ3	（文讀）～結
了	liɯ3	～解
略	liɯ4	
掠	liɯ4	
料	liɯ5	
尿	liɯ5	（文讀）～素
椒	tʃiɯ1	
焦	tʃiɯ1	（文讀）
蕉	tʃiɯ1	
礁	tʃiɯ1	
樵	tʃiɯ1	（文讀）～夫。讀同“焦＂
□	tʃiɯ1	～料：作料
□	tʃiɯ2	豨～：未生育的母豬
剿	tʃiɯ3	
嚼	tʃiɯ4	
醮	tʃiɯ5	～：打醮
借	tʃiɯ7	《廣韻》資昔切
酌	tʃiɯ7	斟～：較真
鍬	tʃʰiɯ1	
悄	tʃʰiɯ1	
俏	tʃʰiɯ5	
□	tʃʰiɯ5	鋪墊
爵	tʃʰiɯ7	
鵲	tʃʰiɯ7	
雀	tʃʰiɯ7	（文讀）孔～
惜	tʃʰiɯ7	（白讀）疼愛。撫摸（貓背等）
肖	ʃiɯ1	姓
消	ʃiɯ1	
硝	ʃiɯ1	
銷	ʃiɯ1	
宵	ʃiɯ1	
霄	ʃiɯ1	
蕭	ʃiɯ1	
簫	ʃiɯ1	
囂	ʃiɯ1	
泅	ʃiɯ2	～水：游泳
□	ʃiɯ2	山～：地名，書面形式爲“山汆＂
小	ʃiɯ3	
曉	ʃiɯ3	懂，～理：領會（常指誤會）
石	ʃiɯ4	（白讀）～頭
紹	ʃiɯ5	
邵	ʃiɯ5	
韶	ʃiɯ5	誤讀
笑	ʃiɯ5	（文讀）取～
肖	ʃiɯ5	屬（生肖）
鞘	ʃiɯ5	刀～。閂；栓
□	ʃiɯ5	撥灑（水）
削	ʃiɯ7	（文讀）剝～
嗽	ʃiɯ7	吸。《廣韻》所角切
驕	kiɯ1	
嬌	kiɯ1	（文讀）～小
橋	kiɯ2	
喬	kiɯ2	
僑	kiɯ2	
蕎	kiɯ2	
茄	kiɯ2	茄子
矯	kiɯ3	
繳	kiɯ3	
撟	kiɯ4	撬
轎	kiɯ5	
腳	kiɯ7	
角	kiɯ7	（文讀）～色：有本事
屩	kiɯ7	草鞋
矍	kiɯ7	
钁	kiɯ7	～錐：山鋤
敲	kʰiɯ1	推～
繰	kʰiɯ1	
嬌	kʰiɯ1	（白讀）撒嬌
巧	kʰiɯ3	（文讀）～妙
藠	kʰiɯ4	～子：薤菜
竅	kʰiɯ5	
卻	kʰiɯ7	
怯	kʰiɯ7	
□	kʰiɯ7	(蜜蜂等)蜇
腰	ŋiɯ1	
要	ŋiɯ1	～求
夭	ŋiɯ1	
妖	ŋiɯ1	
麼	ŋiɯ1	
吆	ŋiɯ1	
邀	ŋiɯ1	
□	ŋiɯ1	～□ki¹：夏布
搖	ŋiɯ2	
瑤	ŋiɯ2	
遙	ŋiɯ2	
謠	ŋiɯ2	
窯	ŋiɯ2	
堯	ŋiɯ2	
饒	ŋiɯ2	
嬈	ŋiɯ2	
姚	ŋiɯ2	
舀	ŋiɯ3	
擾	ŋiɯ3	
繞	ŋiɯ3	
窈	ŋiɯ3	
鳥	ŋiɯ3	（文讀）鴕～
□	ŋiɯ3	砍
若	ŋiɯ4	
箬	ŋiɯ4	葉子
藥	ŋiɯ4	
弱	ŋiɯ4	
鑰	ŋiɯ4	
虐	ŋiɯ4	
瘧	ŋiɯ4	
躍	ŋiɯ4	
耀	ŋiɯ5	
要	ŋiɯ5	重～
尿	ŋiɯ5	（白讀）屎～
約	ŋiɯ7	
包	po1	
胞	po1	
孢	po1	
飽	po3	
豹	po5	
爆	po5	
铇	po5	啄擊，叩擊。～～哩：彎彎的
□	po7	～嘴：親吻
拋	pʰo1	
刨	pʰo1	
跑	pʰo3	
鮑	pʰo4	
雹	pʰo4	龍～：冰雹
泡	pʰo4	電光～：燈泡
炮	pʰo5	
泡	pʰo5	浸～，～水
矛	mo2	
茅	mo2	
毛	mo2	（文讀）姓
貓	mo2	（白讀）～子：貓
魔	mo2	（白讀）搦～：做法事，驅邪
卯	mo3	
雕	to1	～花
□	to1	～□lo¹：攀爬
條	to2	
□	to2	～□lo²：攪拌，混合
鳥	to3	（白讀）雉～：雉雞
吊	to5	（白讀）～□lo⁵：懸掛
□	tʰo5	～□lo⁵：懸垂
□	tʰo7	顫抖，抖動
寮	lo2	（白讀）簡易的棚子
嫽	lo2	欺負，逗弄（小孩兒）
□	lo2	～包：忘記
撓	lo3	
鐃	lo3	誤讀
了	lo3	晝～：下午①作助詞時讀輕聲“lo⁰＂，通常寫作“咯＂，大致相當於普通話的“了1＂，例如，食飯～：吃了飯了。
鬧	lo5	
□	lo7	蹺著腿抖動；跛
樵	tsʰo2	（白讀）木材
找	tʃo3	
爪	tʃo3	
笊	tʃo3	～籬
罩	tʃo5	
兆	tʃo5	個～：一兆
抄	tʃʰo1	
鈔	tʃʰo1	
炒	tʃʰo3	
吵	tʃʰo3	
耖	tʃʰo5	攪動。招惹
梢	ʃo1	
捎	ʃo1	
筲	ʃo1	～箕：淘米或洗菜的竹器
□	ʃo1	收集
□	ʃo1	蟒蛇
□	ʃo2	（用鋤頭等）扒開聚攏
□	ʃo5	找尋
交	ko1	
鉸	ko1	剪
膠	ko1	
郊	ko1	
茭	ko1	
澆	ko1	
教	ko1	新讀
絞	ko3	
狡	ko3	
皎	ko3	
攪	ko3	
搞	ko3	
咬	ko4	《集韻》下巧切
較	ko5	
教	ko5	家～
珓	ko5	占卜用小竹片
窖	ko5	
酵	ko5	把菜苗和些稀泥或肥料再種；暫時種於某處（等待移種他處）
骹	kʰo1	腳（包括腿），～羅漢：脛骨
巧	kʰo3	（白讀）乞～節
考	kʰo3	（文讀）～妣
可	kʰo3	（白讀）～惡
靠	kʰo5	
敲	kʰo5	（用棍子等）打擊。《廣韻》苦教切
廒	ŋo2	大穀倉
熬	ŋo2	（白讀）～疾：忍痛
肴	ŋo2	
淆	ŋo2	
傲	ŋo5	
□	ŋo7	歪，錯位
□	ho4	嘆詞。表贊同
孝	ho5	
哮	ho5	
酵	ho5	讀字
效	ho5	
校	ho5	學～
校	ho5	～對
坳	o1	
□	o1	～孽：誣陷
□	o2	嘆詞。表接受
拗	o3	
傲	o5	新讀
□	o5	撬（蹺蹺板），挑（輕輕的擔子）
□	o7	嘆詞。喝令牛停步，勸止小孩兒啼哭
拐	ko3	
會	kʰo5	～計
快	kʰo5	（文讀）～車
喟	kʰo5	
懷	ho2	新讀
壞	ho5	
衰	ʃuai1	（白讀）倒楣
□	tʃʰyai2	品行不好
猋	pau1	（泥鰍等）躍起
□	pʰau1	兒童遊戲用紙牌
了	lau3	（文讀）～結，～不起。又音
了	lau3	～解。新讀
□	tʃau1	烏～：蠻橫
餃	kau3	
□	kau3	～倒：向後摔倒
叫	kau5	
翹	kʰiau5	
蹺	kʰiau5	
□	piau1	(泥鰍等)躍起
丟	tiu1	
綢	tiu2	
稠	tiu2	
紂	tiu4	
晝	tiu5	（文讀）～夜
抽	tʰiu1	
餿	tʰiu1	臭～：餿
籌	tʰiu2	
疇	tʰiu2	
醜	tʰiu3	
□	tʰiu5	□tʰi⁵～：頑皮，好動
溜	liu1	
劉	liu2	
瀏	liu2	
流	liu2	（文讀）一～
硫	liu2	
琉	liu2	
鎏	liu2	
榴	liu2	
瘤	liu2	
餾	liu2	《廣韻》力求切
留	liu2	（文讀）～學
柳	liu3	
綹	liu3	剪～：扒手
溜	liu5	量詞，用於細長的條狀物。動詞，不翼而飛
□	liu5	活～：活絡
揪	tʃiu1	
囚	tʃiu2	
揪	tʃiu2	又音
酒	tʃiu3	
就	tʃiu5	（文讀）成～
秋	tʃʰiu1	
鰍	tʃʰiu1	
須	tʃʰiu1	（白讀）稈～：稻草灰。觸鬚
修	ʃiu1	
休	ʃiu1	
羞	ʃiu1	
秀	ʃiu5	
繡	ʃiu5	
鏽	ʃiu5	
袖	ʃiu5	
鳩	kiu1	
糾	kiu1	
□	kiu1	細股水冒出
求	kiu2	
球	kiu2	
逑	kiu2	
虯	kiu2	
九	kiu3	
久	kiu3	
灸	kiu3	
韭	kiu3	
舅	kiu4	
舊	kiu5	
救	kiu5	
究	kiu5	
柩	kiu5	
咎	kiu5	
邱	kʰiu1	
蚯	kʰiu1	
丘	kʰiu1	（文讀）姓
□	kʰiu5	大霜，遭霜打
優	ŋiu1	
憂	ŋiu1	
悠	ŋiu1	
幽	ŋiu1	
牛	ŋiu2	
由	ŋiu2	
郵	ŋiu2	
油	ŋiu2	
尤	ŋiu2	
猶	ŋiu2	
魷	ŋiu2	
柔	ŋiu2	
揉	ŋiu2	
遊	ŋiu2	
有	ŋiu3	
宥	ŋiu3	
友	ŋiu3	
紐	ŋiu3	
扭	ŋiu3	
鈕	ŋiu3	
酉	ŋiu3	
莠	ŋiu3	
誘	ŋiu3	
右	ŋiu5	
佑	ŋiu5	
又	ŋiu5	
幼	ŋiu5	
柚	ŋiu5	
釉	ŋiu5	
囿	ŋiu5	
□	ŋiu5	胡～：八哥
□	ŋiu5	纏繞，扭曲，打結
杯	pui1	
碑	pui1	
悲	pui1	
肥	pui2	肥，胖
貝	pui5	
背	pui5	駝～
吠	pui5	（白讀）狗～
痱	pui5	（白讀）熱～：痱子
輩	pui5	（文讀）長～
不	pui7	
□	pui7	～□lui⁷：拌，蘸
陪	pʰui2	
培	pʰui2	
裴	pʰui2	
□	pʰui3	扒，撥動
佩	pʰui5	
珮	pʰui5	
屁	pʰui5	（白讀）放～
配	pʰui5	（文讀）～合
□	pʰui5	泥～：土屑
□	pʰui7	撣去
□	mui2	勿
每	mui3	
沒	mui4	沉～
昧	mui5	
寐	mui5	
□	mui5	下（小雨）
堆	tui1	
追	tui1	
捶	tui2	
戴	tui2	（白讀）～帽：戴帽子。永安、沙縣均有陽平調說法
突	tui4	
□	tui4	～底：蹋底
隊	tui5	
兌	tui5	
蛻	tui5	
對	tui5	（文讀）～錯
碓	tui5	～頭：點頭
堆	tui7	放置；摔著（屁股著地）
推	tʰui1	（文讀）～薦
槌	tʰui2	
錘	tʰui2	
腿	tʰui3	
墜	tʰui5	重物下垂、下沉
雷	lui2	
擂	lui2	研磨，塞
捼	lui2	碾，硬塞。《集韻》儒垂切，擩也
螺	lui2	（文讀）～絲
壘	lui3	
蕊	lui3	
累	lui3	積～，充斥
□	lui3	一種竹制背簍，俗作“罍”
律	lui4	
率	lui4	效～
內	lui5	
匯	lui5	
淚	lui5	
戾	lui5	
唳	lui5	
累	lui5	忙；辛苦
瑞	lui5	海～罷官。新讀
類	lui5	（文讀）歸～
□	lui7	松脫，滑落。常作俗字⿰土律
□	lui7	光～：精光，光滑
醉	tsui2	（白讀）食～：喝醉了。永安、沙縣均有陽平調說法
□	tsui2	旋（旋鈕等）
嘴	tsui3	
罪	tsui4	
□	tsui4	拭去
最	tsui5	
贅	tsui5	
晬	tsui5	著～：周歲
醉	tsui5	（文讀）麻～
崔	tsʰui1	
摧	tsʰui1	
揣	tsʰui3	
喘	tsʰui3	
翠	tsʰui5	
碎	tsʰui5	
粹	tsʰui5	
瘁	tsʰui5	
脆	tsʰui5	（文讀）乾～
雖	sui1	
綏	sui1	
隨	sui2	
隋	sui2	
髓	sui2	新讀
垂	sui2	新讀
歲	sui5	
睡	sui5	
遂	sui5	
隧	sui5	
跪	kui4	
掘	kui4	
滑	kui4	（白讀）滑溜
潰	kui5	
饋	kui5	
檜	kui5	
劊	kui5	
骨	kui7	
國	kui7	
幗	kui7	
盔	kʰui1	
恢	kʰui1	鄧子～：人名
魁	kʰui1	
奎	kʰui1	
逵	kʰui1	調異
□	kʰui1	稍微碰上、挨上
□	kʰui3	手指背叩擊頭部
塊	kʰui5	
愧	kʰui5	
窟	kʰui7	
巍	ŋui1	
□	ŋui3	挑（耳屎等）
勿	ŋui4	
物	ŋui4	
偽	ŋui5	
□	ŋui5	死性子。不勤快
兀	ŋui7	
□	ŋui7	搖動
回	hui2	
徊	hui2	
回	hui2	
茴	hui2	
悔	hui3	後～
毀	hui3	新讀
賄	hui3	新讀
佛	hui4	
或	hui4	
惑	hui4	
獲	hui4	
獲	hui4	
鑊	hui4	
會	hui5	開～
繪	hui5	
匯	hui5	
弗	hui7	
拂	hui7	
忽	hui7	
惚	hui7	
笏	hui7	
□	hui7	粉末。俗字⿰米忽
椎	tʃyi1	
錐	tʃyi1	
墜	tʃyi5	新讀
□	tʃyi5	鑿，鑽
卒	tʃyi7	
喙	tʃʰyi5	個～飯：一口飯
出	tʃʰyi7	
非	ʃyi1	
緋	ʃyi1	
菲	ʃyi1	
輝	ʃyi1	
揮	ʃyi1	
暉	ʃyi1	
徽	ʃyi1	消瘦
飛	ʃyi1	（文讀）～機
垂	ʃyi2	
陲	ʃyi2	
誰	ʃyi2	
水	ʃyi3	
匪	ʃyi3	
毀	ʃyi3	
賄	ʃyi3	
肺	ʃyi5	
惠	ʃyi5	
穗	ʃyi5	
蕙	ʃyi5	
彗	ʃyi5	
慧	ʃyi5	
諱	ʃyi5	
廢	ʃyi5	
費	ʃyi5	
瑞	ʃyi5	麒麟獻～
吠	ʃyi5	（文讀）
痱	ʃyi5	（文讀）～子粉
刷	ʃyi7	個～～：一小縷
□	ʃyi7	（用鞭、棍等）抽打
歸	kyi1	
圭	kyi1	
閨	kyi1	
龜	kyi1	
規	kyi1	
窺	kyi1	誤讀
鬼	kyi3	
軌	kyi3	
詭	kyi3	
桂	kyi5	
癸	kyi5	
季	kyi5	
櫃	kyi5	
貴	kyi5	
虧	kʰyi1	
豨	kʰyi3	豬
屈	kʰyi4	斷，瘸。《集韻》渠勿切，《博雅》短也
屈	kʰyi7	彎曲。《廣韻》區勿切，拗曲
崛	kʰyi7	誤讀
威	ŋyi1	
危	ŋyi1	新讀
微	ŋyi1	新讀
桅	ŋyi1	誤讀
圍	ŋyi2	
違	ŋyi2	
韋	ŋyi2	
危	ŋyi2	
微	ŋyi2	
薇	ŋyi2	
維	ŋyi2	
唯	ŋyi2	
惟	ŋyi2	
帷	ŋyi2	
遺	ŋyi2	
為	ŋyi2	作～
委	ŋyi3	
萎	ŋyi3	
倭	ŋyi3	誤讀
偉	ŋyi3	
緯	ŋyi3	
葦	ŋyi3	
位	ŋyi5	
未	ŋyi5	
味	ŋyi5	
蔚	ŋyi5	
胃	ŋyi5	
渭	ŋyi5	
蝟	ŋyi5	
謂	ŋyi5	
為	ŋyi5	～人民服務
喂	ŋyi5	
畏	ŋyi5	～羞：害羞。伓～：沒關係
熨	ŋyi7	《廣韻》紆物切
慰	ŋyi7	讀同“尉熨＂
東	taŋ1	
冬	taŋ1	
洞	taŋ1	煙～：煙囪。老鼠～。永安亦有此說法
同	taŋ2	
銅	taŋ2	
筒	taŋ2	
童	taŋ2	
僮	taŋ2	
瞳	taŋ2	
□	taŋ2	壘積
董	taŋ3	
□	taŋ3	
用	taŋ3	力扔。打
動	taŋ4	
重	taŋ4	輕～
棟	taŋ5	
凍	taŋ5	
洞	taŋ5	地～
洞	taŋ7	量詞，灘
□	taŋ7	走路慢悠悠的樣子
通	tʰaŋ1	
熥	tʰaŋ1	火～：火籠
蟲	tʰaŋ2	
桐	tʰaŋ2	
桶	tʰaŋ3	
捅	tʰaŋ3	
統	tʰaŋ3	
痛	tʰaŋ5	
慟	tʰaŋ5	
□	tʰaŋ5	穿透
窿	laŋ1	
農	laŋ2	
瓏	laŋ2	
嚨	laŋ2	
籠	laŋ2	雞～。～雞：用籠子關雞
礱	laŋ2	去掉穀殼的器具，也指動作
壠	laŋ2	（文讀）山間谷地
聾	laŋ2	（文讀）～啞
龍	laŋ2	尼～。讀字
膿	laŋ2	（文讀）化～
□	laŋ2	一種烹調法，用地瓜粉等勾芡肉類清水煮
攏	laŋ3	套上
籠	laŋ3	箱～。《廣韻》力董切
□	laŋ3	扔
弄	laŋ5	
膿	laŋ5	（白讀）出～：流膿。永安、沙縣亦讀此調
□	laŋ5	～空空：空蕩蕩的
宗	tsaŋ1	
綜	tsaŋ1	
蹤	tsaŋ1	
棕	tsaŋ1	
鬃	tsaŋ1	
崇	tsaŋ2	又音
叢	tsaŋ2	個～樹：一棵樹
總	tsaŋ3	
粽	tsaŋ5	
聰	tsʰaŋ1	
蔥	tsʰaŋ1	
匆	tsʰaŋ1	
松	saŋ1	青～。《集韻》思恭切
鬆	saŋ1	
嵩	saŋ1	
□	saŋ2	笨
聳	saŋ3	
	saŋ3	用力推
送	saŋ5	
宋	saŋ5	
□	tʃaŋ1	跌跌撞撞的樣子
潨	tʃaŋ2	水往下沖
崇	tʃaŋ2	
撞	tʃaŋ5	
雙	ʃaŋ1	
聾	ʃaŋ2	（白讀）耳～
公	kaŋ1	
蚣	kaŋ1	
工	kaŋ1	
攻	kaŋ1	
功	kaŋ1	
汞	kaŋ1	誤讀
□	kaŋ2	憨
□	kaŋ3	個～牆：一面墻
貢	kaŋ5	
□	kaŋ5	～□laŋ⁵：俯下（上身）
□	kaŋ7	用力盛
空	kʰaŋ1	～虛。～：倒去
腔	kʰaŋ1	（白讀）頭～：額頭
□	kʰaŋ2	～著：遇著
孔	kʰaŋ3	
□	kʰaŋ4	磕
控	kʰaŋ5	
空	kʰaŋ5	縫隙
□	kʰaŋ5	～□laŋ⁵：尋覓
風	haŋ1	
楓	haŋ1	
瘋	haŋ1	
諷	haŋ1	誤讀
封	haŋ1	
豐	haŋ1	
烘	haŋ1	
轟	haŋ1	
峰	haŋ1	
鋒	haŋ1	
胸	haŋ1	（白讀）～脯肉：（雞鴨的）胸肉
紅	haŋ2	
虹	haŋ2	
鴻	haŋ2	
洪	haŋ2	
逢	haŋ2	
縫	haŋ2	～紉機
哄	haŋ3	
鳳	haŋ4	
奉	haŋ4	
俸	haŋ4	
巷	haŋ5	
翁	aŋ1	
蓊	aŋ1	
壅	aŋ1	（白讀）灑開（肥料等）。《廣韻》於容切
□	aŋ3	苦～：味苦
甕	aŋ5	
蕹	aŋ5	～菜：空心菜
奔	puaŋ1	
盆	puaŋ2	
本	puaŋ3	
笨	puaŋ5	
糞	puaŋ5	（白讀）牛～
□	pʰuaŋ2	吹（氣）
□	pʰuaŋ3	～□luaŋ³：鋪撒，亂扔
噴	pʰuaŋ5	
悶	muaŋ1	因悶熱而不透氣的感覺
門	muaŋ2	
聞	muaŋ2	（白讀）聽～：聽到
問	muaŋ5	（白讀）～人
悶	muaŋ5	煩～
敦	tuaŋ1	
墩	tuaŋ1	
鈍	tuaŋ1	永安、沙縣、三元均讀陰平調
屯	tuaŋ2	
楯	tuaŋ3	用來坐的小木樁
盾	tuaŋ4	
噸	tuaŋ5	
頓	tuaŋ5	（文讀）停～
𪞿	tuaŋ5	刺，紮。俗字⿰屯刂
椿	tʰuaŋ1	
沌	tʰuaŋ2	
豚	tʰuaŋ2	□tu⁴～：一種地鼠
銀	luaŋ2	
齦	luaŋ2	
侖	luaŋ2	
侖	luaŋ2	
倫	luaŋ2	
淪	luaŋ2	
綸	luaŋ2	
輪	luaŋ2	
暖	luaŋ3	（白讀）～～燒：溫熱
□	luaŋ3	無齒而嚼。吐出
□	luaŋ4	（吃）膩
嫩	luaŋ5	
論	luaŋ5	
□	luaŋ5	石～：田雞（長在山澗中，形似青蛙）
□	luaŋ7	縮回
尊	tsuaŋ1	
遵	tsuaŋ1	
闖	tsuaŋ3	誤讀
