繁體	简体	聲韻	聲調	注釋			
缺	缺	cʰyøʔ	5				
訖	讫	cʰiɪʔ	5				
刮	刮	kuɛʔ	5				
割	割	kəʔ	5				
各	各	kɔʔ	5				
□	□	kuaʔ	5	～耳光			
國	国	koʔ	5				
夾	夹	kɛʔ	5				
峽	峡	kɛʔ	5				
括	括	kuɛʔ	5	包～			
挾	挟	kɛʔ	5	～菜			
擱	搁	kɔʔ	5				
格	格	kaʔ	5				
甲	甲	kɛʔ	5				
穀	谷	koʔ	5				
胛	胛	kɛʔ	5				
胳	胳	kəʔ	5				
葛	葛	kəʔ	5				
蛤	蛤	kəʔ	5				
裌	裌	kɛʔ	5				
覺	觉	kɔʔ	5	知～			
角	角	kɔʔ	5				
豁	豁	kuəʔ	5				
郭	郭	kɔʔ	5				
閣	阁	kɔʔ	5				
隔	隔	kaʔ	5				
革	革	kaʔ	5				
骨	骨	kuəʔ	5				
鴿	鸽	kəʔ	5				
克	克	kʰəʔ	5				
刻	刻	kʰəʔ	5				
咳	咳	kʰəʔ	5				
哭	哭	kʰoʔ	5				
客	客	kʰaʔ	5				
廓	廓	kʰɔʔ	5				
恰	恰	kʰɛʔ	5				
掐	掐	kʰɛʔ	5				
擴	扩	kʰɔʔ	5				
榷	榷	kʰɔʔ	5				
殻	殻	kʰɔʔ	5				
渴	渴	kʰəʔ	5				
確	确	kʰɔʔ	5				
磕	磕	kʰəʔ	5				
窟	窟	kʰuəʔ	5				
酷	酷	kʰoʔ	5				
闊	阔	kʰuəʔ	5				
勿	勿	fəʔ	5				
幅	幅	foʔ	5				
彿	彿	fəʔ	5				
法	法	fɛʔ	5				
發	发	fɛʔ	5				
福	福	foʔ	5				
腹	腹	foʔ	5				
蝠	蝠	foʔ	5				
復	复	foʔ	5				
覆	覆	foʔ	5				
作	作	tsɔʔ	5	～坊，工～			
側	侧	tsəʔ	5				
則	则	tsəʔ	5				
劄	札	tsɛʔ	5	用針～			
劄	札	tsɛʔ	5				
卒	卒	tsəʔ	5				
只	只	tsaʔ	5				
摘	摘	tsaʔ	5				
窄	窄	tsɛʔ	5				
紮	扎	tsɛʔ	5				
責	责	tsaʔ	5				
促	促	tsʰoʔ	5				
冊	册	tsʰaʔ	5				
□	□	tsʰaʔ	5	皴			
察	察	tsʰɛʔ	5				
拆	拆	tsʰaʔ	5				
插	插	tsʰɛʔ	5				
撮	撮	tsʰəʔ	5	一～米			
擦	擦	tsʰɛʔ	5				
柵	栅	tsʰaʔ	5				
測	测	tsʰəʔ	5				
猝	猝	tsʰoʔ	5				
策	策	tsʰaʔ	5				
錯	错	tsʰɔʔ	5	～雜			
黢	黢	tsʰoʔ	5	～黑			
嗇	啬	səʔ	5				
塞	塞	səʔ	5				
束	束	soʔ	5				
殺	杀	sɛʔ	5				
率	率	səʔ	5	～領			
索	索	sɔʔ	5	繩～			
色	色	səʔ	5				
薩	萨	səʔ	5				
速	速	soʔ	5				
卓	卓	tɕiɔʔ	5				
即	即	tɕiɪʔ	5				
只	只	tɕiɪʔ	5	白讀，～有			
哲	哲	tɕiɪʔ	5				
囑	嘱	tɕyoʔ	5				
執	执	tɕiɪʔ	5				
折	折	tɕiɪʔ	5	～斷			
捉	捉	tɕiɔʔ	5				
接	接	tɕiɪʔ	5				
摺	摺	tɕiɪʔ	5				
桌	桌	tɕiɔʔ	5				
汁	汁	tɕiɪʔ	5				
浙	浙	tɕiɪʔ	5				
燭	烛	tɕyoʔ	5				
爵	爵	tɕiaʔ	5				
琢	琢	tɕiɔʔ	5				
祝	祝	tɕyoʔ	5				
積	积	tɕiɪʔ	5				
竹	竹	tɕyoʔ	5				
節	节	tɕiɪʔ	5				
築	筑	tɕyoʔ	5				
粥	粥	tɕyoʔ	5				
績	绩	tɕiɪʔ	5				
織	织	tɕiɪʔ	5				
職	职	tɕiɪʔ	5				
脊	脊	tɕiɪʔ	5				
芍	芍	tɕiaʔ	5				
著	着	tɕiaʔ	5	～衣			
質	质	tɕiɪʔ	5				
足	足	tɕyoʔ	5				
跡	迹	tɕiɪʔ	5				
酌	酌	tɕiaʔ	5	小嘗			
鯽	鲫	tɕiɪʔ	5				
七	七	tɕʰiɪʔ	5				
促	促	tɕʰyoʔ	5				
出	出	tɕʰyøʔ	5				
切	切	tɕʰiɪʔ	5				
吃	吃	tɕʰyøʔ	5				
妾	妾	tɕʰiɪʔ	5				
尺	尺	tɕʰiɪʔ	5				
戚	戚	tɕʰiɪʔ	5				
戳	戳	tɕʰiɔʔ	5				
斥	斥	tɕʰiɪʔ	5				
漆	漆	tɕʰiɪʔ	5				
綽	绰	tɕʰyoʔ	5				
緝	缉	tɕʰiɪʔ	5				
膝	膝	tɕʰiɪʔ	5				
觸	触	tɕʰyoʔ	5				
赤	赤	tɕʰiɪʔ	5				
輯	辑	tɕʰiɪʔ	5				
雀	雀	tɕʰiaʔ	5				
鵲	鹊	tɕʰiaʔ	5				
刷	刷	ɕyøʔ	5				
削	削	ɕiaʔ	5				
叔	叔	ɕyoʔ	5				
吸	吸	ɕiɪʔ	5				
失	失	ɕiɪʔ	5				
媳	媳	ɕiɪʔ	5				
室	室	ɕiɪʔ	5				
宿	宿	ɕyoʔ	5	星～			
宿	宿	ɕyoʔ	5				
屑	屑	ɕiɪʔ	5				
式	式	ɕiɪʔ	5				
恤	恤	ɕyøʔ	5				
息	息	ɕiɪʔ	5				
悉	悉	ɕiɪʔ	5				
惜	惜	ɕiɪʔ	5				
戌	戌	ɕyøʔ	5				
攝	摄	ɕiɪʔ	5				
昔	昔	ɕiɪʔ	5				
束	束	ɕyoʔ	5				
析	析	ɕiɪʔ	5				
泄	泄	ɕiɪʔ	5				
涮	涮	ɕyøʔ	5				
濕	湿	ɕiɪʔ	5				
熄	熄	ɕiɪʔ	5				
瑟	瑟	ɕiɪʔ	5				
粟	粟	ɕyoʔ	5				
縮	缩	ɕyoʔ	5				
肅	肃	ɕyoʔ	5				
薛	薛	ɕiɪʔ	5				
虱	虱	ɕiɪʔ	5				
蟀	蟀	ɕyøʔ	5				
設	设	ɕiɪʔ	5				
說	说	ɕyøʔ	5				
識	识	ɕiɪʔ	5				
適	适	ɕiɪʔ	5				
釋	释	ɕiɪʔ	5				
錫	锡	ɕiɪʔ	5				
雪	雪	ɕyøʔ	5				
飾	饰	ɕiɪʔ	5				
歇	歇	çiɪʔ	5				
畜	畜	çyoʔ	5				
脅	胁	çiɪʔ	5				
蓄	蓄	çyoʔ	5				
蠍	蝎	çiɪʔ	5				
血	血	çyøʔ	5				
喝	喝	hɛʔ	5				
嚇	吓	haʔ	5				
嚇	吓	hoʔ	5				
忽	忽	huəʔ	5				
瞎	瞎	hɛʔ	5				
藿	藿	hɔʔ	5				
赫	赫	haʔ	5				
郝	郝	hɔʔ	5				
霍	霍	hɔʔ	5				
黑	黑	həʔ	5				
粒	粒	ʔləʔ	5				
一	一	iɪʔ	5				
乙	乙	iɪʔ	5				
噎	噎	iɪʔ	5				
噦	哕	yoʔ	5	幹～			
壓	压	ɛʔ	5				
屋	屋	oʔ	5				
惡	恶	ɔʔ	5				
扼	扼	ɛʔ	5				
押	押	ɛʔ	5				
挖	挖	uɛʔ	5				
握	握	uɔʔ	5				
握	握	ɔʔ	5				
沃	沃	oʔ	5				
益	益	iɪʔ	5				
約	约	iaʔ	5				
軋	轧	ɛʔ	5	被車～			
軛	轭	aʔ	5				
阿	阿	aʔ	5				
靨	靥	iɪʔ	5	酒～			
鬱	郁	yoʔ	5				
鴨	鸭	ɛʔ	5				
兵	兵	piɪŋ	33				
冰	冰	piɪŋ	33				
包	包	pɔ	33				
卑	卑	pe	33				
坡	坡	po	33				
奔	奔	pəŋ	33				
崩	崩	poŋ	33				
巴	巴	po	33				
幫	帮	pɔ̃	33				
彪	彪	piɔ	33				
彬	彬	piɪŋ	33				
悲	悲	pe	33				
搬	搬	pø	33				
斑	斑	pɛ	33				
杯	杯	pe	33				
標	标	piɔ	33				
檳	槟	piɪŋ	33				
波	波	po	33				
浜	浜	pɔ̃	33				
爸	爸	pa	33				
玻	玻	po	33				
班	班	pɛ	33				
疤	疤	po	33				
碑	碑	pe	33				
編	编	pie	33				
胞	胞	pɔ	33				
膘	膘	piɔ	33				
般	般	pø	33				
芭	芭	po	33				
菠	菠	po	33				
蓖	蓖	pi	33				
蝙	蝙	pie	33				
褒	褒	pɔ	33				
賓	宾	piɪŋ	33				
邊	边	pie	33				
邦	邦	pɔ̃	33				
錛	锛	pəŋ	33				
鞭	鞭	pie	33				
頒	颁	pɛ	33				
丕	丕	pʰe	33				
偏	偏	pʰie	33				
噴	喷	pʰəŋ	33				
坯	坯	pʰe	33				
姘	姘	pʰiɪŋ	33				
批	批	pʰi	33				
披	披	pʰi	33				
拋	抛	pʰɔ	33				
拚	拚	pʰiɪŋ	33				
拼	拼	pʰiɪŋ	33				
攀	攀	pʰɛ	33				
潘	潘	pʰø	33				
烹	烹	pʰã	33				
篇	篇	pʰie	33				
胚	胚	pʰe	33				
鋪	铺	pʰu	33				
頗	颇	pʰo	33				
飄	飘	pʰiɔ	33				
丁	丁	tiɪŋ	33				
丟	丢	tiɤu	33				
丹	丹	tɛ	33				
低	低	ti	33				
兜	兜	tɤ	33				
冬	冬	toŋ	33				
刀	刀	tɔ	33				
刁	刁	tiɔ	33				
叨	叨	tɔ	33				
單	单	tɛ	33				
堆	堆	te	33				
墩	墩	təŋ	33				
多	多	to	33				
掂	掂	tie	33				
敦	敦	təŋ	33				
東	东	toŋ	33				
燈	灯	təŋ	33				
爹	爹	te	33				
當	当	tɔ̃	33	～時，應～			
疔	疔	tiɪŋ	33				
登	登	təŋ	33				
端	端	tø	33				
耽	耽	tɛ	33				
貂	貂	tiɔ	33				
蹲	蹲	təŋ	33				
都	都	tu	33				
釘	钉	tiɪŋ	33				
雕	雕	tiɔ	33				
顛	颠	tie	33				
他	他	tʰa	33				
偷	偷	tʰɤ	33				
吞	吞	tʰəŋ	33				
坍	坍	tʰɛ	33				
天	天	tʰie	33				
廳	厅	tʰiɪŋ	33				
拖	拖	tʰa	33	白讀			
拖	拖	tʰo	33	文讀			
挑	挑	tʰiɔ	33				
推	推	tʰe	33				
攤	摊	tʰɛ	33				
梯	梯	tʰi	33				
汀	汀	tʰiɪŋ	33				
添	添	tʰie	33				
湯	汤	tʰɔ̃	33				
滔	滔	tʰɔ	33				
灘	滩	tʰɛ	33				
聽	听	tʰiɪŋ	33				
胎	胎	tʰe	33				
台	台	tʰe	33	天～，～州			
苔	苔	tʰe	33	舌～			
貪	贪	tʰø	33				
通	通	tʰoŋ	33				
交	交	ciɔ	33	文讀			
京	京	ciɪŋ	33				
今	今	ciɪŋ	33				
供	供	cyoŋ	33				
僵	僵	ciã	33				
兼	兼	cie	33				
加	加	cia	33	文讀			
君	君	cyøŋ	33				
嘉	嘉	cia	33	文讀			
均	均	cyøŋ	33				
基	基	ci	33				
堅	坚	cie	33				
嬌	娇	ciɔ	33				
宮	宫	cyoŋ	33				
家	家	cia	33	文讀			
居	居	cy	33				
巾	巾	ciɪŋ	33				
幾	几	ci	33	幾乎			
弓	弓	cyoŋ	33				
恭	恭	cyoŋ	33				
拘	拘	cy	33				
捐	捐	cyø	33				
據	据	cy	33				
教	教	ciɔ	33	文讀			
斤	斤	ciɪŋ	33				
機	机	ci	33				
歸	归	cy	33				
毽	毽	cie	33				
澆	浇	ciɔ	33				
疆	疆	ciã	33				
礓	礓	ciã	33				
禁	禁	ciɪŋ	33				
稽	稽	ci	33				
窘	窘	cyøŋ	33				
筋	筋	ciɪŋ	33				
糾	纠	ciɤu	33	～纏			
經	经	ciɪŋ	33				
肌	肌	ci	33				
肩	肩	cie	33				
膠	胶	ciɔ	33	文讀			
荊	荆	ciɪŋ	33				
薑	姜	ciã	33				
譏	讥	ci	33				
躬	躬	cyoŋ	33				
車	车	cy	33	車馬炮			
軍	军	cyøŋ	33				
郊	郊	ciɔ	33	文讀			
金	金	ciɪŋ	33				
鈞	钧	cyøŋ	33				
雞	鸡	ci	33				
韁	缰	ciã	33				
饑	饥	ci	33				
駒	驹	cy	33				
驕	骄	ciɔ	33				
驚	惊	ciɪŋ	33				
鬮	阄	ciɤu	33				
鱖	鳜	cy	33				
鳩	鸠	ciɤu	33				
龜	龟	cy	33				
丘	丘	cʰiɤu	33				
傾	倾	cʰiɪŋ	33				
匡	匡	cʰiɔ̃	33				
區	区	cʰy	33				
卿	卿	cʰiɪŋ	33				
□	□	cʰiɤu	33	箍			
圈	圈	cʰyø	33	圓～			
欺	欺	cʰi	33				
欽	钦	cʰiɪŋ	33				
溪	溪	cʰi	33				
牽	牵	cʰie	33				
眶	眶	cʰiɔ̃	33				
筐	筐	cʰiɔ̃	33				
羌	羌	cʰiã	33				
腔	腔	cʰiã	33				
菌	菌	cʰyøŋ	33				
謙	谦	cʰie	33				
輕	轻	cʰiɪŋ	33				
驅	驱	cʰy	33				
乖	乖	kua	33				
交	交	kɔ	33	白讀			
佳	佳	ko	33				
光	光	kɔ̃	33				
公	公	koŋ	33				
冠	冠	kuø	33	衣～			
剛	刚	kɔ̃	33				
功	功	koŋ	33				
加	加	ko	33	白讀			
勾	勾	kɤ	33				
嘉	嘉	ko	33	白讀			
圭	圭	kue	33				
奸	奸	kɛ	33				
姑	姑	ku	33				
孤	孤	ku	33				
官	官	kuø	33				
家	家	ko	33	白讀			
尷	尴	kɛ	33				
岡	冈	kɔ̃	33				
崑	崑	kuəŋ	33				
崗	岗	kɔ̃	33				
工	工	koŋ	33				
幹	干	kø	33	～濕			
幹	干	kø	33				
庚	庚	kã	33				
戈	戈	ko	33				
扛	扛	kɔ̃	33				
攻	攻	koŋ	33				
教	教	kɔ	33	白讀			
昆	昆	kuəŋ	33				
更	更	kã	33				
柑	柑	kø	33				
根	根	kəŋ	33				
棺	棺	kuø	33				
歌	歌	ko	33				
汞	汞	koŋ	33				
江	江	kɔ̃	33				
泔	泔	kø	33				
溝	沟	kɤ	33				
瓜	瓜	kua	33				
甘	甘	kø	33				
皆	皆	ka	33				
監	监	kɛ	33				
篙	篙	kɔ	33				
粳	粳	kã	33				
糕	糕	kɔ	33				
綱	纲	kɔ̃	33				
缸	缸	kɔ̃	33				
羔	羔	kɔ	33				
羹	羹	kã	33				
耕	耕	kã	33				
肝	肝	kø	33				
膏	膏	kɔ	33				
膠	胶	kɔ	33	白讀			
艱	艰	kɛ	33				
蚣	蚣	koŋ	33				
街	街	ka	33				
規	规	kue	33				
觀	观	kuø	33	參～			
該	该	ke	33				
豇	豇	kɔ̃	33				
跟	跟	kəŋ	33				
過	过	ku	33				
郊	郊	kɔ	33	白讀			
鉤	钩	kɤ	33				
鋼	钢	kɔ̃	33				
鍋	锅	ko	33				
間	间	kɛ	33				
閨	闺	kue	33				
關	关	kuɛ	33				
階	阶	ka	33				
高	高	kɔ	33				
刊	刊	kʰø	33				
坑	坑	kʰã	33				
坤	坤	kʰuəŋ	33				
堪	堪	kʰø	33				
奎	奎	kʰue	33				
寛	寛	kʰuø	33				
嵌	嵌	kʰɛ	33				
康	康	kʰɔ̃	33				
揩	揩	kʰa	33				
摳	抠	kʰɤ	33				
敲	敲	kʰɔ	33				
枯	枯	kʰu	33				
棵	棵	kʰo	33				
科	科	kʰo	33				
空	空	kʰoŋ	33				
窠	窠	kʰo	33				
窺	窥	kʰue	33				
箍	箍	kʰu	33				
糠	糠	kʰɔ̃	33				
虧	亏	kʰue	33				
誇	夸	kʰua	33				
鉛	铅	kʰɛ	33				
開	开	kʰe	33				
魁	魁	kʰue	33				
龕	龛	kʰø	33				
俘	俘	fu	33				
分	分	fəŋ	33				
夫	夫	fu	33				
妃	妃	fi	33				
妨	妨	fɔ̃	33				
封	封	foŋ	33				
峰	峰	foŋ	33				
帆	帆	fɛ	33				
敷	敷	fu	33				
方	方	fɔ̃	33				
楓	枫	foŋ	33				
番	番	fɛ	33				
瘋	疯	foŋ	33				
紛	纷	fəŋ	33				
翻	翻	fɛ	33				
膚	肤	fu	33				
芬	芬	fəŋ	33				
芳	芳	fɔ̃	33				
藩	藩	fɛ	33				
蜂	蜂	foŋ	33				
豐	丰	foŋ	33				
鋒	锋	foŋ	33				
非	非	fi	33				
風	风	foŋ	33				
飛	飞	fi	33				
麩	麸	fu	33				
之	之	tsɿ	33				
咨	咨	tsɿ	33				
增	增	tsəŋ	33				
姿	姿	tsɿ	33				
宗	宗	tsoŋ	33				
尊	尊	tsəŋ	33				
憎	憎	tsəŋ	33				
抓	抓	tsa	33	文讀			
抓	抓	tsɔ	33	白讀			
支	支	tsɿ	33				
曾	曾	tsəŋ	33	姓			
枝	枝	tsɿ	33				
梔	栀	tsɿ	33				
棕	棕	tsoŋ	33				
樁	桩	tsɔ̃	33				
樟	樟	tsɔ̃	33				
渣	渣	tso	33				
滋	滋	tsɿ	33				
災	灾	tse	33				
爭	争	tsã	33				
睜	睁	tsã	33				
知	知	tsɿ	33				
租	租	tsu	33				
章	章	tsɔ̃	33				
箏	筝	tsã	33				
簪	簪	tsø	33				
糟	糟	tsɔ	33				
肢	肢	tsɿ	33				
脂	脂	tsɿ	33				
芝	芝	tsɿ	33				
莊	庄	tsɔ̃	33				
蜘	蜘	tsɿ	33				
裝	装	tsɔ̃	33				
資	资	tsɿ	33				
贓	赃	tsɔ̃	33				
載	载	tse	33				
輜	辎	tsɿ	33				
遭	遭	tsɔ	33				
遮	遮	tso	33				
遵	遵	tsəŋ	33				
鄒	邹	tsɤ	33				
鑽	钻	tsø	33				
髒	脏	tsɔ̃	33	骯～			
鬃	鬃	tsoŋ	33				
齋	斋	tsa	33				
倉	仓	tsʰɔ̃	33				
催	催	tsʰe	33				
初	初	tsʰu	33				
匆	匆	tsʰoŋ	33				
參	参	tsʰø	33				
叉	叉	tsʰo	33				
嗤	嗤	tsʰɿ	33				
崔	崔	tsʰe	33				
差	差	tsʰa	33	出差			
差	差	tsʰo	33	～別			
抄	抄	tsʰɔ	33				
搓	搓	tsʰo	33				
撐	撑	tsʰã	33				
操	操	tsʰɔ	33				
昌	昌	tsʰɔ̃	33				
杈	杈	tsʰo	33				
村	村	tsʰəŋ	33				
汆	汆	tsʰø	33				
疵	疵	tsʰɿ	33				
瘡	疮	tsʰɔ̃	33				
癡	痴	tsʰɿ	33				
粗	粗	tsʰu	33				
聰	聪	tsʰoŋ	33				
菖	菖	tsʰɔ̃	33				
蒼	苍	tsʰɔ̃	33				
蔥	葱	tsʰoŋ	33				
車	车	tsʰo	33	～輛			
釵	钗	tsʰa	33				
鈔	钞	tsʰɔ	33				
雌	雌	tsʰɿ	33				
餐	餐	tsʰɛ	33				
三	三	sɛ	33				
僧	僧	səŋ	33				
刪	删	sɛ	33				
參	参	səŋ	33	人～			
司	司	sɿ	33				
唆	唆	so	33				
喪	丧	sɔ̃	33				
奢	奢	so	33				
孀	孀	sɔ̃	33				
孫	孙	səŋ	33				
屍	尸	sɿ	33				
山	山	sɛ	33				
師	师	sɿ	33				
廝	厮	sɿ	33				
思	思	sɿ	33				
捎	捎	sɔ	33				
搜	搜	sɤ	33				
撕	撕	sɿ	33				
斯	斯	sɿ	33				
施	施	sɿ	33				
杉	杉	sɛ	33				
松	松	soŋ	33				
桑	桑	sɔ̃	33				
梢	梢	sɔ	33				
梭	梭	so	33				
梳	梳	su	33	文讀			
森	森	səŋ	33				
沙	沙	so	33				
泄	泄	sa	33	五泄，地名			
牲	牲	sã	33				
獅	狮	sɿ	33				
珊	珊	sɛ	33				
生	生	sã	33				
甥	甥	sã	33				
疏	疏	su	33				
私	私	sɿ	33				
稍	稍	sɔ	33				
笙	笙	sã	33				
篩	筛	sɿ	33				
紗	纱	so	33				
絲	丝	sɿ	33				
腮	腮	se	33				
臊	臊	sɔ	33				
蓑	蓑	so	33				
蔬	蔬	su	33				
蘇	苏	su	33				
衫	衫	sɛ	33				
詩	诗	sɿ	33				
賒	赊	so	33				
酥	酥	su	33				
酸	酸	sø	33				
霜	霜	sɔ̃	33				
颼	飕	sɤ	33				
餿	馊	sɤ	33				
騷	骚	sɔ	33				
鰓	鳃	se	33				
中	中	tɕyoŋ	33	當～			
偵	侦	tɕiɪŋ	33				
占	占	tɕie	33				
周	周	tɕiɤu	33				
將	将	tɕiã	33				
專	专	tɕyø	33				
尖	尖	tɕie	33				
州	州	tɕiɤu	33				
張	张	tɕiã	33				
征	征	tɕiɪŋ	33				
忠	忠	tɕyoŋ	33				
招	招	tɕiɔ	33				
斟	斟	tɕiɪŋ	33				
昭	昭	tɕiɔ	33				
晶	晶	tɕiɪŋ	33				
朱	朱	tɕy	33				
株	株	tɕy	33				
椒	椒	tɕiɔ	33				
氈	毡	tɕie	33				
津	津	tɕiɪŋ	33				
洲	洲	tɕiɤu	33				
漿	浆	tɕiã	33				
焦	焦	tɕiɔ	33				
煎	煎	tɕie	33				
珍	珍	tɕiɪŋ	33				
珠	珠	tɕy	33				
盅	盅	tɕyoŋ	33				
真	真	tɕiɪŋ	33				
睛	睛	tɕiɪŋ	33				
瞻	瞻	tɕie	33				
硃	硃	tɕy	33				
磚	砖	tɕyø	33				
精	精	tɕiɪŋ	33				
終	终	tɕyoŋ	33				
肫	肫	tɕyøŋ	33				
舟	舟	tɕiɤu	33				
蒸	蒸	tɕiɪŋ	33				
蕉	蕉	tɕiɔ	33				
蛆	蛆	tɕy	33				
蛛	蛛	tɕy	33				
誅	诛	tɕy	33				
諸	诸	tɕy	33				
貞	贞	tɕiɪŋ	33				
追	追	tɕy	33				
針	针	tɕiɪŋ	33				
錐	锥	tɕy	33				
鐘	钟	tɕyoŋ	33				
侵	侵	tɕʰiɪŋ	33				
充	充	tɕʰyoŋ	33				
千	千	tɕʰie	33				
吹	吹	tɕʰy	33				
囪	囱	tɕʰyoŋ	33				
妻	妻	tɕʰi	33				
川	川	tɕʰyø	33				
抽	抽	tɕʰiɤu	33				
春	春	tɕʰyøŋ	33				
棲	栖	tɕʰi	33				
槍	枪	tɕʰiã	33				
樞	枢	tɕʰy	33				
殲	歼	tɕʰie	33				
沖	冲	tɕʰyoŋ	33				
清	清	tɕʰiɪŋ	33				
炊	炊	tɕʰy	33				
秋	秋	tɕʰiɤu	33				
稱	称	tɕʰiɪŋ	33				
穿	穿	tɕʰyø	33				
窗	窗	tɕʰiɔ̃	33				
箋	笺	tɕʰie	33				
簽	签	tɕʰie	33				
繰	缲	tɕʰiɔ	33				
蜻	蜻	tɕʰiɪŋ	33				
蟶	蛏	tɕʰiɪŋ	33				
親	亲	tɕʰiɪŋ	33				
超	超	tɕʰiɔ	33				
趨	趋	tɕʰy	33				
遷	迁	tɕʰie	33				
鍬	锹	tɕʰiɔ	33				
青	青	tɕʰiɪŋ	33				
仙	仙	ɕie	33				
伸	伸	ɕiɪŋ	33				
修	修	ɕiɤu	33				
傷	伤	ɕiã	33				
先	先	ɕie	33				
升	升	ɕiɪŋ	33				
商	商	ɕiã	33				
喧	喧	ɕyø	33				
宣	宣	ɕyø	33				
宵	宵	ɕiɔ	33				
嵩	嵩	ɕyoŋ	33				
廂	厢	ɕiã	33				
心	心	ɕiɪŋ	33				
拴	拴	ɕyø	33				
搜	搜	ɕiɤu	33				
搧	搧	ɕie	33				
收	收	ɕiɤu	33				
新	新	ɕiɪŋ	33				
旬	旬	ɕyøŋ	33				
星	星	ɕiɪŋ	33				
書	书	ɕy	33				
松	松	ɕyoŋ	33				
消	消	ɕiɔ	33				
深	深	ɕiɪŋ	33				
湘	湘	ɕiã	33				
滲	渗	ɕiɪŋ	33				
燒	烧	ɕiɔ	33				
犀	犀	ɕi	33				
申	申	ɕiɪŋ	33				
相	相	ɕiã	33	互～			
硝	硝	ɕiɔ	33				
箱	箱	ɕiã	33				
簫	箫	ɕiɔ	33				
綏	绥	ɕy	33				
羞	羞	ɕiɤu	33				
羶	羶	ɕie	33				
聲	声	ɕiɪŋ	33				
腥	腥	ɕiɪŋ	33				
舂	舂	ɕyoŋ	33				
舒	舒	ɕy	33				
蕭	萧	ɕiɔ	33				
薪	薪	ɕiɪŋ	33				
衰	衰	ɕy	33				
襄	襄	ɕiã	33				
西	西	ɕi	33				
身	身	ɕiɪŋ	33				
輸	输	ɕy	33				
辛	辛	ɕiɪŋ	33				
銷	销	ɕiɔ	33				
閂	闩	ɕyø	33				
雖	虽	ɕy	33				
雙	双	ɕiɔ̃	33				
需	需	ɕy	33				
霄	霄	ɕiɔ	33				
須	须	ɕy	33				
鮮	鲜	ɕie	33				
休	休	çiɤu	33				
兄	兄	çyoŋ	33				
凶	凶	çyoŋ	33				
勛	勛	çyøŋ	33				
嗅	嗅	çyøŋ	33	用鼻子聞			
噓	嘘	çy	33				
囂	嚣	çiɔ	33				
墟	墟	çy	33				
希	希	çi	33				
掀	掀	çie	33				
揮	挥	çy	33				
