#调值	［1］212［2］55［3］24［5］53
#ɿ	
m	[1]木没{~落}茉[2]谋模{~子}[3]母亩牡某[5]目沐牧幕
f	[1]夫{丈~}肤福腐{豆~}妇[2]佛{~教}伏扶辅{~导}覆{~灭}抚{优~}服{~从、~务}复{恢~、~仇}辐{~射}沸 [3]府斧傅{师~}[5]父附赴讣服{~药}副{~业}负
v	[1]污巫屋乌诬侮{~辱}物{~体}[2]无吴梧芜蜈妩{~媚}[3]五午伍武鹉吾[5]勿戊务悟恶{可~}
t	[1]都{首~}督{~促}嘟{~噜}[2]毒独读渎[3]肚堵睹赌[5]杜肚{~皮}妒度{~量}渡镀
tʰ	[1]凸秃突[2]图途徒涂[3]土吐{~痰}屠{~杀}[5]吐{呕~}兔唾
n	[3]努弩奴[5]怒
l	[1]鹿录{记~}碌绿漉辘[2]卢庐泸炉芦[3]卤鲁橹[5]陆路露
ts	[1]租朱侏诛猪蛛足诸{~位}竹浊粥[2]足{~够}卒烛祝筑触蜀轴妯[3]祖组诅主煮拄[5]助住注柱蛀驻
tsʰ	[1]粗出帚[2]除厨橱储{~备}促{仓~}[3]楚处{~理}础族[5]醋处{住~}鼠
s	[1]苏酥书舒输缩{~影}[2]俗熟塾赎殊[3]暑署薯曙叔{~叔}[5]肃素速诉塑术束述树竖
z	[1]辱入褥[2]如茹[3]汝乳蠕孺儒
k	[1]孤姑骨辜谷[2]咕{~~叫}[3]古股鼓估{~计}[5]固故顾锢
kʰ	[1]枯哭窟[3]苦[5]库酷裤
x	[1]呼乎忽[2]弧胡壶糊{浆~}浒{水~}[3]虎唬琥狐[5]户互沪护糊{~弄}
#y	
n	[3]女
l	[1]绿=[2]驴[3]吕侣旅屡履缕[5]律虑滤
tɕ	[1]拘居桔车菊{~花}[2]局[3]鞠{~躬}举矩[5]巨句拒具剧惧据讵聚锯
tɕʰ	[1]区曲屈蛐躯驱黢{~黑}[2]渠[3]取娶[5]去趣趋旭
ɕ	[1]吁圩须需嘘墟[2]徐许[3]许{允~}[5]序叙畜胥絮婿蓄绪续
	[1]淤{~泥}[2]于与余盂俞鱼榆予[3]羽禹语雨屿愚予[5]玉芋育郁浴喻预狱
#ɑ	
p	[1]八巴扒{~煤}疤杷{枇~}琶[2]拔跋[3]把{~头、~手}靶[5]爸罢粑霸把{~子}
pʰ	[1]趴[2]爬扒{~手}[5]怕
m	[1]妈马{~虎}蟆[2]麻[3]马{~鞍}玛码蚂[5]骂
f	[1]发法[2]乏伐罚阀发{~球}
v	[1]挖袜[2]娃娲蛙[3]瓦{~盆}[5]瓦{~刀}
t	[1]搭耷[2]答达[3]打{一~毛巾、~倒}[5]大
tʰ	[1]它他她塌踏塔[2]挞[3]蹋{糟~}
n	[1]纳呐娜捺[2]拿[3]哪[5]那
l	[1]拉垃邋腊辣蜡[2]拉{~家常、手上~一个口子}[3]喇{~叭}
ts	[1]扎渣楂[2]杂砸轧闸炸[3]咋眨炸{油~}[5]炸{~弹}诈奓{~开}
tsʰ	[1]擦叉差{~别}插[2]查茬茶[3]镣{~子}[5]诧
s	[1]撒{~手}杀沙纱砂鲨卅[2]啥[3]傻撒{~种}[5]厦霎
k	[2]旮[3]咖
kʰ	[1]咯{~吧}[3]卡
x	[1]哈{~气}
ɣ	[1]啊腌[2]儿[3]而尔耳[5]二贰
#iɑ	
l	[3]俩
tɕ	[1]加佳家夹{~袄}[2]夹{~道欢迎}颊甲[3]假{~话、放~}贾[5]价嫁稼驾
tɕʰ	[1]掐季拤[2]恰[3]卡{~位}[5]洽
ɕ	[1]虾瞎[2]侠峡狭遐瑕[5]下吓厦{大~}夏
	[1]丫压押鸭[2]牙芽涯崖衡[3]哑雅{~观}[5]亚轧娅
#uɑ	
ts	[1]抓[3]爪
tsʰ	[2]欻
s	[1]刷{~子}[3]耍
k	[1]瓜刮{~风}[2]呱[3]寡刮[5]卦挂褂
kʰ	[1]夸[3]挎{~篮子}胯[5]跨
x	[1]花划{~玻璃}[2]华滑猾[5]化划画话
#æi	
p	[3]摆[5]拜败稗
pʰ	[2]排牌[5]派湃
m	[2]埋[3]买[5]卖迈
t	[1]呆[3]逮歹[5]代大{~夫}带待袋贷戴
tʰ	[1]胎[2]台苔抬[5]太态泰
n	[3]乃奶[5]奈耐
l	[2]来莱[5]赖
ts	[1]灾栽斋[3]宰崽载[5]再在债寨
tsʰ	[1]猜差{出~}钗[2]才财裁柴豺[3]采彩[5]菜蔡
s	[1]腮塞{堵~}筛[5]塞{要~}赛晒
z	[1]该[2]改[5]丐盖钙概
k	[1]开揩[3]凯楷[5]慨忾
kʰ	[1]还孩[3]海[5]害
x	[1]歪[5]外
ɣ	[1]衰挨[2]捱呆{~板}癌[3]短蔼[5]艾爱碍
#iε	
p	[1]憋鳖[2]别{~针、~去}[3]瘪[5]蹩
pʰ	[1]撇瞥[1]苤
m	[1]灭蔑篾[2]咩
t	[1]爹跌[2]迭叠碟蝶谍
tʰ	[1]帖贴铁
n	[1]聂镊孽拈捏
l	[1]裂列劣烈猎[3]咧{~嘴笑}
tɕ	[1]阶皆接秸揭街结[2]节劫杰结捷截[3]姐解{~决}[5]介届界借械
tɕʰ	[1]切{~除}[3]且[5]妾怯窃切{~脉}
ɕ	[1]歇蝎血[2]协邪胁斜鞋谐[3]写蟹[5]泻泄卸谢
	[1]叶业噎页[2]爷[3]椰也冶野[5]夜液
#uæi	
ts	[5]拽
tsʰ	[1]揣{~在怀里}[3]揣{~摩}[5]踹
s	[1]衰摔[3]甩[5]帅率蟀
k	[1]乖[3]拐[5]怪
kʰ	[3]扛{~痒}[5]会{~计}快块筷侩
x	[2]怀淮槐[5]坏
#ə	
t	[1]得{~到}德
tʰ	[2]特
l	[1]肋勒
ts	[1]遮窄[2]责泽仄浙哲辙则折摘宅择[3]者[5]这
tsʰ	[1]册车拆策[3]扯[5]侧测策彻撤
s	[1]色涩奢虱[2]舌蛇[3]合{~弃}[5]社舍{宿~}射设赦麝
z	[1]热[3]惹
k	[1]割哥歌戈鸽疙搁{~}隔葛各{~个}角[2]革嗝格阁搁{~点糖}[5]个
kʰ	[1]苛科柯颗棵渴刻克[2]咳暄[3]可[5]客课
x	[1]喝[2]禾何河和荷核盒[5]贺鹤
ɣ	[1]屙恶{作~}额{~勒盖子}[2]俄娥蛾鹅扼[5]饿
#uo	
p	[1]剥玻菠播拨[2]伯勃柏脖博薄[3]簸
pʰ	[1]坡迫泊泼魄[2]婆[5]破剖
m	[1]末摸么脉默沫墨麦[2]模膜磨魔[3]抹{~煞}[5]陌没{~收}
f	[3]否
t	[1]多[2]夺铎[3]朵躲[5]舵堕跺
tʰ	[1]托拖脱[2]陀沱驮驼[3]妥椭
n	[1]搦[2]挪[5]懦糯
l	[1]落{~后}烙{~饼}洛{~河}[2]萝逻锣骡[3]捋裸虏[5]摞
ts	[1]作{~阴天}桌捉[2]昨琢卓凿茁着{~急}[3]左佐撮座{~右铭}坐作{振~}座{~落}做
tsʰ	[1]搓撮蹉[2]戳矬[5]措错锉
s	[1]梭说梳[2]勺妁[3]数{~钱}锁唢琐所索[5]数{~字}硕烁
z	[1]若弱
k	[1]郭涡锅过{~时}[2]国[3]果裹[5]过{越~}
kʰ	[1]扩括廓[5]阔
x	[1]豁[2]活或和{~面}[3]火伙[5]和{~点糖}货祸霍
v	[1]倭涡窝蜗握{~手}[3]我[5]沃卧握{把~}
#yo	
tɕ	[1]角脚[2]嚼撅绝决倔
tɕʰ	[1]缺[2]却瘸茄[5]鹊雀确{~实}
ɕ	[1]削靴薛[2]穴学
	[1]约药月钥越悦阅
#ei	
p	[1]杯卑悲背{~带}碑北[2]白柏[5]贝备被倍辈臂{胳~}
pʰ	[1]胚拍[2]陪培裴[5]沛佩配
m	[1]没墨麦[2]玫枚眉梅煤媒霉[3]每美[5]妹魅
f	[1]飞妃非菲[2]肥[3]匪诽[5]吠肺费废痱
v	[1]威揻煨[2]为{年轻有~、~何}圩围[3]微危薇巍惟唯违维伪尾委伟[5]卫未味喂尉魏
t	[1]堆得{可~注意}[5]兑碓对队
tʰ	[1]推[3]腿[5]颓退蜕
l	[2]雷擂[3]垒累{~计}[5]泪类累{劳~}
ts	[3]嘴[2]贼[5]最罪醉
tsʰ	[1]崔摧催[5]粹翠脆
s	[1]尿虽雎[2]随遂髓[3]谁[5]岁穗碎
k	[3]给
kʰ	[2]吃
x	[1]黑
#uei	
ts	[1]追锥[5]赘
tsʰ	[2]垂棰锤
s	[5]睡税
z	[5]瑞锐
k	[1]归龟规闺[3]鬼诡轨[5]柜桂贵跪
kʰ	[1]亏[2]奎葵傀[5]窥愧溃
x	[1]灰恢挥徽[2]回蛔[3]毁[5]会惠贿绘
#ɔ	
p	[1]包苞胞[3]宝保饱[5]报抱暴爆
pʰ	[1]抛[2]刨袍[3]跑[5]炮泡
m	[1]猫[2]毛矛茅锚[3]卯铆[5]茂帽冒貌
t	[1]刀叨[3]导倒{~车}岛捣蹈[5]到倒{~立}悼盗道稻
tʰ	[1]掏滔涛[2]逃陶海桃[3]讨[5]套
n	[1]孬[3]脑恼[5]闹
l	[2]捞牢劳唠[3]老佬[5]涝
ts	[2]遭糟招昭诏[3]早枣澡[5]灶皂造燥兆照罩
tsʰ	[1]操抄超[2]曹巢朝潮[3]草吵钞炒[5]糙
s	[1]臊骚捎梢烧[2]韶绍[3]扫嫂少{~数}[5]少{老~}哨
z	[1]绕{~亭子}[2]饶[3]扰绕{环~}[5]绕{~线}
k	[1]高羔膏{~药}镐[3]搞稿[5]告诰
kʰ	[1]尻[3]考拷烤[5]靠铐
x	[1]蒿[2]号{~哭}毫豪嚎壕[3]好{~人}郝[5]号好{~恶}浩耗皓
ɣ	[1]熬{~稀饭}[2]邀嗷翱[3]袄[5]奥澳懊傲惊
#iɔ	
p	[1]标彪膘镖[3]表婊裱俵[5]摽
pʰ	[1]飘漂{~泊}[2]嫖瓢[3]漂{~白}[5]票漂{~亮}
m	[2]苗描瞄[3]眇渺秒藐[5]妙庙
t	[1]刁叼凋雕[3]屌[5]吊掉调{~动}
tʰ	[1]挑{~选}[2]条迢笤调{~和}[3]挑{~拨}[5]眺跳
n	[3]鸟袅[5]尿{~布}
l	[2]辽疗聊撩燎[3]了{~解、明~}[5]料撂
tɕ	[1]交郊姣椒教{~书}娇骄缴{~费}[3]狡绞饺侥[5]叫觉教{~导}较{比~}轿
tɕʰ	[1]敲跷[2]乔瞧憔[3]巧[5]窍峭鞘翘{~尾巴}
ɕ	[1]消宵肖萧箫[3]小晓[5]孝效校笑酵
	[1]夭要{~挟}腰邀[2]尧窑遥摇谣[3]咬[5]要{重~}耀跃{~进}
#ou	
t	[1]都兜[3]斗{漏~}抖陡[5]斗{~争}豆逗窦
tʰ	[1]偷[2]头投[5]透
l	[2]楼[3]搂[5]漏露{~脸}
ts	[1]州舟周洲[3]走肘[5]奏揍宙咒昼骤
tsʰ	[1]抽[2]仇惆筹愁稠绸踌[3]丑瞅[5]凑臭
s	[1]瘦搜馊收[3]擞叟手守首[5]嗽寿受兽售瘦
z	[2]柔揉蹂[5]肉
k	[1]勾沟钩[3]苟狗[5]构购够
kʰ	[1]抠[3]口[5]叩扣寇
x	[2]喉猴[5]后厚候{等~}
ɣ	[1]欧讴鸥呕[3]偶藕[5]讴怄
#iou	
t	[1]丢
n	[1]妞[2]牛[3]扭纽[5]拗
l	[1]遛[2]刘流留琉瘤[3]柳[5]陆{肆伍~}六
tɕ	[1]纠赳揪鸠[3]九玖久[5]旧究舅就救
tɕʰ	[1]丘邱秋蚯[2]泅球求[3]囚
ɕ	[1]休修羞[3]朽[5]秀袖绣锈
	[1]优幽悠[2]尤由邮犹油游[3]友有[5]又幼诱柚
#ɑ̃	
p	[1]班般斑搬[3]板版[5]办半扮伴瓣
pʰ	[1]潘攀[2]盘[5]判叛盼畔
m	[1]满[2]蛮瞒馒[3]满[5]曼漫慢蔓
f	[1]帆番翻[2]凡矾烦繁[3]反返[5]犯泛范贩饭
v	[1]弯豌湾[2]完玩顽丸[3]宛碗惋腕晚[5]万
t	[1]丹单担{~水}耽[3]胆掸
tʰ	[1]贪滩摊[2]坛痰谈谭弹{~力}檀[3]坦袒毯[5]叹炭探碳
n	[1]男南难{困~}[5]难{遇难}
l	[2]兰拦栏婪蓝蓝[3]懒览 [5]烂滥
ts	[1]簪沾毡钻{~石}[3]咱展攒盏崭辗[5]占战站栈绽颤
tsʰ	[1]参{~加}餐搀[2]蚕残馋婵[3]惭产铲惨[5]灿忏
s	[1]三山杉删衫膻[3]散伞闪[5]散{解~}善擅鳝
z	[3]然染
k	[1]干{~旱}肝杆{旗~}[3]杆{秤~}敢赶感[5]干赣
kʰ	[1]刊看{~守}堪[3]坎砍槛{门~}[5]看{~见}
x	[1]憨罕[2]含鼾函涵寒韩[3]喊[5]汉汗旱悍焊憾翰
ɣ	[1]安桉氨庵鞍[3]俺[5]岸按案暗
#iɑ̃	
p	[1]边编[3]匾贬[5]弁变便{方~}辨辫
pʰ	[1]偏{~爱}篇翩[2]便{~宜}[5]片骗
m	[2]眠棉绵[3]免勉娩[5]面缅
t	[1]掂滇颠巅癫[3]典点碘[5]电垫甸店淀莫殿
tʰ	[1]天添[2]田甜填[3]腆
n	[1]焉[2]年鲇[3]捻碾撵[5]念
l	[2]帘怜连联廉莲镰[3]脸[5]练炼恋楝殓敛
tɕ	[1]尖奸坚肩艰兼间{一~房}[3]茧拣剪减碱捡俭检[5]件笺鉴渐箭剑溅
tɕʰ	[1]千迁牵签铅谦纤[2]前乾钱[3]浅潜黔[5]欠倩歉堑
ɕ	[1]仙先掀鲜[2]弦闲嫌贤衔[3]显险[5]县限宪陷现献羡线
	[1]咽烟胭淹腌[2]言严延沿炎岩盐研焰[3]掩眼演[5]厌沿{沟~}晏艳雁燕验
#uɑ̃	
t	[1]端[3]短[5]段断
n	[3]暖
l	[3]峦栾卵[5]乱
ts	[1]钻{~孔}专砖[3]转{~弯}[5]赚攥传{~记}撰转{~动}
tsʰ	[1]汆穿川[2]传{~达}船[3]喘[5]窜篡串
s	[1]酸栓[5]算涮
z	[3]软阮
k	[1]官关棺观[3]管馆[5]冠灌贯掼惯
kʰ	[1]宽[3]款
x	[1]欢獾[2]还{归~}环寰[3]缓[5]患涣焕换唤幻
#yɑ̃	
tɕ	[1]捐涓娟鹃[3]卷{~人}[5]圈{猪~}倦券
tɕʰ	[1]圈{圆~}[2]拳权全泉[3]犬[5]劝
ɕ	[1]轩宣喧鲜仙[2]旋漩玄悬[3]选癣[5]绚
	[1]渊冤鸳[2]元园袁辕猿援员源[3]远[5]院愿怨
#ə̃	
p	[1]奔崩绷{~带}[3]本[5]笨蚌蹦迸
pʰ	[1]喷[2]盆彭澎朋棚蓬[3]捧[5]碰喷{~香}
m	[1]闷{~声~气}[2]门蒙萌盟们[3]猛锰[5]闷{~~不乐}焖孟梦
f	[1]分吩封丰峰锋风疯枫讽[2]坟冯逢[3]焚[5]缝{门~}奉凤
v	[1]温瘟翁嗡[2]文蚊纹闻[3]紊稳吻刎[5]问
t	[1]敦墩蹲吨灯登[3]等[5]澄瞪凳邓
tʰ	[2]腾誉滕藤疼
n	[2]能
l	[3]冷[5]愣楞棱{~角}
ts	[1]增征{~途}争蒸榛斟真针珍侦肫尊遵[3]怎枕诊整拯[5]憎震振镇朕阵正郑证政
tsʰ	[1]参{~差}村[2]曾{~经}层沉臣辰晨尘陈橙成诚城呈程乘存[5]衬趁称{~心}骋寸
s	[1]森僧深申伸绅参{人~}身孙[2]绳什神[3]审省沈损榫笋婶[5]甚椹慎肾盛胜剩圣
z	[1]扔[2]人任仁[3]忍仍[5]认任刃
k	[1]更{打~}根跟耕[3]亘埂梗耿[5]更{~加}
kʰ	[1]坑吭[3]肯啃垦恳
x	[1]亨[2]恒衡痕[3]很狠[5]恨
ɣ	[1]恩[5]摁
#ĩ	
p	[1]宾槟斌彬冰兵[3]柄饼秉[5]鬓并病
pʰ	[1]拼姘乒[2]濒贫瓶平评苹凭[3]品[5]聘
m	[2]民明名[3]鸣铭敏皿闽
t	[1]丁叮盯钉{~子}[3]顶鼎[5]定订钉{~上}
tʰ	[1]厅听[2]亭停廷庭艇[3]挺蜒[5]听{一~罐头}
n	[2]柠咛宁凝拧{~紧}[5]拧{~脾气}
l	[1]拎[2]璘鳞临林淋邻灵凌零玲[3]领岭[5]另
tɕ	[1]巾今金斤筋津浸京惊精荆经茎[3]紧锦仅景井警[5]进尽禁近劲竞境晴敬静径
tɕʰ	[1]亲钦侵清青蜻轻倾[2]勤琴禽芹情晴擎[3]寝请倾[5]庆吣
ɕ	[1]心辛欣新薪[2]刑行{~人}形型[3]醒[5]兴性杏幸姓
	[1]音因殷荫阴鹰莺罂婴樱英[2]寅赢莹营蝇盈楹迎[3]饮引尹瘾隐饮影颖[5]印应饮{~马}硬淫
#uə̃	
ts	[1]谆准
tsʰ	[1]春椿[2]唇纯[3]鹑蠹
s	[5]舜瞬顺
z	[5]闰润
k	[3]滚磙辊[5]棍
kʰ	[1]昆鲲[3]捆[5]困
x	[1]荤昏婚[2]浑魂馄[3]混{~同}[5]混{鬼~}
#ỹ	
tɕ	[1]菌军均钧君[5]浚竣骏俊郡
tɕʰ	[2]群裙
ɕ	[1]勋熏薰[2]旬循询徇寻巡[5]训汛迅逊
	[1]晕恽[2]云芸耘匀[3]允[5]运韵孕熨
#ɑŋ	
p	[1]邦梆帮浜[3]榜膀绑[5]镑棒蚌
pʰ	[1]乓[2]旁磅谤膀庞[3]耪[5]胖
m	[1]牤[2]忙芒茫盲氓[3]莽蟒
f	[1]方芳[2]房妨{~碍}[3]妨{不~}坊防妨访仿[5]放
v	[1]汪枉{~然}[2]亡王[3]网往惘[5]忘妄旺往{~东去}
t	[1]当{~选}裆铛{~~响}[3]挡党档[5]砀荡当{~铺}
tʰ	[1]蹚汤[2]唐糖塘搪棠[3]淌躺[5]趟烫
n	[1]齉囊[2]囊[3]攘
l	[2]琅狼郎廊朗[5]浪
ts	[1]脏赃章樟蟑张瘴[3]长{~高}[5]葬藏障帐胀丈杖仗
tsʰ	[1]仓苍舱昌菖猖娼[2]藏{~书}尝偿常嫦长{~短}肠[3]场{打~}敞[5]畅唱倡
s	[1]丧桑商伤[3]操噪赏垧响上{~声}[5]上裳
z	[3]嚷壤[5]让
k	[1]肛刚钢纲冈岗[3]港[5]杠
kʰ	[1]康慷糠[2]扛[5]亢抗炕
x	[1]夯[2]杭航行{排~}
ɣ	[1]肮[2]昂盎
#iɑŋ	
n	[2]娘[3]酿
l	[2]凉良粮梁粱量{~布}[3]两俩[5]亮凉{~午}谅晾辆量
tɕ	[1]姜将{~军}江豇僵疆[3]讲奖蒋[5]匠酱犟降{~低}
tɕʰ	[1]腔枪呛炝[2]墙强蔷[3]抢[5]呛
ɕ	[1]襄镶湘厢相{互~}箱香乡[2]祥翔详[3]享想响饷[5]项巷相{~马}
	[1]央殃秧[2]羊洋杨扬阳[3]养氧仰[5]样漾
#ɑŋ	
ts	[1]装妆庄桩[3]幢[5]撞幢壮状
tsʰ	[1]窗疮[2]床[3]闯[5]创
s	[1]霜双[3]爽
k	[1]光胱[3]广犷[5]逛
kʰ	[1]匡诓框筐[2]狂诳[5]矿旷框眶况
x	[1]荒慌 [2]皇惶蝗凰黄璜[3]谎晃{~眼}幌[5]晃{~动}
#oŋ	
t	[1]东冬[3]董懂[5]动冻栋洞
tʰ	[1]通[2]童同桐铜[3]统筒桶
n	[2]农浓脓[5]弄
l	[2]龙笼隆聋[3]拢陇
ts	[1]宗棕踪中忠钟终盅[3]总肿种{~子}[5]粽纵众种{~田}重{~量}
tsʰ	[1]充冲聪葱匆[2]虫重{~复}从丛[3]崇宠囱[5]冲{说话~}
s	[1]松淞讼[3]耸[5]宋送颂诵
z	[2]荣容绒溶融嵘
k	[1]工攻功公恭弓躬宫[3]官汞巩拱[5]供共
kʰ	[1]空{天~}[3]恐孔[5]空{~闲}控
x	[1]烘哄{闹~~}轰[2]鸿虹红洪弘[3]哄{~骗}[5]讧哄{起~}
ɣ	[1]翁嗡瓮翁
#ioŋ	
tɕ	[3]炯
tɕʰ	[2]穷琼穹
ɕ	[1]凶匈汹胸[2]雄熊
	[1]庸慵雍拥[3]永咏泳涌勇[5]用佣
