fanti	jianti	pinyin2	pinyin	ipa	beizhu
幾	几	gi	gi1h	ki⁵⁵	~乎。
己	己	gi	gi3	ki³⁵	
紀	纪	gi	gi3	ki³⁵	
杞	杞	gi	gi3	ki³⁵	
幾	几	gi	gi3	ki³⁵	~个。
寄	寄	gi	gi3	ki³⁵	
澀	涩	gi	gi3	ki³⁵	~~哋：涩涩的。
記	记	gi	gi6	ki³³	
既	既	gi	gi6	ki³³	
技	技	gi	gi6	ki²²	
妓	妓	gi	gi6	ki²²	
忌	忌	gi	gi6	ki²²	
崎	崎	ki	ki1h	kʰi⁵⁵	
奇	奇	ki	ki2	kʰi⁴⁴	
岐	岐	ki	ki2	kʰi⁴⁴	
歧	歧	ki	ki2	kʰi⁴⁴	
祁	祁	ki	ki2	kʰi⁴⁴	
鰭	鳍	ki	ki2	kʰi⁴⁴	
其	其	ki	ki2	kʰi⁴⁴	
期	期	ki	ki2	kʰi⁴⁴	
棋	棋	ki	ki2	kʰi⁴⁴	
旗	旗	ki	ki2	kʰi⁴⁴	
祈	祈	ki	ki2	kʰi⁴⁴	
企	企	ki	ki4	kʰi¹³	
徛	徛	ki	ki4	kʰi¹³	站立。
冀	冀	ki	ki4	kʰi¹³	
稀	稀	hi	hi1	hi²⁴	
犧	牺	hi	hi1h	hi⁵⁵	
欺	欺	hi	hi1h	hi⁵⁵	
嬉	嬉	hi	hi1h	hi⁵⁵	
熙	熙	hi	hi1h	hi⁵⁵	
希	希	hi	hi1h	hi⁵⁵	
起	起	hi	hi3	hi³⁵	
喜	喜	hi	hi3	hi³⁵	
豈	岂	hi	hi3	hi³⁵	
戲	戏	hi	hi4	hi¹³	
器	器	hi	hi4	hi¹³	
棄	弃	hi	hi4	hi¹³	
汽	汽	hi	hi4	hi¹³	
氣	气	hi	hi4	hi¹³	
醫	医	ji	ji1	ji²⁴	
衣	衣	ji	ji1	ji²⁴	
依	依	ji	ji1	ji²⁴	
伊	伊	ji	ji1h	ji⁵⁵	
綺	绮	ji	ji3	ji³⁵	
倚	倚	ji	ji3	ji³⁵	
椅	椅	ji	ji3	ji³⁵	
意	意	ji	ji5	ji³³	
兒	儿	ji	ji2	ji⁴⁴	
宜	宜	ji	ji2	ji⁴⁴	
儀	仪	ji	ji2	ji⁴⁴	
移	移	ji	ji2	ji⁴⁴	
夷	夷	ji	ji2	ji⁴⁴	
姨	姨	ji	ji2	ji⁴⁴	
而	而	ji	ji2	ji⁴⁴	
疑	疑	ji	ji2	ji⁴⁴	
擬	拟	ji	ji2	ji⁴⁴	
飴	饴	ji	ji2	ji⁴⁴	
沂	沂	ji	ji2	ji⁴⁴	
凝	凝	ji	ji2	ji⁴⁴	
爾	尔	ji	ji4	ji¹³	
耳	耳	ji	ji4	ji¹³	
已	已	ji	ji4	ji¹³	
以	以	ji	ji4	ji¹³	
誼	谊	ji	ji4	ji¹³	
義	义	ji	ji4	ji¹³	
議	议	ji	ji4	ji¹³	
易	易	ji	ji4	ji¹³	难~。
二	二	ji	ji4	ji¹³	
貳	贰	ji	ji4	ji¹³	
異	异	ji	ji4	ji¹³	
煲	煲	bo	bo1	pɔ²⁴	又读。茶~。
波	波	bo	bo1h	pɔ⁵⁵	
菠	菠	bo	bo1h	pɔ⁵⁵	
玻	玻	bo	bo1h	pɔ⁵⁵	
播	播	bo	bo5	pɔ³³	
樖	樖	po	po1	pʰɔ²⁴	棵。
破	破	po	po5	pʰɔ³³	
婆	婆	po	po4	pʰɔ¹³	
菩	菩	po	po4	pʰɔ¹³	
魔	魔	mo	mo1h	mɔ⁵⁵	
摩	摩	mo	mo1h	mɔ⁵⁵	
饃	馍	mo	mo1h	mɔ⁵⁵	
摸	摸	mo	mo3	mɔ³⁵	
模	模	mo	mo3	mɔ³⁵	又读。
磨	磨	mo	mo2	mɔ⁴⁴	动词。
磨	磨	mo	mo6	mɔ²²	名词。
科	科	fo	fo1	fɔ²⁴	
火	火	fo	fo3	fɔ³⁵	
夥	伙	fo	fo3	fɔ³⁵	
貨	货	fo	fo3	fɔ³⁵	
課	课	fo	fo5	fɔ³³	
多	多	do	do1	tɔ²⁴	
朵	朵	do	do3	tɔ³⁵	
躲	躲	do	do4	tɔ¹³	
墮	堕	do	do6	tɔ²²	
惰	惰	do	do6	tɔ²²	
拖	拖	to	to1	tʰɔ²⁴	
駝	驼	to	to3	tʰɔ³⁵	
舵	舵	to	to3	tʰɔ³⁵	
馱	驮	to	to3	tʰɔ³⁵	
妥	妥	to	to4	tʰɔ¹³	
橢	椭	to	to4	tʰɔ¹³	
挪	挪	no	no2	nɔ⁴⁴	
糯	糯	no	no6	nɔ²²	
簍	篓	lo	lo1h	lɔ⁵⁵	
啰	啰	lo	lo1h	lɔ⁵⁵	~嗦。
顆	颗	lo	lo3	lɔ³⁵	
羅	罗	lo	lo2	lɔ⁴⁴	
鑼	锣	lo	lo2	lɔ⁴⁴	
籮	箩	lo	lo2	lɔ⁴⁴	
蘿	萝	lo	lo2	lɔ⁴⁴	
螺	螺	lo	lo2	lɔ⁴⁴	
腡	脶	lo	lo2	lɔ⁴⁴	手指纹。
左	左	zo	zo3	tsɔ³⁵	
佐	佐	zo	zo3	tsɔ³⁵	
鑿	凿	zo	zo3	tsɔ³⁵	又读。
座	座	zo	zo6	tsɔ²²	
助	助	zo	zo6	tsɔ²²	
坐	坐	zo	zo6	tsɔ²²	文读。
搓	搓	co	co1	tsʰɔ²⁴	
初	初	co	co1	tsʰɔ²⁴	
雛	雏	co	co1h	tsʰɔ⁵⁵	
挫	挫	co	co5	tsʰɔ³³	
銼	锉	co	co5	tsʰɔ³³	
錯	错	co	co5	tsʰɔ³³	
鋤	锄	co	co2	tsʰɔ⁴⁴	
楚	楚	co	co2	tsʰɔ⁴⁴	
礎	础	co	co2	tsʰɔ⁴⁴	
坐	坐	co	co4	tsʰɔ¹³	白读。
蓑	蓑	so	so1	sɔ²⁴	
唆	唆	so	so1	sɔ²⁴	
梳	梳	so	so1	sɔ²⁴	
疏	疏	so	so1	sɔ²⁴	
蔬	蔬	so	so1	sɔ²⁴	
梭	梭	so	so1h	sɔ⁵⁵	
鎖	锁	so	so3	sɔ³⁵	
瑣	琐	so	so3	sɔ³⁵	
所	所	so	so3	sɔ³⁵	
傻	傻	so	so2	sɔ⁴⁴	
哥	哥	go	go1	kɔ²⁴	
歌	歌	go	go1	kɔ²⁴	
戈	戈	go	go1h	kɔ⁵⁵	
果	果	go	go3	kɔ³⁵	
裸	裸	go	go3	kɔ³⁵	
裹	裹	go	go3	kɔ³⁵	
馃	馃	go	go3	kɔ³⁵	
棵	棵	go	go3	kɔ³⁵	
角	角	go	go3	kɔ³⁵	又读。豆~：豇豆。
个	个	go	go5	kɔ³³	
箇	个	go	go5	kɔ³³	
個	个	go	go5	kɔ³³	
過	过	go	go5	kɔ³³	
可	可	ho	ho3	hɔ³⁵	
鶴	鹤	ho	ho3	hɔ³⁵	
河	河	ho	ho2	hɔ⁴⁴	
何	何	ho	ho2	hɔ⁴⁴	
荷	荷	ho	ho2	hɔ⁴⁴	薄~；~花。
荷	荷	ho	ho6	hɔ²²	负~。
賀	贺	ho	ho6	hɔ²²	
蛾	蛾	ngo	ngo2	ŋɔ⁴⁴	
鵝	鹅	ngo	ngo2	ŋɔ⁴⁴	
俄	俄	ngo	ngo2	ŋɔ⁴⁴	
訛	讹	ngo	ngo2	ŋɔ⁴⁴	
我	我	ngo	ngo4	ŋɔ¹³	
餓	饿	ngo	ngo6	ŋɔ²²	
臥	卧	ngo	ngo6	ŋɔ²²	
倭	倭	ngo	ngo1h	ŋɔ⁵⁵	
窩	窝	ngo	ngo1h	ŋɔ⁵⁵	
蝸	蜗	ngo	ngo1h	ŋɔ⁵⁵	
和	和	ngo	ngo2	ŋɔ⁴⁴	
禾	禾	ngo	ngo2	ŋɔ⁴⁴	
禍	祸	ngo	ngo2	ŋɔ⁴⁴	
阿	阿	o	o1	ɔ²⁴	~胶。
補	补	bu	bu3	pu³⁵	
簿	簿	bu	bu3	pu³⁵	
布	布	bu	bu5	pu³³	
佈	布	bu	bu5	pu³³	
怖	怖	bu	bu5	pu³³	
部	部	bu	bu6	pu²²	
步	步	bu	bu6	pu²²	
捕	捕	bu	bu6	pu²²	
菢	菢	bu	bu6	pu²²	~鸡仔。
鋪	铺	pu	pu1h	pʰu⁵⁵	~设。
譜	谱	pu	pu3	pʰu³⁵	
普	普	pu	pu3	pʰu³⁵	
浦	浦	pu	pu3	pʰu³⁵	
甫	甫	pu	pu3	pʰu³⁵	
脯	脯	pu	pu3	pʰu³⁵	杏~。
鋪	铺	pu	pu5	pʰu³³	~头。
蒲	蒲	pu	pu2	pʰu⁴⁴	
浮	浮	pu	pu2	pʰu⁴⁴	又读。~面：浮起。
脯	脯	pu	pu2	pʰu⁴⁴	胸~。
瓠	瓠	pu	pu2	pʰu⁴⁴	~瓜。
模	模	mu	mu3	mu³⁵	
膜	膜	mu	mu3	mu³⁵	
摹	摹	mu	mu2	mu⁴⁴	
毛	毛	mu	mu2	mu⁴⁴	
模	模	mu	mu2	mu⁴⁴	
無	无	mu	mu2	mu⁴⁴	
巫	巫	mu	mu2	mu⁴⁴	
誣	诬	mu	mu2	mu⁴⁴	
武	武	mu	mu4	mu¹³	
舞	舞	mu	mu4	mu¹³	
侮	侮	mu	mu4	mu¹³	
鵡	鹉	mu	mu4	mu¹³	
母	母	mu	mu4	mu¹³	
拇	拇	mu	mu4	mu¹³	
暮	暮	mu	mu6	mu²²	
慕	慕	mu	mu6	mu²²	
墓	墓	mu	mu6	mu²²	
募	募	mu	mu6	mu²²	
務	务	mu	mu6	mu²²	
霧	雾	mu	mu6	mu²²	
枯	枯	fu	fu1	fu²⁴	
呼	呼	fu	fu1	fu²⁴	
夫	夫	fu	fu1	fu²⁴	
膚	肤	fu	fu1	fu²⁴	
敷	敷	fu	fu1	fu²⁴	
俘	俘	fu	fu1	fu²⁴	
孵	孵	fu	fu1	fu²⁴	
麩	麸	fu	fu1	fu²⁴	
跗	跗	fu	fu1h	fu⁵⁵	
苦	苦	fu	fu3	fu³⁵	
虎	虎	fu	fu3	fu³⁵	
滸	浒	fu	fu3	fu³⁵	
壺	壶	fu	fu3	fu³⁵	
府	府	fu	fu3	fu³⁵	
腑	腑	fu	fu3	fu³⁵	
俯	俯	fu	fu3	fu³⁵	
斧	斧	fu	fu3	fu³⁵	
撫	抚	fu	fu3	fu³⁵	
釜	釜	fu	fu3	fu³⁵	
庫	库	fu	fu5	fu³³	
褲	裤	fu	fu5	fu³³	
戽	戽	fu	fu5	fu³³	
賦	赋	fu	fu5	fu³³	
赴	赴	fu	fu5	fu³³	
訃	讣	fu	fu5	fu³³	
富	富	fu	fu5	fu³³	
副	副	fu	fu5	fu³³	
胡	胡	fu	fu2	fu⁴⁴	
鬍	胡	fu	fu2	fu⁴⁴	
湖	湖	fu	fu2	fu⁴⁴	
狐	狐	fu	fu2	fu⁴⁴	
乎	乎	fu	fu2	fu⁴⁴	
瓠	瓠	fu	fu2	fu⁴⁴	~芦。
符	符	fu	fu2	fu⁴⁴	
扶	扶	fu	fu2	fu⁴⁴	
芙	芙	fu	fu2	fu⁴⁴	
婦	妇	fu	fu4	fu¹³	又读。
戶	户	fu	fu6	fu²²	
互	互	fu	fu6	fu²²	
護	护	fu	fu6	fu²²	
付	付	fu	fu6	fu²²	
傅	傅	fu	fu6	fu²²	
父	父	fu	fu6	fu²²	
腐	腐	fu	fu6	fu²²	
輔	辅	fu	fu6	fu²²	
附	附	fu	fu6	fu²²	
婦	妇	fu	fu6	fu²²	又读。
負	负	fu	fu6	fu²²	
芋	芋	fu	fu6	fu²²	白读。
都	都	du	du1h	tu⁵⁵	
堵	堵	du	du3	tu³⁵	
賭	赌	du	du3	tu³⁵	
肚	肚	du	du3	tu³⁵	
妒	妒	du	du6	tu²²	
杜	杜	du	du6	tu²²	
度	度	du	du6	tu²²	
渡	渡	du	du6	tu²²	
鍍	镀	du	du6	tu²²	
土	土	tu	tu3	tʰu³⁵	
討	讨	tu	tu3	tʰu³⁵	
唾	唾	tu	tu5	tʰu³³	
吐	吐	tu	tu5	tʰu³³	
兔	兔	tu	tu5	tʰu³³	
徒	徒	tu	tu2	tʰu⁴⁴	
屠	屠	tu	tu2	tʰu⁴⁴	
途	途	tu	tu2	tʰu⁴⁴	
塗	涂	tu	tu2	tʰu⁴⁴	
圖	图	tu	tu2	tʰu⁴⁴	
奴	奴	nu	nu2	nu⁴⁴	
努	努	nu	nu4	nu¹³	
怒	怒	nu	nu6	nu²²	
盧	卢	lu	lu2	lu⁴⁴	
爐	炉	lu	lu2	lu⁴⁴	
蘆	芦	lu	lu2	lu⁴⁴	
廬	庐	lu	lu2	lu⁴⁴	
驢	驴	lu	lu2	lu⁴⁴	
魯	鲁	lu	lu4	lu¹³	
櫓	橹	lu	lu4	lu¹³	
虜	虏	lu	lu4	lu¹³	
鹵	卤	lu	lu4	lu¹³	
路	路	lu	lu6	lu²²	
賂	赂	lu	lu6	lu²²	
露	露	lu	lu6	lu²²	
鷺	鹭	lu	lu6	lu²²	
租	租	zu	zu1	tsu²⁴	
