	注釋：=文，-白																																																
kʰ	[1]坑-																																																
ŋ	[3]雅[6]硬-																																																
∅	[1]嬰-[2]楹-																																																
#ɛ̃ʔ																																																	
m	[8]脈																																																
ŋ	[7]夾｛用箸夾菜｝[8]擠																																																
#m																																																	
h	[1]莓茅｛～仔草｝																																																
∅	[3]姆-[6]毋｛不｝																																																
#mʔ																																																	
h	[8]默｛～～｝																																																
#ŋ																																																	
p	[1]幫-[3]榜-[6]榜-																																																
m	[2]毛-																																																
t	[1]當-[2]堂-唐-｛姓｝塘-長-腸-[3]漲｛～水｝[5]當-｛典～｝[6]丈-蕩-盪｛洗～｝																																																
tʰ	[1]湯-[2]糖-[3]□｛推操｝[5]燙-[6]搪杖｛哭喪～｝																																																
n	[2]郎-｛牛～｝榔-瓤-																																																
ts	[1]莊-裝-贓-妝-[6]狀-｛告～｝臟-｛內～｝																																																
s	[1]霜-桑-喪-倉-瘡-艙-[2]床-																																																
k	[1]缸-扛-[5]鋼-杠-｛竹～｝																																																
kʰ	[1]康-｛姓｝糠-[5]囥｛收藏｝																																																
h	[1]方-｛藥～｝哼[3]哼																																																
∅	[1]央-｛中～｝秧-[5]眏｛照看｝																																																
#ŋʔ																																																	
s	[7]損｛浪費，糟蹋｝爽｛開玩～：玩鬧遊戲｝																																																
∅	[7]影｛樹～｝																																																
#ai																																																	
p	[2]排牌徘[3]擺跛-[5]拜[6]敗																																																
pʰ	[5]派沛拜																																																
b	[1]屄｛膣～：女人生殖器｝[2]埋眉-楣-霾																																																
t	[1]呆[2]臺埋-[3]滓-｛油～｝[5]戴｛愛～｝帶[6]大=代=貸玳怠殆																																																
tʰ	[1]胎=颱｛～風｝苔篩[2]治｛殺｝抬[3]吠｛～討：哪有｝癩｛～豪：麻風｝[5]太態泰汰[6]待																																																
l	[2]來萊梨-[6]內｛訓“裏”｝利｛鋒～｝裏-睞																																																
ts	[1]栽災齋知-[2]才材財臍-裁豺[3]宰滓崽指-｛中～｝[5]再載[6]在																																																
s	[1]獅-西-腮犀師-｛～父｝私猜[2]才=裁[3]使-駛-屎-采彩睬[5]婿-賽塞使-｛大～｝菜[6]姒-｛同～：妯娌｝伺-｛服～｝似-｛熟～：熟悉｝祀-｛～神明｝豎｛～柱｝																																																
k	[1]該皆偕階垓[3]改解=[5]界介蓋=芥=戒屆丐誡																																																
kʰ	[1]開=[3]楷凱鎧揩覬[5]概愾溉慨																																																
ɡ	[2]崖涯獃睚[6]礙																																																
h	[1]□｛大｝[2]孩頦諧骸械[3]海嗨[5]咳｛呵欠｝[6]害亥駭解｛姓｝懈邂																																																
∅	[1]哀埃挨[3]藹靄暖矮=[5]愛隘縊[6]唉｛叫苦｝																																																
#ãi																																																	
pʰ	[3]歹｛～人｝																																																
m	[3]買=｛～辦｝[6]賣=｛～相｝邁																																																
n	[3]乃奶=[6]耐奈=賴=鼐																																																
ŋ	[3]□｛用齒小咬｝駭｛疑～｝艾=																																																
h	[1]□｛呻吟｝[6]哎｛歎氣｝																																																
#au																																																	
p	[1]包胞[2]苞鮑[3]飽=																																																
pʰ	[1]刨拋[3]跑=[5]袍炮泡[6]抱=																																																
b	[3]卯昂鉚[6]茉｛～莉花｝□｛～面：頁面條｝																																																
t	[1]兜[2]投[3]鬥-[5]湊｛～鬧熱｝鬥-｛～龍船｝晝-｛日～：中午｝[6]豆-讀=｛句～｝骰																																																
tʰ	[1]偷-[2]頭-[3]敨｛解繩索｝[5]透-[6]毒｛毒殺｝																																																
l	[2]樓-劉-留-流-[3]老-｛～練｝□｛騙｝落｛雨～：漏期｝[5]落｛～屎：拉屎｝[6]漏-老-鬧-｛～熱｝																																																
ts	[1]槽[2]剿巢-[3]走-蚤-[5]灶奏[6]找｛～錢｝																																																
s	[1]捎艄抄鈔操-[3]草-炒=吵=[5]掃-嗽-哨-臭湊-																																																
k	[1]交郊勾溝鉤蛟[2]猴-侯-｛姓｝[3]狗-九-玖-狡搞垢口｛啞～｝[5]較夠-校｛～對｝教=窖[6]厚-																																																
kʰ	[1]薅｛～草｝鬮-敲｛推～｝[3]口[5]扣叩哭-																																																
ɡ	[2]𠢕｛能幹，有才能｝																																																
h	[3]哮吼酵[5]孝[6]效候校鱟後-｛～生｝																																																
∅	[1]歐毆凹坳泄甌[2]喉-[3]嘔拗｛～斷｝[5]奧｛替，腐味｝[6]後-｛以～｝																																																
#auʔ																																																	
p	[7]暴｛～痱仔：身上生出痱子｝[8]爆｛～米仔：把米加熱讓膨脹｝																																																
pʰ	[7]博｛胖｝[8]雹																																																
b	[8]貿-｛包收購｝																																																
l	[7]摎｛絞｝譊｛騙：～錢｝																																																
k	[7]捲｛～春餅｝[8]䂭｛滾轉｝																																																
#ãu																																																	
m	[2]矛茅[6]貌																																																
n	[3]腦惱[6]鬧｛吵～｝																																																
ŋ	[2]爻肴熬-[3]偶-[6]藕																																																
h	[5]好｛喜愛｝																																																
#ãuʔ																																																	
ŋ	[8]嗷｛～～叫｝																																																
#ɔu																																																	
p	[1]埔晡-｛下～：下午｝埠[2]蒲莆匍[3]補脯[5]布佈傅｛姓｝[6]步部哺-																																																
pʰ	[1]鋪麩｛麥～｝[2]扶｛～人：奉承人｝[3]浦普譜圃[5]鋪｛店～｝																																																
b	[2]模謀摹漠牟[3]某牡□｛妻子｝[6]慕暮貿茂戊幕募懋																																																
t	[1]都[2]途塗｛～改｝荼圖徒屠廚｛～子｝[3]賭睹拌堵蚪肚-｛腹部：腹～｝[5]鬥妒□｛滲透｝[6]度渡鍍杜逗豆=竇肚踱																																																
tʰ	[2]塗｛土｝[3]土[5]吐兔																																																
l	[2]盧蘆爐摟鏤[3]魯鹵虜擄櫓[5]露裸[6]路露陋鷺賂鹵｛鹽～｝																																																
ts	[1]租鄒芻諏[3]祖組阻詛俎齟走=[6]助驟																																																
s	[1]蘇酥搜=蔬=疏=梳=粗[3]所叟艘漱｛～水：急水｝楚礎[5]素訴愫數措醋																																																
k	[1]姑枯菇沽骷孤鳩辜酤[2]糊-[3]古鼓股枸構購垢估賈｛商～｝苟膈[5]雇顧固故痼																																																
kʰ	[1]箍呼｛～雞｝眶｛目～｝[3]苦許｛姓｝口=[5]褲庫寇叩蔻																																																
ɡ	[2]吳吾梧浯[6]誤悟晤五-伍-寤																																																
h	[1]呼[2]侯鬍｛～鬚｝弧狐[3]虎否滸嶽琥[5]戽｛～水｝[6]戶護互厚=后｛皇～｝候雨乎滬獲逅																																																
∅	[1]烏｛黑｝嗚謳[2]胡湖壺盂｛痰～｝[3]嘔=毆=[5]惡｛可～｝[6]芋-																																																
#ɔũ																																																	
n	[2]奴[3]努[6]怒																																																
ŋ	[3]五=我=伍偶[6]午仵｛～作｝																																																
#ɔm																																																	
s	[1]參｛人～｝森																																																
#ɔŋ																																																	
p	[2]滂房=[3]榜=[5]謗[6]磅泵																																																
pʰ	[1]乓｛乒～球｝[2]蓬｛～鬆｝[3]捧-[5]碰膨-｛～皮：皮膚表面膨脹｝																																																
b	[1]摸[2]亡忘茫盲蒙芒忙蠓[3]莽蟒惘蝄網=[6]夢=望=妄=																																																
t	[1]當=鐺東=冬=[2]唐童同彤膛潼堂=銅=桐=螳=[3]董懂黨[5]棟凍=檔當｛妥～｝[6]洞=動=宕撞-蕩慟																																																
tʰ	[1]通湯[3]統[5]痛																																																
l	[1]瓏｛玲～｝啷[2]郎狼廊農濃囊聾=琅朧膿=[3]朗攏壟=隴籠=[5]挵｛捅：～破｝[6]弄=浪																																																
ts	[1]宗蹤綜裝=莊=贓妝鬃=崇[2]藏｛收～｝叢=樅[3]總[5]壯葬[6]狀藏｛西～｝臟｛心～｝																																																
s	[1]喪孀桑=霜=聰蒼囪滄=[2]床=[3]爽搡𢱤顙[5]宋送=喪創																																																
k	[1]攻公功=光=剛=工=崗=[2]狂[3]廣講-[5]貢槓																																																
kʰ	[1]匡康空框=糠=[3]慷孔=[5]抗控礦亢曠伉																																																
ɡ	[6]戇｛傻｝																																																
h	[1]豐峰荒風轟封芳方慌鋒瘋哄烘蜂謊[2]皇洪簧癀惶煌凰紅=虹=防宏蝗縫=鴻黃弘妨[3]訪紡=仿晃況諷幌坊[5]放[6]奉俸鳳																																																
∅	[1]汪翁蓊[2]王[3]枉往=[5]甕｛～中捉鼇｝[6]旺																																																
#ɔk																																																	
p	[7]卜[8]僕泊暴=匐縛｛束～｝																																																
pʰ	[7]樸撲博搏璞膊[8]曝=瀑｛～布｝																																																
b	[8]莫=牧沐寞睦穆漠=目=木=																																																
t	[7]督卓啄琢篤[8]獨毒牘鐸瀆																																																
tʰ	[7]托託拓柝橐[8]讀=																																																
l	[7]漉｛水～～｝□｛煮爛｝□｛搖盪：～竿｝[8]鹿樂祿諾落｛～桑：穿戴過於隨便｝洛駱酪轆																																																
ts	[7]作[8]濁族濯擢																																																
s	[7]速朔束塑簇齪[8]鑿																																																
k	[7]國穀谷幗廓閣各[8]咯｛雞叫聲｝																																																
kʰ	[7]擴酷梏哭=[8]礚｛～頭｝																																																
ɡ	[8]鄂萼鱷愕噩顎																																																
h	[7]福複蝠馥霍壑覆腹=[8]服伏復｛～原｝鶴袱茯																																																
∅	[7]屋幄握齷惡｛凶～｝																																																
#an																																																	
p	[1]班斑頒瘢便｛～宜｝[2]瓶[3]扳版阪[6]扮辮瓣																																																
pʰ	[1]攀[5]盼襻｛鈕～：舊時用布條結紮成的鈕扣｝																																																
b	[2]蠻閩謾蔓[3]挽｛摘：～花｝[6]慢漫萬幔饅																																																
t	[1]丹單=鄲殫坍[2]彈陳-｛姓｝□｛響｝[3]等-[5]旦蛋=誕綻[6]但憚																																																
tʰ	[1]攤灘癱蟶[2]彈=檀[3]坦毯疸忐[5]炭=歎趁-｛賺｝																																																
l	[1]疤｛訓，結～｝[2]難零-鱗蘭攔欄瀾[3]懶=咱｛訓｝赧[6]難｛災～｝卵｛男子生殖器｝																																																
ts	[1]曾-｛姓｝繒[2]殘=層-[3]盞=[5]贊棧層-站[6]助｛訓，幫～｝																																																
s	[1]山=刪珊跚姍芟星-｛零～｝餐潺[2]田｛訓｝蠶[3]產㾪｛瘦｝鏟散｛藥～｝[5]散=訕傘=霰燦																																																
k	[1]幹肝竿間奸杆矸橄艱乾干[3]簡趕柬稈㛠｛～仔：奴婢｝𧒄[5]間｛離～｝幹｛苦～｝澗姦｛性交｝																																																
kʰ	[1]刊牽-[3]侃[5]看=																																																
ɡ	[2]顏[3]眼=[5]□｛淬火｝[6]岸=諺雁彥																																																
h	[2]寒=韓閑[3]罕捍悍[5]漢[6]旱=汗=翰鼾銲焊																																																
∅	[1]安鞍[2]縆｛索｝[5]案核晏=[6]限																																																
#at																																																	
p	[7]八=別-[8]別-｛～人｝																																																
b	[7]別｛～字：識字｝□｛曾經｝[8]密-																																																
t	[8]值達笪｛穀～｝																																																
tʰ	[7]踢塞跶撻韃窒-[8]瀝｛～水：讓水慢慢流出滴盡｝																																																
l	[8]力栗鬁																																																
ts	[7]拶節[8]窒｛悶｝□｛稠密｝																																																
s	[7]殺虱塞櫛｛～篦｝薩撒漆-察擦刹[8]賊																																																
k	[7]葛=結-																																																
kʰ	[7]渴□｛挹取缸底水｝																																																
h	[7]喝=｛～采｝豁瞎=轄[8]核｛牽～：淋巴腫大｝																																																
∅	[7]遏□｛折｝																																																
#am																																																	
t	[1]耽擔=[2]談譚澹｛濕｝[6]淡																																																
tʰ	[1]貪[2]痰潭罈[5]探																																																
l	[2]男南藍=籃=喃楠嵐婪襤[3]覽攬欖[6]濫艦																																																
ts	[1]簪針[3]斬[5]□｛跺腳｝站鏨																																																
s	[1]三=衫=杉三=參[2]慚蠶讒饞[3]慘滲摻｛～胡椒｝□｛毛髮垂亂貌：頭頭～～｝懺𰵋																																																
k	[1]甘柑疳[2]含-｛～糖仔｝[3]敢=感橄□｛遮｝[5]監鑒尷																																																
kʰ	[1]堪龕[3]砍坎戡[5]勘[6]□｛關門｝																																																
ɡ	[2]癌[6]戇																																																
h	[1]蚶酣[2]咸含銜函[3]喊□｛杖打｝[5]□｛浮誇｝[6]陷餡撼憾																																																
∅	[1]庵掩｛相～｝[2]涵[3]飲-｛米湯｝[5]暗[6]頷｛脖子｝																																																
#ap																																																	
t	[7]答=[8]遝																																																
tʰ	[7]塌榻凹																																																
l	[7]□｛凹｝□｛騙｝[8]納衲																																																
ts	[7]嚼劄[8]雜十-拾-什-																																																
s	[7]滲｛插手，管｝颯｛風雨聲｝																																																
k	[7]鴿合-｛～藥散｝蛤																																																
kʰ	[7]恰=[8]磕闔瞌																																																
h	[7]□｛夾合｝[8]合																																																
∅	[7]壓[8]盒匣狎																																																
#aŋ																																																	
p	[1]幫邦崩-梆[2]馮-房-縫-[3]綁[5]放[6]棒蚌																																																
pʰ	[1]蜂芳-｛～水：香水｝[2]帆-逢-捧｛～水：端水｝[3]紡-[5]胖[6]縫-｛門～｝																																																
b	[2]忙-芒-[3]蠓｛蚊｝蟒[6]夢-網-																																																
t	[1]冬-東-當鐺中｛～中：中間｝[2]同-銅-筒-[3]董-[5]凍-檔-當-｛上～｝□｛用大拇指按｝[6]動-重-洞｛後洞，地名｝																																																
tʰ	[1]窗-通-｛～風；可以｝[2]蟲-桐-[3]桶-□｛生～：有言無實｝[5]通-｛相～｝疼[6]□｛釣魚浮標｝																																																
l	[1]壟｛坑～｝□｛疏～～：極稀疏｝[2]儂｛人｝聾｛臭耳～：聾｝礱｛土～：人工磨穀器具｝膿-[3]籠-朗-｛明～｝[5]□｛～空：空出位子｝[6]弄-																																																
ts	[1]棕-鬃-髒[2]叢樅-[3]總-[5]粽-壯-｛四～｝																																																
s	[1]鬆蔥[5]竦｛毛豎起｝送																																																
k	[1]工公江蚣｛～蚣｝剛崗[3]講=港𪺱｛牛～：公水牛｝[5]降絳[6]共□｛打擊：～人｝																																																
kʰ	[1]空工｛～課｝[5]抗□｛～毛仔：用指甲夾起毛來｝																																																
ɡ	[2]昂																																																
h	[1]烘魴[2]降航杭行[5]□｛腫脹｝[6]巷項																																																
∅	[1]翁-｛姓；丈夫｝肮尪｛神像｝[2]紅-洪-｛姓｝[5]甕																																																
#ak																																																	
p	[7]北-剝幅-駁腹-[8]縛-																																																
pʰ	[7]覆-[8]曝-｛～日：曬太陽｝																																																
b	[7]□｛沾染：～手｝[8]墨-木-目-																																																
t	[7]牴｛牛相～｝觸｛著～｝妲｛～己｝[8]碡□｛一種農具｝																																																
tʰ	[7]剔-｛～骨｝[8]讀																																																
l	[7]落｛機智靈活｝[8]六-陸搦｛抓｝																																																
ts	[7]□｛嘈～：找人麻煩｝																																																
s	[7]搠[8]鑿-戳-																																																
k	[7]覺桷角穀-｛五～｝[8]磔｛扔｝																																																
kʰ	[7]確殼粬玨[8]咯｛～痰｝																																																
ɡ	[8]嶽岳樂獄																																																
h	[7]□｛～田厝：買田宅｝[8]學=礐｛屎～：廁所｝斛																																																
∅	[7]握渥幄沃-｛～水：澆水｝																																																
#ɛŋ																																																	
p	[1]兵冰崩=[2]朋｛～友｝平=爿｛對～｝[3]丙炳秉反｛倒～｝[5]並迸柄=[6]並病=																																																
pʰ	[1]烹[2]評硼鵬彭=萍=澎=平=秤膨[5]聘娉拼=姘																																																
b	[2]萌明盟鳴名銘酩冥=瞑=螟[3]猛蜢皿[6]孟命=																																																
t	[1]丁燈釘疔登仃叮酊磴[2]亭澄庭廷[3]等=頂戥鼎=[5]釘[6]鄧定=錠鄭=｛～重｝																																																
tʰ	[1]汀聽=撐=[2]停騰謄謄[3]挺逞艇[5]聽=																																																
l	[1]奶[2]靈鈴玲蛉翎齡囹聆伶羚苓菱淩陵棱嚀寧濘欞能零[3]冷領=嶺=[6]令另佞																																																
ts	[1]征怔貞偵禎曾=增僧爭=精=睜崢旌箏=睛錚[2]晴情前-[3]整井=[5]正=政諍=[6]靜淨靖贈靚																																																
s	[1]升昇星=惺生聲=牲先笙腥=青=清晴菁稱千-甥猩[2]成=誠城=[3]省=醒=請=筅[5]性姓=聖稱[6]乘盛																																																
k	[1]羹荊經更京=驚=肩-庚=鯨間-[3]景擎耿竟境迥警繭揀襇炯憬[5]更｛～加｝逕徑敬勁鏡=頸供｛～神明｝[6]競梗莖脛																																																
kʰ	[1]傾卿坑=輕=[2]瓊煢[3]肯頃慶罄磬																																																
ɡ	[2]迎凝[3]研｛～末｝[6]□｛相靠｝																																																
h	[1]亨馨興｛～教寺：佛寺名｝[2]形行=恒衡硎刑珩邢還-｛～東西｝橫=[3]悻[5]興=[6]行｛品～｝幸杏倖荇莧□｛饋送：～餅｝																																																
∅	[1]英瑛鷹鶯膺煢櫻嬰纓瓔鸚[2]盈螢榮瑩縈熒瀠嶸閑-營=贏=楹[3]影永穎[5]應[6]詠泳																																																
#ɛk																																																	
p	[7]迫伯=柏=百=[8]白=帛=																																																
pʰ	[7]碧辟璧魄擘珀霹拍=																																																
b	[8]墨=陌貊貉默覓｛～見｝																																																
t	[7]德嫡的得=滴謫摘[8]狄翟擇笛敵特荻迪澤																																																
tʰ	[7]惕剔忑斥惹｛訓｝叱																																																
l	[7]櫟[8]曆歷肋勒靂瀝溺匿																																																
ts	[7]則積責跡-績稷即唧幘[8]寂籍賊=																																																
s	[7]色適析釋索昔嗇瑟悉塞飾哲錫=策側測惻膝廁蟋[8]石碩席蓆																																																
k	[7]革膈=棘骼亟殛格=擊激隔=[8]極																																																
kʰ	[7]克刻剋																																																
ɡ	[8]逆																																																
h	[7]赫嚇=黑[8]或域獲穫惑劾檄核																																																
∅	[7]憶億抑益溢扼[8]逸液奕易譯驛腋翼翌亦役疫蜴																																																
#i																																																	
p	[1]碑卑悲啡陂[2]脾琵枇髀啤[3]比彼毗妣匕[5]痺閉臂=秘蔽庇費｛姓｝[6]被幣備避婢斃弊																																																
pʰ	[1]披丕[2]皮=疲脾｛～氣｝[3]鄙否痞疕｛痂，結～｝[5]屁=[6]被｛植～｝																																																
b	[2]微眉嵋薇楣糜=[3]美=未尾=[6]咪米=寐謎=																																																
t	[1]知蜘豬誅低[2]池弛遲除蜘持鋤-｛～頭｝弛[3]抵底邸[5]戴-｛～帽｝致智置著知｛～識｝[6]箸弟痔治稚																																																
tʰ	[1]儲黐｛粘～～：粘糊｝梯=[2]苔｛青～｝啼[3]貯恥佇杼竺褚																																																
l	[1]黎黧厘｛細小：～～仔｝[2]離籬厘狸驢-鸝閭璃｛琉～瓦｝[3]汝｛你｝李裏里理鯉旅屢履女=浬哩｛英～｝[5]攦｛撕：～開｝[6]吏利俐莉痢離慮濾例侶呂厲勵礪蒞莉｛茉～｝																																																
ts	[1]之芝肢脂支膣｛女人陰部｝[2]糍薯[3]旨指只咫止址紫煮梓姊子｛種～｝祉紙｛故～，中藥名｝[5]志誌痣至熾摯[6]聚巳舐-																																																
s	[1]詩書=舒絲鷥施輸胥紓西｛～瓜｝須需俬司｛公～｝思｛相～｝癡鰓疽差｛參～｝屍[2]持徐雌時匙辭-[3]矢始黍徙暑取侈鼠娶=[5]世勢四肆試庶絮恕趣刺處翅｛魚～｝施｛～舍｝[6]是似署寺誓視序緒侍敘嶼氏恃嗜市飼																																																
dz	[2]而兒如儒愉俞孺臾腴□｛紊亂｝[3]乳=愈=耳｛木～｝爾汝=[6]字二喻膩｛細～｝餌																																																
k	[1]基箕機居枝妓技肌吱乩磯姬饑飢裾｛衫仔～｝几｛茶～｝車=羈奇｛～數｝笄[2]其期旗奇祈渠棋麒畦鰭沂[3]幾舉紀己指-｛～向｝矩｛規～｝[5]記既鋸據冀痣-寄=[6]巨忌炬懼拒距具																																																
kʰ	[1]欺欹敧區嶇驅拘駒[2]蜞騎=[3]起豈齒[5]器去氣棄汽[6]柿忌｛～著｝																																																
ɡ	[2]宜疑娛愚=誼儀隅[3]語擬蟻=[6]義議遇=寓禦御馭																																																
h	[1]希稀熙圩墟虛犧禧嬉羲奚[2]魚漁[3]許喜栩[5]肺戲																																																
∅	[1]醫=依伊迂於紆衣=[2]移貽怡胰夷姨餘余飴彝詒[3]與羽禹希綺以已倚予雨[5]意懿裔薏翳矣[6]預易｛容～｝肄譽異																																																
#iʔ																																																	
p	[7]鱉□｛向上｝捲｛訓，～手䘼｝																																																
b	[7]覕｛躲藏：～起來｝[8]蔑																																																
t	[7]滴[8]滯																																																
tʰ	[7]鐵																																																
l	[8]裂																																																
