#符号说明：单字调连读前字调	
#调值	[1]³³ [2]5² [3]³¹ [5]⁴¹² [7]⁵⁴
#ɿ	
l	[1]溜[2]刘浏流留瘤[3]柳
tɕ	[1]周粥州洲舟纠究[3]久九酒[5]奏昼就舅旧救咒皱宙
tɕʰ	[1]邱秋抽[2]筹绸求球愁酬仇[3]丑[5]臭
ȵ	[1]妞[2]牛[3]扭
ɕ	[1]搜嗖休修羞收[3]守手首[5]受兽售寿授秀绣锈袖
Ø	[1]优忧悠幽[2]游尤鱿由油邮[3]有友酉[5]又右幼佑诱
	
#a᷉ŋ	
p	[1]班斑般帮邦[3]版板榜[5]办伴泵棒
pʰ	[1]攀[2]旁螃膀
m	[2]忙芒茫盲蛮[3]蟒螨[5]慢漫曼蔓
f	[1]帆方芳翻[2]烦巩防房[3]反仿纺坊[5]贩饭放泛范犯
v	[1]湾弯汪[2]玩王亡[3]晚网往枉[5]万望忘妄旺
t	[1]单丹耽担{担任}当{当时}裆铛[3]胆党挡[5]但担{担子}弹{子弹}旦蛋淡诞当{当铺}荡
tʰ	[1]贪摊瘫滩汤[2]潭谭谈痰弹{弹琴}坛唐塘糖堂棠[3]毯坦[5]叹探碳趟
n	[1]南男楠难{难易}[5]难{困难}
l	[1]蓝篮蓝兰拦栏狼郎廊锒螂瓤[3]懒览缆榄朗[5]烂滥浪
ts	[1]张章樟装沾赃[3]展盏斩长{长大}涨掌[5]暂藏{西藏}葬脏{内脏}臟占站战丈仗杖帐胀账
tsʰ	[1]餐参{参加}仓苍掺昌[2]蚕残长{长短}肠偿常[3]惨铲产厂场[5]灿唱倡畅
s	[1]三山杉删桑商伤裳[3]伞闪陕嗓赏[5]散善上
k	[1]干{干货}乾{乾貨}肝甘柑刚钢纲缸[3]敢赶感岗港[5]赣干{干部}幹{幹部}杠
kʰ	[1]看{看守}刊勘康糠[2]抗扛[3]砍坎槛[5]看{看见}抗
x	[1]憨鼾夯[2]含韩寒行{行距}航杭[3]喊罕[5]汉汗旱焊巷
Ø	[1]安庵鹌[5]按案岸暗

#ia᷉ŋ	
l	[2]凉梁量{衡量}粮良[3]两[5]量{肚量}亮晾辆
tɕ	[1]江姜浆僵疆[3]讲蒋奖[5]酱降{下降}
tɕʰ	[1]枪腔[2]强墙[3]抢[5]呛
ȵ	[2]娘酿{酒酿}[5]酿{酿酒}
ɕ	[1]乡香相{相互}箱湘[2]翔详祥降{投降}[3]响想享[5]像向象相{相貌}项
Ø	[1]央秧殃[2]阳羊洋烊扬杨[3]养氧痒仰[5]样让
	
#ua᷉ŋ	
ts	[1]庄桩妆[5]状
tsʰ	[1]疮窗[2]床[3]闯[5]创
s	[1]双霜[3]爽
k	[1]关光[3]广
kʰ	[1]框筐眶[2]狂[5]况旷矿
x	[1]荒慌[2]还{还钱}环黄皇[3]谎
	
#iɪ᷉n	
p	[1]边编鞭[3]扁匾[5]变辩便{方便}辫遍
pʰ	[1]偏篇[2]便{便宜}[5]骗片
m	[2]棉绵[3]免缅[5]面
t	[1]颠癫[3]点典碘[5]店电垫
tʰ	[1]天添[2]田甜填
ȵ	[2]黏年俨然[3]撵[5]念
l	[2]连莲廉镰联怜帘[3]敛[5]练炼链
tɕ	[1]监尖兼间{中间}艰煎坚肩奸歼今[3]减碱俭捡检拣剪茧[5]舰剑渐间{间隔}贱溅箭践件建健见鉴
tɕʰ	[1]签谦千牵迁[2]钳乾钱前[3]遣浅[5]嵌歉欠
ɕ	[1]先仙[2]咸嫌闲衔[3]显险[5]陷馅限苋线献现羡
Ø	[1]烟淹[2]岩盐炎严颜延然言沿研[3]眼掩演[5]验焰厌燕艳雁
	
#yɪ᷉n	
tɕ	[1]捐娟鹃[3]卷[5]倦
tɕʰ	[1]圈铅[2]拳权全泉[3]犬[5]劝
ȵ	[3]软
ɕ	[1]宣[2]悬玄[3]选[5]县
Ø	[1]冤[2]原源袁元园圆员缘援[3]远[5]怨院
	
#əŋ	
pʰ	[2]篷
m	[2]蒙{蒙眼}[3]懵猛
f	[1]风封蜂峰锋[2]冯逢[5]缝{一条缝}奉
v	[1]翁嗡
t	[1]东冬咚[3]懂董[5]栋冻动洞
tʰ	[1]通[2]同铜童[3]筒桶捅统
n	[2]农浓脓
l	[2]聋{耳朵聋}笼龙[3]拢[5]弄
ts	[1]钟中忠终宗综棕[3]总肿种{种子}[5]粽纵重{轻重}
tsʰ	[1]聪葱匆冲充称{称呼}[2]丛葱崇虫从重{重复}[3]宠
s	[1]松[5]宋送诵{朗诵}
k	[1]公弓恭龚{姓龚}[3]拱[5]更{更好}共供{提供}贡
kʰ	[1]空{空虚}[3]孔{孔夫子}[5]控空{空缺}
x	[1]烘轰[2]红虹洪宏弘
	
#iəŋ	
p	[1]宾殡斌彬冰兵[3]饼柄丙[5]并病
pʰ	[1]拼[2]贫频瓶凭平苹萍评[3]品[5]聘
m	[2]民明名[3]敏闽{闽南}[5]命
t	[1]丁盯叮钉[3]顶鼎[5]订定
tʰ	[1]听厅[2]亭停婷[3]挺
ȵ	[2]宁[5]另
l	[2]林琳临邻霖鳞零铃玲龄灵陵[3]领岭[5]令
tɕ	[1]金筋津{天津}巾斤京惊精经[3]锦紧井憬警颈{颈脖子}[5]劲进近尽镜竞静净敬
tɕʰ	[1]亲侵轻清青倾{倾向}[2]琴勤秦晴情琼穷[3]寝[5]庆
ɕ	[1]心芯新辛星腥兄凶胸[2]行{行走}型形熊[3]醒省{反省}[5]信杏幸兴{高兴}姓性
Ø	[1]音阴荫因莺鹰应{应该}英婴拥庸[2]银人仁迎赢荣营萤绒融容茸[3]饮引寅隐影永勇[5]印认应{答应}映用
	
#ɛ᷉n	
p	[1]崩绷{绷带}[3]本{本事}
pʰ	[1]喷[2]盆朋棚
m	[2]门们[5]闷焖
f	[1]分芬氛纷[2]坟焚[3]粉[5]粪奋愤{发愤}
v	[1]温瘟[2]文纹蚊闻[3]稳[5]问蕹{蕹菜}
t	[1]灯登吨炖礅墩[3]等[5]邓瞪凳顿钝
tʰ	[1]吞[2]藤疼
n	[2]能[5]嫩
l	[2]仍{仍然}轮[5]论
ts	[1]珍曾增争睁蒸针征正{正月}[3]枕诊整[5]阵震镇振证郑政尊遵
tsʰ	[1]撑称{称东西}村[2]城成程辰陈尘沉乘{乘法}存[5]趁衬称{一杆称}寸
s	[1]声生升森身深伸申参{人参}孙[2]神囗{桌面等平面上承受物体：~东西}[3]省审沈笋损[5]剩{剩下}
tʃʰ	[2]澄{澄一澄}橙
ʃ	[2]绳囗{桌面等平面上承受物体：~东西}
k	[1]跟根耕庚羹{调羹（勺子）}[3]哽梗[5]更{更好}
kʰ	[3]肯
x	[2]痕衡恒[3]很
Ø	[1]恩[5]硬
	
#uɛ᷉n	
s	[2]唇
tʃ	[3]准
tʃʰ	[1]春
ʃ	[2]纯[5]顺瞬
k	[3]滚[5]棍
kʰ	[1]昆[3]捆[5]困
x	[1]昏婚荤[2]浑{水浑}魂[5]混

#yɛ᷉n	
tɕ	[1]军菌均君[5]俊骏
tɕʰ	[2]群裙
ɕ	[1]熏勋[2]巡[5]训
Ø	[1]晕[2]匀云[3]允[5]韵运

#o᷉n	
p	[1]搬[5]半拌扮
pʰ	[1]攀潘[2]盘[5]叛判
m	[2]瞒
t	[1]端[3]短[5]段断
tʰ	[2]团
ȵ	[3]暖
l	[3]卵[5]乱
ts	[1]专砖钻{钻洞}[3]转[5]钻{钻石}传{水浒传}
tsʰ	[1]穿川[2]传{传递}船[5]串
s	[1]酸[5]算蒜
k	[1]观官棺[3]管馆[5]灌惯冠
kʰ	[1]宽[3]款
x	[1]欢[3]缓[5]换幻唤患
Ø	[2]完丸[3]碗

#uʔ	
p	[7]剥
m	[7]沫末{末子}
t	[7]督
l	[7]捋
ts	[7]族足桌烛竹昨凿
tsʰ	[7]触戳{戳洞}
s	[7]熟肃粟{粟子}说索
k	[7]谷各郭
kʰ	[7]哭扩
x	[7]鹤藿
	
#yʔ	
tɕ	[7]橘菊局
tɕʰ	[7]屈{屈服}曲{曲折}雀鹊
ɕ	[7]蓄学薛
Ø	[7]浴狱岳药跃约{节约}
	
#ɤʔ	
k	[7]格{格子}
	
#æʔ	
p	[7]北白百
m	[7]墨麦脉
t	[7]得{得到}
tʰ	[7]特{特殊}
ts	[7]择摘责直植只{只有}衹织侧{侧转}测汁{墨汁}
tsʰ	[7]拆册
s	[7]识塞{塞子}食湿十色
x	[7]黑
	
#ɛʔ	
Ø	[7]额{额头}
	
#ioʔ	
ȵ	[7]弱虐疟
ɕ	[7]削
Ø	[7]肉育
	
#ueʔ	
ts	[7]卒
s	[7]赎
	
#aʔ	
p	[7]八拔拨
pʰ	[7]拍
m	[7]抹{抹布}
f	[7]法发罚阀筏
v	[7]袜
t	[7]答达
tʰ	[7]踏塔
n	[7]捺纳
l	[7]辣瘌腊蜡
ts	[7]眨闸杂扎铡窄
tsʰ	[7]插擦
s	[7]杀
Ø	[7]轧

#iaʔ	
tɕ	[7]夹甲
ɕ	[7]匣狭瞎吓{吓}
Ø	[7]鸭压
	
#uaʔ	
s	[7]刷
k	[7]刮括{包括}
x	[7]滑
	
#iʔ	
p	[7]笔逼
l	[7]栗力
tɕʰ	[7]七
ɕ	[7]熄息
Ø	[7]一

#iɛʔ	
p	[7]憋碧别璧壁
pʰ	[7]撇劈僻
m	[7]灭密篾{篾子}
t	[7]跌叠碟蝶谍滴笛敌
tʰ	[7]铁贴帖踢
ȵ	[7]捏孽逆聂蹑日
l	[7]劣裂烈猎立历
tɕ	[7]接劫集急及揭吉节结极绝籍击疾
tɕʰ	[7]切吃戚{亲戚}
ɕ	[7]胁助习屑席惜歇{歇一下}
k	[7]隔格
kʰ	[7]客{客气}刻
Ø	[7]叶热业日一入益{利益}疫{瘟疫}

#yɛʔ	
tɕ	[7]决{决定}
tɕʰ	[7]缺{缺少}
ɕ	[7]血穴{穴位}雪
Ø	[7]月越阅

#oʔ	
p	[7]博薄不
pʰ	[7]泼
m	[7]幕木目{目光}陌
f	[7]佛{佛家}福服{服气}
v	[7]物
t	[7]夺独读毒
tʰ	[7]突托
l	[7]落六陆鹿录禄
ts	[7]着{睡着}竹
tsʰ	[7]出畜{牲畜}
s	[7]速叔缩俗属{家属}
k	[7]骨国割
kʰ	[7]窟渴阔
x	[7]忽盒喝活或获
Ø	[7]握屋恶

#i᷉n	
Ø	[2]人
