字表	聲母	韻母	聲調		序號
輩	p	ᴇ	1		6315
輩	p	ᴇ	1		6354
鋇	p	ᴇ	5		6648
鋇	p	ᴇ	5		6754
鐾	b	i	6		6721
奔	p	əŋ	1		1274
賁	p	əŋ	1		6081
賁	p	əŋ	1		6141
本	p	əŋ	5		2729
苯	p	əŋ	5		5201
畚	p	əŋ	1		3917
畚	f	əŋ	1		3918
坌	b	əŋ	6		1103
笨	b	əŋ	6		4453
崩	p	əŋ	1		1645
崩-	p	ã	1		1646
绷	p	ã	1		4804
絣	p	ã	1		4635
繃	p	ã	1		4699
埲	b	oŋ	6		1151
泵	p	ã	5		3245
迸	p	ã	5		6415
甏	b	ã	6		3889
屄	p	i	1		1573
逼	p	iɪʔ	7		6448
鼻	b	iɪʔ	8		7662
鼻	b	əʔ	8		7663
匕	p	i	5		647
比	p	i	5		3120
妣	p	i	5		1317
彼	p	ᴇ	1		1859
笔	p	iɪʔ	7		4445
筆	p	iɪʔ	7		4461
鄙	p	i	5		6527
必	p	iɪʔ	7		1892
坒	b	i	6		1110
庇	pʰ	i	5		1752
陛	b	i	6		6989
畢	p	iɪʔ	7		3121
畢	p	iɪʔ	7		3924
閉	p	i	5		6869
閉	p	i	5		6913
敝	b	i	6		2541
婢	b	i	6		1377
愎	b	iɪʔ	8		2021
弼	b	iɪʔ	8		1832
蓖	p	i	1		5365
嗶	p	iɪʔ	7		897
嗶	p	iɪʔ	7		999
痺	b	i	6		3996
滗	p	iɪʔ	7		3424
裨	p	ᴇ	1		5679
碧	p	iɪʔ	7		4241
蔽	p	i	5		5387
箅	p	i	5		4483
弊	b	i	6		1810
幣	b	i	6		1687
幣	b	i	6		1729
潷	p	iɪʔ	7		3481
篦	p	i	1		4512
壁	p	iɪʔ	7		1203
避	b	i	6		6483
斃	b	i	6		2556
斃	b	i	6		3122
臂	p	i	5		5088
璧	p	iɪʔ	7		3867
砭	p	i	1		4214
煸	p	i	1		3630
蝙	p	i	1		5560
編	p	i	1		4676
編	p	i	1		4821
鞭	p	i	1		7111
邊	p	i	1		6383
邊	p	i	1		6490
鯿	p	i	1		7465
鯿	p	i	1		7515
扁	p	i	5		2135
匾	p	i	5		663
貶	p	i	5		6071
貶	p	i	5		6134
卞	b	i	6		690
弁	b	i	6		1802
汴	b	i	6		3181
便	b	i	6		275
遍	p	i	5		6456
遍	pʰ	i	5		
辨	b	i	6		6374
辮	b	i	6		6376
辮	b	i	6		6378
辯	b	i	6		6375
辯	b	i	6		6379
變	p	i	5		760
變	p	i	5		5898
彪	p	iɔ	1		1849
標	p	iɔ	1		2820
標	p	iɔ	1		2974
膘	p	iɔ	1		5072
鏢	p	iɔ	1		6703
鏢	p	iɔ	1		6849
飆	p	iɔ	1		7218
飆	p	iɔ	1		7224
鑣	p	iɔ	1		6728
鑣	p	iɔ	1		6860
表	p	iɔ	5		5633
婊	p	iɔ	5		1375
裱	p	iɔ	5		5681
錶	p	iɔ	1		6673
錶	p	iɔ	5		6674
鰾	b	iɔ	6		7477
鰾	b	iɔ	6		7521
憋	b	iɪʔ	8		2057
鱉	p	iɪʔ	7		7478
鱉	p	iɪʔ	7		7522
別	b	iɪʔ	8		532
別	b	əʔ	8		533
别	b	iɪʔ	8		537
别	b	əʔ	8		538
蹩	b	iɪʔ	8		6263
癟	p	iɪʔ	7		4017
癟	p	iɪʔ	7		4032
彬	p	iŋ	1		1850
斌	p	iŋ	1		2560
賓	p	iŋ	1		1490
賓	p	iŋ	1		6093
濱	p	iŋ	1		3432
濱	p	iŋ	1		3522
檳	p	iŋ	1		2962
檳	p	iŋ	1		3017
瀕	b	iŋ	6		3508
瀕	b	iŋ	6		3533
繽	p	iŋ	1		4719
繽	p	iŋ	1		4830
擯	p	iŋ	5		2411
擯	p	iŋ	5		2489
殯	p	iŋ	1		3094
殯	p	iŋ	1		3097
鬢	p	iŋ	1		7418
鬢	p	iŋ	1		7421
冰	p	iŋ	1		472
兵	p	iŋ	1		442
丙	p	iŋ	5		22
秉	p	iŋ	5		4328
柄	p	iŋ	5		2794
炳	p	iŋ	5		3574
鈵	p	iŋ	5		6611
禀	p	iŋ	5		4304
稟	p	iŋ	5		4355
餅	p	iŋ	5		7240
餅	p	iŋ	5		7284
并	b	iŋ	6		1735
并	p	iŋ	1		1736
并	p	iŋ	5		1737
幷	b	iŋ	6		1738
幷	p	iŋ	1		1739
幷	p	iŋ	5		1740
併	p	iŋ	5		243
並	b	iŋ	6		32
倂	p	iŋ	5		305
病	b	iŋ	6		3973
竝	b	iŋ	6		4421
摒	p	iŋ	5		2414
波	p	uᵝ	1		3235
玻	p	uᵝ	1		3809
剝	p	oʔ	7		568
剝	p	oʔ	7		569
菠	p	uᵝ	1		5291
缽	p	əʔ	7		4846
鉢	p	əʔ	7		6765
播	p	uᵝ	1		2454
撥	p	əʔ	7		2235
撥	p	əʔ	7		2448
伯	p	aʔ	7		202
帛	b	aʔ	8		1700
勃	b	əʔ	8		611
舶	pʰ	aʔ	7		5133
脖	b	əʔ	8		5029
博	p	oʔ	7		687
渤	b	əʔ	8		3368
搏	p	oʔ	7		2385
鈸	b	əʔ	8		6612
鈸	b	əʔ	8		6766
鉑	kʰ	ɤ	5		6616
鉑	kʰ	ɤ	5		6774
駁	p	oʔ	7		7312
駁	p	oʔ	7		7356
箔	b	oʔ	8		4488
膊	p	oʔ	7		5070
鵓	b	əʔ	8		7547
鵓	b	əʔ	8		7592
跛	p	uᵝ	1		6221
簸	p	uᵝ	1		4529
擘	p	aʔ	7		2480
卜	b	oʔ	8		688
卜	p	oʔ	7		689
捕	b	uᵝ	6		2293
哺	b	uᵝ	6		909
補	p	uᵝ	5		5632
補	p	uᵝ	5		5671
不	p	əʔ	7		11
布	p	uᵝ	5		1689
步	b	uᵝ	6		3064
佈	p	uᵝ	5		216
怖	p	uᵝ	5		1928
部	b	uᵝ	6		6518
埠	b	uᵝ	6		1147
簿	b	uᵝ	6		4532
擦	tsʰ	aʔ	7		2485
猜	tsʰ	ø	1		3758
才	z	ᴇ	6		2140
材	z	ᴇ	6		2747
財	z	ᴇ	6		6058
財	z	ᴇ	6		6125
裁	z	ᴇ	6		5660
纔	z	ᴇ	6		4726
采	tsʰ	ᴇ	5		6582
採	tsʰ	ᴇ	5		2331
彩	tsʰ	ᴇ	5		1848
睬	tsʰ	ᴇ	5		4152
埰	tsʰ	ᴇ	5		1150
菜	tsʰ	ᴇ	5		5290
