字表	聲母	韻母	聲調		序號
觀	k	uø	1		5731
觀	k	uø	5		5733
觀	k	uø	1		5734
管	k	uø	5		4492
館	k	uø	5		7253
館	k	uø	5		7291
貫	k	uᴇ	5		6064
貫	k	uᴇ	5		6137
摜	g	uᴇ	6		2351
摜	g	uᴇ	6		2417
慣	k	uᴇ	5		2010
慣	k	uᴇ	5		2046
盥	k	uø	5		4100
灌	k	uø	5		3542
罐	k	uø	5		4851
鸛	k	uø	5		7568
鸛	k	uø	5		7611
光	k	uɑ̃	1		416
光	k	uã	1		417
洸	k	uɑ̃	1		3263
桄	kʰ	uɑ̃	1		2847
胱	k	uɑ̃	1		5011
广	k	uɑ̃	5		1749
廣	k	uɑ̃	5		1792
逛	g	uɑ̃	6		6433
逛	k	uɑ̃	5		6434
圭	k	uᴇ	1		1093
規	k	uᴇ	1		5717
規	k	uᴇ	1		5735
硅	k	uᴇ	1		4223
瑰	k	uᴇ	1		3859
閨	k	uᴇ	5		6885
閨	k	uᴇ	5		6931
龜	k	uᴇ	1		7699
龜	k	uᴇ	1		7701
龜-	tɕ	y	1		7700
龜-	tɕ	y	1		7702
歸	k	uᴇ	1		1836
歸	k	uᴇ	1		3071
軌	k	uᴇ	5		6295
軌	k	uᴇ	5		6335
鬼	k	uᴇ	5		7429
鬼-	tɕ	y	5		7430
癸	g	uᴇ	6		4044
詭	k	uᴇ	5		5800
詭	k	uᴇ	5		5961
柜	g	uᴇ	6		2804
柜-	dʑ	y	6		2805
桂	k	uᴇ	5		2845
貴	k	uᴇ	5		6069
貴	k	uᴇ	5		6143
貴-	tɕ	y	5		6070
貴-	tɕ	y	5		6144
跪	g	uᴇ	6		6230
跪-	dʑ	y	6		6231
劊	k	uᴇ	5		549
劊	kʰ	uᴇ	5		550
劊	k	uᴇ	5		587
劊	kʰ	uᴇ	5		588
櫃	g	uᴇ	6		3021
櫃-	dʑ	y	6		3022
鱖	k	uᴇ	5		7480
鱖	k	uᴇ	5		7524
衮	k	uəŋ	5		5636
袞	k	uəŋ	5		5654
滾	k	uəŋ	5		3426
滾	k	uəŋ	5		3439
磙	k	uəŋ	5		4261
鯀	k	uəŋ	5		7454
鯀	k	uəŋ	5		7504
棍	k	uəŋ	5		2895
郭	k	oʔ	7		6519
鍋	k	uᵝ	1		6678
鍋	k	uᵝ	1		6809
國	k	oʔ	7		1074
國	k	oʔ	7		1083
摑	k	uaʔ	7		2346
摑	k	uaʔ	7		2413
幗	k	oʔ	7		1715
幗	k	oʔ	7		1725
果	k	uᵝ	5		2775
裹	k	uᵝ	5		5685
過	k	uᵝ	5		6391
過	k	uᵝ	5		6457
哈	h	a	1		890
蛤	k	əʔ	7		5517
咳	kʰ	əʔ	7		880
还	ɦ	uᴇ	6		6399
孩	ɦ	ᴇ	6		1444
骸	ɦ	ᴇ	6		7395
還	ɦ	uᴇ	6		6487
還	ɦ	ᴇ	6		6488
海	h	ᴇ	5		3292
亥	ɦ	ᴇ	6		112
害	ɦ	ᴇ	6		1483
駭	ɦ	ᴇ	6		7323
駭	ɦ	ᴇ	6		7375
蚶	h	ø	1		5500
酣	h	ø	1		6544
鼾	h	ø	1		7664
邯	ɦ	ø	6		6503
含	ɦ	ø	6		817
函	ɦ	ø	6		510
涵	ɦ	ø	6		3319
寒	ɦ	ø	6		1500
韓	ɦ	ø	6		7117
韓	ɦ	ø	6		7123
罕	h	ø	5		4855
喊	h	ᴇ	5		959
汗	ɦ	ø	6		3164
旱	ɦ	ø	6		2606
捍	ɦ	ø	6		2288
悍	ɦ	ø	6		1975
菡	ɦ	ø	6		5292
焊	ɦ	ø	6		3602
漢	h	ø	5		3159
漢	h	ø	5		3452
熯	h	ø	5		3647
撼	ɦ	ø	6		2465
翰	ɦ	ø	6		4900
頷	ɦ	ø	6		7153
頷	ɦ	ø	6		7199
憾	ɦ	ø	6		2073
瀚	ɦ	ø	6		3535
夯	h	ã	1		1254
杭	ɦ	ɑ̃	5		2757
航	ɦ	ɑ̃	5		5126
絎	ɦ	ɑ̃	5		4628
絎	ɦ	ɑ̃	5		4777
蒿	h	ɔ	1		5358
薅	h	ɔ	1		5410
毫	ɦ	ɔ	6		3125
豪	ɦ	ɔ	6		6044
壕	ɦ	ɔ	6		1208
嚎	ɦ	ɔ	6		1038
濠	ɦ	ɔ	6		3514
好	h	ɔ	5		1297
郝	h	əʔ	7		6515
号	ɦ	ɔ	6		787
耗	h	ɔ	5		4918
浩	ɦ	ɔ	6		3287
皓	ɦ	ɔ	6		4056
號	ɦ	ɔ	6		5469
顥	ɦ	ɔ	6		7166
顥	ɦ	ɔ	6		7207
呵	h	uˠ	1		856
喝	h	əʔ	7		964
喝	h	aʔ	7		965
禾	ɦ	uᵝ	6		4319
合	ɦ	əʔ	8		795
合	k	əʔ	7	~算	796
何	ɦ	uᵝ	6		224
和	ɦ	uᵝ	6		865
劾	ɦ	əʔ	8		607
河	ɦ	uᵝ	6		3211
荷	ɦ	uᵝ	6		5252
荷	h	uᵝ	5	薄~	5253
核	ɦ	əʔ	8		2837
核	ŋ	əʔ	8		2838
盒	ɦ	aʔ	8	訓讀，本字爲“匣”	4083
盒	ɦ	əʔ	8		
閡	ɦ	əʔ	8		6882
閡	ɦ	əʔ	8		6940
齕	tɕʰ	iɪʔ	7		7673
齕	tɕʰ	iɪʔ	7		7683
闔	ɦ	əʔ	8		6902
闔	ɦ	əʔ	8		6951
賀	ɦ	uᵝ	6		6080
賀	ɦ	uᵝ	6		6150
赫	h	əʔ	7		6185
壑	h	oʔ	7		1206
鶴	ŋ	oʔ	8		7556
鶴	ŋ	oʔ	8		7604
黑	h	əʔ	7		7642
痕	ɦ	əŋ	6		3981
很	h	əŋ	5		1866
狠	h	əŋ	5		3736
恨	ɦ	əŋ	6		1956
亨	h	ã	1		115
哼	h	əŋ	1		910
哼-	h	ã	1		911
恆	ɦ	əŋ	6		1943
恆	ɦ	əŋ	6		1947
桁	ɦ	ã	6		2844
橫	ɦ	uã	6		2980
橫	∅	uã	1		2981
橫	ɦ	uã	6		3001
橫	∅	uã	1		3002
衡	ɦ	əŋ	6		5629
蘅	ɦ	əŋ	6		5444
哄	h	oŋ	1		888
哄	h	oŋ	5		889
烘	h	oŋ	1		3587
薨	h	oŋ	1		5417
轟	h	oŋ	1		6330
轟	h	oŋ	1		6341
弘	ɦ	oŋ	6		1816
宏	ɦ	oŋ	6		1461
泓	ɦ	oŋ	6		3226
虹	ɦ	oŋ	6		5477
虹	k	ɑ̃	5		5478
洪	ɦ	oŋ	6		3259
紅	ɦ	oŋ	6		4595
紅	ɦ	oŋ	6		4732
蕻	h	oŋ	5		5406
鴻	ɦ	oŋ	6		7544
鴻	ɦ	oŋ	6		7591
訌	h	oŋ	5		5758
訌	h	oŋ	5		5908
齁	h	ɤ	1		7665
侯	ɦ	ɤ	6		272
喉	ɦ	ɤ	6		958
猴	ɦ	ɤ	6		3768
瘊	ɦ	ɤ	6		4001
篌	ɦ	ɤ	6		4506
吼	h	ɤ	5		834
吼	h	ɤ	1		835
后	ɦ	ɤ	6		801
厚	ɦ	ɤ	6		723
後	ɦ	ɤ	6		1869
候	ɦ	ɤ	6		317
鱟	h	ɤ	5		7482
鱟	h	ɤ	5		7493
乎	ɦ	uᵝ	6		60
呼	h	uᵝ	1		860
忽	h	oʔ	7		1912
淴	h	oʔ	7		3346
寣	h	uəʔ	7		1509
囫	ɦ	uəʔ	8		1065
狐	ɦ	uᵝ	6		3733
弧	ɦ	uᵝ	6		1822
胡	ɦ	uᵝ	6		5004
斛	ɦ	oʔ	8		2567
壺	ɦ	uᵝ	6		1225
壺	ɦ	uᵝ	6		1227
葫	ɦ	uᵝ	6		5337
湖	ɦ	uᵝ	6		3383
瑚	ɦ	uᵝ	6		3848
蝴	ɦ	uᵝ	6		5567
衚	ɦ	uᵝ	6		5626
糊	ɦ	uᵝ	6		4572
醐	ɦ	uᵝ	6		6562
鬍	ɦ	uᵝ	6		7417
虎	h	uᵝ	5		5458
許	ɕ	y	5		5775
許	h	uˠ	5	幾~：多少	
許	h	ᴇ	5	答應，許諾；勒~：在	
許	ɕ	y	5		5925
許	h	uˠ	5	幾~：多少	
許	h	ᴇ	5	答應，許諾；勒~：在	
琥	h	uᵝ	5		3832
滸	h	uᵝ	5		3278
滸	h	uᵝ	5		3438
互	ŋ	uᵝ	6		98
戶	ɦ	uᵝ	6		2128
戶	ɦ	uᵝ	6		2129
戽	h	uᵝ	5		2130
瓠	ɦ	uᵝ	6		3876
扈	ɦ	uᵝ	6		2137
滬	ɦ	uᵝ	6		3207
滬	ɦ	uᵝ	6		3434
護	ɦ	uᵝ	6		2190
護	ɦ	uᵝ	6		5894
花	h	ua	1		5172
花-	h	uˠ	1		5173
哗	h	ua	1		898
哗	ɦ	uˠ	6		899
華	ɦ	ua	6		675
華	h	uˠ	1	龍~，法~	677
華	ɦ	ua	6		5295
華	h	uˠ	1	龍~，法~	5297
華-	ɦ	uˠ	6		676
華-	ɦ	uˠ	6		5296
猾	ɦ	uaʔ	8		3772
滑	ɦ	uaʔ	8		3420
嘩	h	ua	1		1010
嘩	ɦ	uˠ	6		1011
磆	ɦ	uaʔ	8		4255
鏵	ɦ	ua	6		6705
鏵	ɦ	ua	6		6788
鏵-	ɦ	uˠ	6		6706
鏵-	ɦ	uˠ	6		6789
驊	ɦ	ua	6		7336
驊	ɦ	ua	6		7372
驊-	ɦ	uˠ	6		7337
驊-	ɦ	uˠ	6		7373
化	h	ua	5		648
化-	h	uˠ	5		649
划	ɦ	uaʔ	8		521
划	∅	uˠ	1		522
划	ɦ	uˠ	6		523
畫	ɦ	ua	6		3910
畫	ɦ	ua	6		3929
畫	ɦ	uaʔ	8		3931
畫-	ɦ	uˠ	6		3911
畫-	ɦ	uˠ	6		3930
話	ɦ	ua	6		5801
話	ɦ	ua	6		5958
話-	ɦ	uˠ	6		5802
話-	ɦ	uˠ	6		5959
畵	ɦ	ua	6		3934
畵-	ɦ	uˠ	6		3935
樺	ɦ	ua	6		2862
樺	ɦ	ua	6		2987
樺-	ɦ	uˠ	6		2863
樺-	ɦ	uˠ	6		2988
劃	ɦ	uaʔ	8		581
劃	∅	uˠ	1		582
劃	ɦ	uˠ	6		583
怀	ɦ	uᴇ	6		1916
怀-	ɦ	ua	6		1917
徊	ɦ	uᴇ	6		1867
淮	ɦ	ua	6		3343
槐	ɦ	ua	6		2959
懷	ɦ	uᴇ	6		2091
懷-	ɦ	ua	6		2092
坏	ɦ	ua	6		1106
壞	ɦ	ua	6		1210
歡	h	uø	1		3044
歡	h	uø	1		3059
桓	ɦ	uø	6		2854
寰	g	uᴇ	6		1519
環	g	uᴇ	6		3803
環	g	uᴇ	6		3870
鬟	g	uᴇ	6		7420
緩	∅	uø	5		4677
緩	∅	uø	5		4818
幻	∅	uᴇ	5		1744
宦	ɦ	uᴇ	6		1478
浣	∅	uø	5		3285
患	ɦ	uᴇ	6		1981
患	∅	uᴇ	5		1982
換	ɦ	uø	6		2296
換	ɦ	uø	6		2364
喚	h	uø	5		918
喚	h	uø	5		962
渙	h	uø	5		3309
渙	h	uø	5		3360
豢	ɦ	uᴇ	6		6043
煥	h	uø	5		3604
煥	h	uø	5		3623
瘓	h	uø	5		3991
瘓	h	uø	5		4005
肓	h	uɑ̃	1		4966
荒	h	uɑ̃	1		5239
慌	h	uɑ̃	1		2038
皇	ɦ	uɑ̃	6		4052
凰	ɦ	uɑ̃	6		502
隍	ɦ	uɑ̃	6		7012
黃	ɦ	uɑ̃	6		7636
黃	h	uɑ̃	1	蛋~，蟹~	7637
黃	ɦ	uɑ̃	6		7638
黃	h	uɑ̃	1	蛋~，蟹~	7639
徨	ɦ	uɑ̃	6		1879
惶	ɦ	uɑ̃	6		2014
煌	ɦ	uɑ̃	6		3614
潢	ɦ	uɑ̃	6		3473
璜	ɦ	uɑ̃	6		3865
蝗	ɦ	uɑ̃	6		5559
磺	ɦ	uɑ̃	6		4270
蟥	ɦ	uɑ̃	6		5592
簧	ɦ	uɑ̃	6		4526
恍	h	uɑ̃	5		1945
晃	h	uɑ̃	5		2634
幌	h	uɑ̃	5		1722
謊	h	uɑ̃	5		5861
謊	h	uɑ̃	5		6003
灰	h	uᴇ	1		3551
恢	h	uᴇ	1		1951
恢	kʰ	uᴇ	1		
揮	h	uᴇ	1		2270
揮	h	uᴇ	5		2271
揮	h	uᴇ	1		2371
揮	h	uᴇ	5		2372
暉	h	uᴇ	1		2644
暉	h	uᴇ	1		2663
詼	h	uᴇ	1		5806
詼	h	uᴇ	1		5955
輝	h	uᴇ	1		6313
輝	h	uᴇ	1		6355
麾	h	uᴇ	1		7635
徽	h	uᴇ	1		1890
回	ɦ	uᴇ	6		1056
茴	ɦ	uᴇ	6		5225
迴	ɦ	uᴇ	6		6413
蛔	ɦ	uᴇ	6		5511
悔	h	uᴇ	5		1977
毀	h	uᴇ	5		3106
毁	h	uᴇ	5		3107
卉	h	uᴇ	5		673
汇	ɦ	uᴇ	6		3158
彗	ɦ	uᴇ	6		1840
晦	h	uᴇ	5		2649
惠	ɦ	uᴇ	6		2002
喙	h	uᴇ	5		961
匯	ɦ	uᴇ	6		657
賄	h	uᴇ	5		6085
賄	h	uᴇ	5		6155
會	∅	uᴇ	5		188
會	ɦ	uᴇ	6		189
會	k	uᴇ	5	~計	190
會	∅	uᴇ	5		2704
會	ɦ	uᴇ	6		2705
會	k	uᴇ	5	~計	2706
滙	ɦ	uᴇ	6		3425
彙	ɦ	uᴇ	6		1841
誨	h	uᴇ	5		5828
誨	h	uᴇ	5		5979
慧	ɦ	uᴇ	6		2047
蕙	ɦ	uᴇ	6		5396
諱	h	uᴇ	5		5848
諱	ɦ	uᴇ	6		5849
諱	h	uᴇ	5		5920
諱	ɦ	uᴇ	6		5921
檜	k	uᴇ	5		2864
檜	k	uᴇ	5		3011
燴	h	uᴇ	5		3594
燴	k	uᴇ	5		3595
燴	h	uᴇ	5		3661
燴	k	uᴇ	5		3662
穢	h	uᴇ	5		4344
穢	h	uᴇ	5		4376
繪	ɦ	uᴇ	6		4709
繪	ɦ	uᴇ	6		4778
昏	h	uəŋ	1		2615
婚	h	uəŋ	1		1376
葷	h	uəŋ	1		5247
葷	h	uəŋ	1		5341
渾	ɦ	uəŋ	6		3277
渾	ɦ	uəŋ	6		3378
魂	ɦ	uəŋ	6		7432
餛	ɦ	uəŋ	6		7249
餛	ɦ	uəŋ	6		7288
混	ɦ	uəŋ	6		3348
諢	ɦ	uəŋ	6		5844
諢	ɦ	uəŋ	6		5971
鍃	tsʰ	oŋ	5		6675
鍃	tsʰ	oŋ	5		6830
豁	h	uaʔ	7		6031
活	ɦ	uəʔ	8		3264
火	h	uᵝ	5		3548
伙	h	uᵝ	5		187
夥	h	uᵝ	5		1245
或	ɦ	oʔ	8		2113
获	ɦ	uəʔ	8		5274
貨	h	uᵝ	5		6061
貨	h	uᵝ	5		6129
惑	ɦ	oʔ	8		1998
禍	ɦ	uᵝ	6		4301
禍	ɦ	uᵝ	6		4308
嗀	h	oʔ	7		979
奯	h	uaʔ	7		1288
霍	h	oʔ	7		7068
獲	ɦ	oʔ	8		3782
穫	ɦ	oʔ	8		4378
藿	h	oʔ	7		5443
鑊	ɦ	oʔ	8		6723
鑊	ɦ	oʔ	8		6856
叽	tɕ	i	1		790
饥	tɕ	i	1		7267
圾	s	i	1		1097
机	tɕ	i	1		2735
乩	tɕ	i	1		77
肌	tɕ	i	1		4965
唧	ts	iɪʔ	7		919
积	ts	iɪʔ	7		4340
飢	tɕ	i	1		7228
屐	dʑ	iaʔ	7		1587
姬	tɕ	i	1		1347
基	tɕ	i	1		1154
嵇	tɕ	i	1		1648
畸	dʑ	i	6		3938
箕	tɕ	i	1		4489
嘰	tɕ	i	1		1014
稽	tɕ	i	1		4365
緝	tsʰ	iɪʔ	7		4672
緝	tsʰ	iɪʔ	7		4816
機	tɕ	i	1		2998
積	ts	iɪʔ	7		4371
激	tɕ	iɪʔ	7		3502
擊	tɕ	iɪʔ	7		509
擊	tɕ	iɪʔ	7		2473
磯	tɕ	i	1		4193
磯	tɕ	i	1		4267
雞	tɕ	i	1		7048
雞	tɕ	i	1		7574
譏	tɕ	i	1		5882
譏	tɕ	i	1		5907
鷄	tɕ	i	1		7559
羈	tɕ	i	1		4869
羈	tɕ	i	1		4871
及	dʑ	iɪʔ	7		752
吉	tɕ	iɪʔ	7		797
汲	tɕ	iɪʔ	7		3180
极	dʑ	iɪʔ	7		2766
即	ts	iɪʔ	7		702
笈	dʑ	iɪʔ	7		4440
急	tɕ	iɪʔ	7		1933
級	tɕ	iɪʔ	7		4609
級	tɕ	iɪʔ	7		4737
疾	z	iɪʔ	8		3971
極	dʑ	iɪʔ	7		2932
棘	tɕ	iɪʔ	7		2899
集	z	iɪʔ	8		7038
蒺	z	iɪʔ	8		5356
瘠	ts	iɪʔ	7		4009
輯	tsʰ	iɪʔ	7		6317
輯	tsʰ	iɪʔ	7		6359
藉	z	iɪʔ	8		5425
籍	z	iɪʔ	8		4537
鶺	ts	iɪʔ	7		7557
鶺	ts	iɪʔ	7		7603
几	tɕ	i	1		495
几	tɕ	i	5		496
虮	tɕ	i	5		5474
脊	ts	iɪʔ	7		5024
戟	tɕ	iɪʔ	7		2117
幾	tɕ	i	1		1747
幾	tɕ	i	5		1748
麂	tɕ	i	5		7617
颳	k	uaʔ	7		7214
擠	ts	i	5		2269
擠	ts	i	5		2483
蟣	tɕ	i	5		5591
伎	dʑ	i	6		179
技	dʑ	i	6		2167
忌	dʑ	i	6		1894
妓	dʑ	i	6		1311
季	tɕ	i	5		1439
計	tɕ	i	5		5756
計	tɕ	i	5		5902
迹	ts	iɪʔ	7		6416
既	tɕ	i	1		2594
既	tɕ	i	5		2595
紀	tɕ	i	5		4592
紀	tɕ	i	5		4739
記	tɕ	i	5		5764
記	tɕ	i	5		5917
祭	ts	i	5		4298
悸	tɕ	i	5		1991
寄	tɕ	i	5		1494
寂	z	iɪʔ	8		1493
跡	ts	iɪʔ	7		6224
際	ts	i	5		6977
際	ts	i	5		7023
暨	tɕ	i	5		2671
稷	ts	iɪʔ	7		4362
髻	tɕ	iɪʔ	7		7413
冀	tɕ	i	5		450
穄	ts	i	5		4368
劑	ts	i	5		552
劑	ts	i	5		590
濟	ts	i	5		3275
濟	ts	i	5		3513
績	ts	iɪʔ	7		4697
績	ts	iɪʔ	7		4791
蹟	ts	iɪʔ	7		6261
鯽	ts	iɪʔ	7		7464
鯽	ts	iɪʔ	7		7507
繫	tɕ	i	5		4710
繫	ɦ	i	6		4712
繼	tɕ	i	5		4718
繼	tɕ	i	5		4790
霽	ts	i	5		7063
霽	ts	i	5		7082
鱭	z	i	6		7483
鱭	z	i	6		7495
驥	tɕ	i	5		7346
驥	tɕ	i	5		7389
加	tɕ	ia	1		596
加-	k	a	1		597
佳	tɕ	ia	1		241
佳	tɕ	ia	5		242
枷	tɕ	ia	5		2789
枷	tɕ	ia	1		2790
枷-	k	a	5		2791
枷-	k	a	1		2792
痂	k	a	1		3972
家	tɕ	ia	1		1486
家-	k	a	1		1487
笳	tɕ	ia	1		4455
笳-	k	a	1		4456
袈	tɕ	ia	1		5647
袈-	k	a	1		5648
傢	tɕ	ia	1		355
傢-	k	a	1		356
筴	k	aʔ	7		4476
嘉	tɕ	ia	1		1004
嘉-	k	a	1		1005
夾	tɕ	iaʔ	7		1260
夾	tɕ	iaʔ	7		1263
夾-	k	aʔ	7		1261
夾-	k	aʔ	7		1264
莢	tɕ	iɪʔ	7		5241
莢	tɕ	iɪʔ	7		5266
頰	tɕ	iɪʔ	7		7151
頰	tɕ	iɪʔ	7		7192
甲	tɕ	iaʔ	7		3905
甲-	k	aʔ	7		
胛	tɕ	iaʔ	7		5001
假	tɕ	ia	5		332
假-	k	a	5		333
賈	k	uᵝ	5	商~	6088
賈	tɕ	ia	5		6089
賈	k	uᵝ	5	商~	6153
賈	tɕ	ia	5		6154
鉀	tɕ	iaʔ	7		6615
鉀	tɕ	iaʔ	7		6770
价	tɕ	ia	5		166
价-	k	a	5		167
架	tɕ	ia	5		2787
架-	k	a	5		2788
嫁	tɕ	ia	5		1398
嫁-	k	a	5		1399
稼	tɕ	ia	5		4364
價	tɕ	ia	5		382
價-	k	a	5		383
駕	tɕ	ia	5		7316
駕	tɕ	ia	5		7366
駕-	k	a	5		7317
駕-	k	a	5		7367
駱	l	oʔ	8		7324
駱	l	oʔ	8		7374
尖	ts	i	1		1545
奸	tɕ	i	1		1293
奸	tɕ	iᴇ	1		1294
奸-	k	ᴇ	1		1295
肩	tɕ	i	1		4979
姦	tɕ	i	1		1342
姦	tɕ	iᴇ	1		1343
姦-	k	ᴇ	1		1344
兼	tɕ	i	1		448
菅	tɕ	i	1		5282
堅	tɕ	i	1		1112
堅	tɕ	i	1		1156
間	tɕ	i	1		6876
間	tɕ	i	5		6878
間	tɕ	i	1		6923
間	tɕ	i	5		6925
間-	k	ᴇ	1		6877
間-	k	ᴇ	1		6924
搛	tɕ	i	1		2393
蒹	tɕ	i	1		5355
煎	ts	i	1		3615
監	tɕ	i	1		4080
監	tɕ	iᴇ	1		4081
監	tɕ	i	1		4096
監	tɕ	iᴇ	1		4097
監-	k	ᴇ	1		4082
監-	k	ᴇ	1		4098
箋	tsʰ	i	1		4457
箋	ts	i	1		4458
箋	tsʰ	i	1		4484
箋	ts	i	1		4485
緘	tɕ	i	5		4670
緘	tɕ	i	5		4813
艱	tɕ	i	1		5145
艱	tɕ	i	1		5146
殲	ts	i	1		3075
殲	tsʰ	i	1		3076
殲	ts	i	1		3098
殲	tsʰ	i	1		3099
茧	tɕ	i	5		5218
柬	tɕ	i	5		2811
剪	ts	i	5		573
揀	tɕ	i	5		2231
揀	tɕ	i	5		2352
揀-	k	ᴇ	5		2232
揀-	k	ᴇ	5		2353
減	k	ᴇ	5		489
減	k	ᴇ	5		3362
裥	k	ᴇ	5		5678
儉	dʑ	i	6		297
儉	dʑ	i	6		389
檢	tɕ	i	5		2890
檢	tɕ	i	5		3013
蹇	tɕ	i	5		6253
謇	tɕ	i	5		5860
襉	k	ᴇ	5		5702
繭	tɕ	i	5		4713
瞼	tɕ	i	5		4143
瞼	tɕ	i	5		4175
簡	tɕ	i	5		4482
簡	tɕ	i	5		4525
鹹	ɦ	ᴇ	6		7613
騫	tɕʰ	i	1		7331
騫	tɕʰ	i	1		7386
鹼	k	ᴇ	5		4246
鹼	k	ᴇ	5		7614
件	dʑ	i	6		165
見	tɕ	i	5		5716
見	tɕ	i	5		5732
建	tɕ	i	5		1799
荐	ts	i	5		5238
健	dʑ	i	6		339
揵	dʑ	i	6		2374
毽	tɕ	i	5		3130
腱	dʑ	i	6		5058
鉴	tɕ	i	5		6623
鉴	tɕ	iᴇ	5		6624
鉴-	k	ᴇ	5		6625
漸	z	i	6		3356
漸	z	i	6		3461
賤	z	i	6		6101
賤	z	i	6		6140
踐	z	i	6		6234
踐	z	i	6		6241
箭	ts	i	5		4497
劍	tɕ	i	5		562
劍	tɕ	i	5		589
澗	tɕ	i	5		3312
澗	tɕ	i	5		3491
澗-	k	ᴇ	5		3313
澗-	k	ᴇ	5		3492
薦	ts	i	5		5416
鍵	dʑ	i	6		6684
鍵	dʑ	i	6		6832
餞	z	i	6		7250
餞	z	i	6		7274
諫	tɕ	i	5		5846
諫	tɕ	i	5		6004
濺	ts	i	5		3392
濺	ts	i	5		3523
艦	tɕ	iᴇ	1		5141
艦-	kʰ	ᴇ	1		5130
艦-	kʰ	ᴇ	1		5142
鐧	tɕ	i	5		6714
鐧	tɕ	i	5		6814
鑒	tɕ	i	5		6724
鑒	tɕ	iᴇ	5		6725
鑒-	k	ᴇ	5		6726
江	tɕ	iã	1		3169
江-	k	ɑ̃	1		3170
姜	tɕ	iã	1		1339
豇	k	ɑ̃	1		6033
將	ts	iã	5		1532
將	ts	iã	1		1533
將	ts	iã	5		1534
將	ts	iã	1		1535
僵	tɕ	iã	1		381
漿	ts	iã	1		3271
漿	ts	iã	1		3463
礓	tɕ	iã	1		4273
疆	tɕ	iã	1		3939
繮	tɕ	iã	1		4837
韁	tɕ	iã	1		7112
蔣	ts	iã	5		5344
蔣	ts	iã	5		5378
槳	ts	iã	5		2865
槳	ts	iã	5		2964
獎	ts	iã	5		1276
獎	ts	iã	5		3776
講	tɕ	iã	5		5868
講	tɕ	iã	5		5918
講-	k	ɑ̃	5		5869
講-	k	ɑ̃	5		5919
匠	z	iã	6		653
降	ɦ	ɑ̃	5		6983
降	tɕ	iã	5		6984
降-	k	ɑ̃	5		6985
絳	tɕ	iã	5		4642
絳	tɕ	iã	5		4780
醬	ts	iã	5		6549
醬	ts	iã	5		6572
交	tɕ	iɔ	1		110
交-	k	ɔ	1		111
郊	tɕ	iɔ	1		6511
郊	ɦ	iɔ	6		6512
茭	k	ɔ	1		5221
姣	tɕ	iɔ	5		1340
胶	tɕ	iɔ	1	~州	5014
胶-	k	ɔ	1	~水	5015
敎	tɕ	iɔ	5		2529
敎-	k	ɔ	5		2530
椒	ts	iɔ	1		2914
蛟	tɕ	iɔ	1		5516
焦	ts	iɔ	1		3609
跤	tɕ	iɔ	5		6226
跤-	k	ɔ	5		6227
蕉	ts	iɔ	1		5390
骹	g	ɔ	6		7396
膠	tɕ	iɔ	1	~州	5077
膠-	k	ɔ	1	~水	5078
澆	tɕ	iɔ	1		3272
澆	tɕ	iɔ	1		3487
嬌	tɕ	iɔ	1		1353
嬌	tɕ	iɔ	1		1414
礁	ts	iɔ	1		4271
鮫	k	ɔ	1		7452
鮫	k	ɔ	1		7496
驕	tɕ	iɔ	1		7339
驕	tɕ	iɔ	1		7371
角	k	oʔ	7		5747
佼	tɕ	iɔ	5		245
狡	tɕ	iɔ	5		3737
皎	tɕ	iɔ	5		4054
絞	tɕ	iɔ	5		4632
絞	tɕ	iɔ	5		4783
絞-	k	ɔ	5		4633
絞-	k	ɔ	5		4784
腳	tɕ	iaʔ	7		5031
腳	tɕ	iaʔ	7		5059
剿	z	iɔ	6		580
摷	l	iɔ	1		2426
僥	tɕ	iɔ	5		263
僥	tɕ	iɔ	5		378
鉸	tɕ	iɔ	5		6626
鉸	tɕ	iɔ	5		6792
鉸-	k	ɔ	5		6627
鉸-	k	ɔ	5		6793
餃	tɕ	iɔ	5		7239
餃	tɕ	iɔ	5		7283
撟	dʑ	iɔ	6		2267
撟	dʑ	iɔ	6		2444
矯	tɕ	iɔ	5		4188
矯	tɕ	iɔ	5		4191
繳	tɕ	iɔ	1		4715
繳	tɕ	iɔ	5		4716
繳	tɕ	iɔ	1		4840
繳	tɕ	iɔ	5		4841
攪	tɕ	iɔ	5		2381
攪	tɕ	iɔ	5		2513
攪-	k	ɔ	5		2382
攪-	g	ɔ	6		2383
攪-	k	ɔ	5		2514
攪-	g	ɔ	6		2515
叫	tɕ	iɔ	5		776
教	tɕ	iɔ	5		2538
教-	k	ɔ	5		2539
窖	tɕ	iɔ	5		4394
窖-	k	ɔ	5		4395
較	tɕ	iɔ	5		6305
較	tɕ	iɔ	5		6350
酵	ɕ	iɔ	5	誤讀，應讀tɕ聲母	6550
酵	tɕ	iɔ	5		6550
酵-	k	ɔ	5		6551
轎	dʑ	iɔ	6		6329
轎	dʑ	iɔ	6		6349
醮	ts	iɔ	5		6573
皆	tɕ	ia	1		4051
接	ts	iɪʔ	7		2334
階	tɕ	ia	1		6967
階	tɕ	ia	1		7013
階-	k	a	1		6968
階-	k	a	1		7014
揭	tɕ	iɪʔ	7		2370
喈	tɕ	ia	1		957
嗟	ts	i	1		991
街	k	a	1		5623
癤	ts	iɪʔ	7		3945
癤	ts	iɪʔ	7		4035
孑	tɕ	iɪʔ	7		1424
劫	tɕ	iɪʔ	7		603
