参考资料	《桐城县志》									
Ø	[7]乙一逸抑弋翼亦译液									
p	[7]毕逼碧笔必壁璧僻辟滗鼻									
m	[7]蜜密觅秘									
t	[7]的{出租车}滴嫡笛敌狄									
tʰ	[7]踢剔									
n	[7]逆立粒栗力历律率									
tɕ	[7]疾缉急级及集辑汲吉即鲫棘极积迹脊籍击激绩									
tɕʰ	[7]七漆乞迄讫戚吃									
ɕ	[7]膝息媳熄隙昔惜席夕锡析习									
#uəʔ										
Ø	[7]勿屋									
k	[7]骨谷									
kʰ	[7]哭窟酷									
x	[7]忽									
#ʯəʔ										
Ø	[7]欲浴狱育役域辱									
tʂ	[7]竹筑逐祝粥烛嘱橘局菊触浊									
tʂʰ	[7]曲出畜屈									
ʂ	[7]属述淑熟赎束旭蓄续									
#ei										
p	[1]杯悲背{动词}卑碑[5]辈背{后~}倍被备									
pʰ	[1]胚[2]培陪赔[5]佩配譬辔									
m	[2]梅眉煤媒霉迷[3]每美[5]昧妹									
f	[1]非飞妃菲[2]肥[3]匪[5]费肺吠痱沸废									
t	[1]梯堆[5]									
tʰ	[1]推[3]腿[5]退褪									
n	[2]雷[3]馁儡垒[5]内泪累									
ts	[5]最罪醉									
tsʰ	[1]崔催[5]翠粹悴脆									
s	[1]绥虽[2]隋随[5]穗碎岁									
#ʯei										
tʂ	[1]追锥[5]缀赘坠									
tʂʰ	[1]吹炊[2]垂槌锤									
ʂ	[2]谁[3]水[5]税睡									
Ø	[3]蕊[5]锐瑞									
#uei										
Ø	[1]威巍煨微薇[2]违围帷维唯为{~难}危桅韦[3]纬伪尾伟委[5]喂未味畏慰胃谓魏位卫为									
k	[1]圭闺龟规归[3]诡轨鬼[5]瑰鳜桂跪柜贵									
kʰ	[1]盔魁亏窥[2]奎逵夔葵[5]溃愧									
x	[1]灰诙恢麾挥辉徽[2]回[3]悔毁[5]贿汇晦会绘惠慧秽讳卉彗									
#əɯ										
m	[2]眸									
t	[1]都兜[3]斗{一~米}抖陡堵赌肚[5]度杜妒渡斗豆逗									
tʰ	[1]偷[2]徒图途屠涂头投[3]土㪗盝[5]吐兔透									
tsʰ	[3]楚[5]醋凑									
s	[1]苏酥梳疏蔬搜飕馊[3]数{动词}叟[5]塑朔素诉数{名词}漱嗽瘦									
tʂʰ	[3]丑[5]臭									
ʂ	[1]手首守[5]受兽寿授售									
ʐ	[2]柔揉[5]肉									
k	[1]勾沟钩[3]苟狗[5]垢够构购									
kʰ	[1]抠[3]口[5]叩扣寇									
x	[2]侯喉猴[3]吼[5]后候厚									
ŋ	[1]欧讴区{姓氏}殴[3]藕偶呕[5]怄									
#iəɯ										
Ø	[1]忧优悠幽[2]尤邮由油犹游[3]有友酉莠[5]又右宥佑柚釉幼									
t	[1]丢									
tʰ	[1]溜[2]流刘留榴硫牛[3]纽扭柳[5]馏									
tɕ	[1]揪鸠阄纠[3]灸酒九久韭[5]就究舅臼咎旧舅									
tɕʰ	[1]秋丘[2]囚求球仇{姓氏}									
ɕ	[1]修羞休[5]秀绣锈袖嗅									
#ən										
p	[1]奔崩畚[3]本[5]笨迸									
pʰ	[1]喷{~洒}烹[2]盆朋彭澎棚篷蓬[3]捧[5]喷{~香}碰									
m	[2]门萌盟明{~朝}蒙[3]猛懵[5]闷孟梦									
f	[1]分芬纷风疯封峰蜂锋[2]坟焚冯逢缝{动词}[3]粉讽[5]愤忿粪奋份凤奉俸缝									
