参考资料	《安徽岳西方言的同音字汇》					
k	[1]瓜[3]寡[5]挂卦[7]刮					
kʰ	[1]誇[3]侉垮					
x	[1]花[2]华划[5]化[6]滑猾话画划					
Ø	[1]蛙[3]瓦[7]袜挖					
#ʯa						
tʂ	[1]抓[3]爪					
ʂ	[3]耍[7]刷					
#o						
p	[1]波菠[3]跛[7]剥驳博钵拨					
pʰ	[1]坡卜[2]婆[5]破[6]雹薄[7]拨					
m	[1]摸[2]魔磨模[6]莫[7]漠末寞					
t	[1]多[3]躲[5]剁[7]掇沰					
tʰ	[1]拖[2]驼驮[3]妥[6]夺惰[7]托托脱					
n	[6]糯[7]诺					
l	[2]罗锣箩螺骡服萝[3]虏裸[7]洛落烙骆乐					
ts	[3]左佐[5]做[7]撮作					
tsʰ	[1]搓[5]错措锉[6]坐座凿[7]昨					
s	[1]梭唆蓑[3]锁所[7]索塑					
tʂ	[1]啄[7]桌捉琢捉着					
tʂʰ	[6]镯着[7]戮					
ʂ	[6]芍[7]缩					
ʐ	[2]儿[3]耳饵[6]二贰[7]弱					
k	[1]戈哥歌[5]个[7]角各阁搁鸽割葛恰					
kʰ	[3]可[7]壳渴磕敲					
ŋ	[2]蛾鹅俄讹[3]我[6]饿					
#io						
l	[7]略					
tɕ	[7]脚觉					
tɕʰ	[6]嚼[7]雀鹊确却					
ȵ	[7]虐					
ɕ	[6]学[7]削					
Ø	[7]约药钥乐{音~}岳					
#o						
k	[1]锅[3]果裹[5]过[7]国郭					
kʰ	[1]科案棵颗[5]课[7]扩阔					
x	[2]河何荷禾和[3]火伙[5]货[6]或惑获贺祸合盒鹤[7]霍喝豁					
#uo						
Ø	[1]窝[7]恶					
#e						
p	[7]百柏伯北					
pʰ	[5]呸[6]白[7]拍迫魄					
m	[7]麦脉墨默					
t	[5]这[7]得德					
ts	[7]责窄					
tsʰ	[6]贼[7]策册泽择厕侧					
s	[7]塞色最涩					
tʂ	[1]遮[3]者[7]摘摺浙					
tʂʰ	[1]车[3]扯[7]拆彻					
ʂ	[1]佘赊[2]蛇[5]舍赦[6]射社舌[7]设					
x	[6]核[7]黑					
#ie						
p	[7]憋鳖瘪					
pʰ	[6]别[7]撇					
m	[7]灭蔑					
t	[1]爹[7]跌					
tʰ	[6]叠碟特[7]铁帖贴					
l	[7]烈列裂猎劣					
tɕ	[3]姐[5]借芥诫[7]接结皆节洁劫截捷竭					
tɕʰ	[2]茄[3]且[6]杰绝[7]切窃妾怯惬					
ȵ	[7]捏涅孽聂镊镊业					
k	[7]格革隔疙					
kʰ	[2]渠{他}[7]客刻克咳					
ŋ	[7]额厄					
Ø	[2]爷[3]也野冶[6]夜[7]页叶业腋					
#ue						
x	[6]活					
Ø	[7]物					
#ʯe						
tʂ	[7]决诀倔					
tʂʰ	[7]缺					
ʂ	[6]靴[7]说					
Ø	[3]惹[7]月越热阅					
#ai						
p	[1]掰[3]摆[5]拜					
pʰ	[2]排牌[5]派湃[6]败					
m	[2]埋[3]买[6]卖迈脉					
t	[1]带待[3]逮歹傣[5]带戴[6]黛怠					
tʰ	[1]胎汰[2]台苔抬蔓[5]太泰[6]态代贷大{~夫}					
n	[1]奶{祖母}[3]奶乃[6]奈耐					
l	[2]来莱[6]赖癞					
ts	[1]栽灾哉[3]载宰崽仔{牛~裤} [5]再[6]载{~人}					
tsʰ	[1]猜[2]才财材裁[3]采彩睬踩[5]蔡菜[6]在					
s	[1]腮鳃塞[3]*[5]赛塞{~外}					
tʂ	[1]斋[5]债					
tʂʰ	[1]钗差{出~}[2]柴豺[6]寨宅					
ʂ	[1]筛[5]晒					
k	[1]该阶街[3]改解[5]介界芥戒届盖丐					
kʰ	[1]开[3]凯楷[5]概					
ŋ	[1]哀挨[2]崖癌握[3]矮蔼[5]爱[6]碍艾					
x	[2]孩鞋[3]海蟹[6]亥害					
#iai						
tɕ	[3]解{~放}					
ɕ	[6]懈					
#uai						
k	[1]乖[3]拐[5]怪					
kʰ	[5]块快筷					
x	[2]槐怀淮[6]坏					
Ø	[1]歪[6]外					
#ʯai						
tʂ	[5]拽					
tʂʰ	[1]揣[5]踹					
ʂ	[1]衰摔[3]甩[5]帅率					
#ei						
p	[1]杯碑悲[5]闭辈贝背					
m	[2]梅媒煤霉[3]每美[6]妹谜					
f	[1]非飞妃[2]肥[3]匪[5]费痱废肺					
t	[1]堆[6]队对雄兑					
tʰ	[1]推[3]腿[5]退褪色蜕[6]					
n	[6]内					
l	[2]雷[6]累类泪					
ts	[1]嘴[5]最醉					
tsʰ	[1]催崔[5]翠脆[6]罪					
s	[1]虽[2]随[5]岁碎					
#uei						
k	[1]归规龟闺[3]鬼诡[5]贵跪癸桂					
kʰ	[1]亏魁盔[2]逵[5]愧溃[6]会{~计}					
x	[1]挥辉徽灰恢[2]回茴蛔[3]毁贿[5]讳悔[6]汇会绘					
Ø	[1]威垠[2]违围苇微危为维推唯桅[3]伟纬尾委伪[5]魏喂慰[6]胃谓未味为位卫					
#ʯei						
tʂ	[1]锥追[5]坠赘					
tʂʰ	[1]吹炊[2]捶锤					
ʂ	[2]谁[3]水[5]睡税					
Ø	[5]锐瑞					
#ɑu						
p	[1]包胞[3]饱保堡宝[5]豹报					
pʰ	[1]抛[2]跑吻袍[5]泡炮[6]抱暴					
m	[1]猫[2]矛茅毛[3]卯[6]貌冒帽					
t	[1]刀[3]岛倒捣[5]到倒					
tʰ	[1]滔掏[2]桃逃淘陶萄涛[3]讨[5]套[6]道稻盗导					
n	[1]孬[2]挠[3]脑恼[6]闹					
l	[1]捞[2]劳牢[3]老					
ts	[1]糟[3]早枣澡[5]燥躁灶					
tsʰ	[1]操[2]曹槽[3]草[5]造糙[6]皂					
s	[1]骚臊[3]嫂[5]扫					
tʂ	[1]朝召招[3]爪找[5]照罩					
tʂʰ	[1]超抄[2]朝潮巢晃[3]吵[5]钞[6]赵兆召					
ʂ	[1]烧稍[2]苕[3]少[5]少[6]绍					
ʐ	[2]饶[3]扰绕					
k	[1]高膏羔篙[3]搞稿[5]觉窖告					
ŋ	[2]敖熬[3]袄咬[5]坳奥懊拗[6]傲					
x	[1]蒿薅[2]豪壕毫号[3]好[5]浩好耗[6]号					
#iɑu						
p	[1]标彪膘[3]表裱婊					
pʰ	[1]漂飘[2]嫖飘[3]漂[5]票漂					
m	[2]苗猫瞄[3]秒[6]庙妙					
t	[1]刁貂雕[3]屌[5]钓吊掉调					
tʰ	[1]挑[2]条调[3]调{~换}[5]跳					
l	[2]聊撩镣疗镣[3]了[6]料撂					
tɕ	[1]浇骄娇焦蕉椒交胶教[3]缴剿饺绞较[5]叫教					
tɕʰ	[1]锹悄[2]乔侨桥荞樵瞧[3]巧[5]窍俏鞘[6]轿					
ȵ	[2]尧[3]鸟绕[6]尿					
ɕ	[1]萧箫消宵硝销[3]晓小[5]笑孝酵[6]效校					
Ø	[1]妖邀腰[2]摇谣窑姚[3]舀[5]要耀跃					
#əu						
t	[1]都兜[3]斗抖陡肚堵赌[7]督					
tʰ	[1]偷[2]头投徒屠途图[3]土[6]毒独读豆度渡镀[7]秃					
n	[2]奴[3]努[6]怒					
l	[1]搂[2]楼庐驴卢炉芦[3]篓鲁[6]漏路露鹭[7]绿录六陆鹿禄					
ts	[1]租邹诌[3]走祖胆组[5]奏皱[7]足卒					
tsʰ	[1]初粗[2]愁锄[3]楚础瞅[5]醋凑[6]族助[7]促猝					
s	[1]搜馊梳疏蔬苏酥[3]臾数[5]瘦漱诉数嗽[7]票俗肃宿速					
tʂ	[1]周舟州洲[3]帚肘[5]咒昼					
tʂʰ	[1]抽[2]仇酬绸稠筹[3]丑[5]臭[6]售纣轴宙					
ʂ	[1]收[3]手首守[5]兽[6]寿受授					
ʐ	[2]柔[7]辱肉					
x	[1]齁瘊[2]侯喉猴[3]吼[6]厚后候					
#iəu						
t	[1]丢					
l	[1]溜[2]流刘留榴硫琉瘤[3]柳					
tɕ	[1]鸠阄揪[3]九久韭酒[5]救究					
tɕʰ	[1]丘秋鳅[2]求球[6]舅旧就袖					
ȵ	[2]牛					
ɕ	[1]休修羞[3]朽[5]秀绣锈[7]畜蓄					
k	[1]勾钩沟[3]狗苟[5]够构购[6][7]					
kʰ	[1]抠[3]口[5]叩扣寇					
ŋ	[1]欧殴[3]偶藕[5]枢					
Ø	[1]忧优悠幽[2]尤由油邮游犹[3]有友[6]又右佑[7]狱育					
#an						
p	[1]班斑颁扳[3]板版					
pʰ	[5]绊盼瓣[6]办					
f	[1]番翻帆[2]凡烦矾繁[3]反返[5]泛[6]饭范犯					
t	[1]丹单担[3]胆掸[5]旦担					
tʰ	[1]坍滩摊瘫[2]痰谈弹檀谭[3]毯坦袒[5]叹炭[6]淡但弹蛋					
n	[2]难[6]难					
l	[2]兰蓝篮栏拦[3]览揽懒[6]滥烂					
ts	[5]赞攒					
tsʰ	[1]餐[2]惭残[5]灿[6]暂[7]					
s	[1]三[3]散伞[5]散					
tʂ	[1]粘占[3]展斩盏[5]战站					
tʂʰ	[1]搀[2]缠禅馋[3]产铲					
ʂ	[1]膻衫山删[3]陕闪[5]扇[6]善单					
k	[1]间					
kʰ	[2]衔[3]砍坎[5]嵌					
ŋ	[1]淹[3]眼[5]晏					
x	[2]咸[3]喊[6]陷					
#iɛn						
p	[1]边鞭编[3]扁蝙匾贬[5]变					
pʰ	[1]偏篇[2]便{~宜}[5]骗遍片[6]便辨辩辫					
n	[2]绵棉眠[3]免勉[6]面					
t	[1]颠[3]点典[5]电奠					
l	[2]连联廉镶怜莲[3]脸[5]敛[6]练炼					
tɕ	[1]肩坚艰兼尖[3]剪茧览简碱检检减[5]箭见键建荐鉴舰剑					
tɕʰ	[1]千迁牵谦签[2]全泉钱乾前钳潜[3]浅[5]欠歉[6]件健俭渐					
ȵ	[2]年严[3]研[6]念砚验					
ɕ	[1]宣仙鲜先掀[2]贤弦闲嫌舷[3]显险癣选[5]线献[6]县现限旋					
Ø	[1]烟腌胭[2]延言炎阎掩盐沿[3]演掩[5]燕宴[6]雁艳焰					
#uan						
k	[1]关[5]惯					
Ø	[1]弯湾[2]顽[3]晚挽[6]万					
#ʯan						
tʂ	[1]专捐砖[3]转[5]眷券					
tʂʰ	[1]川穿圈[2]传椽船拳权[3]喘犬[5]串劝[6]传{~记}赚倦					
ʂ	[1]闩栓[2]玄悬					
Ø	[1]渊冤鸳[2]员圆元园缘原源袁援然[3]远软染[5]怨[6]院愿					
#on						
p	[1]般搬[5]半					
pʰ	[1]潘[2]盘蟠[5]判叛[6]拌伴					
m	[2]瞒[3]满[6]漫					
t	[1]端[2]短[5]锻					
tʰ	[1]贪[2]坛团潭[5]探[6]断					
n	[2]男南[3]暖					
l	[3]卵[6]乱					
ts	[1]钻[5]钻					
tsʰ	[1]参[2]蚕[3]惨[5]窜篡					
k	[1]甘柑沦肝乾[3]敢竿杆擀赶感[5]斡					
kʰ	[1]看堪[3]款[5]看					
ŋ	[1]安庵鞍[5]案按暗[6]岸					
x	[6]旱					
#on						
k	[1]官冠棺观[3]管馆[5]贯灌罐					
kʰ	[1]宽					
x	[1]欢獾[2]还环完含函翰寒[3]缓[5]汉[6]换汗焊					
#ən						
p	[1]崩奔[3]本					
pʰ	[1]烹喷[2]彭澎膨盆[5]喷[6]笨					
m	[2]门[6]闷焖					
f	[1]分纷[2]坟[3]粉[5]粪奋[6]份					
t	[1]凳灯墩蹲[3]等[5]凳盾炖					
tʰ	[1]吞[2]腾藤屯豚誊[5]褪[6]邓钝					
l	[2]能轮[6]论嫩					
ts	[1]争筝睁曾增僧遵尊[3]怎					
tsʰ	[1]村撑[2]曾层存岑[5]寸衬					
s	[1]生性笙甥孙森参{人~}[3]省笋损					
tʂ	[1]贞正征蒸珍真针斟砧[3]整诊枕[5]正政证症镇振震					
tʂʰ	[1]称[2]呈程成城诚盛橙沉晨乘承承陈尘辰[3]逞[5]称秤[6]郑阵					
ʂ	[1]声升深身伸申[2]绳神[3]沈审婶[5]胜圣渗[6]镇肾剩					
ʐ	[2]人仁[6]认任					
x	[1]哼[2]恒痕衡[3]很狠[6]恨					
#in						
p	[1]兵冰宾[3]饼丙秉[5]并柄					
pʰ	[1]拼[2]瓶屏平萍坪评凭贫频[3]品[5]聘[6]病					
m	[2]名鸣明民[3]皿闽敏抿[5]命					
t	[1]丁钉疗叮盯[3]顶鼎[5]钉订					
tʰ	[1]厅[2]停廷庭[3]艇挺[6]定					
l	[1]拎[2]陵凌菱邻鳞嶙林淋临灵伶龄铃零[3]领岭[6]令另					
tɕ	[1]京惊精晶晴经斤筋巾津今金禁襟[3]景井警颈谨紧锦[5]竟境镜敬径劲进晋浸禁					
tɕʰ	[1]青清靖轻倾亲侵钦[2]情睛勤芹秦寻琴禽[3]请寝顷[5]庆磐[6]静净近尽					
ɕ	[1]星腥兴欣辛新薪心[2]形刑型行旬荀[3]醒[5]性姓信兴讯[6]杏幸					
k	[1]更庚耕跟根[3]便埂梗[5]更					
kʰ	[1]坑[3]肯恳垦啃					
ŋ	[1]恩[6]硬					
Ø	[1]英婴樱鹰殷因姻阴音[2]迎盈银寅淫[3]影颖隐引尹饮[5]映应印					
#uən						
k	[3]滚[5]棍					
kʰ	[1]昆坤{鸡你太美}[3]捆[5]困睏					
x	[1]昏婚荤[2]横魂浑[6]混					
Ø	[1]温瘟[2]文闻蚊纹[3]稳					
#ʯən						
tʂ	[1]君军均[3]准[5]郡菌					
tʂʰ	[1]春椿神[2]群裙唇[3]蠢					
ʂ	[1]熏[2]纯驯巡[5]训舜[6]顺					
Ø	[1]云匀耘[3]允永忍[5]韵[6]运晕闰孕					
#ɑŋ						
p	[1]邦帮[3]绑膀榜[5]棒磅					
pʰ	[2]庞旁[5]胖[6]蚌					
m	[1]忙芒茫盲氓[3]莽蟒					
f	[1]方肪[2]房妨防[3]纺仿访[5]放					
t	[1]当档[3]党挡[5]当					
tʰ	[1]汤[2]堂棠唐精塘[3]倘躺淌[5]烫趟[6]荡凼					
n	[2]囊					
l	[2]郎廊狼[3]朗[6]浪					
ts	[5]葬					
tsʰ	[1]仓苍营舱[2]藏[5]创[6]脏藏{西~}					
s	[1]桑丧[3]嗓[5]丧{~气}					
tʂ	[1]张章樟璋障[3]长掌[5]帐账胀涨仗障					
tʂʰ	[1]昌[2]常长肠[3]场敞厂[5]畅唱倡[6]丈杖					
ʂ	[1]商伤[2]裳尝[3]赏[6]上尚					
ʐ	[2]瓤[3]攘嚷[6]让					
k	[1]刚纲钢缸[3]岗讲港[5]冈杠虹钢					
kʰ	[1]康糠慷[2]扛[5]抗炕囥					
x	[1]夯[2]行{银~}舰杭[6]项巷					
#iɑŋ						
l	[2]良凉量粮梁粱[3]两[6]量亮					
tɕ	[1]缰僵姜蟹将{~军}浆江[3]奖桨蒋[5]酱将降绛					
tɕʰ	[1]枪控[2]强墙祥详[3]抢强[6]匠像					
ȵ	[2]娘[3]仰					
ɕ	[1]香乡相箱湘镶厢[3]响想享[5]向相[6]橡象					
Ø	[1]央秧殃鸯[2]羊洋佯杨阳扬疡[3]养痒[6]样					
#uɑŋ						
k	[1]光[3]广[5]逛					
kʰ	[1]筐眶框[2]狂[5]况矿					
x	[1]荒慌[2]黄簧横皇蝗煌凰[3]谎[5]晃					
Ø	[1]汪[2]王亡[3]往网[6]旺妄望忘					
#ʯɑŋ						
tʂ	[1]庄装妆[5]壮					
tʂʰ	[1]窗疮[2]床[3]撞闯[6]状					
ʂ	[1]双霜[3]爽					
#oŋ						
p	[1]绷[5]蹦					
pʰ	[1]砰[2]蓬篷朋棚鹏[3]捧[5]碰					
m	[1]蒙朦[2]蒙萌[3]猛[6]梦孟					
f	[1]封峰蜂锋风枫疯丰烽[2]逢缝冯[6]凤奉缝					
t	[1]冬东[3]董懂[5]冻栋					
tʰ	[1]通[2]同铜闹筒童[3]统[5]痛[6]动洞					
n	[2]农脓[6]弄					
l	[2]龙隆笼聋[3]陇垅拢[6]弄					
ts	[1]宗踪棕鬃枞{~阳}[3]总[5]纵粽					
tsʰ	[1]聪匆葱[2]从丛					
s	[1]松[5]送宋诵颂讼					
tʂ	[1]中忠钟盅终[3]种肿[5]种众中					
tʂʰ	[1]冲充[2]重虫[3]宠[5]冲[6]重					
k	[1]恭供弓躬宫公蛤工功攻[3]拱巩[5]供贡					
kʰ	[1]空[3]恐孔[5]空控[6]共					
x	[1]烘轰[2]红洪宏[3]哄					
Ø	[1]翁[5]瓮					
#ioŋ						
tɕʰ	[2]穷					
ȵ	[2]浓					
ɕ	[1]兄凶胸匈[2]熊雄					
Ø	[1]庸雍[2]茸容绒融荣溶[3]勇[6]用佣					
#n̩						
Ø	[3]你					
