繁体	简体	声韵	声调	注释		阴平：334	阳平：312
盔	盔	kʰuɛ	334				
科	科	kʰʊɤ	334				
空	空	kʰoŋ	334				
窠	窠	kʰʊɤ	334				
箍	箍	kʰu	334				
糠	糠	kʰɔ~	334				
繰	缲	kʰiɐɯ	334	用機器			
虧	亏	kʰuɛ	334				
誇	夸	kʰua	334				
鉛	铅	kʰa	334				
開	开	kʰɛ	334				
驅	驱	kʰy	334				
魁	魁	kʰuɛ	334				
龕	龛	kʰø	334				
俘	俘	fu	334				
分	分	feŋ	334				
夫	夫	fu	334				
妃	妃	fi	334				
妨	妨	fɔ~	334				
封	封	foŋ	334				
峰	峰	foŋ	334				
帆	帆	fa	334				
敷	敷	fu	334				
方	方	fɔ~	334				
楓	枫	foŋ	334				
番	番	fa	334				
瘋	疯	foŋ	334				
紛	纷	feŋ	334				
翻	翻	fa	334				
肪	肪	fɔ~	334				
膚	肤	fu	334				
芬	芬	feŋ	334				
芳	芳	fɔ~	334				
藩	藩	fa	334				
蜂	蜂	foŋ	334				
豐	丰	foŋ	334				
鋒	锋	foŋ	334				
非	非	fi	334				
風	风	foŋ	334				
飛	飞	fi	334				
麩	麸	fu	334				
□	□	tsɿ	334				
之	之	tsɿ	334				
偵	侦	tsiŋ	334				
咨	咨	tsɿ	334				
增	增	tsiŋ	334				
姿	姿	tsɿ	334				
宗	宗	tsoŋ	334				
專	专	tsø	334				
尊	尊	tsiŋ	334				
憎	憎	tsiŋ	334				
抓	抓	tsa	334	新			
支	支	tsɿ	334				
斟	斟	tsiŋ	334				
曾	曾	tsiŋ	334	姓			
枝	枝	tsɿ	334				
查	查	tsʊɤ	334	山～			
栽	栽	tsɛ	334				
梔	栀	tsɿ	334				
棕	棕	tsoŋ	334				
樟	樟	tsɔ~	334				
津	津	tsiŋ	334				
渣	渣	tsʊɤ	334				
滋	滋	tsɿ	334				
災	灾	tsɛ	334				
爭	争	tsa~	334				
珍	珍	tsiŋ	334				
真	真	tsiŋ	334				
睜	睁	tsa~	334				
知	知	tsɿ	334				
磚	砖	tsø	334				
租	租	tsu	334				
章	章	tsɔ~	334				
箏	筝	tsa~	334				
簪	簪	tsø	334				
糟	糟	tsɐɯ	334				
肢	肢	tsɿ	334				
脂	脂	tsɿ	334				
芝	芝	tsɿ	334				
茲	兹	tsɿ	334				
莊	庄	tsɔ~	334				
蜘	蜘	tsɿ	334				
裝	装	tsɔ~	334				
診	诊	tsiŋ	334				
貞	贞	tsiŋ	334				
資	资	tsɿ	334				
贓	赃	tsɔ~	334				
輜	辎	tsɿ	334				
遭	遭	tsɐɯ	334				
遮	遮	tsʊɤ	334				
遵	遵	tsiŋ	334				
鄒	邹	tsɘɯ	334				
針	针	tsiŋ	334				
錐	锥	tsø	334				
髒	脏	tsɔ~	334				
鬃	鬃	tsoŋ	334				
齋	斋	tsa	334				
侵	侵	tsʰiŋ	334				
倉	仓	tsʰɔ~	334				
催	催	tsʰɛ	334				
初	初	tsʰu	334				
匆	匆	tsʰoŋ	334				
參	参	tsʰø	334				
叉	叉	tsʰʊɤ	334				
嗤	嗤	tsʰɿ	334				
崔	崔	tsʰɛ	334				
川	川	tsʰø	334				
差	差	tsʰa	334	出～			
差	差	tsʰʊɤ	334	～别，～不多			
從	从	tsʰoŋ	334	～容			
抄	抄	tsʰɐɯ	334				
搓	搓	tsʰʊɤ	334				
撐	撑	tsʰa~	334				
撕	撕	tsʰɿ	334				
操	操	tsʰɐɯ	334				
攙	搀	tsʰɛ	334				
杈	杈	tsʰʊɤ	334				
村	村	tsʰiŋ	334				
汆	汆	tsʰø	334				
猜	猜	tsʰɛ	334				
疵	疵	tsʰɿ	334				
瘡	疮	tsʰɔ~	334				
癡	痴	tsʰɿ	334				
穿	穿	tsʰø	334				
粗	粗	tsʰu	334				
聰	聪	tsʰoŋ	334				
蒼	苍	tsʰɔ~	334				
蔥	葱	tsʰoŋ	334				
親	亲	tsʰiŋ	334				
車	车	tsʰʊɤ	334	～輛			
釵	钗	tsʰa	334				
鈔	钞	tsʰɐɯ	334				
雌	雌	tsʰɿ	334				
餐	餐	tsʰa	334				
三	三	sa	334				
伸	伸	siŋ	334				
僧	僧	siŋ	334				
刪	删	sa	334				
參	参	siŋ	334	人～			
司	司	sɿ	334				
唆	唆	sʊɤ	334				
喧	喧	sø	334				
奢	奢	sʊɤ	334				
孀	孀	sɔ~	334				
孫	孙	siŋ	334				
宣	宣	sø	334				
屍	尸	sɿ	334				
山	山	sa	334				
市	市	sɿ	334				
師	师	sɿ	334				
廝	厮	sɿ	334				
心	心	siŋ	334				
思	思	sɿ	334				
恃	恃	sɿ	334				
拴	拴	sø	334				
捎	捎	sɐɯ	334				
搜	搜	sɘɯ	334				
斯	斯	sɿ	334				
新	新	siŋ	334				
施	施	sɿ	334				
杉	杉	sa	334				
松	松	soŋ	334				
桑	桑	sɔ~	334				
梢	梢	sɐɯ	334				
梭	梭	sʊɤ	334				
梳	梳	sɿ	334				
森	森	siŋ	334				
沙	沙	sʊɤ	334				
深	深	siŋ	334				
牲	牲	sa~	334				
獅	狮	sɿ	334				
珊	珊	sa	334				
生	生	sa~	334				
甥	甥	sa~	334				
申	申	siŋ	334				
疏	疏	su	334				
私	私	sɿ	334				
笙	笙	sa~	334				
篩	筛	sɿ	334				
紗	纱	sʊɤ	334				
絲	丝	sɿ	334				
腮	腮	sɛ	334				
臊	臊	sɐɯ	334				
蓑	蓑	sʊɤ	334				
蔬	蔬	su	334				
薪	薪	siŋ	334				
蘇	苏	su	334				
衫	衫	sa	334				
衰	衰	sɛ	334				
詩	诗	sɿ	334				
賒	赊	sʊɤ	334				
身	身	siŋ	334				
辛	辛	siŋ	334				
酥	酥	su	334				
酸	酸	sø	334				
閂	闩	sø	334				
霜	霜	sɔ~	334				
颼	飕	sɘɯ	334				
餿	馊	sɘɯ	334				
騷	骚	sɐɯ	334				
鰓	鳃	sɛ	334				
鰣	鲥	sɿ	334				
中	中	tɕyoŋ	334	當～			
京	京	tɕiŋ	334				
今	今	tɕiŋ	334				
供	供	tɕyoŋ	334				
僵	僵	tɕia	334				
兼	兼	tɕie	334				
占	占	tɕie	334	～卜			
周	周	tɕiɘɯ	334				
基	基	tɕi	334				
堅	坚	tɕie	334				
嬌	娇	tɕiɐɯ	334				
宮	宫	tɕyoŋ	334				
尖	尖	tɕie	334				
州	州	tɕiɘɯ	334				
巾	巾	tɕiŋ	334				
弓	弓	tɕyoŋ	334				
張	张	tɕia	334				
征	征	tɕiŋ	334				
忠	忠	tɕyoŋ	334				
恭	恭	tɕyoŋ	334				
抓	抓	tɕya	334				
招	招	tɕiɐɯ	334				
搛	搛	tɕie	334				
斤	斤	tɕiŋ	334				
昭	昭	tɕiɐɯ	334				
晶	晶	tɕiŋ	334				
朝	朝	tɕiɐɯ	334	今～			
朱	朱	tɕy	334				
株	株	tɕy	334				
椒	椒	tɕiɐɯ	334				
樁	桩	tɕyɔ~	334				
機	机	tɕi	334				
正	正	tɕiŋ	334	～月			
毽	毽	tɕie	334				
氈	毡	tɕie	334				
沼	沼	tɕiɐɯ	334				
洲	洲	tɕiɘɯ	334				
漿	浆	tɕia	334				
澆	浇	tɕiɐɯ	334				
焦	焦	tɕiɐɯ	334				
煎	煎	tɕie	334				
珠	珠	tɕy	334				
疆	疆	tɕia	334				
盅	盅	tɕyoŋ	334				
睛	睛	tɕiŋ	334				
瞻	瞻	tɕie	334				
矯	矫	tɕiɐɯ	334				
硃	朱	tɕy	334				
礓	礓	tɕia	334				
筋	筋	tɕiŋ	334				
精	精	tɕiŋ	334				
糾	纠	tɕiɘɯ	334	～纏			
終	终	tɕyoŋ	334				
經	经	tɕiŋ	334				
肌	肌	tɕi	334				
肩	肩	tɕie	334				
肫	肫	tɕyŋ	334	文			
舟	舟	tɕiɘɯ	334				
荊	荆	tɕiŋ	334				
蒸	蒸	tɕiŋ	334				
蕉	蕉	tɕiɐɯ	334				
薑	姜	tɕia	334				
蛛	蛛	tɕy	334				
襟	襟	tɕiŋ	334				
誅	诛	tɕy	334				
諸	诸	tɕy	334				
譏	讥	tɕi	334				
躬	躬	tɕyoŋ	334				
追	追	tɕy	334				
金	金	tɕiŋ	334				
鐘	钟	tɕyoŋ	334				
韁	缰	tɕia	334				
饑	饥	tɕi	334				
驕	骄	tɕiɐɯ	334				
驚	惊	tɕiŋ	334				
鬮	阄	tɕiɘɯ	334				
鳩	鸠	tɕiɘɯ	334				
丘	丘	tɕʰiɘɯ	334				
傾	倾	tɕʰiŋ	334				
充	充	tɕʰyoŋ	334				
匡	匡	tɕʰyɔ~	334				
千	千	tɕʰie	334				
卿	卿	tɕʰiŋ	334				
□	□	tɕʰiɘɯ	334	箍桶			
囪	囱	tɕʰyoŋ	334				
妻	妻	tɕʰi	334				
抽	抽	tɕʰiɘɯ	334				
昌	昌	tɕʰia	334				
春	春	tɕʰyŋ	334				
棲	栖	tɕʰi	334				
槍	枪	tɕʰia	334				
欺	欺	tɕʰi	334				
欽	钦	tɕʰiŋ	334				
殲	歼	tɕʰie	334				
沖	冲	tɕʰyoŋ	334				
清	清	tɕʰiŋ	334				
溪	溪	tɕʰi	334				
牽	牵	tɕʰie	334				
眶	眶	tɕʰyɔ~	334				
秋	秋	tɕʰiɘɯ	334				
稱	称	tɕʰiŋ	334				
窗	窗	tɕʰyɔ~	334				
筐	筐	tɕʰyɔ~	334				
箋	笺	tɕʰie	334				
簽	签	tɕʰie	334				
繰	缲	tɕʰiɐɯ	334	用手工			
羌	羌	tɕʰia	334				
腔	腔	tɕʰia	334				
菖	菖	tɕʰia	334				
蜻	蜻	tɕʰiŋ	334				
蟶	蛏	tɕʰiŋ	334				
謙	谦	tɕʰie	334				
超	超	tɕʰiɐɯ	334				
趨	趋	tɕʰy	334				
輕	轻	tɕʰiŋ	334				
遷	迁	tɕʰie	334				
鍬	锹	tɕʰiɐɯ	334				
青	青	tɕʰiŋ	334				
仙	仙	ɕie	334				
休	休	ɕiɘɯ	334				
修	修	ɕiɘɯ	334				
傷	伤	ɕia	334				
兄	兄	ɕyoŋ	334				
先	先	ɕie	334				
凶	凶	ɕyoŋ	334				
升	升	ɕiŋ	334				
商	商	ɕia	334				
囂	嚣	ɕiɐɯ	334				
嬉	嬉	ɕi	334				
宵	宵	ɕiɐɯ	334				
嵩	嵩	ɕyoŋ	334				
希	希	ɕi	334				
廂	厢	ɕia	334				
掀	掀	ɕie	334				
搜	搜	ɕiɘɯ	334				
搧	搧	ɕie	334				
收	收	ɕiɘɯ	334				
旬	旬	ɕyŋ	334				
星	星	ɕiŋ	334				
書	书	ɕy	334				
杴	杴	ɕie	334				
松	松	ɕyoŋ	334	文			
枵	枵	ɕiɐɯ	334				
欣	欣	ɕiŋ	334				
消	消	ɕiɐɯ	334				
湘	湘	ɕia	334				
熙	熙	ɕi	334				
燒	烧	ɕiɐɯ	334				
犀	犀	ɕi	334				
犧	牺	ɕi	334				
瓖	瓖	ɕia	334				
硝	硝	ɕiɐɯ	334				
稀	稀	ɕi	334				
箱	箱	ɕia	334				
簫	箫	ɕiɐɯ	334				
綏	绥	ɕy	334				
羞	羞	ɕiɘɯ	334				
聲	声	ɕiŋ	334				
胸	胸	ɕyoŋ	334				
腥	腥	ɕiŋ	334				
膻	膻	ɕie	334				
舂	舂	ɕyoŋ	334				
興	兴	ɕiŋ	334	～旺			
舒	舒	ɕy	334				
蕭	萧	ɕiɐɯ	334				
襄	襄	ɕia	334				
西	西	ɕi	334				
軒	轩	ɕie	334				
輸	输	ɕy	334				
鄉	乡	ɕia	334				
銷	销	ɕiɐɯ	334				
雖	虽	ɕy	334				
雙	双	ɕyɔ~	334				
需	需	ɕy	334				
霄	霄	ɕiɐɯ	334				
須	须	ɕy	334				
香	香	ɕia	334				
鮮	鲜	ɕie	334				
亨	亨	ha~	334				
勛	勋	hyŋ	334				
呼	呼	hu	334				
嗅	嗅	hyŋ	334	用鼻子聞			
噓	嘘	hy	334				
墟	墟	hy	334				
夯	夯	ha~	334				
婚	婚	hueŋ	334				
徽	徽	huɛ	334				
恢	恢	huɛ	334				
慌	慌	huɔ~	334				
揈	揈	hoŋ	334				
揮	挥	huɛ	334				
昏	昏	hueŋ	334				
歡	欢	hua	334				
灰	灰	huɛ	334				
烘	烘	hoŋ	334				
熏	熏	hyŋ	334				
花	花	hʊɤ	334				
荒	荒	huɔ~	334				
葷	荤	heŋ	334				
蒿	蒿	hɐɯ	334				
薰	熏	hyŋ	334				
虛	虚	hy	334				
蚶	蚶	hø	334				
蝦	虾	hʊɤ	334	魚～			
輝	辉	huɛ	334				
酣	酣	hø	334				
靴	靴	hy	334				
麾	麾	huɛ	334				
兵	兵	ɓiŋ	334				
冰	冰	ɓiŋ	334				
包	包	ɓɐɯ	334				
卑	卑	ɓɛ	334				
坡	坡	ɓʊɤ	334				
奔	奔	ɓeŋ	334				
崩	崩	ɓeŋ	334				
巴	巴	ɓʊɤ	334				
幫	帮	ɓɔ~	334				
彪	彪	ɓiɐɯ	334				
彬	彬	ɓiŋ	334				
悲	悲	ɓɛ	334				
扳	扳	ɓa	334				
搬	搬	ɓø	334				
斑	斑	ɓa	334				
杯	杯	ɓɛ	334				
標	标	ɓiɐɯ	334				
檳	槟	ɓiŋ	334				
波	波	ɓʊɤ	334				
浜	浜	ɓa~	334				
玻	玻	ɓʊɤ	334				
班	班	ɓa	334				
疤	疤	ɓʊɤ	334				
碑	碑	ɓɛ	334				
編	编	ɓie	334				
胞	胞	ɓɐɯ	334				
膘	膘	ɓiɐɯ	334				
般	般	ɓø	334				
芭	芭	ɓʊɤ	334				
菠	菠	ɓʊɤ	334				
蓖	蓖	ɓi	334				
蝙	蝙	ɓie	334				
賓	宾	ɓiŋ	334				
邊	边	ɓie	334				
邦	邦	ɓɔ~	334				
錛	锛	ɓeŋ	334				
鞭	鞭	ɓie	334				
頒	颁	ɓa	334				
丁	丁	ɗiŋ	334				
丟	丢	ɗø	334				
丹	丹	ɗa	334				
低	低	ɗi	334				
兜	兜	ɗɘɯ	334				
冬	冬	ɗoŋ	334				
刀	刀	ɗɐɯ	334				
刁	刁	ɗiɐɯ	334				
叨	叨	ɗɐɯ	334				
啼	啼	ɗi	334	哭哭～～			
單	单	ɗa	334				
堆	堆	ɗɛ	334				
墩	墩	ɗeŋ	334				
多	多	ɗʊɤ	334				
掂	掂	ɗie	334				
敦	敦	ɗeŋ	334				
東	东	ɗoŋ	334				
燈	灯	ɗiŋ	334				
爹	爹	ɗi	334				
當	当	ɗɔ~	334	～時，應～			
疔	疔	ɗiŋ	334				
登	登	ɗiŋ	334				
端	端	ɗø	334				
耽	耽	ɗa	334				
肫	肫	ɗeŋ	334	白			
貂	貂	ɗiɐɯ	334				
蹲	蹲	ɗeŋ	334				
都	都	ɗu	334				
釘	钉	ɗiŋ	334	鐵～			
雕	雕	ɗiɐɯ	334				
顛	颠	ɗie	334				
啰	啰	ʔlʊɤ	334	～唆			
拉	拉	ʔla	334				
拎	拎	ʔliŋ	334				
媽	妈	ʔma	334				
貓	猫	ʔmɐɯ	334				
拿	拿	ʔnʊɤ	334	白			
拈	拈	ʔȵie	334				
沾	沾	ʔȵie	334				
研	研	ʔȵie	334				
粘	粘	ʔȵie	334				
黏	黏	ʔȵie	334				
丫	丫	ʊɤ	334				
么	么	iɐɯ	334	～二三			
伊	伊	i	334				
依	依	i	334				
倭	倭	a	334				
優	优	iɘɯ	334				
冤	冤	yø	334				
吆	吆	iɐɯ	334				
哀	哀	ɛ	334				
因	因	iŋ	334				
坳	坳	ɐɯ	334				
央	央	ia	334				
妖	妖	iɐɯ	334				
姻	姻	iŋ	334				
威	威	uɛ	334				
嬰	婴	iŋ	334				
安	安	ø	334				
庵	庵	ø	334				
彎	弯	ua	334				
恩	恩	eŋ	334				
憂	忧	iɘɯ	334				
應	应	iŋ	334	～當，～用			
打	打	a	334				
按	按	ø	334				
挨	挨	a	334				
椏	桠	ʊɤ	334				
櫻	樱	a~	334				
歐	欧	ɘɯ	334				
歪	歪	ua	334				
殃	殃	ia	334				
殷	殷	iŋ	334				
汙	污	u	334				
汪	汪	uɔ~	334				
洇	洇	iŋ	334				
淵	渊	yø	334				
淹	淹	ie	334				
溫	温	ueŋ	334				
灣	湾	ua	334				
烏	乌	u	334				
焉	焉	ie	334				
煙	烟	ie	334				
煨	煨	uɛ	334				
甌	瓯	ɘɯ	334				
瘟	瘟	ueŋ	334				
秧	秧	ia	334				
窩	窝	ʊɤ	334				
窪	洼	ua	334				
籲	吁	y	334				
纓	缨	iŋ	334				
翁	翁	oŋ	334				
肮	肮	ɔ~	334				
腰	腰	iɐɯ	334				
英	英	iŋ	334				
萎	萎	uɛ	334				
蔫	蔫	ie	334	食物不新鮮			
蛙	蛙	ua	334				
蝦	虾	ʊɤ	334	～蟆：青蛙			
蝸	蜗	ʊɤ	334				
螢	萤	iŋ	334				
衣	衣	i	334				
豌	豌	ua	334				
迂	迂	y	334				
醫	医	i	334				
閹	阉	ie	334				
閻	阎	ie	334				
陰	阴	iŋ	334				
雍	雍	yoŋ	334				
鞍	鞍	ø	334				
音	音	iŋ	334				
鴉	鸦	ʊɤ	334				
鶯	莺	iŋ	334				
鷹	鹰	iŋ	334				
鸚	鹦	iŋ	334				
僕	仆	pʰʊɤʔ	5	倒			
僻	僻	pʰiɪʔ	5				
劈	劈	pʰiɪʔ	5				
匹	匹	pʰiɪʔ	5				
□	□	pʰaʔ	5	用手撕開			
帕	帕	pʰaʔ	5				
拍	拍	pʰaʔ	5				
撇	撇	pʰiaʔ	5				
撥	拨	pʰaʔ	5				
撲	扑	pʰʊɤʔ	5				
樸	朴	pʰɔʔ	5				
潑	泼	pʰaʔ	5				
瀑	瀑	pʰʊɤʔ	5	～布			
蔔	卜	pʰʊɤʔ	5				
辟	辟	pʰiɪʔ	5				
魄	魄	pʰaʔ	5				
剔	剔	tʰiɪʔ	5				
塌	塌	tʰaʔ	5				
帖	帖	tʰiaʔ	5				
托	托	tʰɔʔ	5				
搨	搨	tʰɔʔ	5	～本			
獺	獭	tʰɔʔ	5				
禿	秃	tʰʊɤʔ	5				
脫	脱	tʰʊɤʔ	5				
貼	贴	tʰiaʔ	5				
踢	踢	tʰiɪʔ	5				
鐵	铁	tʰiaʔ	5				
刮	刮	kuaʔ	5				
割	割	kiaʔ	5				
各	各	kɔʔ	5				
合	合	kiaʔ	5	十～一升			
□	□	kiaʔ	5	鐮刀			
國	国	kuʊɤʔ	5				
夾	夹	kɔʔ	5				
峽	峡	kɔʔ	5				
括	括	kuaʔ	5	包～			
擱	搁	kɔʔ	5				
格	格	kaʔ	5				
桔	桔	kyøʔ	5				
決	决	kyaʔ	5				
甲	甲	kɔʔ	5				
穀	谷	kuʊɤʔ	5				
聒	聒	kuaʔ	5	～耳光			
胛	胛	kɔʔ	5	肩～			
胳	胳	kɔʔ	5	～膊			
菊	菊	kyøʔ	5				
葛	葛	kiaʔ	5				
蛤	蛤	kiaʔ	5				
裌	夹	kɔʔ	5				
覺	觉	kɔʔ	5	知～			
角	角	kɔʔ	5				
訣	诀	kyaʔ	5				
郭	郭	kuaʔ	5				
閣	阁	kɔʔ	5				
隔	隔	kaʔ	5				
革	革	kaʔ	5				
骨	骨	kuʊɤʔ	5				
鴿	鸽	kiaʔ	5				
克	克	kʰiɪʔ	5				
刻	刻	kʰiɪʔ	5				
咳	咳	kʰaʔ	5				
哭	哭	kʰuʊɤʔ	5				
客	客	kʰaʔ	5				
屈	屈	kʰyøʔ	5				
廓	廓	kʰuɔʔ	5				
恰	恰	kʰaʔ	5				
恰	恰	kʰɔʔ	5				
掐	掐	kʰaʔ	5	～脖子			
掐	掐	kʰɔʔ	5	用手指～			
擴	扩	kʰuɔʔ	5				
榷	榷	kʰɔʔ	5				
殼	壳	kʰɔʔ	5				
渴	渴	kʰaʔ	5				
確	确	kʰɔʔ	5				
磕	磕	kʰaʔ	5				
窟	窟	kʰuʊɤʔ	5	～窿			
缺	缺	kʰyaʔ	5				
酷	酷	kʰuʊɤʔ	5	舊			
酷	酷	kʰɔʔ	5				
闊	阔	kʰuaʔ	5				
勿	勿	fəʔ	5				
幅	幅	fʊɤʔ	5				
彿	佛	fəʔ	5				
法	法	fɔʔ	5				
發	发	fɔʔ	5				
福	福	fʊɤʔ	5				
腹	腹	fʊɤʔ	5				
蝠	蝠	fʊɤʔ	5				
復	复	fʊɤʔ	5				
覆	覆	fʊɤʔ	5				
作	作	tsɔʔ	5	～坊，工～			
則	则	tsəʔ	5				
劄	札	tsaʔ	5	用針～			
劄	札	tsaʔ	5				
卒	卒	tsəʔ	5				
只	只	tsəʔ	5	～有			
只	只	tsəʔ	5				
執	执	tsəʔ	5				
摘	摘	tsaʔ	5				
汁	汁	tsəʔ	5				
眨	眨	tsaʔ	5	～眼			
窄	窄	tsɔʔ	5				
紮	扎	tsaʔ	5				
責	责	tsaʔ	5				
質	质	tsəʔ	5				
七	七	tsʰəʔ	5				
促	促	tsʰʊɤʔ	5				
側	侧	tsʰəʔ	5				
冊	册	tsʰaʔ	5				
□	□	tsʰaʔ	5	皴			
察	察	tsʰɔʔ	5				
拆	拆	tsʰaʔ	5				
插	插	tsʰɔʔ	5				
撮	撮	tsʰəʔ	5	一～米			
擦	擦	tsʰɔʔ	5				
測	测	tsʰəʔ	5				
漆	漆	tsʰəʔ	5				
猝	猝	tsʰəʔ	5				
策	策	tsʰaʔ	5				
膝	膝	tsʰəʔ	5	舊			
些	些	səʔ	5				
嗇	啬	səʔ	5				
塞	塞	səʔ	5				
失	失	səʔ	5				
室	室	səʔ	5				
束	束	sʊɤʔ	5				
柵	栅	saʔ	5	～欄			
殺	杀	sɔʔ	5				
澀	涩	səʔ	5				
濕	湿	səʔ	5				
率	率	səʔ	5	～領			
瑟	瑟	səʔ	5				
索	索	saʔ	5	繩～			
色	色	səʔ	5				
薩	萨	sɔʔ	5				
虱	虱	səʔ	5				
速	速	sʊɤʔ	5				
倔	倔	tɕyɔʔ	5	脾氣～			
劫	劫	tɕiaʔ	5				
卓	卓	tɕyɔʔ	5				
即	即	tɕiɪʔ	5				
只	只	tɕiɪʔ	5	舊			
吉	吉	tɕiɪʔ	5				
哲	哲	tɕiaʔ	5				
囑	嘱	tɕyʊɤʔ	5				
急	急	tɕiɪʔ	5				
戟	戟	tɕiɪʔ	5				
折	折	tɕiaʔ	5	～斷			
拙	拙	tɕyɔʔ	5				
挾	挟	tɕiaʔ	5	～菜			
捉	捉	tɕyʊɤʔ	5				
接	接	tɕiaʔ	5				
摺	折	tɕiaʔ	5				
擊	击	tɕiɪʔ	5				
桌	桌	tɕyɔʔ	5				
浙	浙	tɕiaʔ	5				
潔	洁	tɕiaʔ	5				
激	激	tɕiɪʔ	5				
燭	烛	tɕyʊɤʔ	5				
琢	琢	tɕyɔʔ	5				
祝	祝	tɕyʊɤʔ	5				
積	积	tɕiɪʔ	5				
竹	竹	tɕyʊɤʔ	5				
節	节	tɕiaʔ	5				
築	筑	tɕyʊɤʔ	5				
粥	粥	tɕyʊɤʔ	5				
級	级	tɕiɪʔ	5				
結	结	tɕiaʔ	5				
給	给	tɕiɪʔ	5	供～			
綴	缀	tɕyɔʔ	5	點～			
績	绩	tɕiɪʔ	5				
織	织	tɕiɪʔ	5				
職	职	tɕiɪʔ	5				
脊	脊	tɕiɪʔ	5				
腳	脚	tɕyɔʔ	5				
著	着	tɕyɔʔ	5	～衣			
足	足	tɕyʊɤʔ	5				
跡	迹	tɕiɪʔ	5				
酌	酌	tɕyɔʔ	5				
雀	雀	tɕyɔʔ	5				
鯽	鲫	tɕiaʔ	5				
乞	乞	tɕʰiɪʔ	5				
出	出	tɕʰyʊɤʔ	5				
