来源：	岳俊丽 2012《晋语沁源县王陶话语音研究》；Hynuza 整理录入
tʂ	［1］迟蒸知致［5］治痔稚置
tʂʰ	［1］嗤痴持［3］耻
ʂ	［1］绳［5］盛{~大}剩世势誓
#uei	
l	［1］滤驴［3］垒昌旅屡［5］儡泪类累虑
ts	［1］追锥［3］嘴［5］坠缀赘最醉
tsʰ	［1］吹垂槌锤［5］脆翠
s	［1］谁虽绥随髓［3］水［5］瑞税睡罗遂隧
z	［3］乳锐［5］芮
k	［1］归圭龟规闺癸［3］轨鬼［5］柜贵桂跪愧
kʰ	［1］亏逵葵魁傀［5］奎溃
x	［1］飞妃非匪痱挥辉［3］翡毁［5］肥废肺费
Ø	［1］危威微为{作为}用唯惟维畏猬［3］违伟伪尾纬苇委萎［5］为{~了}卫未位味胃谓魏
#əu	
t	［3］斗抖陡［5］豆逗鬥痘
tʰ	［1］偷头投［5］透
n	［1］奴［3］努
l	［1］楼耧篓卢庐芦炉［3］搂虏鲁［5］陋漏露赂路
ts	［1］绉租［3］走阻组祖［5］皱骤助奏
tsʰ	［1］仇初粗［3］础楚［5］凑醋
s	［1］愁疏漱搜馊飕艘［5］瘦数{~字}嗽
tʂ	［1］酬州舟周洲宙昼［3］轴肘［5］纣咒
tʂʰ	［1］抽绸稠筹［3］丑醜［5］臭
ʂ	［1］收［3］手守首［5］寿受兽售授
ɻ	［1］柔揉［5］肉
k	［1］勾沟钩苟构购［3］狗［5］垢够
kʰ	［1］抠叩扣［3］口寇
x	［1］侯喉猴瘊［5］后厚後候
ŋ	［1］鸥呕怄沤［3］欧殴偶藕
#iəu	
m	［5］谬
t	［1］丢
ȵ	［1］牛［3］扭纽钮
l	［1］溜刘流留琉硫馏榴［3］柳［5］六
tɕ	［1］究鸠揪灸救［3］纠九久韭洒［5］旧舅
tɕʰ	［1］丘秋蚯鳅囚求球［5］就
ɕ	［1］休修羞［3］朽［5］秀绣袖嗅
Ø	［1］优忧幽悠尤由犹邮油游［3］友有西［5］又右幼祐诱釉
#æ	
p	［1］掰扳班般颁斑搬邦帮谤［3］板版绑榜［5］办半伴扮拌绊瓣
pʰ	［1］傍潘攀盘庞旁螃［5］膀判叛盼胖
m	［1］妈蛮瞒漫［3］满莽蟒［5］曼慢蔓
t	［1］铛丹单担耽弹{~琴}蛋当裆档［3］胆掸诞挡党［5］但弹{子~}淡荡
tʰ	［1］贪摊滩瘫坛痰谭潭檀趕叹炭探唐堂棠塘糖螳趟［3］谈坦毯倘［5］烫
n	［1］男南难
l	［1］兰拦栏蓝篮览榄郎狼廊榔螂朗［3］揽缆懒［5］烂滥浪
ts	［1］簪赃［3］攒斩盏［5］藏{宝~}暂赞葬站绽蘸
tsʰ	［1］参餐残蚕惭灿仓苍舱藏{~起}搀谗馋［3］惨产铲
s	［1］三桑丧{~事}山杉衫［3］伞散{松散}嗓［5］散{散会}丧{~命}
tʂ	［1］倡唱毡瞻张章樟掌障［3］长{生~}厂敞展战涨［5］占丈仗帐杖胀账
tʂʰ	［1］禅缠蝉昌长{长短}肠尝常［3］场［5］颤畅
ʂ	［1］删珊羶伤商赏尚［3］偿闪陕［5］疝扇善膳厦{大~}
ɻ	［1］然壤攘［3］燃染嚷［5］让
ɳ	［1］黏碾沾粘
k	［1］干{~爽}甘肝泔柑竿尴秆橄刚纲缸钢刊［3］杆赶敢感擀侃［5］干{~劲}幹杠看
kʰ	［1］勘堪坎砍
x	［1］憨鼾含函寒韩罕杭航还{~是}咸行{银行}［3］喊［5］汉汗旱焊憾撼翰
ŋ	［1］安庵鹌鞍［5］岸按案暗
#iæ	
p	［1］边编鞭汴［3］蝙贬扁匾［5］便变遍辨辩辫
pʰ	［1］偏篇骗［5］片
m	［1］眠绵棉缅［3］免勉娩［5］面
t	［1］掂颠癫典甜［3］点［5］电店垫淀奠殿
tʰ	［1］天添田填腆［3］舔
ȵ	［1］拈年鲇辇言研颜［3］撵眼［5］念酿砚谚
l	［1］连帘怜莲廉镰殓良粱量［3］脸［5］亮谅
tɕ	［1］奸尖坚歼间肩艰轰兼监笺犍煎柬见建荐健腱鉴键江姜将浆僵疆奖桨前钱钳［3］拣俭茧减剪检锏简碱践讲蒋［5］件剑贱涧舰渐谏溅箭酱
tɕʰ	［1］千迁牵铅谦签虔乾潜枪强锹纤［3］浅遣抢［5］欠嵌歉
ɕ	［1］仙先掀闲贤涎衔嫌现羡乡相厢湘箱镶详祥翔象像橡［3］鲜显险享癣［5］县线限宪陷馅献向
Ø	［1］烟胭淹焉阉腌蔫延严岩沿炎盐阎檐厌焰雁央殃秧阳杨疡洋缘［3］衍掩演［5］筵宴艳验堰燕
#uæ	
t	［1］端缎锻［3］短［5］段断
tʰ	［1］团
n	［3］暖
l	［1］恋鸾銮［3］卵乱
ts	［1］传{~记}专砖转妆桩装壮状钻［3］转［5］篆
tsʰ	［1］川穿传{~送}船椽疮床［3］闯喘创［5］串窜篡
s	［1］拴栓双酸［3］爽［5］涮蒜算
z	［3］阮软
k	［1］关观官棺惯灌光胱逛［3］馆管广［5］冠贯罐
kʰ	［1］宽匡筐狂框［3］款
x	［1］帆番翻藩矾烦繁返方坊妨肪欢还{~钱}环桓荒慌皇凰隍蝗簧蟥［3］反贩仿缓恍幌［5］凡犯泛饭范範幻宦唤换患焕晃
Ø	［1］弯剜湾豌丸完玩顽腕亡王枉［3］宛挽晚婉惋皖碗往［5］万妄旺望
#əŋ	
p	［1］奔锛笨崩绷迸盆［3］本
pʰ	［1］喷烹朋彭棚蓬鹏篷膨［3］捧［5］碰
m	［1］门萌盟蒙懵［3］猛［5］闷孟梦
t	［1］灯登疼［3］等［5］澄邓凳瞪
tʰ	［1］腾誊藤吞
n	［1］能农脓［5］嫩
l	［1］棱［3］冷
ts	［1］曾{姓~}增憎赠［5］赚
tsʰ	［1］层撑曾{~经}［5］蹭衬
s	［1］森僧牲笙［3］省［5］渗
