#来源	由Pekkhak（啵啵）轉錄自徐芳《江西万年石镇方言研究》
#调值	［1］³³［2］³⁵［3］²¹［5］²⁵［6］²¹³［7］²²［8］⁴
#符号说明	-白=文*俗?待考
#ɿ	
∅	［1］迂［2］於余馀娱于盂榆逾愉遗围［3］与雨禹羽［5］吁浴欲［6］誉预豫芋愈喻裕［7］域疫役鬱
#a	
p	［7］八把{动词，给}
f	［7］法发
t	［7］答
tʰ	［7］踏拓榻塔塌
n	［7］纳
l	［7］镴蜡
ts	［7］扎眨窄栅扎轧
tsʰ	［7］插獭擦札察
s	［7］撒萨焯杀
k	［7］夹甲胛
ŋ	［7］鸭押压
x	［7］瞎
#ua	
k	［7］刮
∅	［7］挖袜
#ᴀ	
p	［1］巴芭疤［3］把握［5］霸把欛坝爸罢
pʰ	［2］爬琶杷钯［5］怕帕［6］耙［7］拍
m	［1］蟆妈［2］麻痳［3］马码［6］骂
f	［1］花［2］华{中～}铧划{～船}［5］化桦［6］华{～山}画坏=劃
t	［3］打
tʰ	［1］他
n	［1］□{屎}［2］拿［3］哪
l	［1］拉
ts	［1］查渣抓=遮炸{油～}［3］者［5］诈榨炸{～弹}乍蔗［7］摘隻{一～}
tsʰ	［1］叉权差车［2］茶搽茬查［5］岔［7］尺
s	［1］莎沙纱奢赊［2］蛇佘［3］洒捨傻耍洒［5］厦{大～}赦舍{宿～}［6］射麝社
k	［1］家加痂嘉傢佳［3］假{真～}贾［5］假{～期}架驾嫁稼价尬
kʰ	［3］卡
ŋ	［1］鸦桠□{张开嘴}［2］牙芽衙伢［3］我雅哑［5］亚［6］砑艾{～叶}
x	［1］虾哈［2］霞瑕暇虾蛤［6］下夏厦{～门}暇［7］吓
∅	［1］阿
#iᴀ	
t	［1］爹［5］□{厉害}
tɕ	［5］借藉［7］□{思维或动作灵敏}
tɕʰ	［2］茄邪斜［3］且［5］苴［6］谢［7］喫
ȵ	［1］丫惹
ɕ	［1］些［3］写［5］泻卸
∅	［2］耶爷{叔叔}［3］也野［6］夜
#uᴀ	
k	［1］瓜［3］寡剐［5］挂卦
kʰ	［1］夸［3］侉垮［5］跨
∅	［1］蛙洼［3］瓦［6］话-
#yᴀ	
tɕ	［1］抓-
ɕ	［1］靴
#ɐ	
p	［7］钵拨擘檗
pʰ	［7］泼钹
m	［7］抹末沫
t	［7］掇
tʰ	［7］脱
ts	［7］撮
s	［7］刷
k	［7］蛤鸽割葛
kʰ	［7］渴
x	［7］喝
#ɛ	
p	［7］不北百{一～}柏
pʰ	［7］迫
m	［7］默脉
t	［7］得德
tʰ	［6］袋
n	［3］□{这里}［5］那
l	［7］入
ts	［1］栽［6］厕［7］褶执汁哲蜇折浙质卒则侧织职责
tsʰ	［2］裁［3］踩［7］彻撤秩测拆宅䜺策册赤斥
s	［6］豉［7］摄涉涩湿瑟虱失室术{手～}塞色啬识式饰释
k	［5］盖{动词}［7］客{做～}革隔{～壁}
kʰ	［2］渠{他}［5］去［7］咳［7］刻{时～，～刀}克
ŋ	［2］蜈虞倪［7］额
x	［7］黑赫
∅	［2］儿而［3］尔耳［6］二贰饵
#iɛ	
p	［7］鳖憋
pʰ	［7］撇
m	［7］灭
t	［7］猎跌列烈裂劣
tʰ	［7］帖贴铁
tɕ	［3］姐［7］接劫揭节结洁
tɕʰ	［7］妾怯切搉
ȵ	［7］聂镊蹑业孽捏疟
ɕ	［2］谐［7］胁薛泄歇蝎屑楔雪
∅	［2］爷{祖父}［7］腌{～肉}噎
#uɛ	
k	［7］骨国虢
kʰ	［7］窟
∅	［7］物屋
#yɛ	
tɕ	［7］折{～叠}厥憠决诀䦆
tɕʰ	［7］瘸缺
ɕ	［7］设说血
∅	［7］热=悦阅哕越曰粤籰
#ɔ	
p	［1］波菠□{跑}坡玻［2］帛［3］跛簸［5］□{撅}簸{～箕}［7］博剥驳
pʰ	［1］颇剖［2］婆［5］破
m	［1］□{做事慢吞吞}［2］魔磨{～刀}摩馍［3］□{谁}［6］磨{～面}［7］寞摸陌
f	［3］火伙［5］货［6］祸和{～面}［7］豁霍藿
t	［1］多［2］铎［3］朵躲［5］剁［7］沰{淋雨}
tʰ	［1］拖［2］驼驮［3］妥椭［5］舵唾垛［6］惰［7］托
n	［1］□{猪肉}［2］挪［6］糯［7］诺
l	［2］罗锣箩骡螺脶啰［3］裸瘰［6］摞［7］烙骆酪洛络乐{～平}若
ts	［3］左佐［5］做［7］拙作着{～衣}酌绰芍桌卓琢啄涿捉
tsʰ	［1］搓［2］矬［5］锉莝措错［6］坐座昨
s	［1］蓑梭唆［3］锁琐［7］索缩
k	［1］歌哥戈聒［5］个［7］各阁搁胳觉角
kʰ	［1］科窠棵颗［3］可［5］课［7］磕确壳
ŋ	［2］蛾鹅俄讹［6］饿［7］鄂恶{～人}岳
x	［2］河何荷{～花}和{～气}［5］荷{电～}［6］贺
#iɔ	
t	［7］略掠
tɕ	［7］脚
tɕʰ	［7］雀鹊却
ȵ	［7］弱虐
ɕ	［7］削
∅	［7］约药钥跃
#uɔ	
k	［3］果裹粿馃［5］过［7］郭
kʰ	［7］廓扩
∅	［1］锅倭窝蜗屙{排便}［2］禾［6］卧［7］握沃
#ai	
p	［1］掰［3］摆［5］拜
pʰ	［2］排牌簰［5］派［6］败
m	［2］埋［3］买［6］卖迈
f	［2］怀槐淮
t	［1］呆［5］戴带
tʰ	［5］太泰［6］大态贷待怠殆代
n	［3］乃奶［6］耐奈
l	［6］赖癞攋
ts	［1］灾斋［3］宰载{年～}［5］载债拽□{缝}
tsʰ	［1］猜钗差［3］彩采睬棌［5］菜蔡［6］寨
s	［1］腮鳃筛衰摔［2］豺柴［5］赛帅率蟀
k	［1］皆阶秸街［3］解［5］溉丐介界芥疥届戒
kʰ	［1］揩［3］慨楷［5］概□{节约}［6］械
ŋ	［1］哀埃挨［2］獃挨桅［3］蔼矮［5］隘艾［6］碍外
x	［2］孩鞋［5］蟹懈［6］骇
#uai	
k	［1］乖［3］拐［5］怪
kʰ	［5］块会{～计}快筷
∅	［1］歪［6］坏-
#ɛi	
p	［1］杯碑卑悲［5］贝辈背
pʰ	［1］胚坯［2］培陪赔裴［5］沛配焙辔［6］鐾倍佩背{～诵}被
m	［2］梅枚媒煤霉［3］每美［6］妹昧媚寐
f	［1］恢灰麾非飞妃挥辉徽［2］回茴肥［3］悔毁匪榧翡［5］晦税废肺秽痱费讳［6］贿汇会=绘吠惠慧
t	［1］堆［5］对碓队
tʰ	［1］胎推［2］台苔抬［3］腿［5］退蜕兑褪
n	［6］内
l	［2］来雷［3］吕稆缕屡儡累蕊垒［6］累锐瑞类泪
ts	［1］锥［5］再最缀赘
tsʰ	［1］催崔炊［2］才材财裁［5］脆粹坠［6］在罪
s	［1］□{形容人贪吃}［2］绥［5］碎［6］穗
k	［1］该［3］改［5］盖{名词}
kʰ	［1］开［3］凯
ŋ	［2］爱
x	［3］海［6］亥害
#uɛi	
k	［1］圭闺规龟归［3］诡轨癸鬼［5］刽桧鳜桂贵
kʰ	［1］盔奎亏窥［2］魁逵葵［3］傀［5］跪愧［6］溃
∅	［1］煨威微［2］危为维惟唯违［3］宇萎委伟苇纬伪［5］喂畏慰［6］会{～不～}卫为位未味魏胃谓猬
#ɑɔ	
p	［1］褒包胞［3］保堡宝饱［5］报暴豹爆
pʰ	［1］抛［2］袍鲍［3］跑［5］炮泡［6］抱鲍菢
m	［1］猫［2］毛茅锚矛［3］卯［6］冒帽貌
t	［1］刀叨［3］祷岛倒{～地}［5］到倒{～水}
tʰ	［1］滔掏涛［2］桃逃淘陶萄［3］讨导［5］套［6］道稻盗
n	［2］铙挠［3］脑恼［6］闹
l	［1］捞［2］劳牢唠痨［3］老［6］涝
ts	［1］遭糟□{翻跟头}［3］早枣蚤澡爪找［5］躁灶罩兆
tsʰ	［1］操抄钞［2］曹槽巢［3］草炒吵［5］糙皂［6］造
s	［1］骚臊梢捎稍［3］扫{动词}嫂［5］扫{名词}
k	［1］高膏篙羔糕交郊胶教{～书}铰［3］稿绞狡搅搞［5］告教{～育}校{～对}较窖觉{睏～}
kʰ	［1］敲［3］考烤［5］靠犒
ŋ	［1］坳［2］熬［3］袄咬［5］傲懊奥懊
x	［1］蒿［2］豪壕毫号［3］好{形容词}郝［5］好耗孝［6］浩号效校
#əu	
m	［2］谋［3］某亩牡［5］贸［6］茂
f	［2］浮［3］否
t	［1］兜［3］斗动抖陡［5］鬥
tʰ	［1］偷［2］头投［3］㪗［5］透［6］豆逗
l	［2］桡楼耧［3］扰篓搂［6］漏陋绕
ts	［1］朝昭招邹掫［3］沼走［5］照诏奏皱绉骤
tsʰ	［1］超［2］朝潮愁［5］凑［6］赵召邵
s	［1］烧搜飕馊［2］韶瘦［3］少叟［5］少嗽［6］绍
ŋ	［1］殴
x	［2］侯喉猴瘊［3］吼［5］候［6］后厚
#iəu	
p	［1］膘标［3］表
pʰ	［1］飘［2］飘嫖［3］漂［5］票漂鳔
m	［2］苗描［3］藐渺秒［6］庙妙谬
t	［1］刁貂雕□{聪明}［2］燎療聊辽撩［3］燎鸟了瞭［5］钓吊掉调［6］料廖
tʰ	［1］挑［2］条调{～节}［5］跳［6］调{音～}
tɕ	［1］焦蕉椒骄娇浇［3］剿矫缴侥饺［5］酵醮叫
tɕʰ	［1］锹繰悄［2］樵瞧乔侨桥荞［3］巧［5］俏鞘窍［6］轿
ȵ	［6］尿
ɕ	［1］消宵霄硝销枵嚣萧箫［3］小晓［5］笑
k	［1］勾钩沟［3］狗苟［5］够构购
kʰ	［1］抠眍［3］口［5］叩扣寇
ŋ	［1］欧瓯［3］藕偶呕［5］怄
∅	［1］妖邀腰要幺吆［2］肴摇谣窑姚尧［3］舀杳［5］要［6］耀
#iu	
t	［1］丢［2］流刘留榴硫琉馏［3］柳□{漂亮}［5］溜［7］陆绿
tɕ	［1］箍{金～棒}揪鸠间咎纠［3］酒九久韭灸［5］救究［7］菊足
tɕʰ	［1］秋鞦丘［2］囚泅求球仇［3］糗［5］就［6］袖臼舅旧柩［7］曲
ȵ	［2］牛［3］纽扭［7］肉玉狱
ɕ	［1］修羞［3］朽［5］秀绣宿锈［6］续［7］肃宿蓄粟
∅	［1］忧优悠幽郁［2］尤邮由油［3］有友酉莠［5］又右诱幼［6］佑柚鼬釉［7］育
#an	
p	［1］班斑颁扳［3］板版［5］扮
pʰ	［1］攀［5］盼［6］瓣办
m	［2］蛮［3］晚-［6］慢漫幔蔓
f	［1］藩翻番［2］凡帆桓还{动词}环烦矾繁［3］反［5］幻贩［6］泛范犯患宦饭
t	［1］耽担丹单［3］胆掸［5］扣旦
tʰ	［1］坍滩摊［2］谈痰檀弹［3］坦［5］炭叹［6］淡诞但弹蛋
n	［2］难{～易}［6］难{患～}
l	［2］蓝篮兰拦栏［3］览揽榄缆冉懒［6］滥烂
ts	［1］沾粘瞻［3］斩盏攒［5］錾站蘸赞灒绽栈
tsʰ	［1］搀餐［2］惭谗馋残禅［3］铲产［5］灿［6］暂
s	［1］三杉衫钐珊山删疝膻扇［3］陕散伞［5］散
k	［1］监艰间奸［3］减碱简拣［5］鉴
kʰ	［3］砍［5］嵌
ŋ	［2］涯崖岩颜［3］眼［5］晏{晚}［6］雁谚
x	［2］咸衔闲还{副词}［3］喊［5］苋［6］陷馅限
#uan	
k	［1］关［5］惯
∅	［1］剜弯湾［2］玩顽［3］晚=［6］万
#ɐn	
p	［1］般搬［5］半绊
pʰ	［1］潘［2］爿盘［5］判叛［6］伴拌
m	［2］瞒馒［3］满
f	［1］欢［3］缓［5］唤焕［6］换=
t	［1］端［3］短［5］锻
tʰ	［1］贪［2］潭谭坛团［3］毯［5］探［6］断段缎
n	［2］南男［3］暖
l	［2］鸾［3］卵［6］乱
ts	［1］簪钻{动词}［3］纂［5］钻撰篆
tsʰ	［1］参［2］蚕椽［3］惨［5］纂［6］赚
s	［1］酸闩拴［5］算蒜涮
k	［1］甘柑泔尴干肝竿［3］感敢橄杆秆擀赶［5］干{～劲}
kʰ	［1］堪龛勘看{～守}刊［3］砍［5］看
ŋ	［1］庵安鞍［5］暗按案［6］岸
x	［1］憨鼾酣［2］含函寒韩［3］罕［5］汉［6］撼憾旱汗焊翰
#uɐn	
k	［1］官棺观冠{衣～}鳏［3］管馆［5］罐观{道～}冠贯灌
kʰ	［1］宽［3］款
∅	［1］豌［2］完［3］皖碗挽宛［6］换-
#ɛn	
p	［1］崩
m	［3］猛［6］孟
t	［1］登灯［3］等［5］凳镫
tʰ	［2］腾誊藤疼□{抬起来}［6］邓澄
n	［2］能
l	［2］楞
ts	［1］曾{姓}增憎筝［5］锃
tsʰ	［2］曾{～经}层［5］蹭［6］赠
s	［1］僧牲笙［3］省
k	［1］跟根更庚羹耕［3］哽埂耿
kʰ	［3］恳垦啃肯
ŋ	［1］恩［6］硬
x	［1］亨［2］痕恒衡［3］很［6］恨杏
#iɛn	
p	［1］鞭编边蝙辫［3］贬扁匾［5］变遍
pʰ	［1］篇偏［2］便{～宜}［5］骗片［6］辨辩汴便{～利}
m	［2］绵棉眠［3］免勉娩缅渑［6］面
t	［1］掂颠［2］廉镰帘连联怜莲［3］敛脸点典［5］店［6］殓练炼楝恋
tʰ	［1］添天［2］甜田填［3］舔腆［5］掭［6］簟电殿奠佃垫
tɕ	［1］尖兼搛煎笺肩坚［3］检俭裥柬剪茧趼笕［5］监舰剑谏涧锏箭溅建腱荐见
tɕʰ	［1］歼签谦迁千牵［2］潜钳钱乾虔掮键前全泉［3］浅遣［5］欠歉［6］渐践贱饯键健
ȵ	［1］黏蔫［2］严鲇拈言年研［3］染碾辇捻撵［6］验念砚
ɕ	［1］掀锨仙鲜先宣［2］嫌涎贤旋［3］险鲜癣显选［5］线羡宪献［6］现镟
∅	［1］淹阉腌焉烟燕{～京}［2］炎盐檐延筵沿铅{～山}［3］掩魇俨演［5］厌堰燕{～子}咽宴［6］艳焰
#yɛn	
tɕ	［1］专砖捐［3］转{～眼}卷［5］占战转{～动}眷卷{～子}绢圈［6］倦
tɕʰ	［1］川穿圈{圆～}［2］传拳权颧［3］展喘犬［5］窜串劝券［6］传{～记}
ȵ	［2］元原源［3］软阮［6］愿
ɕ	［1］轩喧［2］弦船玄悬蝉［3］闪［5］扇眩［6］善膳禅县
∅	［1］冤渊［2］阎丸圆员缘袁辕园援［3］兖远［5］怨［6］院
#ən	
p	［1］奔锛［3］本［5］□{动一下}
pʰ	［1］喷［2］盆［5］喷{～香}［6］笨
m	［2］门蚊-［6］闷问-
f	［1］昏婚分芬纷荤［2］魂馄浑焚坟［3］粉［5］粪奋愤忿［6］混份
t	［1］敦墩［5］顿扽□{盖起来}瞪［6］沌
tʰ	［1］吞［2］屯豚饨臀［5］囤［6］盾钝遁
n	［6］嫩
l	［1］扔=［2］人=壬然燃仁论仑伦沦轮［3］忍［6］任纤刃认韧论润闰
ts	［1］针斟毡珍榛臻真尊遵肫征蒸贞侦征［3］枕诊疹搏拯整［5］颤镇振震证症正政
tsʰ	［1］村皴称［2］蟾沉岑缠陈尘臣存蹲澄惩程承丞呈成城诚乘［3］忖逞［5］趁衬寸称{相～}秤［6］阵郑
s	［1］升［2］唇纯莼绳塍［3］笋榫［5］胜圣［6］剩盛
#uən	
k	［3］滚［5］棍
kʰ	［1］昆崑坤［3］捆［5］困
∅	［1］温瘟［2］文纹闻［3］稳吻刎
#in	
p	［1］彬宾槟冰兵［3］禀丙秉［5］篦殡鬓併{～拢}
pʰ	［1］姘［2］贫频凭坪评瓶屏萍［3］品［5］聘並
m	［2］民鸣明=名=铭［3］闽悯敏抿皿［6］命=
t	［1］丁=钉=靪疔［2］零=铃=［3］檩领=岭=顶鼎［5］吝钉=拎［6］赁令另
tʰ	［1］听=厅汀［2］亭停廷庭蜓［3］艇挺［6］订=锭定
tɕ	［1］今金禁襟津巾斤筋粳茎京荆惊鲸精晶睛经［3］锦紧仅谨景警井=［5］浸禁进晋劲境敬竟镜=竞靖径
tɕʰ	［1］侵钦亲卿清=轻=青=蜻［2］寻琴禽擒秦勤芹擎情晴=［3］寝请=苘［5］吣庆磬［6］揿妗尽近静净
ȵ	［2］吟银凝迎宁佞人-［3］拧［5］宁{～可}
ɕ	［1］心辛新薪欣兴{～旺}星=腥馨［2］巡行形型刑陉［3］省{反～}［5］信讯衅兴性姓=［6］幸
∅	［1］音阴荫因姻洇殷应{～当}鹰莺鹦樱英婴缨［2］淫寅仍蝇盈赢=茔［3］饮引隐尹影=颖［5］印应{～对}映
#yn	
tɕ	［1］均钧君军［3］准［5］郡俊浚
tɕʰ	［1］椿春倾［2］群裙［3］蠢顷［6］菌
ɕ	［1］熏勋薰［2］荀旬循醇［5］楦舜训迅［6］殉顺
∅	［1］晕{～车}［2］匀云［3］允［6］韵运晕{～开}孕
#ɑŋ	
p	［5］挷?{拉（起来）}
pʰ	［1］㧸{追}［2］彭膨
l	［3］冷-
ts	［1］争-睁-正-［3］整{修}［5］正{（说）好了}
tsʰ	［1］撑{～开}［2］橙程［5］撑{椅子～儿}
s	［1］生-甥-声-［2］盛{～饭}［3］省-{节～}
kʰ	［1］坑
#iɑŋ	
p	［3］饼-［5］柄-
pʰ	［1］拼-［2］平-［6］病
m	［2］明-名-［6］命-
t	［1］丁-钉-［2］零-铃-［3］领-岭-［5］钉-{动词}
tʰ	［1］听-［6］订-
tɕ	［3］井-颈-［5］镜-
tɕʰ	［1］清-轻-青-［2］晴-［3］请-
ȵ	［1］□{走来走去}
ɕ	［1］星-兄-［3］醒-□{形容人坏}［5］姓-
∅	［2］赢-［3］影-
#uɑŋ	
k	［5］梗{茎}
∅	［2］横
#ɔŋ	
p	［1］帮邦浜［3］榜绑［5］谤
pʰ	［2］滂旁螃傍庞［5］肨胖［6］棒蚌
m	［2］忙芒茫盲虻［3］莽蟒网-［6］望-
f	［1］荒慌方芳［2］黄簧呈蝗肪妨房防［3］谎仿纺访［5］放［6］晃
t	［1］当{～时}裆［3］党挡［5］当宕
tʰ	［1］汤蹚{～水}［2］堂棠螳唐糖塘［3］倘躺［5］烫趟荡
n	［2］囊［3］攮
l	［1］盪{用水冲使器皿干净}［2］郎廊狼螂瓤穰［3］朗壤攘嚷［6］浪让=
ts	［1］赃髒张庄装章樟桩［3］长{生～}涨掌［5］葬帐账胀仗壮障瘴
tsʰ	［1］仓苍疮昌菖窗［2］藏长肠场常偿［3］闯厂［5］畅创唱倡［6］臟{肝～}丈杖状撞
s	［1］桑丧霜孀商伤双［2］床尝裳［3］嗓搡爽赏晌［5］丧{～失}［6］上尚
k	［1］冈岗刚纲钢缸江-豇-［3］讲-港［5］杠降{下～}
kʰ	［1］康糠慷［2］扛［5］抗炕囥
ŋ	［1］肮［2］昂
x	［1］夯［2］行{～列}航杭降［6］项巷
#iɔŋ	
t	［2］良凉量{丈～}粮梁粱［3］两［6］亮谅辆量{数～}
tɕ	［1］将浆疆僵姜礓缰［3］奖桨耩［5］酱将{大～}犟
tɕʰ	［1］枪羌腔［2］墙匠强［3］抢强{勉～}［5］呛［6］像{好～}
ȵ	［2］娘［3］仰［6］酿让-
ɕ	［1］相{～信}箱厢湘襄镶香乡［2］详祥［3］想饷享响［5］相象向［6］像{人～}橡
∅	［1］央秧殃［2］羊烊洋阳杨扬疡［3］养痒［6］样
#uɔŋ	
k	［1］光［3］广［5］桄逛
kʰ	［1］匡筐眶［2］狂［5］旷况矿
∅	［1］汪［2］王亡［3］网=辋枉往［6］忘妄望=旺
#uŋ	
p	［5］迸蚌
pʰ	［1］烹［2］朋棚篷蓬［3］捧
m	［1］蒙{～对}［2］萌盟蒙［3］懵蠓［6］梦
f	［1］轰烘风疯枫丰封蜂峰锋［2］虹弘宏红洪鸿冯逢缝{～衣}［3］哄{～骗}讽［6］哄{起～}凤奉俸缝{～隙}
t	［1］东冬［3］董懂［5］冻栋
tʰ	［1］通熥［2］同桐铜童瞳筒［3］桶捅统［5］痛［6］动洞
n	［2］农脓侬浓
l	［2］笼聋隆绒［3］拢陇垄冗［6］弄
ts	［1］棕鬃宗中{～间}忠终踪钟盅［3］总冢种{～类}肿［5］粽综中众纵种{～树}
tsʰ	［1］聪匆葱充冲舂［2］丛虫崇从重{～复}［3］宠［5］仲铳□{打麻将让别人胡了}［6］重{～要}
s	［1］松嵩［3］怂［5］送宋诵讼［6］颂
k	［1］公蚣工功攻弓躬宫恭［3］拱巩［5］贡汞供=
kʰ	［1］空{～虚}［3］孔恐［5］控空［6］共
∅	［1］翁
#iuŋ	
t	［2］龙-
tɕ	［1］供-［3］窘迥
tɕʰ	［2］琼穷［5］共-
ɕ	［1］兄=胸凶［2］熊雄［5］嗅
∅	［1］雍痈庸［2］荣营萤荥戎融茸容蓉熔［3］拥甬勇涌［6］用
#aʔ	
f	［8］乏伐筏罚
tʰ	［8］沓达
l	［8］辣
ts	［8］闸铡
k	［8］挟
kʰ	［8］恰擖
#uaʔ	
∅	［8］滑猾
#ᴀʔ	
pʰ	［8］白-
m	［8］麦
s	［8］石
#iᴀʔ	
ɕ	［8］锡
#ɐʔ	
tʰ	［8］夺
l	［8］捋
tsʰ	［8］杂
x	［8］合盒
#uɐʔ	
∅	［8］活-
#ɛʔ	
pʰ	［8］泊
m	［8］没墨
f	［8］忽佛勿或惑获
tʰ	［8］突特
l	［8］肋勒
ts	［8］蛰择
tsʰ	［8］辙侄贼直值殖植泽宅
s	［8］匙涉十拾实术述食蚀
kʰ	［8］咳
ŋ	［8］啮{咬}
#iɛʔ	
pʰ	［8］别
tʰ	［8］叠碟牒蝶谍
tɕʰ	［8］捷杰截绝
ȵ	［8］蹑
ɕ	［8］协
∅	［8］叶页
#yɛʔ	
tɕʰ	［8］掘倔
ȵ	［8］月
ɕ	［8］舌穴
#ɔʔ	
p	［8］饽□{拿棍子敲头；光头}
pʰ	［8］薄勃
m	［8］膜莫{别，不要}
l	［8］落
tsʰ	［8］凿着{睡～}戳镯
s	［8］勺朔
x	［8］鹤学
#iɔʔ	
tɕ	［8］嚼
tɕʰ	［8］爵
#iʔ	
pʰ	［8］鼻弼辟
t	［8］粒力嫡
tʰ	［8］笛敌狄
tɕ	［8］辑
tɕʰ	［8］及疾膝极籍藉寂
ɕ	［8］集习袭席夕
#uʔ	
p	［8］□{麻将术语“碰了”}
pʰ	［8］扑仆曝瀑
f	［8］缚斛服伏栿
t	［8］督
tʰ	［8］独读牍犊毒
tsʰ	［8］浊族逐轴蜀
s	［8］熟淑属
#iuʔ	
t	［8］六
tɕʰ	［8］局
ɕ	［8］俗续赎
