武義同音字表							
简体	繁體	吳拼	IPA	备注			
苎	苧	ci5	ʨi53	~布：做蚊帳的布			
脂	脂	ci5	ʨi53	胭~			
指	指	ci5	ʨi53	~示			
几	几	ci5	ʨi53	茶~			
起	起	ci0	ʨi0	補語			
舒	舒	chi1	ʨʰi24	~牀：鋪牀			
欺	欺	chi1	ʨʰi24				
鼠	鼠	chi3	ʨʰi445				
企	企	chi3	ʨʰi445				
耻	恥	chi3	ʨʰi445				
起	起	chi3	ʨʰi445				
觑	覷	chi5	ʨʰi53	近~：近視			
刺	刺	chi5	ʨʰi53	植物的刺			
器	器	chi5	ʨʰi53				
弃	棄	chi5	ʨʰi53				
气	氣	chi5	ʨʰi53				
汽	汽	chi5	ʨʰi53				
池	池	ji2	ʥi423				
奇	奇	ji2	ʥi423				
骑	騎	ji2	ʥi423				
迟	遲	ji2	ʥi423				
祁	祁	ji2	ʥi423				
持	持	ji2	ʥi423				
其	其	ji2	ʥi423				
棋	棋	ji2	ʥi423				
旗	旗	ji2	ʥi423				
期	期	ji2	ʥi423				
祈	祈	ji2	ʥi423				
是	是	ji4	ʥi334				
痔	痔	ji4	ʥi334				
箸	箸	ji6	ʥi31				
技	技	ji6	ʥi31				
治	治	ji6	ʥi31				
忌	忌	ji6	ʥi31				
及	及	ji6	ʥi31	來得~			
雉	雉	ji33	ʥi33	~雞：山雞			
记	記	ji0	ʥi0	阿~：現在			
谊	誼	gni2	ȵi423				
尼	尼	gni2	ȵi423				
疑	疑	gni2	ȵi423				
凝	凝	gni2	ȵi423				
仪	儀	gni4	ȵi334				
议	議	gni4	ȵi334				
艺	藝	gni6	ȵi31				
义	義	gni6	ȵi31				
毅	毅	gni6	ȵi31				
宜	宜	gni6	ȵi31	便~			
施	施	shi1	ɕi24				
羲	羲	shi1	ɕi24				
尸	尸	shi1	ɕi24				
牺	犧	shi1	ɕi24				
诗	詩	shi1	ɕi24				
嬉	嬉	shi1	ɕi24	玩兒			
熙	熙	shi1	ɕi24				
希	希	shi1	ɕi24				
稀	稀	shi1	ɕi24				
尿	尿	shi1	ɕi24				
玺	璽	shi3	ɕi445				
始	始	shi3	ɕi445				
喜	喜	shi3	ɕi445				
髓	髓	shi3	ɕi445				
蟢	蟢	shi3	ɕi445	~網窠：蜘蛛網			
絮	絮	shi5	ɕi53				
戏	戲	shi5	ɕi53				
四	四	shi5	ɕi53				
试	試	shi5	ɕi53	攷~			
薯	薯	shi5	ɕi53	山~：白薯			
徐	徐	zhi2	ʑi423				
匙	匙	zhi2	ʑi423				
时	時	zhi2	ʑi423	~間			
系	系	zhi4	ʑi334				
氏	氏	zhi4	ʑi334				
豉	豉	zhi6	ʑi31				
自	自	zhi6	ʑi31	自己			
示	示	zhi6	ʑi31				
视	視	zhi6	ʑi31				
姨	姨	i1	i24				
萁	萁	i1	i24	蕨~uo53：蕨			
箕	箕	i1	i24				
医	醫	i1	i24				
衣	衣	i1	i24				
依	依	i1	i24				
移	移	i2	i423				
胰	胰	i2	i423				
遗	遺	i2	i423				
煮	煮	i3	i445				
已	已	i4	i334				
以	以	i4	i334				
意	意	i5	i53				
忆	憶	i5	i53				
亿	億	i5	i53				
补	補	pu3	pu445				
谱	譜	pu3	pu445				
布	布	pu5	pu53				
布	佈	pu5	pu53				
蒲	蒲	pu5	pu53	水菖~：菖蒲			
潽	潽	phu1	pʰu24	溢			
普	普	phu3	pʰu445				
浦	浦	phu3	pʰu445				
甫	甫	phu3	pʰu445				
捕	捕	phu3	pʰu445				
铺	鋪	phu5	pʰu53	名詞			
匏	匏	bu2	bu423	瓠子			
部	部	bu4	bu334				
簿	簿	bu4	bu334				
步	步	bu6	bu31				
埠	埠	bu6	bu31	溪~頭：小碼頭			
伏	伏	bu6	bu31	孵			
葡	葡	bu	bu21	~萄			
荸	荸	bu	bu21	~薺			
模	模	mu2	mu423				
膜	膜	mu2	mu423				
墓	墓	mu6	mu31				
慕	慕	mu6	mu31				
暮	暮	mu6	mu31				
募	募	mu6	mu31				
幕	幕	mu6	mu31				
夫	夫	fu1	fu24				
肤	膚	fu1	fu24				
麸	麩	fu1	fu24				
府	府	fu3	fu445				
无	無	fu3	fu445	~輸贏：和棋			
敷	敷	fu5	fu53	動詞			
付	付	fu5	fu53				
咐	咐	fu5	fu53				
傅	傅	fu5	fu53				
附	附	fu5	fu53				
富	富	fu5	fu53				
副	副	fu5	fu53				
俘	俘	fu5	fu53	~虜			
芙	芙	fu5	fu53	~蓉花			
俯	俯	fu5	fu53	~首			
抚	撫	fu5	fu53	~養			
符	符	vu2	vu423				
浮	浮	vu2	vu423				
武	武	vu4	vu334				
舞	舞	vu4	vu334				
侮	侮	vu4	vu334				
鹉	鵡	vu4	vu334				
妇	婦	vu4	vu334				
腐	腐	vu6	vu31				
辅	輔	vu6	vu31				
务	務	vu6	vu31				
雾	霧	vu6	vu31				
婺	婺	vu6	vu31				
斧	斧	vu	vu33	~頭			
土	土	thu3	tʰu445				
吐	吐	thu3	tʰu445	~口痰：吐痰			
吐	吐	thu5	tʰu53	嘔吐			
徒	徒	du2	du423				
途	途	du2	du423				
涂	涂	du2	du423				
图	圖	du2	du423				
杜	杜	du4	du334				
肚	肚	du4	du334	~臍			
度	度	du6	du31				
渡	渡	du6	du31				
镀	鍍	du6	du31				
努	努	nu5	nu53	~力			
啰	啰	lu1	lu24	~唆			
都	都	lu1	lu24	首~			
卢	盧	lu2	lu423				
炉	爐	lu2	lu423				
芦	蘆	lu2	lu423	~：高粱			
庐	廬	lu2	lu423				
都	都	lu3	lu445	副詞			
赌	賭	lu3	lu445				
肚	肚	lu3	lu445	豬~			
鲁	魯	lu4	lu334				
堵	堵	lu5	lu53				
拄	拄	lu5	lu53				
卤	鹵	lu5	lu53	~貨			
路	路	lu6	lu31				
露	露	lu6	lu31				
鹭	鷺	lu6	lu31				
租	租	tsu1	tsu24				
祖	祖	tsu3	tsu445				
组	組	tsu3	tsu445				
租	租	tsu3	tsu445				
粗	粗	tshu1	tsʰu24				
初	初	tshu1	tsʰu24				
楚	楚	tshu3	tsʰu445				
础	礎	tshu3	tsʰu445				
醋	醋	tshu5	tsʰu53				
梭	梭	su1	su24				
苏	蘇	su1	su24				
酥	酥	su1	su24				
蔬	蔬	su1	su24				
须	鬚	su1	su24	鬍~			
鸶	鷥	su1	su24	鷺~			
素	素	su5	su53				
诉	訴	su5	su53				
塑	塑	su5	su53				
数	數	su5	su53	名詞			
唆	唆	su5	su53	啰~			
稣	穌	su5	su53	耶~			
助	助	zu6	zu31				
姑	姑	ku1	ku24				
孤	孤	ku1	ku24				
菇	菇	ku1	ku24				
古	古	ku3	ku445				
估	估	ku3	ku445				
牯	牯	ku3	ku445				
股	股	ku3	ku445				
鼓	鼓	ku3	ku445				
故	故	ku5	ku53				
固	固	ku5	ku53				
锢	錮	ku5	ku53				
雇	僱	ku5	ku53				
顾	顧	ku5	ku53				
箍	箍	khu1	kʰu24				
枯	枯	khu1	kʰu24				
苦	苦	khu3	kʰu445				
库	庫	khu5	kʰu53				
裤	褲	khu5	kʰu53				
误	誤	ngu6	ŋu31				
悟	悟	ngu6	ŋu31				
互	互	ngu6	ŋu31				
呼	呼	hu1	xu24				
乎	乎	hu1	xu24				
虎	虎	hu3	xu445				
浒	滸	hu3	xu445				
薅	薅	hu3	xu445	~田：耘田			
戽	戽	hu5	xu53				
乌	烏	u1	u24	黑			
污	污	u1	u24				
吴	吳	u2	u423				
胡	胡	u2	u423				
湖	湖	u2	u423				
糊	糊	u2	u423	動詞			
坞	塢	u3	u445	山~：山谷			
蝴	蝴	u3	u445	~蝶			
户	戶	u4	u334				
沪	滬	u4	u334				
恶	惡	u5	u53	可~			
糊	糊	u6	u31	名詞			
护	護	u6	u31				
壶	壺	u6	u31	茶~			
梧	梧	u	u21	~桐			
胡	鬍	u	u21	~鬚			
狐	狐	u	u21	~狸			
葫	葫	u	u21	~蘆			
旅	旅	liu4	ly334				
铝	鋁	liu4	ly334				
屡	屢	liu4	ly334				
虑	慮	liu6	ly31				
类	類	liu6	ly31				
诸	諸	ciu1	ʨy24				
车	車	ciu1	ʨy24	~馬炮			
诛	誅	ciu1	ʨy24				
朱	朱	ciu1	ʨy24				
朱	硃	ciu1	ʨy24				
珠	珠	ciu1	ʨy24				
拘	拘	ciu1	ʨy24				
追	追	ciu1	ʨy24				
龟	龜	ciu1	ʨy24				
举	舉	ciu3	ʨy445				
主	主	ciu3	ʨy445				
矩	矩	ciu3	ʨy445				
嘴	嘴	ciu3	ʨy445	香煙~			
着	著	ciu5	ʨy53				
据	據	ciu5	ʨy53				
注	注	ciu5	ʨy53				
注	註	ciu5	ʨy53				
蛀	蛀	ciu5	ʨy53				
铸	鑄	ciu5	ʨy53				
句	句	ciu5	ʨy53				
贵	貴	ciu5	ʨy53				
拒	拒	ciu5	ʨy53	~絕			
区	區	chiu1	ʨʰy24				
驱	驅	chiu1	ʨʰy24				
吹	吹	chiu1	ʨʰy24				
炊	炊	chiu1	ʨʰy24				
取	取	chiu3	ʨʰy445				
处	處	chiu5	ʨʰy53	相~			
处	處	chiu5	ʨʰy53	到~			
戍	戍	chiu5	ʨʰy53	~當：家裡			
翠	翠	chiu5	ʨʰy53				
除	除	jiu2	ʥy423				
储	儲	jiu2	ʥy423				
渠	渠	jiu2	ʥy423	~道			
巨	巨	jiu2	ʥy423	要~：地名			
厨	廚	jiu2	ʥy423				
橱	櫥	jiu2	ʥy423				
衢	衢	jiu2	ʥy423				
槌	槌	jiu2	ʥy423				
锤	錘	jiu2	ʥy423				
捶	捶	jiu2	ʥy423	~背			
葵	葵	jiu2	ʥy423				
绪	緒	jiu4	ʥy334	光~			
苎	苧	jiu4	ʥy334				
巨	巨	jiu4	ʥy334				
距	距	jiu4	ʥy334				
柱	柱	jiu4	ʥy334				
跪	跪	jiu4	ʥy334				
居	居	jiu6	ʥy31				
驻	駐	jiu6	ʥy31				
住	住	jiu6	ʥy31				
具	具	jiu6	ʥy31				
惧	懼	jiu6	ʥy31				
柜	櫃	jiu6	ʥy31				
鱼	魚	gniu2	ȵy423				
渔	漁	gniu2	ȵy423				
愚	愚	gniu2	ȵy423				
虞	虞	gniu2	ȵy423				
娱	娛	gniu2	ȵy423				
女	女	gniu4	ȵy334				
语	語	gniu4	ȵy334				
蕊	蕊	gniu4	ȵy334	花~：花蕾			
御	御	gniu6	ȵy31				
书	書	shiu1	ɕy24				
舒	舒	shiu1	ɕy24				
虚	虛	shiu1	ɕy24				
叙	敘	shiu1	ɕy24				
需	需	shiu1	ɕy24				
须	須	shiu1	ɕy24				
输	輸	shiu1	ɕy24	敗；運~			
暑	暑	shiu3	ɕy445				
许	許	shiu3	ɕy445				
数	數	shiu3	ɕy445	動詞			
水	水	shiu3	ɕy445				
庶	庶	shiu5	ɕy53				
恕	恕	shiu5	ɕy53				
署	署	shiu5	ɕy53				
戍	戍	shiu5	ɕy53				
荽	荽	shiu5	ɕy53	芫~：香菜			
如	如	zhiu2	ʑy423				
殊	殊	zhiu2	ʑy423				
儒	儒	zhiu2	ʑy423				
随	隨	zhiu2	ʑy423				
隋	隋	zhiu2	ʑy423				
序	序	zhiu4	ʑy334				
绪	緒	zhiu4	ʑy334				
汝	汝	zhiu4	ʑy334				
竖	豎	zhiu4	ʑy334				
乳	乳	zhiu4	ʑy334				
瑞	瑞	zhiu4	ʑy334				
树	樹	zhiu6	ʑy31				
隧	隧	zhiu6	ʑy31				
遂	遂	zhiu	ʑy	~昌：地名			
余	余	iu2	y423				
余	餘	iu2	y423				
愉	愉	iu2	y423				
俞	俞	iu2	y423				
愈	愈	iu2	y423				
椅	椅	iu3	y445				
守	守	iu3	y445	看守			
于	於	iu4	y334				
于	于	iu4	y334				
雨	雨	iu4	y334				
宇	宇	iu4	y334				
羽	羽	iu4	y334				
誉	譽	iu6	y31				
预	預	iu6	y31				
豫	豫	iu6	y31				
芋	芋	iu6	y31				
喻	喻	iu6	y31				
裕	裕	iu6	y31				
位	位	iu6	y31	~牌：牌位			
盂	盂	iu6	y31	痰~			
围	圍	iu	y21	~牆			
杯	杯	paa1	pa24				
悲	悲	paa1	pa24				
贝	貝	paa5	pa53				
辈	輩	paa5	pa53				
背	背	paa5	pa53	~脊			
背	背	paa5	pa53	用背馱			
胚	胚	phaa1	pʰa24				
坯	坯	phaa1	pʰa24				
配	配	phaa7	pʰa5				
培	培	baa2	ba423				
陪	陪	baa2	ba423				
赔	賠	baa2	ba423				
彭	彭	baa2	ba423				
搒	搒	baa2	ba423	拂			
棚	棚	baa2	ba423	冬瓜~			
白	白	baa4	ba334				
背	背	baa6	ba31	背誦			
焙	焙	baa6	ba31				
罢	罷	baa0	ba0	助詞，了			
梅	梅	maa2	ma423				
枚	枚	maa2	ma423				
媒	媒	maa2	ma423				
煤	煤	maa2	ma423				
莓	莓	maa2	ma423				
盲	盲	maa2	ma423				
猛	猛	maa4	ma334				
蜢	蜢	maa4	ma334				
孟	孟	maa4	ma334				
麦	麥	maa4	ma334				
脉	脈	maa4	ma334				
柄	柄	maa5	ma53				
摒	摒	maa5	ma53	拔，抽			
妹	妹	maa6	ma31				
妈	媽	maa0	ma0	姆~：母親			
胎	胎	thaa1	tʰa24				
台	台	thaa1	tʰa24	~州			
苔	苔	thaa1	tʰa24				
梯	梯	thaa1	tʰa24				
推	推	thaa1	tʰa24				
煺	煺	thaa1	tʰa24	~毛：用滾水燙後去掉雞毛			
腿	腿	thaa3	tʰa445				
态	態	thaa5	tʰa53				
退	退	thaa5	tʰa53				
台	臺	daa2	da423				
待	待	daa4	da334				
贷	貸	daa6	da31				
代	代	daa6	da31				
袋	袋	daa6	da31				
队	隊	daa6	da31				
兑	兌	daa6	da31				
鲐	鮐	daa6	da31	鮎~：鮎魚			
打	打	naa3	na445				
耐	耐	naa4	na334				
冷	冷	naa4	na334				
内	內	naa6	na31				
呢	呢	naa0	na0	助詞，了			
来	來	laa1	la24	用作補語			
堆	堆	laa1	la24				
来	來	laa2	la423				
儡	儡	laa4	la334				
戴	戴	laa5	la53	姓			
对	對	laa5	la53				
碓	碓	laa5	la53				
𨀤	𨀤	laa6	la31	滾動			
待西儿	待西儿	laa	la33	da33~:什麼。作定語。			
雷	雷	laa	la21	~公			
灾	災	tsaa1	tsa24				
栽	栽	tsaa1	tsa24				
争	爭	tsaa1	tsa24				
再	再	tsaa5	tsa53				
载	載	tsaa5	tsa53	滿~			
猜	猜	tshaa1	tsʰa24				
催	催	tshaa1	tsʰa24				
崔	崔	tshaa1	tsʰa24				
撑	撐	tshaa1	tsʰa24				
彩	彩	tshaa3	tsʰa445				
采	采	tshaa3	tsʰa445				
睬	睬	tshaa3	tsʰa445				
踩	踩	tshaa3	tsʰa445				
菜	菜	tshaa5	tsʰa53				
牚	牚	tshaa5	tsʰa53				
泽	澤	dzaa4	dza334				
择	擇	dzaa4	dza334	挑選			
宅	宅	dzaa4	dza334	王~：地名			
腮	腮	saa1	sa24				
鳃	鰓	saa1	sa24				
生	生	saa1	sa24				
牲	牲	saa1	sa24				
笙	笙	saa1	sa24				
甥	甥	saa1	sa24				
碎	碎	saa4	sa334				
省	省	saa4	sa334	浙江~			
省	省	saa4	sa334	節~			
赛	賽	saa5	sa53				
栖	栖	saa5	sa53	雞~：雞屋			
碎	碎	saa5	sa53	散~：零錢			
帅	帥	saa5	sa53				
生	生	saa5	sa53	~好：怎麼辦			
昨	昨	saa5	sa53	~日			
才	才	zaa2	za423				
材	材	zaa2	za423				
财	財	zaa2	za423				
裁	裁	zaa2	za423				
在	在	zaa4	za334				
罪	罪	zaa4	za334				
该	該	kaa1	ka24				
更	更	kaa1	ka24	五~ （早饭）			
庚	庚	kaa1	ka24				
羹	羹	kaa1	ka24				
耕	耕	kaa1	ka24				
改	改	kaa3	ka445				
几	幾	kaa3	ka445	~個			
虮	蟣	kaa3	ka445	虱~			
概	概	kaa5	ka53				
溉	溉	kaa5	ka53				
盖	蓋	kaa5	ka53				
哽	哽	kaa5	ka53				
更	更	kaa5	ka53	副詞			
开	開	khaa1	kʰa24				
盔	盔	khaa1	kʰa24				
铅	鉛	khaa1	kʰa24				
坑	坑	khaa1	kʰa24				
徛	徛	gaa4	ɡa334	住			
隑	隑	gaa6	ɡa31	倚靠			
额	額	ngaa2	ŋa423				
碍	礙	ngaa6	ŋa31				
硬	硬	ngaa6	ŋa31				
行	行	ngaa6	ŋa31	品～			
呆	呆	ngaa	ŋa33	~du31：傻瓜			
杏	杏	ngaa	ŋa33	~梅：杏子			
行	行	ngaa	ŋa21	~頭			
桁	桁	ngaa	ŋa21	~條：檁			
亨	亨	haa1	xa24				
海	海	haa3	xa445				
哀	哀	aa1	a24				
亥	亥	aa4	a334				
爱	愛	aa5	a53				
害	害	aa6	a31				
我	我	aa	a33	~農：我			
摆	擺	piaa3	pia445				
簸	簸	piaa5	pia53	動詞			
拜	拜	piaa5	pia53				
破	破	phiaa5	pʰia53				
派	派	phiaa5	pʰia53				
排	排	biaa2	bia423				
牌	牌	biaa2	bia423				
簰	簰	biaa2	bia423				
败	敗	biaa6	bia31				
买	買	miaa4	mia334				
卖	賣	miaa6	mia31				
拖	拖	thiaa1	tʰia24				
替	替	thiaa5	tʰia53				
太	太	thiaa5	tʰia53				
泰	泰	thiaa5	tʰia53				
䈆	䈆	diaa4	dia334	篩穀~：一種圓形竹器			
迭	疊	diaa4	dia334				
蝶	蝶	diaa4	dia334				
碟	碟	diaa4	dia334				
谍	諜	diaa4	dia334				
牒	牒	diaa4	dia334				
大	大	diaa6	dia31	~學			
汏	汏	diaa6	dia31	漂洗			
捏	捏	niaa1	nia24				
奶	奶	niaa4	nia334	乳房			
蚁	蟻	niaa4	nia334				
伢	伢	niaa5	nia53	細~uaŋ334：嬰兒			
奈	奈	niaa6	nia31				
爹	爹	liaa1	lia24				
凉	涼	liaa1	lia24	~帽：草帽			
𥲁	𥲁	liaa4	lia334	索粉乾：曬粉乾用的竹簾			
戴	戴	liaa5	lia53	動詞			
带	帶	liaa5	lia53	名詞；動詞			
滴	滴	liaa5	lia53				
鳢	鱧	liaa5	lia53	~狗：烏鱧			
赖	賴	liaa6	lia31				
癞	癩	liaa6	lia31				
箩	籮	liaa6	lia31	槽~：籮			
遮	遮	ciaa1	ʨia24				
斋	齋	ciaa1	ʨia24				
阶	階	ciaa1	ʨia24				
街	街	ciaa1	ʨia24				
解	解	ciaa3	ʨia445	動詞			
庎	庎	ciaa3	ʨia445	碗~櫥：碗櫥			
债	債	ciaa3	ʨia445	取~鬼：夭折的小孩			
借	借	ciaa5	ʨia53				
䶓	䶓	ciaa5	ʨia53	麻絲			
楂	楂	ciaa5	ʨia53	毛~：山楂			
者	者	ciaa0	ʨia0	記~			
车	車	chiaa1	ʨʰia24	貨~			
揩	揩	chiaa1	ʨʰia24				
钗	釵	chiaa1	ʨʰia24				
楷	楷	chiaa3	ʨʰia445				
且	且	chiaa5	ʨʰia53				
笡	笡	chiaa5	ʨʰia53	斜			
蔡	蔡	chiaa5	ʨʰia53				
懈	懈	jiaa4	ʥia334	慢			
峡	峽	jiaa4	ʥia334				
艾	艾	gniaa6	ȵia31	草名			
外	外	gniaa6	ȵia31				
饵	餌	gniaa6	ȵia31	誘餌			
沙	沙	shiaa1	ɕia24				
纱	紗	shiaa1	ɕia24				
赊	賒	shiaa1	ɕia24				
写	寫	shiaa3	ɕia445				
舍	捨	shiaa3	ɕia445	弗~kɤ53：捨不得			
蟹	蟹	shiaa3	ɕia445				
畬	畬	shiaa3	ɕia445	~客農：畬族人			
泻	瀉	shiaa5	ɕia53				
赦	赦	shiaa5	ɕia53				
舍	舍	shiaa5	ɕia53				
细	細	shiaa5	ɕia53	小			
邪	邪	zhiaa2	ʑia423				
斜	斜	zhiaa2	ʑia423				
蛇	蛇	zhiaa2	ʑia423				
豺	豺	zhiaa2	ʑia423				
柴	柴	zhiaa2	ʑia423				
社	社	zhiaa4	ʑia334				
截	截	zhiaa4	ʑia334	剪			
谢	謝	zhiaa6	ʑia31				
射	射	zhiaa6	ʑia31				
麝	麝	zhiaa6	ʑia31				
也	也	iaa1	ia24				
挨	挨	iaa1	ia24	~罵			
爷	爺	iaa2	ia423	父親			
鞋	鞋	iaa2	ia423	皮~			
矮	矮	iaa3	ia445				
也	也	iaa4	ia334				
野	野	iaa4	ia334				
协	協	iaa4	ia334				
夜	夜	iaa6	ia31				
耶	耶	iaa	ia21	~穌			
惊	驚	kuaa1	kua24	怕			
梗	梗	kuaa3	kua445				
魁	魁	khuaa1	kʰua24				
奎	奎	khuaa1	kʰua24				
傀	傀	khuaa3	kʰua445				
块	塊	khuaa5	kʰua53				
快	快	khuaa5	kʰua53	爽~			
横	橫	nguaa2	ŋua423				
衡	衡	nguaa2	ŋua423				
怀	懷	uaa2	ua423	~念			
淮	淮	uaa2	ua423				
会	會	uaa6	ua31	乖			
外	外	uaa6	ua31				
巴	巴	pua1	puɑ24				
芭	芭	pua1	puɑ24				
疤	疤	pua1	puɑ24				
靶	靶	pua5	puɑ53				
霸	霸	pua5	puɑ53				
坝	壩	pua5	puɑ53				
把	把	pua5	puɑ53	量詞			
巴	巴	bua2	buɑ423	下~			
爬	爬	bua2	buɑ423				
筢	筢	bua2	buɑ423				
罢	罷	bua4	buɑ334	午~：下午			
拔	拔	bua4	buɑ334				
耙	耙	bua6	buɑ31	田~			
䶕	䶕	bua6	buɑ31	牙齒外露			
稗	稗	bua6	buɑ31				
琶	琶	bua6	buɑ31	琵~			
杷	杷	bua6	buɑ31	枇~			
巴	巴	mua1	muɑ24	尾~			
麻	麻	mua2	muɑ423				
痳	痳	mua2	muɑ423				
蟆	蟆	mua3	muɑ445	蛤~蒼蠅：牛虻			
毛	毛	mua3	muɑ445	~竹			
马	馬	mua4	muɑ334				
袜	襪	mua4	muɑ334				
码	碼	mua5	muɑ53	~頭			
骂	罵	mua6	muɑ31				
蚂	螞	mua	muɑ33	~蟥			
罚	罰	vua4	vuɑ334				
达	達	dua4	duɑ334				
踏	踏	dua6	duɑ31				
女	女	nua5	nuɑ53	~婿：女婿			
鲇	鮎	nua	nuɑ21	~鮐：鮎魚			
槐	槐	lua2	luɑ423				
曰	曰	lua2	luɑ423				
腊	臘	lua4	luɑ334				
蜡	蠟	lua4	luɑ334				
镴	镴	lua4	luɑ334				
辣	辣	lua4	luɑ334				
渣	渣	tsua1	tsuɑ24				
怪	怪	tsua5	tsuɑ53				
挂	掛	tsua5	tsuɑ53	雞食~：雞嗉子			
