#来源	Pekkhak（啵啵）整理自顏森《高安（老屋周家）方言的语音系统》																																								
#说明	這份資料記錄的並非高安市區方言，其面貌與高安市區方言存在一定的差異																																								
#符号说明：-白=文*俗?待考																																									
#调值	［1］⁵⁵［2］²⁴［3］⁴²［5］³³［6］¹¹［7］³［8］¹［0］⁰																																								
#a																																									
#iɔ																																									
s	［2］□{质量差}																																								
tɕʰ	［1］□{～子：儿童游戏，用珠子在地下滚比输赢}［2］茄瘸																																								
ɕ	［1］靴□{～辣：很辣}［2］□{哄：拿吃箇东西～细人子}																																								
∅	［0］哟{语气词}																																								
#ɛ																																									
l	［0］嘞{语气词}																																								
ts	［1］□{搔：～痒}																																								
#uɛ																																									
k	［1］□{～叫：大声喊叫}																																								
kʰ	［5］□{拨，刮：～泼炉灰；拿筷子～泼饮（米汤）上箇皮皮子}																																								
#iɛ																																									
p	［3］□{撇（嘴）；～脚子：八字脚}																																								
m	［1］糜?{～黑：很黑；～烂：（食物）很烂}																																								
t	［1］爹																																								
l	［2］□{～长：很长}［6］滤□{作～：撒娇}																																								
ts	［3］姐挤																																								
tsʰ	［1］□{扎，刺：鱼刺～喉咙}［2］□{打吓～：打喷嚏}																																								
s	［1］些撕																																								
tɕ	［2］渠{他}□{歪：桌子摆～}［3］□{～天：聊天；～口子：爱夸夸其谈的人}																																								
tɕʰ	［3］扯																																								
ɕ	［2］舐［5］去																																								
k	［3］弆{藏（东西）}［5］锯繫{～鞋带}																																								
kʰ	［1］□{扑克牌中的K}［2］□{提：～起脚就跑；～尿：把尿}																																								
ŋ	［6］□{蹭：～痒在墙上～来～去}																																								
#m̩																																									
∅	［6］姆{～妈：伯母，现在也指母亲}																																								
#n̩																																									
∅	［1］尔［6］尔																																								
#ŋ̍																																									
∅	［2］吴蜈毋{不}□{～䰲公哩：鱼名}［3］五伍{～桥：高安地名}																																								
#u																																									
p	［3］补谱［5］布佈怖																																								
pʰ	［1］铺{～床}［2］蒲菩［3］普甫［5］铺{店～}［6］部簿步埠辅																																								
m	［2］模吾梧［3］母拇［6］慕墓募																																								
f	［1］呼夫肤敷俘［2］胡鬍=蝴湖=狐壶乎瓠{～芦}符扶芙［3］虎府腑斧抚{～州：江西地名}［5］戽讨赋傅赴讣富副［6］户沪互附父腐妇负［0］浒{水～：书名}																																								
