漢字	拼音	IPA	注釋		語系	語片	方言	地理	政區	分佈	位點	人口	相關	作者	名牌									
癩	lɐʔ		lɐʔ瘌痢頭																					
蔡	tsʰai																							
蓋	kɪŋ		kɪŋ蓋（動詞）																					
蓋	kɐi		鍋蓋kɐi																					
蓋	kuai		kuai蓋住																					
丐	kɐi																							
丐	kɐi																							
艾	ŋai																							
害	ɦɐi																							
藹	ɐi																							
靄	ɐi																							
拜	pai																							
排	bai																							
埋	mai																							
埋	maa																							
齋	tsai																							
豺	zai																							
皆	kai																							
偕	kai																							
秸	kai																							
街	kai																							
階	kai																							
戒	kai		豬八戒kai																					
戒	ka		ka戒指																					
戒	ɡa		ɡa戒指																					
芥	kai																							
尬	kai																							
界	kai																							
介	kai																							
疥	kai																							
屆	kai																							
屆	kɐi																							
揩	kʰai																							
楷	kʰai																							
諧	ɦɐi																							
駭	ɦɐi																							
械	kai		機械kai																					
械	ɦai		ɦai械鬥																					
挨	ŋai		ŋai挨駡																					
挨	ŋɐi		ŋɐi挨邊																					
擺	pai																							
派	pʰai																							
牌	bai																							
罷	ba																							
稗	ba																							
買	ma																							
買	mai																							
賣	ma																							
賣	mai																							
奶	nɐi																							
奶	nəɯ																							
債	tsa																							
釵	tsʰai																							
差	tsʰa		tsʰa差錯																					
差	tsʰai		出差tsʰai																					
柴	dzai																							
柴	zai																							
篩	seʔ																							
灑	sa		瀟灑sa																					
灑	sai		sai灑水																					
曬	sa		sa曬衫																					
曬	sai		西曬sai																					
佳	ka																							
街	kai																							
解	ka		ka解釋																					
解	kai		kai解放																					
解	ɦai		助動詞																					
涯	ŋa																							
崖	ŋa																							
鞋	ɦai																							
蟹	xai																							
解	ka		ka解釋																					
解	kai		kai解放																					
解	ɦai		助動詞																					
懈	kai																							
懈	xai																							
矮	ai																							
隘	ai																							
敗	bai																							
邁	mai																							
寨	zai																							
蔽	bi																							
斃	bi																							
敝	bi																							
幣	bi																							
痺	bi																							
厲	li																							
勵	li																							
例	li																							
例	liʔ																							
祭	tɕi																							
祭	tɕie																							
際	tɕi																							
穄	tɕi																							
穄	tɕie																							
滯	dʑi																							
滯	zə																							
制	tɕi																							
制	tsə																							
勢	ɕi																							
勢	sə																							
世	ɕi																							
世	sə																							
誓	ɕi																							
誓	sə																							
逝	ɕi																							
逝	sə																							
藝	ȵi																							
藝	i																							
囈	ȵi																							
刈	ȵi																							
閉	pi																							
箅	pi																							
批	pʰi																							
陛	pi																							
迷	mi																							
米	mi																							
謎	mi																							
堤	di																							
低	ti																							
底	tie		碗底tie																					
底	ti		下底ti																					
底	teʔ		teʔ底儂																					
抵	ti																							
渧	ti																							
渧	tie																							
帝	ti																							
梯	tʰi																							
體	tʰi																							
替	tʰi																							
涕	tʰi																							
剃	tʰi																							
提	di																							
題	di																							
蹄	di																							
蹄	di																							
啼	di		di啼笑																					
啼	die		die啼哭																					
弟	di		徒弟di																					
弟	die		die弟郎																					
第	di		門第di																					
第	die		die第幾																					
遞	di		傳遞di																					
遞	die		die遞鋪																					
泥	ȵi		拘泥ȵi																					
泥	ȵie		ȵie泥土																					
犁	li																							
犁	lie																							
犁	lɐi																							
黎	li																							
禮	li																							
麗	li																							
麗	liʔ																							
隸	dai																							
隸	dɐi																							
隸	li																							
擠	tɕi																							
濟	tɕi																							
妻	tɕʰi																							
淒	tɕʰi																							
砌	tɕʰi																							
砌	tsʰeʔ																							
齊	dʑi																							
齊	zəɯ																							
臍	dʑi																							
臍	zə																							
薺	ʑi		荸薺ʑi粿																					
薺	dʑi		dʑi薺菜（馬蹄菜）																					
薺	dʑie		薺																					
西	ɕi																							
西	sɐi																							
西	səɯ																							
棲	ɕi																							
棲	tɕʰi																							
犀	ɕi																							
洗	ɕi		ɕi洗衫																					
洗	ɕiẽ		ɕiẽ洗（姓氏）																					
細	ɕi		大細ɕi（大家）																					
細	ɕie		ɕie細姨（小姨）																					
細	sɐi		sɐi細麥（小麥）																					
細	səɯ		səɯ細薄																					
細	sa		sa细姑姑（小姑姑）																					
婿	sɐi		國婿sɐi																					
婿	ɕi		女婿ɕi																					
雞	ki																							
稽	ki																							
計	ki																							
繼	ki																							
繋	ki																							
溪	kʰi		沙溪kʰi																					
溪	kʰie		kʰie溪邊																					
啟	kʰi																							
契	kʰi		地契kʰi																					
契	kʰiɐʔ		kʰiɐʔ契（姓氏）																					
倪	ȵi		姓氏																					
詣	ȵi																							
兮	ɦi																							
兮	xi																							
兮	ʑi																							
奚	ȵi																							
奚	ʑi																							
傒	ɦi																							
傒	ʑi																							
係	xi		關系xi																					
繫	ɡi		ɡi系鞋帶																					
系	ɦi		譜系ɦi																					
系	ɕi		ɕi系統																					
縊	i																							
縊	iʔ																							
瞖	i																							
杯	pɐi																							
背	pɐi		pɐi背脊																					
背	bɐi		bɐi背書																					
輩	pɐi																							
坯	pʰɐi																							
胚	pʰɐi																							
配	pʰɐi																							
培	bɐi																							
陪	bɐi																							
賠	bɐi																							
倍	bɐi																							
佩	pʰɐi																							
媒	mɐi																							
枚	mɐi																							
玫	mɐi																							
娒	mɐi																							
娒	muɐi																							
娒	ma																							
娒	muə																							
梅	mɐi																							
每	mɐi																							
昧	mɐi																							
妹	mɐi																							
妹	muɐi																							
堆	tuɐi																							
對	tuɐi																							
推	tʰuɐi																							
腿	tʰuɐi																							
退	tʰuɐi																							
頹	tʰɐʔ																							
頹	dɐʔ																							
隊	duɐi																							
餒	nuɐi																							
脮	nuɐi																							
娞	nuɐi																							
內	nuɐi																							
雷	luɐi																							
累	luɐi																							
累	lue																							
累	lɐi																							
儡	luɐi																							
儡	la																							
催	tsʰuɐi																							
崔	tsʰuɐi																							
罪	zuɐi																							
罪	dzuɐi																							
碎	suɐi																							
碎	se																							
瑰	kuɐi																							
瑰	kue																							
盔	kuɐi																							
盔	kue																							
魁	kuɐi																							
魁	kue																							
詼	kuɐi																							
恢	kuɐi																							
傀	kʰa																							
傀	kʰua																							
傀	kʰuə																							
塊	kʰuai																							
桅	ŋuɐi																							
桅	kue																							
桅	ue																							
灰	xuɐi																							
悔	xuɐi																							
賄	xuɐi																							
晦	xuɐi																							
回	uɐi																							
匯	ɦue																							
匯	uɐi																							
潰	ɡue																							
煨	uɐi																							
畏	ue																							
兌	duɐi																							
兌	due																							
最	tsuɐi																							
最	tsue																							
劊	kuɐi																							
劊	kuai																							
會	kʰuɐʔ																							
會	uɐi																							
外	ŋai																							
外	ŋuai																							
外	uai																							
繪	kuɐi																							
繪	ɡue																							
乖	kuai																							
怪	kuai																							
蒯	kuai																							
淮	xuai																							
淮	uai																							
懷	uai																							
槐	uai																							
壞	uai																							
拐	kuai																							
掛	kua																							
卦	kua																							
歪	uai																							
畫	ua																							
蛙	ua																							
快	kʰuai																							
筷	kʰuai																							
話	ua																							
脆	tsʰue																							
歲	suɐi																							
歲	ɕy																							
彗	ue																							
綴	tsue																							
贅	tsue																							
稅	suɐi																							
稅	ɕy																							
說	ɕyɐʔ																							
說	ɕioʔ																							
鱖	kue																							
衛	ue																							
鋭	sue																							
鋭	lue																							
廢	fi		殘廢fi																					
廢	fəɯ		fəɯ廢物																					
肺	fi																							
吠	vu																							
吠	fi																							
穢	ɦuə																							
穢	ue																							
圭	kue																							
閨	kue																							
桂	kue																							
桂	ky																							
奎	kʰuɐi																							
攜	ɦue																							
攜	ʑie																							
慧	ɦue																							
慧	uɐi																							
惠	ue																							
卑	pi																							
卑	pue																							
碑	pi		pi碑記																					
碑	pue		紀念碑pue																					
裨	pi																							
彼	pi																							
俾	pi																							
臂	pi																							
臂	piʔ																							
披	pʰi																							
譬	pʰi																							
皮	bi																							
疲	bi																							
脾	bi																							
被	bi																							
婢	bi																							
避	bi																							
糜	mi																							
彌	mi																							
靡	mi																							
籬	li																							
籬	lie																							
離	li		li離休																					
離	lie		lie離婚																					
璃	li																							
荔	li																							
