IPA	調類	調值	調型	字				
pʰiau	3	31	˧˩	漂(～白)				
pʰiau	5	55	˥	票漂(～亮)				
miau	1	33	˧	命（白）				
miau	2	13	˩˧	苗描				
miau	3	31	˧˩	藐渺秒				
miau	5	55	˥	庙妙				
tiau	1	33	˧	刁貂雕				
tiau	5	55	˥	掉调(音～)钉（白）				
tʰiau	1	33	˧	挑听（白）				
tʰiau	2	13	˩˧	调(～和)				
liau	2	13	˩˧	燎疗聊辽撩廖瞭良凉				
liau	3	31	˧˩	鸟了(～结)两辆				
ʨiau	1	33	˧	交郊胶焦蕉椒骄娇浇将(～来)				
ʨiau	2	13	˩˧	瞧乔侨桥荞				
ʨiau	3	31	˧˩	绞狡铰搅剿矫缴侥饺				
ʨiau	5	55	˥	教（文）较觉（文:睡～）轿叫				
ʨʰiau	1	33	˧	敲（文）锹缲悄				
ʨʰiau	3	31	˧˩	巧				
ʨʰiau	5	55	˥	俏窍				
ɕiau	1	33	˧	消宵霄硝销鞘嚣萧箫				
ɕiau	3	31	˧˩	饷小晓				
ɕiau	5	55	˥	校酵孝效				
iau	1	33	˧	妖邀腰要(～求)幺吆				
iau	2	13	˩˧	摇谣窑肴姚				
iau	3	31	˧˩	咬舀				
iau	5	55	˥	要(重～)耀				
pan	1	33	˧	班斑颁扳扳般帮				
pan	3	31	˧˩	板版绊榜				
pan	5	55	˥	扮瓣办谤傍				
pʰan	1	33	˧	攀潘				
pʰan	5	55	˥	盼判叛				
man	2	13	˩˧	蛮馒忙茫				
man	3	31	˧˩	满莽蟒				
man	5	55	˥	慢漫幔				
fan	1	33	˧	欢藩翻番				
fan	2	13	˩˧	凡帆桓还(～原)环烦矾繁				
fan	3	31	˧˩	缓反				
fan	5	55	˥	泛范犯唤焕换幻患宦贩饭				
tan	1	33	˧	耽担(～任)丹单当(～时)				
tan	2	13	˩˧	潭谭谈痰檀坛弹(～琴)堂棠螳唐糖塘				
tan	3	31	˧˩	胆掸弹(子～)蛋党				
tan	5	55	˥	担(挑～)淡旦诞但当(～作)荡宕				
tʰan	1	33	˧	贪坍滩摊汤探				
tʰan	3	31	˧˩	毯坦挡倘躺				
tʰan	5	55	˥	炭叹趟烫				
lan	2	13	˩˧	南男蓝篮难(～易)兰拦栏				
lan	3	31	˧˩	览揽榄缆懒暖卵				
lan	5	55	˥	滥难(苦～)烂				
ʦan	1	33	˧	簪蘸沾粘瞻簪				
ʦan	2	13	˩˧	蚕惭残缠蝉禅(～宗)				
ʦan	3	31	˧˩	盏展				
ʦan	5	55	˥	暂站赚占赞灒绽栈战				
ʦʰan	1	33	˧	参搀餐				
ʦʰan	2	13	˩˧	蟾				
ʦʰan	3	31	˧˩	惨铲产				
ʦʰan	5	55	˥	灿颤				
san	1	33	˧	三衫珊山删桑丧				
san	3	31	˧˩	陕闪伞散嗓				
san	5	55	˥	善膳禅				
kan	1	33	˧	甘柑尴干(～净)肝冈岗刚纲钢缸				
kan	3	31	˧˩	感敢橄竿杆擀赶				
kan	5	55	˥	干(～部)				
kʰan	1	33	˧	堪龛勘刊				
kʰan	3	31	˧˩	坎砍				
kʰan	5	55	˥	看				
ŋan	1	33	˧	庵安鞍				
ŋan	5	55	˥	揞暗岸按案				
xan	1	33	˧	憨酣鼾旱				
xan	2	13	˩˧	含函咸寒韩				
xan	3	31	˧˩	喊罕				
xan	5	55	˥	撼憾汉				
xan	7	24	˨˦	汗焊翰苋(～菜)				
ʨian	3	31	˧˩	减				
kuan	1	33	˧	鳏关				
kuan	5	55	˥	惯				
uan	1	33	˧	豌关弯湾万				
uan	2	13	˩˧	玩完丸(肉～)顽				
uan	3	31	˧˩	皖腕晚挽				
ʨyan	7	24	˨˦	纂窜篡				
pən	1	33	˧	奔(～跑)崩				
pən	2	13	˩˧	朋彭棚篷蓬□(身体前倾伏在物或人上面：～到桌子上)				
pən	3	31	˧˩	本				
pən	5	55	˥	笨奔(～头)				
pʰən	1	33	˧	烹				
pʰən	2	13	˩˧	膨				
pʰən	3	31	˧˩	捧				
pʰən	5	55	˥	喷				
mən	2	13	˩˧	蒙门（文）				
mən	1	33	˧	盟				
fən	1	33	˧	昏婚浑(～浊)芬纷荤风枫疯丰封峰蜂锋				
fən	2	13	˩˧	魂馄焚坟豮横				
fən	3	31	˧˩	粉讽				
fən	5	55	˥	混(相～)粪奋愤忿份				
fən	7	24	˨˦	凤奉缝				
tən	1	33	˧	敦墩顿蹲登灯（文）冬				
tən	2	13	˩˧	豚臀囤誊藤同铜桐筒童瞳				
tən	3	31	˧˩	等董懂褪(随便穿在身上)				
tən	5	55	˥	屯饨盾钝遁凳瞪冻栋动洞邓（文）				
tʰən	1	33	˧	吞（文）通				
tʰən	2	13	˩˧	疼				
tʰən	3	31	˧˩	桶捅统□(踩)				
tʰən	5	55	˥	痛				
lən	1	33	˧	聋				
lən	2	13	˩˧	仑伦沦轮能笼农脓隆浓龙				
lən	3	31	˧˩	冷拢陇				
lən	5	55	˥	嫩论楞弄				
lən	7	24	˨˦	□(～起个颈根)				
ʦən	1	33	˧	针斟珍榛臻真尊遵曾(姓)增憎赠征蒸争筝睁贞侦正(～月)征鬃宗综中(当～)忠终踪重(轻～)钟盅				
ʦən	2	13	˩˧	沉岑沉陈尘臣存澄曾(～经)层橙绳承丞澄呈程成城诚松(~树)盛(～满了)虫崇铳重(～复)				
ʦən	3	31	˧˩	枕诊疹振震澄拯整总冢种肿				
ʦən	5	55	˥	镇阵证症郑正政中(射～)仲众纵种(～树)				
ʦʰən	1	33	˧	参(～差)娠村称(～呼)撑聪怱葱充冲				
ʦʰən	2	13	˩˧	晨唇乘丛从				
