#符号说明：-白=文/书*俗?待考	
#调值	[1]22 [9]33 [2]45 [3]55 [5]41 [6]35 [7]2 [8]5
#ɿ	
ʦ [1]□满足 [3]嘴 [5]醉	
tʰ [1]叉杈差{差不多}[9]册拆泽{光泽，地名}[2]茶搽茬查 [5]岔 [6]□{拦}[3]□{～帚，扫帚}	
n [1]拿- [2]拿={拿口，地名}	
l [1]拉=垃	
ʦ [1]楂渣抓=滓 [5]诈榨炸	
s [1]沙={下沙，地名}纱傻= [9]爿栅 [3]耍 [5]晒-{～太阳}	
k [1]家加嘉佳 [9]橄格隔 [3]假贾 [5]架驾稼价骼	
kʰ [1]抓 [9]客{客车}[3]客{客人}卡	
ŋ [1] □ {张开或裂开}[2]牙芽衙雅 [3]伢{小孩子}	
x [1] 吓 [2] 霞 蛤 虾 [5] 嫁 [6]厦夏{姓}	
∅ [1]阿{阿哥}鸦 [3]哑 [5]亚	
#ia	
p [9]壁笆	
pʰ [9]劈	
f [9]靴□{把鸡蛋等打开，打散}	
v [1]挖	
t [1]爹 [9]摘	
tʰ [1]簟 [2]斜畦□{～柴：杂木}[3]且 [6]藉谢{姓}	
n [9]额{额头}	
l [1]□{晒东西用的竹篾制器具}	
ʦ [9]迹- [3]姐{姐夫}[5]借	
s [1]些 [2]邪 [3]写 [5]泻卸懈 [6]谢{道谢}	
ʨ [1]遮 [9]只 [3]者 [5]蔗	
ʨʰ [1]车 [9]赤 [3] 扯□{ʨʰiən22～：穿着清楚}[5]□{tʰɔm45～：钹}	
ɕ [1]赊 [3]舍 [6]射麝社{社会}射□{扔}	
k [1]□{找麻烦}	
kʰ [1]□{拦住}	
x [1]籴 [9]系{系鞋带}	
∅ [9]也揖 [2]爷涯 [6]丫	
#ua	
k [1]瓜 [3]寡剜 [5]挂卦褂	
kʰ [1]夸 [3]垮 [5]跨	
∅ [1]蛙洼	
#ɔ	
p [1]波菠坡玻 [9]□{量词，一趟，一回}□{换}	
pʰ [1]薄{厚薄}[2]婆 [5]破 [6]薄{薄荷}	
m [1]摸 [2]魔摩 [5]墓 [6]磨={石磨}	
f [2]和{和面}[3]伙火= [5]货禍=霍藿惑 [6]禍-	
t [1]多 [3]躲 [5]舵橢惰垛{柴垛}	
tʰ [1]拖搓镯□{～ma22：昨天}[3]妥 [5]锉矬措错 [6]座	
n [2]挪哪 [6]糯	
l [1]落 [3]□{滑倒（人为）}[2]罗锣箩=骡螺腡啰裸 [5]焯□{一摞}	
ʦ [1]桌{量词，一桌}□{肚子很饿}[3]左佐 [5]做	
s [1]蓑梭唆 [9]索{绳子}缩 [3]锁琐	
k [1]歌哥 [9]角	
kʰ [9]壳 [3]可渴 [5]去	
ŋ [2]蛾鹅俄 [5]鳄 [6]饿卧鄂	
x [1]学-{学校}[9]托 [2]驼驮荷河何和{和气}□{～niə22：蚯蚓}[5]贺鹤□{传递}[6]过-{路过}	
∅ [1]阿{阿胶}[9]恶{凶狠}	
#iɔ	
p [9]剥 [5]布	
pʰ [1]缚-	
tʰ [6]褯	
n [1]□{将纸捏成一团}[9]箬{叶子}	
s [9]削	
ʨ [9]这	
ʨʰ [9]尺骗- [5]厝	
ɕ [1]石 [9]拾粟{稻谷}	
k [9]钁□{残渣}	
kʰ [9]蜇 [2]茄瘸	
x [1]□{受}[6]墿	
∅ [1]药 [6]夜	
#uɔ	
k [1]锅□{坏事}[3]果裹 [5]过={姓}	
kʰ [1]戈科棵颗 [5]课	
∅ [1]倭窝蝸 [2]和{和平镇}[3]□{喊叫}	
#ə	
p [9]北	
m [1]密墨脉	
tʰ [9]贼 [2]雌瓷慈磁 [5]菜次伺秩澈 [6]自=字寺此□{～tʰai22：舒服}	
n [5]腻	
l [1]力- [2]而儿□{笨}□{食物变质}[3]□{～子：木耳}	
ʦ [1]资姿兹滋趾 [3]紫子梓 [5]淄□{水浸泡}	
s [1]斯厮撕私师狮司丝思嗣 [9]塞 [2]词祠饲辞 [3]使史驶 [5]赐肆四={四川}[6]庶□{杀（鱼）}祀士仕事	
k [9]□{～人：气死人}[3]□{～芋：魔芋}[5]锯=记	
kʰ [3]起{起床}	
ŋ [2]蜈鱼渔 [6]碍-{碍手碍脚}	
x [1]圩{集市}[9]踢剔 [2]□{瞟}□{mə22mə22～～：稀里糊涂}	
∅ [1]□{碰到}	
#iə	
p [1]鳖	
pʰ [2]排牌便{便宜}	
m [1]糜 [6]卖	
v [1]□{张开，裂开}□{～光：很光亮}	
t [9]得-□{给}[3]底{鞋底}	
tʰ [1]□{～ma22：前天}[5]妾塞-{塞紧}	
n [1]□{蚂蚁}[2]泥 [3]女{女儿}	
l [2]犂离{离婚}	
ʦ [1]挤 [3]姐	
s [3]洗 [5]岁	
ʨ [1]□{（人）无能}[3]纸	
ʨʰ [1]嗤吹 [3]扯	
ɕ [1]吃 [2]蛇	
k [1]街 [3]解={解开}[5]寄-锯-	
kʰ [1]□{～人：磨人}[2]骑	
x [2]鞋 [3]□{扒开}[5]剃	
∅ [2] 余={姓氏}移 [3]矮 [5]瞖 [6]易{难易}液傻-	
#uə	
k [1]□{手脚不麻利}[5]鳜 [6]□{有意哭喊}	
kʰ [6]□{生病}	
#ai	
p [3]摆 [5]拜	
pʰ [5]破-派 [6]败	
m [1]抹□{～子：芝麻}[2]磨-{磨刀}埋 [6]迈	
f [2]怀槐淮 [6]坏	
t [1]呆□{ʨiɔ22～：这些}[5]戴待带	
tʰ [1]猜钗差{出差}揣 [3]彩采睬踩 [2]台抬才材財裁豺 [5]态蔡 [6]在-	
n [2]奶 [6]耐奈□{乌栏扒，野生果实}	
l [9]□{刈}[2]拉{拉屎}□{～pʰɔiʔ5：忘记}□{手、脚或身体无力}[6]赖	
ʦ [1]灾栽斋 [3]宰载 [5]再载债寨	
s [1]沙-{泥沙}腮鳃摔筛{筛酒}酾{酾酒}[9]箩- [3]散{鞋带散开}[5]赛帅晒={晒口，地名}	
k [1]皆阶 [3]解-{解放}[5]介界芥尬疥届戒械	
kʰ [1]揩 [3]凯楷 [5]概溉慨	
ŋ [2]崖挨{挨打}癌 [6]艾 [5]咬-	
x [1]胎苔拉- [2]孩还{还有}[5]太泰 [6]大贷代	
∅ [1]挨{挨住}[3]蔼 [5]隘挨{挨住，自由音变}	
#uai	
k [1]乖 [3]拐 [5]怪	
kʰ [5]块=快筷	
∅ [1]歪 [6]外	
#ei	
p [1]杯碑卑悲 [5]贝背	
pʰ [1]胚坯丕 [9]皮- [2]培陪赔裴 [3]被 [5]沛配佩 [6]辈倍背焙反-{反面}	
m [2]梅枚媒煤眉楣霉媚 [6]妹寐	
f [1]灰诙 [3]火- [6]汇会{会议}惠慧讳卉 [5]悔晦秽 [2]回茴徊	
t [1]堆 [5]对碓队兑	
tʰ [1]筛=推=催崔炊摧□{～ɕiə41：败家子}[2]垂□{结束}[5]退脆粹 [6]罪	
n [6]内芮	
l [2]雷擂 [6]锐里{里面}类泪	
ʦ [3]子{单说，儿子}[5]最缀赘坠	
s [1]衰 [5]碎	
k [1]鸡 [5]个	
kʰ [1]溪	
x [6]地-{地板}	
#uei	
kʰ [1]盔魁恢窥 [3]傀 [5]溃会{会计}刽桧绘愧□{敲头}	
∅ [1]煨 [2]禾桅危□{～ɕiɔŋ55：和尚}[6]魏巍	
#au	
p [1]包胞 [3]饱 [5]豹	
pʰ [1] 抛 [2] 刨 [5] 泡炮雹 [6]铇□{扇耳光}	
m [9]猫 [6]冇{没有}	
tʰ [1] 抄 钞 [9] 柴 [3] 炒 吵 [5]□{猪不安分地踢猪栏}	
n [3]挠 [6]闹	
ʦ [3]爪笊 [5]罩	
s [1]梢捎稍筲□{全部除掉}[2]勺 [5]找潲{猪食}哨	
k [1]交郊胶教 [3]嬉{玩}搞 [5]教较酵窖觉{睡觉}	
kʰ [1]骹{脚}[3]巧□{粗糙}[5]敲	
ŋ [3]咬=	
x [5]孝哮 [6]校效	
∅ [1]坳 [3]拗	
#iau	
p [1]膘标鳔彪 [3]表 [5]□{分}	
pʰ [1]飘漂 [2]瓢嫖 [3]漂 [5]票	
m [9]猫- [2]苗描 [6]庙妙	
t [1]刁貂雕凋□{提起}[9]鸟 [5]钓吊调{调动}	
tʰ [1]锹 [2]樵调{调换}	
n [2]饶 [6]尿	
l [2]燎疗聊辽撩寥瞭僚镣 [6]料廖	
ʦ [1]焦蕉椒	
s [1] 消宵霄硝 销嚣萧箫 肖 逍 [3]小 [5]笑	
ʨ [1]朝={今朝}昭招沼诏 [5]照	
ʨʰ [1]超 [2]朝-{朝向}潮 [6]赵兆召	
ɕ [1]烧 [3]少-{多少}[5]少={少年}[6]韶绍邵	
k [1]娇骄矫浇 [9]饺 [3]绞狡铰搅剿缲缴 [5]叫	
kʰ [1]敲悄 [9]□{蒜苗}[2]瞧乔侨桥荞 [5]俏窍 [6]轿	
x [1]挑 [3]肴淆侥晓 [5]跳粜 [6]条	
∅ [1]妖邀腰要{要求}么吆夭 [2]摇谣窑姚尧遥 [3]舀 [5]要{重要}[6]耀跃	
#ʌu	
p [3]褒保堡宝 [5]报暴爆鲍曝	
pʰ [1]□{覆盆子，野草莓}[2]袍 [3]跑 [6]菢	
m [1]毛 [2]茅锚矛 [6]冒帽貌	
t [1]刀叨 [3]祷岛倒{倒下}导捣 [5]到倒{倒水}盗	
tʰ [1]滔掏淘涛操臊 [2]陶萄曹槽巢 [3]讨草 [5]套糙 [6]造	
l [1]捞唠 [2]劳牢绕 [6]涝酪痨□{称重}	
ʦ [1]遭糟脏{不干净}[9]枣 [3]澡 [5]躁	
s [1]骚 [3]嫂扫{打扫}[5]扫{扫地}□{kʰʌu45～：蜘蛛}	
k [1]高膏篙羔糕 [3]稿 [5]告	
kʰ [2]□{～sʌu41：蜘蛛}[3]考 [5]烤靠犒拷铐	
ŋ [2]熬鏊 [6]傲	
x [1]桃 [2]逃豪壕毫 [3]薅好{好坏}郝 [5]好{喜好}耗浩 [6]道稻号	
∅ [1]袄	
#əu	
pʰ [3]剖	
m [2]谋 [6]茂贸	
f [2]浮 [3]否	
t [1]兜 [3]斗{量词}抖陡 [5]斗{斗地主}逗痘	
tʰ [1]馊 [5]透凑	
l [1]摷{挖掘}□{踢}[9]篓 [2]楼柔揉 [3]搂 [6]漏陋	
ʦ [1]蚤邹 [5]奏纣皱绉 [6]□{衣不伸直}	
s [1]叟搜飕 [2]愁 [3]□{家禽所居}[5]瘦	
k [1]勾钩沟阄 [3]狗苟 [5]够构购□{炸油饼的铁制工具}	
kʰ [1]抠丘 [3]口 [5]叩扣寇	
ŋ [2]牛-{脾气犟}	
x [1]偷 [9]头 [2]投侯喉猴候□{用食物诱惑}[3]吼□{～擂茶：泡擂茶}[5]□{毒}[6]豆后	
∅ [1]眍欧瓯呕殴凹区{姓}[5]懊奥沤怄	
#iɔu	
t [1]丢=	
tʰ [1]须{胡须}秋□{sam22～：衣袖}[6]就={就位}	
n [3]扭 [6]□{线缠绕一起}	
l [1]溜 [2]流刘留榴硫琉馏	
ʦ [3]酒灸	
s [1]修 [5]秀绣锈袖	
ʨ [1]周舟州洲帚 [3]肘 [5]咒臼	
ʨʰ [1]抽 [2]绸筹仇酬 [3]丑 [5]臭 [6]就-{即将}	
ɕ [1]收 [3]手首守 [6]兽受寿授售	
k [1]鸠咎柩纠 [3]九久韭 [5]救究	
kʰ [2]囚求球仇{姓}	
x [1]羞休 [2]稠糗 [3]柱朽	
∅ [1]忧优悠幽 [2]邮由油游尤 [6]又右佑莠诱柚釉幼	
#ɔi	
tʰ [3]□{（从口袋）拿出来}	
l [3]□{线绕成一团}[6]累{极困}	
ʦ [5]块-	
s [9]螺- [5]□{几个人一起}	
k [1]该 [3]改 [5]盖={动词}	
kʰ [1]开	
x [1]推- [3]海腿 [5]褪 [6]袋亥害骇	
∅ [1]哀埃 [5]爱碍=	
#ui	
k [1]圭闺规龟归 [3]诡轨鬼 [5]桂贵瑰	
kʰ [1]亏 [2]奎癸逵葵 [3]□{扣}[6]跪柜	
#am	
f [6]泛	
t [1]耽担 [3]胆 [5]宕	
tʰ [1]参{参加}[2]搀 [3]坦	
n [2]南男喃{唠叨}	
l [2]蓝篮={篮球}兰 [5]舔 [6]览缆婪	
ʦ [3]斩 [5]蘸沾绽	
s [1]三杉衫钐珊 [9]篮{篮子}	
k [1]泔尴监艰 [3]减柬碱{肥皂}[5]鉴 [6]□{跨}	
kʰ [6]槛	
ŋ [1]□{没牙的嘴}[2]岩	
x [1] 贪 [2] 谭衔痰 [3] 毯 [5]喊 [6]□{装稻谷的大型容器}□{霸占}	
∅ [1]腌 [3]□{木头因潮湿发霉}	
#iam	
t [3]点典腆 [5]掂店殿	
tʰ [1]签 [2]□{拔（动物身上的毛）}[6]暂渐	
n [1]黏拈捻{捏}[2]粘阎严俨鲶沿{沿山，地名}[6]验念	
l [2]廉镰帘 [6]敛殓	
ʦ [1]尖歼	
ʨ [5]占	
ɕ [3]陕闪	
k [1]碱兼 [3]检茧 [5]剑谏	
kʰ [1]谦 [9]□{～mən22：窗户}[2]钳搛 [5]嵌欠歉劝 [6]俭	
x [1]添 [2]甜嫌 [3]险□{禾～：脱稻谷机}[6]垫踮	
∅ [1] 阉 [3] 掩 [2] 炎 盐 檐 [5]厣魇厌	
#əm	
t [3]□{打，捶}	
ʦ [1]□{砧板}	
s [1]森参{人参}□{瞅瞅看}[5]渗	
x [2]咸	
∅ [5]□{不平整，磕人}	
#im	
n [6]任{任务}	
l [2]林淋临 [6]□{慢慢倒（水）}	
ʦ [5]浸	
s [1]心辛芯 [2]□{一直纠缠不让人走}[3]□{豆～：豆腐}	
ʨ [1]针斟 [3]枕	
ʨʰ [1]深 [2]沉葚	
ɕ [3]沈审 [5]婶 [6]甚	
k [1]金 [5]襟禁	
kʰ [2]芹琴禽擒	
x [5]兴{高兴}	
∅ [1]阴荫窨 [3]饮	
#ɔm	
tʰ [1]蚕 [3]□{捉}[2]□{～ʨʰia41：钹}	
l [3]搂	
ʦ [1]簪	
k [1]甘柑蚶 [3]盖-敢	
kʰ [3]咳 [5]坎	
x [2]潭	
∅ [1]庵揞 [5]暗	
#an	
p [1]班斑颁扳般 [3]板版畈 [5]扮伴	
pʰ [1]攀 [5]襻绊畔 [6]办	
m [2]蛮明 [6]慢漫蔓	
f [1]欢藩翻番 [2]凡帆桓还{送还}环烦矾繁梵 [3]反= [5]贩 [6]范犯幻患宦	
t [1]丹单 [3]跌-掸□{～禾：割稻子}[5]旦诞	
tʰ [1]摊餐瘫 [2]龛谈馋谗檀坛弹{弹琴}残缠蝉禅 [3]惭喘 [5]探灿颤忏 [6]赚	
n [2]难{难易}[6]难{患难}	
l [2]冉拦栏燃 [6]烂滥	
ʦ [3]盏□{朵，量词}□{漂亮}[5]站赞	
s [1]删 [3]伞产 [5]散	
k [1]间奸 [3]擀简	
kʰ [1]堪勘	
ŋ [2]颜	
x [1]酣滩摊 [5]炭叹 [6]但弹{子弹}限	
#iən	
p [1]鞭编边 [3]贬蝙扁匾 [5]变遍{量词}辫	
pʰ [1]篇偏{偏心}[3]偏{歪，不对称}[5]骗=遍{遍地}片 [6]辨辩便{方便}	
m [2]绵棉眠 [6]面={面条}	
f [9]□{菜园子}[3]远-{与“近”相对}	
v [1]冤 [2]完丸圆员缘□{爬}元原源袁辕园援 [5]怨 [6]院愿县	
t [1]顛癫	
tʰ [1]迁千铅 [2]钱全泉 [3]浅癣遣 [6]践贱	
n [1]蔫 [2]年={年龄}[3]研碾辇 [6]砚□{食物未煮烂}	
l [2]畦连联怜莲 [3]脸 [6]练恋炼	
ʦ [1] 煎 [9] 剪 {剪刀}[3] 剪 {动词}[5]箭溅饯荐□{水烧开了}	
s [1]仙鲜轩先宣喧楦 [3]选 [5]馅线□{～tʰiə22ma22：前两天}[2]旋玄悬	
ʨ [1]专砖 [3]转 [5]战	
ʨʰ [1]汆川穿□{～ʨʰia22：穿着清楚}[2]传{传递}[3]闯 [5]窜篡串蹿 [6]传{传记}	
ɕ [1]疝羶伸 [2]船唇 [5]扇膳单{姓氏}[6]善	
k [1]肩坚 [3]拣 [5]舰间{间断}犍建毽	
kʰ [1]牵 [2]乾虔 [6]犍件键健腱笺	
x [1]天 [2]咸闲然田填贤 [3]掀显 [5]苋羡宪献 [6]电奠佃现□{食物不新鲜}	
∅ [1]淹焉烟咽渊 [2]涎延筵言蜒 [5]艳焰雁谚堰燕宴 [6]剩	
#uan	
k [1]官棺观{观察}冠鳏关 [3]管馆 [5]贯灌罐观{寺观}冠惯	
kʰ [1]宽 [3]款	
∅ [1]弯湾 [3]娩玩皖豌挽宛 [2]顽 [6]万	
#ən	
p [1]奔崩冰	
pʰ [1]烹 [2]朋膨棚瓶 [6]□{靠在墙上}	
m [2]萌盟 [6]孟	
t [1]登灯瞪丁钉{名词}疔拎 [3]等顶 [5]凳扔订钉{动词}	
tʰ [1]塍 [2]腾层澄橙	
n [2]能 [6]宁{姓氏}	
l [2]零铃	
ʦ [1]榛臻曾{姓}增争=筝	
s [1]僧生={生气}星 [3]省={省长}[5]腥 [2]□{呵斥}	
k [1]今跟根筋更{五更}庚羹耕 [3]粳哽耿 [5]更{更加}□{～人：冰冷}	
kʰ [1]轻-{轻重}[3]恳垦肯啃 [5]□{留}	
ŋ [2]□{懵}	
x [1]吞亨厅汀 [9]澄 [2]痕誊藤恒行={行为}衡亭横{蛮横}[3]很 [5]恨 [6]邓杏幸定-{定亲}	
∅ [1]恩 [5]摁	
#in	
p [1]彬宾槟鬓兵 [3]稟丙秉 [5]殡并畚	
pʰ [1]拼 [2]贫频凭平=评屏萍 [3]品 [5]聘姘 [6]病=	
m [2]闽民悯鸣明铭 [5]面-{脸面}[6]命={命令}	
f [1]勋 [5]训	
v [1]晕 [2]匀云耘 [6]运	
t [3]顶{顶嘴}□{～uən22：桂圆}	
tʰ [1]侵钦亲清瀙轻={年轻}[9]前 [2]情廷艇 [3]挺 [6]尽静净	
n [9]年-{过年}[2]壬人银 [3]耳 [6]纫刃认	
l [2]邻鳞磷陵凌菱宁灵伶翎凛龄 [3]领{领导}[6]赁吝令另	
ʦ [1]精 [5]进甑	
s [1]新薪猩 [5]信讯	
ʨ [1]珍真晶憎赠蒸贞侦征 [3]展诊疹振震娠拯整□{～米：碾米}[5]镇阵证症政	
ʨʰ [1]称{称呼}声 [2]岑陈曾乘丞呈 [3]惩逞□{抢}[5]趁蹭称{相称}秤	
ɕ [1]身申升 [9]还-{送还}[2]神辰晨臣承成城诚 [5]衅胜圣盛{盛满}[6]肾慎盛{兴盛}	
k [1]巾斤京荆惊鲸经 [9]囝{男孩子}[3]锦紧仅谨景警怎 [5]见劲-{起劲}境敬竟竞径	
kʰ [1]卿 [2]秦勤 [5]庆 [6]近劲={劲敌}	
x [1]欣兴{兴旺}馨 [2]尘停庭形型刑 [6]定-	
∅ [1] 音因姻殷 鹰莺鹦樱 英 婴 [2]淫仁寅蝇迎盈茔萤荥 [5]印应 [6]韧	
#uən	
k [1]□{弯下腰}绢捐 [3]卷{卷起}[5]眷卷{考卷}圈{猪圈}倦券	
kʰ [1]圈{圆圈}[2]拳权颧 [3]犬 [5]劝	
∅ [1]□{tin55～：桂圆}[2]□{～fuŋ55：荔枝}[6]□{～tʰai35：习惯}	
#ɔn	
p [1]搬 [5]半	
pʰ [1]潘 [2]盘槃{桌子}[5]盼判叛 [6]□{和，加上}	
m [2]瞒馒鳗 [6]幔	
f [5]焕唤 [6]缓	
t [1]端 [3]短 [5]锻段缎椴	
tʰ [1]□{往上扔}[2]团{量词}[3]铲 [5]□{蹦跳}	
l [2]鸾 [3]卵阮□{老～：强悍，厉害}[6]乱	
ʦ [3]□{炒（菜）}[5]纂钻{名词}撰篆 [6]钻{动词}	
s [1]山酸闩拴 [3]蛋 [5]算蒜涮	
k [1]干{干湿}肝 [3]感竿杆秆赶 [5]干{才干}	
kʰ [1]刊 [5]看{看守}	
ŋ [6]岸	
x [1]肝={内脏}[9]鼾团{饭团}[2]寒韩含函 [3]□{～草：除草}[5]撼憾汉翰 [6]罕旱汗焊□{丢}	
∅ [1]安鞍晏 [5]按案	
#uɔn	
∅ [3]碗腕 [6]换	
#un	
p [1]分-{分开}[3]本 [5]笨	
pʰ [2]盆 [5]喷 [6]饭	
m [1]蠓{蚊子}[2]门 [3]□{（木头)腐烂}[5]问{动词}[6]闷	
f [1]昏婚芬纷荤吩分={分数}[2]魂馄浑焚晕坟 [3]粉 [5]糞奋愤忿 [6]混份	
t [1]敦墩蹲 [5]顿扽饨钝遁盾	
tʰ [1]村 [2]屯豚臀存醇囤 [5]衬忖寸	
n [6]嫩	
l [2]仑伦沦轮 [3]□{躺}[6]论	
ʦ [1]津尊遵 [3]□{用水擦干净弄脏的衣服} [5]晋俊	
s [1]孙 [3]损笋榫	
k [1]皴均钧君军 [3]滚□{发烫}[5]棍	
kʰ [1]昆坤熏薰 [2]群裙 [3]寝捆菌顷倾 [5]困睏 [6]郡	
∅ [1]温瘟 [2]文纹闻 [3]稳 [6]问{名词}	
#yn	
ʨ [3]准 [5]□{深河沟}	
ʨʰ [1]椿春蛏 [3]蠢	
ɕ [2]寻逊荀旬循巡殉纯询 [5]迅顺舜	
∅ [6]润闰韵孕	
#aŋ	
p [1]□{紧绷}□{小孩发翘哭闹}[5]□{裂开}	
pʰ [1]□{赶出家门}[2]庞彭□{长脓}□{量词，辆}[5]秕	
m [1]□{将物裹严实}[5]□{一点儿}	
f [1]横	
tʰ [1]撑睁青 [2]晴□{柚子}[5]撑 [6]□{（肚子吃得）撑了}	
n [6]□{伸展}	
l [1]□{～tʰiʔ5：粥特别稀}	
ʦ [1]踭 [5]拽	
s [1]生-{生小孩}牲□{uaŋ35～：零食}[3]甥省-{节省}	
k [1]□{吵架}[3]埂	
kʰ [1]炕坑	
ŋ [6]硬-	
x [1]夯 [2]行-{走}	
∅ [1]□{小孩哭闹}[5]□{再，又}	
#iaŋ	
p [1]饼 [3]□{打～：生闷气，冷战}[5]柄	
pʰ [2]平-坪 [6]病-	
m [9]名 [6]命-	
f [1]兄- [5]□甩	
t [3]井鼎	
tʰ [2]戚-{亲戚}□{～xiən22：清闲}[3]请醒	
n [5]看{看见}	
ʦ [1]□{美丽}	
s [5]性姓	
ʨ [1]正{正月}[3]□{刚刚}□{办法}[5]正{正常}	
ʨʰ [2]程 [6]郑	
ɕ [1]□{扔}	
k [3]颈 [5]镜	
kʰ [2]擎	
x [1]听 [5]□{冰冷}[6]□{坪地}	
∅ [2]贏	
#uaŋ	
k [3]梗	
∅ [6]□{～saŋ22：零食}	
#ɔŋ	
p [1]帮邦浜 [3]鐾榜绑 [5]谤棒	
p [2]滂旁螃傍 [5]胖	
m [2]忙芒茫莽蟒盲虻	
f [1]荒慌方肪芳 [2]簧皇蝗妨房防凰蟥 [3]谎纺仿访 [5]放={解放}	
t [1]当{当时}裆 [3]党挡铛 [5]当{典当}荡	
tʰ [1]仓苍疮窗 [9]床 [2]棠藏 [5]创 [6]脏{内脏}藏{西藏}动状葬 [3]倘	
n [9]□{脓}[2]囊瓤	
