	注释：-白讀					
k	[7]蛤鴿					
kʰ	[7]恰郃闔[8]磕					
h	[7]洽[8]合					
∅	[7]壓[8]盒狎					
#an						
p	[1]班斑扳頒[2]瓶-[3]板版舨阪⑶扮辦瓣					
pʰ	[1]攀扳[2]盤[5]盼襻					
b	[2]蠻閩漫饅鰻[3]挽-[6]慢萬曼蔓漫幔					
t	[1]丹單鄲簞[2]陳-{姓}[3]等-[5]旦蛋誕[6]但憚					
tʰ	[1]灘攤癱蟶-[2]彈檀壇[3]坦亶疸毯趁[5]歎炭趁					
l	[1]趼-{疤痕}[2]難雯蘭攔欄鱗-[3]懶赧咱{訓}[6]難爛					
ts	[1]曾-{姓}[2]殘層-[3]盞趲[5]贊讚瓚纘[6]贈-					
tsʰ	[1]餐潺飡飱[2]蠶[5]燦					
s	[1]山刪珊[3]產散鏟㾪{瘦}[5]散線汕霰					
k	[1]間竿杆奸肝艱奸[3]幹簡趕柬稈杆[5]諫澗間					
kʰ	[1]刊看牽[3]侃肯-[5]看					
ɡ	[2]顏言-[3]眼研-[6]岸諺彥雁贗					
h	[1]頇[2]寒閑韓嫻[3]罕悍焊[5]漢暵[3]汗旱翰瀚					
∅	[1]安鞍鵪[5]按案晏[6]限					
#at						
p	[7]八捌[8]別-{~人}					
b	[7]別{認識}[8]密-					
t	[7]妲噠[8]達值-					
tʰ	[7]踢-撻跶獺					
l	[8]力-					
ts	[7]節-					
tsʰ	[7]漆-察擦刹[8]賊-					
s	[7]殺虱塞					
k	[7]葛結-割					
kʰ	[7]渴					
h	[7]曷轄喝-褐					
∅	[7]遏					
#aŋ						
p	[1]幫邦梆崩-[2]馮房-縫-[3]綁[5]放-[6]棒蚌					
pʰ	[1]蜂-芳-[2]篷-捧-[3]紡-[5]胖[6]縫{裂~}					
b	[2]忙龐[3]蠓[6]望-夢-網-					
t	[1]冬-當-東-[2]同-銅-筒-[3]董-{姓}黨{~參}[5]擋-凍-[1]洞-重-動-					
tʰ	[1]窗-[2]蟲-桐-{~子}[3]桶-淌					
l	[1]壟-[2]籠-儂-膿-礱-[3]籠-{箱~}[6]弄-					
ts	[1]鬃-棕-[2]樅-[3]鬃-[5]粽-					
tsʰ	[1]蔥-蒼-					
s	[1]鬆-[3]嗓-[5]送					
k	[1]江工-公-{~母}蚣-[3]港講[5]降絳洚[6]共-					
kʰ	[1]空					
ɡ	[2]昂					
h	[1]烘-魴-[2]降行航杭[6]項巷					
∅	[1]汪-{姓}翁-{~婆}肮[2]紅-洪-{姓}[5]甕-					
#ak						
p	[7]剝北-駁幅-腹-[8]縛-					
pʰ	[7] 僕-覆-[8]曝-					
b	[8]目-墨-木-					
t	[8]毒-					
tʰ	[7]讀-{~書}					
l	[7]六-					
tsʰ	[7]簇[8]鑿-刺-					
k	[7]角桷覺玨[8]磔擲-					
kʰ	[7]確傕殼恪					
ɡ	[8]嶽嶽					
h	[7]轄喝豁壑[8]學斛					
∅	[7]握沃幄偓					
#om						
t	[6]丼{擲石入水聲}					
ts	[1]箴					
s	[1]森參					
#omʔ						
tsʰ	[7]撮					
#õu						
∅	[1]姑-					
#oŋ						
p	[1]泵[2]房旁傍滂[3]榜棒俸[6]磅傍					
pʰ	[1]乓[2]蓬[3]捧[6]碰					
b	[1]摸-忙忘芒茫盲蒙朦[3]莽網罔惘魍[6]望夢妄墓					
t	[1]東冬當佟珰[2]堂同唐瞳潼童桐銅彤螳[3]懂童黨[5]棟凍擋當[6]動洞慟蕩宕					
tʰ	[1]通湯[2]糖[3]統捅儻[5]痛					
l	[1]籠-{監牢}[2]農郎狼濃廊聾琅囊儂籠[3]朗壟攏曩[6]浪弄閬					
ts	[1]宗棕蹤鬃妝裝莊[2]藏崇叢[3]總綜[5]壯粽葬[6]狀藏臟					
tsʰ	[1]匆窗倉蒼滄驄蔥瘡[2]床[3]愴[5]創					
s	[1]霜孀桑喪[3]爽搡顙[5]送宋喪					
k	[1]工公功攻光缸岡剛觥[2]狂[3]廣講[5]貢誑					
kʰ	[1]空康筐框[2]狂[3]孔慷[5]曠礦亢伉控					
ɡ	[6]戇					
h	[1]豐蜂峰荒方芳風鋒楓封酆[2]防皇黃凰妨逢縫洪宏紅虹璜[3]訪仿俸況諷恍晃[5]放[6]奉鳳哄					
∅	[1]翁汪[2]王[3]往枉[5]甕甕[6]旺					
#ok						
p	[7]蔔北[8]縛匐僕薄泊亳					
pʰ	[7]樸撲璞搏膊[8]曝爆瀑					
b	[8]木沐目睦穆牧莫繆萬{複姓，萬俟}					
t	[7]督篤卓啄琢斫[8]獨毒香翎鐸犢牘					
tʰ	[7]讬托拓籜[8]讀					
l	[8]鹿駱洛絡落樂祿					
ts	[7]作[8]昨濁濯酢族					
tsʰ	[7]簇錯齪[8]鑿					
s	[7]束速朔數槊塑					
k	[7]國穀各胳帽郭[8]咯-					
kʰ	[7]哭擴酷梏					
ɡ	[8]鱷愕噩鄂					
h	[7]福蝠腹複覆輻[8]服伏茯袱					
∅	[7]惡屋堊齷					
#ɛn						
p	[1]兵冰崩斑-{~臉}邊鞭編[2]朋屏馮駢[3]炳丙昺秉餅貶艇砭[5]柄並變遍窆[6]病並便卞汴辨辯辮					
pʰ	[1]烹俜娉砰偏篇翩蹁[2]平評彭萍鵬[3]蝙[5]聘騁騙片					
b	[2]名明銘鳴暝冥棉綿眠緡[3]猛皿酩茗免丏勉娩冕緬[6]孟命面麵偭					
t	[1]丁燈仃登顛癲巔[2]亭婷廷程澄田纏鈿畋[3]頂鼎等戥町典展輾[5]訂釘鐙[6]定鄭鄧錠殿佃鈿甸電奠					
tʰ	[1]汀聽撐廳天[2]停騰塍填嗔闐滇[3]挺逞郢艇腆觍靦殄[5]聽					
l	[1]奶-蔫-[2]能靈玲齡泠寧淩楞棱連蓮年聯鰱[3]冷領嶺濘璉輦撚碾[6]另令佞煉練					
ts	[1]曾僧征偵爭睛菁精增煎箋氈[2]情睛層前[3]整井剪踐餞[5]正政戰箭薦[6]靖靜贈淨甑賤					
tsʰ	[1]清千-稱青蟶千遷阡躚[2]錢[3]請淺闡殫[5]稱凊倩襯倩茜					
s	[1]升星生聲牲腥惺甥旌仙先鮮[2]成城誠乘蟬禪嬋單{~於}[3]省醒鮮洗冼蘚燹[5]聖姓性扇線煽[6]盛乘晟剩善單{姓}禪嬗擅					
dz	[2]然燃					
k	[1]經京庚更荊鯨間-羹肩堅涓[2]煢睘瓊[3]景竟警耿炯蹇梘筧[5]敬徑更鏡見建[6]競勁頸梗健鍵腱件					
kʰ	[1]輕卿傾坑牽愆騫褰[2]瓊乾虔[3]頃肯犬畎遣譴[5]慶罄勸					
ɡ	[1]妍[2]迎凝言研[3]研{~末}[6]硬迎					
h	[1]亨兄興馨軒掀[2]行刑形恒衡橫賢弦玄眩懸[3]顯峴[5]興獻憲絢[6]幸杏莧-現硯見縣					
∅	[1]英鶯瑛嬰纓鸚煙胭湮燕淵焉闉[2]榮瑩螢營盈贏嶸延鉛緣涎椽[3]影永穎演兗偃[5]應燕嚥宴[6]泳詠衍羨院					
#ɛt						
p	[7]伯百柏逼迫壁別鱉[8]白帛舶別					
pʰ	[7]碧璧霹僻撇瞥蹩					
b	[8]墨默麥陌脈貉覓滅蔑襪					
t	[7]得的德嫡滴哲[8]敵澤擲狄滌翟特秩跌迭轍耋					
tʰ	[7]惕斥剔倜踢忑鐵徹撤澈饕[8]宅					
l	[7]栗傈慄列冽烈裂[8]力曆勒肋搦					
ts	[7]積績貴帔跡蹠稷炭則折節浙[8]寂藉籍賊截捷睫					
tsʰ	[7]戚策側測赤切					
s	[7]昔色惜穡瑟淅賜倏塞設泄褻燮[8]夕席汐石碩舌					
dz	[8]熱					
k	[7]格隔激棘戟亟結潔揭羯[8]極屐傑竭					
kʰ	[7]客克刻虢拮挈孑擷					
ɡ	[7]齧[8]逆額孽蘖臬月					
h	[7]黑赫血歇[8]核或蜮獲域惑穴					
∅	[7]憶億抑益咽噎謁[8]翼翊亦役疫奕液弋易譯曰					
#i						
p	[1]碑卑悲陂裨[2]脾琵枇鼙[3]比批毗秕[5]臂庇秘泌閉轡嬖費{姓}[6]被幣弊備避婢斃					
pʰ	[1]披帔[2]皮疲脾{~氣}[3]否鄙痞[5]屁[6]被{~席}					
b	[2]微眉楣嵋[3]米美尾[6]未味寐					
t	[1]知株誅豬蜘[2]池馳遲除鋤{~頭}[3]底抵[5]戴{~帽}致緻智置著[6]箸治稚痔雉滯					
tʰ	[1]笞株[2]鋤啼苔-{青~}[3]恥在紵[5]剃嚏					
l	[2]離籬厘狸驢漓璃嫠[3]汝-女李旅裏鯉理娌履[6]利吏慮濾例痢呂俐					
n	[2]尼泥					
ts	[1]之芝支脂梔[2]薯[3]旨煮指只止芷址紫紙咫渚趾祉[5]至志痣摯贄質{人~}幟熾[6]聚巳					
tsʰ	[1]癡嗤蛆鰓-{魚~}[2]徐雌[3]取侈處齒鼠[5]試剌處娶翅[6]市飼-					
s	[1]詩書絲施輸{運~}舒鷥屍須需司俬[2]時辭匙祠-{~堂}[3]死-始黍矢暑豕弛[5]四世勢肆庶絮[6]是樹寺緒誓序祀侍					
dz	[2]而如儒愉俞兒[3]耳汝爾愈[6]二字喻餌膩					
k	[1]枝妓居基機車肌姬機几譏磯畿[2]期旗棋麒奇渠崎祈[3]己舉矩幾[5]記寄冀鋸據痣-[6]拒懼巨忌洎					
kʰ	[1]欺區欹驅拘駒[2]騎蜞[3]起豈齒-[5]氣去器棄汽[6]柿-[7]缺-{~角}					
ɡ	[2]宜疑虞娛愚儀[3]語蟻擬禦[6]義議遇					
h	[1]希虛熙稀墟犧曦[2]魚-漁-[3]許喜栩[5]戲[6]頤					
∅	[1]衣伊醫-依[2]移夷螃胰餘怡飴[3]椅倚雨騎與已[5]意懿飫翳瘀[6]預易譽豫異					
#iʔ						
p	[7]鱉					
b	[8]篾-					
t	[7]滴-[8]碟-					
tʰ	[7]鐵-					
l	[8]裂-					
ts	[7]接-褶[8]舌-					
s	[7]薛閃-[8]蝕					
#iu						
p	[1]彪					
b	[2]繆[6]謬					
m	[6]謬					
t	[1]丟[2]綢桐籌[5]晝[6]宙稻-紂胄					
tʰ	[1]抽[2]頭[3]丑					
n	[3]紐扭					
l	[1]溜[2]流留劉榴琉硫[3]柳[5]餾{蒸~水}					
ts	[1]州洲舟周珠-[3]酒帚[5]蛀-咒[6]就鷲					
tsʰ	[1]秋須-湫鰍[2]愁酬[3]手-醜[6]樹-					
s	[1]修收羞[2]售囚泅酬[3]守首手[5]秀繡鏽袖宿{星~}獸[6]壽岫受授					
dz	[2]柔					
k	[2]求球逑虯仇[3]久九糾赳[5]救究[6]舊舅臼咎柩					
kʰ	[1]鳩丘邱[2]虯					
ŋ	[2]牛					
h	[1]休謳庥[2]裘[3]朽[5]臭嗅					
∅	[1]優憂幽[2]尤油遊郵由釉[3]有友誘莠[5]幼[6]又佑右宥柚					
#ia						
t	[1]爹					
ts	[1]嗟[3]者[5]蔗柘炙[6]謝{姓}借{~口}藉					
tsʰ	[1]車奢					
s	[1]賒[2]斜蛇佘佘邪[3]寫捨[5]舍瀉赦卸[6]射謝社麝榭					
dz	[1]遮[3]惹					
k	[1]迦[2]伽{~藍}[5]寄-[6]崎-					
kʰ	[1]奇-{~數}[2]騎-[6]徛					
ɡ	[2]蜈{~蚣}揶					
h	[1]靴桸{匏~}[6]瓦-蟻-					
∅	[2]爺椰[3]野冶[6]也夜					
#iaʔ						
p	[7]壁-					
pʰ	[7]辟-僻-					
t	[7]摘-[8]糴-					
tʰ	[7]拆-					
l	[8]掠-					
ts	[7]只-跡-[8]食-					
tsʰ	[7]赤-					
s	[7]削-錫-					
k	[8]屐					
kʰ	[7]隙					
ɡ	[8]額{名~}					
h	[8]額{頭~}					
∅	[7]益-[8]驛-蝶{尾~}疫-頁役					
#io						
p	[1]標-鏢-[3]表-錶-					
pʰ	[2]瓢-[5]票-漂-					
b	[2]描-[6]廟-					
t	[2]潮-[5]釣-[6]趙					
tʰ	[1]挑-[5]糶-					
ts	[1]招-椒-蕉-[3]少-[5]照-[6]嚼-					
tsʰ	[5]笑-					
s	[1]燒霄{雲~}相{~共}[3]小-					
dz	[6]尿-					
k	[2]橋-茄-[5]叫-[6]轎-					
∅	[1]么-腰-[2]窯-搖-[3]舀-					
#ioʔ						
t	[8]著-					
ts	[7]借-斫-[8]石-					
tsʰ	[7]尺-[8]席{草~}					
s	[7]惜-[8]俗-					
k	[7]腳-					
h	[8]葉-					
∅	[8]藥-					
#iau						
p	[1]膘標[3]表殍婊錶裱					
pʰ	[1]飄標儦鑣螵縹飆杓[2]嫖瓢[3]剽[5]票漂驃剽[6]鰾					
b	[2]苗描貓[3]渺眇杪秒淼杳藐緲[6]妙廟					
m	[1]貓					
t	[1]雕調碉凋貂朝[2]朝條潮笤齠[5]吊釣[6]調召兆晁肇					
tʰ	[1]挑超刁佻[2]𬶐[3]窕[5]跳覜眺糶[6]柱-					
n	[3]鳥[5]皺[6]尿					
l	[2]療僚遼聊寥燎獠[3]了撩繚瞭蓼[6]廖料					
ts	[1]焦礁椒招昭釗瞧[2]樵瞧憔譙[3]鳥-沼[5]照詔曌[6]噍醮					
tsʰ	[1]鍬搜-[3]悄[5]笑俏					
s	[1]宵霄硝逍燒消瀟蕭[3]小少[5]少肖消數-[6]紹邵韶劭					
dz	[2]饒嬈澆[3]擾繞爪-[1]皺-縐-					
k	[1]嬌驕[2]喬橋僑[3]繳矯皎佼攪[5]叫[1]轎嶠					
kʰ	[1]撬蹺[3]巧[5]竅翹					
h	[1]枵囂邀皆梟[3]曉					
ɡ	[2]堯蟯					
ŋ	[1]貓-[3]貓-{~鼠}					
∅	[1]夭妖麼腰枵-[2]搖窯遙瑤姚謠徭[3]夭舀窈[5]要[6]耀曜燿					
#iauʔ						
ts	[7]哳{鳥聲}					
#ĩ						
p	[1]邊-鞭-[2]平-{~路}[3]扁-[5]柄-變-[6]病-辮-					
pʰ	[1]篇-[2]澎-[5]片-[6]鼻-					
m	[2]棉-[6]麵-[8]物-					
t	[1]甜-[2]纏-[6]鄭-{姓}					
tʰ	[1]天-添-					
n	[1]拈-[2]年-連-{姓}[3]染-[7]囁{~目}					
ts	[1]晶氈[2]錢-[3]嫩{訓}[5]箭-					
tsʰ	[1]鮮-{魚~}青-星-					
s	[1]生-{先~}[3]省-[5]扇-[6]豉-					
k	[1]堿-經-更-庚-[2]墘-[3]骾-鯁-[5]見-					
kʰ	[1]坑-[2]鉗-					
h	[2]弦-[6]耳-硯-					
∅	[2]圓-[3]旖[5]燕-[6]院-					
#iã						
p	[3]丙-餅-[5]拼-					
pʰ	[2]坪-					
m	[2]名-[6]命-					
t	[2]呈-埕-程-{姓}[3]鼎-[6]定-					
tʰ	[1]聽-廳-[2]程-[5]痛-					
n	[3]嶺-領-					
ts	[1]正-{~月}精{妖~}[2]情-{親~，親戚}成-{~人}[5]正-{公~}[6]淨{烏~}					
tsʰ	[3]且請-[5]倩-{相~}					
s	[1]聲-[2]城-[3]啥-[5]聖-{靈驗}					
k	[1]京-驚-[2]行-墘-[3]囝-[5]鏡-[6]件-健-					
h	[1]兄-[2]燃-{~火}[6]艾-					
∅	[2]營-贏-[3]影-					
#im						
t	[2]沉[6]朕					
tʰ	[1]琛					
l	[2]林琳淋霖臨[3]凜廩檁					
ts	[1]斟砧吻{訓，~嘴}[2]蟳覃{姓}[3]枕[5]浸					
tsʰ	[1]深侵祲[3]寢					
s	[1]心芯[2]尋潯忱葚[3]沈審哂嬸諗[6]甚					
dz	[2]壬妊[1]忍恁稔飪衽荏[6]任仞妊賃紉					
k	[1]今金[3]錦[5]禁噤[6]妗					
kʰ	[1]襟鈐欽衾衿[2]禽擒琴					
ɡ	[2]吟岑苓涔					
h	[1]欣昕忻訪歆[2]熊					
∅	[1]音陰淹-喑[2]淫霪[3]飲[5]蔭					
#ip						
l	[8]立					
ts	[7]執[8]集					
tsʰ	[7]楫輯緝					
s	[7]濕隰[8]十拾習什					
dz	[8]入					
k	[7]急級給[8]及岌					
kʰ	[7]吸泣笈汲					
h	[7]歙					
∅	[7]邑揖悒挹					
#iam						
t	[1]沾[2]甜恬沉-[3]點[5]店[6]簟墊					
tʰ	[1]添[2]恬[3]諂忝					
l	[1]拈[2]簾廉黏廉奩[3]斂瀲臉[5]念殮					
ts	[1]針尖詹占瞻苫[2]潛[5]占[6]漸暫賺					
