字目	音节	声调	注释	备注		
喲	io	44				
應	in	44	～當			
應	in	53	～付			
硬	ŋaŋ	31				
映	iaŋ	31				
穎	in	31				
影	iaŋ	31				
贏	iaŋ	13				
瀛	iun	31				
蠅	in	13				
縈	iaŋ	44	～錢，繞			
營	iaŋ	13				
螢	in	13				
瑩	in	13				
塋	in	13				
盈	in	13				
迎	ŋiaŋ	13				
鸚	in	44	～鵡			
鷹	in	44				
纓	in	44				
鶯	in	44				
櫻	in	44	～桃			
嬰	in	44				
英	in	44				
印	in	53				
隱	in	31				
飲	im	31	～酒；～馬			
引	in	31				
尹	in	13				
銀	ŋiun	13				
欽	kʰim	44				
淫	ŋin	13				
吟	ŋin	13				
蔭	im	44	樹～			
陰	im	44				
殷	in	44				
姻	in	44				
洇	ien	44				
音	im	44				
茵	in	44				
因	in	44				
議	ŋi	31				
譯	it	5				
藝	ŋi	31				
翼	it	5	雞			
縊	it	1				
憶	i	53				
毅	ŋi	31				
誼	ŋi	13				
億	i	53				
義	ŋi	31				
意	i	53				
肄	i	31	～業			
逸	it	5				
異	i	31				
益	it	1				
易	it	5	交～			
易	i	53	難～			
抑	it	1	～制			
亦	it	5				
刈	i	53				
蟻	ŋi	44				
椅	i	31				
以	i	44				
已	ki	31				
乙	iet	1				
儀	ŋi	13				
遺	vi	13				
疑	ŋi	13				
移	i	13				
姨	i	13				
夷	i	13				
醫	i	44				
壹	it	1				
依	i	44				
衣	i	44				
伊	i	13				
一	it	1				
一	kau	53	～目			
靨	ŋiap	1				
業	ŋiap	5				
葉	iap	5				
液	it	5				
頁	iap	5				
夜	ia	53				
野	ia	53				
也	ia	44				
爺	ia	13				
噎	it	1				
耶	ia	44				
鷂	iau	53	紙～，風筝			
耀	iau	53				
藥	iok	5				
要	iau	44	～求			
要	iau	53	重～			
舀	iau	31	～水			
咬	ŋau	44				
謡	iau	13				
窰	iau	13				
瑤	iau	13				
搖	iau	13				
堯	ŋiau	13				
姚	iau	13				
肴	ŋau	13				
邀	iau	44				
腰	iau	44				
妖	iau	44				
吆	iau	44	～喝			
樣	ioŋ	31				
烊	ioŋ	13				
癢	ioŋ	44				
養	ioŋ	44				
仰	ŋioŋ	31	～慕			
瘍	ioŋ	13	潰～			
楊	ioŋ	13				
揚	ioŋ	13				
陽	ioŋ	13				
洋	ioŋ	13				
羊	ioŋ	13				
秧	ioŋ	44				
殃	ioŋ	44				
央	ioŋ	44				
釅	ŋiam	13				
艷	iam	31				
驗	ŋiam	31				
諺	ŋien	31				
燕	ien	53				
厭	iam	53				
焰	iam	31				
雁	ŋan	53				
硯	ien	53				
堰	ien	53				
宴	ien	53				
晏	ien	53				
魘	iam	31				
儼	ŋiam	31	～然			
演	ien	44				
眼	ŋan	31				
掩	iam	31				
鹽	iam	13				
巖	ŋam	13				
嚴	ŋiam	13				
顔	ŋan	13				
閻	iam	13				
筵	ien	13				
蜒	tʰin	13				
研	ŋan	44				
沿	ien	13				
炎	iam	13				
言	ŋien	13				
延	ien	13				
閹	iam	44				
醃	iap	1	～肉			
煙	ien	44				
淹	iam	44				
焉	ien	44				
咽	ien	53				
軋	tsat	1				
亞	a	44	～洲			
雅	ŋa	31				
啞	a	31	聾～			
衙	ŋa	13				
芽	ŋa	13				
伢	ŋa	13				
牙	ŋa	13				
壓	ap	1				
鴨	ap	1				
鴉	a	44	～片			
椏	a	44				
押	ap	1				
丫	a	44				
遜	sin	44				
馴	hiun	53				
訊	sin	31				
訓	hiun	53				
殉	sun	13				
迅	sin	31				
尋	tsʰim	13				
循	sun	13				
荀	sun	13				
巡	sun	13				
旬	sun	13				
醺	hiun	44				
曛	hiun	44				
獯	hiun	44				
薰	hiun	44				
熏	hiun	44				
勛	hiun	44				
血	ʂet	1				
雪	set	1				
學	hok	5				
穴	ʂet	5				
薛	set	1				
靴	hio	44				
削	siok	1				
鏇	sen	13				
眩	hien	13				
癬	sen	31	牛皮～			
選	sen	31				
懸	hien	13				
璿	sen	13				
旋	sen	13				
玄	hien	13				
喧	sen	44				
軒	hien	44				
宣	sen	44				
續	siuk	5				
緒	si	31				
蓄	ʂuk	1	儲～			
婿	se	53	～郎，女婿			
絮	si	53				
敘	si	31				
恤	sit	1				
序	si	31				
徐	tsʰi	13				
噓	hi	44				
需	si	44				
墟	hi	44	赴～			
須	si	44				
虛	hi	44				
戌	sut	1				
鏽	siu	53				
繡	siu	53				
嗅	ʂiu	53	～覺			
袖	tsʰiu	31				
秀	siu	53				
宿	siuk	1	～舍			
