字目	音节	声调	注释	备注		
孤	ku	44				
估	kʰu	44	～計			
購	keu	53				
構	keu	53				
夠	keu	53				
狗	keu	31				
苟	keu	31				
溝	keu	44				
鉤	keu	44				
勾	keu	44	～當			
貢	kuŋ	53				
供	kiuŋ	44	～給			
供	kiuŋ	53	～人，生小孩			
共	kʰiuŋ	31				
鞏	kiuŋ	31				
拱	kiuŋ	31	～橋			
汞	kuŋ	53				
宮	kiuŋ	44				
躬	kiuŋ	44				
蚣	kuŋ	44	蜈～			
恭	kiuŋ	44				
攻	kuŋ	44				
功	kuŋ	44				
公	kuŋ	44				
弓	kiuŋ	44				
工	kuŋ	44				
更	kaŋ	44	五～天			
更	ken	31	～加			
梗	kaŋ	31	菜～			
哽	kaŋ	31				
耿	ken	31				
羹	kaŋ	44				
耕	kaŋ	44				
庚	kaŋ	44				
跟	ken	44				
根	ken	44				
給	kip	1	供～			
個	kʰi	44				
各	kok	1				
各	tsit	1				
葛	kot	1				
閣	kok	1				
隔	kak	1				
格	kak	1				
革	ket	1				
鴿	kap	1				
擱	kok	1				
歌	ko	44				
割	kot	1				
胳	kok	1				
哥	ko	44				
戈	kʰo	44				
告	kau	53				
稿	kau	31				
搞	kau	31				
糕	kau	44				
篙	kau	44	竹～			
膏	kau	44				
羔	kau	44				
高	kau	44				
杠	koŋ	53				
港	koŋ	31				
港	hoŋ	31	～幣			
鋼	koŋ	53				
綱	koŋ	44				
崗	koŋ	44				
剛	koŋ	44				
缸	koŋ	44				
岡	koŋ	44				
干	kon	44				
干	kʰen	13	～坤			
干	kon	53	～部			
擀	kon	31				
趕	kon	31				
感	kam	31				
稈	kon	31				
敢	kam	31				
杆	kon	44				
尷	kam	44	～尬			
尷	kai	53	尬～			
竿	kon	44				
柑	kam	44				
泔	kam	44	～泔欖			
肝	kon	44				
甘	kam	44				
概	kʰai	31				
蓋	koi	53				
溉	kʰai	31				
鈣	koi	53				
丐	koi	53	乞～			
改	koi	31				
該	koi	44				
袱	fuk	5				
覆	fuk	1				
賦	fu	53				
腹	fuk	1				
富	fu	53				
復	fuk	1	～雜			
傅	fu	53				
副	fu	53				
訃	puk	1				
負	fu	53				
赴	fu	53				
附	fu	53				
付	fu	53				
父	fu	31				
撫	vu	31				
輔	pʰu	31				
腑	fu	31				
府	fu	31				
斧	pu	31				
蝠	fuk	1				
福	fuk	1				
幅	fuk	1				
符	pʰu	13				
浮	feu	13				
俘	fu	44				
服	fuk	5				
彿	fut	1				
扶	pʰu	13				
伏	fuk	5				
敷	pʰu	44				
麩	fu	44	麥～子			
孵	pʰu	31				
夫	fu	44				
否	feu	31				
佛	fut	5				
鳳	fuŋ	31				
俸	fuŋ	31				
奉	fuŋ	31				
諷	fuŋ	31				
馮	pʰuŋ	13				
豐	fuŋ	44				
鋒	fuŋ	44				
瘋	fuŋ	44				
蜂	fuŋ	44				
楓	fuŋ	44				
峰	fuŋ	44				
風	fuŋ	44				
封	fuŋ	44				
糞	pun	53				
奮	fun	31				
憤	fun	31				
墳	fun	13				
忿	fun	31				
份	fun	31				
粉	fun	31				
焚	fun	13				
紛	fun	44				
芬	fun	44				
分	fun	44	～開			
費	fi	53				
疿	pi	53				
沸	pi	53	～水，開水			
肺	pʰi	53				
吠	pʰoi	53				
翡	fi	44				
匪	fi	44				
肥	pʰi	13				
霏	fi	44				
緋	fi	44				
扉	fi	44				
飛	fi	44				
非	fi	44				
妃	fi	44				
放	foŋ	53				
放	hoŋ	53	～床，起床			
訪	foŋ	31				
紡	foŋ	31				
房	foŋ	13				
妨	foŋ	13				
防	foŋ	13				
芳	foŋ	44				
方	foŋ	44				
範	fam	31	姓			
範	fam	53	師～			
飯	fan	31				
販	fan	53				
泛	fam	53				
犯	fam	31				
反	fan	31				
繁	fan	13				
煩	fam	44				
煩	fan	13				
凡	fam	13				
翻	fan	44				
藩	fan	44				
番	pʰan	44	～禺，地名			
番	fan	44	～薯			
帆	fam	13				
法	fap	1				
罰	fat	5				
筏	fat	5				
伐	fat	5				
乏	fat	5				
廢	fi	53				
發	pot	1	～炍，一種米制食品			
發	fat	1				
貳	ŋi	31				
餌	ŋi	31				
爾	ni	44				
耳	ŋi	31				
兒	i	13				
而	lu	13	～且			
恩	en	44				
鱷	ŋok	5	～魚			
餓	ŋo	53				
鈪	ak	1	手～，手鐲			
惡	ok	1	病况～			
惡	vu	53	可～			
鄂	ŋok	5				
軛	ak	1				
扼	ak	1				
厄	ak	1				
額	ŋiak	1	～角，額頭			
鵝	ŋo	13				
蛾	ŋo	13				
娥	ŋo	13				
俄	ŋo	44				
惰	tʰo	53				
舵	tʰo	13				
躲	to	31				
朵	to	31				
鐸	tʰok	5				
奪	tʰot	5				
掇	tot	1	～東西，提，拿			
多	to	44				
頓	tun	31				
鈍	tʰun	31				
遁	tʰun	31				
盾	tʰun	31				
沌	tun	53				
蹲	tsʰun	13	～下			
礅	tun	44	石～			
燉	tun	44				
噸	tun	44				
墩	tun	44	泥～			
敦	tun	44	～厚			
對	tui	53				
碓	toi	53				
隊	tui	53				
兌	tʰui	31	～换			
堆	toi	44				
斷	tʰon	44	白			
斷	ton	53	～絶			
鍛	tʰon	31				
緞	tʰon	31				
椴	tʰon	31				
段	tʰon	31				
短	ton	31				
端	ton	44				
鍍	tʰu	53				
渡	tʰu	31				
度	tʰu	31				
妒	tu	53				
肚	tu	31	豬～；腹～			
篤	tuk	1				
堵	tu	31				
讀	tʰuk	5				
牘	tʰuk	5				
犢	tʰuk	5	牛～			
獨	tʰuk	5				
毒	tʰuk	5				
督	tuk	1				
鬥	teu	31	一～米			
鬥	teu	53				
逗	tiu	53	～留			
豆	tiu	31	地～，花生			
陡	teu	31				
抖	teu	31				
兜	teu	44				
都	tu	44				
棟	tuŋ	53				
動	tʰuŋ	31				
凍	tuŋ	53				
洞	tʰuŋ	31				
懂	tuŋ	31				
董	tuŋ	31				
東	tuŋ	44				
冬	tuŋ	44				
丟	tiu	44				
錠	tʰin	31				
訂	taŋ	31				
定	tʰin	31				
鼑	tin	31				
頂	taŋ	31				
靪	taŋ	44				
釘	taŋ	44	鐵～			
疔	taŋ	44				
丁	taŋ	44				
疊	tʰiap	5				
諜	tʰiap	5				
蝶	tʰiap	5				
碟	tʰiap	5				
牒	tʰiap	5				
跌	tet	1				
爹	tia	44				
調	tʰiau	13	～和			
調	tʰiau	53	～皮；～動			
釣	tiau	53				
掉	tiau	53				
吊	tiau	53				
雕	tiau	44				
貂	tiau	44				
刁	tiau	44				
墊	tiam	53				
殿	tʰen	31				
電	tʰen	31				
奠	tʰen	31				
店	tiam	53				
佃	tʰen	31				
點	tiam	31				
典	ten	31				
癲	ten	44				
顛	ten	44				
掂	tiam	44				
嗲	tia	31	～嬷，騷首弄姿的女孩			
遞	tʰi	31				
蒂	ti	53				
第	tʰi	31				
娣	tʰai	44	人名			
帝	ti	53				
弟	tʰai	44	白			
弟	tʰi	31				
地	tʰi	31				
底	tai	31				
抵	ti	31				
糴	tʰak	5				
敵	tʰit	5				
嫡	tit	1				
滌	tʰit	1				
狄	tʰit	5				
滴	tit	1				
堤	tʰi	13				
低	tai	44				
鐙	ten	53				
櫈	ten	53				
瞪	ten	44	～眼			
鄧	tʰen	31				
凳	ten	53				
等	ten	31				
燈	ten	44				
登	ten	44				
扽	tun	31				
的	tit	1				
德	tet	1				
得	tet	1				
稻	tʰau	44				
盜	tʰau	31				
道	tʰau	31				
到	tau	53				
禱	tau	31	～告			
導	tʰau	53				
島	tau	31				
倒	tau	31	顛～；水			
叨	tau	44	嘮～			
刀	tau	44				
蕩	tʰoŋ	31	放～			
黨	toŋ	31				
擋	toŋ	31	阻～			
當	toŋ	44	～時			
當	toŋ	53				
彈	tʰan	13	～琴			
誕	tan	53				
蛋	tʰan	31				
淡	tʰam	44	咸～			
淡	tʰam	31	～水，地名			
但	tan	53				
旦	tan	53				
膽	tam	31				
擔	tam	44	～任，～挑擔			
擔	tam	31				
撣	tʰan	31				
單	tan	44	～獨			
單	hien	53	姓			
耽	tam	44				
戴	tai	53				
貸	tʰoi	31				
袋	tʰoi	31				
帶	tai	53				
怠	tʰoi	31				
待	tʰoi	31				
殆	tʰoi	31				
代	tʰoi	31				
呆	tai	44	文			
呆	ŋoi	13	白			
大	tʰai	31				
打	ta	31				
答	tap	1				
達	tʰat	5				
搭	tap	1				
錯	tsʰok	1				
錯	tsʰo	53	～誤			
銼	tsʰo	53				
措	tsʰɿ	53				
挫	tsʰo	13				
撮	tsot	1	一～米，小堆			
搓	tsʰai	44	～衫，揉洗衣服			
寸	tsʰun	53				
存	tsʰun	13				
村	tsʰun	44				
翠	tsʰi	53				
粹	tsʰui	53	純～			
脆	tsʰoi	53				
催	tsʰi	44				
竄	tʂʰon	53				
篡	tsʰon	53	～改			
汆	tsʰon	44	～湯，煮湯			
醋	tsʰɿ	53				
猝	tsut	1	倉～			
促	tsʰək	1				
粗	tsʰɿ	44				
湊	tsʰeu	53				
叢	tsʰəŋ	13				
從	tsəŋ	53	～容			
聰	tsəŋ	53				
蔥	tsəŋ	53				
匆	tsəŋ	53				
次	tsʰɿ	53				
此	tsʰɿ	31				
辭	tsʰɿ	13				
糍	tsʰi	13	～巴			
磁	tsʰɿ	13				
慈	tsʰɿ	13				
詞	tsʰɿ	13				
瓷	tsʰɿ	13				
祠	tsʰɿ	13				
戳	tsʰok	5	郵～			
蠢	tʂʰun	31				
醇	ʂun	13				
蒓	ʂun	13				
淳	ʂun	13				
純	ʂun	13				
唇	ʂun	13				
椿	tʂʰun	44	～樹			
春	tʂʰun	44				
槌	tʂʰui	13	鼓～			
棰	tʂʰui	13				
垂	ʂui	13				
炊	tʂʰui	44				
吹	tʂʰui	44				
創	tsʰoŋ	31				
闖	tsʰoŋ	31				
床	tsʰoŋ	13				
瘡	tsʰoŋ	44				
窗	tsəŋ	53				
串	tʂʰon	53				
喘	tʂʰon	31				
篅	tʂʰon	31				
傳	tʂʰon	31	～記			
傳	tʂʰon	13				
船	ʂon	13				
穿	tʂʰon	44				
川	tʂʰon	44				
處	tʂʰu	53	相～，～所			
畜	ʂuk	1	～牧			
亍	tsʰok	1	彳～，散步			
儲	ʂu	13	～蓄			
褚	ʂu	13	姓			
楚	tsʰɿ	31				
廚	tʂʰu	13				
鋤	tsʰo	13				
除	tʂʰu	13				
初	tsʰo	44				
臭	tsʰu	53				
醜	tsʰiu	31				
籌	tsʰu	13				
綢	tsʰu	13				
愁	seu	13				
稠	tsʰu	13				
酬	tsʰu	13				
仇	kʰiu	13	姓			
仇	tsʰiu	13				
抽	tsʰiu	44				
銃	uŋ	53	放～，開槍			
寵	uŋ	31				
蟲	tʂʰuŋ	13				
崇	tsʰəŋ	13				
舂	tʂuŋ	44	～米			
沖	tʂʰuŋ	44				
充	tʂʰuŋ	44				
彳	tsʰit	1	～亍，散步			
齒	tʂʰi	31				
豉	hi	31	豆～			
恥	tʂʰi	31				
侈	tʂʰi	44	奢～			
遲	tʂʰi	13				
馳	tʂʰi	13				
持	tʂʰi	13				
池	tʂʰi	13				
癡	tʂʰi	44				
秤	tʂʰin	53				
逞	tʂʰin	31				
懲	tʂin	31				
橙	tʂʰaŋ	13				
澄	tʂʰaŋ	13				
程	tʂʰaŋ	13	姓			
乖	kai	44				
乘	ʂin	53				
城	ʂaŋ	44				
承	ʂin	13				
丞	ʂin	13				
成	tʂʰin	13				
撐	tsʰaŋ	31	吃得太飽			
撐	tsʰaŋ	53	～船			
稱	tʂʰin	44	～呼			
稱	tʂʰin	53				
趁	tʂʰin	53				
塵	tʂʰin	13				
晨	ʂin	13				
陳	tʂʰin	13				
沉	tʂʰim	13				
辰	ʂin	13				
臣	tʂʰin	13				
琛	tʂʰim	44				
扯	tʂʰa	31	～布			
車	ki	44	～馬砲			
車	tʂʰa	44	馬～			
炒	tsʰau	31				
吵	tsʰau	13				
潮	tʂʰau	13				
朝	tʂau	44	食～，吃早飯			
朝	tʂʰau	13	～代			
巢	tsʰau	13				
鈔	tsʰau	44				
超	tʂʰau	44				
抄	tsʰau	44				
暢	tʂʰoŋ	31				
唱	tʂʰoŋ	53				
倡	tʂʰoŋ	53	～議			
厰	tʂʰoŋ	31				
敞	tʂʰoŋ	31				
償	ʂoŋ	13				
嘗	ʂoŋ	13				
腸	tʂʰoŋ	13				
場	tʂʰoŋ	13				
常	ʂoŋ	13				
長	tʂoŋ	31	生～			
長	tʂʰoŋ	13	～短			
娼	tʂʰoŋ	44				
菖	tʂʰoŋ	44				
昌	tʂʰoŋ	44				
顫	tʂen	53	冷～			
鏟	tsʰan	31				
產	san	31				
纏	tsʰen	13				
蟾	hiam	13				
蟬	ʂam	13				
禪	ʂam	13	～讓			
攙	tsʰam	44				
豺	tsʰai	13				
柴	tsʰai	13				
釵	tsʰai	44				
拆	tsʰak	1	～開			
詫	tʰok	1				
差	tsʰai	44	出～			
岔	tsʰa	44				
察	tsʰat	1				
搽	tsʰa	13				
查	tsʰa	13				
茶	tsʰa	13				
插	tsʰap	1				
杈	tsʰa	44				
叉	tsʰa	44				
蹭	tsen	53				
層	tsʰen	13				
曾	tsen	44	姓			
曾	tsʰen	13	～經			
岑	tsʰem	13				
測	tsʰet	1				
策	tsʰet	1				
側	tset	1				
冊	tsʰak	1				
騲	tsʰau	31				
草	tsʰau	31				
槽	tsʰau	13	水～			
曹	tsʰau	13				
糙	tsʰau	53				
操	tsʰau	44	～作			
藏	tsʰoŋ	13	隱～；西～			
滄	tsʰoŋ	44				
蒼	tsʰoŋ	44				
倉	tsʰoŋ	44				
燦	tsʰan	53				
慘	tsʰam	31				
蠶	tsʰam	13				
慚	tsʰam	31				
殘	tsʰan	13				
餐	tsʰon	44				
參	tsʰam	44	～差；一加			
參	sam	44				
蔡	tsʰai	53				
菜	tsʰoi	53				
睬	tsʰai	31				
彩	tsʰai	31				
采	tsʰai	31				
裁	tsʰai	13				
財	tu	31				
財	tsʰoi	13				
材	tsʰoi	13				
才	tsʰai	13				
猜	tsʰai	44				
擦	tsʰat	1				
簿	pʰu	44				
埠	feu	31				
部	pʰu	53				
怖	pu	53				
步	pʰu	31				
布	pu	53				
不	put	1				
補	pu	31				
捕	pʰu	31				
蔔	puk	1				
簸	poi	53	～箕			
駁	pok	1				
鈸	pat	1				
博	pok	1				
勃	pʰut	5				
泊	pʰok	1				
帛	pok	1				
伯	pak	1				
餑	pʰut	5				
播	po	53				
缽	pat	1				
菠	po	44				
剝	pok	1				
玻	po	44				
波	po	44				
病	pʰiaŋ	31				
並	pun	53				
餅	piaŋ	31				
稟	pun	31				
炳	piaŋ	31				
柄	piaŋ	53				
秉	pun	31				
丙	piaŋ	31				
兵	pun	44				
冰	pen	44				
鬢	pun	44				
殯	pun	44				
檳	pun	44	～榔			
賓	pun	44				
彬	pun	44				
別	pʰet	5				
鱉	pet	1				
憋	pet	1				
鰾	pʰiau	53	魚～			
裱	piau	31				
表	piau	44				
表	piau	31				
膘	piau	44				
標	pʰiau	44				
彪	pʰiau	44				
變	pen	53				
辯	pʰen	31				
辮	pen	44				
辨	pʰen	31				
遍	pen	53				
便	pʰen	44	～宜			
便	pʰen	31	大～			
便	pʰen	53	方～			
匾	pen	31				
扁	pen	31				
邊	pen	44				
鞭	pen	44				
編	pʰen	44				
蝙	pen	31				
臂	pi	31				
斃	pi	53				
避	pʰut	1				
壁	piak	1				
幣	pi	53				
弊	pi	53				
箅	pi	53				
蔽	pi	53				
碧	put	1				
痹	pi	44	麻～			
蓖	pi	44	～麻			
弼	pʰet	1				
婢	pi	44				
閉	pi	53				
畢	put	1				
必	put	1				
鄙	pʰi	31				
筆	put	1				
俾	pi	44				
彼	pi	31				
比	pi	31				
鼻	pʰi	31				
逼	pet	1				
迸	pun	53	～裂			
泵	paŋ	44	水～			
崩	pen	44				
笨	pun	53				
本	pun	31				
錛	pun	44				
奔	pun	44				
輩	pi	53				
備	pʰi	31				
被	pʰi	44	棉～			
倍	pʰi	31				
背	pʰoi	31				
背	poi	53				
貝	pi	53				
北	pet	1				
碑	pi	44				
悲	pi	44				
卑	pi	44				
杯	pi	44				
爆	pʰau	53				
鮑	pau	44	性			
暴	pʰau	31				
報	pau	53				
豹	pau	53				
抱	pʰau	31				
寶	pau	31				
飽	pau	31				
堡	pau	31				
保	pau	31				
薄	pʰok	5				
雹	pʰok	5				
褒	pau	44	～獎			
煲	pau	44				
胞	pau	44				
包	pau	44				
謗	poŋ	31				
謗	ti	53				
磅	poŋ	31	地～			
傍	pʰoŋ	13				
棒	puŋ	31				
蚌	poŋ	53				
榜	poŋ	31				
綁	poŋ	31				
幫	poŋ	44				
浜	paŋ	44				
邦	paŋ	44				
扮	pʰan	31				
瓣	pʰan	53				
辦	pʰan	31				
絆	pʰan	31				
拌	pʰan	31				
伴	pʰan	31				
半	pan	53				
版	pan	31				
板	pan	44				
板	pan	31				
頒	pan	44				
搬	pan	44				
斑	pan	44				
般	pan	44				
班	pan	44				
稗	pʰai	31				
敗	pʰai	31				
拜	pai	53				
擺	pai	31				
柏	pak	1				
佰	pak	1				
百	pak	1				
白	pʰak	5				
欛	pa	53				
壩	pa	53	三河～，地名			
霸	pa	53				
罷	pʰa	31				
爸	pa	44				
把	pa	31				
拔	pʰat	5				
拔	pat	1				
疤	pa	44				
芭	pa	44				
扒	pʰa	44				
巴	pa	44				
八	pat	1				
懊	au	53	～惱			
澳	au	53				
傲	ŋau	31				
坳	au	53	山～			
襖	au	31				
熬	ŋau	13				
昂	ŋoŋ	44				
肮	oŋ	44				
暗	am	53				
案	on	53				
按	on	53				
岸	ŋam	31				
揞	em	44	用手覆蓋			
盦	am	31	～～僕，俯臥			
鞍	on	44	馬～			
庵	am	44				
氨	on	44	～水			
桉	on	53	～樹			
安	on	44				
礙	ŋoi	53				
愛	oi	53				
隘	ai	53				
艾	ŋioi	53				
藹	ai	53	和～			
矮	ai	31				
挨	ai	44	～打			
埃	ai	44	～及			
哀	oi	44				
阿	a	44	～膠；～哥			
䦆	kiok	1	～頭，鋤頭			
㧐	səŋ	31	推			
□	piau	44	跳			
𠜱	pʰai	44	～果皮，削			
□	tem	44	～～mil，悄悄的			
□	tsʰem	44	～衫，將上衣束進褲腰			
喊	hem	44	叫喊			
□	ŋam	44	～頭，碰頭			
□	lam	44	炭～裝炭的竹筐			
□	au	44	～人，冤枉人			
□	pak	5	～煙，抽煙			
□	pʰuk	5	～人，捉迷藏			
□	tat	5	～人，騙人			
□	tʰep	5	撳～，撳結實			
□	kat	5	～咸，太咸			
□	kʰak	5	～人，掐人			
□	tsiak	5	打～，與小子玩的一種游戲			
蚻	tsʰat	5	黄～，蟑螂			
□	sep	5	～等來，蓋好			
核	hak	5	～卵，睾丸			
□	et	5	～tuk7，飽嗝			
□	tat	1	～粉，米粉			
□	tʰak	1	～東西，綁東西			
□	kiuk	1	～豬，趕			
□	fak	1	～手～脚，手足舞蹈			
□	vak	1	～東西，用竹竿勾取東西			
□	tsak	1	～死人，砸死人			
□	tsʰiuk	1	～人，刺傷人			
□	sak	1	瓦～，瓦礫			
□	mak	1	～地豆，剥花生			
□	nak	1	～倒腰，扭傷了腰			
□	ŋiap	1	～衫袖，卷衣袖			
□	lok	1	～食，乞討			
□	iok	1	～奶，小子嘔乳			
□	poi	31	～倒脚，扭傷脚			
□	pʰuŋ	31	～～i1知。稍爲知道一點			
□	tem	31	～脚，跺			
□	kem	31	目～～，眼皮低垂，無精打採			
□	kʰan	31	～大肚，懷孕			
□	faŋ	31	～ta，喻做事不穩當			
□	vo	31	～你去，叫你去			
□	tsan	31	舒服			
□	tsʰeu	31	～水，加水			
□	ʂaŋ	31	～人，在别人面前炫耀			
□	nem	31	～水，淫雨			
□	ŋien	31	～脚，治脚扭傷			
□	oŋ	31	～人，擋人			
□	pai	13	～脚			
□	toŋ	13	～～tintin，掛著的東西擺來擺去			
□	kem	13	～蓋，蓋蓋子			
□	kʰiau	13	～人，小子纏人			
□	fun	13	頭～，頭暈			
□	tsiau	13	阿～li孩的别稱			
□	tsʰoi	13	～人，打人			
□	sai	13	肚～，油水少			
□	hoi	13	頭皮～，頭皮癢			
□	mau	13	無			
□	naŋ	13	脚～a1，小腿			
□	ŋau	13	～嘴，歪嘴			
□	piaŋ	53	藏			
冇	pʰaŋ	53	～話，大話			
□	tem	53	笨			
□	tʰen	53	～手，幫忙			
□	kʰeu	53	叩～頭			
□	fun	53	～手，甩手			
□	vun	53	～牛，把牛關在牛棚			
□	tsaŋ	53	～力，用力			
□	tsʰan	53	～頭，調皮			
□	tʂen	53	～你；打你			
□	tʂʰim	53	～水，打水			
□	heu	53	～桌，拼，套			
□	maŋ	53	～i3，一種浮在水面的小生物，或供雞，鴨，金魚等吃			
□	naŋ	53	～倒人，踩到人			
□	ŋam	53	山～下；山脚			
□	laŋ	53	光滑，好			
□	piaŋ	44	～東西，摔東西			
□	piaŋ	44	揍			
□	pu	44	下來，蹲下			
□	pʰaŋ	44	～氣球，吹氣球			
□	tiam	44	提			
□	tiam	44	慢			
□	tin	44	～～nil轉，轉來轉去			
□	ki	44	茶～			
□	kiu	44	～正			
□	fan	44	幾～			
□	tsʰiam	44	～豬，殺豬			
□	tsʰin	44	～密			
□	sem	44	人～			
□	hiam	44	尿～，尿味			
□	hio	44	巴掌～，打巴掌			
□	ho	44	～～kaplkapl，狼吞虎咽			
□	ŋa	44	～東西，我的東西			
□	ŋio	44	～皺，揉皺			
□	lan	44	～丫，一種小孩用的圍頸布			
□	lau	44	～糠飯，拌			
□	lin	44	～～tsʰin tsʰin，趔趄			
□	io	44	～，肚皮大			
□	oi	44	爺～，父母			
□	pat	5	用布類拍打			
□	pok	5	～丸，錘肉丸			
□	ket	5	～～tiau5，說個不停			
□	kit	5	～～tiau5，冷得打抖			
□	kʰat	5	～倒脚，夾傷了脚			
□	kʰet	5	～羹，煮米糊			
□	tsip	5	～ti3ti1，喝一點			
□	tsʰut	5	～净來，抹干净			
□	sok	5	～脆：很脆			
□	sot	5	唔～，不理你			
□	ʂit	5	月～			
□	tok	1	～等來，等著接東西			
□	tuk	1	～目睡，打瞌睡			
□	fit	1	～東西，扔			
□	tsep	1	一～米，一把米			
□	tsʰot	1	～人，騙人			
□	siap	1	～桌，墊			
□	tʂit	1	～有			
□	mut	1	腐爛			
□	nat	1	～人，燙人			
□	ŋiap	1	車胎～，車胎没氣			
□	ŋiap	1	～酒			
□	ŋok	1	不好，差勁			
□	lut	1	～褲，脱褲			
□	toi	31	～錢，較大數量的錢			
□	kiam	31	～東西			
□	kʰiaŋ	31	～錢，省錢			
□	kʰoi	31	肚～，肚子餓			
□	tsia	31	～婆，姥姥			
□	tsui	31	雞～食，啄食			
□	tsʰoi	31	好～，好運			
□	ʂoŋ	31	～燈			
□	noŋ	31	～et7ti5，浪費			
□	ŋioŋ	31	～豆腐			
□	tin	13	～～tintin，水、油等往下滴			
□	ku	13	～脈個，說什么，貶義			
□	siu	13	脚～，酸疼			
□	ʂam	13	～宗			
□	men	13	爛了			
□	mioŋ	13	～i1，芒草			
□	nem	13	軟熱			
□	neu	13	粥～；粥稠			
□	nuŋ	13	～～i1行，喻小孩學走路的樣子			
□	pʰiau	53	～洗			
□	ton	53	階梯的級			
□	toŋ	53	～唔得，比不上			
□	tun	53	針～倒人，針刺傷人			
□	tin	53	tin2tin2～～			
□	kʰe	53	～哥，情人，貶義			
□	tsiaŋ	53	倒			
□	tson	53	～石			
□	tʂon	53	倒塌			
□	ŋa	53	牙牙～～，小孩哭聲，吵鬧聲			
□	ŋoŋ	53	～牯，傻子			
□	len	53	～磚，做泥磚的一道工序			
□	leu	53	～雞，叫雞吃食			
□	liam	53	量詞			
□	lon	53	雞～，小母雞			
