来源：	王琳 2015 《祁门箬坑方言研究》
∅	［1］于{介词}淤吁迂［2］如鱼渔余{姓～}余{～粮}儒愚虞娱于{姓}盂榆逾愉愈喻围-□{～蚣：蜈蚣}［3］女汝语与乳寓雨宇禹羽［6］御{～赐，驾～}御{防～，～寒}誉预豫遇芋裕玉妪［7］郁慰
#ᴀ	
p	［3］摆罢把{（又）；做～戏}［5］拜□{tsɿ3～：可能}［7］百柏伯檗爸
pʰ	［2］排牌簰琶杷［5］派［6］败白帛［7］帕泊{梁山～，停～}迫拍魄□{手～：小臂；脚～：小腿；猪脚～：猪蹄}□{连疮～}
m	［1］妈［2］埋［3］买［6］迈卖陌麦脉□{小～指：小拇指}［7］擘没{（又）}□{动词，折}
v	［1］歪［6］外{（又）；～孙，～头}
t	［3］打［5］戴带{～物：带东西}［6］□{～～：父亲}［7］□{一～：两臂平伸的长度}
tʰ	［5］态太泰［6］大{～小}大{～黄：药名}
n	［1］拉挪□{十～日：十几天}［3］哪乃［6］耐奈赖癞络-{～腮胡}
ts	［1］灾栽［3］宰□{万～：一万响的鞭炮}［5］载{年～}载{～重}载{满～}再
tsʰ	［1］猜［2］才{天～}才{刚～}材财裁□{剁}［3］彩采睬在{（又）；现～}［5］菜蔡［7］萨
s	［1］傻腮鳃［3］洒{潇～}耍［5］赛［7］撒洒{～水}
tʃ	［1］斋骄娇矫浇蛟［3］者缴饺绞蚱□{kɔ1～蚂：一种昆虫}□{嚼}［5］债寨叫［7］摘责□{～来个：抱养的继子}夹{（又）}
tʃʰ	［1］差{出～}［2］乔侨桥荞□{高～：高跷}［3］巧踩［5］窍［6］轿泽择宅［7］坼拆策册斥
ʃ	［1］筛枵□｛薄｝［2］豺柴□{～kᴀ5：哪一个、谁}［3］淆侥晓［5］晒［7］䅴{麦～：麦穗}
k	［1］皆阶{台～}谐佳街阶{～级}家-{男人～}［3］解{讲～，～开}解{理～}［5］介界芥尬疥届戒械个{（又）}□{ʃᴀ2～：哪一个、谁}□{动词，锯}［7］格革隔角{额～前}□{生意清淡}□{～不几多：差不多；坏}□{i5～：现在}
kʰ	［1］揩［3］咳楷［6］□{～一下：等一会儿}［7］客
ŋ	［1］挨{轮流：～人值班}［2］埃涯崖挨{～打}［3］矮［6］艾额外{～公}［7］扼轭
x	［1］哈［2］孩鞋解{姓}何{（又）；～一个：哪一个、谁}［5］□{夜～郎：巫婆}［6］懈［7］吓{～一跳，恐～}骇核{～心}核{审～}赫郝
∅	［3］我{（又）}
#iᴀ	
∅	［1］妖邀腰要{～求}幺{一}□{～pɔ̃ːɐ1：搂抱}［2］肴饶摇谣窑姚尧［3］扰绕{围～，～线}舀［5］要{想～，重～}［6］鹞曰
#uᴀ	
k	［1］乖-［3］拐{～骗}拐{～弯}［5］刽桧怪
kʰ	［2］□{咬}［3］侉垮蒯夸{浮～}［5］块会{～计}快筷［6］跨
x	［2］怀槐淮［6］坏［7］□{扔、丢弃}
#ɛ	
p	［1］杯［5］辈背{～书包}［7］不
pʰ	［1］胚坯丕［2］培陪赔裴［3］剖［5］沛杮配［6］倍佩背{～课文}焙勃渤［7］匹{一～布}僻辟劈{天打雷～}□{～地：松土}
m	［2］梅枚媒煤霉□{阳～斜斜个地：坡地}［3］每［6］妹昧寐没{（又）}物-{～什：东西}
f	［6］佛{～经}［7］佛{仿～}
v	［1］哀煨［3］蔼［5］爱隘［6］吻物={～理}勿
t	［1］呆{发～}［7］得德
tʰ	［3］在{（又）；～不～}抬=［6］特笛敌狄
n	［2］来莱崃［6］历{经～}历{日～}［7］肋勒
ts	［7］则即鲫积迹脊绩
tsʰ	［3］在{（又）}［6］贼［7］厕缉辑侧=戚寂
s	［6］籍藉{狼～}席夕［7］息熄媳惜昔锡析
tʃ	［7］只{一～鸡}炙{～火：烤火}
tʃʰ	［7］测赤尺
ʃ	［6］石［7］色
k	［1］□{打～：打饱嗝}
kʰ	［7］刻{时～}刻{雕～}克吃
ŋ	［1］呆{～板}［6］碍
x	［1］□{揍}［7］黑
#uɛ	
k	［1］该乖={～～}［3］改［5］盖丐［7］合{十～一升}鸽骨国
kʰ	［1］开盔魁［3］凯慨［5］概溉［7］窟{麻子～：麻子}
x	［1］恢灰□{～～孙：曾孙}［2］回茴［3］海亥［5］悔晦［6］害贿汇{～钱}汇{词～}会{开～}会{～不～}绘或盒{烟～}［7］豁忽惑□{～汤：舀汤}
#ɔ	
p	［1］波菠坡玻包胞苞［3］跛褒保堡宝饱［5］簸{～一～，～箕}报豹［7］钵拨{挑～}博剥驳脖暴{（又）；搉～栗子：打栗暴}
pʰ	［1］抛□{～呐：桑葚、野草莓}［2］婆袍跑［3］颇抱鲍［5］破爆炮泡鳔曝瀑［6］薄{～荷}薄{厚～}暴{（又）}刨{～子}雹箔［7］拨{～款}泼
m	［1］摸摩猫=□{手～：手套}［2］魔磨{～豆腐}馍毛茅矛嫲［3］卯［5］□{腻：～人家}［6］磨{一副～}冒帽貌莫□{打哈～：打哈欠}么［7］膜幕寞
t	［1］刀叨［3］朵{耳～眼}躲垛祷岛倒{打～}［5］剁到倒{～水，颠～}［7］沰□{放、摆、搁}□{i5～：这里}□{～肥料：施肥}
tʰ	［1］拖滔掏涛［2］驼驮舵桃逃淘陶萄［3］讨道-沓□{摞}［5］套［3］惰道=稻盗导［7］托{拜～}托{～盘}铎
n	［1］摞捞唠啰□{kʰoːɐ5～：裆}［2］罗锣箩骡螺脶裸劳牢涝={水～}萝□{～楂：山楂}［3］脑恼老佬［5］涝-{粥～：稀饭稀}［6］那{（又）}糯闹落烙骆酪洛络={网～}乐{快～}乐{音～}□{揉}［7］□{山坞～里：偏僻的村}
ts	［1］遭糟［3］左佐早枣蚤澡走［5］做灶［7］作
tsʰ	［1］搓操{体～}□{往下滑}［2］曹槽巢［3］坐草皂□{～饼：髻}［5］锉躁操{曹～}糙造错{～误，交～}［6］座昨［7］凿
s	［1］蓑梭唆骚臊潲［3］锁琐嫂叟［5］扫{～地}扫{～帚}嗽［7］索
tʃ	［1］笊鹐啄□{～～毛：刘海儿}□{拖磨～：磨把儿}□{tʃʰᴇn5额～：奔儿头}［3］找爪［5］罩［7］着{穿～}酌桌卓琢捉斫□{～鱼：鳖}
tʃʰ	［1］抄剿锹［3］炒吵［5］钞［3］镯［7］却涿戳□{帽～：帽檐}
ʃ	［1］梢捎［3］勺［7］朔缩芍
k	［1］歌哥{（又）}戈高膏篙羔糕交郊胶狡铰□{～tʃᴀ3蚂：一种昆虫}［3］稿搅搞［5］个{（又）}告教校{～对}校{学～}校{上～}较窖觉{睡～}珓［7］各阁搁胳角□{～气：拔火罐儿}□{～食：积滞}
kʰ	［1］犒敲拷［3］可考［5］靠［7］磕扩确搉壳
ŋ	［1］□{～子：疯子、傻子}□{～头：抬头}［2］蛾鹅俄熬爊鳌□｛～楼：房子上防火的马头｝［3］我{（又）}袄咬［5］卧懊奥坳怄粤澳［6］饿傲鄂岳{山～}岳{～父}乐{音～}［7］恶
x	［1］蒿呵□{～～：一点点}［2］豪壕毫［3］好□{那～：那么}［5］好耗孝［6］号{呼～}号{几月几～}浩酵效学［7］霍藿
#ɚ	
∅	［2］儿而［3］尔耳饵［6］二贰
#oːɐ	
p	［1］巴芭疤□{老虎～猪：一种游戏}［3］把｛（又）｝［5］霸坝□{爬}［7］八
pʰ	［2］爬钯扒［5］怕［6］稗拔钹
m	［2］麻{苎～}痳蟆□{～了：黄昏}［3］马码蚂麻{～将}晚-{～娘：继母}［6］骂末沫袜［7］抹
t	［1］多［7］答搭褡□{～钢：钢刀}
tʰ	［1］他［3］妥［6］达夺踏［7］搨塔榻塌掇脱突秃遢托{摩～}
n	［5］□{迈}［6］纳捺辣癞捋蜡［7］腊邋
tsʰ	［6］杂［7］擦
tʃ	［1］楂渣抓朝{今～}昭招沼诏［3］炸抓{～痒}［5］诈榨炸{～弹}乍照柞□{不～：不行、不顶事、不好}［7］札扎闸轧铡脚
tʃʰ	［1］叉杈差{～别，～不多}钗超［2］茶搽查{调～}朝潮茬［3］赵兆［5］岔［6］召［7］插{～秧}恰獭察绰着{睏～}□{火～：火}
ʃ	［1］莎沙纱痧烧栅□{～牛：母牛}［2］韶［3］少{多～}□{〈是我〉，第一人称代词}［5］少{～年}［6］绍邵煠［7］刷杀
k	［1］家加痂枷嘉稼□{大tʃɔ̃ːɐ1～：麻疹}□{tʃʰᴀ̃2～龙标坟：清明节前后狂风暴雨加冰雹}［3］假{真～}假{放～}贾［5］架驾嫁价［7］眨夹甲胛挟荚
kʰ	［1］□{～倒拳头：攥着拳头}［2］□{压}［3］拤［5］□{～nɔ1：裆}［6］□{手指～：手指缝儿；大腿～：大腿根}［7］掐
ŋ	［1］鸦丫桠［2］牙芽衙伢蚜［3］雅哑瓦［6］讹亚□{～骨：胯骨}［7］鸭压押
x	［1］虾□{～火：拨火}［2］霞瑕遐暇［3］下{底～，～来}［6］厦夏蟹合盒狭峡辖下{打了一～}［7］瞎
#ioɐ	
∅	［1］吆［5］耀［6］诺若弱匿钥箬［7］约疟虐跃药
#eːɐ	
p	［1］膘标彪［3］表
pʰ	［1］飘［2］瓢嫖薸［3］漂{～白}［5］票漂{～亮}
m	［2］锚苗描□{～雀：麻雀}［3］杪藐渺秒［6］庙妙杳谬{（又）}［7］猫
t	［1］刁貂雕叼□{水～：舀水的勺子}［5］钓吊掉调{～动}
tʰ	［1］挑□{舌～：舌头}□{量词，一～墨}［2］条调{～和}［5］跳粜［6］调{音～}
n	［2］燎疗聊辽撩瞭獠［3］鸟了［6］寥料略掠廖
ts	［1］焦蕉椒［5］醮［7］爵
tsʰ	［2］樵瞧［5］俏鞘［6］嚼
s	［1］稍消宵霄硝销嚣萧箫屑［3］小［5］笑
#iːɐ	
p	［3］毙［7］瘪鳖憋壁{～虎}
pʰ	［1］批鐾［6］篦［7］别撇劈{～杮：劈柴火}
m	［6］灭蔑
t	［1］爹低［3］底抵［5］帝［7］跌
tʰ	［1］梯□{舌～：舌苔}［2］堤题提蹄啼［3］体弟□{春～花：杜鹃花}［5］剃屉［6］替涕第递隶迭碟牒蝶谍［7］帖贴铁□{ȵiᴇn2～：脾}
n	［2］犁泥尼［3］礼［5］腻［6］例丽荔猎列烈裂
ts	［1］□{～田：插秧}［3］姐挤［5］借祭际济剂［7］蔗穄接节
tsʰ	［1］妻栖［2］齐脐荠［3］且［5］砌［6］谢［7］妾捷切截
s	［1］些西犀［2］邪斜［3］写洗玺［5］泻卸细婿泄
tɕ	［1］遮鸡□{盐～菜：一种蔬菜}［5］制计{（又）}继系{～鞋带}［7］髻折劫怯哲辙浙揭结洁羯□{馃～：箅子}摺
tɕʰ	［1］车溪奚［2］茄携□{提}□{～炉：烘篮}［3］扯启［5］契［6］舌杰极［7］彻撤讫乞
ȵ	［2］倪［3］逆
ɕ	［1］奢赊［2］蛇［3］舍社鳝［5］世势［6］射麝誓逝系协袭涉胁［7］赦设歇蝎胁{～下：腋窝}折{～本}
∅	［2］耶爷阎［3］惹也野［6］夜叶页业热亦［7］缢聂镊蹑摄靥孽捏益译液腋翼?{鼻子～：鼻翅儿}
#uːɐ	
f	［6］乏伐筏罚［7］法发{头～}发{～射}□{唾～：唾沫}
v	［1］阿窝蜗剐蛙洼剜屙莴滑{～溜}［2］禾和{～尚}［5］□{凹}［6］话活［7］挖
k	［1］锅瓜哥{八～}□{被～：被子}［3］果裹馃寡［5］过挂卦［7］割葛括聒刮郭廓
kʰ	［1］科窠棵颗夸［5］课［7］渴阔
x	［1］花［2］荷河何{（又）}和{～气，～面}华铧划桦□{～子：小船}［3］火伙祸［5］化［6］贺货画滑猾划{计～}［7］喝堨
#yːɐ	
t	［1］堆［3］□{～下来：包圆儿}［5］对碓兑［6］队［7］□{咬：猪～人}
tʰ	［1］胎殆推［2］台苔抬［3］待怠腿［5］退褪［6］贷代袋
n	［2］雷［3］儡垒［6］内［7］劣垃
ts	［5］赘最
tsʰ	［1］催崔［3］罪［5］脆［6］绝
s	［5］碎岁□{鸡～：鸡窝}［7］薛屑雪圾
tʃ	［3］□{生包～：长疔}［5］桂-{～花}［7］拙厥憠掘橛决诀倔□{～衫袖：卷起袖子}
tʃʰ	［2］□{蹲}［6］术{白～}［7］缺屈
ʃ	［1］靴衰［5］税帅［6］穴［7］说血恤
ȵ	［7］芮
∅	［6］锐悦阅月越域疫役
#iu	
m	［2］谋［3］某牡［6］茂贸谬
f	［3］否
t	［1］兜丢［3］斗抖陡［5］斗
tʰ	［1］偷［2］头投［3］敨［5］唾透［6］豆逗
n	［1］溜［2］楼流刘留榴=硫琉馏浏□{～蜂：马蜂}［3］缕篓柳［5］□{一种戒指，较小，无花纹}［6］漏陋六陆绿录
ts	［1］邹［3］酒［5］奏皱绉［7］足
tsʰ	［1］秋□{～猪：母猪的统称}鳅［2］囚泅愁［5］凑□{～呐：痱子}［6］就袖
s	［1］修羞飕［5］秀绣锈［6］续俗赎［7］宿削肃粟
tɕ	［1］勾钩沟周舟州洲鸠阄纠［3］狗苟帚九久韭［5］够构购昼咒灸救究柩［7］菊
tɕʰ	［1］抠抽丘［2］绸稠筹仇酬求球□{～筋：抽筋}［3］口丑纣臼舅［5］扣寇臭［6］宙售旧局［7］曲
ɕ	［1］馊搜收休□{～～：瘊子}□{～水：往田里放水}［2］侯喉猴［3］后厚手首守受朽［5］瘦兽授［6］候寿［7］蓄
∅	［1］欧瓯呕殴忧优悠幽［2］柔揉牛尤邮由油游犹蚰［3］藕偶纽扭有友酉［5］诱柚［6］又右佑釉肉辱褥狱浴幼□{青～：青苔}［7］育欲□{打～：打嗝}
#ui	
k	［1］圭闺规龟归［3］诡鬼轨［5］贵鳜桂={～林}
kʰ	［1］亏窥［2］奎逵葵=［3］傀［5］溃愧
x	［1］挥辉徽［3］毁［5］惠慧［7］□{～秋千：荡秋千}
#ᴀ̃	
p	［1］奔锛逩崩冰畚［3］本丙秉［5］笨柄
pʰ	［2］盆凭彭膨平坪评萍［3］并-［5］聘［6］病
m	［1］□{牛～：牛虻}［2］门萌鸣明盟名铭蚊-［3］么{（又）}□{～样：怎么}［5］□{没}［6］孟命□{mᴀ̃3～：什么}□{tᴀ̃1～tʃʰɔ̃ːɐ2：杉针}
f	［1］分芬纷［2］焚坟［3］粉［5］□{喷}粪奋愤忿［6］份□{～树：种树}
v	［2］文{（又）}
t	［1］蹲=登灯丁钉靪疔汀□{牯～：二三岁的公牛}□{～mᴀ̃6 tʃʰɔ̃ːɐ2：杉针}［3］等顶鼎［5］邓澄瞪钉订
tʰ	［1］厅□{床～：床沿}［2］腾誊藤亭停廷庭蜓［3］诞艇挺［5］听［3］锭定
n	［1］拎［2］能楞宁灵零铃伶蛉{蚂～：大蝉}［3］奶{吃～}冷领岭［5］□{菜～：菜畦}［6］令另
ts	［1］曾增憎僧精晶睛［3］井［5］赠
tsʰ	［1］清青蜻［2］曾情晴［3］请静靖［5］倩［6］净
s	［1］星腥［3］省{～长}醒□{蜓～：蜻蜓}□{儿子；男～：男孩}［5］性姓
tʃ	［1］征争筝睁贞侦正［3］整［5］证症正政
tʃʰ	［1］撑{～簰}擎［2］逞{得～}呈程□{～koːɐ1龙标坟：清明节前后狂风暴雨加冰雹}［3］惩逞{～能}□{手～：手肘}［5］撑{支～}［6］剩郑
ʃ	［1］生牲笙甥声馨［2］乘承丞成城诚［3］省{节～}［5］圣胜［6］盛
k	［1］更庚羹耕京惊鲸经径肩-{～头}［3］哽粳埂耿景警颈［5］更境敬竟镜竞
kʰ	［1］坑卿轻［3］龈肯［5］庆磬
ŋ	［1］□{～苦：很苦}［6］硬□{～后年：大后年}
x	［1］亨［2］桁行衡［3］杏［5］□{mᴀ̃5～：没有}［6］幸
#uᴀ̃	
k	［1］跟根［3］杆秆滚梗［5］棍
kʰ	［1］昆坤［3］恳垦捆［5］困睏［6］□{动词，晃}
ŋ	［1］恩温瘟［2］文{（又）}纹蚊=闻［3］稳□{～手模：按手印}［5］揾［6］问
x	［1］昏婚浑荤［2］魂横宏［6］馄混□{～子：草鱼}
#ɔ̃ːɐ	
p	［1］帮邦浜班斑颁扳般搬□{河～滩：滩地}［3］膀板版榜绑□{～身：内衣}［5］棒=蚌扮瓣半绊
pʰ	［1］潘攀［2］庞爿盘滂旁螃傍［3］伴拌棒{戳手～：拐杖}［5］胖盼判叛［6］塝{田～：田坎}办
m	［2］蛮瞒馒忙芒茫盲虻莽□{吗}［3］网-{渔～}满蟒［6］漫幔蔓望-慢
t	［1］耽担丹单当端裆□{软～～}［3］胆党短［5］当档挡担旦［6］蛋［7］□{pʰᴇn6～：鼻涕}
tʰ	［1］贪滩摊汤［2］潭谭谈痰檀坛弹堂棠螳唐糖塘团［3］毯淡坦躺倘宕凼断［5］探烫趟炭叹［6］坦{晒谷～：晒谷场}荡但弹锻段缎椴
n	［2］南男蓝篮难兰拦栏囊郎廊狼蜋鸾銮榔［3］懒览揽榄朗暖卵□{～颈凹：后脑窝儿}［5］□{～个：那个}［6］滥缆浪难烂乱
ts	［1］赃脏簪钻［5］赞钻葬
tsʰ	［1］餐仓苍参汆［2］惭蚕残藏［3］惨錾［5］灿篡［6］暂溅藏脏□{～狮呐：舞狮子}
s	［1］三桑丧酸［3］伞磉嗓爽馓［5］散算蒜丧
tʃ	［1］桩蘸张瞻刚-{～来}庄装章樟疆僵姜礓缰羌□{槛～：窗台}□{大～koːɐ1：麻疹}妆□{～为：故意}□{ʃy3袜～：短袜}［3］斩盏□{攒}长涨掌［5］站栈帐账胀仗壮障瘴绽
tʃʰ	［1］搀疮昌菖窗腔掺［2］谗馋蝉禅长肠场强□{tᴀ̃1 mᴀ̃6～：杉针}［3］产=铲丈杖厂闯强赚［5］畅唱倡创［6］状撞
ʃ	［1］杉衫珊山疝霜孀商伤香乡删双［2］涎-{口～：口水}床常尝裳□{～xɔ̃ːɐ5：为什么}［3］产-{～妇}赏晌饷偿上{～山}享响［5］向涮{～口：漱口}［6］尚上{～面}
k	［1］监艰间冈岗刚{～好}纲钢缸江豇甘柑泔干=肝{（又）}奸茭□{～屁股纸：手纸}［3］感尴减碱监{太～}舰擀讲港甲{指～}敢橄简裥柬拣谏［5］鉴杠降虹干=间{～苗}
kʰ	［1］堪龛勘刊康糠匡［2］衔扛□{～tʃʰy2：蚯蚓}蛤{～蟆}［3］坎砍槛慷［5］抗炕囥旷矿看{～守}
ŋ	［1］庵安鞍骯［2］颜岩［3］眼砚［5］晏按［6］雁岸案
x	［1］夯憨酣［2］含函喊咸寒  韩闲行航杭降［3］旱限项罕［5］撼憾汉□{ʃɔ̃ːɐ2～：为什么}［6］陷罕巷焊翰笐
#iɔ̃	
ȵ	［1］央秧殃［2］娘瓤羊洋烊杨阳扬疡［3］仰养痒［5］映［6］酿壤攘嚷让样
#ẽːɐ	
p	［6］□{弹指头}
m	［7］猫
n	［2］良凉量粮梁粱［3］两辆［6］亮谅晾量
ts	［1］将浆［3］蒋奖桨［5］酱将
tsʰ	［1］枪［2］墙详祥［3］抢象像橡［6］匠［7］雀鹊
s	［1］相箱厢湘襄镶［3］想［5］相
#ĩːɐ	
p	［1］鞭边［3］贬蝙扁匾褊［5］变［6］汴
pʰ	［1］编篇偏［2］便［3］辨辩辫［5］骗遍片［6］便别{～人}
m	［2］绵棉眠□{～虫：灯蛾}［3］免勉娩捻［6］缅面
t	［1］颠［3］点典［5］掂店奠
tʰ	［1］添天［2］甜田填［3］舔簟腆佃［5］掭［6］电殿垫臀
n	［1］黏拈［2］廉镰帘连联怜莲鲇年鲢鲶［3］撵碾脸［6］殓练炼恋念
ts	［1］尖煎［3］剪［5］箭荐
tsʰ	［1］签迁笺千歼扦［2］钱前［3］潜浅［6］渐践贱饯
s	［1］仙鲜先［3］筅{～帚：刷锅用的}癣{（又）}［5］线羡鏾□{～前年：大前年}
tɕ	［1］沾占兼毡膻肩=坚□{阉：～公猪}［3］捡检俭展茧趼笕［5］占剑战建见
tɕʰ	［1］谦牵铅{～笔}［2］钳乾虔掮蝉［3］遣闪［5］欠歉［6］件键健腱
ȵ	［1］掩腌焉蔫烟洇咽英蜒□{火～虫：萤火虫}鹦-□{小孩}［2］炎盐檐严俨涎=然燃延言沿仍扔芫［3］演影染冉研□{毛～：婴儿}［5］厌堰燕咽宴［6］验艳焰谚砚
ɕ	［1］轩掀［2］嫌贤形型刑舷［3］陕险善膳显［5］扇宪献［6］苋现县□{物～：东西}□{昼～：中午}
#ũːɐ	
f	［1］翻番方肪{（又）}芳［2］藩烦矾繁肪{（又）}妨访房防凡［3］范犯反仿纺彷［5］贩放［6］饭
v	［1］豌弯湾汪［2］完顽还黄-亡忘妄王［3］皖碗腕晚=挽宛辋网=枉往［5］按［6］玩万望=旺
k	［1］肝{（又）}竿干-官棺观冠鳏关光［3］赶管馆广桄［5］贯灌罐惯逛
kʰ	［1］宽筐眶□{～蚕：蚕}［2］狂［3］款□{提手}［5］看环{扣～：纽襻}
ŋ	［3］揞［5］暗
