#备注：湖南道县( 梅花) 土话音系 沈明、周建芳		
#调值	[1]51 [2]21 [3]55 [4]33 [5]44 [7]35	
#符号说明：!西官阴平借词@西官阳平借词$西官上声借词%西官去声借词		
#ɿ		
p	[1]碑避鼻篦椑{~子：柿子}密□{圆形的}□{米kau⁵⁵~~：米糊}坝{北京音}[2]皮枇蜱{牛~：蜱虫，咬牛、狗等。《广韻》符支切；《集韻》頻彌切，音陴}□{匹：一~mu³³ mai（一匹布）}[3]比[4]被{~子}□{~水：开水}□{扁状}[5]□{炸}□{~鳊鱼：鳊鱼}芭!{~蕉}[7]笔□{热：~水（热水）}□{~起嘴公：抿嘴；噘嘴}罢%{~工}	
pʰ	[1]飞批坯{土~}[5]屁□{（通过加热）贴、补：~锅（补锅）；一~药（一帖膏药）}	
m	[1]蜜眯{~起眼}麻@{~将}[2]糜{~饭：稀饭}[3]□{~~：祖母}□{tsau⁴⁴~：蝗虫}[4]尾{~公：尾巴}亩没{~得了：没有了}[7]没{~pa了：淹没}□{~子：苍蝇；蚊子}	
t	[1]地刀绹沓□{~tɕ̟i：跌倒}□{~子：瘊子；痦子}[2]桃淘□{量词，团状物：一~（泥、线）}[3]打{~人；~tɕ̟ʰya⁵¹子（两人打架）}□{~nᵈi⁴⁴ nᵈau⁵⁵：荡秋千}[4]道{~州：道县}[5]倒{~跟风：逆风}到□{量词，相当于普通话“个”：一~人（一个人）}□{色~：颜色}[7]□{~pɤ ie：当雇工}	
tʰ	[3]讨[5]套	
nᵈ	[1]□{~tɤ：知道}[3]脑[4]恼[7]肭{（动物）肥：鸡很~；（人）胖。《集韻》奴骨切，音訥。膃肭，肥也。}	
l	[1]利{~钱：利息}笠立{~冬}离栗{板~}[2]来梨厘牢{坐~}[4]裏{被~子}鲤老李□{灵~：聪明}[7]里{一~路}粒{通用量词，相当于普通话的“个”：一~人、一~西瓜、一~日头}	
ts	[1]闸@{~门}[3]姊[5]折!{波波~~：命运不顺}[7]□{（手）捏}	
tsʰ	[1]踩□{涝；浸}□{疼痛}杂@{~粮}[2]餈□{ɕ̟yo⁵¹~：桐叶包着糯米，蒸着食，端午节吃}昨{~夜：昨天}[4]雉{~公：野鸡}[5]刺[7]七漆	
s	[1]师{~公：风水先生、男巫；~生：老师、医生}[3]死[5]四肆{数字“四”的大写}[7]虱{~婆：虱子}	
k	[2]□{~起脑壳：昂头}[3]□{屎（对小孩儿说的）}[7]结{打~}	
kʰ	[7]揢{用两手掐}	
ŋᶢ	[1]轭{牛~}[2]□{咬}[7]轧	
x	[1]蒿薅号[2]毫{~子：硬币}壕{~kie⁴⁴圳：壕沟渠}还{~有}[3]好{~多钱：多少钱}□{一公~口：一拃}[4]□{~ti³⁵：现在}□{~子：嗉子}□{硬婆~：腿肚子}[5]□{~子：痱子}	
Ø	[1]衣[7]□{~pu⁵⁵：家里}	
#ia		
p	[1]暴菢抱{一~蜂：一窝蜂}雹{~子}[2]袍浮[3]保宝[5]报□{uei³⁵~ɕ̟i：游泳}	
pʰ	[1]□{~牯：扫磨盘的扫帚}□{聒噪}[5]□{~pa了：（萝卜）糠了}[7]拍	
m	[1]帽[2]毛茅	
tʰ	[1]□{~pa鞋：拖鞋}	
nᵈ	[1]爊{~药：煎药}[2]□{扛}	
ts	[1]糟{酒~皮：酒糟}[3]早枣蚤{狗~：跳蚤}[5]灶[7]□{捉}□{传、递：~分tɤ⁵¹（递给他）}	
tsʰ	[2]曹槽[3]草吵□{~裆裈：开裆裤}[5]糙{饭~}	
s	[1]骚臊[3]嫂[5]扫{~地；~帚}	
