#备注：《广东电白旧时正话》 陈云龙	
#调值	[1]³³ [2]²¹³ [3]³¹ [5]⁵⁵ [7a]⁵ [7b]²¹⁴
#ɨ	
tsʰ	[1]歼纤签籤□{刺杀}[5]□{~心虫：吃秧苗的虫}
s	[2]蟾蝉禅[3]陕闪
z	[1]淹阉[2]盐[3]厣{田螺盖}掩[5]厌艳
k	[1]兼搛[3]检捡俭[5]剑
kʰ	[1]谦2{对照发音人读音}[2]钳
h	[2]嫌谦1[3]险[5]欠

#iem	
ȵ	[2]炎阎檐严[3]染[7b]焰

#ɔm	
p	[3]□{炸弹爆炸声}
h	[5]□{~~：狗叫声}

#an	
p	[1]班斑颁[3]板版[5]扮瓣办
pʰ	[1]攀[2]□{攀爬}[3]□{~下来：摔下来}[5]盼□牛{~an³¹须：络腮胡子}
m	[2]蛮[5]慢馒万蔓鳗
f	[1]藩翻番1[2]烦繁[3]反[5]患贩饭范犯
w	[1]弯湾[2]还{动调，归~}环[3]晚挽皖魭{草~，草鱼}[5]幻宦万缓1
t	[1]丹单[5]诞旦但弹{子~}蛋疍{~家}
tʰ	[1]滩推瘫[2]檀坛弹{~军}[3]坦毯[5]炭叹
n	[2]难{困~}[5]难{灾~}
ɬ	[3]散{形容词}[5]伞散{动词}汕
l	[1]栏1{牛~}[2]兰拦栏2{~干}[3]懒[5]烂栏3{棚~：阁楼}
ts	[3]盏[5]赞赚
tsʰ	[1]餐[2]残缠潺{~水：泉水}[3]铲产[5]灿
s	[1]珊山删闩[5]汕{地名：~头}
k	[1]干{~湿}肝竿杆艰间1{中~}奸[3]简拣谏茧趼笕枧[5]干{~部}间2{~断}涧
kʰ	[1]刊[5]看
ŋ	[2]颜顽□{~粉：擀面}□{笔~：卷笔刀}[3]眼[5]岸雁
h	[1]悭{节省}[2]寒韩闲[3]罕旱[5]汉汗焊翰
Ø	[1]安鞍[2]还{副词，再}[3]□{牛盼~须：络腮朝子}[5]按案晏{白天}

#uan	
k	[1]关冠1{鸡~}□{减去碗中饭}[5]冠1{~军}惯

#ɐn	
p	[1]奔槟[3]本[5]笨
pʰ	[3]□{小孩跑来跑去吵闹}[5]喷
m	[1]蚊文{一~钱：一块钱}□1{~巾：汗巾}[2]文{~凭}民门纹闻[3]敏抿□{“乜人”的合音}□{扑克牌的 Q}[5]闷
f	[1]分芬吩纷昏婚熏1[2]焚坟[3]粉[5]愤粪奋份训
w	[1]温瘟[2]文魂馄浑云晕[3]稳允尹[5]问韵运
t	[1]敦吨墩{脸~骨：颧骨}[3]墩{桥~}□{积水}[5]炖盾遁顿{颠簸：跌伤}
tʰ	[1]吞饨[2]豚臀[5]褪{退}
n	[5]□{“那阵”的合音}
ɬ	[1]辛新薪[2]巡1{~田}循旬1询[3]笋榫[5]信讯迅
l	[2]邻1鳞磷轮1伦仑沦[3]卵[5]论1
ts	[1]津珍真臻[3]准□{悭~：节省}[5]尽进晋镇阵振震圳{水沟}俊
tsʰ	[1]亲春{白：卵}椿伸2{递}[2]陈尘臣存1秦1[3]诊疹[5]趁衬
s	[1]身申伸1{~手}呻[2]神娠辰晨唇醇[5]舜慎1肾顺1
