	注释：-白，=文
kʰ	[1]□{食物不熟或变质的味感}欺-[2]骑-{骂人语}[3]□{粘住}紥
∅	[1]呀[2]耶爷椰[3]野也惹[6]夜
#y	
pʰ	[2]瓠[3]殕{生～：发霉}妇{新～：儿媳}补-{～衣}[5]□{气恼、痛恨}□{发酵膨胀}[6]吠-孵-
m	[1]□{～～：毛毛雨}[3]舞-{～龙灯}
t	[1]猪-[3]堵-[5]潴{水积聚}
tʰ	[2]厨橱[3]苎[5]□{挣扎}[6]箸住-
l	[2]驴[3]吕旅缕履[6]律虑滤[7]率{利～}
ts	[1]猪=朱珠蛛诸株诛茱[3]主[5]蛀注著铸
tsʰ	[1]蛆[2]除[3]取婴鼠处{～理}[5]趣树-处{～所}[6]聚住=柱=
s	[1]须需虽绥书输舒[2]徐殊薯贮储[3]曙暑黍绪褚[5]戍署庶恕絮[6]遂隧邃燧序叙术秫述树=[7]洫
k	[1]车{～马炮}居驹拘[3]举[5]句踞据锯=巨距拒剧
kʰ	[1]区驱躯[2]瞿渠=琼[3]舅-[5]去=[6]具[7]屈倔掘
ŋ	[2]牛-娱虞愚[3]女汝语[7]遇寓御
x	[1]墟=虚[3]许=雨-[6]腐-{豆～}
∅	[1]迂于於盂[2]如儒余予俞瑜[3]与雨=禹羽宇乳[5]沤[6]愉喻逾愈裕芋预豫誉浴疫役吁[7]屿熨域
#ɤ	
p	[1]波玻菠[5]簸[7]剥=驳
pʰ	[2]婆[3]颇[5]破=[6]雹薄[7]扑朴拍-{～球}泊粕
m	[1]摸=[2]磨=摩魔[6]磨{石～}帽-[7]膜抹-{～煞}募幕寞
f	[3]火=伙
t	[1]多[3]朵岛[5]剁[6]剁[7]琢啄
tʰ	[1]拖[2]驼舵砣佗[3]妥[6]择-{选}□{～去：进去}度-{过}[7]托讬铎
l	[2]罗螺骠锣萝箩[3]裸□{摘水果}[6]糯诺烙络赂洛落乐[7]□{手～：手套}
ts	[3]左佐炙{晒}[5]做[7]作着=桌卓酌勺撮
