拼音	IPA	調號	單字
dhu	ȶʉ	3	主拄煮舉矩=
dhu	ȶʉ	5	蛀注駐著劇鋸=据鑄句
dhu	ȶʉ	6	柱住拄距巨拒櫃-具懼俱
dhu	ȶʉ	7	菊𢵗鞠局橘桔[橘]
thu	ȶʰʉ	1	區驅軀嶇樞吹-
thu	ȶʰʉ	2	除錘-薯棰-[擂～]殊-
thu	ȶʰʉ	3	處[～理]杵[～穿；～起嘴巴]
thu	ȶʰʉ	5	處[到～]去=趣=
thu	ȶʰʉ	7	出屈詘絀曲=
gu	ku	1	鍋-[～子]孤估[我～不出有好多]姑辜鴣沽箍[鐵～；～桶子]
gu	ku	2	咕[含水在口裏攪動]
gu	ku	3	古牯鼓瞽股
gu	ku	5	過-故固錮顧僱
gu	ku	7	谷骨-
ku	kʰu	1	枯
ku	kʰu	3	苦
ku	kʰu	5	庫褲
ku	kʰu	7	哭酷窟
u	u	1	烏污圬嗚誣巫
u	u	2	禾-无吳吾梧
u	u	3	五伍午舞武鵡侮
u	u	5	霧[(又)～露]惡[厭～]
u	u	6	務霧悟晤寤誤
u	u	7	屋物
gny	ȵy	3	女語
zhy	tɕy	1	豬[又]居[又]朱[又]珠[又]誅[又]蛛[又]株[又]侏[又]車[(又)～馬炮]諸[又]矩-[又]
zhy	tɕy	3	主[又]拄[又]煮[又]舉[又]矩=[又]
zhy	tɕy	5	蛀[又]注[又]駐[又]著[又]劇[又]鋸=[又]据[又]鑄[又]句[又]
zhy	tɕy	6	柱[又]住[又]拄[又]距[又]巨[又]拒[又]櫃-[又]具[又]懼[又]俱[又]
zhy	tɕy	7	菊[又]𢵗[又]鞠[又]局[又]橘[又]桔[橘，又]
chy	tɕʰy	1	區[又]驅[又]軀[又]嶇[又]樞[又]吹-[又]
chy	tɕʰy	2	除[又]錘-[又]薯[又]棰-[(又)擂～]殊-[又]
chy	tɕʰy	3	處[(又)～理]杵=[(又)～穿；～起嘴巴]
chy	tɕʰy	5	處[(又)到～]去=[又]趣=[又]
chy	tɕʰy	7	出[又]屈[又]詘[又]絀[又]曲=[又]
shy	ɕy	1	書舒抒虛墟噓輸
shy	ɕy	2	殊=徐=
shy	ɕy	3	水-許暑署曙詡栩鼠
shy	ɕy	5	恕絮=鼠[老～子]
shy	ɕy	6	樹豎
shy	ɕy	7	序緒婿=敘=述術
y	y	1	淤
y	y	2	于迂盂魚=漁余愚愉娛儒濡
y	y	3	雨與嶼宇羽禹豫乳
y	y	5	餵-[～飯]喂-[～飯]
y	y	6	喻逾愈玉遇寓御預譽芋郁裕域役疫
y	y	7	入𢺴[使彎曲]
ba	pɑ	1	巴[泥～]扒[抓住，黏住]疤爸笆粑把[介詞]
ba	pɑ	2	趴[～背]伯[～伯]㞎[～㞎：屎]
ba	pɑ	3	把[兩～鎖；介詞]靶
ba	pɑ	5	把[鋤頭～]坝霸㞎[㞎～：屎]
ba	pɑ	6	罷
ba	pɑ	7	八捌伯[～唧：伯母]
pa	pʰɑ	1	啪[～啦；～炮：放鞭炮]趴
pa	pʰɑ	2	爬=耙[～頭]扒[～子手：小偷]划-[～船]
pa	pʰɑ	3	白-[～字；～蟻]
pa	pʰɑ	5	怕帕
pa	pʰɑ	7	拍-撥=
ma	mɑ	1	媽馬[～虎]嗎[～哩：怎麼]
ma	mɑ	2	麻痳蟆
ma	mɑ	3	馬碼螞[～蟥]摸-
ma	mɑ	6	罵嗎[～嘅：什麼]
ma	mɑ	7	抹[～子布；～桌子]
fa	fɑ	1	花
fa	fɑ	2	華筏划=[～子：手划的船]
fa	fɑ	3	罰伐閥乏滑=[尖～：聰明]猾=[狡～]
fa	fɑ	5	化
fa	fɑ	6	話=畫劃[～開]
fa	fɑ	7	發髮法
da	tɑ	1	噠[相當于「了」的助詞：他來～；有～]
da	tɑ	2	嗒[嘀～：滴水的聲音]
da	tɑ	3	打
da	tɑ	7	答搭耷[耳朵下垂]
ta	tʰɑ	1	他她它
ta	tʰɑ	3	踏=
ta	tʰɑ	5	遢[邋～]
ta	tʰɑ	6	他[所有格]她[所有格]
ta	tʰɑ	7	踏-[把腳～在上面]
la	lɑ	1	拉哪[看～]
la	lɑ	2	爬-拿
la	lɑ	3	辣=[～椒]邋[～遢]
la	lɑ	5	辣-[～人]
la	lɑ	6	那哪[～裏]娜
la	lɑ	7	臘吶納衲捺
za	tsɑ	1	渣
za	tsɑ	3	扎[捆～架子；～花圃]
za	tsɑ	5	炸[～藥；～石頭]詐榨蚱[～蜢子]柵=
za	tsɑ	6	柵[～園門]
za	tsɑ	7	砸摘-啄-[～木鳥]札扎[捲起來：～衣袖，～褲腳]閘眨乍軋=
ca	tsʰɑ	1	差叉杈[～子]
ca	tsʰɑ	2	茶搽[～油，～粉]查楂
ca	tsʰɑ	3	雜炸[食物在熱油中變熟：～魚]鍘
ca	tsʰɑ	5	岔[～路]杈[樹開～了]衩
ca	tsʰɑ	7	插擦察拆-
sa	sɑ	1	沙紗痧[變～]鯊耍[年輕女人到處玩]
sa	sɑ	3	耍
sa	sɑ	5	析-[瓜果切分的一部分：切成五～；～開：切開]
sa	sɑ	7	殺[使失去生命：～雞；使穩當：～桌子]剎傻霎煞颯啥
dha	ȶɑ	1	家=加枷=佳嘉
dha	ȶɑ	3	假賈
dha	ȶɑ	5	架=嫁=價
dha	ȶɑ	6	㐄[跨：～過去]
dha	ȶɑ	7	甲隻[量詞]夾=頰浹炙-[～火]
tha	ȶʰɑ	1	車-掐=
tha	ȶʰɑ	2	㐄[跨：～一步]
tha	ȶʰɑ	3	扯-[～艸；～哈：胡說]
tha	ȶʰɑ	7	喫-尺-
gna	ȵɑ	1	惹-
gna	ȵɑ	2	𪐀[～噠：接著]
gna	ȵɑ	3	入[性交]
ga	kɑ	1	家-架-[～針：吵嘴]枷-[牛軛]
ga	kɑ	5	嫁-架-
ga	kɑ	7	夾-[～子；～菜吃]隔-[他～很遠就喊]
ka	kʰɑ	1	掐-[手～不了个多；～住]
ka	kʰɑ	3	卡咔
ka	kʰɑ	5	胯-
ka	kʰɑ	7	客-掐-[～痧]
nga	ŋɑ	1	丫-[～開：張開；～制：限制]
nga	ŋɑ	2	牙-[～子：牙齒]芽-[～子]
nga	ŋɑ	3	壓-[擔子～人]啞-軋-[～棉花]
nga	ŋɑ	5	嚙-[咬]
nga	ŋɑ	6	軋-[反復研磨，切碎：～胡椒，～番椒；車子碾壓：汽車～死一隻人]
nga	ŋɑ	7	額-[～頭]
xa	xɑ	1	哈蝦-
xa	xɑ	3	狹-[窄]盒-[～子]
xa	xɑ	5	哈[打～～：大笑]
xa	xɑ	6	下-[一～子：一會兒；～个：下午；～要：都要]
xa	xɑ	7	嚇-瞎-
a	ɑ	1	啊阿丫-[～子；～制：限制；～菜秧子]
a	ɑ	2	啊[～，我聽懂噠]
a	ɑ	3	啞-也-
a	ɑ	6	啊[你要來～：你一定要來]
a	ɑ	7	鴨
bia	piɑ	7	壁-[～頭]
pia	pʰiɑ	7	劈-[～柴]
dia	tiɑ	1	爹-[～～：爸爸]
dia	tiɑ	2	滴[～唧：一點點]
dia	tiɑ	5	滴[～唧：一點點]
dia	tiɑ	7	滴[～水；～下來]
tia	tʰiɑ	2	提
tia	tʰiɑ	7	締[～緊帶子]
lia	liɑ	1	斜[放～：大哭大鬧，撒嬌，耍賴]
lia	liɑ	2	斜-[肩架一～起；～嘴：比喻多嘴]
lia	liɑ	3	斜[割：～一塊肉：舌頭伸出下垂的樣子]
lia	liɑ	7	累-[～人；～死噠；～噠你：麻煩你]
zhia	tɕiɑ	2	姐[(變調)～姐]
zhia	tɕiɑ	3	姐-[～夫]
zhia	tɕiɑ	5	姐[(變調)姐～]借-
zhia	tɕiɑ	6	謝-[花～咕噠：花落了]
zhia	tɕiɑ	7	績-[～麻：把披開成很細的麻捻成綫]
chia	tɕʰiɑ	2	斜-
chia	tɕʰiɑ	3	席-[～子]
chia	tɕʰiɑ	7	織-[～網]
shia	ɕiɑ	1	蝦=賒-
shia	ɕiɑ	2	蛇-邪-霞瑕暇
shia	ɕiɑ	3	寫-捨-[～唎己：捨得自己，勤奮]
shia	ɕiɑ	5	瀉-[植物腐爛：菜梗子～咕噠；稀，不濃：～飯，～泥；耍無賴：～攤]
shia	ɕiɑ	6	下=夏廈射-[彈出，發送出去：～標槍，～箭]
shia	ɕiɑ	7	錫-嚇=脅-
ia	iɑ	1	呀丫=[～頭]
ia	iɑ	2	牙=芽=爺-[父親]涯衙呀[是他～！]
ia	iɑ	3	也-野-啞=雅
ia	iɑ	5	亞
ia	iɑ	6	夜-
ia	iɑ	7	壓=押鴨=
dhua	ȶuɑ	1	抓=[～緊繩子]
dhua	ȶuɑ	3	抓-[～緊拳頭；一～米]
thua	ȶʰuɑ	2	茄[～子]瘸[～子：指手殘疾的人]
thua	ȶʰuɑ	5	抓[雞～一隻塅：雞用爬子扒成一个坑]
gua	kuɑ	1	瓜刮
gua	kuɑ	2	垮[往下坐落，比喻喪氣]
gua	kuɑ	3	剮[～皮；～衣褲]寡
gua	kuɑ	5	掛卦褂
gua	kuɑ	7	刮
kua	kʰuɑ	1	夸
kua	kʰuɑ	3	垮
kua	kʰuɑ	5	跨
kua	kʰuɑ	7	括
ua	uɑ	1	蛙哇窪剜
ua	uɑ	2	娃
ua	uɑ	3	瓦滑-[溜～]猾-
ua	uɑ	5	軛[牛～]
ua	uɑ	6	話-[～～：說話；～媒：說媒]
ua	uɑ	7	挖=襪
shya	ɕyɑ	1	靴
shya	ɕyɑ	5	抓[雞等用爪子抓、抖]
ya	yɑ	3	抓-
ya	yɑ	5	噦[大聲喊叫：大些～]
bae	pæ	1	跛-[～子：腿殘疾的人]𨃅[～子：腿殘疾的人]
bae	pæ	3	白=擺
bae	pæ	5	拜湃
bae	pæ	6	敗稗罷[吧，表示推測語氣：是他～]
bae	pæ	7	百佰伯=柏北
pae	pʰæ	2	排[～隊]徘牌
pae	pʰæ	5	派
pae	pʰæ	7	迫拍=泊=[湖～]
mae	mæ	2	埋
mae	mæ	3	買=[～賣]某
mae	mæ	6	賣買-[到商店去～鹽]
mae	mæ	7	麥脈墨默沒陌
fae	fæ	2	壞=淮槐
fae	fæ	3	活-否
fae	fæ	6	壞
dae	tæ	1	獃[～子]
dae	tæ	2	待[儘噠在路上～：總是在路上慢慢走]獃[聖～寶：蠢子]
dae	tæ	3	歹
dae	tæ	5	帶戴
dae	tæ	6	大代貸
dae	tæ	7	得=[獲～]德
tae	tʰæ	1	胎苔
tae	tʰæ	2	台抬
tae	tʰæ	3	待[慢慢走的樣子：在路上～哩半日]
tae	tʰæ	5	太汰態泰
lae	læ	2	來萊睞
lae	læ	3	倈[～唧：男孩]奶乃
lae	læ	5	奶[～子，喫～]㸊[燙：～人]
lae	læ	6	哪[～个，～裏]賴癩奈耐
zae	tsæ	1	栽災齋
zae	tsæ	3	崽[兒子：～女；動物生下的小動物：～唧]
zae	tsæ	5	再債載
zae	tsæ	6	在寨
zae	tsæ	7	側-測-[～秤]責窄
cae	tsʰæ	1	猜差[出～]
cae	tsʰæ	2	財才豺裁柴
cae	tsʰæ	3	踩彩睬采
cae	tsʰæ	5	菜蔡
cae	tsʰæ	7	側=測=[～量]廁=澤擇拆=
sae	sæ	1	腮=
sae	sæ	3	甩
sae	sæ	5	曬賽塞[邊～]
sae	sæ	7	塞[攔住；～口子]
dhae	ȶæ	3	者-
gae	kæ	1	該皆階街
gae	kæ	3	改解
gae	kæ	5	蓋丐鋸-界介芥疥蚧戒誡屆
kae	kʰæ	1	開揩
kae	kʰæ	3	凱楷
kae	kʰæ	5	概慨愾
ngae	ŋæ	1	挨-[～噠排]娭[～唧：奶奶]哀-
ngae	ŋæ	2	挨-[拖延：～咕幾天纔來]獃[不靈活：～板，機子～咕噠]皚癌
ngae	ŋæ	3	矮藹靄
ngae	ŋæ	5	愛-曖
ngae	ŋæ	6	礙[～面子；～緊噠]隘艾
xae	xæ	1	嗨[～喲：笑話別人的歎詞]
xae	xæ	2	還鞋孩
xae	xæ	3	海核=
xae	xæ	6	害亥
xae	xæ	7	咳[感歎可惜：～！他就死咕噠]
ae	æ	1	哀=唉挨=
ae	æ	3	矮
ae	æ	5	愛=
dhuae	ȶuæ	7	決蕨
thuae	ȶʰuæ	7	缺
guae	kuæ	1	乖
guae	kuæ	3	拐[～彎]
guae	kuæ	5	怪
guae	kuæ	7	國
kuae	kʰuæ	3	塊=[五～錢]
kuae	kʰuæ	5	快筷會[～計]塊-[一～板子]
uae	uæ	1	挖-歪=
uae	uæ	2	懷-[～裏]
uae	uæ	3	歪-
uae	uæ	6	外
shyae	ɕyæ	7	說血
yae	yæ	3	月[年～日]
yae	yæ	7	月[～光]越
dhe	ȶɛ	3	者=
gne	ȵɛ	1	奶[～～]
gne	ȵɛ	3	熱
gne	ȵɛ	5	嚙=
gne	ȵɛ	7	業孽[作～]躡[～手～腳]鑷聶捏[～造]
ge	kɛ	1	勾鉤溝篝
ge	kɛ	2	嗝[打～]
ge	kɛ	3	狗枸[～杞子]苟
ge	kɛ	5	夠構購垢[身上起噠一層～]
ge	kɛ	7	格隔=[～閡]膈革給=
ke	kʰɛ	1	摳[搔：～癢]瞘
ke	kʰɛ	3	口
ke	kʰɛ	5	扣叩寇
ke	kʰɛ	7	客=刻克咳[～嗽]
nge	ŋɛ	3	偶藕
nge	ŋɛ	7	額=[金～]扼
xe	xɛ	1	齁[扯～：氣喘；很：～多，～大]嘿[～～：冷笑的聲音]
xe	xɛ	2	喉猴侯吼
xe	xɛ	6	厚后後候
xe	xɛ	7	黑赫
e	ɛ	5	誒
e	ɛ	6	誒
bie	piɛ	1	逼-[～人；～起噠]憋
bie	piɛ	7	癟屄
pie	pʰiɛ	3	別[其他：～个，～嗎嘅事情]
pie	pʰiɛ	7	別[分離：分～，～開]撇瞥
mie	miɛ	1	哞[當面呼喚牛；代指牛]
mie	miɛ	2	謀棉-[～花]牟[～利]
mie	miɛ	3	篾[～皮]
mie	miɛ	6	貿茂
mie	miɛ	7	滅搣[剝：～皮，～大蒜]
die	tiɛ	1	爹=蔸[樹～子；一～菜]兜[用兜子～噠：用兜兒攏住]
die	tiɛ	3	陡抖蚪斗
die	tiɛ	5	鬥[牛～架，魚～水]
die	tiɛ	6	豆兜[～子：口袋]在
die	tiɛ	7	跌=[～價]給-[～他]得-[～空；～噠好處；不～來]
tie	tʰiɛ	1	偷
tie	tʰiɛ	2	頭投
tie	tʰiɛ	3	特[～別]
tie	tʰiɛ	5	透特[太]
tie	tʰiɛ	7	鐵貼帖疊迭跌-[～跤]蝶碟諜喋牒
lie	liɛ	1	摟-[懷裏～隻細人]
lie	liɛ	2	樓
lie	liɛ	3	勒摟=簍
lie	liɛ	6	漏陋
lie	liɛ	7	列[排～，～舉；～外：格外]烈裂咧[～開嘴巴]
zhie	tɕiɛ	3	走姐=
zhie	tɕiɛ	5	借=
zhie	tɕiɛ	7	接揭結=節潔哲折浙
chie	tɕʰiɛ	1	車=
chie	tɕʰiɛ	2	愁-[～咕幾年噠纔有]
chie	tɕʰiɛ	3	賊且扯=捷
chie	tɕʰiɛ	5	湊[～些錢一起買]愜
chie	tɕʰiɛ	7	傑切徹劫竊怯妾挈撤轍掣
shie	ɕiɛ	1	餿[～飯]搜[～兜子]颼[有風～進來]賒=
shie	ɕiɛ	2	蛇=斜=邪=佘
shie	ɕiɛ	3	寫=捨=舌
shie	ɕiɛ	5	瘦卸褻洩舍[宿～]瀉=赦
shie	ɕiɛ	6	謝=射=社
shie	ɕiɛ	7	設歇[～息；～回唧：偶然的時間，萬一]雪脅=協屑[～子]涉
ie	iɛ	1	歐椰揶
ie	iɛ	2	爺=[～～：祖父]
ie	iɛ	3	也=野=頁葉冶嘔
ie	iɛ	5	漚[～肥]慪[～氣]誒[表示奇怪的歎詞：～，他也來噠？]
ie	iɛ	6	夜=誒[表示答應、提醒的歎詞：～，給你]
ie	iɛ	7	噎乙凹[～下去；一隻～]
ye	yɛ	1	噦[小孩哭，擬聲]
ye	yɛ	2	噦[～拐：愛哭的小孩]
bo	po	1	波菠玻鄱
bo	po	3	跛=
bo	po	5	播簸[～箕]啵[打～：接吻]
bo	po	7	剝[～削]撥駁搏博
po	pʰo	1	坡
po	pʰo	2	婆=
po	pʰo	3	薄頗叵泊-[潭～：地名]
po	pʰo	5	破=婆[婆～唧：老婆婆]
po	pʰo	7	潑
mo	mo	1	摸
mo	mo	2	磨=[～刀：折～；～人]模膜饃摩魔摹
mo	mo	5	摸[很快抓起：～起棍子就打]
mo	mo	6	麼[什～]
mo	mo	7	末沫莫漠寞
do	to	1	多
do	to	2	哆[～唻咪：表示音樂音階]
do	to	3	躲垛[屋～子]朵
do	to	5	跺[快跑：趕起是嘅～]
do	to	6	墮惰舵垛[堆積，疊起：～高些；一～紙]
do	to	7	跺[一上一下拋動的樣子：～起很高]
to	tʰo	1	拖
to	tʰo	2	馱駝陀跎鴕坨[泥～子；一～飯]
to	tʰo	3	奪妥橢
to	tʰo	5	唾
to	tʰo	7	脫托拓
lo	lo	1	啰[～嗦]
lo	lo	2	羅籮蘿鑼邏儸挼[揉搓]
lo	lo	3	落捋[手握住順著抹過去：～衣袖]裸卵烙-[～鐵]
lo	lo	5	摞[一串：油炸～子；一～葡萄]
lo	lo	6	糯癆[用藥毒，使中毒：～魚，～老鼠子，農藥～人]
lo	lo	7	烙=[～印]絡洛漯樂[快～；音～]
zo	tso	3	左佐
zo	tso	6	坐座
zo	tso	7	作桌卓綽捉酌灼撮[量詞]鐲琢啄=
co	tsʰo	1	搓磋蹉
co	tsʰo	2	矬[矮]
co	tsʰo	3	昨鑿柞[～樹]濁
co	tsʰo	5	錯措挫銼
co	tsʰo	7	戳撮[口子伸進去裝：～穀]啜輟
so	so	1	嗦[吸：用管子～]梭蓑
so	so	2	縮[身體縮緊的樣子：凍起一～起]
so	so	3	鎖瑣所
so	so	7	索朔塑速
dho	ȶo	5	剁[～脫骨頭；～腦鬼]
dho	ȶo	7	腳結-[樹上～很多李子]著着角=[一～錢，～色]覺[～悟]
tho	ȶʰo	3	失-[丟失：我嘅筆～嘅噠]
tho	ȶʰo	7	啜[騙：～人，～騙]卻確=
gno	ȵo	7	弱
go	ko	1	哥歌戈鍋=
go	ko	2	哥[(變調)～哥]
go	ko	3	果个[這：～裏]
go	ko	5	个過=哥[(變調)哥～]
go	ko	7	角-[牛～]割鴿閣葛郭各合-[不～人：不合群]
ko	kʰo	1	科蝌苛窠=
ko	kʰo	3	可坷棵顆
ko	kʰo	5	課
ko	kʰo	7	殼確-渴闊蠚[～癩子：刺得人怪痛的蟲子]
ngo	ŋo	1	我[(變調)非所有格]
ngo	ŋo	2	鵝蛾俄娥
ngo	ŋo	3	我
ngo	ŋo	6	餓臥我[(變調)所有格]
ngo	ŋo	7	愕鄂鱷遏
xo	xo	1	嗬
xo	xo	2	和河何荷[～花]禾=
xo	xo	3	活=合=[～作；捆：～柴]盒=火=夥=[～伴]學-[～舌，～話]
xo	xo	5	貨
xo	xo	6	禍賀荷[負～]
xo	xo	7	喝貉霍豁涸
o	o	1	窩蝸屙[～尿]哦[表示明白的歎詞；～嗬：感歎可惜]
o	o	2	禾=哦
o	o	5	臥
o	o	7	惡握
chio	tɕʰio	3	嚼
chio	tɕʰio	7	雀=鵲
shio	ɕio	3	學=勺[～筒]
shio	ɕio	7	削
io	io	1	喲
io	io	2	喲[嗨～：笑人有害羞事情的歎詞]
io	io	7	喲[唉～：疼痛的歎詞]藥約樂[音～]躍
bei	pei	1	杯背[～書包]卑碑悲
bei	pei	5	背[～痛；～後]輩貝狽
bei	pei	6	背[～時；～課文]備=被=倍
pei	pʰei	1	胚坯[～子石；他長起一～很大]
pei	pʰei	2	賠[～錢]陪[～客]培
pei	pʰei	5	配[不～]佩沛
pei	pʰei	6	呸[表示唾棄、嚇人的聲音]
mei	mei	2	煤媒霉梅莓枚玫妹[(變調)～妹]
mei	mei	3	每美
mei	mei	5	魅
mei	mei	6	妹昧媚
fei	fei	1	灰恢詼揮暉輝徽妃飛非
fei	fei	2	回迴徊肥
fei	fei	3	毀悔=
fei	fei	5	費[～力，～錢]廢肺悔[後～]晦
fei	fei	6	會=[開～]繪匯惠賄卉慧諱
dei	tei	1	堆
dei	tei	5	對隊兌碓
dei	tei	6	對[(變調)伴：打～]
tei	tʰei	1	推[～子：去穀殼用的推着轉動的碾子]
tei	tʰei	2	頹
tei	tʰei	3	腿
tei	tʰei	5	退蛻
lei	lei	1	纍[形容很壯、很圓：～壯、～胖、～圓]
lei	lei	2	雷[打～；形容大罵：莫～，好好講]
lei	lei	3	纍[積～]累=[勞～]
lei	lei	5	銳
lei	lei	6	內類淚濾=慮
zei	tsei	1	追錐
zei	tsei	3	嘴=
zei	tsei	5	最醉=
zei	tsei	6	罪
zei	tsei	7	塞卒-[～子]
cei	tsʰei	1	吹=炊催摧崔
cei	tsʰei	2	垂[東倒西歪，走路不穩定]錘=棰=
cei	tsʰei	5	脆[容易碎；木材腐蝕了：～樹]粹啐瘁翠碎=[粉～]淬=
cei	tsʰei	7	垂[打瞌睡身體不穩當的樣子：～眼閉，眼閉是嘅～]
sei	sei	1	雖=
sei	sei	2	誰隨隋
sei	sei	3	水=
sei	sei	5	碎-[打～]歲=睡=
sei	sei	6	遂隧瑞髓
sei	sei	7	綏
guei	kuei	1	歸龜閨規
guei	kuei	3	軌鬼詭
guei	kuei	5	桂貴癸
guei	kuei	6	櫃=跪
guei	kuei	7	骨-[～頭]
kuei	kʰuei	1	虧窺盔魁
kuei	kʰuei	2	葵跬
kuei	kʰuei	3	核-[廣橘～]
kuei	kʰuei	5	潰餽饋愧瑰
kuei	kʰuei	7	跪[折：～彎，～脫，走起腳打～]
uei	uei	1	煨[～紅薯：在帶火的灰裏燒熟甘薯；比喻不整潔的人]
uei	uei	2	微薇爲[作～；～人]維唯惟危桅圍違
uei	uei	3	尾=偉緯葦韋委萎巍
uei	uei	5	畏餵=喂=尉慰蔚衛[門～；警～]僞
uei	uei	6	喂衛[～生；保～]味未位爲[～了，因～]胃謂猥魏
uei	uei	7	違[(變調)折：～彎，～脫]
dau	tɐu	1	都
dau	tɐu	2	肚[(變調)～肚：肚子]
dau	tɐu	3	肚賭堵睹獨
dau	tɐu	5	肚[(變調)肚～：肚子]蠹
dau	tɐu	6	度渡鍍杜
dau	tɐu	7	督篤
tau	tʰɐu	2	圖徒屠塗途
tau	tʰɐu	3	土毒讀
tau	tʰɐu	5	吐兔
tau	tʰɐu	7	突凸禿
lau	lɐu	1	鹵[鏽：起～；鐵～咕噠]
lau	lɐu	2	爐廬臚盧顱奴螺-[～頭：螺絲]驢=腡
lau	lɐu	3	努魯櫓鹵虜擄
lau	lɐu	6	路露鷺賂
lau	lɐu	7	六陸錄綠祿碌鹿漉麓
zau	tsɐu	1	租
zau	tsɐu	3	祖阻組詛
zau	tsɐu	5	做
zau	tsɐu	6	助
zau	tsɐu	7	足卒=
cau	tsʰɐu	1	粗初
cau	tsʰɐu	2	鋤
cau	tsʰɐu	3	楚礎
cau	tsʰɐu	5	醋
cau	tsʰɐu	7	促
sau	sɐu	1	蘇梳疏蔬酥
sau	sɐu	3	數[動詞]
sau	sɐu	5	數[名詞]
sau	sɐu	7	俗縮宿=肅夙粟
