#符号说明：-白=文/书*俗?待考	
#调值	［1］31［2］213［3］35［5］51［6］353
#ɿ	
l	［2］劳捞牢［3］老姥［5］唠{～嗑儿:聊天}落{～下来}骆{～驼}烙络-辘{～轳}［6］涝
ts	［1］糟{烂七八～}遭{～罪}［2］凿糟{～蹋}［3］早枣澡［5］造［6］灶
tsʰ	［1］操{做～}［2］曹槽糙{～气:脏，污秽}［3］草騲{～鸡:母鸡，引申为害怕、退缩}［5］肏{詈语}
s	［1］臊{～气}［2］索-{～儿:数股拧成的粗绳}［3］嫂［5］臊{害羞}扫{～帚}
tʂ	［1］招［2］着{～火}［3］找爪{～镰儿:一种小镰刀}沼［5］罩照笊{～篱}［6］赵
tʂʰ	［1］抄［2］超扫{～地}朝{～东}□{～嗷:形容小孩子胆大，喜欢冲在前面}潮{～起棍子}［3］炒吵［5］撬
ʂ	［1］烧梢捎筲{水～:一种木制水桶}［2］勺［3］少［5］潲{～色:褪色}绍少{～先队}
ʐ	［2］饶{尽管}［5］绕弱{身子骨儿～}
k	［1］高膏{～药}羔糕［2］篙搁-{～上去}［3］稿［5］告膏{～油}
kʰ	［3］考烤［6］靠犒
ŋ	［1］爊{～菜}［2］熬{～宿儿}［3］袄［5］傲
x	［1］蒿{茼～}［2］壕毫郝［3］好{爱～儿:讲究个人形象}［5］好{喜～}［6］号
#iɔ	
p	［1］膘标［3］表裱［5］嫑{～去:别去}
pʰ	［1］飘［2］瓢泊{～头:村名}［3］漂{～白}［5］票
m	［2］苗描［3］秒［6］庙
t	［1］刁{形容女性泼辣、厉害}叼［5］钓调{老～:冀中一带的剧种}
tʰ	［1］挑{挑选}［2］条调笤{～帚}［3］挑{～担儿}［5］跳
n	［3］鸟了{知～}［5］疟［6］尿{～泡:撒尿}
l	［2］缭{用针线逢缀}療{～泡}撩{～起来}［3］燎{火～头发}了{～结}［5］料尥{～蹶子}略{侵～}［6］镣
ts	［1］焦椒{胡～}［2］嚼［5］噍{倒～:反刍}
tsʰ	［2］瞧［3］雀{麻爷～:喜鹊}［5］俏{机灵}
s	［1］消宵霄硝销箫［2］削［3］小［5］笑
tɕ	［1］交胶浇教{～书}椒{辣～}娇{～气}［2］蕉{香～}脚觉{～着}角饺{煮～:饺子}［3］铰{剪}搅缴［5］叫教{～他去}觉{睡～}校{～着点儿:赶牲口时所喊，使牲口靠左微拐}窖酵{～面儿:发面用的，北京话叫“面起子”}［6］轿
tɕʰ	［1］敲缲{～边儿}［2］乔桥荞搉{～米:用碾子将谷子去壳}［3］巧［5］壳={驳～枪}
ɕ	［2］学［3］晓{～哩:知道}［5］孝校
∅	［1］腰妖靿{鞋～}约{用秤称}吆{～喝}［2］窑{专指烧砖厂}摇姚{～村:村名}［3］咬舀［5］要{～东西儿}药{吃～儿}钥跃岳{姓}乐{音～}［6］鹞{～子:模仿鹞鹰做的风筝}
#əi	
p	［1］杯碑悲［2］笔北卜{萝～}［5］贝避{～雨}备壁{影～}辈背{手～}［6］背{耳～}被{～子}
pʰ	［1］披［2］陪赔裴［5］配佩
m	［2］媒煤眉梅玫［3］美［5］妹昧{私占本不属于自己的东西}墨-{～汁儿}谜{破个～:出谜语}密{稠～}睦{和～}
f	［1］飞非［2］肥［3］匪［5］肺废费疿{～子}
t	［2］□{往远处投}得{可～哩:可舒服呢;～好儿:享福}德{缺～}［5］对{～错}队［6］兑{～上点儿水}
tʰ	［1］推［2］忒{～大:过大，副词}［3］腿［5］退褪{～色儿}对{～他说}
n	［5］内
l	［2］累{～赘}雷勒{～下来:把长条状上的东西顺着捋下来}［3］垒［5］肋{～骨}［6］泪类赖
ts	［2］贼［3］嘴{～～:乳房;吃～～:吃奶}
s	［2］谁
k	［1］搁{～哪儿:在哪儿}［3］给
kʰ	［2］刻{使刀～}□{抠}［5］刻{时～:指生辰时刻}
x	［2］黑
#uəi	
ts	［1］堆［3］嘴［6］最罪醉
tsʰ	［1］催崔皴{冷风使得皮肤裂开}［5］脆翠粹
s	［1］虽荽［2］随塞［5］碎岁［6］穗
tʂ	［1］追锥［5］赘{累～:工具不好用}缀{用针线缝}
tʂʰ	［1］吹={～一口气}炊{～帚}［2］垂锤槌
ʂ	［3］水［5］税［6］睡
ʐ	［3］蕊
k	［1］规龟轨{道～}［3］鬼癸{天干}［5］桂贵［6］跪柜
kʰ	［1］亏盔［2］逵{李～}葵{油～}［5］愧
x	［1］灰挥辉徽［2］回［3］悔［5］讳［6］会{不～}
∅	［1］危威微{～风}［2］围为违［3］委卫伟苇{～子:芦苇}［5］位［6］味胃为魏纬{织布机上纬线}
#əu	
m	［2］谋
t	［1］都兜［3］斗{圆形手指纹}抖陡［5］斗［6］豆逗{引～儿}
tʰ	［1］偷［2］头投{用清水漂洗}［5］透
l	［2］楼耧{旧时播种的农具}［3］搂{抱}篓{竹～子}偻{佝～:身子蜷缩着}［6］露{～出来}漏{～雨}
ts	［3］走［5］揍做{～饭}
tsʰ	［5］凑
s	［1］飕［5］嗽
tʂ	［1］州周诌{胡～}掫{～起来:从一侧或一端托起重物}［2］妯{～娌}轴{车～}粥□{踢，踹}［3］肘{～子}［5］皱咒{～某人}
tʂʰ	［1］抽{～筋儿}［2］抽{～风}绸稠仇愁畜{六～:詈语}［3］瞅{看}丑［5］臭
ʂ	［1］收［2］熟［3］手叔守{～着}［5］瘦授售寿兽［6］受
ʐ	［2］柔揉［5］肉
k	［1］勾{～搭}钩沟［3］狗枸{～杞}［5］够
kʰ	［2］抠{～缩:小气，吝啬}［3］口［5］扣
ŋ	［1］□{黏着某人反复地央求以满足自己的愿望}［3］藕偶{木～儿}［5］怄{～气}
x	［2］侯猴瘊{～子}［3］吼［6］后{前～}厚候
#iəu	
t	［1］丢
tʰ	［6］□{～了:掉}
n	［2］牛［3］扭［5］扭{别～}
l	［1］溜{～达}［2］流刘留榴硫［3］柳［5］六碌{～碡}［6］馏{把凉了的熟食蒸热}
ts	［1］揪［3］酒［5］就
tsʰ	［1］秋鞦{套在牲口屁股上的皮带子}鳅{泥～～:泥鳅}［2］□{～嘟:走不动的样子}
s	［1］修［2］宿{～喽:不走了，晚上在这里睡}［5］秀绣锈［6］袖
tɕ	［3］九久韭［5］救［6］舅旧臼{砸蒜～}
tɕʰ	［1］丘邱□{～嘴:撅嘴}［2］求球［3］朽{木头～嗹}［5］臼{一窠～:一小撮儿，形容量少}
ɕ	［1］休
∅	［1］优［2］由油邮游［3］有友酉{地支}［5］幼{年～}诱佑釉{上～}鼬{黄～～:黄鼠狼}药{山～蛋:土豆}［6］又右
#ãn	
p	［1］班搬扳［3］板［5］半{一～儿}拌绊扮［6］办瓣伴
pʰ	［1］潘攀［2］盘［5］盼判叛襻{～儿:泛指用以扣住另一端环状带儿}
m	［2］蔓{～菁}瞒{～着}蛮{～子:蔑称}［3］满［6］慢□{为～:为什么}
f	［1］翻［2］凡帆{～船}烦{圪～:心眼儿里麻烦}［3］反［5］贩{小～儿}□{皮肤上起的成片疙瘩}［6］犯饭
t	［1］单郸{邯～}丹担{动词}端{五月～午:端午节}［3］掸胆短{长～:语气副词，无论如何}［5］弹旦担{～杖:木担子}［6］蛋淡
tʰ	［1］贪滩摊瘫［2］谭坛弹{～琴}谈痰［3］毯坦［5］炭叹探
n	［2］南男难{形容词}［6］难{大～}
l	［2］蓝篮兰拦栏［3］懒揽［6］烂
ts	［1］簪{～子}錾{～子}［3］攒{～钱儿}短{长～:无论如何}［5］□{疑问词，相当于“咋了”，含劝止的意思}
tsʰ	［1］参餐［2］蚕残［3］惨［5］灿
s	［1］三［3］散{形容词}伞［5］散{动词}
tʂ	［1］沾粘□{表同意:可以，行}毡{油～}［3］斩盏展［5］站{车～}占{～个地儿}醮{～醋}［6］战
tʂʰ	［1］搀［2］馋缠［3］铲产谄{形容撒娇、嗲声嗲气，或说“上～”}［5］颤
ʂ	［1］山衫膻{～气}扇{动词}［3］闪陕［5］扇{名词}骟{～马:骟过的马}［6］善
ʐ	［3］染
k	［1］甘干{晒～}肝竿泔{～水}［3］感敢擀赶杆{笔～子}［5］干{～活儿}
kʰ	［3］坎砍［5］看{～见}
ŋ	［1］安鞍{马～}鹌{～鹑}［2］严{无～儿:没准儿}［3］俺［5］按案［6］岸
x	［1］鼾{～睡:呼噜}［2］含寒［3］喊罕［5］汉［6］旱汗焊
#iãn	
p	［1］编鞭边［3］扁匾［5］变遍［6］辫
pʰ	［1］片{～子}篇偏［2］便{～宜}［3］谝{显摆、炫耀}［5］骗{～子}片{一～}
m	［2］棉{～衣～裤}绵{～羊}［3］免挽{～上袖子}腼{～腆}［6］面{～门;～条}
t	［1］掂{～量}颠{～～:瞎跑}癫{疯疯～～}［3］点典踮{～脚儿:踮脚病}［5］惦{～记}电淀{～粉}［6］店惦{～记}垫
tʰ	［1］添天［2］田填甜［3］舔腆
n	［1］蔫{～儿巴:话少;走哩～儿:走路速度慢;花谢}［2］黏鲇{～鱼}言{～声儿:说话}验{～村:村名}年怜{可～}［3］撵{赶走}捻{炮～儿}碾{～子}［5］堰{～子:坝}［6］念
l	［2］镰帘连莲联［3］脸敛{～走}［6］殓{入～}练链{～子}
ts	［1］尖煎［3］剪［5］箭溅荐［6］贱
tsʰ	［1］千迁{～就}签{牙}［2］钱前［3］浅
s	［1］鲜仙先［5］线
tɕ	［1］监间{外～屋:外屋～}奸肩坚蒹{～草:白茅}［2］搛{～菜}［3］减碱检俭拣茧□{～儿:工儿、事情}［5］剑犍{～牛:公牛}毽{～子}间{当巴～儿:中间}建腱{～子肉}见槛{猪～:猪圈}［6］件
tɕʰ	［1］牵铅锨{铁～}［2］钳［3］愆{～着:指生活困难而熬日子}［5］欠芡{～粉}
ɕ	［1］掀［2］咸{～淡}闲弦{～儿}［3］险显［5］嫌［6］馅限县
∅	［1］淹腌{腌制}炎{气管～}延烟胭{～脂儿}［2］严盐阎檐岩颜研沿芫{～荽:香菜}□{～好正好，正合适}［3］掩{～山药}眼演［5］燕宴［6］验{化～}雁砚{～瓦}
#uãn	
t	［2］端{～饭，新派}［3］短{不长，～哩}［5］段［6］断缎{～子}
tʰ	［2］团{面～儿}
n	［3］暖
l	［2］栾{～城:县名}［3］卵［6］乱米{～糊:形容粥等又烂又黏稠的样子}
ts	［1］钻{身体钻进去}［3］籫{髻}［5］钻{～头}攥
tsʰ	［1］蹿{望前～}汆{～丸子}［2］全痊泉［5］窜{往上～}
s	［1］酸宣［2］旋［3］选癣［5］算蒜
tʂ	［1］专砖［3］转{望左～}［5］赚转{～圈儿}［6］传{水浒～}
tʂʰ	［1］穿川［2］传{～下来}椽{～子}船［3］喘［5］串
ʂ	［1］拴［5］涮
ʐ	［3］软
k	［1］官棺观{～音}冠{鸡～子}关［3］管馆［5］灌罐惯
kʰ	［1］宽［3］款
x	［1］欢［2］还{～愿}环［3］缓{～～劲儿}［5］□{连词，和}［6］换
∅	［1］弯湾{这一～儿里:这一片区域}豌{～豆}剜{使刀～}［2］玩{～儿}完丸顽{～皮}［3］晚碗豌{～豆}［5］腕［6］万蔓{豆儿～儿:豆秸}
#yãn	
tɕ	［1］捐娟［3］卷{～起来;～子:馒头}［5］卷{～子:试卷}桊{牛鼻～}
tɕʰ	［1］圈{圆～儿}［2］拳权蜷{～起来}颧{～骨}［3］犬［5］劝
ɕ	［1］暄{～乎儿:松软}［2］悬{～乎儿:指事情估计成不了}［5］陷{～下去}楦{鞋～子}
∅	［1］冤鸳{～鸯}［2］圆员元原愿{～意}袁辕{车～}园［3］远［5］怨愿{许～}［6］院
#ẽn	
p	［1］锛{使䦆头～}［3］本［5］奔{～丧}［6］笨{～枣树}□{别，不要，否定副词}
pʰ	［1］喷［2］盆
m	［1］闷［2］门
f	［1］分{～东西儿}芬喷{嚏～:喷嚏}［2］坟［3］粉［5］粪{大～}［6］分{本～}份{年～儿}
tʂ	［1］针真甄{～村:村名}胗{鸡～}砧{～子}［3］枕{～头}疹{～子}［5］枕{动词}镇振震［6］阵
tʂʰ	［1］抻［2］沉陈辰［5］趁衬称{～心儿}
ʂ	［1］参{人～}糁{～儿:谷类制成的小渣}深身申{地支}伸森{～林}［2］神晨{早～起来}［3］沈婶审［5］甚{～着:表疑问，拿不准}［6］肾
ʐ	［2］壬{天干}人仁{～义}［3］忍［6］葚{～子:桑葚}任{～哪儿:到处}刃认纫{～针:引线穿针}
k	［1］根跟［5］哏{～气:形容说话生硬}
kʰ	［3］肯
