#调值	①52	②24	③44	④31	⑤324	⑥213	⑦5	⑧32
#ɿ								
kʰ	①昆坤③捆⑤睏困							
h	①昏婚葷							
ɦ	②魂濁餛{～飩}							
ʔ	①溫瘟③穩							
#ʊ̃ŋ								
pʰ	③捧							
b	②蓬篷④埲							
m	②蒙							
f	①風楓瘋封豐峰蜂鋒③諷捧							
v	②馮逢縫{～衣裳}④奉⑥俸縫鳳							
t	①東冬③懂董⑤凍棟							
tʰ	①通③捅統筒⑤痛							
d	②同銅桐童瞳④桶動⑥洞							
l	②籠聾隆龍④攏壟⑥弄							
n	②農膿							
ts	①宗棕蹤綜③總⑤粽縱☐{跳躍}							
tsʰ	①聰蔥囪匆							
z	②從叢							
s	①松嵩⑤送宋誦頌訟							
tʃ	①中{當～}衷忠鍾鐘終龚盅③腫種{～子}⑤中{～獎}種{～樹}眾							
tʃʰ	①衝沖充③寵							
dʒ	②蟲重{～複}崇④重{輕～}眾							
k	①公蚣功工攻弓躬宮恭③汞鞏拱⑤供貢							
kʰ	①空③孔恐⑤控空{有～}							
ɡ	④共							
h	①轟烘⑤嗅{用鼻子聞}							
ɦ	②吳虹弘宏紅洪鴻							
ʔ	①翁							
#iʊ̃ŋ								
ȵ	②濃絨{羽～衫}							
tɕ	①均菌軍巾{手～}君③窘迥							
dʑ	②裙群瓊窮							
ɕ	①薰勳熏燻兄胸凶⑤訓							
ɦ	②勻雲榮熊雄融容蓉鎔營{營～}⑥熨運暈{光～}孕用韻							
ʔ	①雍擁庸⑤允泳永詠甬勇							
#aʔ								
p	⑦百柏伯擘{～開}							
pʰ	⑦拍							
b	⑧拔白							
t	⑦答搭							
tʰ	⑦榻塔搨{塗抹}							
d	⑧踏達沓{一～鈔票}							
f	⑦法發髮							
v	⑧乏伐筏罰							
m	⑧襪陌麥脈							
n	⑧納鈉捺							
l	⑧蠟臘獵{～人}辣							
ts	⑦劄{用針～}扎眨{文}札摘只{白，一～}☐{一種編織方法}☐{壓緊}窄							
tsʰ	⑦插察擦拆策冊赤{白，～豆}尺{白}							
s	⑦𥈊{～眼睛}撒{～手}薩殺							
dz	⑧雜							
z	⑧閘煠{用水煮}炸鍘宅雜射{～水槍}石{白，～頭}							
tʃ	⑦著{～衣裳；～棋，下棋}							
tʃʰ	⑦焯{放在熱水裡過一遍}							
dʒ	⑧著{睏～；～力，用力}							
ʒ	⑧著{睏～}							
k	⑦夾格							
kʰ	⑦掐恰甲{手節～，手指甲}客盒{香煙～～}							
ŋ	⑧額{～骨頭，額頭}齾{壓價}							
ɡ	⑧轧{～扁}							
h	⑦嚇{～人}瞎呷{喝，～湯}							
ɦ	⑧盒狹匣							
ʔ	⑦阿{～哥}鴨押壓							
#iaʔ								
l	⑧略掠							
tsʰ	⑦雀鵲							
z	⑧嚼							
s	⑦削							
tɕ	⑦甲腳{～魚，甲魚}							
tɕʰ	⑦卻							
dʑ	⑧劇							
