1	#漢字	聲	韻	調	解釋
260	低	t	iᶽ	1	
261	住	z(ʒ)	ʮ(ʯ)	6	
262	佐	ts	ɜuᵝ	5	
263	佑	ɦ	ʏ	6	
264	佒		ɑ̃ˠ	3	
265	佔	ts	i	5	
266	佔	ts(tʃ)	ɵ	1	
267	佔	ts(tʃ)	ɵ	5	
268	何	ɦ	ɜuᵝ	2	
269	佗	d	ɜuᵝ	2	
270	佘	z	uˠ	2	
271	余	ɦ	yᶽ	2	
272	佚	ɦ	iəʔ	8	
273	佛	v	əʔ	8	
274	作	ts	oʔ	7	
275	佝	k	øʏ	1	
276	佝	h	øʏ	1	
277	佞	ȵ	iən	6	
278	佟	d	oŋ	2	
279	你	n	iᶽ	1	
280	佣	ɦ	ioŋ	6	
281	佩	b	ᴇ	6	
282	佬	l	æ	6	
283	佮	k	əʔ	7	
284	佯	ɦ	iã	2	
285	佰	p	ɑˠʔ	7	
286	佳	tɕ	iɑˠ	1	
287	併	p	in	3	
288	佶	tɕ	iəʔ	7	
289	佻	tʰ	iæ	1	
290	佼	tɕ	iæ	1	
291	使	s	ɿ	3	
292	侃	kʰ	ɵ	5	
293	侄	z(ʒ)	əʔ	8	
294	來	l	ᴇ	2	
295	侈	tsʰ(tʃʰ)	ʮ(ʯ)	3	
296	侉	kʰ	uˠ	5	
297	例	l	iᶽ	6	
298	侍	z	ɿ	6	
299	侏	ts(tʃ)	ʮ(ʯ)	1	
300	侖	l	ən	2	
301	侗	d	oŋ	2	
302	供	k	oŋ	1	
303	供	k	oŋ	5	
304	供	tɕ	ioŋ	5	
305	依		iᶽ	1	
306	侮	v	ʉᵝ	2	
307	侯	ɦ	øʏ	2	
308	侵	tsʰ	in	1	
309	侶	l	iᶽ	6	
310	侷	dʑ	ioʔ	8	
311	便	b	i	2	
312	便	b	i	6	
313	係	ɕ	iᶽ	5	
314	促	tsʰ	oʔ	7	
315	俄	ŋ	ɜuᵝ	2	
316	俅	dʑ	ʏ	2	
317	俊	ts	in	5	
318	俎	ts	ɜuᵝ	3	
319	俏	tsʰ	iæ	5	
320	俐	l	iᶽ	6	
321	俑	ɦ	ioŋ	6	
322	俗	z	oʔ	8	
323	俘	f	ʉᵝ	1	
324	俘	f	ʉᵝ	3	
325	俚	l	iᶽ	1	
326	俚	l	iᶽ	6	
327	保	p	æ	3	
328	俞	ɦ	yᶽ	2	
329	俟	z	ɿ	6	
330	俠	ɦ	iɑˠʔ	8	
331	信	s	in	5	
332	俬	s	ɿ	1	
333	修	s	øʏ	1	
334	俯	f	ʉᵝ	3	
335	俱	dʑ	yᶽ	6	
336	俸	f	oŋ	5	
337	俺		ᴇ	1	
338	俾	p	ᴇ	3	
339	倀	tsʰ(tʃʰ)	ã	1	
340	倆	l	iã	6	
341	倉	tsʰ	ɑ̃ˠ	1	
342	個	k	ɜuᵝ	5	
343	個	k	əʔ	7	
344	倌	k	uɵ	1	
345	倍	b	ᴇ	6	
346	倏	s(ʃ)	oʔ	7	
347	們	m	ən	2	
348	倒	t	æ	3	
349	倒	t	æ	5	
350	倓	tʰ	ᴇ	3	
351	倔	dʑ	yəʔ	8	
352	倖	ɦ	iən	6	
353	倘	tʰ	ɑ̃ˠ	3	
354	候	ɦ	øʏ	6	
355	候	ɦ	ʏ	6	
356	倚		iᶽ	5	
357	倜	ts(tʃ)	øʏ	1	
358	倜	tʰ	iɪʔ	7	
359	借	ts	iɑˠ	5	
360	倡	tsʰ(tʃʰ)	ã	5	
361	倣	f	ɑ̃ˠ	3	
362	倥	kʰ	oŋ	5	
363	倦	dʑ	iɵ	6	
364	倨	tɕ	yᶽ	5	
365	倩	tsʰ	i	5	
366	倪	ȵ	iᶽ	2	
367	倫	l	ən	2	
368	倭		ɜuᵝ	1	
369	倷	n	ᴇ	6	
370	值	z(ʒ)	əʔ	8	
371	偃		i	3	
372	假	k	ɑˠ	3	
373	假	k	ɑˠ	5	
374	假	tɕ	iɑˠ	3	
375	假	tɕ	iɑˠ	5	
376	偈	dʑ	iəʔ	8	
377	偉	ɦ	uᴇ	6	
378	偎		uᴇ	1	
379	偏	pʰ	i	1	
380	偕	tɕ	iɑˠ	1	
381	偕	ɦ	i	2	
382	做	ts	ɜuᵝ	5	
383	停	d	in	2	
384	健	dʑ	i	6	
385	側	ts	əʔ	7	
386	側	tsʰ	əʔ	7	
387	偵	ts	ən	1	
388	偶	ŋ	øʏ	1	
389	偶	ŋ	øʏ	3	
390	偷	tʰ	øʏ	1	
391	僞	ɦ	uᴇ	6	
392	傀	kʰ	uᴇ	3	
393	傅	f	ʉᵝ	5	
394	傈	l	iɪʔ	8	
395	傍	b	ɑ̃ˠ	6	
396	傑	dʑ	iəʔ	8	
397	傖	tsʰ	ɑ̃ˠ	1	
398	傘	s	ᴇ	5	
399	備	b	ᴇ	6	
400	傢	k	ɑˠ	1	
401	催	tsʰ	ᴇ	1	
402	傭	ɦ	ioŋ	6	
403	傯	ts	oŋ	3	
404	傲	ŋ	æ	6	
405	傳	z(ʒ)	ɵ	2	
406	傳	z(ʒ)	ɵ	6	
407	傴		øʏ	1	
408	傴		øʏ	5	
409	債	ts	ɑˠ	5	
410	傷	s	ɑ̃ˠ	1	
411	傻	s	ɑˠ	3	
412	傾	tɕʰ	iən	1	
413	僂	l	øʏ	2	
414	僅	dʑ	iən	6	
415	像	z	iã	6	
416	僑	dʑ	iæ	2	
417	僕	b	oʔ	8	
418	僖	ɕ	iᶽ	1	
419	僚	l	iæ	2	
420	僞	ɦ	uᴇ	6	
421	僥	tɕ	iæ	3	
422	僧	s	ən	1	
423	僭	ts	i	5	
424	僮	z(ʒ)	ɑ̃ˠ	6	
425	僮	d	oŋ	2	
426	僱	k	ɜuᵝ	5	
427	僳	s	oʔ	7	
428	僵	tɕ	iã	1	
429	價	k	ɑˠ	5	
430	價	tɕ	iɑˠ	5	
431	僻	pʰ	iɪʔ	7	
432	儀	ȵ	iᶽ	2	
433	儂	n	oŋ	2	
434	儂	n	oŋ	6	
435	億		iᶽ	5	
436	儆	tɕ	iən	3	
437	儈	k	uᴇ	5	
438	儉	dʑ	i	6	
439	儋	t	ᴇ	1	
440	儐	p	in	1	
441	儒	z(ʒ)	ʮ(ʯ)	2	
442	儔	z(ʒ)	øʏ	2	
443	儕	z	ᴇ	2	
444	儘	ts	in	3	
445	儘	z	in	6	
446	償	s	ɑ̃ˠ	3	
447	償	z	ɑ̃ˠ	2	
448	儡	l	ᴇ	3	
449	優		ʏ	1	
450	儲	z(ʒ)	ʮ(ʯ)	2	
451	儷	l	iᶽ	6	
452	儸	l	ɜuᵝ	2	
453	儺	n	ɜuᵝ	2	
454	儻	tʰ	ɑ̃ˠ	3	
455	儼	ȵ	i	6	
456	儾	n	ɑ̃ˠ	5	
457	兀	ŋ	əʔ	8	
458	允		yən	3	
459	元	ȵ	iɵ	2	
460	元	ɦ	iɵ	2	
461	兄	ɕ	ioŋ	1	
462	充	tsʰ(tʃʰ)	oŋ	1	
463	兆	z(ʒ)	æ	6	
464	兇	ɕ	ioŋ	1	
465	先	s	i	1	
466	光	k	uã	1	
467	光	k	uɑ̃ˠ	1	
468	克	kʰ	əʔ	7	
469	兌	d	ᴇ	6	
470	免	m	i	6	
471	兒	ȵ	iᶽ	2	
472	兒		əl	1	
473	兒	ŋ		6	
474	兔	tʰ	ɜuᵝ	5	
475	兗	ɦ	i	6	
476	兜	t	øʏ	1	
477	兢	dʑ	iən	2	
478	入	z(ʒ)	əʔ	8	
479	入	ȵ	iəʔ	8	
480	內	n	ᴇ	6	
481	全	z	i	2	
482	兩	l	iã	3	
483	兩	l	iã	6	
484	八	p	oʔ	7	
485	公	k	oŋ	1	
486	六	l	oʔ	8	
487	兮	ɦ	iᶽ	2	
488	共	ɡ	oŋ	6	
489	兵	p	in	1	
490	其	dʑ	iᶽ	2	
491	具	dʑ	yᶽ	6	
492	典	t	i	3	
493	兼	tɕ	i	1	
494	冀	tɕ	iᶽ	5	
495	冉	z(ʒ)	ɵ	6	
496	冊	tsʰ	ɑˠʔ	7	
497	冊	tsʰ	əʔ	7	
498	再	ts	ᴇ	1	
499	冒	m	æ	6	
500	冕	m	i	6	
501	冗	z(ʒ)	oŋ	6	
502	冠	k	uᴇ	1	雞~花
503	冠	k	uɵ	1	
504	冠	k	uɵ	5	
505	冢	ts(tʃ)	oŋ	3	
506	冤		iɵ	1	
507	冥	m	in	1	
508	冪	m	iɪʔ	8	
509	冬	t	oŋ	1	
510	冰	p	in	1	
511	冶	ɦ	iɑˠ	6	~坊：鑄造廠
512	冶	ɦ	i	6	~金
513	冷	l	ã	6	
514	冷	l	ən	6	
515	冼	s	i	3	
516	冽	l	iɪʔ	8	
517	准	ts(tʃ)	ən	3	
518	凋	t	iæ	1	
519	凌	l	in	2	
520	凍	t	oŋ	5	
521	凚	dʑ	iən	6	
522	凜	l	in	3	
523	凝	ȵ	iən	2	
524	凝	ȵ	iən	6	
525	几	tɕ	iᶽ	1	
526	凡	v	ᴇ	2	
527	凰	ɦ	uɑ̃ˠ	2	
528	凱	kʰ	ᴇ	3	
529	凳	t	ən	5	
530	凶	ɕ	ioŋ	1	
531	凸	d	əʔ	8	
532	凸	d	iɪʔ	8	
533	凹		æ	1	
534	出	tsʰ(tʃʰ)	əʔ	7	
535	函	ɦ	ɵ	2	
536	刀	t	æ	1	
537	刁	t	iæ	1	
538	刃	z(ʒ)	ən	6	
539	分	f	ən	1	
540	分	v	ən	6	
541	切	tsʰ	iɪʔ	7	
542	刈	ȵ	iᶽ	6	
543	刊	kʰ	ɵ	5	
544	刎	v	ən	2	
545	刑	ɦ	iən	2	
546	划	ɦ	uˠ	2	
547	列	l	iɪʔ	8	
548	初	tsʰ	ɜuᵝ	1	
549	判	pʰ	ɵ	5	
550	別	b	əʔ	8	
551	別	b	iɪʔ	8	
552	刨	b	æ	6	
553	利	l	iᶽ	6	
554	刪	s	ᴇ	1	
555	刮	k	uaʔ	7	
556	到	t	æ	5	
557	制	ts(tʃ)	ʮ(ʯ)	5	
558	刷	s(ʃ)	əʔ	7	
559	券	tɕʰ	iɵ	5	
560	刺	tsʰ	ɿ	5	
561	刺	tsʰ	iɪʔ	7	
562	刻	kʰ	əʔ	7	
563	剁	t	ɜuᵝ	3	
564	剃	tʰ	iᶽ	5	
565	剄	tɕ	iən	3	
566	則	ts	əʔ	7	
567	剈		iɵ	1	
568	削	s	iɑˠʔ	7	
569	剋	kʰ	əʔ	7	
570	前	z	i	2	
571	剎	s	aʔ	7	
572	剔	tʰ	iɪʔ	7	
573	剖	pʰ	øʏ	1	
574	剖	pʰ	ɵ	1	
575	剛	k	ɑ̃ˠ	1	
576	剜		uɵ	3	
577	剝	p	oʔ	7	
578	剡	ɦ	i	6	
579	剩	z(ʒ)	ã	6	訓讀，本字為“長”
580	剩	z(ʒ)	ən	6	
581	剪	ts	i	3	
582	剮	k	uˠ	3	
583	副	f	ʉᵝ	3	
584	副	f	ʉᵝ	5	
585	割	k	əʔ	7	
586	剴	kʰ	ᴇ	3	
587	創	tsʰ	ɑ̃ˠ	5	（平舌特殊）
588	剷	tsʰ	ᴇ	3	
589	剽	b	iæ	2	
590	剾	kʰ	øʏ	1	
591	剿	z	iæ	2	
592	劂	tɕ	yəʔ	7	
593	劃	ɦ	uaʔ	8	
594	劄	ts	aʔ	7	
595	劇	dʑ	iəʔ	8	
596	劈	pʰ	iɪʔ	7	
597	劉	l	øʏ	2	
598	劊	k	uᴇ	5	
599	劍	tɕ	i	5	
600	劐	h	oʔ	7	
601	劑	ts	iᶽ	5	
602	力	l	iɪʔ	8	
603	功	k	oŋ	1	
604	加	k	ɑˠ	1	
605	加	tɕ	iɑˠ	1	
606	劣	l	iɪʔ	8	
607	助	z	ɜuᵝ	6	
608	努	n	ɜuᵝ	3	
609	劫	tɕ	iəʔ	7	
610	劬	dʑ	yᶽ	2	
611	劾	ŋ	əʔ	8	
612	勁	tɕ	iən	5	
613	勃	b	əʔ	8	
614	勇		ioŋ	3	
615	勉	m	i	3	
616	勒	l	əʔ	8	
617	動	d	oŋ	6	
618	勖	ɕ	ioʔ	7	
619	勘	kʰ	ɵ	5	
620	務	v	ʉᵝ	6	
621	勝	s(ʃ)	ən	5	
622	勞	l	æ	2	
623	募	m	uˠ	6	
624	勢	s(ʃ)	ʮ(ʯ)	5	
625	勣	ts	iɪʔ	7	
626	勤	dʑ	iən	2	
627	勳	ɕ	yən	3	
628	勵	l	iᶽ	6	
629	勸	tɕʰ	iɵ	5	
630	勺	z	uˠ	6	
631	勺	z	oʔ	8	
632	勻	ɦ	yən	2	
633	勾	k	øʏ	1	
634	勿	v	əʔ	7	
635	包	p	æ	1	
636	匆	tsʰ	oŋ	1	
637	匈	ɕ	ioŋ	1	
638	匍	b	ʉᵝ	2	
639	匏	b	æ	2	
640	匐	v	oʔ	8	
641	匕	pʰ	iᶽ	1	
642	匕	pʰ	iᶽ	3	
643	化	h	uˠ	5	
644	北	p	oʔ	7	
645	匙	z	ɿ	2	
646	匝	ts	aʔ	7	
647	匟	kʰ	ɑ̃ˠ	5	
648	匠	z	iã	6	
649	匡	kʰ	uɑ̃ˠ	1	
650	匣	ɦ	aʔ	8	
651	匪	f	iᶽ	3	
652	匯	ɦ	uᴇ	6	
653	匱	ɡ	uᴇ	6	
654	匳	l	i	2	
655	匹	pʰ	iɪʔ	7	
656	匽		iᶽ	3	
657	匾	p	i	3	
658	匿	ȵ	iəʔ	8	
659	區	tɕʰ	yᶽ	1	
660	區		øʏ	1	
661	十	s(ʃ)	uˠ	3	~五，避免與“入”同音
662	十	s(ʃ)	əʔ	7	用在个位是0的数中：三~
663	十	z(ʒ)	əʔ	8	
664	千	tsʰ	i	1	
665	卅	s	aʔ	7	
666	升	s(ʃ)	ən	1	
667	午		ɜuᵝ	1	
668	午	ŋ		6	
669	卉	h	uᴇ	5	
670	半	p	ɵ	5	
671	卑	p	ᴇ	1	
672	卒	ts	əʔ	7	
673	卓	ts(tʃ)	oʔ	7	
674	協	ɦ	iəʔ	8	
675	南	n	ɑˠ	1	
676	南	n	ɵ	2	
677	博	p	oʔ	7	
678	卜	p	oʔ	7	
679	卞	b	i	6	
680	占	ts	i	5	
681	占	ts(tʃ)	ɵ	1	
682	卡	kʰ	ɑˠ	3	
683	卦	k	uɑˠ	5	
684	卦	k	uˠ	5	
685	卮	ts	ɿ	1	
686	卯	m	æ	6	
687	印		iən	5	
688	危	ɦ	uᴇ	2	
689	即	ts	iɪʔ	7	
690	卵	l	ɜuᵝ	3	
691	卵	l	ɵ	6	
692	卷	tɕ	iɵ	3	
693	卷	tɕ	iɵ	5	
694	卸	s	iɑˠ	5	
695	卻	tɕʰ	iɑˠʔ	7	
696	卿	tɕʰ	iən	5	
697	厄	ŋ	əʔ	8	
698	厘	l	iᶽ	2	
699	厚	ɦ	øʏ	6	
700	厚	ɦ	ʏ	6	
701	厝	tsʰ	ɜuᵝ	5	
702	原	ȵ	iɵ	1	
703	原	ȵ	iɵ	2	
704	厥	tɕ	yəʔ	7	
705	厭		i	5	
706	厲	l	iᶽ	6	
707	厴		i	3	
708	去	tɕʰ	iᶽ	5	
709	去	tɕʰ	yᶽ	5	
710	厾	t	oʔ	7	
711	叄	s	ᴇ	1	
712	參	tsʰ	ɵ	1	
713	參	tsʰ	ən	1	
714	參	s	ən	1	
715	叄	s	ᴇ	1	
716	又	ɦ	ʏ	6	
717	叉	tsʰ	uˠ	1	
718	及	dʑ	iəʔ	8	
719	友		ʏ	3	
720	反	f	ᴇ	3	
721	叔	s(ʃ)	oʔ	7	
722	取	tsʰ	iᶽ	3	
723	受	z(ʒ)	øʏ	6	
724	叛	b	ɵ	6	
725	叟	s	øʏ	3	
726	叢	z	oŋ	2	
727	口	kʰ	øʏ	3	
728	古	k	ɜuᵝ	3	
729	句	tɕ	yᶽ	5	
730	句	k	øʏ	1	
731	另	l	in	6	
732	叨	tʰ	æ	1	
733	叩	kʰ	øʏ	5	
734	只	ts	əʔ	7	
735	叫	tɕ	iæ	5	
736	召	z(ʒ)	æ	6	
737	叭	p	ɑˠ	1	
738	叮	t	in	1	
739	可	kʰ	ɜuᵝ	3	
740	台	tʰ	ᴇ	1	
741	叱	tsʰ(tʃʰ)	əʔ	7	
742	史	s	ɿ	3	
743	右	ɦ	ʏ	6	
744	叵	pʰ	ʉᵝ	3	
745	司	s	ɿ	1	
746	叼	t	iæ	1	
747	吁	ɕ	yᶽ	1	
748	吃	tɕʰ	iəʔ	7	
749	各	k	oʔ	7	
750	吆		iæ	1	
751	合	k	əʔ	7	
752	合	ɦ	əʔ	8	
753	吉	tɕ	iəʔ	7	
754	吊	t	iæ	5	
755	同	d	oŋ	2	
756	名	m	in	2	
757	后	ɦ	øʏ	6	
758	后	ɦ	ʏ	6	
759	吏	l	iᶽ	6	
760	吐	tʰ	ɜuᵝ	3	
761	向	ɕ	iã	5	
762	吒	ts	uˠ	5	
763	君	tɕ	yən	1	
764	吝	l	in	3	
765	吞	tʰ	ən	1	
766	吠	v	iᶽ	6	
767	否	b	iᶽ	6	
768	否	f	øʏ	1	
769	否	f	øʏ	3	
770	吧	b	ɑˠ		
771	吩	f	ən	1	
772	含	ɦ	ɵ	2	
773	吭	ɦ	ɑ̃ˠ	2	
774	吭	kʰ	ən	1	
775	吮	z(ʒ)	ən	6	
776	吱	ts	ɿ	1	
777	吱	ts(tʃ)	ʮ(ʯ)	1	
778	吳	ɦ	ɜuᵝ	2	
779	吳	ŋ		2	
780	吵	tsʰ	æ	3	
781	吶	n	aʔ	8	
782	吶	n	əʔ	8	
783	吸	ɕ	iəʔ	7	
784	吹	tsʰ(tʃʰ)	ʮ(ʯ)	1	
785	吹	tsʰ	ᴇ	1	
786	吻	m	ən	2	
787	吻	v	ən	2	
788	吼	h	øʏ	1	
789	吼	h	øʏ	5	
790	吾	ŋ	ɜuᵝ	6	
791	呀		iɑˠ	1	
792	呂	l	iᶽ	6	
793	呃		əʔ	7	
794	呆	ŋ	ᴇ	2	
795	呈	z(ʒ)	ən	2	
796	告	k	æ	5	
797	呔	t	ᴇ	1	
798	呢	ȵ	iᶽ	2	
799	呢	n	əʔ	8	
800	呣	m		1	
801	呤	ȵ	iən	2	
802	呦		ʏ	1	
803	周	ts(tʃ)	øʏ	1	
804	呯	b	in	6	
805	呱	k	ɜuᵝ	1	
806	呱	k	uaʔ	7	
807	味	m	iᶽ	6	
808	味	v	iᶽ	6	
809	呵	h	ɜuᵝ	1	
810	呶	n	æ	2	
811	呷	h	aʔ	7	
812	呸	pʰ	ᴇ	1	
813	呸	pʰ	ᴇ	3	
814	呻	s(ʃ)	ən	1	
815	呼	h	ɜuᵝ	1	
816	命	m	in	6	
817	咀	ts	iᶽ	3	
818	咂	ts	aʔ	7	
819	咄	d	ɜuᵝ	6	
820	咄	d	oʔ	8	
821	咆	b	æ	2	
822	咆	b	æ	6	
823	咉		ɑ̃ˠ	1	
