#調值	[1]11 [2]21 [3]52 [4]44 [5]22 [6]25				
#符號說明:	-白=文				
#aŋ					
tsʰ	[1]揣[5]踹				
Ø	[1]歪[6]外				
#ei					
b	[2]陪賠[6]背焙倍				
m	[2]梅煤眉[4]美每[6]妹魅媚				
p	[1]碑卑悲杯□{虧}[3]□{埋}[5]貝背輩				
pʰ	[1]胚[5]配沛[6]佩珮				
#uei					
d	[2]頹				
dz	[2]錘垂[6]罪				
g	[2]葵逵魁[6]跪=				
h	[1]麾徽灰揮輝非飛妃[2]回肥[3]悔誨匪[4]翡[5]賄費廢肺[6]惠慧匯會彙吠				
k	[1]龜規歸[3]詭鬼軌[5]貴桂				
kʰ	[1]虧窺盔[2]傀奎[4]跪-[5]愧潰				
l	[1]□{滑}[2]雷擂[4]累壘=蕊[6]累內瑞睿銳				
s	[2]隨綏髓[3]水鼠[5]粹歲稅碎[6]睡瑞遂隧穗				
t	[1]堆[4]壘-[5]隊對				
tʰ	[1]推[3]腿[5]退褪蛻				
ts	[1]錐追[3]嘴[5]醉最贅綴=				
tsʰ	[1]崔催吹炊[3]璀[5]碎-翠脆				
Ø	[2]微為維唯危[3]委萎[4]緯偉偽尾[5]畏慰[6]味位未胃				
#ɘi					
d	[2]台臺抬苔[6]袋待殆怠代貸				
dz	[2]裁財才材[6]在				
h	[2]孩[4]海				
k	[1]該[3]改				
kʰ	[1]開[3]凱[5]概				
l	[2]來[4]乃[6]耐				
s	[1]鰓[5]塞賽				
t	[1]獃[3]歹逮[5]戴				
tʰ	[1]胎[5]態				
ts	[1]栽災[2]崽[3]崽宰[5]載再				
tsʰ	[1]猜[3]彩採采綵睬[5]菜				
Ø	[1]哀埃挨[2]挨[5]愛				
#ɘ					
b	[2]白				
d	[6]在				
dz	[2]宅賊				
h	[2]嚇咳黑[3]許				
k	[2]格隔革[3]給[5]鋸個				
kʰ	[2]咳客克嗑				
l	[2]肋勒				
m	[1]墨[2]墨脈沒麥[4]默				
p	[2]伯百北柏				
pʰ	[2]拍迫				
s	[1]奢賒些{我～東西}[2]蛇=折蝨舌核設覈色嗇塞=攝涉[3]舍[5]赦[6]社射				
t	[2]得德				
tʰ	[2]特				
ts	[1]遮隻-{一～人;我～}[2]蟄摺擇摘則時{哪～}[3]者[5]蔗翅{～干}				
tsʰ	[1]車[2]廁測側撤坼策冊[3]撦扯				
Ø	[1]呃[2]額而厄扼[4]耳洱[6]□{迴應聲}				
#iɘ					
Ø	[4]耶				
#ieŋ					
l	[4]冷				
#ue					
k	[2]郭幗[3]鬼				
h	[2]活或获				
#uɛ					
k	[2]國[5]□				
#yɛ					
ɕ	[1]鮮{～紅}[2]薛靴蛇挟{要～}雪				
h	[2]血穴				
tɕ	[2]掘厥訣決絕栀{～子花}倔拙[3]□				
tɕʰ	[2]缺闕卻[3]□{折}				
Ø	[2]月越粵□{摺疊}[6]□{彎}				
#ien					
Ø	[2]贏				
#yen					
tɕ	[5]俊				
#o					
b	[2]勃泊蒲薄[6]薄				
d	[2]砣陀坨馱奪[6]舵				
dz	[2]濁昨				
h	[2]喝合何河盒荷鶴活获乎賀[5]霍藿[6]賀				
k	[1]郭哥歌[2]角葛訖括割各閣鴿格骨{劍～魚}[5]個{我～;～人}				
kʰ	[2]瞌客[3]可				
l	[2]羅挪邏落絡蘿				
m	[1]摸[2]莫膜末摩脈{山～}				
p	[2]撥鉢博				
pʰ	[2]潑[4]伏				
s	[2]縮說朔{陽～}[3]所[5]傻				
t	[1]多[2]戳				
tʰ	[1]拖[2]脫托拓				
ts	[2]作琢桌啄着抓[3]左[5]佐				
tsʰ	[1]搓				
Ø	[1]蝸屙[2]哦厄{～運}鳄俄鵝握[4]我[6]餓				
#io					
ɕ	[2]削				
h	[2]學				
l	[2]略				
tɕ	[2]腳爵嚼着				
tɕʰ	[2]覺雀嚏				
Ø	[2]藥葯鈅約				
#uo					
b	[2]婆				
d	[6]惰墮垛				
dz	[6]坐座				
h	[1]窠[2]和[4]夥伙[5]貨[6]禍				
k	[1]鍋戈[3]果裹粿[5]過				
kʰ	[1]科[3]顆[5]課				
l	[4]裸踝卵				
