参考资料	刘兴策《宜昌方言研究研究》
t	①丁钉靪疔③顶鼎④钉（～住）订定锭
tʰ	①听汀厅②亭停廷庭蜓（蜻～）③艇挺④听（～其自然）
n	①拎②林淋临邻鳞燐陵凌菱宁柠泞灵伶零铃凝③凛廪领岭④赁吝令佞
tɕ	①侵浸今金禁（～不住）襟津巾斤筋京鲸荆精睛（眼～）晶旌经矜③锦紧仅谨景警井颈④禁（～止）进晋尽劲近竞兢茎敬静净径侭
tɕʰ	①钦亲卿青清蜻轻倾②琴禽擒秦勤芹擎情晴③寝请顷④亲（～家）庆磬
ɕ	①心辛新薪欣兴（～旺）星腥馨炘昕②行形型刑③省（反～）醒④信汛迅衅兴（高～）杏（文）幸性姓
零	①音阴荫窨因姻殷英鹰莺婴樱鹦缨②淫银寅蝇迎盈赢萤营茔荧吟龈③饮引影颖隐④印应硬（文）映
	uən
k	③滚④棍
kʰ	①昆崑坤③綑④困
x	①昏婚荤晕②魂馄（～饨）横④横（又）混
ts	③准
tsʰ	①春椿③蠢
s	②纯莼醇④舜瞬
ʐ	④闰润
零	①温瘟②文蚊纹闻雯③稳吻刎④问
	yn
tɕ	①均钧谆肫（鸡～）君军③炯迥④俊竣窘菌濬郡竟境镜
tɕʰ	②群裙琼
ɕ	①薰熏勋②旬殉荀询循巡④讯训
零	①晕②匀云耘芸荣郧③允尹永④陨运韵熨孕咏詠泳
	aŋ
p	①邦帮浜（一条～）③绑榜谤④棒蚌
pʰ	①胮谤②庞旁傍③膀（蹄～）④胖
m	②忙芒茫③莽
f	①方芳②妨肪房防③仿纺彷访④放
t	①当③党④荡宕当（～作）
tʰ	①汤②堂螳唐糖塘③倘躺④烫趟
n	②囊郎螂廊狼②朗琅④浪
k	①冈刚纲钢缸肛③港④虹（天上的～）岗杠扛（又）
kʰ	①康糠②扛③慷④抗炕
x	①夯②行（～列）航杭④项（白）巷（白）
ts	①脏（肮～）赃张章樟漳③长（生～）④葬丈仗杖帐账胀障臧藏（西～）脏（心～）
tsʰ	①仓苍伧昌倡（～优）猖②藏（隐～）肠场长（～短）③厂敞④倡议（提～）唱怅畅
s	①桑丧（婚～）商伤②常尝裳③嗓赏偿晌④丧（～失）上尚
ʐ	②瓤③壤攘嚷釀④让
零	①肮②昂
	iaŋ
n	②良粮梁粱凉娘量（～长短）③两辆④亮量（数～）谅
tɕ	①将（～来）浆疆薑僵姜江③将奖桨讲④酱将（大～）匠降（下～）犟
tɕʰ	①枪羌腔戕②墙强（～弱）筐（又）③抢强（勉～）④像（白）
ɕ	①相（～互）箱厢襄镶香乡②详祥降（～服）③想享响④象像（文）向项（文）巷（文）相（～貌）
零	①央秧殃②羊洋阳杨扬③仰养痒④样恙漾
	uaŋ
k	①光③广④逛
kʰ	①匡框②狂④旷矿况
x	①荒慌②黄皇蝗③谎恍④幌
ts	①庄装妆④壮状
tsʰ	①疮窗②床③闯④创撞
s	①霜孀双③爽
零	①汪②王亡忘③往枉网④望忘（又）妄旺
	oŋ
p	①崩④迸
pʰ	②朋棚蓬篷③捧④碰
m	②蒙朦濛③猛懵④孟梦
f	①风枫疯丰封峰蜂锋②冯缝（～衣服）逢③讽④凤缝（一条～）奉俸
t	①东冬③董懂④冻栋动洞
tʰ	①通②同桐筒铜童瞳③桶捅统④痛
n	①聋②龙笼农浓脓隆③陇陇垅④弄
k	①公工攻功弓宫躬恭供③汞拱（～手）④贡共供（～养）
kʰ	①空（～虚）③孔恐④控空（～缺）
x	①轰揈烘（～干）②弘宏洪红虹鸿泓③轰（又）哄（～骗）④閧
ts	①宗棕综鬃中（当～）忠盅钟鍾终③总冢④粽中（射～）仲众纵重（轻～）种（～树）
tsʰ	①聪葱囱充舂②从丛重（～复）虫③宠④铳
s	①松鬆嵩③耸④送宋诵颂讼
ʐ	②戎绒茸③冗
零	①翁嗡④瓮
	yŋ
tɕʰ	②穷穹
ɕ	①兄胸凶②熊雄
零	①雍拥②融容庸镛③甬勇涌④用佣
