kʰa	1	35	掐客-恰-(~好)虾-(~米，~公)	
kʰa	3	53	卡	
ŋa	1	35	扼(掐住:~紧阿~口，张口)□(一~哩，一小把)	
ŋa	2	13	牙芽伢衙□(~~，刚好，恰好)□(缝隙)□(~砖，砖头)	
ŋa	3	53	雅瓦	
ŋa	5	11	压轧	
xa	1	35	哈打(~~，哈哈大笑)虾=吓瞎	
xa	2	13	霞□(~鼻子，扁塌的鼻子)	
xa	3	53	厦哈(蠢)	
xa	5	11	下夏匣辖踏(~脚板)	
a	1	35	阿啊(表疑问)鸭鸦丫(~江桥，地名)轭(牛~)□(强迫)	
a	2	13	桠	
a	3	53	哑	
a	5	11	啊(表惊叹)亚挜(栽树、菜)	
pia	1	35	壁-(~虎;~头，墙壁）	
pia	3	53	□(枪声)	
pʰia	1	35	劈-(~柴，~开)□(~人，呛人)	
tia	1	35	抓-(~倒，抓住）	
tia	2	13	嗲	
tʰia	1	35	踢□(~圞，很圆)□(用绳子绑;~颈，吊颈)	
tʰia	2	13	提=	
tʰia	5	11	笛	
lia	1	35	犁-(~田，犁田)□(对肉食去毛、加工)□(小孩哭闹)□(~开用脚拨开)	
lia	2	13	□(冒一~，表现很差)	
lia	3	53	□(斜)□(用舌头将口中食物顶出)	
lia	5	11	栗(~子)	
tɕia	1	35	夹=(~子)遮□(脾气倔犟暴躁)□(味涩)□(~u13，肮脏)炙(~火:烤火)	
tɕia	2	13	□(唠叨)	
tɕia	3	53	姐-	
tɕia	5	11	借者(句末语助词)蔗(~茎，甘蔗)柘	
tɕʰia	1	35	吃-车尺赤(~脚医师)屐-(木~)	
tɕʰia	2	13	□(~巴，麻烦事儿)	
tɕʰia	3	53	扯	
tɕʰia	5	11	洽籍跨-	
ȵia	1	35	额(~门，额头)	
ȵia	2	13	□(粘)□(~倒，靠近，接近)	
ȵia	3	53	惹-	
ȵia	5	11	肏(性交)	
ɕia	1	35	余赊锡峡狭侠	
ɕia	2	13	斜蛇邪(很:~粗，~溜，~苦，~涩)	
ɕia	3	53	写舍	
ɕia	5	11	社(~会;上~，人赘)射谢麝石席(~子)	
ia	1	35	押丫=(~鬟)	
ia	2	13	爷-	
ia	3	53	野冶惹□(~蛮牯，勉强)	
ia	5	11	也夜呀	
kua	1	35	括刮瓜呱(~~叫)□(语气词，表提醒对方注意某物的存在）	
kua	2	13	□(~清，很稀，不稠)	
kua	3	53	寡剐□(~子，未受精而不能孵出鸡、鸭的蛋)	
kua	5	11	挂褂卦	
kʰua	1	35	夸跨=胯=	
kʰua	2	13	□(水~~，积水太多)	
kʰua	3	53	垮挎□(~ʨi，枝条)	
kʰua	5	11	倾-(泼水、粪等)	
ua	1	35	挖蛙哇洼袜娲	
ua	2	13	娃	
ua	3	53	瓦=□(~丝，螺丝、螺帽、螺钉等上面的螺纹被破坏)□(舀取)	
ua	5	11	滑猾话-(说)	
po	1	35	波菠玻博搏膊驳剥拨钵帛泼(活~)卜(~卦)	
po	2	13	□(地面笑起的地方,山丘)	
po	3	53	跛=□(重击)	
po	5	11	播簸番(吐蕃)	
pʰo	1	35	坡泼(~水)朴仆(~人)扑瀑(~布)	
pʰo	2	13	婆鄱笸(~箩)	
pʰo	5	11	颇叵	
pʰo	1	35	破薄(厚~，~荷)剖仆趴	
mo	1	35	木(~材;麻木;棺材)末抹(又)牧睦目	
mo	2	13	磨(动词)魔蘑馍	
mo	3	53	摸陌(阡~)	
mo	5	11	莫磨(名词)	
fo	1	35	幅福复腹覆豁霍藿酷(~嫩，很嫩)蠚(虫子蜇;~毛虫,松毛虫)	
fo	2	13	和	
fo	3	53	火伙	
fo	5	11	伏袱袱茯服货祸(和~面)	
to	1	35	多督□(跳)	
to	2	13	坨(又)□(啄)□(~哩裤，短裤)□(乱~,乱套;~数，套路)	
to	3	53	朵躲	
to	5	11	剁	
tʰo	1	35	托=错撮(~箕;~斗)拖(~拉机)	
tʰo	2	13	矬(~sɿ11，矮女人)□(以多欺少)	
tʰo	3	53	挫锉(动词)	
tʰo	5	11	坐座昨凿柞锉(名词)拓(开~)	
lo	1	35	烙洛骆络罗(~嗦)乐(快~)禄诺鹭(白~)□(跳)	
lo	2	13	罗锣骡箩螺逻脶挪(搓:~绳:~衫衣)	
lo	3	53	裸卵(输~管;~石)	
lo	5	11	落捋鹿麓□(~子，最后出生的人或动物)	
tso	1	35	作撮(量词，五指向内并拢时所得的物量;动词，五指向内抓捏使软物成型)捉桌卓	
tso	3	53	左□(~钵，沙锅)	
so	1	35	缩索梭唆=(罗~)□(吮吸)	
so	2	13	□(蜷缩)	
so	3	53	所锁唢	
so	5	11	蓑	
ko	1	35	各阁咯(结构助词，相当于“的”)鸽哥歌割葛佮(性情相投，相处融治)角觉(~醒)	
ko	5	11	个镬(~子：铝锅)	
kʰo	1	35	壳渴苛磕瞌颏确敤(敲击)	
kʰo	3	53	可	
ŋo	1	35	噩鄂鳄岳狱	
ŋo	2	13	鹅蛾俄讹娥硪□(张开:~开门;~开口出气)	
ŋo	3	53	我	
ŋo	5	11	饿卧	
xo	1	35	喝拖-(~拉机:~开，拿走)脱(断;~色，褪色)蜕(~皮)托-壳-(脑~，头)□(份)	
xo	2	13	河何=荷驼鸵坨砣	
xo	3	53	妥椭	
xo	5	11	合荷(薄~)贺褐盒鹤夺舵惰读毒独	
fio	1	35	束叔畜(~牧)蓄旭	
fio	2	13	勺苕(不明智)	
fio	3	53	□(~狗,唆使狗去咬人)	
fio	5	11	孰熟塾属赎	
tio	1	35	竹-着-(~衣;植物结果实)	
lio	5	11	六陆	
lio	1	35	录绿氯渌略掠戮陆(大~)	
tɕio	1	35	足角(元~分)	
tɕio	2	13	□(践踏)	
tɕio	3	53	□(他家：“渠”和“屋”的合音)	
tɕʰio	1	35	促雀鹊	
tɕʰio	5	11	爵嚼	
ȵio	1	35	肉=	
ȵio	5	11	□(“你”和“屋”的合音;你家)	
ɕio	1	35	削宿肃粟	
ɕio	3	53	□(质量、品行很差)	
ɕio	5	11	俗续□(反复念叨;腻烦;来回寻觅)	
kio	1	35	竹=着=(~衣)酌灼茁斫(~肉，买肉)脚䦆(~头，锄头)筑烛瞩嘱祝竺粥菊	
kʰio	1	35	轴曲麯(酒~;红~)畜(~牲)	
kʰio	2	13	茄	
kʰio	5	11	却着(睏~哩，睡着了)局逐触□(丢失)	
ȵio	1	35	肉虐疟	
io	1	35	约跃乐=(音~)钥欲育浴郁若弱褥辱	
io	2	13	□(不坚实)	
io	5	11	药哟(唉~，痛苦的呻吟声)	
kuo	1	35	锅郭廓谷□(煤燃尽:火~过哩)	
kuo	3	53	果裹馃(~子招待客人的零食)	
kuo	5	11	过	
kʰuo	1	35	阔扩科蝌窠哭=	
kʰuo	2	13	□(洼陷)	
kʰuo	3	53	棵颗课哭-(~鸟:猫头鹰)	
uo	1	35	屋恶窝(~火，藏火种使之不熄灭)蜗涡莴龌沃	
uo	2	13	禾和(~尚)何-(~事，怎么)	
uo	5	11	镬	
pɛ	1	35	北百柏佰伯=陌(~生)	
pɛ	2	13	□(~货，蠢女子)	
pɛ	3	53	腹(~子，肚脐口~)	
pɛ	5	11	□(火苗很大)□(用劲拽)	
pʰɛ	1	35	迫泊魄粕舶勃	
pʰɛ	5	11	白=	
mɛ	1	35	没默脉□(~酒，抿酒）	
mɛ	2	13	□(~倒神，思忖)	
mɛ	1	35	墨麦咩(~仔，牛犊;小牛叫声)	
fɛ	1	35	忽说血□(小口喝)□(~香，很香)	
fɛ	2	13	□(讨好)□(毛毛雨下落貌)	
fɛ	5	11	活或惑术述穴	
tɛ	1	35	得德□(给)□(病转轻)	
tɛ	2	13	□(酒醉者唠叨貌)	
tʰɛ	1	35	册策测侧择泽宅	
tʰɛ	5	11	贼擦-(~屁股)	
lɛ	1	35	□(荆棘)	
lɛ	3	53	□(用绳子将坏人捆住)	
lɛ	5	11	勒肋嘞	
tsɛ	1	35	则责仄侧	
tsɛ	3	53	鲫	
tsɛ	5	11	蚱-(~mau35，蚱蜢)	
sɛ	1	35	色涩瑟塞啬□(~孙，玄孙)	
kɛ	1	35	格革隔□(~气，很担心)	
kɛ	2	13	□(搜~，胳肢)蛤(~蟆)	
kɛ	3	53	旮(~旯)□(~狸，黄鼬)□(~头，肩膀)□(~白，苍白)	
kɛ	5	11	锯-(动词)	
kʰɛ	1	35	克刻客=咳=	
kʰɛ	5	11	去-(~年;~过哩，白费了;~命，丢命)	
ŋɛ	1	35	厄扼额	
ŋɛ	5	11	砑(碾磨:~胡椒)□(用铡刀铡)	
xɛ	1	35	黑嘿赫忒(太)	
xɛ	5	11	特核劾	
ɛ	2	13	儿而□(塞~，打嗝)	
ɛ	3	53	耳饵尔	
ɛ	5	11	二贰	
piɛ	1	35	笔(又，量词)必(又)逼(又)毕(又)屄(女阴)憋鳖	
piɛ	2	13	瘪	
piɛ	3	53	扁-	
pʰiɛ	1	35	瞥撇匹辟-僻霹	
pʰiɛ	3	53	偏蹩(~哩)脚	
pʰiɛ	5	11	别	
miɛ	1	35	灭蔑密=(秘~)蜜汨搣(抠;掰;剥)	
miɛ	2	13	棉-(~花)	
miɛ	5	11	篾蜜稠密-	
tiɛ	1	35	爹跌粒滴嫡嘀的(目~，~确)跌(丢失)	
tiɛ	3	53	爹(单音节)	
tʰiɛ	1	35	铁贴帖	
tʰiɛ	5	11	敌涤笛迪狄翟叠蝶迭谍□(收拾)	
liɛ	1	35	栗猎立笠历沥劣列裂烈率律□(带~，谢谢)	
liɛ	3	53	舔	
liɛ	5	11	力□(违拗)捩(斜目怒视:红眼~犟)	
tɕiɛ	1	35	接劫节疖吉洁结髻揭竭急即积级圾辑缉计(伙~,姘头)激脊瘠击迹绩棘给(~养)亟折蛰哲浙褶汁织职执质	
tɕiɛ	2	13	□(男阴，多指男童的)□(泪出貌)	
tɕiɛ	3	53	姐=者=膱(~油气油脂变质的气味)指(~甲，指甲)	
tɕiɛ	5	11	这吃(~子，口吃的人)	
tɕʰiɛ	1	35	切窃怯妾七漆戚柒泣乞迄讫沏彻澈撤掣赤=(~卫队，~色)斥叱膝(~头牯，膝盖)秩寂截□(轻微地颤动)	
tɕʰiɛ	2	13	□(~kuaŋ53，撒谎)□(莫乱~，别乱说)	
tɕʰiɛ	3	53	且	
tɕʰiɛ	5	11	及极集疾杰绝直植殖值侄去(离开)	
ȵiɛ	1	35	捏孽聂镊逆溺匿(又)业日□(调皮，淘气)□(屑~，垃圾)	
ȵiɛ	5	11	热-	
