来源：	李小平 1991《临县方言志》；灰原哀 木瓜 整理录入
Ø	［1］挖蛙哇□{拿}［3］瓦{砖～}挖{从底部捞}［5］瓦{～匠}□{山～}
#ya	
tɕ	［1］□{～侧：绊倒}［3］□{不合群，不粘}
tɕʰ	［1］□{～～地，成嗽的样子}［2］瘸
ɕ	［1］靴［2］横-{歪}［5］□{道，一条黑～}
Ø	［5］□{～地水哩：积住水了}
#æ	
p	［1］班斑颁扳般搬［2］□{阿～：招呼哑巴的声音}［3］板版扁{～担}［5］扮瓣办伴=拌=半=
pʰ	［1］潘樊［2］盘=［5］盼袢{～～：背心儿}判=叛
m	［1］蛮瞒=馒咩［3］满［5］慢漫
f	［1］瀋翻幕发-{头～}反{～正}坂［2］凡帆矾烦繁［3］反［5］范犯泛贩饭
t	［1］耽担{～任}丹单{简～}［3］胆诞［5］淡担{～子}旦但弹蛋
tʰ	［1］贪滩摊［2］潭谭谈痰檀坛弹{～琴}［3］毯坦［5］探{试～}炭叹
n	［1］南男难{～易}［2］□{语气词，表示领悟}［5］难{困～}□{咛～：数说}
l	［1］□{～～，脏东西}［2］蓝篮兰拦栏［3］览揽榄缆懒［5］滥烂
ts	［1］□{教说，叫骂，叫嚷}［2］□{不吃个～；不中用}［3］瓣斩盏攒［4］暂錾{～子}绽站{～立，车～}蘸
tsʰ	［1］参{～加}惨惭搀［2］蚕谗馋餐残［3］铲=产□{～你：只有你}［5］灿
s	［1］山杉三［2］珊删［3］衫散{～装}伞［5］散{～布}疝{～气}
z	［1］□{乱叨叨}
tʂ	［1］沾=粘=瞻=［3］展=者=［5］战=颤=占=
tʂʰ	［2］缠=蝉=禅=
ʂ	［1］扇=膻=［3］陕=闪=［5］善=膳=扇=单={姓}禅={～让}射=麝=
ɻ	［2］然=燃=［3］染=冉=
k	［1］甘=柑泔=尴{～尬}肝=干={～湿}［3］感敢=橄竿杆=秆=擀赶［5］干{～活}
kʰ	［1］堪戡勘{～探}刊看={～守}［3］砍楷=槛=坎［5］看{～见}
x	［2］含函酣咸-寒=韩闲-［3］撼喊罕［5］憾陷-馅-鼾=旱=汉=汗翰
ŋ	［1］安=鞍=［5］暗=岸=按=案=
Ø	［1］庵［3］咹{～，应该这地：表示否定}［5］咹{～，没办法儿，引起注意}
#uæ	
t	［1］端=［3］短=［5］断={决～，～绝}煅=段=缎=椴=
tʰ	［2］团=
n	［3］暖=
l	［2］鸾峦=［3］卵［5］乱=
ts	［1］专=砖=［3］转{～眼}［5］篆钻={～动～子}纂撰传={～记}转传={～动}
tsʰ	［1］川=穿=［2］传={～达}椽=船=［3］窜=喘=［4］篡=串=
s	［1］酸=拴闩［5］算蒜闩涮{～洗}
z	［3］软=阮=□{咀嚼}［5］□{咀嚼}
k	［1］官=棺=观关观［3］管馆鳏={～夫}［5］冠{衣～，～军}贯灌=罐=惯
kʰ	［1］宽［3］款
x	［1］欢=［2］桓还{～原，还是}环［3］缓［5］唤=焕=换=幻患宦
Ø	［1］豌剜弯湾［2］完=玩{古～，～耍}顽{～皮}［3］碗=玩{游～}宛婉腕=晚挽□{叹词，表示领悟}□{～～地，说话絮絮叨叨}［5］万蔓{瓜～}喂{打电话时的呼叫声}
#ɛe	
p	［1］背{～东西}白={～天}［2］□{阿～：向哑巴打招呼语}［3］摆［5］贝拜稗败倍辈背{脊～，～诵}焙
pʰ	［1］胚{～胎}坯{土～}配{拼凑}［2］排牌培赔裴［3］派丕［5］湃沛配佩辔魄
