#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平33 2阳平32 3阴上21ʔ 5阴去212 6阳去45 7阴入55ʔ 8阳入43ʔ
杯	peə1	
飞	peə1	
陪	pʰeə2	
掸	peəʔ3	训，掸掉蚊子
背	peə5	
焙	peə6	
背	peə6	背诵
倍	peə6	
发	piəʔ7	
被	pʰi1	
杮	pʰi5	木片
配	pʰeə5	配饭
梅	meə2	
糜	meə2	
媒	meə2	
尾	meəʔ3	
每	meəʔ3	
妹	meə5	
袜	maʔ8	
堆	teə1	
椎	teə1	训，鸡尾
锤	tʰʋ2	砝码
苔	tʰeə2	
短	teəʔ3	
对	teə5	
碓	teə5	
袋	teə6	
代	teə6	
梯	tʰeə1	
胎	tʰeə1	
腿	tʰeə3	
退	tʰeə5	
雷	leə2	
擂	leə2	
螺	leə2	田螺，膝头螺
骡	leə2	
猡	leəʔ3	训，一种小猴子
篓	leəʔ3	训，鱼篓
儡	leəʔ3	傀儡
蕾	leəʔ3	
朘	tseə1	阴茎
坐	tsʰeə1	
罪	tsʰi6	
切	tsʰiəʔ7	
衰	seə1	倒霉，瘦
锅	veə1	训
围	veə2	~身：身体
禾	veə2	
和	veə2	~尚
该	ceə1	
改	ceəʔ3	
怀	kʰueə2	麦子孕穗
胲	kueə1	喉结
傀	kueəʔ3	
髻	ci5	
怪	kuəe5	
盖	kueə5	
开	kʰueə1	
快	kʰueə5	
外	ŋua6	
外	ŋia6	
海	çeəʔ3	
亥	çeə6	
灰	feə1	
火	feəʔ3	
纸	tʃəeʔ3	
汁	tʃəeʔ7	
织	tʃəeʔ7	
侄	tʃəeʔ8	
舌	ʃiəʔ8	
十	ʃəeʔ8	
蚀	ʃiəʔ8	蚀本
急	ciəeʔ7	
结	ciəʔ7	打结
橘	ciəeʔ7	
□	cʰiəeʔ7	一~子：一下子
出	kʰuəeʔ7	
乞	kʰəeʔ7	
月	ŋuiəʔ8	
平	pʰiəŋ2	
坪	pʰiəŋ2	
丙	piəŋʔ3	
饼	piəŋʔ3	
柄	piəŋ5	
摒	piəŋ5	藏
病	piəŋ6	
名	miəŋ2	
命	miəŋ6	
晾	liəŋ2	
岭	liəŋʔ3	
领	liəŋʔ3	
另	liəŋ6	
精	tsiəŋ1	漂亮
晴	tsʰiəŋ2	
𫗚	tsiəŋʔ3	味淡
井	tsiəŋʔ3	
青	tsʰiəŋ1	
请	tsʰiəŋʔ3	
醒	tsʰiəŋʔ3	
生	tsʰiəŋ1	训，本字为青
姓	siəŋ5	
颈	ciəŋʔ3	
镜	ciəŋ5	
跨	ciəŋ6	训
轻	cʰiəŋ1	
浸	tsə̃5	
针	tʃə̃e1	
真	tʃə̃e1	
珍	tʃə̃e1	~珠
蒸	tʃə̃e1	少用
沉	tʃʰə̃e2	
尘	tʃʰə̃e2	
枕	tʃəeʔ3	
震	tʃəeʔ3	
深	tʃʰə̃e1	
寻	tsʰə̃e2	一~
塍	ʃə̃e2	
程	tʃʰə̃e2	
称	tʃʰə̃e5	
升	ʃə̃e1	量词
申	ʃə̃e1	地支
身	ʃə̃e1	
神	ʃə̃e2	
辰	ʃə̃e2	地支
婶	ʃə̃e5	
圣	ʃə̃e5	~筊
籯	iə2	一种小畚箕
壬	iə̃e2	天干
闰	və̃e6	
今	ciə̃e1	
金	ciə̃e1	
跟	ciə̃e1	
唇	fə̃e2	边缘
紧	ciə̃eʔ3	紧，越来越
妗	cʰiə̃e1	
肾	cʰiə̃e1	鸡胗
凝	ciə̃e6	训
淬	ciə̃e5	训，淬火
根	kuə̃e1	
斤	kuə̃e1	
筋	kuə̃e1	
振	kuə̃e1	发抖
巾	kuə̃e1	
近	kʰuə̃e1	
圳	kuə̃e5	
牵	cʰiə̃e1	
琴	cʰiə̃e2	
芹	cʰiə̃e2	
肯	cʰiəeʔ3	
春	kʰuə̃e1	
椿	kʰuə̃e1	
伸	kʰuə̃e1	
人	ɲiə̃e2	
银	ŋuə̃e2	
忍	ŋuəeʔ3	
韧	ŋuə̃e6	
斑	piə1	
边	piə1	
反	piəʔ3	
篇	pʰiə1	
䘆	fiəʔ3	
片	pʰiə5	
办	pʰiə6	烹饪
慢	miə6	
甜	tʰiə2	
填	tʰiə2	
田	tʰiə2	
点	tiəʔ3	
店	tiə5	
殿	tiə6	
靛	tiə6	
年	niə2	
踮	niə5	训
连	liə2	
莲	liə2	
鲢	liə2	~鲤：穿山甲
瓣	liə5	训
前	tsʰiə2	
剪	ɲiəʔ7	训，买草药
签	tsʰiə1	
藓	tsʰiəʔ3	
先	siə1	
引	siəŋ2	训，呼叫动物
毡	tʃiə6	
闪	ʃiəʔ3	
鳝	ʃiə1	
扇	ʃiə5	
俺	iə1	训，咱们
烟	iə1	
盐	iə2	
檐	iə2	
踩	iə5	训，脚踩到东西痛
艾	ɲiə5	
燕	iə5	
园	viə2	
圆	viə2	
铅	viə2	
䘼	viəʔ3	袖子
远	viəʔ3	
县	viə6	
肩	ciə1	
间	ciə1	
舷	cʰiə2	边缘
笕	ciəʔ3	
砖	kuiə1	
转	kuiəʔ3	
牶	kʰuiə5	牛鼻木
建	kuiə5	
磕	cʰiəʔ3	训，用石头敲开
穿	kʰuiə1	
传	kʰuiə2	
串	kʰuiə5	
劝	kʰuiə5	
眼	ɲiəʔ3	龙~
言	ŋuiə2	
软	ŋuiəʔ3	
闲	çiə2	
苋	hiə5	
船	fiə2	
编	pʰiə1	名词
编	pʰiə1	动词
变	piə5	
骗	pʰiə5	
棉	miə2	
面	miə6	麪
癫	tiə1	
缠	tʃʰiə2	
掂	tə̃e5	
电	tiə6	
天	tʰiə1	
添	tʰiə1	
拦	liə2	训，一种网
镰	liə2	~铁：肝
链	liə6	
炼	liə6	
煎	tsiə1	
尖	tsiə1	
钱	tsʰiə2	
吮	tsʰiə1	
箭	tsiə5	
旋	tsiə6	
贱	tsiə6	
千	tsʰiə1	
浅	tsʰiəʔ3	
鲜	siə1	
先	siə1	~生
线	siə5	
碱	ciə1	草木灰
碱	ciəʔ3	
件	ciə6	
□	pa1	用于忘记
饱	paʔ3	
豹	pa5	
刨	pʰa2	
泡	pʰa5	
鳔	pʰa5	
茅	ma2	
猫	ma5	
多	ta1	人称复数标记，几~：多少
打	taʔ3	普化说法中用
大	ta6	
拖	tʰʋ1	~鞋
脱	tʰaʔ7	
凹	na5	训，凹陷
□	la2	用于蜘蛛
癞	laʔ7	
焦	tsa1	训，干燥
爪	tsaʔ3	
笊	tsa5	
漈	tsa5	瀑布
寨	tsa6	
扎	tsaʔ7	把长细的东西绑起来
裁	tsʰa2	
炒	tsʰaʔ3	
𢲵	tsʰa5	搅拌
蔡	tsʰa5	姓，本地没有
沙	sʋə1	
酾	sa1	倒酒
畲	sa2	人
拗	aʔ3	
胶	ka1	
解	kaʔ3	解毒
个	ka5	
个	ka5	
教	cia1	
较	ka5	
跤	cʰia1	脚
概	kʰa5	
我	ŋa1	
哈	ha2	吹热气
包	pa1	
簸	pa5	
钵	paʔ7	大陶碗，花盆
博	pɒoʔ7	训，打赌
柚	pʰa1	训
破	pʰa5	
泡	pʰa5	动词
炮	pʰa5	
泼	pʰaʔ7	
劈	pʰaʔ7	
挂	pʰaʔ8	训，挂在手臂上
磨	ma2	
卯	maʔ3	地支
抹	maʔ7	
带	ta5	
戴	ta5	~耳环，项链
笪	taʔ7	
拖	tʰa1	拖动
太	tʰa5	曾祖父
断	tʰaʔ8	断掉，输
焫	naʔ7	烫
箩	lʋ2	
拉	la2	训，伸舌头，垂下
萝	lʋ2	萝卜
濑	la5	河滩
嬲	la6	玩
辣	laʔ8	
邋	laʔ8	用于脏
灾	tsa1	
斋	tsa1	
才	tsʰa2	奴~
在	tsa6	所~
再	tsa5	
吸	tsaʔ7	训，吸出
蚻	tsʰaʔ8	蟑螂
抄	tsʰa1	
擦	tsʰaʔ7	
獭	tsʰaʔ7	
豺	sa2	馋，狼
萨	saʔ7	菩~
歪	va1	丑
交	ka1	~春：立春
割	kaʔ7	收获，雕刻
葛	kaʔ7	
□	kuaʔ8	一~痰
会	faʔ8	训，用于不会
条	tʰa2	
鸟	ta3	
钓	ta5	
粜	tʰa5	
寮	la2	
了	laʔ3	
料	la6	
壁	piaʔ7	
撇	pʰiaʔ8	笔画
劈	pʰiaʔ7	
摸	mia1	
籴	tʰəeʔ8	
姐	tsiaʔ3	
谢	sia6	姓氏
脊	tsiaʔ7	
迹	tsiaʔ7	
借	tsiaʔ7	
斜	tsʰia2	
笡	tsʰia5	陡，斜
刺	tsʰiaʔ7	织，刺猪
蓆	tsʰiaʔ8	草席
鳍	sia1	训，鱼鳍
写	siaʔ3	
谢	sia6	花谢，感谢
惜	siaʔ7	疼爱
粞	siaʔ7	训，面粉，浸泡
锡	siaʔ7	
鹊	siaʔ7	乌~：喜鹊
也	iaʔ3	
毑		丈夫的妈妈，祖母
叶	iaʔ8	训，挥手
□	cia1	用于屎壳郎
帚	cia6	训，扫净
夹	ciaʔ7	训，黏
隔	ciaʔ7	~壁
擎	cʰia2	扛，拿笔，打伞
□	cʰia2	蜘蛛
靴	ʃiʋ1	
褟	tʃʰuəʔ7	吊，捆住手
拆	tʃʰuəʔ7	
快	liaʔ7	训
爷	ia2	
野	iaʔ3	
眨	ɲiaʔ7	用于闪电
叶	iaʔ8	训，拍打翅膀
搲	viaʔ3	抓紧
没	məeʔ7	训，木头腐烂
艻	ləeʔ7	刺
脱	ləe7ʔ	脱落
捋	laʔ8	
卒	tsʰəeʔ7	棋子
尽	tsə̃e6	任他去
拭	tsʰəeʔ8	训，擦
疾	tsʰəeʔ8	痛
塞	tsʰəeʔ7	塞粪
息	səeʔ7	曾孙
戌	səeʔ7	地支
熨	vəeʔ7	
滑	vəeʔ8	
国	kuəeʔ7	
骨	kuəeʔ7	
掘	kʰuəeʔ8	
窟	kʰuəeʔ7	
摔	fəeʔ7	训，摔倒
核	fəeʔ8	果核
佛	fəeʔ8	
笔	pəeʔ7	
必	pəeʔ7	裂开
北	pəeʔ7	
卜	pʰəeʔ8	萝卜
墨	məeʔ8	
密	məeʔ8	
得	təeʔ7	
值	tʃʰəeʔ8	
直	tʃʰəeʔ8	
侄	tʃʰəeʔ8	
蜇	tʃʰəeʔ8	惊蛰
踢	tʰəeʔ7	
笠	ləeʔ7	
立	ləeʔ8	用于节气
栗	ləeʔ8	
力	ləeʔ8	
侧	tsəeʔ7	
七	tsʰəeʔ7	
漆	tsʰəeʔ7	
戚	tsʰəeʔ7	
塞	tsʰəeʔ7	放入，堵塞
膝	tsʰəeʔ7	
贼	tsʰəeʔ8	
翼	səeʔ8	
习	səeʔ8	~惯
事	səeʔ7	用于东西
虱	səeʔ7	
色	səeʔ7	
一	əeʔ7	
乙	əeʔ7	
歇	çiəeʔ8	
冰	pə̃e1	
兵	pə̃e1	
崩	pə̃e1	
瓶	pʰə̃e2	
便	pə̃e2	~宜
凭	pʰə̃e6	靠
明	mə̃e2	聪~
眠	mə̃e2	
丁	tə̃e1	天干
□	tə̃e1	动词后缀，表示丢失或离开的动作
钉	tə̃e1	
灯	tə̃e1	
藤	tʰə̃e2	
陈	tʃʰə̃e2	
等	təeʔ3	
顶	təeʔ3	一~斗笠，最
凳	tə̃e5	
定	tə̃e6	定日子，必定
厅	tʰə̃e1	
汀	tʰə̃e1	~江
奶	nə̃e1	
嫩	nə̃e6	
捏	nəeʔ7	训，摘花
鳞	lə̃e1	
凌	lə̃e2	~冰：冰
林	lə̃e2	
零	lə̃e2	
冷	ləeʔ3	
曾	tsə̃e1	
昨	tsʰiə2	
情	tsʰə̃e2	行~
尽	tsə̃e6	
亲	tsʰə̃e1	
清	tsʰə̃e1	水清澈
新	sə̃e1	
心	sə̃e1	
生	sə̃e1	接~婆，先~
星	sə̃e1	
辛	sə̃e1	天干，~苦
参	sə̃e1	人~
蝇	sə̃e2	
省	səeʔ3	
信	sə̃e5	
擤	sə̃e5	
性	sə̃e5	
囟	sə̃e5	额~：前额
烟	iə1	烟，熏蚊子
音	ə̃e1	
阴	ə̃e1	
饮	əeʔ3	
印	ə̃e5	
应	ə̃e5	回应
眩	fə̃e2	眩晕
恒	çiə̃e2	紧
杏	çiə̃e6	
腹	pəɤʔ7	
缚	pʰəɤʔ8	
覆	pʰəɤʔ7	翻转
目	məɤʔ8	
木	məɤʔ8	
斫	təɤʔ7	
涿	təɤʔ7	淋雨
毒	tʰəɤʔ8	
毒	tʰəɤʔ8	老的说法
读	tʰəɤʔ8	
摝	ləɤʔ7	套上袋子保护
摝	ləɤʔ7	翻谷
鹿	ləɤʔ8	
竹	tʃəɤʔ7	
烛	tʃəɤʔ7	
畜	tʃʰəɤʔ7	
甩	tʃʰəɤʔ8	训，甩干
叔	ʃəɤʔ7	
熟	ʃəɤʔ8	
屋	əɤʔ7	
沃	əɤʔ7	浇水
菊	cʰiəɤʔ7	
淹	cʰiəɤʔ7	训
鼓	kəɤʔ7	训，结实
谷	kəɤʔ7	
角	kəɤʔ7	鸡~：小公鸡
盖	kʰəɤʔ7	覆盖
曲	cʰiəɤʔ7	
后	çiʋə6	~生
福	hɒoʔ8	~佬
福	hɒoʔ8	福建
老	lɒoʔ3	~虎，~鼠
镯	tsʰɒoʔ8	手镯
浞	tsʰəɤʔ8	呛水
靠	kʰʋ5	
轴	tʃʰəɤʔ8	原本的说法是车心
六	liəɤʔ8	
绿	liəɤʔ8	
粟	siəɤʔ7	
翘	ciʋə5	
皱	ɲiəɤʔ7	
玉	ɲiəɤʔ8	
额	ɲiaʔ8	
翕	çiəɤʔ7	闷热，湿热
枫	paŋ1	
枋	piəŋ1	
缝	pʰaŋ2	
□	pəɤgʔ3	伯母合音
放	piəŋ5	
蜂	pʰaŋ1	
冯	pʰaŋ2	
缝	pʰaŋ6	
朦	maŋ2	~露：雾
咀	mɒoʔ3	训，没牙的人咀嚼东西
梦	maŋ5	
冬	taŋ1	
东	taŋ1	
铜	tʰaŋ2	
童	tʰaŋ2	
筒	tʰaŋ2	
同	tʰaŋ2	
动	tʰaŋ1	
重	tʃʰaŋ1	
冻	taŋ5	
崠	taŋ5	山顶
通	tʰaŋ1	
虫	tʃʰaŋ2	
桶	tʰəɤgʔ3	
暖	neŋ2	训，加热
脓	naŋ6	
聋	laŋ1	
窿	laŋ1	走廊，洞
笼	laŋ2	
砻	laŋ2	
窿	laŋ2	山凹陷的部分，用于地名
笼	ləɤgʔ3	
弄	laŋ6	交合
棕	tsaŋ1	
鬃	tsaŋ1	
丛	tsʰaŋ2	
粽	tsaŋ5	
葱	tsʰaŋ1	
聪	tsʰaŋ1	
双	saŋ1	
松	siaŋ1	
㧐	səɤgʔ3	推
送	saŋ5	
宋	saŋ5	
舂	tʃaŋ1	
钟	tʃaŋ1	
重	tʃʰaŋ2	
种	tʃəɤgʔ3	
肿	tʃəɤgʔ3	
种	tʃaŋ5	芒种
铳	tʃʰaŋ5	
铳	tʃʰaŋ5	冒气
雄	cʰiɒoŋ2	壮
熊	çiaŋ2	
壅	aŋ1	撒肥料
牛	ɲiuə2	
梧	aŋ2	~宅：地名
五	əɤgʔ3	
午	əɤgʔ3	
无	ŋ6~əŋ6	否定
公	kaŋ1	
供	ciaŋ1	养，生小孩
工	kaŋ1	一工：一天
含	çiaŋ2	
穷	cʰiaŋ2	
孔	kəɤgʔ3	秧苗之间的空隙
感	koŋʔ3	感冒
拱	kaŋ5	弯曲，驼背
共	ciaŋ6	
空	kʰaŋ1	鼻空：鼻，洞穴
空	kʰaŋ1	泼
胸	çiaŋ1	
红	haŋ2	
巷	haŋ5	
风	faŋ1	风，风领，风炉
封	faŋ1	
峰	faŋ1	
幎	maŋ1	用布盖
砧	tsə̃e1	
窗	tsʰaŋ1	
龙	liaŋ2	
松	tsʰiaŋ2	松树
榕	iaŋ2	松洋传统说liaŋ2
用	iaŋ6	
咸	çiaŋ2	
盖	cʰiə̃e2	训，捉鸡用的圆锥形篮子
减	ciəʔ3	
欠	cʰiə5	
酽	ɲiaŋ2	茶浓
租	tsɨə1	
荠	tsʰɨə2	
糍	tsʰɨə2	
脐	tsʰɨə2	
祖	tsɨəʔ3	
子	tsɨəʔ3	
紫	tsɨəʔ3	
姊	tsɨəʔ3	
字	tsɨə6	
自	tsɨə6	
巳	tsɨə6	
牸	tsɨə6	小母猪
初	tsʰɨə1	
粗	tsʰɨə1	
滁	tsʰɨə1	肥料
醋	tsʰɨə5	
刺	tsʰɨə5	
丝	sɨə1	
蓑	sʋ1	
师	sɨə1	
鹚	sɨə1	
死	sɨəʔ3	
所	sɨəʔ3	~在
四	sɨə5	
事	sɨə6	
士	sɨə6	棋子
腟	tʃɨə1	女阴
指	tʃɨəʔ3	
至	tʃɨə5	节气
治	tʃʰɨə2	杀
市	ʃɨə6	
尸	ʃɨə1	
时	ʃɨə2	
匙	ʃɨə2	
屎	ʃɨəʔ3	
世	ʃɨə5	世界
豉	ʃɨə6	
般	pəŋ1	
盘	pʰəŋ2	
盘	pʰəŋ2	训，跳，摔倒
粄	pəŋʔ3	
坂	pəŋʔ3	用于地名
拌	pʰəŋ1	打米
半	pəŋ5	
饭	pəŋ6	
跘	pʰəŋ2	跳过
盘	pʰəŋ2	胎盘
鳗	məŋ2	
晚	məŋʔ3	最小的女儿
满	məŋʔ3	
蔓	məŋ1	依靠
㿸	məŋ6	
单	təŋ1	
箪	təŋ1	小袋子，用来装米带在路上
弹	tʰəŋ2	
缎	təŋ6	绸~
段	təŋ6	
摊	tʰəŋ1	
团	tʰəŋ2	
毯	tʰəŋʔ3	
难	nəŋ2	
暖	nəŋʔ3	
懒	ləŋ1	
澜	ləŋʔ3	口水
卵	ləŋʔ3	
僆	ləŋ5	小母鸡
烂	ləŋ6	
乱	ləŋ6	
盏	tsəŋʔ3	一~龙眼
钻	tsəŋ5	
荐	tsiə5	床垫
赚	tsəŋ6	
铲	tsʰəŋʔ3	
山	səŋ1	
酸	səŋ1	
伞	səŋʔ3	
算	səŋ5	
散	səŋ5	
安	əŋ1	缝扣子
弯	vəŋ1	
还	vəŋ2	归还
碗	vəŋʔ3	
腕	vəŋʔ3	
䯘	vəŋ5	手肘，膝盖内部
万	vəŋ6	
干	kəŋ1	
甘	kəŋ1	
菅	kəŋ1	芦苇
稈	kəŋʔ3	稻草
关	kuəŋ1	
官	kuəŋ1	训，~蜱：臭虫
官	kuəŋ1	
棺	kuəŋ1	
管	kuəŋʔ3	
惯	kuəŋ5	
灌	kuəŋ5	
寒	həŋ2	
寒	həŋ2	训，一种白色山鸡
旱	həŋ1	
汗	həŋ6	
翻	fəŋ1	
番	fəŋ1	一~被子
番	fəŋ1	国外
欢	fəŋ1	欢喜
㧍	poŋ1	拉扯
搬	pəŋ1	
棚	pʰoŋ2	
泛	pʰoŋ5	不实，膨胀
担	toŋ1	
荷	kʰa1	
担	toŋ1	抬头
胆	toŋʔ3	
探	tʰoŋ1	用手去够
潭	tʰoŋ2	
痰	tʰoŋ2	
□	tʰoŋ6	引水
男	noŋ2	
南	noŋ2	
颅	noŋ2	训，头~
□	loŋ1	用于蝉
篮	loŋ2	
咙	laŋ2	
蓝	loŋ2	
榄	loŋʔ3	
争	tsoŋ1	
筝	tsoŋ1	训，头漩
踭	tsoŋ1	
压	tsʰoŋ1	训，按压
郑	tʃoŋ6	
掺	tsʰə̃e1	
睈	tsʰoŋ2	太阳刺眼
掺	tsʰoŋʔ3	用手臂抱小孩
撑	tsʰoŋ5	支撑，撑船
三	soŋ1	
衫	soŋ1	
杉	tsʰoŋʔ3	
生	soŋ1	生育
糁	soŋʔ3	米粒
省	soŋʔ3	省钱
庵	oŋ1	
腌	oŋ1	
暗	oŋ5	
横	voŋ2	
庚	koŋ1	天干
更	koŋ1	
柑	koŋ1	
肝	kəŋ1	
干	kəŋ1	烘干
敢	koŋʔ3	
橄	koŋʔ3	
径	koŋ5	追猎
坑	kʰoŋ1	山间小溪
磡	kʰoŋ5	堤坝
岩	ŋʋə2	龙~
硬	ŋuəe6	
喉	haŋ2	
桁	hoŋ2	长细东西的量词，或为茎
鼾	həŋ2	训，打鼾
喊	hoŋ5	
鼎	tʃoŋʔ3	在梨岭是老的说法
听	tʃʰoŋ1	
蚕	tsʰoŋ2	
正	tʃoŋ1	正月
整	tʃoŋʔ3	修理
声	ʃoŋ1	
兄	ʃoŋ1	
城	ʃoŋ2	
成	ʃə̃e2	成痧：中暑
盛	ʃoŋ6	嫁妆的托盘
檉	ʃoŋ6	嫁妆的托盘
行	hoŋ2	
崖	ŋuə2	
营	ɲiə̃e2	
赢	iəŋ2	
暎	ɲiə̃e6	看
疤	pʋə1	
拍	pʋə1	训，打
爬	pʰuə2	
耙	pʰuə2	
把	pʋəʔ3	
柏	pʋəʔ7	
百	pʋəʔ7	
掰	pʋəʔ7	
白	pʰʋəʔ8	
扒	pʰʋə1	扒饭
帕	pʰʋə5	
嫲	mʋə2	雌性后缀，也用于斗笠等
马	mʋəʔ3	
肉	mʋəʔ7	训
拍	mʋəʔ8	打，通用说法
脉	mʋəʔ8	
麦	mʋəʔ8	
爹	tʋə1	祖父
搭	tʋəʔ7	搭船
踏	tʰʋəʔ8	
塔	tʰʋəʔ7	
拿	nʋə1	
搦	nʋəʔ8	抓鱼，抓小偷
摞	lʋəʔ7	训，一~碗
蜡	lʋəʔ8	
茶	tsʰʋə2	
炸	tsʋə5	
鉔	tsʋəʔ7	种红薯
鉔	tsʋəʔ7	一种小耙
笮	tsʋəʔ7	
差	tsʰʋə1	
岔	tsʰʋə1	
叉	tsʰʋə1	食指和大拇指之间的距离
叉	tsʰʋə1	鱼叉
舀	tsʰʋəʔ7	训
册	tsʰʋəʔ7	
宅	tsʰʋəʔ8	梧宅
搓	sʋəʔ7	训，用盐搓
煠	sʋəʔ8	
遮	tʃʋə1	
蔗	tʃʋə5	
炙	tʃʋəʔ7	
只	tʃʋəʔ7	
车	tʃʰʋə1	
尺	tʃʰʋəʔ7	
赤	tʃʰʋəʔ7	
赊	ʃʋə1	
蛇	ʃʋə2	
舍	ʃʋəʔ3	训，呵斥
射	ʃʋə6	
石	ʃʋəʔ8	
栓	ʃʋəʔ8	栓门
乌	ʋə1	
哑	ʋəʔ3	
鸭	ʋəʔ7	
家	kʋə1	
加	kʋə1	
豭	kʋə1	蚊~
枷	kʋə1	
假	kʋəʔ3	
嫁	kʋə5	
价	kʋə5	
架	kʋə5	
蛤	kʋəʔ7	训，青蛙
甲	kʋəʔ7	天干，指甲，马甲
咬	ha1	
客	kʰʋəʔ7	
咳	kʰʋəʔ8	
牙	ŋʋə2	
虾	hʋə2	虾，赤虾：婴儿
下	hʋə1	
夏	hʋə6	
下	hʋə6	一下
