#符号说明：-白=文/书*俗?待考	
#调值	［1］42［2］13［3］53［5］44
#ɿ	
ʦ [1]姿咨脂兹滋滓之芝辎 [3]紫纸姊旨指子梓止趾址只{~有}[5]自至字=	
pʰ [1]铺{~设}卜{萝~}扑仆 1{~倒}朴{~素}[2]蒲菩{~萨}脯{胸~}仆 2{~人}曝瀑{~布}鼻 2□{ɕi42~涕}[3]普浦谱 [5]铺{店~}步捕抱-	
m [1]木穆牧目苜 [2]毛-谋眸模 1{~样}没 1{~有}[3]某亩牡母拇模 2{~子}[5]暮慕墓募幕沐睦	
pf [1]猪朱蛛珠诛诸株苎 [3]煮拄{~拐杖}主 [5]注蛀驻铸柱住著{显~}	
pfʰ [1]出吹- [2]除厨橱 [3]褚杵处 1{~分，相~}杵 [5]处 2{~所}储{储蓄}	
f [1]书舒殊夫肤跗敷俘孵{~小鸡}麸输腹叔-{小~子}覆讣复 1 {反~}述[2]符扶芙{~蓉}福幅弗佛1{仿~}枢蝠{蝙~}服浮缚伏袱熟-{饭~了}复 2{~原}赎{~回来}[3]黍暑鼠府腑俯甫脯{杏~}斧抚水妇阜否负术 [5]父釜辅腐付赋傅赴树睡附薯{白~}富副帚-{笤~}复 3{~兴}庶恕署{专~}戍	
v [1]无巫诬入褥物勿辱 [2]如儒 [3]武舞侮乳鹉{鹦~}汝[5]务雾	
t [1]笃督都 1{~城} [2]踱读=牍毒 [3]堵赌睹 [5]妒度镀渡	
tʰ [1]秃突□{~馍：把馍馍热上}[2]徒屠途涂图突毒独读- [3]土吐 1{~痰}肚 1 {猪~}[5]肚 2 {腹~}杜镀吐 2 {呕~}兔□{给衣服上~个口袋}	
ts [2]足=	
s [1]宿粟肃 [2]俗=	
k [1]姑孤箍骨{~头}谷菇辜轱{~辘}[3]古估{~计}牯股贾{商~}鼓 [5]故固锢{~露锅}雇顾	
kʰ [1]枯窟{~窿}哭酷骷 [3]苦 [5]库裤	
x [1]呼忽 [2]胡湖狐壶乎胡核 1 {果~}葫斛糊弧蝴瑚和 1 {麻将用语}瓠{~子}[3]虎琥{~珀}浒{水~}[5]户互护沪 [0]乎	
Ǿ [1]乌污杌{~子}屋捂 [2]吴蜈{~蚣}吾梧{~桐}[3]五伍午坞仵 [5]戊误悟恶 1 {可~}	
#y	
l [1]律率 1 {速~}绿= [3]旅{~游}缕{丝~}	
ʨ [1]居车 1{~马炮}拘驹俱剧锔{~碗}[2]菊掬{一~}局橘足- [3]举嘴-矩{规~}[5]据锯巨拒距聚剧句惧具醉-	
ʨʰ [1]躯蛐蛆趋屈区{~域}驱曲{~折}[2]渠瞿 [3]取娶 [5]去=趣	
ȵ [3]女	
ɕ [1]墟虚旭嘘须需吁戌恤荽{芫~}畜 2{~牧}蓄{储蓄}续 [2]徐俗-{风~}随-{~黑：傍晚}[3]许 [5]序叙绪絮婿={女~}穗-蓿{苜~}	
Ǿ [1]淤吁迂域狱郁育欲玉狱浴峪{嘉~关}[2]鱼渔于余愚娱虞盂榆逾愉驴 [3]吕铝垒-{~窝}予语与雨宇禹羽愈 [5]虑滤御誉预遇驭寓豫芋喻裕喂-泪-	
#a	
p [1]巴芭疤钯八扒□{li42~：新手}□{~住：粘上}[2]拔=跋 [3]把 [5]霸坝{平川}罢爸□{~~：小儿语，指脏东西}[0]吧叭	
pʰ [1]啪 [2]爬琶{琵~}杷{枇~}拔- [5]耙{犁~}怕帕	
m [1]妈□{~tɕia0：现在}抹 1{~布} [2]麻蟆{蝦~}[3]马码蚂玛 [5]骂 [0]吗	
pf [1]抓 [3]爪	
pfʰ [3]□{手用力拽下来}	
f [1]法刷发 [2]乏伐筏罚 [3]耍	
v [1]袜 [2]□{揉成团}	
t [1]搭答 [2]达 [3]打 [5]大 1 [0]瘩哒	
tʰ [1]他 1它她 1榻踏拓塔溻塌遢{邋~}[2]他 2{~ti0：~们}她 2{~ti0：~们}[5]沓{一~子}	
l [1]挪捺{撇~}辣纳拉蜡腊衲垃 [2]拿 [3]哪旯{旮~}喇{~叭}[5]那 [0]啦	
ʦ [1]渣札扎匝咂 [5]诈榨{~油}炸 1{~弹}乍	
ʦʰ [1]叉衩杈{树~}差 1{~不多}擦 [2]茶搽茬查{调~}察铡{~刀}杂砸碴楂炸 2 {用油~}[5]诧岔{三~路}	
s [1]沙纱撒 1{~手}萨杀 [3]洒撒 2{~种子}霎	
tʂ [1]眨{~眼}窄-摘-争-{~气}闸 [0]蚱{蚂~}	
tʂʰ [1]车- 2 {马~}插 [3]扯{~纸}	
ʂ [1]煞生-甥-赊-涩- [2]蛇-啥= [3]傻舍-{~得}[5]厦	
ʐ [3]惹-	
k [1]旮{~旯}[3]□{脾气不好}[5]尬	
kʰ [1]卡 1 {~住}	
x [1]瞎-哈 [2]匣- [5]吓-下-{底~}杏-	
Ǿ [1]阿{~哥}啊	
#ia	
p [1]百-擘{用手~开}[5]迸-{~开}	
pʰ [1]拍-{~打}[2]白-{~面}[3]□{叉开}□{象声词}	
m [1]麦-脉- [2]棉-	
t [1]爹-	
l [3]冷-	
ʨ [1]家加痂嘉胛挟夹裌{~衣}傢枷佳 [3]假 1 {真~}贾{姓}甲 [5]假 2 {放~}架驾嫁稼价借- [0]□{语气词：你说啥~}	
ʨʰ [1]卡 2 {发~}恰掐洽 [2]茄-咱-□{“去呀”的合音}	
ȵ [1]鸭-鸦-押-压- [2]牙-芽-伢{小孩子}[3]哑 [5]砑{~平}轧-{~棉花}	
ɕ [1]虾瞎= [2]霞瑕遐辖{管~}狭暇狎峡斜-匣=□{~娃：抱娃}[3]下={底~}夏 1 {姓}厦{~门}[5]吓=下{~降}夏 2 {春~}卸	
Ǿ [1]鸭=鸦=压=押=丫桠□{~个：昨天}[2]崖涯牙=芽=衙爷- [3]雅也-{~是}野-夜- [5]讶亚轧= [0]呀	
#ua	
k [1]瓜刮 [3]寡剐 [5]挂卦掛 [0]呱	
kʰ [1]夸 [3]侉垮 [5]跨	
x [1]花哗{象声词}[2]华 1 {中~}铧滑猾划{~船}[5]画话化华 2{~山}桦{~树}	
Ǿ [1]哇{叹词}蛙洼挖凹{地名用}[2]娃 [3]瓦 1 {名词}□{“兀 ta0”的合音}[5]瓦 2 {动词}[0]□{lɔ53~：乌鸦}	
#ya	
tɕʰ [1]瘸	
ɕ [1]横-	
#o	
p [1]波菠玻剥博拨钵播 [2]驳勃搏帛 [3]跛簸 1{~一~}[5]簸 2{~箕}薄 1{~荷}[0]膊{胳~}	
pʰ [1]颇坡泼□{~麦：割麦子}[2]婆薄 2{~厚}泊{~池}钹脖 [5]破	
m [1]摸墨=默末茉漠沫莫膜寞陌没 2{~收}[2]魔磨 1{~刀}摩摹蘑馍模 3{（新）~范}[3]抹 2 {涂~}[5]磨 2 {石~}	
pf [1]庄桌捉卓 [2]卓镯=浊	
pfʰ [1]疮戳床{小~：板凳}[2]镯-	
f [2]佛 2	
#uo	
t [1]多哆咄掇{拾~}[2]夺=铎 [3]朵 1躲 [5]惰垛{柴~}剁跺	
tʰ [1]拖脱托汤- [2]驼陀夺-驮 1{~起来}[3]舵妥椭 [5]驮 2{~子}唾{~液}[0]朵 2 {耳~}	
l [1]落烙捋骆酪洛诺啰络乐{快~} [2]罗锣箩萝骡螺啰挪狼- [3]裸= [5]糯{~米}摞{~起来}	
ʦ [1]撮做嘬怎-{~么}作-{~坊}琢涿 [2]昨 [3]左佐 [5]座=坐=	
ʦʰ [1]搓错戳= [2]矬凿□{大的筐子}[5]措莝{~草}座-坐-	
s [1]缩蓑梭嗦{啰~}索娑莎{~草}[2]啥-{什么}[3]锁所唢索琐{~碎}	
tʂ [1]酌拙 [3]长- 1{~大}涨-{~价}	
tʂʰ [1]绰{~号} [2]长- 2{~短}肠-{~子}场-{麦~}着{~凉}[5]丈-{~人}杖-仗-	
ʂ  [2]勺芍{~药花}尝- [5]上-	
ʐ [1]若弱	
k [1]过锅郭国 [3]果裹	
kʰ [1]括{包~}阔掴廓扩颗棵渴瞌{~睡}	
ŋ [1]我 1 [2]我 2{~ti0：我们}	
x [1]豁{~然}霍藿{~香}劐{用刀~开}获喝 [2]河{~水}活镬和 2{~面}[3]火伙 [5]祸货获或惑	
Ǿ [1]倭窝崴{~了脚}握喔涡蜗= [3]兀{那}[5]卧	
#yo	
ʨ [1]脚江-{长江府，村名}饺-角-	
ʨʰ [1]却 [5]强-	
ȵ [1]约-{大~摸}[2]娘-{祖母}	
ɕ [5]相-{~媳妇}	
Ǿ [1]药钥{~匙}跃	
#ɤ	
m [1]么	
t [1]得德的	
tʰ [2]特	
l [1]勒 1{~索}了 1	
ʦ [1]泽择责 [5]仄	
ʦʰ [1]侧测策册 [2]辙则 [5]厕	
s [1]瑟啬涉色涩=	
tʂ [1]折 1{~断}哲褶蜇 1 {蜂~人}浙这遮 [2]辙=蜇 2 {海~}[3]者 [5]蔗 [0]着	
tʂʰ [1]车=彻撤 [3]扯=	
ʂ [1]设奢赊=摄涉 [2]蛇=舌折 2 {弄~了}[3]舍= 1{~得}[5]赦社舍= 2 {宿~}射麝{~香}	
ʐ [1]热 [3]惹=	
k [1]歌哥戈割葛渴喝{~彩}各阁搁胳格客革隔 [5]个	
kʰ [1]科窠刻蝌克客={~人}圪{~台：台阶}咳{~嗽}磕嗑瞌{~睡}[2]壳 [3]渴可裸 [5]课	
ŋ [1]鄂额=恶{善~}[2]蛾鹅俄娥峨讹 [5]饿遏扼鳄	
x [1]喝赫吓{恐~}[2]鹤和 3{~气}禾河合何荷 1{~花}[5]荷 2 {薄~}	
#iɛ	
p [1]憋鳖别 1 {区~}[5]别 2{~扭}	
pʰ [1]瞥撇{~捺}[5]病-	
m [1]篾{竹~}灭 [2]明-名- [5]命-	
t [1]跌钉-{~子}滴-丁-{补丁}[2]叠=爹=碟=蝶=牒谍敌-咥{吃}[5]钉	
tʰ [1]听-帖{碑~}贴铁 [2]叠-碟-蝶-	
l [1]猎烈列裂劣 [2]铃- [3]领-{衣~}岭-	
ʨ [1]街=皆秸={麦~}接杰揭节结洁籍 2 {姓}惊- [2]捷井-截诘杰劫 [3]姐解 1{~开}[5]镜-介界芥疥届戒借=凝-{汤~成冻了}	
ʨʰ [1]青-轻-清-妾怯客-{~人}切{~开}[2]晴-茄= [3]且 [5]净-	
ȵ [1]聂镊{~子}蹑{~脚走}业孽捏额-{~头}[2]宁-{~~：静悄悄}□{~婚，冥婚}拈{~起来}[3]影- [5]硬-	
ɕ [1]些 2泄歇薛蝎楔屑□{滴~：下雨}[2]邪斜谐协胁偕鞋=斜=挟携 [3]写醒- [5]泄泻卸=谢械蟹懈	
Ǿ [1]叶页噎液椰腋咽{呜~}曳{摇~}[2]爷=耶 [3]也=野= [5]夜=液腋	
#yɛ	
l [1]略掠	
ʨ [1]厥倔掘决诀爵觉{知~}□{绑~~：绑头发}[2]绝嚼	
ʨʰ [1]缺雀{麻~}鹊{喜~}确	
ȵ [1]虐	
ɕ [1]薛=雪说{~话}血削靴 [2]学穴	
Ǿ [1]悦阅月越曰粤约=岳乐{音~}[2]王-{王~，村名}	
#ɯ	
x [1]黑	
#ɛi	
p [1]百=柏伯佰掰 [2]白= [3]摆 [5]拜败稗	
pʰ [1]拍帕 [2]排牌徘 [5]派魄迫{~击炮}	
m [1]麦=脉= [2] 埋 [3]买 [5]迈卖	
pf [1]拽{拉}	
pfʰ [1]揣{~在怀里}[5]踹	
f [1]衰率 2蟀摔 [3]甩 [5]帅	
t [1]逮呆 [3]歹 [5]待怠殆戴贷袋代带大 2{~夫}	
tʰ [1]胎 [2]苔{舌~}抬台□ {~东西：藏东西} [5]太泰态	
l [2]莱来=挨 1{~打}[3]乃奶 [5]耐奈赖癞	
ʦ [1]灾栽斋 [2]宅 [3]宰载 1 {年~}[5]在=再载 2{~重}债寨	
ʦʰ [1]猜钗拆差 2 {出~}[2]才材财裁豺柴 [3]彩采睬踩 [5]菜蔡在-	
s [1]鳃筛塞腮 [5]赛晒	
tʂ [1]窄=摘=	
k [1]该街- [3]改 [5]概溉盖丐钙	
kʰ [1]开 [3]凯慨楷揩	
ŋ [1]哀埃{尘~}挨 2{~近}[2]癌 [3]矮蔼 [5]碍艾爱隘暧	
x [1]核 2 {审~}[2]核 3{~心}孩鞋-还 1{~有}[3]海 [5]亥害咳{叹词}骇解 2 {姓}	
Ǿ [1]唉{表叹息}[2]哎{表惊疑}	
#uɛi	
k [1]乖 [3]拐 [5]怪	
kʰ [5]会 1{~计}块快筷脍	
x [2]怀槐淮踝徊 [5]坏	
Ǿ [1]歪□{量词，相当于“个”}[3]□{~断}[5]外	
#ei	
p [1]杯悲北= [5]贝辈被=背=倍备鐾{~刀布}	
pʰ [1]胚{~胎}坯{土~}□{：炕}[2]培陪赔裴丕 [5]沛佩背-{~诵}配焙{烘~}	
m [1]墨- [2]眉=楣梅枚玫媒煤霉 [3]每美 [5]妹昧媚寐=	
pf [1]追锥 [5]缀坠赘	
pfʰ [1]吹=炊 [2]垂槌锤捶	
f [1]非飞=妃税扉 [2]肥 [3]匪菲绯蜚 [5]废肺吠痱费=翡{~翠}	
v [3]蕊 [5]未味魏瑞芮{姓}卫锐	
l [1]勒 2{~住}	
ʦʰ [2]贼	
s [2]谁-	
k [1]给	
x [1]嘿	
#uei	
t [1]堆 [5]对队兑	
tʰ [1]推 [2]颓 [3]腿 [5]退蜕{~皮}褪	
l [2]雷 [3]垒={~窝}累 1{~积}磊儡{傀~}[5]泪=类累 2 {连~}	
ʦ [3]嘴= [5]醉=最罪	
ʦʰ [1]催崔{姓}[5]翠粹{纯~}脆悴{憔~}	
s [1]虽绥 [2]随=隋 [3]髓{骨~}[5]遂隧穗=岁碎祟	
k [1]归龟规圭闺 [3]诡鬼轨= [5]贵柜=桂瑰	
kʰ [1]亏窥奎盔 [2]葵逵魁奎 [3]癸轨-傀{~儡}[5]愧柜-跪	
x [1]挥徽辉恢麾灰 [2]蛔回茴{~香}[3]毁贿悔 [5]秽讳惠慧匪晦诲溃{~脓}会 2绘烩汇彗卉	
Ǿ [1]威危萎煨微 [2]违围维惟为 1 {作~}桅{~杆}[3]伟唯委苇韦纬苇伪尾= [5]卫喂=畏慰纬胃谓猬魏位为 2{~啥}	
#ɔ	
p [1]褒包胞{同~}[2]雹 [3]保宝饱葆褓 [5]抱=报暴菢{~小鸡}豹爆鲍	
pʰ [1]泡 1 {眼~}抛剖 [2]袍跑疱庖炮{~制}刨{~地}[5]炮{枪~}泡 2{~在水里}	
m [2]毛=茅锚猫矛髦 [3]卯 [5]冒帽貌茂贸	
t [1]刀叨{唠~}[3]祷岛导捣蹈倒 1 {打~}[5]到悼道 1{~士}倒 2{~水}	
tʰ [1]滔掏 [2]桃逃淘{~米}陶萄涛 [3]讨 [5]套道 2稻{玉~黍：玉米}盗	
l [2]劳捞牢唠{~叨}挠醪{~糟}[3]脑恼老瑙姥佬□{~ua0：乌鸦}[5]涝{旱~}闹	
ʦ [1]遭糟笊{~篱}[3]早枣蚤澡藻 [5]躁皂燥造{建~}	
ʦʰ [1]抄钞操{~作}[2]曹漕嘈巢槽{马~}[3]草炒吵 [5]糙{~米}	
s [1]骚臊梢捎搔 [3]扫{~地}嫂 [5]稍哨□{往后退}	
tʂ [1]朝 1 {今~}昭招召 [3]沼{~泽}[5]罩赵兆照诏肇	
tʂʰ [1]超 [2]巢朝 2{~代}潮嘲	
ʂ [1]烧 [2]韶{~关}[3]少 1 {多~}[5]绍少 2{~年}邵	
ʐ [1]饶桡 [3]扰绕 1 {围~}[5]□{~的：光线过于明亮}绕 2{~线}	
k [1]高膏 1糕羔 [3]稿搞 [5]告膏 2{~油}	
kʰ [3]考烤拷 [5]铐靠犒	
ŋ [2]熬 [3]袄 [5]傲鏊{烙饼工具}奥澳懊	
x [1]蒿{蓬~}薅{除田草}[2]豪壕毫嚎号 1 {呼~}[3]郝{姓}好 1{~坏}[5]好 2 {喜~}耗浩孝-{~棍}号 2{~数}	
#iɔ	
p [1]膘{肥~}标彪镖 [3]表婊裱	
pʰ [1]飘漂 1 [2]瓢嫖 [3]鳔 [5]票{车~}漂 2{~亮}	
m [2]苗描瞄 [3]藐渺秒 [5]庙妙	
t [1]刁貂雕叼凋貂碉 [5]钓吊掉调 1 {音~}调 2{~动}	
tʰ [1]挑 [2]条笤{~帚}迢调 3{~和}[3]窕 [5]跳	
l [2]聊辽撩寥疗潦僚嘹缭 [3]燎{火~眉毛}了 2{~结}瞭 [5]料撂镣尥{马~蹶子}	
ʨ [1]交郊胶教 1{~书}焦蕉{芭~}椒礁娇骄浇饺=角= [3]绞狡铰搅剿矫缴侥 [5]教 2{~育}较校 1{~对}酵窖觉{睡~}醮{打~}较叫	
ʨʰ [1]敲锹 [2]瞧乔侨桥荞樵憔 [3]巧悄{静~~}[5]撬俏噍{牛倒~}窍轿翘	
ȵ [3]咬鸟 [5]靿{靴~}尿	
ɕ [1]肖消宵霄硝销嚣萧箫枭逍潇 [2]淆 [3]小晓 [5]孝=效笑啸校 2 {学~}	
Ǿ [1]妖夭{~折}邀腰要 1{~求}吆{~喝}[2]摇谣窑姚尧肴遥瑶 [3]杳舀{~水}[5]要 2 {想~}耀{荣~}	
#ou	
t [1]兜都 2{~是}[3]斗 1 {北~星}抖陡蚪 [5]斗 2{~争}豆逗窦	
tʰ [1]偷 [2]头投 [5]透	
l [1]鹿禄戮录陆 [2]卢炉庐奴芦颅髅辘偻楼搂{~取}耧{播种用的农具}[3]篓鲁橹卤虏努掳 [5]漏陋路赂露怒戮鹭蝼	
ʦ [1]租邹竹嘱筑阻 [2]烛族逐轴 [3]走组嘱 [5]奏做揍绉骤	
ʦʰ [1]粗初畜促 [2]锄雏 [3]础楚 [5]凑醋助触	
s [1]苏酥梳疏蔬搜艘馊{饭~了}速叔={~~}属蜀 [2]熟={煮~}淑塾 [3]叟擞数{动词}[5]嗽{咳~}瘦漱{~口}搜诉塑素数名词	
tʂ [1]周舟州洲粥祝 [3]肘帚=轴 [5]纣宙皱咒昼胄	
tʂʰ [1]抽 [2]稠绸筹愁仇酬畴筹 [3]丑瞅 [5]臭	
ʂ [1]收 [3]手首守 [5]兽寿授售受	
ʐ [1]肉 [2]蹂柔揉	
k [1]篝勾钩沟 [3]狗苟枸 [5]垢够构购勾{~当}	
kʰ [1]抠 [3]口 [5]扣{~住}寇叩	
ŋ [1]讴瓯欧 [2]牛- [3]藕偶 1 {配~}呕{~吐}殴 [5]怄偶 2{~然}沤{久浸水中}	
x [2]侯喉猴瘊 [3]吼 [5]厚后候	
#iou	
m [5]谬	
t [1]丢	
l [1]六绿-□{斜眼看别人}[2]流刘留榴硫琉瘤 [3]柳绺 [5]溜馏	
ʨ [1]揪鸠赳纠 1{~缠}[3]酒九久玖韭灸{针~}纠 2{~正}[5]就臼舅咎蹴救究旧柩	
ʨʰ [1]秋丘蚯邱鳅 [2]囚泅求球仇{姓}	
ȵ [1]忸 [2]牛= [3]扭纽 [5]拗{执~}	
ɕ [1]修羞休 [3]朽 [5]秀宿{星~}绣锈袖嗅{用鼻子~}	
Ǿ [1]优忧幽 [2]尤邮由油游犹悠 [3]有友酉莠诱 [5]又右祐柚鼬釉幼诱	
#æ̃	
p [1]班斑颁扳般搬瘢 [3]板版拌伴 [5]半绊	
pʰ [1]潘攀 [2]盘磐蟠蹒 [5]扮盼瓣办襻{纽~}判叛	
m [2]蛮瞒馒{~头}[3]满螨 [5]慢漫幔	
pf [1]专砖 [3]转 1{~个身}纂 [5]转 2{~圈}传 1{~记}篆撰	
pfʰ [1]川穿 [2]传 2{~达}椽船 [3]喘 [5]串	
f [1]栓闩藩翻幡番{几~}[2]凡帆烦繁藩矾 [3]反返 [5]泛贩饭范犯涮	
v [3]软晚挽 [5]万蔓	
t [1]耽担 1{~任}丹单 1{~独}[3]胆掸{鸡毛~子}[5]担 2 {挑~}旦诞但惮□{~谜：猜谜语}	
tʰ [1]贪摊滩坍瘫 [2]潭谭谈檀痰儃昙坛弹 1{~琴}[3]毯坦袒忐 [5]探{试~}淡炭叹但弹 2 {子~}蛋	
l [2]男南蓝篮难 1{~易}婪兰拦栏楠岚斓 [3]览揽榄橄榄懒 [5]滥缆难 2 {患~}烂	
ʦ [1]簪 [3]攒 [5]暂簪{~花}蘸{~酱油}赞栈湛	
ʦʰ [1]参餐搀掺 [2]蚕惭馋残 [3]惨 [5]灿篡	
s [1]衫山三 [3]散 1 {鞋带~了}伞 [5]散 2 {分~}	
tʂ [1]沾粘{粘贴}瞻毡占 1{~卜}[3]斩盏展 [5]站占 2{~用}	
tʂʰ [2]缠蟾蝉禅 1 [3]铲产	
ʂ [1]珊姗删扇 1煽 [3]陕{~西}闪 [5]鳝膳赡擅单 2 {姓}禅 2{~让}扇 2{~子}疝{~气}	
ʐ [2]然燃黏{~米}[3]染冉	
k [1]甘泔柑尴{~尬}肝竿{竹~}干 1{~湿}[3]敢橄{~榄}感杆秆{稻~}赶擀{~面}[5]尴干 2 {骨~}	
kʰ [1]堪龛看 1{~守}刊 [3]砍坎侃 [5]瞰勘{~误}看 2{~见}	
ŋ [1]安鞍庵氨鹌 [3]揞{~住}[5]岸按案暗	
x [1]憨蚶{~子}[2]寒韩含函邯酣涎-{~水：口水}咸-闲- [3]撼喊罕 [5]憾汉汗焊翰旱撼鼾	
#iæ̃	
p [1]鞭编边蝙 [3]扁匾贬 [5]变遍便 1 {方~}辫辨辩汴	
pʰ [1]篇偏 [2]便 2{~宜}[5]片	
m [2]棉=绵眠 [3]免勉娩{分~}缅冕 [5]面	
t [1]掂颠巅癫 [3]点典 [5]店电甸殿奠佃	
tʰ [1]添天 [2]甜田填 [3]舔腆{~肚子}垫	
l [2]廉镰帘连联怜莲 [3]敛脸 [5]殓练炼链	
ʨ [1]监1{~牢}尖歼{~灭}兼艰秸-{麦~}间1{空~}奸煎肩坚 [3]减碱检俭简柬拣剪茧 [5]鑑剑践件键监 2 {国子~}舰渐间 2{~或}谏涧箭溅{~一身水}贱饯建健荐见	
ʨʰ [1]嵌签谦迁笺千牵铅 [2]潜钳钱乾{~坤}虔掮前 [3]浅遣 [5]欠歉谴嵌	
ȵ [1]淹阉腌焉{心不在~}蔫{食物不新鲜}[2]颜年拈言{~语}[3]眼碾撵辇捻 [5]念	
ɕ [1]仙鲜 1 {新~}掀先 [2]咸=衔嫌闲=涎={~水：口水}贤痫 [3]险鲜 2{~少}癣显 [5]陷馅限苋{苋菜}线羡宪献现县腺	
Ǿ [1]胭烟燕 1{~京，姓}[2]严炎盐阎研沿延筵颜岩芫{~荽}[3]俨演掩 [5]验厌晏焰雁堰谚砚燕 2{~子}宴咽彦艳唁	
#uæ̃	
t [1]端 [3]短 [5]断={~绝}锻{~炼}段缎	
tʰ [2]团 [5]断-□{~人：骗人}	
l [2]鸾峦孪挛銮 [3]漤{~柿子}暖卵 [5]乱恋	
k [1]官棺观 1 {参~}冠 1 {衣~}关鳏蜗-{~牛}[3]馆管 [5]贯灌罐观 2 {寺~}冠 2{~军}惯	
kʰ [1]宽 [3]款	
x [1]欢 [2]桓还 2{~原}环 [3]缓 [5]换唤焕幻患宦涣	
Ǿ [1]豌剜弯湾 [2]完纨玩顽丸{肉~}[3]皖宛碗婉惋 [5]腕	
#yæ̃	
ʨ [1]钻{~眼}捐涓卷 1{~住}[5]眷钻{~子}卷 2 {试~}绢倦	
ʨʰ [1]圈 1 {圆~}[2]全泉痊拳权颧{~骨}[3]犬 [5]劝券圈 2 {羊~}窜	
ɕ [1]酸宣喧轩 [2]弦悬玄旋 1{~转}[3]选 [5]蒜眩算渲旋 2{~吃~做}楦	
Ǿ [1]冤渊鸳 [2]圆员缘元原源袁媛猿辕园垣援{~救}[3]远 [5]院愿怨院	
#eĩ	
p [1]奔锛 [3]本 [5]笨	
pʰ [1]喷 1{~水}[2]盆 [5]喷 2{~嚏}	
m [2]门 [5]闷 [0]们	
pf [3]准	
pfʰ [1]春椿{~树}[2]纯醇 [3]蠢	
f [1]分芬吩纷氛 [2]焚汾坟唇 [3]粉 [5]愤忿粪奋份顺舜	
v [2]文蚊纹闻雯 [5]润闰问	
ʦ [1]怎=	
ʦʰ [2]岑	
s [1]森糁 [5]渗	
tʂ [1]针斟珍榛真贞侦 [3]诊疹枕 1 {名词}[5]震振枕 2 {动词}阵镇	
tʂʰ [1]嗔 [2]辰晨臣沉陈尘 [5]衬趁称 1{~心}	
ʂ [1]参{人~}身申呻伸深娠{妊~}[2]神 [3]审婶沈 [5]慎肾甚葚={桑~}	
