來源：	Hynuza 整理增補自：趙駿程 1963《汾陽話与普通話》；李衛鋒 2018《汾陽方言研究》																				
ʂ	［1］生-{～豆芽，～火}甥［3］傻																				
ɻ	［2］□{嘆詞，表示羨慕的驚訝}																				
ɳ	［2］□{～開些兒}																				
k	［3］玍*{性情乖僻}嘎［5］尬																				
kʰ	［1］咖［3］卡																				
ŋ	［1］腌{～臢}鴉［3］啞［5］𨉣{～腰：彎腰}																				
x	［1］呵{～氣}哈*{～喇味，𦤬𦤧}［2］罅{～開門縫}［5］下-嚇-夏-																				
Ø	［2］家{變音：如賈～莊；誰～孩；二的～}［5］啊																				
#ia																					
p	［1］絣?{～被子：用大針腳縫被子}［5］迸-蹦-																				
pʰ	［1］澎?{水～出來了：水溢出來了}［2］棚-［3］□{～開腿：兩腿分開很大的距離}																				
m	［1］虻-{～蠅}𥌯?{～眉五骨：傻愣，滿不在乎的樣子}［3］猛-{～不防：冷不防}																				
l	［1］□{卜～：撲棱，快速扭動或者胡亂踢腿甩臂}［3］倆兩-{數量}冷-{（较少用）手～脚～}																				
tɕ	［1］加枷耕-羹-{剔～；抿～兒；拌～；麪～～；麪食}更-{半夜三～}痂袈嘉佳家稼［3］假賈［5］架駕嫁價假{放～}																				
tɕʰ	［1］揢*抲{～孩兒：抱孩子}［3］卡{～住|～子}［5］□{卡住脖子/嗓子：～殺}																				
ɕ	［1］蝦霞［2］暇瑕遐行{～～：小孩學走路；～禮：紅白事上禮}［5］下={～賤}杏-{～仁，～梅}廈={～門}厦{～门}夏=																				
ȵ	［1］牙芽蚜伢衙［5］砑硬-壓*																				
Ø	［1］丫椏［3］雅［5］亞=壓{～力}押={押金}																				
#ua																					
k	［1］瓜呱刮{～臉：男性剃鬍須}［2］□{～～：碗底下的圈腳}［3］寡剮［5］掛卦褂挂																				
kʰ	［1］誇夸［3］垮胯［5］跨挎掛{～名兒}挂{～名儿}																				
x	［1］花華{中～}譁［2］鏵划{～船}劃{～破}［5］話化華樺畫{～圖，～喇}画{～图，～喇}劃{計～}																				
tʂ	［1］抓［3］爪																				
tʂʰ	［2］欻{～～：水流貌}																				
ʂ	［1］□{～咧：指責他人做無意義的事情}［3］耍																				
ɳ	［2］□{～～：嬰兒重複伸屈五指}																				
Ø	［1］挖娃鴰蛙［3］瓦搲［5］凹窪洼																				
#ya																					
tɕ	［1］□{擬聲詞，形容生氣時大聲呵斥的聲音}［3］獷?{形容態度或質地生硬}																				
ɕ	［2］横-{～來下，霸～，～過}橫-{～來下，霸～，～過}［5］□{形容肉腐壞的味道}																				
Ø	［3］噦{圪～：惡心反胃}																				
#ɯ																					
t	［1］多［2］地?{曷～：哪里。（待考，康熙字典：叶徒何切，音沱。）}［5］大-舵																				
tʰ	［1］拖［2］馱跎駝陀柁																				
n	［1］那{表示那裏，实际是「那地(tɯ)的合音」}［2］挪																				
l	［2］螺騾羅籮蘿鑼腡［3］裸剆?{碰觸}［5］摞亂																				
tsʰ	［1］搓蹉［2］矬［5］挫銼錯																				
tʂ	［1］招-這{表示這裏，实际是「這地(tɯ)的合音」}［5］照-{～見；～住，～孩兒：照看，看著}趙-																				
tʂʰ	［1］車=超-{高～不嘍：好不到哪兒；不高～：不怎麼好；～淘：形容好，例如人品}［2］朝-{～向；～北；～住}潮-［3］扯=																				
ʂ	［1］燒-奢［2］蛇=［3］捨={～近求遠}少-［5］□{由於日久而褪色}射=舍={宿～}社={～會主義}燒{早～，晚～：霞}																				
ɻ	［2］饒-{不～人}［3］惹={～事生非}［5］繞-{～圈圈，～遠}																				
k	［1］高-羔-糕-膏-{～藥}歌=哥={～們兒}［5］告-個{～別}个{～别}																				
kʰ	［1］苛柯［3］可岢［5］可{～好：正巧}靠-銬-栲{～栳兒：一種莜麪麪食}犒-																				
ŋ	［1］訛［2］熬-鵝俄蛾娥峨硪{石～}［3］我={文讀，舊讀書音}［5］鏊燠{～鍋水：反覆燒開的鍋底水}膏-{～油：給機器上潤滑油}																				
x	［1］蒿-{～草}［2］何=河=荷［5］賀好-{喜歡，如：～吃煙}																				
#iɯ																					
p	［1］膘-鰾-［3］裱-{～畫兒}																				
pʰ	［1］飄-漂-［2］嫖-瓢［3］漂-［5］票-																				
m	［2］苗-描-［5］妙-{～式式地：身材好}廟-																				
t	［1］刁-雕-{～抹：化妝}［5］吊-調-釣-藋{灰～兒：一種草名}																				
tʰ	［1］挑-［2］條-調-笤［3］挑-［5］跳-糶-粜-																				
l	［2］獠繚撩-燎-{～窩：竈火下面接炭灰的洞}敹?{粗略地縫：用針線～邊邊}［3］了-{結束}燎-［5］瞭-料-尥{～蹶子}□{～菜：洗菜}□{圪～：翹的分音詞}																				
tɕ	［1］澆-嬌-焦-椒-［3］絞?繳{～臉}［5］叫-癄?{～巴巴：形容很窮}噍{牛倒～：牛反芻}																				
tɕʰ	［1］蹺-{高～}悄-繰-{～邊邊：鎖邊}劁{～豬：給母豬做結紮}［2］喬-橋-蕎-［5］翹-鞘-{刀子的～子}峭-																				
ɕ	［1］消-{～停；雪～啦}硝-{～鹽}肖-蕭-［3］小-曉-{～不得：不知道}［5］笑-																				
ȵ	［3］鳥-［5］尿-																				
Ø	［1］猺{黃～：黃鼠狼}妖-{～式式：娉婷妖嬈貌}吆-腰-邀-{～狗，～蠅子}［2］搖-摇-遙-{平～：山西地名}遥-{平～：山西地名}窯-窑-［3］舀-{～水}［5］要-{不～，～緊}鷂-																				
#yɔ																					
l	［1］□{圪～：物體表面微微翹起褶皺不平。如：煎餅邊邊圪～起來啦，能翻啦。}［2］良糧涼凉梁粱量{～尺寸}樑［3］兩{斤～}［5］亮晾諒輛量{數～}																				
tɕ	［1］江將{～來}姜豇疆繮僵［3］講獎蔣槳［5］匠將{～領}漿醬犟糨謽強?{～弄好：好不容易}降{升～}虹{～啦：出彩虹了}絳																				
tɕʰ	［1］腔槍強{比我～}强{比我～}戧{～風}羌［2］強{～壯}强{～状}牆藏{躲藏。耍～耍：玩藏貓貓}［3］強{～迫}搶［5］嗆戧{夠～}熗框[門～}																				
ɕ	［2］香鄉相{～互}箱廂{車～}湘鑲襄［2］廂{這～：這邊}降{投～}詳祥翔［3］享響餉想［5］向項象像橡相{～面}																				
ȵ	［2］娘孃［3］仰{老派。～塵}［5］釀{（新）}																				
Ø	［1］秧殃央［2］羊洋佯陽揚楊［3］養癢仰瘍氧［5］樣恙怏颺																				
#uɔ																					
p	［1］幫邦梆餑*{香～～}［3］綁榜膀{肩～}［5］謗傍棒鎊蚌																				
pʰ	［2］旁膀{～胱}龐螃［5］胖={～大海}																				
m	［1］饃［2］忙芒{～果}茫盲氓牤=［3］莽蟒																				
f	［1］方芳妨［2］房坊{豆腐～}防妨肪［3］仿紡訪坊［5］放																				
ʋ	［2］亡芒{麥～～}［3］網网［5］忘{～啦}妄																				
t	［1］當{～頭兒}襠［3］黨擋{～風}檔{～案}［5］當{妥～}蕩盪擋{～住}宕																				
tʰ	［1］湯［2］唐糖塘搪堂膛樘螳棠陀{阿彌～佛}［3］倘淌躺蹚［5］趟燙																				
n	［3］囊［3］曩?{～年：那一年}饢［5］齉{鼻～}饢?{～口：食物可口喫得過癮}																				
l	［2］狼郎廊榔螂琅鋃［3］朗［5］浪																				
ts	［1］髒{～亂差}贓［5］藏{西～}臟{心～}葬奘																				
tsʰ	［1］倉蒼［2］藏{埋～}																				
s	［1］桑喪{～事}［3］嗓搡［5］喪{～失}																				
tʂ	［1］張章樟彰莊樁裝妝蟑［3］長{廠～}漲掌［5］丈仗杖賬帳障幛狀壯撞脹瘴																				
tʂʰ	［1］昌瘡霜{～降}窗雙{一～筷子}娼［2］長{～短}常嘗嚐尝償場{打～}腸牀［3］廠敞場{操～}氅闖［5］唱倡暢創撞{老派}																				
ʂ	［1］商傷殤孀霜墒{土壤的濕度。養～，晾～，浮～，探～，假～。今冬天雪大，過喽年儿春起種地底～足}［3］賞爽晌{歇～}［5］上{～學}尚裳鞝{～鞋：縫製鞋底和鞋幫}绱{～鞋：縫製鞋底和鞋幫}緔{～鞋：縫製鞋底和鞋幫}																				
ɻ	［2］瓤穰［3］壤嚷［5］□{～糞：施肥}讓瓤{～山藥}釀{（老）醞～}																				
ɳ	［2］□{衣裳～啦：衣服舊了快要破}□{～住脖子：脖子抽筋直不了}［3］擃攮{①用力推，～搡；②匕首，～子}																				
k	［1］剛綱鋼罁肛缸光胱哥{～～，面稱+背稱}［3］岡崗港廣［5］槓杠逛																				
kʰ	［1］康糠慷筐框誆匡狂誑□{形容虛情假意}［3］扛［5］抗炕況况眶礦曠																				
ŋ	［2］昂																				
x	［1］夯荒慌［2］行{銀～}缸{醋～兒，放醋的有耳陶罐}瓨{醋～兒，放醋的有耳陶罐}杭航皇蝗凰黃磺簧［3］晌{前～，後～}恍幌謊［5］上{俺家～，樹～，方位詞，有時會再弱讀爲輕聲}巷晃																				
Ø	［1］汪［2］王亡{新派}芒{新派。麥～～}［3］往{來～}枉網{新派}网{新派}［5］旺望忘{新派。～啦}妄{新派}																				
#ai																					
p	［1］白={～給；漂～}［3］襬擺摆［5］拜敗稗																				
pʰ	［2］排牌拍{驚濤～岸}［5］派																				
m	［2］埋={～葬}［3］買［5］賣邁																				
f	［0］□{疼痛時語氣詞}																				
t	［1］呆［5］代{～表}貸黛怠殆待{招～}戴={愛～}帶={～動}大{～夫，～王，～好喫咧}																				
tʰ	［2］台{～湾，写字～，～风}臺={～灣}檯={寫字～}颱{～風}跆駘苔{～蘚}［5］太汰態泰																				
n	［2］奶乃*{“那塊”的合音，～人，～東西，～時候}［5］奈=耐={能～}																				
l	［2］來{將～}萊徠［3］□{“擺”的分音後字}［5］賴籟癩																				
ts	［1］齋斋災={～難}灾={～难}栽={～培}［3］宰={～相}載{～重}□{“這塊”的合音，～人；～東西；～時候}［5］再={～三}在={～乎}債寨																				
tsʰ	［1］□{～母子：不生養的牲畜或者女人}差{出～}搋{～麪：用手掌壓、揉，使面和勻}猜={～測}揣?{～到懷裏}釵［2］柴才={人～}材={～料}財={～富}豺裁={～判}［3］采{風～}採={～集}彩={～色}踩睬綵{剪～}［5］蔡=																				
s	［1］篩釃{～酒；斟酒}［3］摋{擺動。擺～，～孩兒：抱着孩子來回走動}［5］曬賽																				
k	［1］該=［3］改=［5］丐概溉蓋=盖=																				
kʰ	［1］開=［3］凱慨楷																				
ŋ	［1］哀挨{～靠}埃［3］矮靄藹癌［5］愛={～國}艾={姓}礙隘																				
x	［2］鞋孩={紅～兒}［3］海［5］亥害={禍～}解{～開：明白}澥{～糊：勾芡}駭□{～擦：把東西弄壞或折騰得亂七八糟}□{～嚓嚓：稀鬆不精細}																				
#iai																					
tɕ	［1］階皆街［3］解{～放}［5］介芥疥界戒誡屆届解{押～}械																				
tɕʰ	［1］揩																				
ɕ	［2］偕諧［5］解{姓}懈蟹																				
ȵ	［2］捱{～打}崖［5］捱{～住飢}																				
#uai	［1］胚坯［2］賠																				
tʂ	［1］拽?{硬給}［3］□{～文}［5］拽{～住}																				
tʂʰ	［1］衰{～啦：老了行動遲緩}［3］揣{摸～}［5］踹{～開}膪{不精幹，笨}																				
ʂ	［1］衰{～敗}［5］帥率{～領}																				
ɻ	［3］□{老年人沒牙喫東西的動作}																				
k	［1］乖［3］拐柺［5］怪																				
kʰ	［1］擓□{～哄：哄騙}蒯［5］快筷塊會{～計}																				
x	［2］懷槐淮踝［3］塊{個，量詞}［5］壞																				
Ø	［1］歪［2］□{堆，量詞}［3］崴揻{～折:使細長的東西彎曲折斷}［5］外={～國}																				
#ei																					
p	［1］杯揹{動詞}卑碑悲［3］北{～極}［5］背{脊～}貝倍焙輩悖被={～減數}狽																				
pʰ	［1］坯=胚［2］培陪賠裴［5］配沛佩																				
m	［2］埋-煤媒梅莓黴枚玫［3］每美鎂䆀{～～：高粱玉米染黑穗病的穗子}［5］妹昧媚寐=没{水没过}沒{水沒過}																				
f	［1］飛非啡菲妃［2］肥=［3］匪翡菲［5］費肺廢痱吠																				
ʋ	［2］微唯惟［3］尾=［5］未味																				
t	［3］歹逮［5］帶-戴-待{～理不～理}袋-代-{～課}																				
tʰ	［1］胎-{～毛兒}［2］臺-{圪～～：臺階}抬-{～起來}薹{蒜～}																				
n	［5］耐-{堅～}內奈-{沒～何}																				
l	［1］來{出～，過～。另：時體助詞，表曾然}［2］來{～往}［3］裏{表示裏面；合～：内部}																				
ts	［1］災-{～害}灾-{～害}栽-{～樹}賊［3］宰-載-{一年半～}［5］再-在-{不～}																				
tsʰ	［1］猜-{～見，～不見}［2］纔{～剛：剛纔}材-{棺～}財-{～主兒}裁-{～縫}［3］採-{～開：撕開}［5］菜-蔡-																				
s	［1］腮-鰓-																				
k	［1］該-{～欠}［3］改-給{遞～}［5］蓋-盖-																				
kʰ	［1］開-																				
ŋ	［5］愛-艾-{～草}																				
x	［1］去?{趨向語氣詞}［2］孩-［5］害-{～怕}																				
#ui																					
t	［1］堆［3］㨃?［5］對兌隊																				
tʰ	［1］推［3］腿［5］退褪{～色}煺蛻																				
l	［2］雷累{～贅}［3］累{積～}壘={堡～}垒{堡～}儡磊擂屢?［5］累{勞～}類类擂																				
tʂ	［1］追錐［3］咀［5］綴墜贅最罪																				
tʂʰ	［1］吹炊崔催摧［2］垂錘捶槌［3］脆翠粹萃																				
ʂ	［1］雖尿夊{原地不前左右運動甚至後退。圪～；～蛋蛋：一種食物，通過搖晃容器滾製；～簸箕里的东西：通過左右運動簸箕來篩選東西}［2］隨綏誰［3］水髓=［5］睡稅說祟碎																				
ɻ	［3］蕊［5］瑞銳芮																				
k	［1］歸龜規閨圭［3］鬼軌癸詭晷［5］桂貴櫃瑰鱖																				
kʰ	［1］虧盔葵魁奎逵簋窺［3］傀［5］潰饋愧劊跪																				
