#声调	1阴平22 2阳平21 3阴上13 5阴去55 6阳去33 7阴入53 8阳入3
#注释	*训=文-白
#资料来源	《福建四保话的古音痕迹及同音字汇》，《闽西四堡马屋客家话音韵研究》，《福建省连城县四堡客家话研究》，《连城四堡方言的几个特点》
#a	
tʰ	[1]断-[2]团团{~鱼：鳖}[6]断段锻缎
l	[1]暖[2]孪[3]卵{蛋的一般说法}[6]乱
ts	[1]钻[3]盏*{一~花}
tsʰ	[1]闩餐[5]窜
s	[1]拴酸[5]算蒜涮丧
k	[1]干肝竿官棺冠关官*{猫猫~：蜻蜓}[3]杆秆管馆广{~大}梗[5]贯灌罐惯干
kʰ	[1]宽眶匡腔筐[2]狂[5]矿旷扩
g	[2]顽
h	[1]旱鼾酣[2]寒韩[3]罕[5]汉[6]汗焊
0	[1]安{~纽子}鞍[5]按案
#ɔŋ	
p	[1]邦帮[3]棒榜绑{配饭}
pʰ	[1]滂[2]旁滂螃[6]傍
b	[2]盲亡忙芒茫[6]忘
f	[1]方芳荒慌[2]皇妨房防肪[3]谎仿纺访防彷[5]放=
v	[1]汪[2]王黄簧[3]枉往[6]妄望旺
t	[1]当[2]郎狼廊[3]党朗挡[5]当
tʰ	[1]盪汤[2]堂棠螳唐糖圹[3]躺倘[5]烫[6]荡
l	[2]囊狼*{~萁子：一种草，杆内有蕊}[3]朗嚷哴*{~ kɔŋ3：木拖鞋}[5]攘[6]浪
ts	[1]脏赃装庄桩[5]壮葬
tsʰ	[1]仓苍疮[2]藏[3]闯[5]创[6]状撞
s	[1]丧霜孀[2]床[3]爽[5]丧
tʃ	[1]张章樟[3]掌涨长[5]涨帐账胀障瘴
tʃʰ	[1]昌菖丈-[2]长肠场常[3]厂[5]畅唱倡[6]丈=仗杖
ʃ	[1]商香伤上{动词}乡[2]尝裳偿[3]赏亨响[5]向[6]尚上{方位词}
k	[1]甘柑泔冈岗纲刚杠扛光江[3]敢讲广{~东}港[5]钢
kʰ	[1]龛康糠[2]狂[3]慷[5]抗炕况墈{两层梯田间的高斜面}
h	[2]降{投﹣}函[6]巷项
0	[1]庵肮[5]暗
#iɔŋ	
p	[1]枋{寿~：棺材}[5]放-
b	[2]芒-{芒草}[3]网-
t	[2]良凉量粮梁粱辆[3]两俩[5]亮[6]量谅
g	[2]娘[3]仰[6]酿让
ts	[1]将浆[3]蒋奖[5]将酱
tsʰ	[1]枪[2]墙[3]抢[6]匠像
s	[1]相箱厢湘襄镶[2]详祥[3]想[5]相[6]象像
k	[1]姜薑[5]强
kʰ	[1]羌腔僵框-{面~：颧骨}[2]强
0	[1]央秧殃痒[2]羊洋扬杨阳[3]养影-{人~}[6]样
#əŋ	
p	[1]分-奔崩[3]本[5]笨迸粪-
pʰ	[1]烹[2]盆朋棚[5]喷
b	[1]蚊-猛[2]门盟[3]刺*{~ko2：树上的刺；~kə2：蛤蟆}[5]问[6]闷孟
f	[1]芬纷荤婚分=昏[2]焚魂弘坟[3]粉[5]愤忿奋[6]份
v	[1]温瘟[2]文闻浑{浑浊}[3]吻稳
t	[1]敦登丁钉订蹲[3]盾等顶鼎厚*[5]凳蹬订顿{~脚：跺脚}
tʰ	[1]汀吞厅[2]腾滕澄亭停廷庭蜓誊[3]艇挺[6]邓锭定
l	[1]奶{奶；乳房}[2]仑伦沦轮能宁抡{砍}零[3]撚冷[5]踮*[6]嫩论楞
ts	[1]尊遵曾增憎争=遵{一定} [5]赠
tsʰ	[1]村[2]存曾[5]寸忖衬
s	[1]新{~妇}孙僧生牲笙甥星腥森[3]损省擤{~鼻}[5]逊
k	[1]跟=更根耕[3]耿梗*{~ʃi5：刚好}[5]更=
kʰ	[2]盖*{罩鸡的罩子}[3]恳垦肯
g	[1]蔫*{个头小}[2]银=
h	[1]亨[2]含-痕恒衡衔行{品~}横=[3]很[6]恨杏幸
0	[1]恩[3]揞[5]应{回答}
#iŋ	
p	[1]彬宾槟冰兵[3]禀殡鬓[5]并併
pʰ	[1]拚[2]贫频凭平评瓶=屏[3]品[5]聘[6]凭{靠}
b	[2]眠-泯皿闽民萌鸣明=冥铭[3]悯敏愐{回忆}[6]命=
f	[1]熏勋薰[2]唇纯[5]训舜[6]顺
t	[1]鳞-叮{~~钟：小舌}[2]林淋鳞=磷鄰临[6]赁
l	[2]灵铃伶龄陵凌菱[6]另
g	[2]人[3]忍[6]壬妊刃任认韧=
ts	[1]津精榛臻晶旌精{精明}[2]舐*{用舌舐}[5]进浸晋俊
tsʰ	[1]侵亲梓清菁[2]寻秦晴=[3]寝[5]襯[6]尽静净=
s	[1]心参{人﹣}辛新薪[2]旬荀循巡[3]榫笋[5]渗信讯迅性[6]殉
tʃ	[1]贞侦针斟襟珍真征蒸[3]枕锦拯整诊疹[5]镇证症正振震政针{蛰}
tʃʰ	[1]深称撑[2]沉成诚陈尘臣辰晨呈逞乘承丞[5]趁称秤
ʃ	[1]掀身申伸欣升兴旺[2]神绳塍{田~}形刑型匙{锁~}眩-{~车：晕车}[3]审婶沈[5]胜兴圣[6]甚肾慎剩盛
k	[1]京荆鲸禁经今金襟巾斤[3]谨警锦紧景[5]禁劲敬径
kʰ	[1]钦卿倾肾{鸡胗}[2]琴禽擒勤芹[3]倾顷[5]庆[6]近=
0	[1]音阴因姻殷鹰莺英婴罂樱鹦缨[2]淫仁引蝇盈[3]饮又隐颖[5]印荫窨[6]剩
#uŋ	
p	[3]捧
pʰ	[1]枫-蜂-[2]篷蓬冯[6]缝-
b	[2]蒙[3]懵[6]梦
f	[1]风疯枫=丰封峰蜂=锋[2]宏洪红虹鸿缝=逢冯=[3]讽[5]凤[6]奉俸
v	[1]翁沃{~水：浇水}[3]㨣{推}[5]甕蕹{空心菜}烘
t	[1]东冬[3]董懂[5]冻栋崠{山顶}
tʰ	[1]通[2]同铜筒桐童{起~：起乩}瞳[3]桶捅统[5]痛[6]动洞
l	[1]聋窿[2]农脓笼
ts	[1]宗棕鬃踪=[3]总[5]粽
tsʰ	[1]窗-聪匆葱囱[2]丛从崇
s	[1]双-松崧嵩[3]㧐{推}[5]送宋
tʃ	[1]中忠钟盅终舂[3]种肿[5]中众种
tʃʰ	[1]充冲重[2]虫重崇=[3]宠[5]铳[6]仲重
k	[1]公工{一~：一天}功蚣攻[3]巩汞[5]贡
kʰ	[1]空[3]孔恐[5]控空
h	[1]轰[3]哄哄*{男生殖器}[5]：名轰*{声响，扬名}[6]轰*{咸名}
#iuŋ	
t	[2]龙陇珑拢隆陇{地~：两境之间的行人小道}
g	[2]浓
ts	[1]踪-[5]纵
tsʰ	[2]松-
s	[1]嵩[6]诵颂讼
k	[1]供宫躬恭弓[3]拱[5]供{养}
kʰ	[2]穷穹[6]共
ʃ	[1]胸凶[2]熊雄
0	[1]庸[2]冗荣戎绒融茸容蓉[3]拥勇[6]用
#uiŋ	
k	[1]均钧君军卷*{蛇盘成一团；把绳子盘成一卷}[3]准[5]圳{小沟}
kʰ	[1]春椿菌[2]群裙琼[3]蠢
g	[2]银-
0	[1]晕[2]匀云[3]允永[6]韵运孕泳润闰
#uəŋ	
k	[3]滚[5]棍
kʰ	[1]昆坤崑[3]綑[5]困
#ãĩ	
p	[1]鞭边辫编斑-{~面：麻子}沾*[3]扁匾贬扁*{远指：那}板-[5]变遍
pʰ	[1]编篇偏[2]便{~宜}[5]瓣骗片[6]辩辨便便*{肥皂}办-{煮}
b	[2]绵棉[3]免勉娩绳[5]面{脸}[6]面缅
f	[1]轩掀[2]船玄弦悬[5]献*{摔、抛}
