来源：	杨红 2017《介休市张良村方言语音研究》；Hynuza, Skanda 整理录入
tʰ	［1］徒屠途涂图荼［3］土吐［5］兔菟
n	［1］努{～嘴：不高兴}
k	［1］姑孤辜菇咕［3］古估{～摸}计贾{商～}股鼓蛊箍{金～棒}［5］故固顾□{～儿：老鼠}
kʰ	［1］枯骷［3］苦［5］库裤
x	［1］胡湖葫蝴瑚糊{～～}呼乎浮孚狐弧壶夫扶抚符孵滹［3］虎唬琥肤府甫斧釜辅否［5］户沪互护浒扈父付副傅赴附妇负富埠糊{眼睛里～}
Ø	［1］无吴乌呜钨屋蜈芜妩梧污坞巫诬侮毋［3］五午伍捂武舞鹉吾［5］恶{憎～}误悟务雾寤晤戊骛
#y
t	［1］朵-{耳～～}□{～坏了：摔碎了}□{把物体摞起}来［3］朵-{量词}躲［5］剁{～馅儿}垛{草～子}
tʰ	［5］唾-
ʨ	［5］坐-座-
ʨʰ	［1］□{～屎：形容上厕所动作慢}
ɕ	［1］靴嘘［3］锁-琐-
#a
p	［1］巴{～结}芭疤耙爬-［3］靶把{～住}［5］霸坝罢爸把{二～手}吧叭
pʰ	［1］琶杷爬=［5］怕帕
m	［1］妈麻蟆□{干～～：烘干的馒头切片}［3］马码玛蚂［5］吗骂
t	［1］□{爷～～：表示惊讶时的用法}［3］打［5］大姐-
tʰ	［1］她他踏
n	［1］拿［3］那哪［5］呐
l	［1］拉垃［3］拉{～糊：人性格好，与人相处融洽}［5］落{～下}了{行～}旯
ʦ	［1］咱渣栅喳［3］咋铡{～肉：剁肉}［5］诈榨乍炸{～药}
ʦʰ	［1］茶搽查茬=诧［3］衩镲［5］差{～等生}叉岔杈□{往袋中装物时撑开口的动作}
nz	［1］□{地面积水与泥混合，行走不方便}
s	［1］纱沙鲨痧茬-□{～头发：剪头发}［3］洒厦-{大～}霎撒□{～子：铁的、铝的或不锈钢的洗衣盆}［5］□{从众多物中挑拣}
tʂ	［1］睁眨□{用水泡菜或熟鸡蛋}［5］炸{杯子～了}
tʂʰ	［3］□{八～～：比圆形器皿更扁一点的口}
ʂ	［1］生-［3］傻甥［5］啥生-{～儿：生日}
k	［1］嘎［5］尬
kʰ	［3］卡{～片}
ŋ	［3］哑-
x	［1］哈［5］下-吓-
Ø	［1］啊阿
#ia
p	［1］□{简单的大针脚地缝}棚-{～～：只有顶部下面简单支撑的棚}［5］迸□{～了}
pʰ	［3］□{把腿～开：分开双腿}［5］□{水～了一地：一定空间内被水淹没}
m	［1］孟{～村：介休一村名}［3］猛-{～眉竖眼：形容长相凶}［5］□{吹～～：吹唢呐}
l	［1］□{薄～：挣扎}［3］冷-
ʨ	［1］加伽痂枷茄袈家佳嘉耕-{～地}□{面条儿}［3］假{～的}贾{姓}［5］驾价嫁稼架假{～期}
ʨʰ	［3］卡{发～；～住}［5］掐{～住}呛{～死了}
ȵ	［1］牙-芽-蚜-衙-鸭娘{～～：尊称和奶奶同辈的老妇人}［5］轧-硬-压-亚-娘{奶奶}
ɕ	［1］虾霞暇侠瑕行-{有能力}［5］下夏吓杏厦={～门}
Ø	［1］牙=芽=衙=［3］雅哑=也-［5］讶亚=轧=
#ua
tʰ	［5］囱{烟～}
ʦ	［1］抓□{腊八粥}［3］爪
ʦʰ	［5］□{猛然泼水的声音}
s	［1］□{～起袖子：把袖子撸起来}唰［3］耍
k	［1］瓜呱□{骂人}［3］寡剐［5］挂卦褂
kʰ	［1］夸［3］垮胯［5］挎
x	［1］花华哗划{～船}［5］化华{～山}画话划{规～}
Ø	［1］娃蛙挖娲［3］瓦{～片}［5］瓦{～刀}凹洼哇
#ya
ʨ	［3］□{表示事物比较硬}［5］□{～庄，介休一村名}
ɕ	［1］横□{～了一顿；骂了一顿}［5］横{～住：卡住}
Ø	［1］曰{子～诗云}［5］哕{圪～：干呕}
#iɛ
p	［1］边鞭编［3］贬蝙匾扁贬［5］变便辨辩辫遍汴
pʰ	［1］偏翩便{～宜}［3］篇谝{～大：显摆}［5］骗片
m	［1］棉绵眠腼［3］免勉娩缅冕［5］面
t	［1］甜-填-惦颠滇癫掂玷［3］点典碘［5］店电殿奠垫=佃淀甸
tʰ	［1］天添甜田填［3］舔恬腆［5］垫-{你先给我～上：你先帮我付钱}
l	［1］连莲涟帘怜廉镰联粮良凉量梁粱恋-［3］脸两俩魉［5］练炼殓敛辆亮量晾
ʨ	［1］尖兼艰间奸肩坚监疆将煎前-钳-僵姜刚-钱-［3］减碱缄检俭硷简柬捡拣剪翦茧蒋讲奖［5］见舰剑件谏渐践贱溅饯建健键腱毽荐浆将酱匠降
ʨʰ	［1］千□{鸟鸟～你：鸟啄你}签歼迁谦钳钱潜虔乾笺前牵铅黔墙枪腔强［3］浅强抢［5］欠歉嵌倩呛茜
ȵ	［1］淹严-俨-颜-言-研-娘年拈岩［3］眼撵捻［5］念雁-燕-谚-砚-
ɕ	［1］先仙闲贤嫌弦鲜咸涎掀相箱厢襄镶详香乡翔湘［3］险癣显享想响饷［5］线限陷宪献现县馅羡相降橡巷项
Ø	［1］盐阎炎腌烟沿胭颜言研芫{～荽}檐延筵蜒焉蔫阉严俨央秧羊殃疡扬杨阳洋佯咽{～喉}岩奄嫣［3］演掩魇{～～：黑色的痣}氧养仰痒衍［5］厌验焰堰咽{～下了}宴晏艳妍唁燕样谚沿{～～：农田中分割的地方}恙样漾
#yɛ
l	［1］恋联［3］□{～住肉了，疼死了：用手揪住了肉，疼死了}［5］练{～习}
ʨ	［1］捐泉-［3］卷［5］卷圈眷绢娟鹃倦
ʨʰ	［1］全痊权圈泉拳颧荃诠［3］犬圈{～起来：关起来}［5］劝券
ɕ	［1］宣喧暄渲轩旋悬玄眩颧-［3］选［5］□{～～：转笔刀}
Ø	［1］员圆元园原源渊冤鸳袁辕猿垣援缘［3］远［5］院愿怨苑
#ɤ
tʂ	［1］遮=蔗［3］这
tʂʰ	［1］车=蛇=［3］扯［5］撤
ʂ	［1］赊奢［3］舍{～弃}［5］社赦舍{宿～}射麝
ʐ	［3］惹
k	［1］哥=歌戈［5］个={一～}
kʰ	［1］苛科颗棵窠［3］可［5］课
ŋ	［1］鹅俄蛾讹［3］我［5］饿=
x	［1］何荷=河=和禾［5］贺
#uo
p	［1］玻波播鄱波［3］绑-跛
pʰ	［1］颇坡=婆=［3］叵［5］破=
m	［1］馍=摩=魔=忙-
t	［1］多当-{～家}裆-［3］朵=［5］惰堕剁垛
tʰ	［1］拖驼驮舵鸵汤-［3］妥椭［5］唾烫-{～死了}
n	［1］挪［5］懦糯
l	［1］罗锣萝箩螺骡凉-量-{～血压}粮-梁［3］两-［5］亮-晾-摞=量-{分～}
ʦ	［1］左=佐［5］坐=座=
ʦʰ	［1］搓磋［5］错措锉
s	［1］梭唆嗦［3］锁所琐
k	［1］锅光-［3］果裹［5］过=
kʰ	［1］糠［5］阔炕-
x	［1］房-方防黄-璜簧［3］火伙仿纺幌{～子}［5］货放祸巷{～～：巷子}
Ø	［1］窝倭［3］枉-网-［5］芒{麦～}忘-旺-望-{～记}卧
#yo
ʨ	［1］墙-张-肠-庄-状-姜-{鲜～}强{～盗}场-缰-长{长}僵-{～过去了：一种疾病。表现为四肢僵硬，神志不清。}藏{圪～：藏起来}［3］长-{～大了}涨-掌-{钉～子}［5］杖-丈-{～人}降-{姓}酱-匠-虹-
ʨʰ	［1］搓-双-［3］抢-［5］错-{～误}呛-{～死了}锉-
ȵ	［1］仰-{～住脖子}［3］□{～人：推人}
ɕ	［1］香-疮-窗-床-{尿～}唆-蓑-梭-商-{～量}［3］想-响-琐-所-［5］象-上-{～头}绱-{～鞋}向-赏-
Ø	［1］瓤-秧-羊-杨-{～树}扬-{～了一身土}［3］养-{～活}［5］样-
#ər
Ø	［1］儿而［3］尔耳饵洱迩［5］二贰
#ae
p	［1］白背赔-□{～人：举行葬礼}赔-{～随：拿上}牌{罩～～：小孩的一种类似围嘴的衣物}［3］摆［5］拜败稗倍辈背焙狈褙{～鞋垫垫：做鞋垫}
pʰ	［1］排培陪赔=裴牌坯［3］胚丕魄□{～下：故意让人做不必要的事情}［5］派配佩帔{凤冠霞～}沛辔
m	［1］梅莓酶枚玫埋媒楣［3］买［5］卖迈妹昧寐
t	［1］呆台-苔-{蒜～}□{～躲：藏起来}［3］歹逮［5］带代贷袋黛岱大{～夫}待怠戴殆
tʰ	［1］胎台=抬苔=［3］□{～一觉：舒服的睡一觉}［5］太汰泰态
n	［3］奶乃鼐［5］耐奈
l	［1］来莱［3］徕{簙～：摆动}［5］赖癞
ʦ	［1］栽裁灾斋哉材-{棺～}才-{副词：吃了饭～刷碗呀}［3］宰载崽［5］在再债寨
ʦʰ	［1］猜才=财豺材=差{出～}裁柴=□{～枣：用筷子或者柱状物体捣碎枣}［3］采彩踩睬［5］菜蔡
nz	［3］奶-{～孩：喂奶}
s	［1］筛腮柴-塞□{～牙嘶嘴：龇牙咧嘴}［3］□{～～：抱着孩子摇晃}［5］晒赛塞{～外}
tʂ	［3］这
k	［1］该垓［3］改［5］盖丐钙概溉
kʰ	［1］开{～关}［3］凯恺楷慨［5］开{谋～儿：想办法}
ŋ	［1］挨哀埃［3］矮蔼霭［5］爱艾碍隘
x	［1］鞋孩骸［3］海□{人～得多：人多}［5］害亥骇氦嗨
Ø	［1］唉
#uae
t	［1］堆兑［5］对队碓堆{我～下好几天的业务了}
tʰ	［1］推颓［3］腿［5］退褪蜕
n	［5］内
l	［1］雷擂蕾镭［3］□{～霸王火}［5］擂{～台赛}
ʦ	［3］拽{～的多：形容很阔气、很威风}［5］罪拽{～住}□{拟声词：～地掉在地下}
ʦʰ	［1］崔催摧璀［3］揣［5］踹□{指人不卫生，无能：他妈太～了}
s	［1］衰摔□{～在旮旯：悄悄地放在旮旯}［3］揣{～～：摸一摸}甩［5］碎帅率{主～}
k	［1］乖□{～一下刀：磨刀}［3］拐［5］怪
kʰ	［1］盔［3］块□{～上走了：通过哄骗等手段拿走}［5］快会{～计}刽侩{市～}脍筷蒯
x	［1］回茴蛔徊灰诙徽怀淮和-{～～饭}［3］恢悔晦诲讳［5］坏汇惠蕙彗慧秽卉会桧绘贿个-{一～}
Ø	［1］歪［3］崴□{那：～是什}［5］外喂{表感叹}碨{～儿：磨面的磨}
#ei
p	［1］卑碑婢杯悲［5］贝狈
pʰ	［5］呸
m	［3］美镁
t	［1］低钉-{～～}蹄-□{～督：不怀好意的建议做事}［3］底抵邸羝顶-{～住}［5］地弟第递帝蒂缔钉-{～板板}疔定-{～省：仔细看、仔细想}的
tʰ	［1］听-堤梯题提啼蹄［3］体［5］替涕剃嚏屉
l	［1］梨黎犁藜离璃篱漓厘狸铃-零-{～花钱}萝-箩-［3］李礼里理鲤娌俚领-{衣～}［5］例厉励砺丽鹂隶荔吏利痢莉俐猁另-{～开家：分家}
ʦ	［1］脐贼精-{～明}齐-{～到了：全部到了}睛-［3］挤-井-虮{～子}［5］际祭济净-剂□{笼～～：一节一节的蒸笼}
ʦʰ	［1］青-齐-{整～}清-{～水子：形容比较稀}妻凄栖萋［3］□{～～叉叉;动作麻利}［5］□{～起来：把分离的东西拼起来}
nz	［3］挤-□{～～nzeng nzeng说话或者唱歌时口齿不清}
s	［1］西星-惺-腥-［3］洗［5］细息-{有出～}婿性-{变～了：形容人性格变了}
tʂ	［1］知蜘迟-蒸-遮［3］整-{～理}者［5］正-制智滞致稚痔治置桎窒陟灸掷-
tʂʰ	［1］迟驰弛痴持侈魑踟［3］耻嗤
ʂ	［1］声-盛-{～米汤}升-{一～麦子}承-{～不住：承受不了}成-{吃不～：食物没有熟，不能吃}赊奢［3］舍{～不得}［5］世势誓逝剩-秤-社赦舍{宿～}射麝
ʐ	［3］惹□{～上感冒：传染了感冒}
k	［3］给
kʰ	［1］□{被同学～了一顿：被教训了一顿}
#uei
l	［1］驴［3］吕侣闾铝榈旅缕屡履儡垒褛累{错误～～}□{不～户：没有注意}［5］泪虑滤累类摞-{～成一～}
ʦ	［1］堆{两～～}追槌椎锥锤-［3］嘴［5］最醉缀聚坠
ʦʰ	［1］吹炊垂蛆［3］娶取趣［5］脆翠粹悴
s	［1］须虽谁需随绥遂荽［3］水［5］胥婿序绪絮岁税睡穗叙祟髓
z	［1］□{～～：一种野生植物，果实是红色小圆粒，可以吃。}［5］瑞锐芮蕊
k	［1］龟归轨规闺硅锅-［3］龟癸诡果-裹-［5］桂贵瑰柜过{～节}
kʰ	［1］魁亏傀奎逵岿跬窥棵颗{一～苹果}□{类似于打}［3］颗{～～：身上起的小豆豆}［5］跪愧溃馈嗑-
x	［1］飞妃肥淝非菲啡绯扉挥辉珲和-{～尚}［3］毁诽翡吠匪火-伙-{～计}［5］肺废费货-祸-
Ø	［1］危桅帷维唯微薇威巍围为{～人}窝倭-{～寇：指日寇}［3］委伪违伟苇尾纬猬韦嵬韪□{～折：折断}［5］卫为{～了什}位未味魏畏喂谓渭胃卧-
#ɔu
p	［1］包苞刨{～红薯}雹-鲍［3］保宝饱褒葆褓鸨［5］抱报暴豹爆刨{～刷：鞋刷}
pʰ	［1］咆袍胞庖炮{～制}抛剖［3］跑［5］泡炮{～弹}疱□{圆的东西滚动}
m	［1］毛矛茅猫髦［3］卯铆卯{～儿}趟［5］冒帽茂贸貌瑁
t	［1］刀叨桃-萄-□{～走：错拿}［3］岛捣祷蹈稻悼倒{～塌}［5］到倒{～茶}道盗导
tʰ	［1］滔掏淘陶萄逃桃涛绦焘［3］讨稻-［5］套□{～黍面：高粱面}
n	［1］蛲挠铙［3］恼脑瑙［5］闹
l	［1］劳捞痨唠牢［3］老佬姥了-{刷～碗}［5］骆烙涝落
ʦ	［1］遭糟槽-□{衣服～了：衣服脏了}［3］早枣爪蚤骚{～动}澡藻［5］造皂躁罩笊灶□{～死了：累死了}
ʦʰ	［1］曹嘈槽操抄钞巢［3］草吵炒［5］躁糙□{詈词}□{洗了一～：洗了一次}
nz	［1］挠
s	［1］捎稍梢臊骚{离～}［3］扫{～雪}嫂［5］扫{～把}燥-
tʂ	［1］朝召昭肇钊着{～火}［3］找［5］赵照诏兆
tʂʰ	［1］超朝潮嘲晁［5］绰{宽～}
ʂ	［1］烧绍韶超-［3］少［5］少邵烧{火～：一种煎饼}
ʐ	［1］饶娆［3］扰绕{～住}［5］绕
k	［1］高膏羔糕［3］稿搞缟槁睾［5］告诰郜
kʰ	［1］考烤拷［5］靠犒铐
ŋ	［1］熬嗷鏖翱［3］袄拗［5］傲敖遨鏊奥懊坳拗澳
x	［1］毫豪嚎蒿薅耗［3］好［5］好号浩上-{树～}
Ø	［1］噢
#iɔu
p	［1］标膘骠镖镳彪［3］表裱婊［5］鳔{～鱼}
pʰ	［1］飘瓢漂-{～起来}嫖剽殍朴［3］漂{～白}瞟［5］票漂{～亮}
m	［1］苗描瞄［3］藐渺秒［5］庙妙
t	［1］叨貂雕凋笤-调-{～和}条{柳～}［5］吊钓碉调{声～}
tʰ	［1］条挑调笤迢窕眺［3］挑{～起来}调{～一下：换一下}［5］跳粜
l	［1］僚撩嘹燎瞭廖聊疗［3］燎{～裤子了：裤子被火烧了但没有着火}了{～结}［5］料撂
ʨ	［1］交郊胶教{～学}焦礁蕉骄娇浇椒缴皎［3］绞狡铰{～指甲}校{～对}饺搅矫侥［5］教{～室}觉较窖轿叫酵嚼
ʨʰ	［1］敲瞧乔桥荞-侨悄跷憔［3］巧雀{～儿：麻雀}［5］俏鞘翘窍峭撬
ȵ	［1］□{不～人：傲慢无礼}［3］咬-鸟淆［5］尿
ɕ	［1］消宵霄硝销肖逍嚣萧箫哮绡［3］小晓［5］笑校{～园}效孝酵
Ø	［1］腰妖夭邀摇谣窑瑶遥吆幺尧徭［3］舀［5］要耀曜
#əu
t	［1］头{～～}兜［3］斗{一～粮食}抖蚪陡［5］豆痘逗窦斗{～牛}□{～土：扬起灰}
tʰ	［1］偷投头{～盔}［5］透
n	［1］奴弩驽［3］努［5］怒
l	［1］炉娄楼搂{～起来}耧髅卢庐芦颅［3］鲁橹卤虏篓搂{～住}掳□{指人邋遢。不精干}［5］路赂露鹭潞漏陋瘘
ʦ	［1］租揪-诌［3］走祖组［5］奏皱绉邹骤
ʦʰ	［1］仇粗愁□{～裤：把裤子穿好}［5］醋凑
s	［1］愁-螋□{圪～人：挠痒痒}苏酥稣搜飕簌塑-［3］擞□{～了土：把衣服上的土抖了}［5］素瘦叟艘诉嗉漱嗽
tʂ	［1］周稠-舟州洲□{～留：把东西整理在一处}粥［3］肘□{～住孩写作业}［5］咒昼纣宙
tʂʰ	［1］抽绸稠筹酬踌［3］丑瞅［5］臭
ʂ	［1］收［3］手首守［5］受授兽寿售
ʐ	［1］柔揉［5］肉
k	［1］勾沟钩构苟媾［3］狗［5］够购
kʰ	［1］抠［3］口［5］扣叩寇
ŋ	［1］欧［3］偶藕殴讴呕［5］怄
x	［1］侯喉猴［3］吼［5］后厚候
#iəu
t	［1］丢□{～上东西：用手拿上东西}［3］□{溜～～：下垂的冰柱}
tʰ	［3］□{～倒：滑倒}□{家长～了孩儿一顿：家长训斥了孩子一顿}
l	［1］刘浏流琉硫留榴瘤［3］柳绺{一～辫辫}［5］六溜镏{金～子}馏{～干粮：把干粮加热}
ʨ	［1］纠赳揪㞗{男性生殖器}［3］九酒久韭灸疚玖［5］舅臼救究旧就
ʨʰ	［1］球求丘秋囚鳅蚯邱裘泅［3］□{～在电视跟前：离很近看电视}
ȵ	［1］牛［3］钮扭纽忸［5］拗
ɕ	［1］休羞修宿-{星～}［3］朽［5］秀绣锈袖嗅
Ø	［1］尤优忧犹由油邮蚰游黝幽攸莜悠［3］有友酉［5］又右佑釉幼诱
#æ̃
p	［1］班扳斑般搬颁盘-邦帮梆浜［3］板版扁-榜绑膀［5］半伴拌蚌办扮瓣傍旁-{～坡：旁边}谤磅棒
pʰ	［1］旁=庞潘攀蟠盘磐［5］盼判叛畔袢胖
m	［1］忙芒茫盲瞒蛮馒［3］满莽蟒［5］妈-慢漫幔谩曼蔓
t	［1］担单耽丹郸当裆弹［3］胆掸挡档党［5］淡担{重～}蛋石{几～}荡□{～过了：跨过去}
tʰ	［1］贪潭谭谈痰滩摊檀坛弹汤堂膛螳棠唐糖塘搪［3］毯坦袒躺倘［5］叹炭探趟烫
n	［1］男难南楠腩［3］囊□{圪～～：口齿不清的一直说}攮［5］难{～民}
l	［1］兰拦栏蓝篮婪岚澜斓郎廊螂琅狼［3］览揽榄缆懒［5］烂褴滥浪朗
ʦ	［1］脏{～东西}赃簪［3］斩盏攒［5］站栈暂蘸绽藏{～獒}脏{五～六腑}葬
ʦʰ	［1］参{～赛}蚕惨残惭餐灿搀馋谗仓苍舱沧藏［3］产铲［5］灿
nz	［1］□{我妈老～我：妈妈老唠叨我}［3］□{圪～：食物在嘴里不想吃，象征性的咬几口}
s	［1］三叁山衫杉珊删桑［3］散伞嗓［5］散丧
tʂ	［1］毡沾粘张章樟彰漳蟑瘴彰［3］展瞻辗涨掌［5］占战丈杖仗蛇{属相}颤帐胀障幛
tʂʰ	［1］长婵蝉缠肠昌常尝嫦娼猖偿蟾
ʂ	［1］膻煽商伤殇{孩子死}［3］闪陕赏上{～声}［5］上善扇骟膳缮擅疝裳尚
ʐ	［1］冉髯然瓤［3］染燃嚷［5］壤让
ȵ	［1］黏［3］碾{～死}［5］碾{碾儿：碾子}
k	［1］甘泔柑尴干肝竿杆冈刚岗纲钢缸肛港［3］敢感橄赶秆［5］干赣杠
kʰ	［1］刊勘堪康糠［3］砍坎扛慷□{扔}［5］看龛亢抗炕
ŋ	［1］安鞍庵昂鹌［3］俺揞{～住口}［5］按暗岸案盎
x	［1］含咸函邯酣寒韩行涎罕憨杭航涵夯巷{～道}还{～是}［3］喊［5］汉汗憾撼鼾旱焊捍悍瀚
Ø	［1］□{～，这不是你的：表示否定}
#uæ̃
t	［1］端团-{一～～毛线}［3］短［5］断段缎锻
tʰ	［1］团
n	［3］暖
l	［1］栾滦峦銮［3］卵［5］乱
ʦ	［1］钻椽-专砖□{～人：骂人}庄装桩妆［3］转［5］转传篆钻
ʦʰ	［1］川传椽穿船汆钏疮床窗撺［3］闯创喘［5］串窜篡
s	［1］酸栓拴闩霜孀双［3］喘-爽［5］算蒜涮
z	［3］软阮
k	［1］官观光关冠鳏棺倌胱［3］馆管广犷［5］冠观贯惯灌罐鹳盥逛
kʰ	［1］宽匡筐诓眶狂［3］款［5］矿邝旷况框
x	［1］还{～钱}欢桓环凡矾蕃翻烦繁樊荒慌皇惶煌蝗徨凰隍黄磺潢蟥簧方坊芳防妨房肪［3］反返缓谎晃纺舫访仿［5］唤换焕痪患豢宦幻范泛贩饭放梵
Ø	［1］完丸纨豌玩顽弯湾剜汪王亡［3］碗婉惋蜿宛皖晚挽网往魍［5］万腕蔓{红薯～～}忘妄旺枉望
#in
p	［1］兵宾滨缤殡槟冰彬［3］丙柄禀秉饼炳［5］病并鬓
pʰ	［1］贫频拼平坪评萍凭屏乒瓶［3］品［5］姘聘
m	［1］民鸣名明铭酩螟［3］敏抿冥暝皿闵泯悯闽［5］命□{～冰糖：吃冰糖}
t	［1］丁叮疔盯［3］顶鼎［5］订定锭
tʰ	［1］厅亭停婷廷庭蜓霆艇听［3］挺
l	［1］林淋霖琳临凛邻鳞粼麟嶙辚陵凌菱绫灵铃龄玲［3］领岭［5］吝令另蔺躏
ʨ	［1］金斤今襟巾筋兢晶津芹-京茎颈经泾惊荆鲸精=睛旌系-{～鞋带带}更-靳［3］锦紧仅谨瑾尽{～你先挑}景警井憬［5］近妗进禁尽{用～}晋浸烬敬静境镜净=径靖
ʨʰ	［1］琴侵亲钦禽擒秦勤芹氢衾卿青清情晴轻蜻［3］请顷倾［5］寝噙寝庆亲
ȵ	［1］银宁凝龈垠您拧［5］硬宁佞
ɕ	［1］心辛新薪欣锌芯鑫兴行星腥形邢刑型［3］醒省饧{～面}［5］信囟{～门}性幸姓衅迅杏行{德～}馨兴
Ø	［1］因姻阴荫音殷吟淫应鹰膺蝇营莹萤莺萦婴樱鹦迎英瑛盈赢嬴［3］引蚓隐饮{～水}瘾影□{～被子：在被子上一道道的缝}［5］印饮{～水}映
#yn
ʨ	［1］裙-穷-郡君均筠军［3］菌迥炯窘［5］俊骏峻竣隽□{肉～住了：肉的汁凝固了}
ʨʰ	［1］群裙穷穹琼［3］麇{～在疑搭：众多人集集在一起}［5］□{～扁食：双手交叉做饺子的动作}
ɕ	［1］旬询循巡熏薰勋兄熊雄凶匈汹胸［3］□{～食食：猪不吃食，只是拿鼻子弄食物}［5］训驯殉荀
Ø	［1］云匀耘纭晕荣嵘融容熔溶榕蓉庸雍臃恿［3］允陨永泳咏拥勇甬涌蛹踊俑［5］用佣运韵熨殒酝蕴
#əŋ
p	［1］盆-崩绷［3］本苯［5］笨奔泵蹦
pʰ	［1］朋硼棚鹏彭烹蓬篷喷{～泉}盆怦抨［3］捧［5］碰喷{～香}
m	［1］门扪们焖蒙檬朦萌盟［3］猛［5］孟梦闷□{把衣服～上：把衣服泡上}
t	［1］灯登蹬疼-腾-誊-［3］等［5］邓凳瞪澄□{～住梯子：用脚踩住梯子底部以防倒下}
tʰ	［1］吞藤疼腾誊［3］□{～子：傻子}
n	［1］能［5］弄-
l	［1］棱囵［3］冷=［5］楞愣
ʦ	［1］争睁筝曾增憎［3］怎［5］挣赠
ʦʰ	［1］层曾参{～差}撑岑［3］□{用铲子把土～起来：用铲子把平地的土铲起来}［5］衬蹭
nz	［1］□{～住：用铁丝等缠绕}□{～～～，～～～；声音不清晰}
