字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	同音字汇(连字音beta!)	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
□	pi33	~pɔ33，蝙蝠	p	i	33	p	1	1	5	1	□{~pɔ33，蝙蝠}	pi	0	[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}	pi[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}
避	pi24	~开	p	i	24	p	1	1	6	1	避{~开}	pi	0	[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}[6]避{~开}	pi[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}[6]避{~开}
比	pi11		p	i	11	p	1	1	3	1	比	pi	0	[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}[6]避{~开}[3]比	pi[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}[6]避{~开}[3]比
琵	pi31	~琶	p	i	31	p	1	1	8	0	琵{~琶}	pi	0	[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}[6]避{~开}[3]比[8]琵{~琶}	pi[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}[6]避{~开}[3]比[8]琵{~琶}
枇	pi31	~杷	p	i	31	p	1	1	8	1	枇{~杷}	pi	0	[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}[6]避{~开}[3]比[8]琵{~琶}枇{~杷}	pi[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}[6]避{~开}[3]比[8]琵{~琶}枇{~杷}
篦	pi24		p	i	24	p	1	1	6	1	篦	pi	1	[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}[6]避{~开}[3]比[8]琵{~琶}枇{~杷}[6]篦	pi[1]碑闭必{~须}毕{~业}逼{~迫}□{牛~，niu33~，牛虻}蟋{~蟀，~sɔ33}[5]箅痹庇{包~}□{~pɔ33，蝙蝠}[6]避{~开}[3]比[8]琵{~琶}枇{~杷}[6]篦
批	pʰi55		pʰ	i	55	pʰ	2	1	1	1	批	pʰi	0	[1]批	pʰi[1]批
肺	pʰi33		pʰ	i	33	pʰ	2	1	5	0	肺	pʰi	0	[1]批[5]肺	pʰi[1]批[5]肺
费	pʰi33		pʰ	i	33	pʰ	2	1	5	1	费	pʰi	0	[1]批[5]肺费	pʰi[1]批[5]肺费
鼻	pʰi24		pʰ	i	24	pʰ	2	1	6	1	鼻	pʰi	0	[1]批[5]肺费[6]鼻	pʰi[1]批[5]肺费[6]鼻
匪	pʰi11	土~	pʰ	i	11	pʰ	2	1	3	0	匪{土~}	pʰi	0	[1]批[5]肺费[6]鼻[3]匪{土~}	pʰi[1]批[5]肺费[6]鼻[3]匪{土~}
□	pʰi11	结~，kie55~，结痂	pʰ	i	11	pʰ	2	1	3	1	□{结~，kie55~，结痂}	pʰi	0	[1]批[5]肺费[6]鼻[3]匪{土~}□{结~，kie55~，结痂}	pʰi[1]批[5]肺费[6]鼻[3]匪{土~}□{结~，kie55~，结痂}
□	pʰi31	ɕyə33~，翅膀	pʰ	i	31	pʰ	2	1	8	0	□{ɕyə33~，翅膀}	pʰi	0	[1]批[5]肺费[6]鼻[3]匪{土~}□{结~，kie55~，结痂}[8]□{ɕyə33~，翅膀}	pʰi[1]批[5]肺费[6]鼻[3]匪{土~}□{结~，kie55~，结痂}[8]□{ɕyə33~，翅膀}
飞	pʰi31	~机	pʰ	i	31	pʰ	2	1	8	1	飞{~机}	pʰi	0	[1]批[5]肺费[6]鼻[3]匪{土~}□{结~，kie55~，结痂}[8]□{ɕyə33~，翅膀}飞{~机}	pʰi[1]批[5]肺费[6]鼻[3]匪{土~}□{结~，kie55~，结痂}[8]□{ɕyə33~，翅膀}飞{~机}
脾	pʰi204		pʰ	i	204	pʰ	2	1	2	1	脾	pʰi	1	[1]批[5]肺费[6]鼻[3]匪{土~}□{结~，kie55~，结痂}[8]□{ɕyə33~，翅膀}飞{~机}[2]脾	pʰi[1]批[5]肺费[6]鼻[3]匪{土~}□{结~，kie55~，结痂}[8]□{ɕyə33~，翅膀}飞{~机}[2]脾
弥	mi55	阿~陀佛	m	i	55	m	3	1	1	0	弥{阿~陀佛}	mi	0	[1]弥{阿~陀佛}	mi[1]弥{阿~陀佛}
□	mi55	~sui11，潜水	m	i	55	m	3	1	1	1	□{~sui11，潜水}	mi	0	[1]弥{阿~陀佛}□{~sui11，潜水}	mi[1]弥{阿~陀佛}□{~sui11，潜水}
米	mi31		m	i	31	m	3	1	8	0	米	mi	0	[1]弥{阿~陀佛}□{~sui11，潜水}[8]米	mi[1]弥{阿~陀佛}□{~sui11，潜水}[8]米
篾	mi31		m	i	31	m	3	1	8	0	篾	mi	0	[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾	mi[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾
□	mi31	~ʨʰie33，睡觉	m	i	31	m	3	1	8	1	□{~ʨʰie33，睡觉}	mi	0	[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾□{~ʨʰie33，睡觉}	mi[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾□{~ʨʰie33，睡觉}
味	mi24		m	i	24	m	3	1	6	1	味	mi	0	[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾□{~ʨʰie33，睡觉}[6]味	mi[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾□{~ʨʰie33，睡觉}[6]味
美	mi11	~国	m	i	11	m	3	1	3	1	美{~国}	mi	0	[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾□{~ʨʰie33，睡觉}[6]味[3]美{~国}	mi[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾□{~ʨʰie33，睡觉}[6]味[3]美{~国}
袐	mi204		m	i	204	m	3	1	2	0	袐	mi	0	[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾□{~ʨʰie33，睡觉}[6]味[3]美{~国}[2]袐	mi[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾□{~ʨʰie33，睡觉}[6]味[3]美{~国}[2]袐
蜜	mi204		m	i	204	m	3	1	2	1	蜜	mi	1	[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾□{~ʨʰie33，睡觉}[6]味[3]美{~国}[2]袐蜜	mi[1]弥{阿~陀佛}□{~sui11，潜水}[8]米篾□{~ʨʰie33，睡觉}[6]味[3]美{~国}[2]袐蜜
置	ti33		t	i	33	t	4	1	5	0	置	ti	0	[5]置	ti[5]置
嫡	ti33	~亲	t	i	33	t	4	1	5	0	嫡{~亲}	ti	0	[5]置嫡{~亲}	ti[5]置嫡{~亲}
知	ti33	~道，~ɕi204	t	i	33	t	4	1	5	0	知{~道，~ɕi204}	ti	0	[5]置嫡{~亲}知{~道，~ɕi204}	ti[5]置嫡{~亲}知{~道，~ɕi204}
蒂	ti33	瓜~	t	i	33	t	4	1	5	1	蒂{瓜~}	ti	0	[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}	ti[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}
弟	ti24		t	i	24	t	4	1	6	0	弟	ti	0	[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟	ti[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟
地	ti24		t	i	24	t	4	1	6	1	地	ti	0	[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地	ti[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地
帝	ti11	皇~	t	i	11	t	4	1	3	1	帝{皇~}	ti	0	[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}	ti[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}
迟	ti31	~到，~tɔ24	t	i	31	t	4	1	8	1	迟{~到，~tɔ24}	ti	0	[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}	ti[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}
池	ti204		t	i	204	t	4	1	2	0	池	ti	0	[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}[2]池	ti[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}[2]池
痔	ti204		t	i	204	t	4	1	2	0	痔	ti	0	[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}[2]池痔	ti[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}[2]池痔
值	ti204		t	i	204	t	4	1	2	0	值	ti	0	[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}[2]池痔值	ti[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}[2]池痔值
殖	ti204		t	i	204	t	4	1	2	0	殖	ti	0	[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}[2]池痔值殖	ti[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}[2]池痔值殖
敌	ti204		t	i	204	t	4	1	2	1	敌	ti	1	[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}[2]池痔值殖敌	ti[5]置嫡{~亲}知{~道，~ɕi204}蒂{瓜~}[6]弟地[3]帝{皇~}[8]迟{~到，~tɔ24}[2]池痔值殖敌
□	tʰi55	筛	tʰ	i	55	tʰ	5	1	1	1	□{筛}	tʰi	0	[1]□{筛}	tʰi[1]□{筛}
啼	tʰi33		tʰ	i	33	tʰ	5	1	5	0	啼	tʰi	0	[1]□{筛}[5]啼	tʰi[1]□{筛}[5]啼
剃	tʰi33		tʰ	i	33	tʰ	5	1	5	1	剃	tʰi	0	[1]□{筛}[5]啼剃	tʰi[1]□{筛}[5]啼剃
提	tʰi31	~问	tʰ	i	31	tʰ	5	1	8	0	提{~问}	tʰi	0	[1]□{筛}[5]啼剃[8]提{~问}	tʰi[1]□{筛}[5]啼剃[8]提{~问}
持	tʰi31	支~	tʰ	i	31	tʰ	5	1	8	1	持{支~}	tʰi	0	[1]□{筛}[5]啼剃[8]提{~问}持{支~}	tʰi[1]□{筛}[5]啼剃[8]提{~问}持{支~}
□	tʰi24	聚	tʰ	i	24	tʰ	5	1	6	1	□{聚}	tʰi	1	[1]□{筛}[5]啼剃[8]提{~问}持{支~}[6]□{聚}	tʰi[1]□{筛}[5]啼剃[8]提{~问}持{支~}[6]□{聚}
□	ni33	saŋ55~ka55，老人家	n	i	33	n	6	1	5	1	□{saŋ55~ka55，老人家}	ni	0	[5]□{saŋ55~ka55，老人家}	ni[5]□{saŋ55~ka55，老人家}
□	ni31	入	n	i	31	n	6	1	8	0	□{入}	ni	0	[5]□{saŋ55~ka55，老人家}[8]□{入}	ni[5]□{saŋ55~ka55，老人家}[8]□{入}
日	ni31		n	i	31	n	6	1	8	1	日	ni	0	[5]□{saŋ55~ka55，老人家}[8]□{入}日	ni[5]□{saŋ55~ka55，老人家}[8]□{入}日
饵	ni24		n	i	24	n	6	1	6	0	饵	ni	0	[5]□{saŋ55~ka55，老人家}[8]□{入}日[6]饵	ni[5]□{saŋ55~ka55，老人家}[8]□{入}日[6]饵
二	ni24	~十	n	i	24	n	6	1	6	1	二{~十}	ni	0	[5]□{saŋ55~ka55，老人家}[8]□{入}日[6]饵二{~十}	ni[5]□{saŋ55~ka55，老人家}[8]□{入}日[6]饵二{~十}
呢	ni204	~衣	n	i	204	n	6	1	2	1	呢{~衣}	ni	1	[5]□{saŋ55~ka55，老人家}[8]□{入}日[6]饵二{~十}[2]呢{~衣}	ni[5]□{saŋ55~ka55，老人家}[8]□{入}日[6]饵二{~十}[2]呢{~衣}
砾	li55	瓦~□，ua31~lɛ31，瓦砾	l	i	55	l	7	1	1	0	砾{瓦~□，ua31~lɛ31，瓦砾}	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}
厉	li55	~害	l	i	55	l	7	1	1	1	厉{~害}	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}
梨	li33		l	i	33	l	7	1	5	0	梨	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨
李	li33	~子	l	i	33	l	7	1	5	0	李{~子}	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}
鲤	li33	~鱼	l	i	33	l	7	1	5	0	鲤{~鱼}	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}
历	li33	~史	l	i	33	l	7	1	5	1	历{~史}	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}
李	li11	姓	l	i	11	l	7	1	3	0	李{姓}	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}
里	li11	量词	l	i	11	l	7	1	3	0	里{量词}	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}
理	li11		l	i	11	l	7	1	3	0	理	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理
□	li11	ʨia55ka55~，裸体	l	i	11	l	7	1	3	1	□{ʨia55ka55~，裸体}	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}
裂	li31		l	i	31	l	7	1	8	0	裂	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}[8]裂	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}[8]裂
篱	li31	~笆	l	i	31	l	7	1	8	0	篱{~笆}	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}[8]裂篱{~笆}	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}[8]裂篱{~笆}
璃	li31	玻~	l	i	31	l	7	1	8	1	璃{玻~}	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}[8]裂篱{~笆}璃{玻~}	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}[8]裂篱{~笆}璃{玻~}
利	li24		l	i	24	l	7	1	6	1	利	li	0	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}[8]裂篱{~笆}璃{玻~}[6]利	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}[8]裂篱{~笆}璃{玻~}[6]利
立	li204		l	i	204	l	7	1	2	1	立	li	1	[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}[8]裂篱{~笆}璃{玻~}[6]利[2]立	li[1]砾{瓦~□，ua31~lɛ31，瓦砾}厉{~害}[5]梨李{~子}鲤{~鱼}历{~史}[3]李{姓}里{量词}理□{ʨia55ka55~，裸体}[8]裂篱{~笆}璃{玻~}[6]利[2]立
指	tɕi55	~挥	tɕ	i	55	tɕ	11	1	1	0	指{~挥}	tɕi	0	[1]指{~挥}	tɕi[1]指{~挥}
子	tɕi55	~弹	tɕ	i	55	tɕ	11	1	1	0	子{~弹}	tɕi	0	[1]指{~挥}子{~弹}	tɕi[1]指{~挥}子{~弹}
积	tɕi55	~极	tɕ	i	55	tɕ	11	1	1	1	积{~极}	tɕi	0	[1]指{~挥}子{~弹}积{~极}	tɕi[1]指{~挥}子{~弹}积{~极}
餈	tɕi33		tɕ	i	33	tɕ	11	1	5	0	餈	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈
痣	tɕi33		tɕ	i	33	tɕ	11	1	5	0	痣	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣
祭	tɕi33	~祖	tɕ	i	33	tɕ	11	1	5	1	祭{~祖}	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}
旨	tɕi11		tɕ	i	11	tɕ	11	1	3	0	旨	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨
止	tɕi11		tɕ	i	11	tɕ	11	1	3	0	止	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止
址	tɕi11		tɕ	i	11	tɕ	11	1	3	0	址	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址
紫	tɕi11	~色	tɕ	i	11	tɕ	11	1	3	0	紫{~色}	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}
□	tɕi11	~个，~ʨia33，一个	tɕ	i	11	tɕ	11	1	3	0	□{~个，~ʨia33，一个}	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}
自	tɕi11	~己	tɕ	i	11	tɕ	11	1	3	1	自{~己}	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}
姊	tɕi31		tɕ	i	31	tɕ	11	1	8	1	姊	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊
志	tɕi24		tɕ	i	24	tɕ	11	1	6	0	志	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志
十	tɕi24		tɕ	i	24	tɕ	11	1	6	0	十	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十
□	tɕi24	痛	tɕ	i	24	tɕ	11	1	6	0	□{痛}	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十□{痛}	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十□{痛}
己	tɕi24	自~	tɕ	i	24	tɕ	11	1	6	1	己{自~}	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十□{痛}己{自~}	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十□{痛}己{自~}
字	tɕi204		tɕ	i	204	tɕ	11	1	2	0	字	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十□{痛}己{自~}[2]字	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十□{痛}己{自~}[2]字
集	tɕi204		tɕ	i	204	tɕ	11	1	2	0	集	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十□{痛}己{自~}[2]字集	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十□{痛}己{自~}[2]字集
习	tɕi204		tɕ	i	204	tɕ	11	1	2	0	习	tɕi	0	[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十□{痛}己{自~}[2]字集习	tɕi[1]指{~挥}子{~弹}积{~极}[5]餈痣祭{~祖}[3]旨止址紫{~色}□{~个，~ʨia33，一个}自{~己}[8]姊[6]志十□{痛}己{自~}[2]字集习
