#注释	江苏靖江方言同音字汇，有一定修改，转录者落橙
#调值	[1]⁴³³[2]²²³[3]³³⁴[5]⁵¹[6]³¹[7]⁵⁵[8]³⁴
#ɿ	
ȵ	[1]拈[2]諺黏嚴鮎年娘[3]染碾輦研撚攆壤攘嚷仰[6]驗念硯讓
ɕ	[1]掀香鄉[3]險顯享饗[5]憲獻向
ɦ	[2]易{～經}岩炎鹽閻簷嫌閑{文讀}延筵言賢弦沿{又音}羊洋烊楊陽揚瘍[6]焰限{文讀}現釀
Ǿ	[1]淹{文讀}閹醃蔫焉煙燕{～京,姓}央秧殃[3]掩魘演兗養癢[5]厭豔堰燕{～子}咽宴樣
#ɯ̃	
p	[1]般搬[5]半
pʰ	[1]潘拚[5]判叛
b	[2]盤{在手中把玩}[6]伴拌
m	[2]瞞饅[3]滿[6]漫{白讀}幔
t	[1]端[3]短[5]斷{判～}鍛
tʰ	[1]貪[5]探
d	[2]潭譚團糰[6]斷{～絕}段緞椴
n	[2]南男[3]暖
l	[2]鸞{～～鼻涕：抹一抹鼻涕}[3]卵[6]亂
ts	[1]簪簪鑽{動詞}[3]纂攢[5]簪{又音}鑽{木用工具}
tsʰ	[1]參汆[3]慘[5]竄篡
s	[1]酸[3]□{均勻撒粉末}[5]算蒜
z	[2]蠶[6]□{～他一頓：打他一頓}
k	[1]甘柑泔干肝竿乾{～濕}官棺觀{參～}冠[3]感敢橄桿稈擀趕管館[5]幹貫灌罐觀{～寺}冠{～軍}
kʰ	[1]堪龕看{～守}刊鼾寬[3]坎砍款[5]勘看{～見}
ŋ	[6]岸
h	[1]蚶憨歡[3]罕[5]漢
ɦ	[2]蝦{～蟆}含函寒韓翰[6]撼憾旱汗焊
Ǿ	[1]庵安鞍豌剜[3]揞緩皖碗[5]暗按案喚煥換腕
#uɯ̃	
ɦ	[2]桓完丸玩頑[6]幻
#yɯ̃	
tɕ	[1]沾粘瞻占氈專磚捐[3]展轉{～眼}卷[5]佔戰轉{～螺絲}眷絹
tɕʰ	[1]川穿圈{圓～}串[3]喘犬[5]勸券
dʑ	[2]蟾纏撰傳{～達}椽拳權顴[6]纏{圍繞}篆圈{豬～}傳{～記}倦
ȵ	[3]軟
ɕ	[1]膻扇{動詞}軒喧[3]陝閃染{文讀}冉[5]扇
ʑ	[2]蟬禪{～宗}然{文讀}燃{文讀}船[6]善膳單{姓}禪{～讓}
ɦ	[2]然燃圓員緣沿元原源袁轅園援阮玄懸原源[6]院縣眩
Ǿ	[1]冤淵[3]遠[5]院{又音}願怨縣{又音}
#ɑŋ	
p	[1]幫邦浜[3]榜綁[5]謗
pʰ	[1]滂肨[5]胖
b	[2]旁螃房{白讀，馬～}防{白讀}龐[6]傍棒蚌蚌碰{～到}
m	[2]忙芒茫芒盲虻[3]莽蟒網[6]忘{白讀}望{白讀}
f	[1]方肪芳[3]倣紡仿彷訪[5]放
v	[2]妨房{文讀}防{文讀}亡[6]忘{文讀}妄望{文讀}
t	[1]當{～時}[3]黨擋[5]當{典～}
tʰ	[1]湯[3]倘躺[5]燙趟
d	[2]堂棠螳唐糖塘[6]蕩
n	[2]囊瓤
l	[2]郎廊狼螂[3]朗[6]浪㫰{～衣服}
ts	[1]贓髒[5]葬{合音字，這裏}
tsʰ	[1]倉蒼
s	[1]桑喪{婚～}生{白讀，老先～}[3]磉嗓搡[5]喪{～失}□{某消耗品用得快}
z	[2]藏{隱～}[6]藏{西～}臟{裤带不紧，褲子往下掉}
k	[1]岡崗剛綱鋼缸江{白讀}豇[3]講{白讀}港[5]杠{合音字，那裏}
kʰ	[1]康糠慷[5]抗炕囥
ɡ	[2]扛
ŋ	[2]昂
h	[1]夯亨
ɦ	[2]行{銀～}航杭降{投～}[6]項巷
Ǿ	[1]骯
#iɑŋ	
s	[3]□{小孩}
#uɑŋ	
k	[1]光[3]廣[5]逛況{～火：發火}□{～鬍子：剃鬍子}
kʰ	[1]匡筐眶[5]曠礦
ɡ	[2]狂
h	[1]荒慌□{蟹～}[3]謊晃
ɦ	[2]黃簧皇蝗王橫{白讀，～豎}
Ǿ	[1]汪[3]枉往[5]旺{文讀}
#yɑŋ	
tɕ	[1]莊裝樁[5]壯
tɕʰ	[1]瘡窗[3]闖[5]創
dʑ	[2]噇[6]狀撞
ɕ	[1]霜孀雙雙[3]爽
ʑ	[1]床
ɦ	[2]旺{白讀}
Ǿ	[5]旺
#əŋ	
p	[1]奔{～走}錛崩[3]本{大糞}[5]奔{投～}
pʰ	[1]噴{～水}烹[5]噴{～嚏}
b	[2]盆彭膨[6]笨
m	[2]門蚊聞{白讀}明[6]悶問{白讀}璺
f	[1]分芬紛[3]粉[5]糞奮畚{～箕}
v	[2]焚墳文紋聞{文讀}[6]憤忿份問{文讀}
t	[1]敦墩登燈驐{去掉家禽的睾丸}[3]等戥{～盤秤}[5]頓扽{～落得：拔掉，用力拉}凳鐙瞪
tʰ	[1]吞
d	[2]屯豚飩臀蹲騰謄藤疼澄{～一～：使液体澄清}[6]囤沌盾鈍遁鄧
n	[2]能[6]嫩
l	[2]論{～語}崙倫淪輪楞[3]冷[6]論{議～}
ts	[1]尊遵曾{姓}增爭箏睜[5]憎
tsʰ	[1]參{～差}村皴撐[3]忖[5]襯寸蹭
dz	[2]存澄䂻{用力塞}橙[6]贈鋥
s	[1]森參{人～}孫僧生{文讀}牲笙甥[3]損筍榫省{節～}[5]滲遜
z	[2]岑曾{～經}層
tɕʰ	[3]逞
k	[1]跟根更{五～}庚羹耕[3]粳哽埂梗耿[5]更{～加}
kʰ	[1]坑[3]懇墾啃肯
ŋ	[6]硬
h	[3]很
ɦ	[2]痕恒衡[6]恨杏幸{白讀}橫{蠻～}
Ǿ	[1]恩櫻{白讀}
#iᴇŋ	
