汉字	注释	声母	韵母	声调
组		ts	u	[3]
阻		ts	u	[3]
初	2（~中）	tsh	u	[1]
楚		tsh	u	[3]
础		tsh	u	[3]
助		dz	u	[6]
苏	2（江~）	s	u	[1]
酥		s	u	[1]
诉		s	u	[3]
嗽		s	u	[5]
素	2（朴~）	s	u	[0]
孤		k	u	[1]
姑	2（尼～）	k	u	[1]
阄		k	u	[1]
□	（蹲）	k	u	[1]
股	2（~票）	k	u	[3]
故		k	u	[3]
狗		k	u	[3]
估		k	u	[6]
固		k	u	[5]
顾		k	u	[5]
锢		k	u	[5]
枯		kh	u	[1]
口		kh	u	[3]
库		kh	u	[5]
厚		g	u	[6]
吾		ŋ	u	[2]
呼		x	u	[2]
乎		x	u	[2]
浒		x	u	[3]
污		∅	u	[1]
巫		∅	u	[1]
诬		∅	u	[1]
瓯	（碗）	∅	u	[1]
胡	（姓）	∅	u	[2]
湖	2（芜~）	∅	u	[2]
狐	2	∅	u	[2]
壶	2	∅	u	[2]
蜈	2	∅	u	[2]
梧		∅	u	[2]
无	3	∅	u	[2]
伍		∅	u	[3]
鹉		∅	u	[3]
悟		∅	u	[3]
互		∅	u	[6]
护		∅	u	[6]
瓠		∅	u	[6]
后	1（前~）	∅	u	[6]
后	（皇~）	∅	u	[6]
误		∅	u	[6]
务		∅	u	[6]
雾	2	∅	u	[6]
恶	（可~）	∅	u	[6]
驴		l	y	[2]
屡		l	y	[3]
吕		l	y	[3]
旅		l	y	[3]
虑		l	y	[6]
滤		l	y	[6]
拘		tɕ	y	[1]
驹		tɕ	y	[1]
诛		tɕ	y	[1]
蛛		tɕ	y	[1]
株		tɕ	y	[1]
朱	2（高~:地名）	tɕ	y	[1]
猪	2（~八戒）	tɕ	y	[1]
诸		tɕ	y	[1]
居		tɕ	y	[1]
车	（~马炮）	tɕ	y	[1]
嘴		tɕ	y	[3]
主	2（～席）	tɕ	y	[3]
举	2（高~）	tɕ	y	[3]
矩		tɕ	y	[3]
煮	2	tɕ	y	[3]
注	（~意）	tɕ	y	[5]
著		tɕ	y	[5]
据		tɕ	y	[5]
锯	3	tɕ	y	[5]
铸		tɕ	y	[5]
贵	1	tɕ	y	[5]
吹	1（~□琴）	tɕh	y	[1]
炊	1（~饭）	tɕh	y	[1]
亏	1	tɕh	y	[1]
区		tɕh	y	[1]
驱		tɕh	y	[1]
趋		tɕh	y	[1]
处	（相~）	tɕh	y	[3]
处	（人事~）	tɕh	y	[3]
取	2（争~）	tɕh	y	[3]
娶		tɕh	y	[3]
跪		tɕh	y	[3]
□	（嘴）	tɕh	y	[3]
趣		tɕh	y	[5]
去	2	tɕh	y	[5]
瞿		dʑ	y	[2]
除	2	dʑ	y	[2]
储		dʑ	y	[2]
渠	2（~道）	dʑ	y	[2]
衢	2（~县）	dʑ	y	[2]
巨		dʑ	y	[6]
拒		dʑ	y	[6]
距		dʑ	y	[6]
具		dʑ	y	[6]
惧		dʑ	y	[6]
住		dʑ	y	[6]
杵		dʑ	y	[6]
雉		dʑ	y	[6]
驻		dʑ	y	[6]
注	（~疏）	dʑ	y	[6]
聚		dʑ	y	[6]
女		ȵ	y	[3]
语		ȵ	y	[3]
遇		ȵ	y	[6]
寓		ȵ	y	[6]
书	2	ɕ	y	[1]
输	2（运~）	ɕ	y	[1]
舒		ɕ	y	[1]
枢		ɕ	y	[1]
须	（必~）	ɕ	y	[1]
需		ɕ	y	[1]
虚		ɕ	y	[1]
墟		ɕ	y	[1]
嘘		ɕ	y	[1]
戍		ɕ	y	[1]
暑		ɕ	y	[3]
许	2（姓）	ɕ	y	[3]
署		ɕ	y	[3]
薯		ɕ	y	[3]
黍		ɕ	y	[3]
恕		ɕ	y	[5]
絮		ɕ	y	[5]
儒		ʑ	y	[2]
如		ʑ	y	[2]
徐	2（~向前）	ʑ	y	[2]
序	2	ʑ	y	[6]
叙		ʑ	y	[6]
绪		ʑ	y	[6]
庶		ʑ	y	[6]
淤		∅	y	[1]
于		∅	y	[2]
盂		∅	y	[2]
榆		∅	y	[2]
逾		∅	y	[2]
愉		∅	y	[2]
思		∅	y	[2]
虞		∅	y	[2]
娱		∅	y	[2]
余	2（姓）	∅	y	[2]
余	（多~）	∅	y	[2]
宇		∅	y	[3]
羽		∅	y	[3]
禹		∅	y	[3]
与		∅	y	[3]
豫		∅	y	[3]
水		∅	y	[3]
愈		∅	y	[6]
誉		∅	y	[6]
预		∅	y	[6]
子	1（鸡~:鸡蛋）	ts	ə	[3]
梓	1（~坑:地名）	ts	ə	[3]
紫		ts	ə	[3]
籽		ts	ə	[3]
雌		tsh	ə	[1]
齿	2（牙~，~轮）	tsh	ə	[3]
刺	1（名词）	tsh	ə	[5]
丝		s	ə	[1]
死		s	ə	[3]
赐		s	ə	[3]
徐	1（姓）	z	ə	[2]
祠		z	ə	[2]
辞		z	ə	[2]
词		z	ə	[2]
脐		z	ə	[2]
莳		z	ə	[2]
似		z	ə	[5]
祀		z	ə	[5]
已		z	ə	[5]
字		z	ə	[6]
寺		z	ə	[6]
嗣		z	ə	[6]
饲		z	ə	[6]
牸	（母牛）	z	ə	[6]
摆		p	ɛ	[3]
拜		p	ɛ	[5]
派		ph	ɛ	[3]
剖		ph	ɛ	[3]
破		ph	ɛ	[5]
排		b	ɛ	[2]
牌		b	ɛ	[2]
败		b	ɛ	[6]
埋		m	ɛ	[2]
磨	（~刀）	m	ɛ	[2]
迈		m	ɛ	[6]
