漢字	音標	注釋	
酵	hau5		
歐	au1		
甌	au1	茶～：茶杯	
嘔	au3	俗，～酸水	
哦	auʔ7	咿～：鼻音重	
袍	pʰau2		
抱	pʰau6	文	
投	tau2		
豆	tau6		
頭	tʰau2	白	
毒	tʰau6	白，用藥毒死	
劉	lau2		
樓	lau2	白	
流	lau2	白	
留	lau2	白	
漏	lau6		
閙	lau6		
老	lau6	白	
猴	kau2	白	
厚	kau6	白	
𠢕	ɡau2	俗，能幹	
壕	hau2		
浩	hau6		
校	hau6		
效	hau6		
鱟	hau6		
候	hau6	白	
號	hau6	俗，～脈：把脈	
喉	au2		
后	au6		
後	au6	白	
冇	pʰã6	俗，不結實	
媽	ma3		
擔	tã1	白	
膽	tã3	白	
擔	tã5		
石	tã5	一～：量詞	
欖	nã3		
爁	nã5	俗，爍～：閃電	
衫	sã1	白	
三	sã1	白	
橄	kã1		
監	kã1		
敢	kã3	白	
酵	kã5	白	
還	hã3	俗，～有	
喊	hã5		
抰	ã1	俗，捂住眼睛	
揞	ã5	俗	
吖	ã5	胡琴聲	
藍	nã2	白	
籃	nã2		
林	nã2		
攔	ã2	俗	
餡	ã6		
□	pãi1	稀飯水分較少	
痞	pʰãi3		
□	mai5	不要	
乃	nai3		
奶	nai3		
宰	tsãi3		
幌	hãi5	訓，～中秋：盪鞦韆	
愛	ãi5		
耐	nai6		
奈	nai6		
賴	nai6	文	
喈	kãi2	俗，呻吟	
艾	ŋai6	文	
揹	ãi6	俗，背小孩	
卯	mau3		
𠱃	mauʔ7	俗，老人沒有牙齒的樣子	
腦	nau3		
惱	nau3	文	
茅	mau2	文	
貌	mau6		
鬧	nau6		
熬	ŋau2		
藕	ŋau6		
擔	tam1	文	
膽	tam3	文	
答	tap7	文	
搭	tap7	文	
貪	tʰam1		
探	tʰam5		
罨	lam1	俗，牛掛～	
覽	lam3		
攬	lam3		
□	lam3	弱	
斬	tsam3	文	
參	tsʰam1		
慘	tsʰam3		
舢	sam1	～舨	
三	sam1	文	
衫	sam1	文	
屑	sap7	紙～	
圾	sap7	垃～	
甘	kam1		
柑	kam1		
監	kam1		
橄	kam1	文	
感	kam3		
敢	kam3	文	
監	kam5		
鑑	kam5		
蛤	kap7		
鴿	kap7		
喋	kap7		
合	kap7	白	
堪	kʰam1		
砍	kʰam3		
肷	kʰam3	俗，胸～	
勘	kʰam5		
𰃴	kʰam5	俗，桌～	
蚶	ham1		
□	ham1	俗，竹節	
𦜆	ham1	俗，肚皮	
撼	ham3	俗，打	
憾	ham3		
泛	ham5	俗	
喊	ham5		
庵	am1		
盦	am1	俗，～缸	
泔	am3	俗	
暗	am5		
鴨	ap7		
押	ap7	～水	
壓	ap7		
握	ap7		
談	tam2		
淡	tam6		
曇	tʰam2		
潭	tʰam2		
痰	tʰam2		
南	lam2		
男	lam2		
藍	lam2	文	
籃	lam2	文	
淋	lam2	白	
艦	lam6	軍～	
納	lap8		
站	tsam6		
斬	tsam6	白	
鏨	tsam6	俗，～仔	
雜	tsap8		
十	tsap8	白	
蠶	tsʰam2		
含	kam2	白	
癌	ɡam2		
儑	ɡam6	俗，～頭～面	
彥	ɡam6	徛～：生長緩慢	
函	ham2		
銜	ham2		
含	ham2	文	
陷	ham6		
合	hap8	文	
頷	am6	俗，～仔：脖子	
盒	ap8		
斑	pan1		
班	pan1		
扳	pan1		
崩	pan1		
板	pan3		
舨	pan3	舢～	
榜	pan3		
攀	pʰan1		
蜂	pʰan1	白	
紡	pʰan3		
挽	ban3		
蠓	ban3	蚊子	
丹	tan1		
單	tan1	文	
等	tan3	白	
蛋	tan5		
誕	tan5		
旦	tan5	文	
頕	tat7	～頭：點頭	
癱	tʰan1	文	
攤	tʰan1		
毯	tʰan3		
坦	tʰan3		
歎	tʰan5		
趁	tʰan5		
炭	tʰan5	文	
蹋	tʰap7	蹧～	
趼	lan1	訓，結～：結繭	
懶	lan3		
盞	tsan3	文	
贊	tsan5		
棧	tsan5		
節	tsat7	白	
餐	tsʰan1		
呻	tsʰan1		
鏟	tsʰan3		
璨	tsʰan5		
擦	tsʰat7		
漆	tsʰat7		
珊	san1		
刪	san1		
山	san1	文	
鉎	san1	俗	
産	san3		
㾪	san3	瘦	
疝	san5		
散	san5	文	
虱	sat7		
塞	sat7		
干	kan1		
艱	kan1		
間	kan1	文	
肝	kan1	文	
竿	kan1	文	
乾	kan1		
奸	kan1		
簡	kan3		
幹	kan5		
葛	kat7	文	
結	kat7	白	
刊	kʰan1		
看	kʰan5	文	
藿	kʰat7	～香：藥名	
□	ɡan5	～水	
烘	han1		
魴	han1	～魚	
罕	han3		
旱	han3	文	
瀚	han5		
漢	han5		
喝	hat7	文	
安	an1	文	
鞍	an1		
案	an5		
按	an5		
晏	an5		
齆	an5	俗，～鼻	
瓶	pan2		
辦	pan6		
瓣	pan6		
範	pan6	俗	
帆	pʰan2		
別	pʰat8	白	
蠻	ban2		
饅	ban2		
閩	ban2		
氓	ban2		
萬	ban6		
慢	ban6		
密	bat8	白	
陳	tan2		
但	tan6		
彈	tʰan2	文	
檀	tʰan2		
壇	tʰan2		
難	lan2		
濃	lan2		
鱗	lan2	白	
零	lan2	白，～星	
難	lan6		
爛	lan6	文	
辣	lat8		
栗	lat8		
力	lat8	白	
癧	lat8	俗，瘰～	
慚	tsan2		
殘	tsan2		
層	tsan2		
贈	tsan6		
賊	tsat8	墨～	
賊	tsʰat8		
韓	han2		
杭	han2		
航	han2		
寒	han2	文	
項	han6		
限	an6		
幫	paŋ1		
邦	paŋ1		
崩	paŋ1		
枋	paŋ1		
板	paŋ3	洗衫～	
放	paŋ5		
剝	pak7		
北	pak7		
八	pak7	文	
腹	pak7	白	
芳	pʰaŋ1	白	
蜂	pʰaŋ1		
豐	pʰaŋ1	俗，～沛	
紡	pʰaŋ3		
蠓	baŋ3	蚊子	
中	taŋ1	白，～央	
東	taŋ1	白	
冬	taŋ1	白	
董	taŋ3		
等	taŋ3	白	
蛋	taŋ5		
凍	taŋ5	白	
窗	tʰaŋ1		
通	tʰaŋ1	白	
桶	tʰaŋ3		
籠	laŋ1	俗	
熥	laŋ1	火～	
郎	laŋ1	巴～：魚名	
咱	laŋ3	訓	
落	lak7	～鑽	
罾	tsaŋ1	捕魚網	
棕	tsaŋ1	白	
鬃	tsaŋ1	白	
鯮	tsaŋ1	赤～：魚名	
總	tsaŋ3	白	
粽	tsaŋ5		
層	tsaŋ5	俗，九～粿	
蔥	tsʰaŋ1		
鬆	saŋ1	白	
星	saŋ1	零～	
送	saŋ5	白	
搡	sak7	俗，推	
崗	kaŋ1		
岡	kaŋ1		
剛	kaŋ1		
綱	kaŋ1		
江	kaŋ1		
功	kaŋ1		
公	kaŋ1	白	
工	kaŋ1	白	
蚣	kaŋ1	蜈～	
港	kaŋ3		
桿	kaŋ3	秤～	
講	kaŋ3	白	
降	kaŋ5		
覺	kak7		
角	kak7		
麴	kak7		
穀	kak7	白	
桷	kak7	俗，～仔	
埆	kak7	塗～	
空	kʰaŋ1	白	
控	kʰaŋ5		
扻	kʰaŋ5	俗	
確	kʰak7		
殼	kʰak7	白	
咳	kʰak7	俗，～痰	
夯	haŋ1		
烘	haŋ1	白	
魴	haŋ1	俗，～魚	
桉	aŋ1	檸檬～	
甕	aŋ5		
齆	aŋ5	俗，～鼻	
沃	ak7	白	
房	paŋ2		
縫	paŋ2		
馮	paŋ2		
瓶	paŋ2		
縛	pak8	白	
帆	pʰaŋ2		
旁	pʰaŋ2		
龐	pʰaŋ2		
篷	pʰaŋ2	白	
捧	pʰaŋ2	俗	
盤	pʰaŋ2	文，～古	
縫	pʰaŋ6		
雹	pʰak8		
曝	pʰak8	白	
忙	baŋ2		
芒	baŋ2		
茫	baŋ2		
盲	baŋ2	～腸	
網	baŋ6	白	
望	baŋ6	白	
夢	baŋ6	白	
木	bak8	白	
目	bak8	白	
墨	bak8	白	
茼	taŋ2		
筒	taŋ2		
童	taŋ2	～乩	
同	taŋ2	白	
銅	taŋ2	白	
陳	taŋ2	白	
重	taŋ6	白	
動	taŋ6	白	
洞	taŋ6	白	
獨	tak8	白	
值	tak8	白	
碡	tak8	俗，碌～	
蟲	tʰaŋ2		
彈	tʰaŋ2		
讀	tʰak8		
礱	laŋ2		
儂	laŋ2		
聾	laŋ2	白	
農	laŋ2	白	
膿	laŋ2	白	
鱗	laŋ2	白	
蘭	laŋ2		
弄	laŋ6	白	
栗	lak8		
六	lak8	白	
叢	tsaŋ2		
欉	tsaŋ2		
□	tsaŋ2	～水	
咂	tsak8	俗，著加～	
塍	tsʰaŋ2	俗，田	
鑿	tsʰak8		
共	kaŋ6	白	
顏	ɡaŋ2		
雁	ɡaŋ6		
彥	ɡaŋ6	俗，移栽徛～	
岳	ɡak8		
樂	ɡak8		
嶽	ɡak8		
獄	ɡak8		
降	haŋ2		
寒	haŋ2	文	
巷	haŋ6		
項	haŋ6		
學	hak8	文	
紅	aŋ2	白	
洪	aŋ2	白	
菠	pɔ1		
玻	pɔ1		
保	pɔ3		
寶	pɔ3		
堡	pɔ3		
報	pɔ5		
駁	poʔ7	俗，難～：難搞	
破	pʰɔ5	文，～産	
母	bɔ3		
欲	boʔ7	訓	
多	tɔ1		
刀	tɔ1		
倒	tɔ3		
島	tɔ3		
桌	toʔ7		
卓	toʔ7		
拖	tʰɔ1	文	
討	tʰɔ3		
套	tʰɔ5		
囉	lɔ1		
黸	lɔ1	俗，火～	
惱	lɔ3	白，煩～	
老	lɔ3	白	
咾	lɔ3	俗，呵～：稱讚	
左	tsɔ3		
棗	tsɔ3		
做	tsɔ5		
臊	tsʰɔ1		
楚	tsʰɔ3		
草	tsʰɔ3	文	
糙	tsʰɔ5		
錯	tsʰɔ5		
銼	tsʰɔ5		
躁	tsʰɔ5		
操	tsʰoʔ7	俗，言語粗魯的罵	
唆	sɔ1		
騷	sɔ1		
挲	sɔ1	俗	
鎖	sɔ3		
嫂	sɔ3		
叟	sɔ3		
掃	sɔ5	文	
索	soʔ7	白	
高	kɔ1		
膏	kɔ1		
篙	kɔ1		
糕	kɔ1		
咖	kɔ1		
歌	kɔ1	文	
□	kɔ1	俗，癩～	
稿	kɔ3		
果	kɔ3	文	
告	kɔ5		
過	kɔ5	文	
閣	koʔ7		
各	koʔ7		
科	kʰɔ1		
柯	kʰɔ1	文	
可	kʰɔ3		
考	kʰɔ3		
拷	kʰɔ3	俗	
靠	kʰɔ5		
好	hɔ3		
窩	ɔ1		
蒿	ɔ1	茼～	
荷	ɔ1	薄～	
呵	ɔ1	～咾	
阿	ɔ1	文	
婆	pɔ2		
暴	pɔ6		
箔	poʔ8		
薄	poʔ8	白	
抱	pʰɔ6	白	
無	bɔ2	白	
帽	bɔ6		
磨	bɔ6	白	
駝	tɔ2		
萄	tɔ2		
桃	tɔ2		
濤	tɔ2		
道	tɔ6		
盜	tɔ6		
舵	tɔ6	文	
著	toʔ8		
剟	toʔ8	操	
桃	tʰɔ2		
陀	tʰɔ2		
迌	tʰɔ2	俗，𨑨～	
羅	lɔ2		
勞	lɔ2		
牢	lɔ2		
騾	lɔ2		
𤄷	lɔ2	俗，混濁	
落	loʔ8		
槽	tsɔ2		
曹	tsɔ2		
巢	tsɔ2		
造	tsɔ6		
坐	tsɔ6	文	
鐲	soʔ8	俗，手～	
笱	kɔ2	俗，豬～	
鵝	ɡɔ2	白	
餓	ɡɔ6		
和	hɔ2		
河	hɔ2		
豪	hɔ2		
毫	hɔ2		
壕	hɔ2		
荷	hɔ2		
何	hɔ2	文	
賀	hɔ6		
號	hɔ6		
鶴	hɔ6		
蠔	ɔ2		
蚝	ɔ2		
學	oʔ8	白	
夫	pɔu1	白	
埔	pɔu1		
補	pɔu3		
斧	pɔu3		
脯	pɔu3	俗	
布	pɔu5		
佈	pɔu5		
傅	pɔu5	白	
蜅	pʰɔu1	俗，～蠅	
麩	pʰɔu1		
普	pʰɔu3		
譜	pʰɔu3		
鋪	pʰɔu5		
畝	bɔu3		
某	bɔu3		
牡	bɔu3		
都	tɔu1		
肚	tɔu3		
鬥	tɔu5	文	
𪐞	tɔu5	俗	
土	tʰɔu3		
吐	tʰɔu5		
兔	tʰɔu5		
魯	lɔu3		
滷	lɔu3		
露	lɔu5	～水	
租	tsɔu1		
鄒	tsɔu1		
祖	tsɔu3		
阻	tsɔu3		
粗	tsʰɔu1		
楚	tsʰɔu3		
醋	tsʰɔu5		
蘇	sɔu1		
酥	sɔu1		
穌	sɔu1		
蔬	sɔu1		
疏	sɔu1		
所	sɔu3		
訴	sɔu5		
素	sɔu5		
數	sɔu5	文	
鴣	kɔu1		
姑	kɔu1		
菇	kɔu1		
蛄	kɔu1		
箛	kɔu1	俗，撈	
古	kɔu3		
狗	kɔu3	文	
牯	kɔu3	俗	
顧	kɔu5		
故	kɔu5		
固	kɔu5		
呼	hɔu1		
虎	hɔu3		
戽	hɔu5		
烏	ɔu1		
惡	ɔu3		
葡	pɔu2	～萄	
□	pɔu2	俗，粿～	
部	pɔu6		
步	pɔu6		
捗	pɔu6	大掌～：大拇指	
簿	pʰɔu6		
模	bɔu2		
謀	bɔu2		
慕	bɔu6		
募	bɔu6		
戊	bɔu6		
圖	tɔu2		
塗	tɔu2		
屠	tɔu2		
肚	tɔu6		
杜	tɔu6		
度	tɔu6		
塗	tʰɔu2		
爐	lɔu2		
廬	lɔu2		
盧	lɔu2		
蘆	lɔu2		
鱸	lɔu2		
路	lɔu6		
蕗	lɔu6	俗，～藠：藠頭	
助	tsɔu6		
糊	kɔu2	白	
予	kʰɔu6	俗，給	
吳	ɡɔu2		
蜈	ɡɔu2	白，～蜞	
梧	ɡɔu2	～桐	
誤	ɡɔu6		
悟	ɡɔu6		
狐	hɔu2		
壺	hɔu2		
鬍	hɔu2		
葫	hɔu2	～蘆	
糊	hɔu2	文，～塗	
戶	hɔu6		
護	hɔu6		
互	hɔu6		
候	hɔu6	文	
後	hɔu6	文	
厚	hɔu6	文	
雨	hɔu6	白	
胡	ɔu2		
湖	ɔu2		
瑚	ɔu2		
侯	ɔu2		
箶	ɔu2	俗	
鰗	ɔu2	俗，～鰡：泥鰍	
芋	ɔu6		
孬	mɔ3	俗，不好，“毋好”合音	
可	kʰɔ̃3	文	
我	ŋɔ3	文	
磨	mɔ2	文	
毛	mɔ2		
冒	mɔ6		
磨	mɔ6	文	
膜	moʔ8		
莨	nɔ2	薯～	
兩	nɔ6	白	
娥	ŋɔ2		
蛾	ŋɔ2		
莨	ŋɔ2	薯～	
鵝	ŋɔ2	文	
愕	ŋoʔ8	倒～	
偶	ŋɔu3		
五	ŋɔu3	文	
午	ŋɔu3	文	
𩵱	ŋɔu3	俗，魚名	
虎	hɔ̃u		
五	ŋɔu6	白	
午	ŋɔu6	白	
蹔	tsɔm5	踹	
鑱	tsʰɔm3	俗，～鎈：鐃鈸	
參	sɔm1		
蔘	sɔm1		
森	sɔm1		
桑	sɔm1		
啌	kʰɔm1	鐘聲	
觳	kʰɔp7	俗，老鼠～仔：捕鼠器	
嗡	hɔp7	俗	
倯	sɔm2	俗，土氣	
踏	lɔp8	俗	
卜	pɔk7		
捧	pʰɔŋ3		
博	pʰɔk7		
樸	pʰɔk7		
噗	pʰɔk7	俗，鼓掌	
罔	bɔŋ3		
網	bɔŋ3	文	
東	tɔŋ1	文	
冬	tɔŋ1		
中	tɔŋ1	白	
忠	tɔŋ1		
噹	tɔŋ1	俗，叮～鼓	
董	tɔŋ3		
棟	tɔŋ5		
檔	tɔŋ5		
蕩	tɔŋ5	放～	
凍	tɔŋ5	文	
當	tɔŋ5		
㨂	tɔŋ5	俗，戳	
剁	tɔk7		
斲	tɔk7		
啄	tɔk7	～加坐：打瞌睡	
通	tʰɔŋ1	文	
統	tʰɔŋ3		
痛	tʰɔŋ5		
託	tʰɔk7		
托	tʰɔk7	拜～	
朗	lɔŋ3		
攏	lɔŋ3		
漉	lɔk7	俗	
莊	tsɔŋ1		
宗	tsɔŋ1		
縱	tsɔŋ1		
裝	tsɔŋ1	文	
鬃	tsɔŋ1		
棕	tsɔŋ1		
總	tsɔŋ3	文	
葬	tsɔŋ5		
壯	tsɔŋ5		
綜	tsɔŋ5		
狀	tsɔŋ5		
作	tsɔk7		
瘡	tsʰɔŋ1		
聰	tsʰɔŋ1		
創	tsʰɔŋ5		
喪	sɔŋ1		
霜	sɔŋ1	文	
鬆	sɔŋ1		
爽	sɔŋ3	文	
喪	sɔŋ5		
宋	sɔŋ5		
送	sɔŋ5	文	
速	sɔk7		
索	sɔk7	文	
功	kɔŋ1		
攻	kɔŋ1		
公	kɔŋ1	文	
工	kɔŋ1		
蚣	kɔŋ1		
廣	kɔŋ3	文	
講	kɔŋ3	白	
貢	kɔŋ5		
各	kɔk7		
閣	kɔk7		
國	kɔk7		
穀	kɔk7	文	
谷	kɔk7		
康	kʰɔŋ1		
筐	kʰɔŋ1		
匡	kʰɔŋ1		
空	kʰɔŋ1	文	
慷	kʰɔŋ3		
孔	kʰɔŋ3		
控	kʰɔŋ5		
抗	kʰɔŋ5		
酷	kʰɔk7		
擴	kʰɔk7		
𥕏	kʰɔk7	俗，木魚	
荒	hɔŋ1		
方	hɔŋ1		
芳	hɔŋ1		
烘	hɔŋ1		
蜂	hɔŋ1		
楓	hɔŋ1		
謊	hɔŋ1		
瘋	hɔŋ1		
轟	hɔŋ1		
風	hɔŋ1		
封	hɔŋ1		
鋒	hɔŋ1		
峰	hɔŋ1		
豐	hɔŋ1		
肓	hɔŋ1		
訪	hɔŋ3		
彷	hɔŋ3		
仿	hɔŋ3		
況	hɔŋ3		
福	hɔk7		
復	hɔk7		
幅	hɔk7		
腹	hɔk7	文	
汪	ɔŋ1		
翁	ɔŋ1		
枉	ɔŋ3		
往	ɔŋ3	文	
屋	ɔk7		
惡	ɔk7		
沃	ɔk7	文	
磅	pɔŋ6		
謗	pɔŋ6	毀～	
僕	pɔk8		
縛	pɔk8	文	
薄	pɔk8	文	
篷	pʰɔŋ2	文	
蓬	pʰɔŋ2		
碰	pʰɔŋ6	俗，相～：電線短路	
瀑	pʰɔk8		
曝	pʰɔk8	文	
芒	bɔŋ2	～果	
茫	bɔŋ2		
亡	bɔŋ2		
蒙	bɔŋ2		
檬	bɔŋ2		
忘	bɔŋ6		
墓	bɔŋ6		
網	bɔŋ6	文	
夢	bɔŋ6		
望	bɔŋ6		
穆	bɔk8		
牧	bɔk8		
木	bɔk8	文	
目	bɔk8		
唐	tɔŋ2		
童	tɔŋ2		
桐	tɔŋ2	梧～	
堂	tɔŋ2		
同	tɔŋ2		
銅	tɔŋ2		
動	tɔŋ6	文	
洞	tɔŋ6		
毒	tɔk8		
獨	tɔk8	文	
桐	tʰɔŋ2		
讀	tʰɔk8	文	
狼	lɔŋ2		
廊	lɔŋ2		
籠	lɔŋ2		
隆	lɔŋ2		
聾	lɔŋ2	文	
農	lɔŋ2		
膿	lɔŋ2		
浪	lɔŋ6		
弄	lɔŋ6	文	
鹿	lɔk8		
駱	lɔk8		
崇	tsɔŋ2		
藏	tsɔŋ6		
臟	tsɔŋ6		
狀	tsɔŋ6		
族	tsɔk8		
嵩	sɔŋ2		
狂	kɔŋ2		
懸	kɔŋ2	高	
嘓	kʰɔk8	俗，拍～	
忪	ɡɔŋ2	俗	
戇	ɡɔŋ6	俗	
鱷	ɡɔk8		
皇	hɔŋ2		
弘	hɔŋ2		
宏	hɔŋ2		
鴻	hɔŋ2		
馮	hɔŋ2		
凰	hɔŋ2		
防	hɔŋ2		
簧	hɔŋ2		
黃	hɔŋ2	文	
縫	hɔŋ2		
洪	hɔŋ2		
虹	hɔŋ2		
癀	hɔŋ2	俗	
鳳	hɔŋ6		
奉	hɔŋ6		
俸	hɔŋ6		
服	hɔk8		
伏	hɔk8		
袱	hɔk8		
復	hɔk8		
王	ɔŋ2		
旺	ɔŋ6		
𢻷	pɛ1	俗，扒飯	
把	pɛ3		
伯	pɛʔ7		
白	pɛʔ7	白	
柏	pɛʔ7		
擘	pɛʔ7	俗，剝	
跁	pɛʔ7	爬	
帕	pʰɛ5		
馬	bɛ3		
麥	bɛʔ7	白	
硩	tɛʔ7	俗，～紙：掃墓	
宅	tʰɛʔ7		
楂	tsɛ1		
渣	tsɛ1		
齋	tsɛ1		
姊	tsɛ3		
債	tsɛ5		
雀	tsɛʔ7	～盲：夜盲症	
妻	tsʰɛ1		
叉	tsʰɛ1		
差	tsʰɛ1	俗	
廁	tsʰɛʔ7		
冊	tsʰɛʔ7		
紗	sɛ1	白	
沙	sɛ1		
家	kɛ1		
加	kɛ1		
嘉	kɛ1		
佳	kɛ1		
茄	kɛ1	番～	
咖	kɛ1	～喱	
假	kɛ3		
賈	kɛ3		
架	kɛ5		
嫁	kɛ5		
價	kɛ5		
假	kɛ5		
駕	kɛ5	白	
格	kɛʔ7		
隔	kɛʔ7		
逆	kɛʔ7	俗，～味	
客	kʰɛʔ7		
𤲍	kʰɛʔ7	俗，擠	
咦	ɡɛ1	～蚜：蟬	
爬	pɛ2		
耙	pɛ2		
杷	pɛ2		
琶	pɛ2		
爸	pɛ6		
白	pɛʔ8	白	
茶	tɛ2		
䖳	tʰɛʔ8	水母	
查	tsɛ2		
寨	tsɛ6		
枷	kɛ2	擔～	
下	kɛ6	低	
牙	ɡɛ2		
芽	ɡɛ2		
涯	ɡɛ2		
蜈	ɡɛ2	白，～蚣	
蝦	hɛ2		
霞	hɛ2	文	
夏	hɛ6		
廈	hɛ6		
下	hɛ6		
霞	ɛ2	白，～葛：地名	
廈	ɛ6	～門	
下	ɛ6		
柄	pɛ̃5		
坪	pʰɛ̃1		
螟	mɛ̃1	俗，沙～：蜻蜓	
搣	mɛ1	抓	
猛	mɛ̃3	白	
脈	mɛʔ7		
𩨑	tɛ̃1	骹後～：腳後跟	
𩏠	tɛ̃5	～肚豬：拔河	
撐	tʰɛ̃1		
撐	tʰɛ̃5	俗，虎～頷	
奶	nɛ1	俗	
爭	tsɛ̃1	白	
井	tsɛ̃3	白	
炸	tsɛ̃5		
青	tsʰɛ̃1		
星	tsʰɛ̃1		
醒	tsʰɛ̃3		
生	sɛ̃1	白	
牲	sɛ̃1		
聲	sɛ̃1		
鍟	sɛ̃1	俗	
省	sɛ̃3	白	
姓	sɛ̃5		
性	sɛ̃5	白	
更	kɛ̃1		
庚	kɛ̃1		
羹	kɛ̃1		
經	kɛ̃1	白	
哽	kɛ̃3	俗	
鯁	kɛ̃3		
徑	kɛ̃5		
坑	kʰɛ̃1		
雅	ŋɛ3		
嚇	hɛ̃ʔ7	俗	
哼	ɛ̃1	～喘	
棚	pɛ̃2		
坪	pɛ̃2		
平	pɛ̃2	白	
病	pɛ̃6		
彭	pʰɛ̃2		
盲	mɛ̃2	白，青～	
瞑	mɛ̃2		
暝	mɛ̃2	夜	
冥	mɛ̃2	夜	
罵	mɛ̃6		
鄭	tɛ̃6		
捏	tɛ̃6	訓	
晾	nɛ̃2		
躡	nɛʔ8	俗，～骹尾	
晴	tsɛ̃2		
靜	tsɛ̃6		
鎈	tsʰɛ̃6	俗，鑱～：鐃鈸	
硬	ŋɛ̃6		
楹	ɛ̃2		
八	peʔ7	白	
帝	te5		
