文字		声母	韵母	声调调值	拼音	读音属性	注释
篱		l	i	55	li55		
璃		l	i	55	li55		
厘		l	i	55	li55		
狸		l	i	55	li55		
旅		l	i	42	li42		
礼		l	i	42	li42		
履		l	i	42	li42		
李		l	i	42	li42		
里		l	i	42	li42		
理		l	i	42	li42		
鲤		l	i	42	li42		
厉		l	i	35	li35		
励		l	i	35	li35		
丽		l	i	35	li35		
荔		l	i	35	li35	文读	《~镜记》
利		l	i	35	li35	文读	~益
痢		l	i	35	li35		瘌~
□		l	i	212	li212		撕
例		l	i	22	li22		
吏		l	i	22	li22		
裂		l	iʔ	5	liʔ5		
□		ts	i	33	tsi33		女阴
糍		ts	i	55	tsi55		
紫		ts	i	42	tsi42		
只		ts	i	42	tsi42		
姊		ts	i	42	tsi42		
旨		ts	i	42	tsi42		
止		ts	i	42	tsi42		
趾		ts	i	42	tsi42		
址		ts	i	42	tsi42		
舐		ts	i	35	tsi35		
巳		ts	i	35	tsi35		
祭		ts	i	212	tsi212		
际		ts	i	212	tsi212		
制		ts	i	212	tsi212		
济		ts	i	212	tsi212		
剂		ts	i	212	tsi212		
至		ts	i	212	tsi212		
志		ts	i	212	tsi212		
接		ts	iʔ	2	tsiʔ2	白读	~过来
折		ts	iʔ	2	tsiʔ2		叠
折		ts	iʔ	5	tsiʔ5		断
舌		ts	iʔ	5	tsiʔ5		
妻		tsʰ	i	33	tsʰi33		
栖		tsʰ	i	33	tsʰi33		
痴		tsʰ	i	33	tsʰi33		
鳃		tsʰ	i	33	tsʰi33		鱼~
齐		tsʰ	i	55	tsʰi55	文读	~全
驰		tsʰ	i	55	tsʰi55		
迟		tsʰ	i	55	tsʰi55		
侈		tsʰ	i	42	tsʰi42		
耻		tsʰ	i	42	tsʰi42		
市		tsʰ	i	35	tsʰi35		
刺		tsʰ	i	212	tsʰi212		名词
试		tsʰ	i	212	tsʰi212		
饲		tsʰ	i	22	tsʰi22		喂养
施		s	i	33	si33		
尸		s	i	33	si33		
司		s	i	33	si33		
丝		s	i	33	si33		
诗		s	i	33	si33		
匙		s	i	55	si55		
时		s	i	55	si55		
鲥		s	i	55	si55		
死		s	i	42	si42		
矢		s	i	42	si42		
始		s	i	42	si42		
是		s	i	35	si35		
氏		s	i	35	si35		
视		s	i	35	si35		
世		s	i	212	si212		
势		s	i	212	si212		
四		s	i	212	si212		
誓		s	i	22	si22		
逝		s	i	22	si22		
豉		s	i	22	si22		
示		s	i	22	si22		
薛		s	iʔ	2	siʔ2		
□		s	iʔ	2	siʔ2		闪烁
蚀		s	iʔ	5	siʔ5		
儿		dz	i	55	dzi55		
二		dz	i	35	dzi35		
字		dz	i	22	dzi22		
寺		dz	i	22	dzi22		
饵		dz	i	22	dzi22		
□		dz	iʔ	5	dziʔ5		按压
稽		k	i	33	ki33		
枝		k	i	33	ki33		
岐		k	i	33	ki33		
饥		k	i	33	ki33		
肌		k	i	33	ki33		
基		k	i	33	ki33		
机		k	i	33	ki33		
讥		k	i	33	ki33		
饥		k	i	33	ki33		
棋		k	i	55	ki55		
旗		k	i	55	ki55		
指		k	i	42	ki42		动词
几		k	i	42	ki42	文读	茶~
己		k	i	42	ki42		
纪		k	i	42	ki42		
杞		k	i	42	ki42		
企		k	i	35	ki35		
技		k	i	35	ki35		
妓		k	i	35	ki35		
冀		k	i	35	ki35		
忌		k	i	35	ki35		
继		k	i	212	ki212		
痣		k	i	212	ki212		
记		k	i	212	ki212		
既		k	i	212	ki212		
砌		k	iʔ	2	kiʔ2		
□		k	iʔ	5	kiʔ5		插
欺		kʰ	i	33	kʰi33		
奇		kʰ	i	55	kʰi55		~迹
祈		kʰ	i	55	kʰi55		
其		kʰ	i	55	kʰi55		
期		kʰ	i	55	kʰi55		
启		kʰ	i	42	kʰi42		
齿		kʰ	i	42	kʰi42		
起		kʰ	i	42	kʰi42		
器		kʰ	i	212	kʰi212		
弃		kʰ	i	212	kʰi212		
气		kʰ	i	212	kʰi212		
汽		kʰ	i	212	kʰi212		
缺		kʰ	iʔ	2	kʰiʔ2	白读	~喙：兔唇。《广韵》倾雪切
疑		g	i	55	gi55		
牺		h	i	33	hi33		
嬉		h	i	33	hi33		
熙		h	i	33	hi33		
希		h	i	33	hi33		
稀		h	i	33	hi33		
喜		h	i	42	hi42		
系		h	i	35	hi35		
戏		h	i	212	hi212		
于		Ø	i	33	i33		
伊		Ø	i	33	i33		他
衣		Ø	i	33	i33		
依		Ø	i	33	i33		
移		Ø	i	55	i55		
夷		Ø	i	55	i55		
姨		Ø	i	55	i55		
易		Ø	i	35	i35		
异		Ø	i	35	i35		
肄		Ø	i	212	i212		
意		Ø	i	212	i212		
□		p	u	55	pu55		南瓜
捕		p	u	35	pu35		
妇		p	u	35	pu35	白读	新~：儿媳妇
布		p	u	212	pu212		
怖		p	u	212	pu212		
富		p	u	212	pu212		
孵		p	u	22	pu22		
芙		pʰ	u	55	pʰu55		
浮		pʰ	u	55	pʰu55		
蒲		pʰ	u	55	pʰu55		
□		pʰ	u	42	pʰu42		性交
巫		b	u	55	bu55		
诬		b	u	55	bu55		
抚		b	u	42	bu42		
武		b	u	42	bu42		
舞		b	u	42	bu42		
侮		b	u	42	bu42		
鹉		b	u	42	bu42		
务		b	u	35	bu35		
雾		b	u	22	bu22		
诛		t	u	33	tu33		
蛛		t	u	33	tu33		
株		t	u	33	tu33		
□		t	u	55	tu55		挡住
堵		t	u	42	tu42		
赌		t	u	42	tu42		
拄		t	u	42	tu42		
著		t	u	212	tu212		
徒		tʰ	u	55	tʰu55		
途		tʰ	u	55	tʰu55		
涂		tʰ	u	55	tʰu55	文读	~改
图		tʰ	u	55	tʰu55	文读	大展宏~
储		tʰ	u	42	tʰu42		
□		tʰ	u	35	tʰu35		~~： 胖胖的
撸		l	u	33	lu33		
芦		l	u	55	lu55		
鸬		l	u	55	lu55		
鲁		l	u	42	lu42		
橹		l	u	42	lu42		
虏		l	u	42	lu42		
缕		l	u	42	lu42		
屡		l	u	42	lu42		
赂		l	u	35	lu35		
鹭		l	u	35	lu35		
□		l	uʔ	2	luʔ2		喝
组		ts	u	33	tsu33		
诸		ts	u	33	tsu33		
朱		ts	u	33	tsu33		
珠		ts	u	33	tsu33		
主		ts	u	42	tsu42		
聚		ts	u	35	tsu35		
驻		ts	u	35	tsu35		
住		ts	u	35	tsu35		
注		ts	u	212	tsu212		
蛀		ts	u	212	tsu212		
铸		ts	u	212	tsu212		
□		ts	uʔ	2	tsuʔ2		吮吸
趋		tsʰ	u	33	tsʰu33		
雏		tsʰ	u	33	tsʰu33		
取		tsʰ	u	42	tsʰu42		
娶		tsʰ	u	42	tsʰu42	文读	~妻
措		tsʰ	u	212	tsʰu212		
处		tsʰ	u	212	tsʰu212		
趣		tsʰ	u	212	tsʰu212		
厝		tsʰ	u	212	tsʰu212		房子。《广韵》仓故切
□		tsʰ	uʔ	5	tsʰuʔ5		照射
舒		s	u	33	su33		
须		s	u	33	su33		必~
需		s	u	33	su33		
输		s	u	33	su33		
殊		s	u	55	su55		
绪		s	u	42	su42		
褚		s	u	42	su42		
杵		s	u	42	su42		
暑		s	u	42	su42		
黍		s	u	42	su42		
署		s	u	42	su42		
序		s	u	35	su35		
叙		s	u	35	su35		
竖		s	u	35	su35		
树		s	u	35	su35	文读	~立
素		s	u	212	su212	文读	色~
诉		s	u	212	su212		
庶		s	u	212	su212		
恕		s	u	212	su212		
如		dz	u	55	dzu55		
儒		dz	u	55	dzu55		
榆		dz	u	55	dzu55		
愉		dz	u	55	dzu55		
乳		dz	u	42	dzu42		
愈		dz	u	42	dzu42		
逾		dz	u	35	dzu35		
喻		dz	u	35	dzu35		
裕		dz	u	35	dzu35		
谕		dz	u	35	dzu35		
龟		k	u	33	ku33		
韭		k	u	33	ku33		~菜
痀		k	u	33	ku33		腰~：驼背
久		k	u	42	ku42		
俱		k	u	35	ku35		
具		k	u	35	ku35		
惧		k	u	35	ku35		
舅		k	u	35	ku35		
故		k	u	212	ku212		~意
固		k	u	212	ku212		
锢		k	u	212	ku212		
顾		k	u	212	ku212		
句		k	u	212	ku212		
灸		k	u	212	ku212		
故		k	u	22	ku22		~宫
旧		k	u	22	ku22		
□		k	uʔ	2	kuʔ2		吸
区		kʰ	u	33	kʰu33		
枢		kʰ	u	33	kʰu33		
驱		kʰ	u	33	kʰu33		
拘		kʰ	u	33	kʰu33		
驹		kʰ	u	33	kʰu33		
丘		kʰ	u	33	kʰu33		姓
□		kʰ	u	55	kʰu55		蹲
臼		kʰ	u	35	kʰu35		
牛		g	u	55	gu55		
夫		h	u	33	hu33	文读	~人
肤		h	u	33	hu33		
敷		h	u	33	hu33		
俘		h	u	33	hu33		
麸		h	u	33	hu33		
腐		h	u	33	hu33		粉末状
胡		h	u	55	hu55	文读	~说
狐		h	u	55	hu55		
壶		h	u	55	hu55		
互		h	u	55	hu55		
符		h	u	55	hu55		
扶		h	u	55	hu55		
盂		h	u	55	hu55		
浒		h	u	42	hu42		
府		h	u	42	hu42		
腑		h	u	42	hu42		
俯		h	u	42	hu42		
釜		h	u	42	hu42		
沪		h	u	35	hu35		
护		h	u	35	hu35		
傅		h	u	35	hu35	文读	师~
父		h	u	35	hu35	文读	师~
辅		h	u	35	hu35		
妇		h	u	35	hu35	文读	
负		h	u	35	hu35		
阜		h	u	35	hu35		
付		h	u	212	hu212		
赋		h	u	212	hu212		
赴		h	u	212	hu212		
讣		h	u	212	hu212		
附		h	u	212	hu212		
副		h	u	212	hu212		
腐		h	u	22	hu22		豆~
呼		Ø	u	33	u33		
污		Ø	u	33	u33		
娱		Ø	u	55	u55		
雨		Ø	u	42	u42	文读	谷~
宇		Ø	u	42	u42		
禹		Ø	u	42	u42		
羽		Ø	u	42	u42		
有		Ø	u	35	u35		
坞		Ø	u	212	u212		
恶		Ø	u	212	u212		
靥		Ø	u	22	u22		酒~：酒窝
巴		p	a	33	pa33		
芭		p	a	33	pa33		
疤		p	a	33	pa33		
爸		p	a	33	pa33		多用于背称
爸		p	a	55	pa55		多用于面称
把		p	a	42	pa42	文读	~握
饱		p	a	42	pa42		
罢		p	a	35	pa35		
霸		p	a	212	pa212		
坝		p	a	212	pa212		
豹		p	a	212	pa212		
趴		pʰ	a	33	pʰa33		
□		pʰ	a	33	pʰa33		~鱼：用网抓鱼
泡		pʰ	a	35	pʰa35		名词
拍		pʰ	aʔ	2	pʰaʔ2		
□		t	a	33	ta33		干
禾		t	a	55	ta55		
打		t	a	42	ta42		
搭		t	aʔ	2	taʔ2		
贴		t	aʔ	2	taʔ2	白读	~纸
踏		t	aʔ	5	taʔ5		
沓		t	aʔ	5	taʔ5		
他		tʰ	a	33	tʰa33		
塔		tʰ	aʔ	2	tʰaʔ2		
榻		tʰ	aʔ	2	tʰaʔ2		
叠		tʰ	aʔ	5	tʰaʔ5		重叠堆积
拉		l	a	33	la33		
□		l	a	55	la55		猪油
□		l	a	35	la35		拨弄
□		l	a	35	la35		足够
腊		l	aʔ	5	laʔ5		
蜡		l	aʔ	5	laʔ5		
猎		l	aʔ	5	laʔ5		
辣		l	aʔ	5	laʔ5		
瘌		l	aʔ	5	laʔ5		痢
查		ts	a	33	tsa33		
渣		ts	a	33	tsa33		
早		ts	a	42	tsa42		
昨		ts	a	42	tsa42		
诈		ts	a	212	tsa212		
榨		ts	a	212	tsa212		
炸		ts	a	212	tsa212		
□		ts	aʔ	2	tsaʔ2		携带
闸		ts	aʔ	5	tsaʔ5		
差		tsʰ	a	33	tsʰa33		~别
柴		tsʰ	a	55	tsʰa55		
炒		tsʰ	a	42	tsʰa42		
插		tsʰ	aʔ	2	tsʰaʔ2		
沙		s	a	33	sa33	文读	~哑
莎		s	a	33	sa33		
□		s	a	33	sa33		乱抓
傻		s	a	35	sa35		
洒		s	a	212	sa212		潇~
□		s	aʔ	2	saʔ2		接住
咳		k	a	33	ka33		
胶		k	a	33	ka33		
铰		k	a	33	ka33		
绞		k	a	42	ka42		
搅		k	a	42	ka42	白读	~碎
咬		k	a	35	ka35		
教		k	a	212	ka212		
校		k	a	212	ka212		~正
较		k	a	212	ka212		
窖		k	a	212	ka212		
滘		k	a	212	ka212		
甲		k	aʔ	2	kaʔ2		
胛		k	aʔ	2	kaʔ2		
佮		k	aʔ	2	kaʔ2		和，《广韵》古沓切
□		k	aʔ	2	kaʔ2		~被：盖被子
骹		kʰ	a	33	kʰa33		脚。《广韵》口交切
岂		kʰ	a	42	kʰa42		
巧		kʰ	a	42	kʰa42		
敲		kʰ	a	212	kʰa212	白读	~鼓
□		h	aʔ	2	haʔ2		花~：花瓣
合		h	aʔ	5	haʔ5	白读	喜欢
阿		Ø	a	33	a33		
鸦		Ø	a	33	a33		
亚		Ø	a	33	a33		~洲
亚		Ø	a	212	a212		~军
□		Ø	a	212	a212		相~：吵嘴
鸭		Ø	aʔ	2	aʔ2		
押		Ø	aʔ	2	aʔ2		
璧		p	iaʔ	2	piaʔ2		
壁		p	iaʔ	2	piaʔ2		
僻		pʰ	iaʔ	2	pʰiaʔ2		
爹		t	ia	33	tia33		
摘		t	iaʔ	2	tiaʔ2		
嫡		t	iaʔ	2	tiaʔ2		
籴		t	iaʔ	5	tiaʔ5		
拆		tʰ	iaʔ	2	tʰiaʔ2		
掠		l	iaʔ	5	liaʔ5		
遮		ts	ia	33	tsia33		
姐		ts	ia	42	tsia42	文读	翁~：夫妻
者		ts	ia	42	tsia42		
借		ts	ia	35	tsia35		~故。《广韵》子夜切
籍		ts	ia	35	tsia35		
藉		ts	ia	35	tsia35		
蔗		ts	ia	212	tsia212		
炙		ts	ia	212	tsia212		
谢		ts	ia	22	tsia22	白读	姓
迹		ts	iaʔ	2	tsiaʔ2		
只		ts	iaʔ	2	tsiaʔ2		
食		ts	iaʔ	5	tsiaʔ5		
车		tsʰ	ia	33	tsʰia33		
奢		tsʰ	ia	33	tsʰia33		
赊		tsʰ	ia	33	tsʰia33		
赤		tsʰ	iaʔ	2	tsʰiaʔ2		
刺		tsʰ	iaʔ	2	tsʰiaʔ2		动词。《广韵》七迹切，穿也
斜		s	ia	33	sia33	白读	~~：斜斜的
邪		s	ia	55	sia55		
斜		s	ia	55	sia55	文读	倾~
麝		s	ia	55	sia55		
佘		s	ia	55	sia55		
写		s	ia	42	sia42		
社		s	ia	35	sia35		
泻		s	ia	212	sia212		
卸		s	ia	212	sia212		
舍		s	ia	212	sia212		
赦		s	ia	212	sia212		
□		s	ia	212	sia212		跑
谢		s	ia	22	sia22	文读	感~
射		s	ia	22	sia22		
削		s	iaʔ	2	siaʔ2		
锡		s	iaʔ	2	siaʔ2		
惹		dz	ia	42	dzia42		
家		k	ia	33	kia33	文读	奴~
加		k	ia	33	kia33	文读	~减
痂		k	ia	33	kia33		
嘉		k	ia	33	kia33		
佳		k	ia	33	kia33		
枷		k	ia	33	kia33		
贾		k	ia	42	kia42		
假		k	ia	42	kia42		
□		k	ia	35	kia35		坡，陡
寄		k	ia	212	kia212		
揭		k	iaʔ	2	kiaʔ2		~竿
剧		k	iaʔ	5	kiaʔ5		
屐		k	iaʔ	5	kiaʔ5		
奇		kʰ	ia	33	kʰia33		~数
骑		kʰ	ia	55	kʰia55		
擎		kʰ	ia	55	kʰia55	白读	拿，搭配笔、锄头、雨伞等偏长条形的东西
徛		kʰ	ia	35	kʰia35		站
靴		h	ia	33	hia33		
霞		h	ia	55	hia55		
□		h	ia	42	hia42		那
下		h	ia	35	hia35	文读	~乡
瓦		h	ia	35	hia35	白读	厝~
蚁		h	ia	35	hia35		
瑕		h	ia	212	hia212		
暇		h	ia	212	hia212		
歇		h	iaʔ	2	hiaʔ2		
额		h	iaʔ	5	hiaʔ5		
役		h	iaʔ	5	hiaʔ5		
丫		Ø	ia	33	ia33		
耶		Ø	ia	55	ia55		
爷		Ø	ia	55	ia55		
野		Ø	ia	42	ia42		
□		Ø	ia	212	ia212		无精打采
也		Ø	ia	22	ia22		
益		Ø	iaʔ	2	iaʔ2		
易		Ø	iaʔ	5	iaʔ5		周
□		Ø	iaʔ	5	iaʔ5		蚂~：蝴蝶
簸		p	ua	212	pua212		
钵		p	uaʔ	2	puaʔ2		
跋		p	uaʔ	5	puaʔ5	白读	摔倒。《广韵》蒲拨切
□		p	uaʔ	5	puaʔ5		赌博
婆		pʰ	ua	55	pʰua55		老~
破		pʰ	ua	212	pʰua212		
撇		pʰ	uaʔ	2	pʰuaʔ2		
拨		pʰ	uaʔ	2	pʰuaʔ2		
泼		pʰ	uaʔ	2	pʰuaʔ2		
□		pʰ	uaʔ	5	pʰuaʔ5		披
磨		b	ua	55	bua55		
抹		b	uaʔ	2	buaʔ2		
钹		b	uaʔ	5	buaʔ5		
舵		t	ua	35	tua35		
带		t	ua	212	tua212		
大		t	ua	22	tua22	白读	~头
拖		tʰ	ua	33	tʰua33		
獭		tʰ	uaʔ	2	tʰuaʔ2		
箩		l	ua	55	lua55		
□		l	ua	22	lua22		责备
□		l	uaʔ	2	luaʔ2		煎
蛇		ts	ua	55	tsua55		
纸		ts	ua	42	tsua42		
□		ts	ua	22	tsua22		次
□		tsʰ	ua	42	tsʰua42		歪
蔡		tsʰ	ua	212	tsʰua212		
娶		tsʰ	ua	22	tsʰua22	白读	嫁~
沙		s	ua	33	sua33	白读	豆~
徙		s	ua	42	sua42		
□		s	ua	212	sua212		紧接着
宿		s	uaʔ	2	suaʔ2		
杀		s	uaʔ	2	suaʔ2		
热		dz	uaʔ	5	dzuaʔ5		~死
悦		dz	uaʔ	5	dzuaʔ5		男女相爱
歌		k	ua	33	kua33	白读	唱~
寡		k	ua	42	kua42		
割		k	uaʔ	2	kuaʔ2		
葛		k	uaʔ	2	kuaʔ2		
刮		k	uaʔ	2	kuaʔ2	文读	搜~
夸		kʰ	ua	33	kʰua33		
垮		kʰ	ua	33	kʰua33		
跨		kʰ	ua	33	kʰua33		
挂		kʰ	ua	212	kʰua212		
渴		kʰ	uaʔ	2	kʰuaʔ2		
阔		kʰ	uaʔ	2	kʰuaʔ2		
豁		kʰ	uaʔ	2	kʰuaʔ2		
外		g	ua	22	gua22		
华		h	ua	33	hua33		中~，~山
和		h	ua	55	hua55		
华		h	ua	55	hua55		~表
祸		h	ua	35	hua35		
□		h	uaʔ	5	huaʔ5		迈
蜗		Ø	ua	33	ua33		
蛙		Ø	ua	33	ua33		
洼		Ø	ua	33	ua33		
□		Ø	ua	55	ua55		熬日子
我		Ø	ua	42	ua42		
瓦		Ø	ua	42	ua42	文读	~器
活		Ø	uaʔ	5	uaʔ5		
扒		p	ɛ	33	pɛ33		
爬		p	ɛ	55	pɛ55		
琶		p	ɛ	55	pɛ55		
杷		p	ɛ	55	pɛ55		
钯		p	ɛ	55	pɛ55		
耙		p	ɛ	55	pɛ55		
把		p	ɛ	42	pɛ42	白读	量词
父		p	ɛ	35	pɛ35	白读	~母
百		p	ɛʔ	2	pɛʔ2		
柏		p	ɛʔ	2	pɛʔ2		
伯		p	ɛʔ	2	pɛʔ2		
掰		p	ɛʔ	2	pɛʔ2		
白		p	ɛʔ	5	pɛʔ5		
帛		p	ɛʔ	5	pɛʔ5		
帕		pʰ	ɛ	212	pʰɛ212		
马		b	ɛ	42	bɛ42		
码		b	ɛ	42	bɛ42		
麦		b	ɛʔ	5	bɛʔ5		
茶		t	ɛ	55	tɛ55		
䖳		tʰ	ɛ	22	tʰɛ22		
宅		tʰ	ɛʔ	5	tʰɛʔ5		
历		l	ɛʔ	5	lɛʔ5		
斋		ts	ɛ	33	tsɛ33		
姐		ts	ɛ	42	tsɛ42	白读	~妹
债		ts	ɛ	212	tsɛ212		
寨		ts	ɛ	22	tsɛ22		
织		ts	ɛʔ	2	tsɛʔ2		
职		ts	ɛʔ	2	tsɛʔ2		
责		ts	ɛʔ	2	tsɛʔ2		
积		ts	ɛʔ	2	tsɛʔ2		
绩		ts	ɛʔ	2	tsɛʔ2		
叉		tsʰ	ɛ	33	tsʰɛ33		
杈		tsʰ	ɛ	33	tsʰɛ33		
差		tsʰ	ɛ	33	tsʰɛ33		出~
岔		tsʰ	ɛ	33	tsʰɛ33		
查		tsʰ	ɛ	55	tsʰɛ55		
扯		tsʰ	ɛ	42	tsʰɛ42		
厕		tsʰ	ɛ	212	tsʰɛ212		
策		tsʰ	ɛʔ	2	tsʰɛʔ2		
册		tsʰ	ɛʔ	2	tsʰɛʔ2		
纱		s	ɛ	33	sɛ33		
些		s	ɛ	33	sɛ33		
□		s	ɛʔ	2	sɛʔ2		量词， 一~猪肉
家		k	ɛ	33	kɛ33	白读	~庭
加		k	ɛ	33	kɛ33	白读	多
傢		k	ɛ	33	kɛ33		
椵		k	ɛ	55	kɛ55		《集韵》何加切， 囚械也
假		k	ɛ	42	kɛ42		
下		k	ɛ	35	kɛ35	白读	低
架		k	ɛ	212	kɛ212		
驾		k	ɛ	212	kɛ212		
嫁		k	ɛ	212	kɛ212		
稼		k	ɛ	212	kɛ212		
价		k	ɛ	212	kɛ212		
胳		k	ɛʔ	2	kɛʔ2		
格		k	ɛʔ	2	kɛʔ2		
隔		k	ɛʔ	2	kɛʔ2		
□		k	ɛʔ	5	kɛʔ5		卡住
□		k	ɛʔ	5	kɛʔ5		扑克牌的 K
客		kʰ	ɛʔ	2	kʰɛʔ2		
□		kʰ	ɛʔ	2	kʰɛʔ2		表被动的介词
牙		g	ɛ	55	gɛ55		
芽		g	ɛ	55	gɛ55		
衙		g	ɛ	55	gɛ55		
伢		g	ɛ	55	gɛ55		
蜈		g	ɛ	55	gɛ55		~蚣
虾		h	ɛ	55	hɛ55		
夏		h	ɛ	35	hɛ35		姓
下		h	ɛ	35	hɛ35	白读	许诺
厦		h	ɛ	22	hɛ22		大~
夏		h	ɛ	22	hɛ22		~天
哑		Ø	ɛ	42	ɛ42		
下		Ø	ɛ	35	ɛ35	白读	下面
厦		Ø	ɛ	35	ɛ35		~门
杯		p	uɛ	33	puɛ33		
飞		p	uɛ	33	puɛ33	白读	~机
培		p	uɛ	55	puɛ55		
陪		p	uɛ	55	puɛ55		
赔		p	uɛ	55	puɛ55		
□		p	uɛ	42	puɛ42		从土里扒出来
倍		p	uɛ	35	puɛ35		
佩		p	uɛ	35	puɛ35		
贝		p	uɛ	212	puɛ212		
辈		p	uɛ	212	puɛ212		
背		p	uɛ	212	puɛ212		
焙		p	uɛ	22	puɛ22		
胚		pʰ	uɛ	33	pʰuɛ33		
坯		pʰ	uɛ	33	pʰuɛ33		
裴		pʰ	uɛ	55	pʰuɛ55		
皮		pʰ	uɛ	55	pʰuɛ55		
被		pʰ	uɛ	35	pʰuɛ35		被子
配		pʰ	uɛ	212	pʰuɛ212		
梅		b	uɛ	55	buɛ55		
枚		b	uɛ	55	buɛ55		
媒		b	uɛ	55	buɛ55		
煤		b	uɛ	55	buɛ55		
霉		b	uɛ	55	buɛ55		
尾		b	uɛ	42	buɛ42		
未		b	uɛ	22	buɛ22		
袜		b	uɛʔ	5	buɛʔ5		
兑		t	uɛ	35	tuɛ35		
缀		t	uɛ	212	tuɛ212		
□		tʰ	uɛ	55	tʰuɛ55		毒疮
罪		ts	uɛ	35	tsuɛ35		
最		ts	uɛ	35	tsuɛ35		
□		ts	uɛ	22	tsuɛ22		行， 量词
吹		tsʰ	uɛ	33	tsʰuɛ33		
炊		tsʰ	uɛ	33	tsʰuɛ33		
□		tsʰ	uɛ	55	tsʰuɛ55		棍子
髓		tsʰ	uɛ	42	tsʰuɛ42		
□		tsʰ	uɛ	22	tsʰuɛ22		寻找
衰		s	uɛ	33	suɛ33		
蜕		s	uɛ	212	suɛ212		
岁		s	uɛ	212	suɛ212	文读	万~
税		s	uɛ	212	suɛ212		
帅		s	uɛ	212	suɛ212		
涮		s	uɛʔ	2	suɛʔ2		
刷		s	uɛʔ	2	suɛʔ2		
说		s	uɛʔ	2	suɛʔ2		
□		dz	uɛ	55	dzuɛ55		
锐		dz	uɛ	35	dzuɛ35		
瓜		k	uɛ	33	kuɛ33		
果		k	uɛ	42	kuɛ42	文读	
馃		k	uɛ	42	kuɛ42		《广韵》古火切
过		k	uɛ	212	kuɛ212		
髻		k	uɛ	212	kuɛ212		
刮		k	uɛʔ	2	kuɛʔ2	白读	~白：刮干净
郭		k	uɛʔ	2	kuɛʔ2		
橛		k	uɛʔ	5	kuɛʔ5		半块，一~糖：半块糖
科		kʰ	uɛ	33	kʰuɛ33		
盔		kʰ	uɛ	33	kʰuɛ33		
魁		kʰ	uɛ	33	kʰuɛ33		
恢		kʰ	uɛ	33	kʰuɛ33		
瘸		kʰ	uɛ	55	kʰuɛ55		
课		kʰ	uɛ	212	kʰuɛ212		
卦		kʰ	uɛ	212	kʰuɛ212		
缺		kʰ	uɛʔ	2	kʰuɛʔ2	文读	~点
月		g	uɛʔ	5	guɛʔ5		
花		h	uɛ	33	huɛ33		
灰		h	uɛ	33	huɛ33		
回		h	uɛ	55	huɛ55		
茴		h	uɛ	55	huɛ55		
火		h	uɛ	42	huɛ42		
伙		h	uɛ	42	huɛ42		
汇		h	uɛ	35	huɛ35		
会		h	uɛ	35	huɛ35		
货		h	uɛ	212	huɛ212		
化		h	uɛ	212	huɛ212		
晦		h	uɛ	212	huɛ212		
悔		h	uɛ	212	huɛ212		
岁		h	uɛ	212	huɛ212	白读	几~
血		h	uɛʔ	2	huɛʔ2		
锅		Ø	uɛ	33	uɛ33		
□		Ø	uɛ	55	uɛ55		画，动词
卫		Ø	uɛ	35	uɛ35		
秽		Ø	uɛ	212	uɛ212		
慰		Ø	uɛ	212	uɛ212		
