汉字	拼音	拼音	IPA	注释
捶	tui5	tui②	tui˥˥	
墜	tui7	tui⑥	tui˨˨	
墜	thui7	thui⑥	tʰui˨˨	白
衰	sue1	sue①	sue˦˥	
摔	tsut4	tsut⑦	tsut˧˨	
摔	sut4	sut⑦	sut˧˨	
帥	sue3	sue⑤	sue˨˩˨	
錐	tsui1	tsui①	tsui˦˥	
水	sui2	sui③	sui˥˧	文
水	tsui2	tsui③	tsui˥˧	白
誰	sui5	sui②	sui˥˥	
龜	ku1	ku①	ku˦˥	
軌	khui2	khui③	kʰui˥˧	
癸	kui3	kui⑤	kui˨˩˨	
季	khui3	khui⑤	kʰui˨˩˨	
季	kui3	kui⑤	kui˨˩˨	又，姓氏
葵	khui5	khui②	kʰui˥˥	文
葵	kue5	kue②	kue˥˥	
逵	khui5	khui②	kʰui˥˥	
櫃	kuinn7	kuinn⑥	kũi˨˨	
帷	jui5	jui②	dzui˥˥	
位	ui7	ui⑥	ui˨˨	
維	jui5	jui②	dzui˥˥	
惟	jui5	jui②	dzui˥˥	
遺	jui5	jui②	dzui˥˥	
唯	jui5	jui②	dzui˥˥	
飛	hui1	hui①	hui˦˥	文
飛	pue1	pue①	pue˦˥	白
非	hui1	hui①	hui˦˥	
匪	huinn2	huinn③	hũi˥˧	
沸	hut4	hut⑦	hut˧˨	
痱	pui3	pui⑤	pui˨˩˨	
妃	hui1	hui①	hui˦˥	
菲	hui1	hui①	hui˦˥	
費	hui3	hui⑤	hui˨˩˨	文
費	pi3	pi⑤	pi˨˩˨	姓氏
肥	pui5	pui②	pui˥˥	
薇	mui5	mui②	mui˥˥	
微	mui5	mui②	mui˥˥	
微	bi5	bi②	bi˥˥	
尾	bue2	bue③	bue˥˧	
未	bi7	bi⑥	bi˨˨	
未	bue7	bue⑥	bue˨˨	
味	bi7	bi⑥	bi˨˨	
歸	kui1	kui①	kui˦˥	
鬼	kui2	kui③	kui˥˧	
貴	kui3	kui⑤	kui˨˩˨	
巍	ngui5	ngui②	ŋui˥˥	
魏	ngui7	ngui⑥	ŋui˨˨	
揮	hui1	hui①	hui˦˥	
輝	hui1	hui①	hui˦˥	
徽	hui1	hui①	hui˦˥	
諱	hui3	hui⑤	hui˨˩˨	
威	ui1	ui①	ui˦˥	
畏	ui3	ui⑤	ui˨˩˨	
慰	ue3	ue⑤	ue˨˩˨	
違	ui5	ui②	ui˥˥	
圍	ui5	ui②	ui˥˥	
葦	ui2	ui③	ui˥˧	
偉	ui2	ui③	ui˥˧	
緯	ui2	ui③	ui˥˧	
胃	ui6	ui④	ui˨˥	
謂	ui6	ui④	ui˨˥	
謂	ui3	ui⑤	ui˨˩˨	
猬	ui2	ui③	ui˥˧	
匯	hue6	hue④	hue˨˥	
褒	phau1	phau①	pʰau˦˥	
保	pau2	pau③	pau˥˧	文
保	po2	po③	po˥˧	
堡	pau2	pau③	pau˥˧	
寶	po2	po③	po˥˧	
報	po3	po⑤	po˨˩˨	
袍	phau5	phau②	pʰau˥˥	
抱	pho6	pho④	pʰo˨˥	
暴	pau6	pau④	pau˨˥	
毛	mau5	mau②	mau˥˥	文
毛	mo5	mo②	mõ˥˥	
冒	mau6	mau④	mau˨˥	
帽	bo7	bo⑥	bo˨˨	
刀	to1	to①	to˦˥	
叨	tau1	tau①	tau˦˥	
倒	tau2	tau③	tau˥˧	文
倒	to2	to③	to˥˧	
島	tau2	tau③	tau˥˧	
禱	tau2	tau③	tau˥˧	
到	tau3	tau⑤	tau˨˩˨	
到	kau3	kau⑤	kau˨˩˨	訓
倒	to3	to⑤	to˨˩˨	
掏	thau1	thau①	tʰau˦˥	
滔	thau1	thau①	tʰau˦˥	
討	tho2	tho③	tʰo˥˧	
套	thau3	thau⑤	tʰau˨˩˨	文
套	tho3	tho⑤	tʰo˨˩˨	
桃	to5	to②	to˥˥	楊~
桃	tho5	tho②	tʰo˥˥	
逃	to5	to②	to˥˥	
陶	thau5	thau②	tʰau˥˥	
萄	tho5	tho②	tʰo˥˥	
濤	thiu5	thiu②	tʰiu˥˥	
稻	tau6	tau④	tau˨˥	
稻	tiu6	tiu④	tiu˨˥	訓
道	tau6	tau④	tau˨˥	
導	tau6	tau④	tau˨˥	
盗	tau6	tau④	tau˨˥	
腦	nau2	nau③	nau˥˧	文
腦	lo2	lo③	lo˥˧	白
惱	nau2	nau③	nau˥˧	文
惱	lo2	lo③	lo˥˧	白，煩~
勞	lau5	lau②	lau˥˥	
撈	lau1	lau①	lau˦˥	文
撈	lo1	lo①	lo˦˥	
嘮	lau1	lau①	lau˦˥	
牢	lo5	lo②	lo˥˥	
老	lau2	lau③	lau˥˧	文
老	lau6	lau④	lau˨˥	白
遭	tsau1	tsau①	tsau˦˥	
糟	tsau1	tsau①	tsau˦˥	文
糟	tso1	tso①	tso˦˥	鏖~
早	tsau2	tsau③	tsau˥˧	文
早	tsa2	tsa③	tsa˥˧	白
棗	tso2	tso③	tso˥˧	
蚤	tsau2	tsau③	tsau˥˧	
澡	tshau3	tshau⑤	tsʰau˨˩˨	
躁	tshau3	tshau⑤	tsʰau˨˩˨	
灶	tsau3	tsau⑤	tsau˨˩˨	
操	tshau1	tshau①	tsʰau˦˥	
操	tshau3	tshau⑤	tsʰau˨˩˨	
造	tsau6	tsau④	tsau˨˥	
草	tshau2	tshau③	tsʰau˥˧	文
草	tsho2	tsho③	tsʰo˥˧	
草	tshau2	tshau③	tsʰau˥˧	白
曹	tshau5	tshau②	tsʰau˥˥	
槽	tso5	tso②	tso˥˥	
皂	tsau6	tsau④	tsau˨˥	
造	tsau6	tsau④	tsau˨˥	
騷	sau1	sau①	sau˦˥	
臊	tshau3	tshau⑤	tsʰau˨˩˨	俗
臊	tsho1	tsho①	tsʰo˦˥	
嫂	sau2	sau③	sau˥˧	文，又
嫂	so2	so③	so˥˧	
掃	sau3	sau⑤	sau˨˩˨	
高	kau1	kau①	kau˦˥	文
高	ko1	ko①	ko˦˥	
膏	ko1	ko①	ko˦˥	
羔	ko1	ko①	ko˦˥	
糕	kau1	kau①	kau˦˥	文，糟~
糕	ko1	ko①	ko˦˥	
稿	ko2	ko③	ko˥˧	
告	kau3	kau⑤	kau˨˩˨	文
告	ko3	ko⑤	ko˨˩˨	
考	khau2	khau③	kʰau˥˧	
烤	khau2	khau③	kʰau˥˧	
靠	khau3	khau⑤	kʰau˨˩˨	文
靠	kho3	kho⑤	kʰo˨˩˨	
靠	kou6	kou④	kou˨˥	訓“怙”
犒	khau3	khau⑤	kʰau˨˩˨	
熬	ngau5	ngau②	ŋau˥˥	
傲	ngau6	ngau④	ŋau˨˥	
蒿	hau1	hau①	hau˦˥	文
蒿	o1	o①	o˦˥	白
薅	hau1	hau①	hau˦˥	文
薅	khau1	khau①	kʰau˦˥	白
好	hau2	hau③	hau˥˧	文
好	haunn3	haunn⑤	hãu˨˩˨	
好	ho2	ho③	ho˥˧	
耗	ho3	ho⑤	ho˨˩˨	
豪	hau5	hau②	hau˥˥	文
豪	ho5	ho②	ho˥˥	~豬
毫	hau5	hau②	hau˥˥	
蠔	hau5	hau②	hau˥˥	文
蠔	o5	o②	o˥˥	白
浩	hau1	hau①	hau˦˥	
號	hau1	hau①	hau˦˥	文
號	ho7	ho⑥	ho˨˨	白
襖	o2	o③	o˥˧	
懊	au3	au⑤	au˨˩˨	
懊	o3	o⑤	o˨˩˨	又
奥	o3	o⑤	o˨˩˨	
包	pau1	pau①	pau˦˥	
胞	pau1	pau①	pau˦˥	
飽	pa2	pa③	pa˥˧	
豹	pa3	pa⑤	pa˨˩˨	
爆	pau6	pau④	pau˨˥	
泡	phau3	phau⑤	pʰau˨˩˨	文
泡	pha6	pha④	pʰa˨˥	白
抛	phau1	phau①	pʰau˦˥	文
抛	pha1	pha①	pʰa˦˥	白
炮	phau3	phau⑤	pʰau˨˩˨	
跑	phau2	phau③	pʰau˥˧	
鮑	pau6	pau④	pau˨˥	
刨	phau1	phau①	pʰau˦˥	
茅	mau5	mau②	mau˥˥	
卯	bau2	bau③	bau˥˧	
貌	mau6	mau④	mau˨˥	
撓	nau1	nau①	nau˦˥	文
撓	niau1	niau①	niau˦˥	替
鬧	nau6	nau④	nau˨˥	文
鬧	nau7	nau⑥	nau˨˨	文
鬧	lau7	lau⑥	lau˨˨	白，~熱
嘲	tshiau2	tshiau③	tsʰiau˥˧	
罩	tsau6	tsau④	tsau˨˥	
罩	ta3	ta⑤	ta˨˩˨	
抓	tsuann1	tsuann①	tsuã˦˥	
爪	jiau2	jiau③	dziau˥˧	
爪	jiau3	jiau⑤	dziau˨˩˨	
找	tau2	tau③	tau˥˧	
找	tsau6	tsau④	tsau˨˥	替，找錢
抄	tshau1	tshau①	tsʰau˦˥	
鈔	tshau1	tshau①	tsʰau˦˥	
炒	tsha2	tsha③	tsʰa˥˧	
吵	tshau1	tshau①	tsʰau˦˥	
巢	tshau5	tshau②	tsʰau˥˥	
梢	sau1	sau①	sau˦˥	
梢	siau1	siau①	siau˦˥	
稍	tshiau2	tshiau③	tsʰiau˥˧	
交	kau1	kau①	kau˦˥	
郊	kau1	kau①	kau˦˥	
膠	ka1	ka①	ka˦˥	
絞	ka2	ka③	ka˥˧	
狡	kau2	kau③	kau˥˧	
鉸	ka1	ka①	ka˦˥	
搞	kau2	kau③	kau˥˧	
攪	kiau2	kiau③	kiau˥˧	
攪	ka2	ka③	ka˥˧	白
教	ka3	ka⑤	ka˨˩˨	
較	ka3	ka⑤	ka˨˩˨	
酵	kann3	kann⑤	kã˨˩˨	
窖	ka3	ka⑤	ka˨˩˨	
敲	khiau1	khiau①	kʰiau˦˥	
敲	kha3	kha⑤	kʰa˨˩˨	白
巧	khiau2	khiau③	kʰiau˥˧	
巧	kha2	kha③	kʰa˥˧	白
咬	ka6	ka④	ka˨˥	
孝	hau3	hau⑤	hau˨˩˨	文
孝	ha3	ha⑤	ha˨˩˨	白
肴	ngau5	ngau②	ŋau˥˥	
淆	ngau5	ngau②	ŋau˥˥	
效	hau7	hau⑥	hau˨˨	
校	hau6	hau④	hau˨˥	
校	ka3	ka⑤	ka˨˩˨	
拗	au2	au③	au˥˧	文
拗	a2	a③	a˥˧	白
飈	phiau1	phiau①	pʰiau˦˥	文
飈	pio1	pio①	pio˦˥	白
標	phiau1	phiau①	pʰiau˦˥	文
標	pio1	pio①	pio˦˥	白
表	piau2	piau③	piau˥˧	文
表	pio2	pio③	pio˥˧	白
錶	pio1	pio①	pio˦˥	
飄	phiau1	phiau①	pʰiau˦˥	
票	phio3	phio⑤	pʰio˨˩˨	
漂	phiau1	phiau①	pʰiau˦˥	
漂	phio3	phio⑤	pʰio˨˩˨	
嫖	phiau5	phiau②	pʰiau˥˥	
瓢	phiau5	phiau②	pʰiau˥˥	
鰾	phio6	phio④	pʰio˨˥	
描	miau5	miau②	miau˥˥	文
描	bio5	bio②	bio˥˥	白
苗	miau5	miau②	miau˥˥	文
苗	bio5	bio②	bio˥˥	白
瞄	miau5	miau②	miau˥˥	文
瞄	bio5	bio②	bio˥˥	白
貓	ngiau1	ngiau①	ŋiau˦˥	
藐	miau2	miau③	miau˥˧	
渺	miau2	miau③	miau˥˧	
秒	miau2	miau③	miau˥˧	
廟	bio7	bio⑥	bio˨˨	
妙	miau6	miau④	miau˨˥	
燎	liau5	liau②	liau˥˥	
焦	tsiau1	tsiau①	tsiau˦˥	
椒	tsiau1	tsiau①	tsiau˦˥	文
椒	tsio1	tsio①	tsio˦˥	白
剿	jiau2	jiau③	dziau˥˧	
悄	tshiau2	tshiau③	tsʰiau˥˧	
俏	tshiau2	tshiau③	tsʰiau˥˧	
樵	tsiau1	tsiau①	tsiau˦˥	
瞧	tshiau5	tshiau②	tsʰiau˥˥	
消	siau1	siau①	siau˦˥	
宵	siau1	siau①	siau˦˥	
霄	siau1	siau①	siau˦˥	文
霄	sio1	sio①	sio˦˥	白，地名
硝	siau1	siau①	siau˦˥	
銷	siau1	siau①	siau˦˥	
小	siau2	siau③	siau˥˧	文
小	sio2	sio③	sio˥˧	白
笑	siau3	siau⑤	siau˨˩˨	文
笑	tshio3	tshio⑤	tsʰio˨˩˨	白
鞘	siau1	siau①	siau˦˥	
朝	tsiau1	tsiau①	tsiau˦˥	
超	thiau3	thiau⑤	tʰiau˨˩˨	
朝	tshiau5	tshiau②	tsʰiau˥˥	
潮	tio5	tio②	tio˥˥	
趙	tio6	tio④	tio˨˥	
兆	tiau6	tiau④	tiau˨˥	
肇	siau6	siau④	siau˨˥	
召	tiau6	tiau④	tiau˨˥	
昭	tsiau1	tsiau①	tsiau˦˥	
招	tsiau1	tsiau①	tsiau˦˥	文
招	tsio1	tsio①	tsio˦˥	白
沼	jiau3	jiau⑤	dziau˨˩˨	
照	tsiau3	tsiau⑤	tsiau˨˩˨	文
照	tsio3	tsio⑤	tsio˨˩˨	白
詔	jiau3	jiau⑤	dziau˨˩˨	
詔	tsiau2	tsiau③	tsiau˨˩˨	
燒	sio1	sio①	sio˦˥	
少	siau2	siau③	siau˥˧	文
少	siau3	siau⑤	siau˨˩˨	文
少	tsio2	tsio③	tsio˥˧	白
韶	siau6	siau④	siau˨˥	
紹	siau6	siau④	siau˨˥	
邵	siau6	siau④	siau˨˥	
饒	jiau5	jiau②	dziau˥˥	文
饒	jio5	jio②	dzio˥˥	白，地名
擾	jiau2	jiau③	dziau˥˧	
繞	jiau3	jiau⑤	dziau˨˩˨	
驕	kiau1	kiau①	kiau˦˥	
嬌	kiau1	kiau①	kiau˦˥	
矯	kiau2	kiau③	kiau˥˧	
蹺	khiau1	khiau①	kʰiau˦˥	
喬	khiau5	khiau②	kʰiau˥˥	
橋	kio5	kio②	kio˥˥	
轎	kio7	kio⑥	kio˨˨	
囂	ngau1	ngau①	ŋau˦˥	
枵	iau1	iau①	iau˦˥	
妖	iau1	iau①	iau˦˥	
邀	hiau1	hiau①	hiau˦˥	
邀	kiau1	kiau①	kiau˦˥	帶領，鳳凰音
邀	khiau1	khiau①	kʰiau˦˥	帶領，新豐音
腰	io1	io①	io˦˥	
要	iau1	iau①	iau˦˥	
夭	iau1	iau①	iau˦˥	
要	iau3	iau⑤	iau˨˩˨	
搖	iau5	iau②	iau˥˥	文
搖	io5	io②	io˥˥	白
謠	iau5	iau②	iau˥˥	
窯	io5	io②	io˥˥	
姚	io5	io②	io˥˥	
舀	io2	io③	io˥˧	
耀	iau6	iau④	iau˨˥	文
耀	tshionn7	tshionn⑥	tsʰiõ˨˩	白
刁	tiau1	tiau①	tiau˦˥	
貂	tiau1	tiau①	tiau˦˥	
雕	tiau1	tiau①	tiau˦˥	
鳥	tsiau2	tsiau③	tsiau˥˧	
吊	tiau3	tiau⑤	tiau˨˩˨	
釣	tionn3	tionn⑤	tiõ˨˩˨	
挑	thiau1	thiau①	tʰiau˦˥	文
挑	thio1	thio①	tʰio˦˥	白
跳	thiau3	thiau⑤	tʰiau˨˩˨	
糶	thio3	thio⑤	tʰio˨˩˨	
跳	tio5	tio②	tio˥˥	
條	tiau5	tiau②	tiau˥˥	
調	thiau5	thiau②	tʰiau˥˥	
調	thiau3	thiau⑤	tʰiau˨˩˨	~皮
掉	tiau7	tiau⑥	tiau˨˨	
調	tiau7	tiau⑥	tiau˨˨	
尿	jio7	jio⑥	dzio˨˨	
聊	liau5	liau②	liau˥˥	
遼	liau5	liau②	liau˥˥	
撩	liau5	liau②	liau˥˥	文
撩	lio5	lio②	lio˥˥	白
寥	liau5	liau②	liau˥˥	
寮	liau5	liau②	liau˥˥	
廖	liau7	liau⑥	liau˨˨	
了	liau2	liau③	liau˥˧	
瞭	liau5	liau②	liau˥˥	
瞭	liau2	liau③	liau˥˧	
料	liau7	liau⑥	liau˨˨	
簫	siau1	siau①	siau˦˥	
蕭	siau1	siau①	siau˦˥	
嘯	sau3	sau⑤	sau˨˩˨	
澆	nau1	nau①	nau˦˥	
繳	kiau2	kiau③	kiau˥˧	
叫	kio3	kio⑤	kio˨˩˨	
竅	khiau3	khiau⑤	kʰiau˨˩˨	
堯	ngiau5	ngiau②	ŋiau˥˥	
曉	hiau2	hiau③	hiau˥˧	
么	iau1	iau①	iau˦˥	
杳	miau2	miau③	miau˥˧	
剖	phou2	phou③	pʰou˥˧	
某	mong2	mong③	moŋ˥˧	
畝	bou2	bou③	bou˥˧	
牡	bou2	bou③	bou˥˧	
拇	bo2	bo③	bo˥˧	
母	bo2	bo③	bo˥˧	
母	bou2	bou③	bou˥˧	妻
姆	m2	m③	m˥˧	
姆	m7	m⑥	m˨˨	母亲
茂	mong6	mong④	moŋ˨˥	
戊	bou7	bou⑥	bou˨˨	
貿	mong3	mong⑤	moŋ˨˩˨	
兜	tau1	tau①	tau˦˥	
斗	tau2	tau③	tau˥˧	
抖	tou2	tou③	tou˥˧	文，~擻
抖	tau2	tau③	tau˥˧	白
陡	tau2	tau③	tau˥˧	
鬥	tou3	tou⑤	tou˨˩˨	文
鬥	tau3	tau⑤	tau˨˩˨	白
偷	thau1	thau①	tʰau˦˥	
敨	thau2	thau③	tʰau˥˧	
透	thau3	thau⑤	tʰau˨˩˨	
頭	thau5	thau②	tʰau˥˥	
投	tau5	tau②	tau˥˥	
豆	tau7	tau⑥	tau˨˨	
逗	tau7	tau⑥	tau˨˨	
樓	lau5	lau②	lau˥˥	
摟	lou2	lou③	lou˥˧	
漏	lau7	lau⑥	lau˨˨	
漏	lau3	lau⑤	lau˨˩˨	
陋	lou6	lou④	lou˨˥	
走	tsau2	tsau③	tsau˥˧	
奏	tsau3	tsau⑤	tsau˨˩˨	
凑	tshou3	tshou⑤	tsʰou˨˩˨	
叟	sou2	sou③	sou˥˧	
嗽	sau3	sau⑤	sau˨˩˨	
勾	kau1	kau①	kau˦˥	
鉤	kau1	kau①	kau˦˥	
溝	kau1	kau①	kau˦˥	
狗	kau2	kau③	kau˥˧	
苟	kou2	kou③	kou˥˧	
枸	kau2	kau③	kau˥˧	
垢	kou3	kou⑤	kou˨˩˨	文
垢	kau2	kau③	kau˥˧	白
彀	kau3	kau⑤	kau˨˩˨	
夠	kau3	kau⑤	kau˨˩˨	
構	kou3	kou⑤	kou˨˩˨	
購	kou3	kou⑤	kou˨˩˨	
摳	khau1	khau①	kʰau˦˥	
口	khau2	khau③	kʰau˥˧	
叩	khau3	khau⑤	kʰau˨˩˨	
扣	khau3	khau⑤	kʰau˨˩˨	
扣	kha3	kha⑤	kʰa˨˩˨	
寇	khou3	khou⑤	kʰou˨˩˨	
藕	ngou2	ngou③	ŋou˥˧	文
藕	nau6	nau④	nau˨˥	白，新豐音
藕	kau6	kau④	kau˨˥	白，鳳凰音
偶	ngou2	ngou③	ŋou˥˧	
吼	hou3	hou⑤	hou˨˩˨	文
吼	hau2	hau③	hau˥˧	白
蔻	khou3	khou⑤	kʰou˨˩˨	
侯	hou5	hou②	hou˥˥	
喉	au5	au②	au˥˥	
猴	kau5	kau②	kau˥˥	
後	hau6	hau④	hau˨˥	~生
後	au6	au④	au˨˥	
厚	kau6	kau④	kau˨˥	
后	hou6	hou④	hou˨˥	
候	hau7	hau⑥	hau˨˨	
歐	au1	au①	au˦˥	
區	au1	au①	au˦˥	
嘔	au2	au③	au˥˧	
毆	au1	au①	au˦˥	
漚	au3	au⑤	au˨˩˨	
否	hounn2	hounn③	hõu˥˧	
否	phi2	phi③	pʰi˥˧	
富	pu3	pu⑤	pu˨˩˨	
副	hu3	hu⑤	hu˨˩˨	
浮	phu5	phu②	pʰu˥˥	
阜	hu6	hu④	hu˨˥	
負	hu6	hu④	hu˨˥	
婦	hu6	hu④	hu˨˥	文
婦	pu6	pu④	pu˨˥	白，新~
復	hiunn7	hiunn⑥	hiũ˨˨	
謀	mong5	mong②	moŋ˥˥	
矛	mau5	mau②	mau˥˥	
眸	mong5	mong②	moŋ˥˥	
鍪	bau5	bau②	bau˥˥	
紐	niu2	niu③	niu˥˧	
紐	nau6	nau④	niu˨˥	替，秤紐
扭	niu2	niu③	niu˥˧	
扭	nau6	nau④	niu˨˥	
留	liu5	liu②	liu˥˥	文
留	lau5	lau②	lau˥˥	白
榴	liu5	liu②	liu˥˥	
劉	lau5	lau②	lau˥˥	
流	liu5	liu②	liu˥˥	文
流	lau5	lau②	lau˥˥	白
硫	liu5	liu②	liu˥˥	
琉	liu5	liu②	liu˥˥	
柳	liu2	liu③	liu˥˧	
溜	liu3	liu⑤	liu˨˩˨	
酒	tsiu2	tsiu③	tsiu˥˧	
秋	tshiu1	tshiu①	tsʰiu˦˥	
就	tsiu6	tsiu④	tsiu˨˥	
修	siu1	siu①	siu˦˥	
羞	siu1	siu①	siu˦˥	
秀	siu3	siu⑤	siu˨˩˨	
囚	tshiu5	tshiu②	tsʰiu˥˥	
袖	siu3	siu⑤	siu˨˩˨	
肘	tiu2	tiu③	tiu˥˧	
晝	tiu6	tiu④	tiu˨˥	文
晝	tau3	tau⑤	tau˨˩˨	白
抽	thiu1	thiu①	tʰiu˦˥	
丑	thiu2	thiu③	tʰiu˥˧	
綢	tiu5	tiu②	tiu˥˥	
稠	tiu5	tiu②	tiu˥˥	
籌	thiu5	thiu②	tʰiu˥˥	
紂	tiu6	tiu④	tiu˨˥	
宙	tiu6	tiu④	tiu˨˥	
鄒	tsou1	tsou①	tsou˦˥	
皺	niau3	niau⑤	niau˨˩˨	
縐	niau3	niau⑤	niau˨˩˨	
愁	tshou5	tshou②	tsʰou˥˥	
驟	tsou6	tsou④	tsou˨˥	
搜	siau1	siau①	siau˦˥	
瘦	sou3	sou⑤	sou˨˩˨	
瘦	sou2	sou③	sou˥˧	又
漱	suak4	suak⑦	suak˧˨	俗
周	tsiu1	tsiu①	tsiu˦˥	
舟	tsiu1	tsiu①	tsiu˦˥	
洲	tsiu1	tsiu①	tsiu˦˥	
州	tsiu1	tsiu①	tsiu˦˥	
帚	siu2	siu③	siu˥˧	
帚	tsiu2	tsiu③	tsiu˥˧	又
咒	tsiu3	tsiu⑤	tsiu˨˩˨	
醜	tshiu5	tshiu②	tsʰiu˥˧	
醜	thiu5	thiu②	tʰiu˥˧	俗
臭	tshau3	tshau⑤	tsʰau˨˩˨	
收	siu1	siu①	siu˦˥	
手	tshiu2	tshiu③	tsʰiu˥˧	
首	siu2	siu③	siu˥˧	
守	siu2	siu③	siu˥˧	
獸	siu3	siu⑤	siu˨˩˨	
讎	tshiu5	tshiu②	tsʰiu˥˥	
酬	tshiu5	tshiu②	tsʰiu˥˥	
受	siu6	siu④	siu˨˥	
壽	siu7	siu⑥	siu˨˨	
授	siu6	siu④	siu˨˥	
售	tshiu5	tshiu②	tsʰiu˥˥	
柔	jiu5	jiu②	dziu˥˥	
揉	jiu5	jiu②	dziu˥˥	
鬮	khau1	khau①	kʰau˦˥	
九	kiu2	kiu③	kiu˥˧	文
九	kau2	kau③	kau˥˧	白
久	ku2	ku③	ku˥˧	
韭	ku2	ku③	ku˥˧	
灸	ku3	ku⑤	ku˨˩˨	
究	kiu3	kiu⑤	kiu˨˩˨	
救	kiu3	kiu⑤	kiu˨˩˨	
丘	khiu1	khiu①	kʰiu˦˥	
求	khiu5	khiu②	kʰiu˥˥	
球	kiu5	kiu②	kiu˥˥	
舅	ku6	ku④	ku˨˥	
臼	khu6	khu④	kʰu˨˥	
咎	kiu6	kiu④	kiu˨˥	
舊	ku7	ku⑥	ku˨˨	
柩	kiu6	kiu④	kiu˨˥	
牛	gu5	gu②	gu˥˥	
休	hiunn1	hiunn①	hiũ˦˥	
朽	hiunn2	hiunn③	hiũ˥˧	
嗅	hiunn3	hiunn⑤	hiũ˨˩˨	
憂	iu1	iu①	iu˦˥	
優	iu1	iu①	iu˦˥	
尤	iu5	iu②	iu˥˥	
郵	iu5	iu②	iu˥˥	
有	iu2	iu③	iu˥˧	文
有	u6	u④	u˨˥	白
友	iu2	iu③	iu˥˧	
又	iu6	iu④	iu˨˥	
右	iu6	iu④	iu˨˥	
宥	iu6	iu④	iu˨˥	
祐	iu6	iu④	iu˨˥	
油	iu5	iu②	iu˥˥	
游	iu5	iu②	iu˥˥	
悠	hiunn1	hiunn①	hiũ˦˥	
猶	iu5	iu②	iu˥˥	
由	iu5	iu②	iu˥˥	
酉	iu2	iu③	iu˥˧	
誘	iu2	iu③	iu˥˧	
柚	iu7	iu⑥	iu˨˨	
彪	piu1	piu①	piu˦˥	
丢	tiu1	tiu①	tiu˦˥	
糾	kiu6	kiu④	kiu˨˥	
幽	hiunn1	hiunn①	hiũ˦˥	
幼	iu3	iu⑤	iu˨˩˨	
耽	tam1	tam①	tam˦˥	
貪	tham1	tham①	tʰam˦˥	
探	tham3	tham⑤	tʰam˨˩˨	
潭	tham5	tham②	tʰam˥˥	
譚	tham5	tham②	tʰam˥˥	
南	lam5	lam②	lam˥˥	
男	lam5	lam②	lam˥˥	
婪	lam5	lam②	lam˥˥	
腩	lam2	lam③	lam˥˧	
參	tsham1	tsham①	tsʰam˦˥	
慘	tsham2	tsham③	tsʰam˥˧	
蠶	tshoinn5	tshoinn②	tsʰõi˥˥	
感	kam2	kam③	kam˥˧	
堪	kham1	kham①	kʰam˦˥	
坎	kham2	kham③	kʰam˥˧	
坎	kham1	kham①	kʰam˦˥	~坷
坎	kham3	kham⑤	kʰam˨˩˨	
砍	kham2	kham③	kʰam˥˧	
勘	kham1	kham①	kʰam˦˥	
含	ham5	ham②	ham˥˥	文
含	kam5	kam②	kam˥˥	白
函	ham5	ham②	ham˥˥	
撼	ham2	ham③	ham˥˧	
憾	ham6	ham④	ham˨˥	
憾	ham7	ham⑥	ham˨˨	
庵	am1	am①	am˦˥	
諳	am1	am①	am˦˥	
暗	am3	am⑤	am˨˩˨	
擔	tam1	tam①	tam˦˥	文
擔	tann1	tann①	tã˦˥	白
膽	tann2	tann③	tã˥˧	
擔	tann3	tann⑤	tã˨˩˨	白
坍	tham1	tham①	tʰam˦˥	
毯	than2	than③	tʰan˥˧	
痰	tham5	tham②	tʰam˥˥	
談	tham5	tham②	tʰam˥˥	
淡	tam6	tam④	tam˨˥	文
淡	tann6	tann④	tã˨˥	白
藍	lam5	lam②	lam˥˥	文
藍	na5	na②	nã˥˥	白，姓氏
籃	lam1	lam①	lam˦˥	替，豬~
籃	na5	na②	nã˥˥	
欖	lam2	lam③	lam˥˧	文
欖	na2	na③	nã˥˧	白
攬	lam2	lam③	lam˥˧	
覽	lam2	lam③	lam˥˧	
纜	lam2	lam③	lam˥˧	
濫	lam6	lam④	lam˨˥	
慚	tsham5	tsham②	tsʰam˥˥	
暫	tsiam6	tsiam④	tsiam˨˥	
三	sam1	sam①	sam˦˥	文
三	sann1	sann①	sã˦˥	白
柑	kam1	kam①	kam˦˥	文，油~
柑	kann1	kann①	kã˦˥	白
泔	kam1	kam①	kam˦˥	
甘	kam1	kam①	kam˦˥	
敢	kann2	kann③	kã˥˧	
橄	kann1	kann①	kã˦˥	
蚶	ham1	ham①	ham˦˥	
喊	ham3	ham⑤	ham˨˩˨	
邯	ham5	ham②	ham˥˥	
酣	ham1	ham①	ham˦˥	
站	tsam6	tsam④	tsam˨˥	
賺	tsuan3	tsuan⑤	tsuan˨˩˨	文
賺	tann7	tann⑥	tã˨˨	白，錯誤
賺	than3	than⑤	tʰan˨˩˨	訓“趁”
斬	tsam2	tsam③	tsam˥˧	
蘸	tsam3	tsam⑤	tsam˨˩˨	
讒	tsham5	tsham②	tsʰam˥˥	
饞	tsham5	tsham②	tsʰam˥˥	
杉	sam1	sam①	sam˦˥	
尷	kam1	kam①	kam˦˥	
減	kiam2	kiam③	kiam˥˧	
槛	kham2	kham③	kʰam˥˧	
槛	kham3	kham⑤	kʰam˨˩˨	
鹹	kiam5	kiam②	kiam˥˥	
咸	ham5	ham②	ham˥˥	
陷	ham7	ham⑥	ham˨˨	
懺	tshiam1	tshiam①	tsʰiam˦˥	
