#符号说明：-白=文/书*俗?待考	
#调值	[1]³³⁴[2]¹¹²[3]⁵⁵[6]³²⁴[7]⁵[8]¹³
#ɿ	
tɕ	[1]专绢娟鹃捐均钧君[3]转{~动}眷券{国库~}準2{~备}菌[6]倦
tɕʰ	[2]船权颧椿群[3]喘串券{金圆~}犬蠢
ɕ	[2]玄悬循莼弘[3]殉舜
Ø	[1]渊[2]元原阢袁辕援[3]允永泳咏[6]韵孕

#ɑ᷉	
p	[1]邦浜[3]谤[6]蚌棒
pʰ	[2]滂旁傍庞
m	[2]芒{~种}茫盲虻[3]莽
f	[1]芳[2]妨仿[3]肪仿{~造}访
t	[3]党
tʰ	[2]棠螳
l	[2]螂[3]囊壤嚷[6]朗
ts	[1]赃臟[3]藏{西~}[6]仗
tsʰ	[1]苍[2]场[3]创倡
s	[3]嗓丧{~失}畅
k	[1]冈岗刚纲江1
kʰ	[1]康炕[3]慷抗
x	[2]行{银~}航杭[6]项
Ø	[1]肮

#iɑ᷉	
l	[2]良粱[6]谅量{数~}
tɕ	[1]疆缰江2[3]蒋奖{~状}
tɕʰ	[1]羌[2]详祥强{~盗}[3]强{勉~}
ɕ	[3]襄晌[6]橡
Ø	[1]殃[2]扬[3]疡

#uɑ᷉	
k	[3]广
kʰ	[1]匡筐眶[2]逛[3]旷矿
x	[1]谎晃[3]况
Ø	[1]汪[2]簧蝗亡[3]枉往{来~}[6]妄望{希~}旺{兴~}

#yɑ᷉	
tɕʰ	[1]窗
ɕ	[1]孀

#ᴇɲ	
p	[1]奔
pʰ	[2]朋
m	[6]孟
f	[1]芬纷[2]焚[S7]奋[6]愤忿
t	[1]敦登[6]顿{停~}钝邓{姓}邓
tʰ	[2]屯豚臀腾誊疼
l	[1]扔[2]人仁仑伦沦能仍[3]纫[6]赁壬任{姓}任{责~}论{~语；议~}润
ts	[1]臻诊尊薄增争憎曾{~经}僧2赠征侦[3]镇{乡~}疹振证症[6]郑{姓}
tsʰ	[2]成趁澄惩橙承丞拯诚[3]衬{~衫}[6]阵
s	[1]生深森僧1生{医~}笙[2]晨[3]沈审损逊胜{~利}省{反~}[6]甚肾慎盛{兴~}
k	[3]粳埂耿
kʰ	[3]看2恳垦啃 
x	[1]亨[2]痕恒衡[3]很

#ieɲ	
p	[1]彬宾槟[3]贬禀丙秉业
pʰ	[2]频凭评屏[3]品
m	[2]萌鸣盟铂[3]悯敏
t	[1]丁鼎[6]锭
tʰ	[2]廷庭[3]艇挺
l	[2]鳞磷吝陵伶[6]令
tɕ	[1]今津[3]锦晋仅谨俊荆擎境景警敬竟竞靖径[6]盡
tɕʰ	[1]侵卿[2]禽擒芹巡鲸[3]寝庆倾顷
ȵ	[2]吟
ɕ	[1]掀1欣[2]旬行{~为}[3]掀2荀迅[6]行{品~}幸
