	注释：白-，文=
k	[1]瓜[3]寡葛-割-括刮[5]挂卦
kʰ	[1]誇[3]渴润[5]垮跨
x	[1]花活滑猾乏罚[2]华桦铧划{～算}[3]法发割-[5]化[6]画话=
∅	[1]蛙漥挖[3]瓦=[6]话-{～事：说话}
#æ	
p	[1]拔[3]八拨-
pʰ	[2]排牌[5]稗[6]避
m	[2]埋[3]买[5]□{凹下}[6]卖
t	[3]底-
tʰ	[1]截{～布：买布}[3]擦-[5]砌[6]□{浸}
n	[2]泥-[5]聂
l	[1]辣[2]犁黎[3]□{舔}[6]荔离
ts	[1]斋[2]挤[3]纸-节-[5]债
tsʰ	[1]□{冻裂}[3]插[5]□{～箬：树叶}[6]寨
s	[1]撕西-{～溪：地名}[2]蛇茜{～：地名}[3]洗-杀=[5]细-婿-[6]舐-
k	[1]街[3]解-夹=裌峡[5]芥-疥-寄-[6]嘎{叫声}
kʰ	[1]夹-[2]骑-[3]徛{站立}[5]□{砍}
x	[1]达碟狭-[2]鞋[3]弟贴帖{一～药}[5]剃-瞎-
∅	[1]挨[3]矮
#ie	
p	[3]厌鳖[5]蹩[6]□{用拇指和中指弹物}
pʰ	[1]别[3]撇瞥[5]劈
m	[1]灭篾
t	[3]跌
tʰ	[1]捷睫[3]妾切=[5]窃
n	[1]业热孽[3]捏[5]蚁-
l	[1]列裂猎烈
ts	[3]接节=栉疖折浙哲
tsʰ	[1]□{出秽语}[3]湿拭[5]□{钹}
s	[1]涉舌食-胁协侠狭=[3]写=[5]卸泄洩
k	[3]劫结诘洁[6]夹-
kʰ	[1]杰揭=□{用扁担单头翘物}[3]□{断绝往来}[5]揭-{～开}
x	[3]歇
h	[1]撤=沏叠牒[3]帖{字～}贴=铁[5]帖{请～}
∅	[1]叶页谍蝶-[5]椅[6]易{容～}
#oi	
p	[3]百=伯=柏
pʰ	[1]白=帛[3]迫魄拍=
m	[1]末墨默陌麦=脉[2]勿-[3]尾-[5]妹-糜-{～粥}[6]抹=
t	[3]德得
tʰ	[1]贼=[3]在-[5]贼-
n	[1]额勒[3]□{用手指摘}
ts	[1]栽[2]脐-[3]子-则责摘=[5]仄
tsʰ	[1]宅[3]测侧策[6]□{水中捞物}
s	[3]使-{用}色涩塞[6]虱□{刺}
k	[1]鸡[3]革格=隔=
kʰ	[1]溪[3]起-刻客=□{翅膀}
x	[1]合核辖[3]黑[6]褐
h	[1]直[3]踢
∅	[3]遏厄扼呃
#o	
p	[1]波玻菠褒[3]保堡褓宝驳钹[5]报簸[6]□{棍打}
pʰ	[1]坡薄[2]婆袍扶-□{鼓起}[3]剖朴扑[5]破=雹[6]抱
m	[1]抹幕摸[2]魔摩毛={姓}磨={～刀}[3]膜[5]毛-{羊～}[6]磨{石～}冒帽□{没有}
t	[1]多刀[3]朵躲剁岛倒[5]到倒{～水}
tʰ	[1]拖操臊凿[2]曹槽[3]草早-[5]锉错造糙[6]坐=座
n	[2]鹅娥蛾俄捼熬遨[3]我脑恼[6]饿卧糯傲
l	[1]落=洛络烙乐[2]罗锣箩=螺=骡脶劳牢[3]老[5]落-[6]捞=
ts	[1]遭[3]左作桌啄早=枣[5]做
tsʰ	[1]浊镯[3]戳
s	[1]蓑梭唆骚[3]锁琐索缩朔溯溯[5]扫嫂露-
k	[1]哥歌高膏=篙羔糕[3]稿各阁角[5]个告
kʰ	[1]柯戈科窠磕敲[3]可壳确考㛈烤[5]去
x	[1]合盒喝{～采}鹤学-[2]何河荷{～花}毫豪[3]好{～好}膏-{猪～：猪油}[5]好{爱～}荷{薄～}过-[6]贺号浩
h	[2]舵桃逃陶涛[3]妥托託讨[5]套-{袜子}[6]惰稻盗道导
∅	[1]阿{～胶}□{煮}[3]恶{善～}握{～手}[5]奥澳沃握{把～}
#io	
p	[3]剥
pʰ	[1]缚-[3]曝
t	[3]着-{给}
tʰ	[6]妁{得人～：可爱}□{捏}
n	[1]若弱溺[3]捼[5]箬{叶子}
l	[1]掠略
ts	[1]嚼[3]着{穿着}[6]灼{火烤}
tsʰ	[3]尺-[5]勺=□{欺骗}
s	[1]石-硕-[2]□{～货：劣货}[3]削拾{捡}[5]□{用棍打}
k	[3]脚
kʰ	[3]却螫
∅	[1]钥药[3]约
#uo	
k	[1]锅过{～期}[3]果馃裹郭[5]过{罪～}
kʰ	[1]科戈窠[3]棵哭-扩廓[5]课
x	[2]和{～气}[3]火-伙夥{～计}霍[5]货和{～诗}□{脾气坏}[6]祸缚=
∅	[1]窝蜗[2]禾=[3]□{刮耳光}[5]□{～人来：叫人来}
#ɿ	
ts	[1]资姿咨谘兹滋疵雌租[3]紫子=纸=祖走-[5]灶
s	[1]丝思斯司私似伺师狮[2]瓷餈辞词祠饲慈嗣[3]死=使=史驶豕此[5]四=次赐待素{菜}[6]寺祀痔士仕柿事巳字自=
#i	
n	[1]日={～本}入[2]宜倪疑逆[3]你=耳=拟[5]日-{～子}[6]二义议蚁=毅艺谊
ts	[1]支枝肢脂之芝屐[3]纸-旨指止址祉执汁织={组～}职祇[5]志就痣制至织-{～布}
tsʰ	[1]痴□{窥视}[3]齿侈尺=[5]翅试-
s	[1]施诗尸尻十什拾饰食=石=硕=实熙[2]时匙[3]始屎矢是豉失识室锡释适析[5]世细=试=式拭[6]誓市示视恃
k	[1]鸡=稽肌饥基箕机讥姬[3]几己纪杞急级汲吸吉戟激击[5]计寄=记=既继冀髻
kʰ	[1]溪=欹欺=及[2]骑其奇期棋旗祈岐歧祁[3]启起=岂乞隙[5]契柿-{～树垄：地名}气=弃器[6]技忌妓企
x	[1]希稀晞牺嬉=[3]喜[5]戏[6]系係
h	[1]梯直=侄秩值植殖笛[2]蹄提题啼=池迟驰弛[3]体耻踢□{伸手}[5]啼-剃=替[6]弟=第地治稚
∅	[1]衣依伊医逸[2]儿移夷姨而饴怡贻寅[3]椅=亦=以已一乙益噎[5]意忆亿易{容～}[6]异肄易{易～}
#ui	
p	[1]悲杯[3]不[5]背辈
pʰ	[1]坯胚推勃秃[2]肥培陪赔=[3]腿-啡{吐出}[5]屁-退-锤-配-[6]倍焙吠-背{～诵}佩兑
m	[1]没={沉～}[2]梅=枚[3]每莓[6]妹=昧寐
t	[1]堆追[3]□{放置}[5]对=队碓
tʰ	[1]推崔催摧[3]腿=[5]退=碎脆粹瘁□{熨}[6]罪
n	[2]危[3]伪诿蕊[6]内魏
l	[2]雷=擂[3]累{～计}垒儡屡[5]累{连～}[6]类泪彙锐
ts	[1]锥[3]嘴卒[5]最赘醉
tsʰ	[1]吹炊[2]锤=[3]□{仆倒}[5]翠
s	[1]虽[2]垂随髓谁[3]水塞-[5]岁=税穗说{游～}[6]睡瑞遂邃隧
k	[1]龟归规[3]鬼轨诡国骨[5]贵桂季癸
kʰ	[1]亏盔魁窥[2]逵葵[3]傀[5]块=愧窟[6]溃膭跪柜
x	[1]飞=挥辉徽嬉-{玩}灰恢诙妃佛或[2]回茴逛[3]匪毁忽贿[5]肺废痱费讳晦悔[6]会绘汇惠吠=慧坠
∅	[3]委纬苇萎伟尾=[5]位畏[6]为{～了}未味胃谓
#u	
p	[3]补=卜腹-[5]布=怖怖[6]埠
pʰ	[1]铺[2]菩蒲脯[3]普谱甫浦哺覆-[5]埔铺{十里～}[6]步部簿捕晡
m	[1]木目=枚穆[2]模摹[3]母姆拇[5]目-[6]墓
t	[1]都[3]肚赌督堵昼={日～：白天}贮{盛饭}[5]妒昼-{食～：吃午饭}
tʰ	[1]粗族[3]取[5]醋措
n	[2]奴吴蜈梧吾[3]五午伍[6]怒误悟
l	[1]鹿炉芦庐鸬[3]鲁橹虏滴[6]路露=赂
ts	[3]阻组
tsʰ	[1]初烧-[2]锄雏[3]楚础粟-[5]笑-[6]助
s	[1]苏疏梳蔬酥[3]所速[5]素数六-芦-
k	[1]姑菇=孤估□{用指甲捏}[3]古牯鼓臌股谷[5]故固锢雇顧
kʰ	[1]枯□{霉}[3]若虎-哭=酷[5]库裤[6]□{无能}
x	[1]夫麸服伏袱斛[2]胡湖=糊壶弧瓠=呼符扶=浮=孵[3]虎=斧=福幅復複=覆=茯[5]付富咐傅{姓}[6]户沪护互傅{师～}腐妇=
h	[1]独读犊牍毒[2]徒涂壅途图屠[3]土[5]吐兔[6]度渡镀杜
∅	[1]乌坞钨污[2]无湖-{大～：地名}[3]武舞菇-屋□{毁}[5]恶{可～}[6]务雾戊
#iu	
t	[1]丢[3]竹筑[5]昼-□{掐}
tʰ	[1]秋鞦鬚-逐=[2]囚泅=[3]促[6]就
n	[1]肉=玉狱[2]牛=柔揉[3]扭纽莠诱[5]肉-□{绳线乱成团}
l	[1]六=录绿溜[2]留榴瘤刘流琉硫[3]柳
ts	[1]周州洲遇舟揪珠-{目～}[3]酒守-{～岁}炙祝嘱烛[5]咒粥祝-{庆～}□{犟}□{绞}
tsʰ	[3]醜手-帚肘束触[5]臭
s	[1]修收休俗熟蜀赎羞[2]仇酬[3]手=首守=朽粟=宿叔畜蓄旭[5]秀锈绣兽宿{星～}[6]寿受授售
k	[1]纠鸠[3]九久韭[5]救究柩
kʰ	[1]丘坵邱局[2]球求[3]曲=糊菊臼-[5]曲=[6]舅=臼=旧咎
h	[1]抽轴逐[2]绸稠筹畴[3]缩-丑[6]宙轴{车～}
∅	[1]幽悠优忧育辱褥欲慾鬰[2]犹游[3]有酉[5]幼[6]又右祐柚粙
#y	
p	[2]瓠-[3]斧-[5]布-
pʰ	[2]浮-[3]补[6]妇-菢
t	[1]猪蛛[5]著
tʰ	[2]徐储[3]取-娶-[5]趣[6]聚趋
n	[2]鱼渔愚牛-虞[3]女语乳[6]御禦遇
l	[1]律滤[2]驴[3]吕旅[5]□{用刀划开}[6]虑
ts	[1]朱珠=硃株铢诛诸[3]主煮[5]注蛀驻褚[6]住=
tsʰ	[3]出[5]厝处
s	[1]书舒输殊需须鬚秫术[2]薯[3]鼠暑黍戍[5]絮恕序绪塑[6]树竖戌绥
k	[1]车居拘驹[3]举矩韭-桔[5]句锯剧据=
kʰ	[1]区驱箍掘[2]渠=[3]曲-屈舅-[5]去=[6]巨具俱旧-瞿[1]瞿惧拒距
x	[1]虚墟嘘[3]雨-后-许
h	[2]除厨贮[3]苧[5]锄-{动}[6]箸渠{他}柱-住-
∅	[1]于於竽予域役疫[2]余馀如茹儒孺[3]与雨=有羽熨有-羽熨[6]屿宇禹预豫誉芋愈裕盂
#ei	
p	[1]卑碑蜱{臭虫}□{拔}[3]比彼必笔逼碧壁=璧=[5]闭痹祕泌庇□{没于水}[6]臂箅
pʰ	[1]批披胚坯[2]皮疲脾枇琵[3]否鄙僻闢癖[5]譬鼻-[6]备被{～动}敝蔽警弊舞避=婢{～牯pʰei6 ku3：婢女}
m	[1]密蜜觅[2]媒=糜=眉=楣=迷弥媚谋[3]米美某牡亩[6]谜茂
t	[1]知低兜□{抢}[3]底滴敌斗抖[5]帝致緻智置鬥
tʰ	[1]妻集籍疾{痛}[2]齐餈[3]七漆戚讨-□{甩}[5]凑截-[6]自-
n	[2]尼泥=[3]偶藕纽
l	[1]立粒笠力=[2]离厘篱梨来-楼缕[3]李里裏=理鲤履璃礼篓曆[6]利吏俐痢丽厉励例漏陋历
ts	[1]脐=邹糟-{酒～}[2]挤[3]姊积迹绩走[5]祭鲫脊=奏
tsʰ	[1]馊□{抓}[2]巢[3]柱
s	[1]西犀雪袭夕席蓆搜[2]凄愁[3]徙死-玺膝息锡悉熄媳昔惜[5]四-婿=嗽瘦
k	[1]沟钩阄[3]狗苟垢[5]够构购
kʰ	[1]抠[2]□{冻结}[5]扣寇叩
x	[2]侯喉猴[3]厚-[6]厚=后後=候
h	[1]偷[2]头=投[3]敨{～气}[5]透头-[6]豆痘
∅	[1]欧瓯[3]呕[5]沤
#ø	
pʰ	[1]□{水沟}[3]飞-被{～单}陂{小水坡}
t	[3]辍□{绊脚}[5]□{笨}[6]□{踢}
tʰ	[1]绝
n	[1]月[2]鱼[6]□{揉}
l	[1]劣捋
ts	[3]拙
tsʰ	[1]吹[3]啜
s	[1]□{旋转}□{沸起}[3]雪说痒[5]岁-泅-
k	[1]搂[3]决蕨{魔芋磨成浆打击成块切片油炒而成的食物}[5]锯-记-
kʰ	[2]茄{～子}瘸桥-[3]缺乞{～食kʰø3 sie1：乞丐}[5]气-{呼～}[6]□{打～：有病}
x	[1]墟[2]□{怒视}[5]□{拳击}[6]□{路}
∅	[1]□{放置}[3]□{摁}
#yø	
x	[1]靴穴伐筏罚-[3]血[5]□{戽}
∅	[1]悦阅越[3]曰[5]秽{杂草}
#ai	
p	[3]摆[5]拜簸
pʰ	[5]派破-[6]败
m	[2]磨-{～刀}[5]蔴{芝～}
t	[1]呆獃[3]歹[5]带戴
tʰ	[2]才财材裁[3]采彩睬[5]菜蔡[6]在=
n	[1]挨[2]奶=[3]乃[5]□{捅一拳}[6]耐-奈碍艾
l	[2]来-[6]赖癞
ts	[1]灾栽=斋=□{拳击}[3]宰载{年～}[5]载{～重}
tsʰ	[1]差钗[3]猜[5]□{饿死}
s	[1]沙-筛-□{用指甲抓}[2]柴豺[3]洒[5]赛箩-[6]撒
k	[1]皆阶[3]解[5]介芥界疥戒届
kʰ	[2]揩[3]凯楷[5]概慨溉械
x	[2]孩骇[5]咳[6]蟹
h	[1]拖-胎[2]台奶-苔[5]太泰[6]大代袋贷待埭逮
∅	[1]挨[3]倚-蔼霭[4]隘
#uai	
pʰ	[1]□{漂走}[2]赔-[3]背{左}[5]退-配[6]焙-背{～书}袋-{衣兜}
m	[2]眉-楣-梅-媒-霉-
t	[3]短[5]对-
tʰ	[1]催揣{研磨}[3]坐-
n	[6]外=
l	[2]雷[3]□{罗集}[6]累-{劳～}
ts	[1]脧{男阴}
s	[1]衰□{瘦}[5]赛-帅螺-裏-
k	[1]乖该阶-{楼～}[3]拐改[5]怪盖
kʰ	[1]开[3]火[5]块-会{～计}快桧
x	[1]灰-[2]怀淮槐[3]海[6]害亥坏
∅	[1]歪煨-哀[2]禾-和-[3]夥-{多}[5]爱[6]外-
#au	
p	[1]包胞[3]饱[5]豹暴爆瀑
pʰ	[1]抛刨[2]刨[3]跑鲍[5]泡炮雹脬
m	[2]矛茅靛[3]卯铆[5]冒帽猫-[6]貌
t	[1]吊[5]鸟-
tʰ	[5]套
n	[3]恼[6]闹
l	[1]䁖[2]□{惹}寮{坪～：地名}[6]料-廖
ts	[1]糟-[3]爪[5]
tsʰ	[1]抄钞[2]巢[3]炒吵[5]□{乱动}
s	[1]萧-梢稍捎收-[3]捎{无意中取走}[5]捞{找}
k	[1]交郊胶皎[3]搞狡绞搅[5]教较校{～对}窖
kʰ	[1]敲{～诈}骹{脚}[3]巧[5]靠铐敲{～竹杠}
x	[2]条-[3]咬[5]孝酵[6]校{学～}效
∅	[1]凹坳□{委曲}[3]拗{～断}[5]拗{固执}
#iau	
p	[1]标彪镖臕[3]表錶婊[5]□{分赠}
pʰ	[1]飘漂{～流}[2]瓢薸=嫖[5]漂{～白}票薸
m	[2]猫=描瞄[3]秒渺藐杳[5]妙[6]庙谬
t	[1]朝{今～}刁雕貂[3]□{反驳}[5]钓吊=调{～查}
tʰ	[1]锹[2]樵{～夫}[3]挑[5]俏樵{柴火}[6]瞧
n	[2]尧[3]扰鸟=[6]尿绕
l	[2]辽寥瘵疗燎聊[3]了[6]料=
ts	[1]焦蕉礁椒昭拓[3]剿[5]照诏醮
s	[1]消宵肖销硝萧=霄烧=[3]小少晓[5]笑=鞘肖{不～}[6]邵绍韶
k	[1]娇骄浇[3]绞-缴矫饺[5]叫
kʰ	[1]敲-{柔取}[2]桥[3]挢[5]翘躇窍撬[6]轿
h	[1]挑{～选}超[2]朝{～代}潮条=调{～和}[5]跳粜[6]赵兆召
∅	[3]舀[5]要{重～}[6]耀鹞
#an	
p	[1]班斑癍颁扳般=[3]板坂版扮[5]遍-
pʰ	[1]翻攀[3]瓣[5]盼攀[6]办
m	[2]蛮[5]慢{快～}蔓漫幔[6]慢{迟}
t	[1]单丹[3]□{跌}[5]旦但=蛋诞弹{子～}
tʰ	[1]干餐[2]残[5]灿前-探
n	[2]难颜[3]眼[5]年-[6]念-雁难-{患～}
l	[2]兰栏拦[3]□{口水}懒[6]烂
ts	[3]盏剪-精-{～英}[5]赞讚占站
tsʰ	[2]缠-[3]筅={～扫}□{脾气不好}[5]筅-{～炊帚}霰{雪珠}
s	[1]山=先-删[3]散{药～}产[5]散{分～}汕疝讪
k	[1]干{～支}间奸矮肩-[3]赶拣简柬茧碱[5]干{～部}间{～接}谏
kʰ	[1]看刊□{器皿未装满}[3]□{盖住}[5]看
x	[1]酣[2]闲[3]罕[5]苋-笕{引水竹管}[6]限
h	[1]滩摊天-[2]弹{～琴}壇檀甜-[3]坦[5]炭叹[6]但-
∅	[1]俺[5]晏□{斜卧}
#ien	
p	[1]边编鞭[3]扁贬[5]变遍=
pʰ	[1]篇偏[2]骈便{～宜}[3]劈{～樵}[5]片骗[6]辩辫辨便{方～}汴
m	[2]棉绵[3]免娩勉[5]面{脸}[6]面{方～}麵缅砚
t	[1]颠癫巅[3]点典[5]店=
tʰ	[1]千迁签韆[2]钱前=[3]浅[6]贱践
n	[1]拈[2]黏言年=严[3]染碾研撵[5]蔫{枯萎}[6]念=验谚
l	[2]连莲联廉镰簾[3]脸敛[6]练炼链楝
ts	[1]尖檄煎占詹瞻笺[3]展剪-[5]占{～卜}佔箭饯溅战荐
tsʰ	[2]缠=[5]秤[6]鳝-
s	[1]仙鲜先升{～斗}轩[2]檐蝉嫌贤[3]远-闪癣陕显险[5]线扇还-宪献[6]善膳鳝=现
k	[1]兼肩=[3]检碱[5]剑见建囝{儿子}
kʰ	[1]谦愆牵-[2]钳乾虔□{山腰}[3]遣谴□{豆架}[5]欠芡[5]件俭健
h	[1]天=添[2]甜填滇田=[3]忝[6]佃奠殿垫
∅	[1]烟淹腌阉燕{～山}[2]炎阎盐然燃延筵涎衍-焉[3]演掩[5]燕{～子}宴厌焰[6]电艳剩衍=
#uan	
p	[1]搬[5]半□{扶稳}
pʰ	[1]潘吞-[2]盘朋[3]断[5]判褪{脱衣}[6]伴绊段缎塅断=
m	[2]瞒鳗[3]满
t	[1]端[3]短断-{使～}
tʰ	[2]团[6]断{决～}□{提出}
n	[2]顽撚[3]暖卵阮[6]岸
l	[6]乱
ts	[1]钻-{～洞}[3]转-{朵}[5]钻={～探}[6]纂
tsʰ	[3]铲[5]窜篡[6]赚撰
s	[1]山-闩酸[3]卵-[5]算蒜鳞-
k	[1]□{旁边}肝竿乾官棺观冠鳏关[3]秆管管馆[5]灌贯罐惯观{寺～}冠{～军}
kʰ	[1]宽[3]款侃[5]宽{～松}
x	[1]番翻=[2]寒韩还=环[3]旱反[5]贩饭=汉鼾[6]汗翰换唤焕焊患幻缓宦
∅	[1]安鞍弯湾[2]丸圆纨[3]宛腕菀碗豌晚挽輓[5]案按[6]万
#on	
p	[1]崩冰
m	[2]萌盟
t	[1]登灯钉{名}[3]等顶[5]钉{动}
tʰ	[2]层曾{～经}[5]塍{田}[6]赠
n	[2]能[6]韧
l	[2]零铃-[3]冷-
ts	[1]曾增争筝[5]憎
tsʰ	[1]撑
s	[1]森参{人～}生=甥牲=笙星-[3]省=[5]腥
k	[1]更{五～}庚耕[5]更{～加}梗哽粳耿
kʰ	[1]轻[3]肯[5]□{垫}
x	[1]亨[2]行{～为}恒[3]很狠[6]恨行{品～}幸倖
h	[1]厅-[2]庭-藤腾膳[6]杏定{～钱}邓
∅	[1]恩[5]应-
#øn	
tʰ	[2]全泉荃铨秦
n	[2]元原源=[3]软[5]源-{刍队～：地名}[6]愿
l	[2]联{缝衣}[6]恋
ts	[1]专砖臻榛[3]转[5]颤
tsʰ	[1]川钏穿[3]喘[5]串襯衬
s	[1]宜萱煊[2]旋船[3]选[6]□{镶衣边}
k	[1]娟鹃涓根跟筋[3]捲[5]绢眷券
kʰ	[1]圈牵-[2]权拳颧[3]犬肯垦恳近[5]劝[6]倦
x	[2]痕[2]传{～达}[3]转-{回还}[5]和{连词}[6]传{自～}
∅	[3]□{重新量过}
#yøn	
x	[2]玄眩悬[5]楦
∅	[1]冤渊[2]员圆袁辕沿铅缘园完丸-[3]远=援[5]怨[6]院县
#ən	
p	[1]兵宾槟彬斌冰=分-[3]丙柄=饼=秉禀[5]并併=畚鬓殡
pʰ	[1]拼[2]平=贫频凭瓶[3]品[5]聘姘饼=[6]饭-
m	[2]民眠名=铭螟暝冥闽[3]敏闵悯皿[5]□{埋}[6]命={～令}
t	[1]丁哲钉={名}疔贞侦祯徵珍玷[3]顶=鼎=[5]镇钉={动}订
tʰ	[1]亲请青=请=[2]情=晴=[3]寝靖[5]凊{冷}[6]尽净=静=
n	[2]宁[6]佞
l	[2]铃=怜邻鳞=燐菱陵凌灵林淋临[3]冷=领=岭=[6]令另
ts	[1]精=侵浸津[3]井=[5]进
s	[1]心芯辛新薪莘星=醒=[5]信讯迅顖性姓=
#in	
l	[2]人仁吟银迎=[3]忍荏耳=[6]认任
ts	[1]针斟甄箴真征蒸[3]枕震疹诊整[5]振正=政症证
tsʰ	[1]蛏声-称{～呼}[5]趁秤称{相～}
s	[1]深欣掀申呻伸身升=声=兴[2]辰娠晨神剩=臣乘承成=诚诚=刑形型[3]审沈[5]圣胜兴{高～}[6]肾慎盛
k	[1]金今襟巾斤京惊=荆经[3]锦仅谨紧景境警茎=[5]禁劲敬竟竞镜=[6]颈径迳
k	[1]轻=卿[2]琴禽擒芹勤[5]庆[6]妗=近=
h	[1]厅=[2]沉陈尘澄橙呈程亭停庭=□{响}[3]逞挺[5]听{任～}=[6]定=炖阵
∅	[1]音阴因姻茵殷鹰莺缨蘡英[2]淫赢=[3]饮引稳影=[5]荫印应=[6]孕
#un	
p	[1]奔[3]本[5]畚-笨
pʰ	[1]吞=[2]盆[3]□{推倒}[5]喷[6]钝
m	[2]门[3]吻{闭□}[5]问-蚊-[6]闷
k	[3]滚[5]棍□{机灵}
kʰ	[1]昆崑坤[3]綑[5]困
x	[1]分=芬纷荤轰[2]昏魂浑焚坟宏横=[3]粉[5]奋冀[6]混份
∅	[1]温瘟[2]文纹蚊=闻浑-{水～}[3]稳[5]搵{沾}[6]问=
#yn	
t	[1]敦墩[3]囤盾{～牌}[5]盾{矛～}顿扽饨遁
tʰ	[1]村[2]存[3]忖[5]寸
n	[5]润-{不干}[6]润=嫩
l	[2]仑崙沦伦轮抡[3]□{食肉析骨}[5]论
ts	[1]尊遵鳟[3]准[5]圳晋俊
tsʰ	[1]春深-[3]蠢
s	[1]孙[2]寻巡唇纯醇旬荀询循驯蝇绳[3]笋榫损[5]逊殉舜婶[6]顺
k	[1]君军均钧
kʰ	[1]倾薰-[2]裙群琼[3]菌顷妗-窘[6]郡
x	[1]薰=勋兄=[5]训
#ŋ	
ts	[1]宗综棕鬃[3]总[5]粽
s	[5]送宋
h	[1]通[2]同铜桐筒=童瞳潭-{池～：地名}[3]桶统[5]痛虫-[6]动洞
∅	[1]翁央动[2]筒-[5]瓮{～菜}[6]唔{不}
#aŋ	
p	[1]邦[2]呯[3]□{阻挡}[5]柄-□{钻进草蓬}
pʰ	[1]乓□{训斥}[2]庞彭澎膨棚-[5]甏{小口瓮}[6]病-{红肿块}
m	[3]猛-{～天：热天}[5]芒-{麦～，鱼骨}
t	[1]耽担{担子}[3]胆[5]□{受硬物顶压}
tʰ	[1]参[2]蚕=[3]惨惭[5]趟[6]暂渐
n	[2]男南岩[3]赧{～人：丢脸}[5]岩{～坑：地名、土～：小山洞}[6]硬
l	[2]蓝篮[3]览缆揽[6]滥
ts	[1]□{骹～：脚跟}□{轻挖}[3]斩[5]□{擎住}[6]栈
tsʰ	[1]搀[2]□{双脚跳}[3]抢-铲-{～饭}[5]撑
s	[1]三衫杉生-[3]省[5]篮-
k	[1]监{～视}[3]减埂[5]监{太～}舰-降
kʰ	[1]坑-坎=[3]□{捏、掐}
x	[1]蚶夯[2]含咸衔行-{走}[5]喊[6]陷馅
h	[1]贪[2]潭痰谈[3]担{挑}伉{我}[6]淡
∅	[1]腌-
#iaŋ	
p	[5]併-饼-
pʰ	[1]□{一大片}[2]坪平
m	[1]□{倒下}[2]明-{～朝}暝-{夜}[5]名-[6]命-
t	[3]鼎{锅}[5]□{久病不死}[6]顶-{～出大肚子}
tʰ	[1]青-生-{不熟}[2]情-{亲～：亲戚}晴-[3]请-醒-䭕-{味淡}□{果实未熟即落}[5]倩-{帮工}[6]净-
n	[2]迎-[3]□{～头：点头}[5]□{看}
l	[3]领-岭-
ts	[1]正-{～月}精-{美}[3]井-整-{～修}[5]正-
s	[1]兄-[2]成-城-[5]姓-□{逗引}
k	[1]惊-[3]颈-[5]镜-
kʰ	[2]擎[5]罄-
h	[1]听-[2]程-埕-{晒谷场}[5]痛{冻痛}[6]郑
∅	[2]赢-{输～}[3]□{招手}
#uaŋ	
k	[1]梗{菜～}[3]梗{木茎}□{质硬}
kʰ	[3]□{火笼}
x	[5]横-[6]泛范犯
∅	[2]横-{不听话}
p	[1]帮邦=[3]榜绑[5]棒[6]碰
pʰ	[2]旁滂彷[3]塝{田～}[5]谤胖[6]蚌
m	[2]芒=亡茫氓[3]网猛=莽
t	[1]当装-{～东西}中-{～坊：地名}[3]党挡[5]当{典～}[6]荡-{玩}
t	[1]仓苍疮[2]藏[3]淌□{手覆物}[5]蚕-床-[6]脏
n	[2]囊瓤昂[6]□{仰头}
l	[2]郎廓狼[3]□{搂}[6]浪朗晾弄㝗{空行}
ts	[1]庄赃狂桩妆装-臧簪[5]壮葬
