躁	tsʰɔ5	文
醋	tsʰɔ5	
操	tsʰɔ5	～行
蘇	sɔ1	
酥	sɔ1	
疏	sɔ1	文
蔬	sɔ1	文
梳	sɔ1	文
蓑	sɔ1	文
騷	sɔ1	文
□	sɔ2	～腰：背略駝
所	sɔ3	
素	sɔ5	
數	sɔ5	文
燥	sɔ5	
掃	sɔ5	文
姑	kɔ1	
菇	kɔ1	
戈	kɔ1	
沽	kɔ1	
孤	kɔ1	
高	kɔ1	文
糊	kɔ2	白，米～
鼓	kɔ3	
古	kɔ3	
果	kɔ3	文
裹	kɔ3	
估	kɔ3	
股	kɔ3	
過	kɔ5	
告	kɔ5	文
固	kɔ5	
痼	kɔ5	
錮	kɔ5	
故	kɔ5	
僱	kɔ5	
顧	kɔ5	
珂	kʰɔ1	
苛	kʰɔ1	
軻	kʰɔ1	
箍	kʰɔ1	
褲	kʰɔ5	
課	kʰɔ5	
庫	kʰɔ5	
犒	kʰɔ5	
靠	kʰɔ5	
許	kʰɔ3	白，姓
苦	kʰɔ3	
糊	kʰɔ2	名詞
寤	ɡɔ5	
臥	ɡɔ5	
誤	ɡɔ5	
伍	ɡɔ3	
忤	ɡɔ3	～逆
吾	ɡɔ2	
梧	ɡɔ2	
吳	ɡɔ2	
五	ɡɔ4	白
五	ɡɔ3	文
戽	hɔ5	
號	hɔ5	～名：起名
護	hɔ5	
滸	hɔ3	
虎	hɔ3	
壕	hɔ2	
毫	hɔ2	
禾	hɔ2	
和	hɔ2	文
何	hɔ2	文
葫	hɔ2	
鬍	hɔ2	
胡	hɔ2	文
豪	hɔ2	
互	hɔ4	
呼	hɔ1	
雨	hɔ4	白
護	ɔ5	廝～
惡	ɔ5	可～
嘔	ɔʔ8	
壺	ɔ2	
胡	ɔ2	姓
湖	ɔ2	
烏	ɔ1	
阿	ɔ1	文
倭	ɔ1	
虎	ɔ3	欺詐
婆	po2	
報	po5	
薄	po5	～荷
玻	po1	
褒	po1	
保	po3	
堡	po3	
寶	po3	
褓	po3	
薄	poʔ8	白
卜	poʔ7	拼～
波	pʰo1	
坡	pʰo1	
埠	pʰo1	
泡	pʰo1	白，～心
泡	pʰo5	鬆軟
部	pʰo4	白
抱	pʰo4	白
粕	pʰoʔ7	
樸	pʰoʔ7	～實
無	bo2	白
磨	bo5	石～
帽	bo5	
卜	boʔ7	要
膜	boʔ8	
莫	boʔ8	白，～用
刀	to1	
陀	to2	白
駝	to2	
逃	to2	
倒	to5	～反
倒	to3	打～
桌	toʔ7	
卓	toʔ7	白，姓
著	toʔ8	～火
叨	tʰo1	
桃	tʰo2	白
討	tʰo3	
套	tʰo5	
橢	tʰo5	
□	tʰoʔ8	天～：懶散
囉	lo1	～嗦
□	lo1	liŋ1～：不圓
籮	lo2	
羅	lo2	
蘿	lo2	
鑼	lo2	
醪	lo2	渾濁
老	lo3	文
□	lo5	～門：閂門
落	loʔ8	白
□	tso1	～～：不出所料
槽	tso2	
□	tso2	亂塗
棗	tso3	
造	tso4	白
座	tso5	
做	tso5	文
作	tsoʔ7	白，～田
趠	tsoʔ8	急行
鱢	tsʰo1	
臊	tsʰo1	
草	tsʰo3	白，甘～
銼	tsʰo5	
糙	tsʰo5	
錯	tsʰo5	
□	tsʰoʔ7	粗話罵人
嗦	so1	
騷	so1	
唆	so1	文
搜	so1	
餿	so1	
挲	so1	
娑	so1	
□	so2	爬行
瑣	so3	
鎖	so3	
嫂	so3	
瘦	so5	
掃	so5	白，糞～
燥	so5	白
索	soʔ7	繩子
鐲	soʔ8	
高	ko1	白
篙	ko1	
糕	ko1	
羔	ko1	
膏	ko1	
□	ko2	滾動，涮
稿	ko3	
□	ko4	滾動
個	ko5	
□	ko5	划船
閣	koʔ7	白
□	koʔ7	再
蝌	kʰo1	
窠	kʰo1	
坷	kʰo1	
痾	kʰo1	
科	kʰo1	文
稞	kʰo1	
洘	kʰo3	
𣹇	kʰo5	
涸	kʰoʔ8	
餓	ɡo5	
遨	ɡo2	白
熬	ɡo2	白
□	ho1	環繞
和	ho2	又
河	ho2	文
何	ho2	白，姓
荷	ho2	文
豪	ho2	又
毫	ho2	
好	ho3	白
和	ho5	唱～
賀	ho5	
號	ho5	
鶴	hoʔ8	白
窩	o1	
河	o2	白
蚵	o2	牡蠣
蠔	o2	
襖	o3	
奧	o5	
澳	o5	
惡	oʔ7	白，難
學	oʔ8	白
儦	pio1	戏
標	pio1	白
臕	pio1	
鏢	pio1	白
鰾	pio4	
表	pio3	白
錶	pio3	白
裱	pio3	白
薸	pʰio2	浮萍
嫖	pʰio2	白
漂	pʰio5	
僄	pʰio5	輕飄飄
廟	bio5	
杪	bio3	木枝细
茂	bio5	
貿	bio5	
母	bio3	文
謀	bio2	
描	bio2	白
抖	tio5	
豆	tio5	文
釣	tio5	
鬥	tio5	
抖	tio5	
銚	tio5	鐵～：小鍋
趙	tio4	白，姓
投	tio2	文
潮	tio2	白，～州
跳	tio2	白
斗	tio3	文
著	tioʔ8	白
糶	tʰio5	
透	tʰio5	文
頭	tʰio2	文
跳	tʰio2	
趒	tʰio2	
偷	tʰio1	文
挑	tʰio1	白，～燈
陋	lio5	文
漏	lio5	文
軂	lio5	身高
尿	lio5	
樓	lio2	文
瞜	lio3	
略	lioʔ8	白
鄒	tsio1	
蕉	tsio1	白
焦	tsio1	白
招	tsio1	
椒	tsio1	
少	tsio3	白
走	tsio3	文
照	tsio5	白
驟	tsio5	
皺	tsio5	
奏	tsio5	
借	tsioʔ7	
石	tsioʔ8	白
欩	tsʰio1	～鸡
繰	tsʰio1	
笑	tsʰio5	
湊	tsʰio5	
燿	tsʰio5	～路：照亮道路
尺	tsʰioʔ7	白
蓆	tsʰioʔ8	白
燒	sio1	白
蕭	sio1	白
霄	sio1	白，雲～
小	sio3	白
癄	sio2	
惜	sioʔ7	
俗	sioʔ8	
液	sioʔ8	
勾	kio1	文
溝	kio1	文
鉤	kio1	文
購	kio1	新
橋	kio2	白
苟	kio3	
狗	kio3	文
購	kio5	
構	kio5	
叫	kio5	白
轎	kio5	
腳	kioʔ7	
□	kʰio2	喊叫
口	kʰio3	文
叩	kʰio5	
寇	kʰio5	
扣	kʰio5	
竅	kʰio5	白，做～：暗害
挈	kʰioʔ7	拾取
□	ɡio2	海蚌
□	ɡio5	架空
□	ɡioʔ8	譏人所諱
偶	ɡio3	
藕	ɡio3	
撟	ɡio4	
猴	hio2	文
侯	hio2	文
否	hio3	
吼	hio3	文
候	hio5	文
後	hio4	文
后	hio4	
歇	hioʔ7	白
箬	hioʔ8	葉子
腰	io1	白
邀	io1	白，～囝
歐	io1	
甌	io1	
搖	io2	白
窯	io2	
窰	io2	
舀	io3	
約	ioʔ7	白
藥	ioʔ8	白
飛	pə1	白
賠	pə2	白
陪	pə2	白
□	pə3	詐騙
背	pə4	白
倍	pə4	白
焙	pə5	
胚	pʰə1	白
坯	pʰə1	白
被	pʰə4	白
皮	pʰə2	
杮	pʰə5	柴～：木片
配	pʰə5	白
𨑾	pʰəʔ8	水泡
糜	bə2	白，粥
尾	bə3	
妹	bə5	
未	bə5	
欲	bəʔ7	訓，要
襪	bəʔ8	
短	tə3	
戴	tə5	白
埭	tə5	
袋	tə5	
塊	tə5	訓
奪	təʔ7	白
推	tʰə1	白，～辭
胎	tʰə1	白
退	tʰə5	白
螺	lə2	白
腡	lə2	
儡	lə3	白
類	lə5	白
□	ləʔ7	推拿
災	tsə1	白，著～
罪	tsə4	白，～過
晬	tsə5	
絕	tsəʔ7	白，死～
吹	tsʰə1	白
炊	tsʰə1	白
箠	tsʰə2	竹鞭
揣	tsʰə3	白
髓	tsʰə3	白
脆	tsʰə5	白
遂	tsʰə5	尋找
啜	tsʰəʔ7	
垂	sə2	白
稅	sə5	白
賽	sə5	白
説	səʔ7	白
屑	səʔ7	白
雪	səʔ7	
粿	kə3	
果	kə3	白
髻	kə5	
過	kə5	白
郭	kəʔ7	白
