来源：	李小芳 2001《临县三交话研究》；木瓜, 灰原哀 整理录入
m	［1］眯□｛～～地，糊糊涂涂，不干事：你就一天家～～地家地吧｝弥｛我～：我们｝［2］眉｛我的～淡｝迷明-縻｛把两块布缝在一起或在一件衣服上：增添上别的东西：黑布不够哩，～老一绺绺蓝的｝咪楣弭糜靡弥名-［5］命-□｛～～：婴儿｝名-｛名字｝明-｛变调，明天｝□｛伸进缝隙或小孔中去：你手～里去试下深浅；从缝隙或小孔中递：～给他！｝□｛虫蛇等蠕动状：看那条圪虫吃～～地家蜒过来哩｝美｛潘仁~｝
t	［1］低｛又圪～，低：圪～下脑｝提钉-羝｛又圪～：公羊｝［2］地｛这样：你怎么～圪且（个）孩嘞｝［3］底顶-抵氐邸诋卜□｛～淡：唠叨｝［5］第钉-地｛又做补语：逮地哩｝□｛～住命哩｝递弟帝谛蒂缔棣定-｛～息｝
tʰ	［1］梯停-｛又～～地：安静地呆着不动：～～地就在担担（这儿）坐上会会，不要瞎跑去哩｝［2］题□｛均匀：～分开，又～～地｝蹄啼醍停-｛消消～～｝提［3］体挺-｛詈语，睡：明楞楞的小子早早地～下做甚哩？｝□｛～炭：唠叨｝［5］替剃涕屉剔=
n	［2］泥倪尼疑妮霓宜=谊=［3］你旎［5］腻拟溺喏泥呢
tɕ	［1］鸡机儿基饥肌讥稍屐［3］几给己［5］□｛把东西藏起来：～人｝镜-寄讣继技妓冀纪记忌既寂髻伎季悸洎暨觊系□｛圪～～，快跑状｝
tɕʰ	［1］期欺箕蹊｛～跷｝□｛圪～，撤娇状｝［2］畦棋旗祁奇骑岐其鲭祈岐芪颀蕲琪麒崎琦耆鳍□｛～子：面条｝［3］启起企杞岂绮［5］汽气｛又心中悲苦：儿们死哩，妈的们来～嘞｝契器弃迄讫薛憩
ɕ	［1］稀擤-溪牺嬉熙希犀樨羲曦［2］肥-奚兮蹊［3］喜玺徙禱嘻嬉熹［5］费-｛～钱｝孩-｛孩子｝戏系隙
Ø	［1］伊医衣依捐漪应-｛答应｝□｛圪～，指下巴｝［2］移姨赢-宜=仪夷饴榆-遗怡贻痍胰彝蝇-营-｛～生｝肄颐［3］以影-｛～住哩｝溢｛汤～出来哩｝倚椅蚁矣已尾-旖迤□｛圪～：脏东西使人不舒服｝［5］亿易谊=义议意异忆艺裔奕弈亦屹开刈缁翳肄毅懿熠臆翼翊诣蜴绎驿疫轶邑艾影-｛～～｝映-
#u	
p	［1］搬-波菠玻帮-｛打～｝逋哺［3］补簸绑-跛卜捕哺堡-［5］布步部抱-｛又孵：心鸡儿子□孵小鸡）｝半-拌-簿怖埠簸伴-畔-
pʰ	［1］坡铺［2］婆盘-菩脯葡蒲璞庞-｛～～塔.地名｝旁-｛～人｝［3］□｛可总我～下哩｝普浦圃溥谱埔［5］判-｛～作业｝破铺堡曝
m	［1］哞［2］磨毛-忙-魔摩馍模膜谋瞒-蔓-｛～菁｝［3］某亩母抹满□｛不太陡但有一定的斜度：～坡坡｝牡=拇=［5］暮慕慕募□｛～锅糊｝
f	［1］方-妨-｛～谁着嘞？｝麸｛～子｝夫跗敷孵仿-｛写～｝［2］扶房-肤俘虏符芙浮夫弗凫孚桴匐芳-防-□｛圪～｝［3］组府腑俯甫斧抚辅腐釜否脯拊访［5］副放-父驸赋傅赴讣附妇负阜富
v	［3］武［5］误
t	［1］都嘟｛吹得～～地家｝□｛圪～：拳头｝［2］嘟｛～哇，儿语，喇叭｝［3］堵赌肚朵躲睹笃［5］杜肚｛~子，动物的内脏｝度镀垛渡□｛一个一个摆起来：～摞摞｝妒惰剁
tʰ	［2］图□｛车轮，又～～｝徒属途茶途涂［3］土吐｛呕～｝妥椭［5］吐｛～痰｝兔菟唾□｛圪～：一种用油面做成的面食｝
n	［3］努□｛长半天才～出三句话来：又～捏｝［5］怒
l	［2］骡摞｛又～～｝
k	［1］锅姑箍光-孤咕沽轱菇辜酤呱菰埚□｛嚎得～～地家｝［2］咕｛唤鸡声｝［3］果裹鼓□｛强迫：这是～着嘞么，谁想做嘞，又～逼｝古估股诂罟汩贾蛊瞽毂［5］过雇顾股｛变调，三～子线｝固锢故甸梏□｛瓷～～地：明～～地｝
kʰ	［1］棵颗枯□｛打，敲：～你两棍子也修剪树木｝科窠［3］苦［5］课库裤嗑｛～瓜子｝
x	［1］呼慌-荒-［2］和｛～气、～雨、～尚｝胡湖糊禾狐茆乎弧葫猢瑚蝴斛鹄黄-簧=蟥=［3］火虎伙浒琥［5］货祸户护糊□｛量词，用于饮食：煮老几～面哩？｝沪戽扈怙笏瓠
Ø	［1］窝钨□｛弄断，使弯曲：他把这个棍棍～折哩，把铁丝-成个骨孪孪□圆圈）｝倭乌挝莴涡蜗呜污巫诬［2］吴兀蜈兵梧芜王□｛～摆：老鹰｝［3］我｛旧｝捂怃妩侮舞［5］卧恶务雾悟旺=｛名字中用｝斡勿晤寤骛婺
#y	
n	［2］鱼-渔娘-［3］女=｛～生、妇～｝语-［5］遇-
tɕ	［1］车僵-居拘驹狙刚-｛～～的，刚刚｝姜-僵-豇-［3］举咀嘴-沮［5］锯句醉-据巨拒距柜-具惧矩炬俱飓倨剧踞聚媵
tɕʰ	［1］区驱岖躯趋祛□｛～～：拴在这个～～上｝［2］渠瞿强-随-｛随便：～管那去□随便他去）；～阿地吧□随便怎样吧）｝衢［3］取=娶［5］去脆-觑阒
ɕ	［1］虚香-嘘吁虽-绥-兄-［2］徐隋随-须需□｛～估：考虑｝［3］许响-诩栩髓［5］序岁-穗-叙油煦绪絮酗
Ø	［1］吁｛令牲畜停止声｝淤［2］余鱼=阳-羊-围-｛用被被把候孩（小孩子）～住｝渔于愚虞迂盂榆=逾舆瑜渝俞腴萸谀臾予竽榆杨-扬-［3］养-雨与宁禹羽予屿阁庾语=［5］玉样-喂-漾-｛～出去｝遇-御誉预豫愈喻御寓尉谕蜮钰郁娱驭妪昱煜聿鬻燠毓
#a	
p	［1］疤爬-｛～在桌了上｝巴芭杷笆［3］把｛量词｝靶㞎｛大便｝［5］霸把｛柄｝坝罢｛表动作完毕：吃～饭，那就出串去哩｝爸灞叭｛圪～，拟声词｝
pʰ	［2］爬=趴琶耙葩扒耙［5］怕帕
m	［1］妈□｛～呜哩：没有哩｝［2］麻｛又小孩长得瘦：这戏不肯吃饭，～得和圪且猴地家｝蟆｛圪～：青蛙｝［3］马码玛蚂［5］么｛语气词｝骂
f	［2］法｛没～：有甚～嘞｝
t	［3］打｛又后缀：拍～,吹～｝
tʰ	［1］他她它［5］踏=
n	［2］拿［3］哪［5］那｛他就晓得个～嘞｝
l	［1］拉｛又不～，搅动使不粘锅｝［2］拉｛～开些锅拉｝［5］落｛～下五天的课哩｝
ts	［1］站-｛～在桌了｝喳揸｛把下指伸张开｝渣｛又圪～｝吒［3］闸柞［5］炸□｛劈：～硬柴。剁切：～肉，～成丝丝｝□｛得意的样了：～甚嘞？｝诈榨乍咋栅爹
tsʰ	［1］差□｛病愈｝□｛三～两步｝杈叉｛～子，又圪～：错号｝［2］茬查茶搽咱碴槎［3］叉｛动词｝衩［5］差衩岔杈诧姹刹叉｛双～｝
s	［1］沙纱莎裟鲨［2］□｛～～：钥匙链｝［3］洒撒［5］沙飒霎卅
tʂ	［1］遮睁=□｛～在：用物很小心｝［5］炸｛锅～哩｝□｛花：～老他三百块｝□｛～枣：将别人树上剩下零星的枣摘回来｝蔗□｛圪～：用手掌打小孩时的响声｝
tʂʰ	［1］车［3］扯［5］奢□｛不～：象声词｝
ʂ	［1］赊生-甥奢［2］蛇［3］舍傻［5］社舍｛宿～｝
ɻ	［3］惹｛又～撩，招惹：早离他不识耍嘞还，～撩他的个甚嘞？｝
kʰ	［3］卡｛～车｝
k	［5］尬
x	［2］还｛副词｝□｛句末语气词：你来不去～！｝［5］正吓-夏-下-
ŋ	［1］腌｛～臜｝
Ø	［1］阿［2］哪｛～里：你～里去也？｝［5］哪｛哪里：你～去也？｝
#ia	
p	［1］绷-｛把棉絮和罩布缝在一起：～被子｝［5］迸-｛裂开，爆开｝蹦-□｛枪声｝百｛给死者过百天忌日｝
pʰ	［2］棚-□｛放在高处：～在顶子上｝［3］□｛扯：～柳条｝□｛分开腿｝□｛～作老你｝□｛～子，对老～子｝［5］啪｛拟声词｝
m	［2］蒙-｛～住哩：一时蒙住想不起来；～眉挣眼｝［3］□｛～堰哩：水满往外溢｝蚂-｛～蚍蜉｝［5］□｛～～，一种用柳条做的叮以吹响的玩具：唢呐口哨｝□｛～呜：学猫的叫声｝
t	［1］爹［3］嗲
n	［1］伢｛你些合音，你们｝［2］牙芽衙［3］哑仰-｛靠着东西坐着或睡下，又圪～，义同｝雅［5］压硬-亚砑轧-
l	［2］咧□｛～老脖子哩｝［3］冷-
ts	［3］姐［5］借价
s	［1］些［2］斜邪［3］写［5］卸□｛灭：火～哩｝泻些｛语气词：他三十上～就评上一级哩｝谢
tɕ	［1］家加痂耕-嘉伽枷袈佳葭羹-［3］假贾［5］假架嫁□｛令牲口前进声｝□｛从：他～哪走哩？｝驾稼价
tɕʰ	［1］抗-｛抱：～老--堆干草，把孩～起来｝□｛生：～的是个小子｝坑-｛用于圪～：山水推开圪且圪～哩｝［2］□｛～住不肯走｝茄［3］卡｛～住；～～；小～子｝［5］揢｛～脖子｝
ɕ	［1］虾［2］行｛又咱更这会就问～吧，山上～：～～，小孩学走路的样了：～步不好，走路的样子不好｝□｛量词，两～腿；一～筷子｝霞瑕遐暇□｛～于：计较，一下也不～于｝［3］□｛分开｝［5］下｛～课｝夏｛立夏，姓｝杏-厦
Ø	［2］爷｛～～｝睚涯=崖=｛悬崖｝呀鸦［3］也野｛放在某处忘记带走，落下：操心把东西～下，把鞋～哩：有意把某人落在后边：人家把他～哩｝［5］夜爷｛背称｝讶揠轧
#ua	
ts	［1］装=抓□｛他～考上哩：～要往出供伢嘞：～是个我哩：～是个～哩：你～少些么｝妆脏-｛日～｝桩-庄-｛庄严庄园｝□｛泪颗颗泡得～～地家｝［3］左-佐爪［5］葬匠蟑撞=状=壮=藏脏奘
tsʰ	［1］搓｛又圪～～｝仓蹉疮=窗=［2］藏床=［3］闯□｛用力揭：一把～下；一把～起｝［5］创=怆错=
s	［1］双=霜=□｛捋：～大麻子｝桑丧孀［3］嗓耍所爽
z	［2］□｛烦义，不要～人｝［5］□｛用力甩｝
k	［1］瓜刮光=呱咣=［3］寡｛又形容人性情与常人不同，不合群：他可～嘞，常人和他连个话也说不上｝剐广=犷=［5］挂｛又称较多的东西：～炭、～山药、～白菜又后缀：展～｝卦褂
kʰ	［1］夸匡筐=诓=［2］狂［3］胯垮侉［5］跨旷况=挎胯邝矿=框=眶=挂｛五十挂零｝
x	［1］花荒=慌=哗华骅［2］划黄=｛姓｝簧=皇蝗凰徨蟥=潢磺骅□｛～索：干净利索的样子｝［3］谎恍幌［5］画话晃划化华桦
Ø	［1］□｛摸，不要～人家的东西｝汪挖蛙哇洼娃娲［2］王［3］瓦搲［5］□｛沉下脸，～下眉眼｝□｛放，地下～老一堆东西｝□｛～老他一圪瘩｝□｛堆：～在心口头｝□｛圪～：小孩子哭的声音｝旺=
#ya	
tɕ	［2］角｛一种面食形似一角，故名｝［3］□｛一种矿物｝□｛固执：他可～嘞｝
tɕʰ	［2］瘸
ɕ	［1］靴［2］横-｛不讲理，这人痛～；与竖相对，画～哩｝
Ø	［1］□｛～地吐出来哩｝［5］□｛～地水哩：积住水哩｝
#ie	
p	［1］编边鞭｛～子｝砭蝙［3］贬匾扁=｛扁食：饺子｝别｛给老个油糕，～在裤腰｝□｛步～，步行：那（他）步～上走哩｝［5］变遍辫辨辩汴便｛方～、～宜｝卞弁
pʰ	［1］篇偏扁翩［2］便｛～宜｝骈［3］片｛～子｝［5］骗片｛劈，砍：～柴；～老他一斧子｝
m	［2］绵｛又柔软：新缝的被子揣去可～嘞｝棉眠［3］免勉娩缅渑冕湎腼［5］面
t	［1］掂□｛怂恿：～的教那（他）起做饭去哩｝□｛能吃：一个人～老三碗面：花费：这车货～老那家好几万嘞｝颠滇巅癲［3］点典碘［5］店簟电垫踮淀殿奠佃甸钿玷惦靛癜
tʰ	［1］添天［2］甜□｛少盐｝填恬阗［3］舔腆殄忝
n	［1］淹□｛一～～：表示量极少：给咱汤里抬里一～～盐；你就给我这～～？｝［2］崖-挨-｛～打｝拈年严｛姓，～格｝□｛捡：今我在路上～的十块钱,晓不得是谁的嘞｝□｛硌得不舒服：条子太薄哩，～得不散恬｝阎｛姓｝颜｛姓｝岩言-［3］捻｛圪～：来回地用手捻｝眼撵辇碾=［5］念酽砚廿
l	［2］连帘｛～子｝廉镰怜莲奁涟［3］脸敛脸琏裣［5］练炼殓链潋
ts	［1］尖歼煎［3］剪翦［5］箭溅贱剑渐践饯荐□｛底～，下面｝口｛凉～，凉快｝
tsʰ	［1］签千□｛～开，离开；～起你来！-回～！｝阡扦迁［2］潜钱前［3］浅且［5］前｛变调，前天｝□｛染，～指甲，染指甲｝□｛立～，指甲边上的小皮口外～，外面：院～，院子里｝
s	［1］仙先鲜［2］纤｛用于～维｝［3］藓鲜［5］线羡谢泻腺
tʂ	［1］沾-毡-□｛八百兀～少吧？｝粘-瞻-［3］展-者-［5］占-｛~位｝战-颤-缠-｛用于缠脚｝
tʂʰ	［1］□｛抽空：～的个空空就耍去哩I｝I［2］缠-｛用筷子～老圪堵莜面｝蟾-蝉-禅-单-｛～于｝婵-澶-阐-
ʂ	［1］扇-｛又忽～｝膻-煽-［2］禅-｛住：乃在城里～着嘞；～下多寡里没拉个做的；盛，容纳：～不下这地来人｝［3］闪-陕-［5］善-射-骟-扇-膳-单-禅-缮-鳝-擅-嬗-赡-麝-仙-汕-
ɻ	［2］黏-｛又～和，亲热：这戏痛～和，和谁也能合得来嘞｝然-燃-［3］染-碾-冉-［5］□｛乃可～一家妈的嘞｝
tɕ	［1］奸肩｛～～｝街皆阶秸监兼艰间坚蒹菅缄［3］解减碱拣检俭简柬茧趼捡睑蹇謇［5］见｛又动作后缀，用于主观感受的动词表示.....到：嘹～、闻～、揣～｝件届戒间｛～庄稼｝介界芥疥鉴谏涧锏建腱健毽僭
tɕʰ	［1］揩鸽铅□｛地板：扫～，～里｝谦牵悭愆骞［2］钳乾虔掮钤黔潜［3］遣□｛～霍，凑乎着过：先～霍上几再说｝谴缱［5］嵌欠□｛～老他一石头｝歉纤
ɕ	［1］憨掀鼾-涎暹［2］□｛肋骨｝嫌闲谐偕勰酣贤弦感娴舷衔［3］险显冼跣猃筅铣猕［5］蟹旱-｛～地、～烟｝限县□｛吃（生气时用），回～你的耍乎行！｝汉-｛老汉｝苋宪献现陷泄懈邂榭槭亵
k	［1］干-肝-甘-柑-泔-尴-竿-坩-杆-［3］敢-擀-赶-橄-杆-秆-［5］干-
kʰ	［1］勘-看-｛～守｝堪-龕-［3］砍-□｛扔，丢掉：～出去｝□｛～串｝坎-槛-［5］看｛～见｝
ŋ	［1］安-庵-鞍-桉氨鹌谙干-｛索达～｝［2］严-｛盖得严严地｝□｛正好：～三千｝［3］唵-揞-埯-［5］按-暗-岸-案-黯-
Ø	［1］腌蔫烟燕湮阉嫣殷焉恹胭咽［2］盐蜒炎檐延筵缘｛～法，姻～｝沿研妍芫耶椰□｛～～：花边或其他边｝言=严=［3］演掩魇偃靥兖冶琰衍俨奄□｛～～，没拉个～～哩｝□｛不～，荡，溢：看，桶里的水不～出来哩｝［5］咽验厌艳焰燕宴谚彦雁堰唁焱赝滟谒烨晔腋液掖曳炎
#ʮe	
ts	［2］钻-砖-装-专-庄-［3］转-｛～眼｝［5］转-｛转圆圈又补语，撂～｝□｛把棉絮等夹在衣服、被褥的里子和面子中间：～袄，棉袄｝钻｛工具｝篆-传-钻-壮-状-
tsʰ	［1］穿-窗-疮-川-［2］传-船-床-［3］喘-闯-□｛蹭：～得吃老一顿｝舛［5］窜-患钏篡创-串-
s	［1］拴栓酸-霜-双-孀-［5］双-｛～生：双胞胎｝
z	［1］□｛～～地，口里有很多东西的样子｝［3］软
#ye	
t	［1］端-［3］短-［5］断-｛赶：～上走哩｝段-锻缎-煅-椴-
tʰ	［1］猯｛獾｝［2］团-湍-
n	［3］暖-
l	［2］鸾-联-［3］卵-［5］乱-□｛稀饭熬得较烂，较粘，又～乎｝恋-
tɕ	［1］捐涓娟鹃镌［3］卷｛又骂｝［5］圈｛猪～｝眷绢卷倦隽
tɕʰ	［1］圈悛［2］全权泉拳颧诠荃痊筌蜷［3］犬［5］劝券
ɕ	［1］□｛～开颗骨窿（窟窿）哩｝轩喧宣［2］玄悬旋｛～转｝漩璇［3］选［5］旋｛一圈一圈地割｝眩炫旋｛～吃～做，又捻～～，-种类似线陀螺的玩具｝
Ø	［1］冤渊［2］圆员元原源袁辕园｛又～子，水浇地｝援媛爰垣鼋源鸳缘｛～份，有～｝［3］远［5］怨院愿苑
#ɛ	
p	［1］班掰扳｛～不浪（玉米棒），～钵了：拔火罐｝斑搬=般颁颁癍瘢［3］板扁-｛～豆、～担，形容词｝版阪坂［5］扮瓣办伴-绊-挫拌=
pʰ	［1］攀潘=［2］盘=蟠蹒［5］判盼襻畔=叛袢｛～～，背心｝
m	［2］蛮馒瞒=咩［3］满=［5］慢□｛～不说他哩，我也想去嘞｝幔曼漫=谩墁蔓=
f	［1］翻番藩幡发-｛用于头发｝［2］樊矾凡帆烦繁蕃［3］反返［5］范犯贩饭泛梵
v	［3］挽［5］万蔓
t	［1］□｛拾起：～起手要东西｝单｛又～～：单子：～子：布单｝担耽丹郸殚眈聃儋［3］胆掸疸［5］石蛋｛指鸡蛋｝淡｛颜色浅，口味轻｝□｛用箩筛东西：～面｝□｛涂，抹：～嘴唇（口红、胭脂国）｝□｛砖头上～老两圪打木板｝担｛～子｝旦诞但弹萏啖惮澹儋
tʰ	［1］滩摊瘫贪｛人可总不能太～｝坍［2］谈痰弹潭谭檀坛昙覃［3］毯坦忐衹［5］炭探叹碳
n	［2］南男难喃［5］难｛有老～哩｝□｛拧～,数说，唠叨｝
l	［1］□｛～～（儿语），脏，脏东西：好～～也：把这～～倒老吧｝［2］蓝拦篮｛～～、～子｝兰栏岚婪阑澜斓褴［3］揽懒□｛一种踢毽子的方法｝览榄缆□｛圪～：把肉圪～上两下｝□｛圪～：杆｝［5］烂滥□｛不～，绊｝
ts	［1］簪□｛一个人说话多且无聊：～～地～甚嘞｝ ［3］盏斩［5］站蘸绽暂錾赞栈湛
tsʰ	［1］□｛超过：～老他的冒冒头｝掺参搀餐□｛～～,扣紧鞋带的环形扣：给咱街里买几个～～去｝［2］馋蚕惭谗残［3］铲产□｛又只：不用人家的，～用我的｝惨谄［5］□｛（把缠绕的线、绳等）拉开、（把卷起的纸、布等）展开：把纱布～开吧，操心把结好的～开｝□｛次，锅洗老几～哩？｝灿孱粲璨忏颤羼□｛不～：鸡吃食所用的破瓦片｝
s	［1］三山衫杉芟潸［2］珊删［3］伞散，［5］散｛分散｝疝
z	［1］□｛～～地，絮絮叨叨说个没完｝［2］□｛嚼，略有贬义：嘴里～甚着嘞｝
tʂ	［1］詹瞻=沾=粘=［3］辗｛辗转｝展=［5］战=颤=占=
tʂʰ	［2］缠=蟾=蝉=禅=单=婵=阐=
ʂ	［1］扇=膻=［3］闪=陕=［5］汕=讪=扇=善=单=禅=擅=缮=
ɻ	［2］然=燃=［3］染=冉=
k	［1］干=甘=柑=泔=尴肝=［3］橄=敢=竿=杆=秆=擀=赶=感=［5］干=｛干部｝赣
kʰ	［1］堪=龛=刊=勘=［3］砍=槛=坎=［5］瞰=
x	［1］酣｛～～地，吃饭很急或饿过头的吃状：吃得～～地家｝憨=［2］含=咸｛盐多｝衔-韩=｛姓｝函寒=邯［3］罕喊［5］陷汗汉=焊馅｛～子：这～子够吃哩吧｝撼憾翰捍悍菡瀚早=
Ø	［1］□｛语气词表不屑的一种口气：～，谁看下要你的东西嘞？｝
#uɛ	
t	［1］端=［3］短=［5］断=锻=段=缎=椴=
tʰ	［2］团=
n	［3］暖=
l	［2］峦=孪=娈=挛=鸾=滦=［3］卵=［5］乱=
ts	［1］专=砖=［3］纂转=［5］赚摆搛篡钻=转=传=篆=
tsʰ	［1］穿=川=［2］船=传=椽=［3］□｛蹭：～得两张票｝喘=［5］篡串=窜=
s	［1］闩酸=栓［5］涮
z	［1］□｛～～地，满嘴都是东西的样了：嘴里～～地有甚嘞｝
k	［1］关鳏观纶倌棺=冠鳏官=［3］管=｛～理｝馆=｛～子｝莞｛东莞｝［5］惯冠=观贯灌=罐=溜盥
kʰ	［1］宽=［2］□｛自得、夸耀的样了：乃来可～嘞｝［3］款=｛取～、大～｝
x	［1］欢=｛又快：那跑得可～嘞｝獾［2］还桓缳鬟环｛～～｝［3］缓［5］换=幻患宦奂涣=焕=唤=痪宦浣豢
Ø	［1］弯湾豌=剜=［2］完=顽玩［3］碗挽绾□｛语气词，表理解、肯定，常用于长辈对小辈：姨姨，我今碰见我舅舅来国。～,甚会来该？｝宛惋婉莞晚
#ɔ	
p	［1］邦梆浜帮=［3］绑=榜｛贴～｝膀［5］磅傍棒谤蚌镑播
pʰ	［1］滂膀颇卜［2］旁=螃庞=彷［3］膀［5］胖=乓
m	［1］□｛嚎得～～地家｝［2］忙-芒=茫盲氓硭［3］莽蟒漭
f	［1］方=｛姓｝［2］房=芳=妨=防=肪［3］纺=仿=访=舫=［5］放=｛用于解～｝
v	［2］亡［3］网往=［5］忘妄望
t	［1］多当铛裆玛［3］党挡谠档｛用于档案｝［5］大当｛用于～作、上～｝荡宕砀
tʰ	［1］拖汤［2］驮唐糖驼堂棠塘搪溏膛螳鸵砣陀佗□｛～上｝［3］躺淌傥倘［5］烫趟lI
n	［2］挪囊［3］□｛雨水很多：今年正下得痛～：又～耐，东西多：这年东西都痛～耐｝曩攮馕［5］□｛多：可～给老那家东西哩｝
l	［1］□｛～～地：～～地家就和二杆子地家｝□｛圪～～，角落：你在这个圪～～做甚嘞｝［2］罗锣箩｛又过箩：给咱～面去｝狼螺萝逻郎廊榔螂琅锒［3］□｛～老一刀｝□｛绑：麻绳～得紧绷绷地家｝朗裸［5］浪□｛次，熬老几～哩？｝□｛圪～，担搁：看你害得把这事也圪～哩｝
ts	［1］臧=脏=［3］左=佐=［5］奘=藏=脏=匠=葬=
tsʰ	［1］搓=仓=苍=舱=［2］藏=［5］错=
s	［1］丧=桑=［3］嗓=搡=［5］丧=
tʂ	［1］张=｛姓｝章樟蟑璋彰［3］长=涨=掌［5］□｛～老他-顿｝丈=仗帐胀=涨=杖=障瘴嶂
tʂ	［1］昌伥菖猖娼［2］常=长=场=｛一场空｝肠=尝=｛尝试｝偿嫦［3］厂=场=昶敞氅［5］唱=畅倡怅
ʂ	［1］商=伤=汤殇觞［2］常｛姓｝裳=［3］赏=晌=［5］上=尚
ɻ	［2］瓤=［3］嚷=壤攘［5］让
k	［1］歌哥钢=冈纲缸肛刚=［2］哥［3］港=岗［5］个｛用于～人，～体｝杠
kʰ	［1］康=糠=慷［3］可｛用于～以｝岢［5］抗=亢伉苛炕=
x	［1］呵［2］河何降｛你还能～作他？｝□｛熟练：那踢去可～嘞｝□｛把枣放在瓷器中用酒长时间泡制。～枣，用此方法泡制的枣｝荷｛～花｝行航杭吭［3］荷｛拿，～上东西起身｝□｛腹胀。肚里～得不散恬｝□｛我们～，舅舅家～｝［5］贺巷｛～子，又圪～｝沆荷｛负～｝
ŋ	［2］昂峨娥俄蛾［5］盎
