ʧ	纠（揉成团：腌菜干一~络）	脚钁			
ʧʰ		茄瘸			
ʃ	靴	芍			
0	呦	约哕			若乐（音~；~食）
#ɔ					
p	包苞胞		保堡宝饱	报豹鲍爆暴	
pʰ	抱泡抛	袍抱浮（白）浮（炸）	跑	炮泡鳔脬	爆包（承包）
m	毛	无茅矛	卯	贸（冒失；嘴往上翘推动东西）	冒帽貌□（估计）
v			嚎（哭）		
t	刀		朵倒捣		
tʰ	滔	桃逃陶淘萄涛掏	讨	套道（回次）	道导盗
n			脑恼	[缓]（慢：~~哩行）	闹闹（毒：~老鼠）
l	[邀]绕[焦]（物体烧后尚未成灰状：纸钱~）	劳捞痨牢	老佬		
ʦ	遭糟焦（干燥）		早爪抓找皂枣蚤瘙澡	嘈罩灶	
ʦʰ	抄操	嘈（吵）曹漕槽	草炒	糙抄（东翻西~）躁操	造
s	稍捎艄骚睄筲（饭~子）	笊（~箩：炊具）	嫂	扫哨	扫（~面子）
ʧ	招朝昭			照	
ʧʰ	超	潮朝嘲			赵嘲（~说哄骗）
ʃ	烧嚣（糟糕，倒霉）	韶	少	少	兆绍
k	高篙膏交胶教糕		搞稿	告窖交（交换）郊较校教酵蛤（蚌~哩）	
kʰ	跤搅交（~驳）		考	拷靠敲	
ŋ	咬	熬傲鳌嗷		傲	
h	蒿（茼~）浩	豪毫	好	好孝耗	号效
0	謷（诬陷）		袄拗（折断）	凹坳（两山之间：十里~一地名）奥拗	
#iɔ					
p	标彪趵飙（跳）		表俵（老~）婊裱	[伯]（给，赠：~糖子）	
pʰ	飘	嫖薸（浮萍）		趵（踢：一脚~去）	票漂
m	[苗]（细小）	苗瞄描	妙秒渺藐	猫	庙
t	刁叨		鸟鸟（性交）	吊钓调（~动）	
tʰ	挑雕	条调（~和）		跳粜	调（换：~过一双鞋）
n		饶绕	跷	[翘]（向上抬起）	尿
l	撩（铲：~泥）撩（火～：铲火用炊具）	撩疗辽寮镣聊	了	撩（波动）	料廖嫽（玩耍）
ʦ	焦椒蕉憔		剿	醮[祭]（~墓）僬（吝啬）	
ʦʰ	缲（缝：~衫）挢（连接木板的小木条）	樵（柴）□（~盘：恶作剧）		诮俏	噍（咀嚼）
s	消宵霄硝销萧箫		小	笑鞘	
ʧ	娇骄饺		绞铰狡缴饶（~哩）	叫	
