简	繁	注释	IPA	吴拼
菩	菩		bu²³²	bu2
蒲	蒲		bu²³²	bu2
卜	蔔	萝～	bu²³²	bu2
扶	扶	白读，～梯；～牢墙头	bu²³²	bu2
莆	莆		bu²³²	bu2
部	部		bu³¹³	bu6
簿	簿		bu³¹³	bu6
步	步		bu³¹³	bu6
捕	捕		bu³¹³	bu6
埠	埠		bu³¹³	bu6
魔	魔		mu²³²	mu2
磨	磨	文读，动词	mu²³²	mu2
模	模		mu²³²	mu2
膜	膜		mu²³²	mu2
亩	畝		mu³²⁴	mu3
母	母		mu³²⁴	mu3
磨	磨	名词	mu³¹³	mu6
暮	暮		mu³¹³	mu6
墓	墓		mu³¹³	mu6
募	募		mu³¹³	mu6
慕	慕		mu³¹³	mu6
幕	幕		mu³¹³	mu6
夫	夫		fu⁴⁴³	fu1
敷	敷		fu⁴⁴³	fu1
俘	俘		fu⁴⁴³	fu1
府	府		fu³²⁴	fu3
腑	腑		fu³²⁴	fu3
俯	俯		fu³²⁴	fu3
抚	撫	～恤	fu³²⁴	fu3
赋	賦		fu⁵⁵	fu5
傅	傅		fu⁵⁵	fu5
付	付		fu⁵⁵	fu5
赴	赴		fu⁵⁵	fu5
讣	訃		fu⁵⁵	fu5
辅	輔		fu⁵⁵	fu5
富	富		fu⁵⁵	fu5
副	副		fu⁵⁵	fu5
抚	撫	～养	vu²³²	vu2
符	符		vu²³²	vu2
扶	扶	文读	vu²³²	vu2
巫	巫		vu²³²	vu2
诬	誣		vu²³²	vu2
无	無		vu²³²	vu2
浮	浮	白读，～子	vu²³²	vu2
芙	芙		vu²³²	vu2
腐	腐		vu³¹³	vu6
父	父		vu³¹³	vu6
附	附		vu³¹³	vu6
毋	毋		vu³¹³	vu6
舞	舞		vu³¹³	vu6
侮	侮		vu³¹³	vu6
武	武		vu³¹³	vu6
鹉	鵡		vu³¹³	vu6
雾	霧		vu³¹³	vu6
务	務		vu³¹³	vu6
阜	阜		vu³¹³	vu6
负	負	文读，～数	vu³¹³	vu6
妇	婦		vu³¹³	vu6
婺	婺		vu³¹³	vu6
骛	騖		vu³¹³	vu6
鹜	鶩		vu³¹³	vu6
多	多		tu⁴⁴³	tu1
都	都		tu⁴⁴³	tu1
□	□	突起	tu⁴⁴³	tu1
朵	朵		tu³²⁴	tu3
躲	躲		tu³²⁴	tu3
堵	堵		tu³²⁴	tu3
赌	賭		tu³²⁴	tu3
肚	肚	猪～	tu³²⁴	tu3
剁	剁		tu⁵⁵	tu5
妒	妒		tu⁵⁵	tu5
蠹	蠹		tu⁵⁵	tu5
拖	拖	文读，～拉机	tʰu⁴⁴³	thu1
妥	妥		tʰu³²⁴	thu3
土	土		tʰu³²⁴	thu3
唾	唾		tʰu⁵⁵	thu5
吐	吐		tʰu⁵⁵	thu5
兔	兔		tʰu⁵⁵	thu5
驼	駝		du²³²	du2
陀	陀		du²³²	du2
驮	馱	拿	du²³²	du2
屠	屠		du²³²	du2
图	圖		du²³²	du2
徒	徒		du²³²	du2
鼍	鼉	～江：水名	du²³²	du2
沱	沱		du²³²	du2
舵	舵		du³¹³	du6
大	大	白读，～人	du³¹³	du6
惰	惰		du³¹³	du6
堕	墮		du³¹³	du6
肚	肚	～皮	du³¹³	du6
度	度		du³¹³	du6
渡	渡		du³¹³	du6
镀	鍍		du³¹³	du6
奴	奴		nu²³²	nu2
努	努		nu²³²	nu2
怒	怒		nu²³²	nu2
糯	糯		nu³¹³	nu6
撸	撸	揉	lu⁴⁴³	lu1
罗	羅		lu²³²	lu2
锣	鑼		lu²³²	lu2
箩	籮		lu²³²	lu2
萝	蘿		lu²³²	lu2
啰	囉		lu²³²	lu2
骡	騾		lu²³²	lu2
螺	螺		lu²³²	lu2
脶	腡		lu²³²	lu2
卢	盧		lu²³²	lu2
炉	爐		lu²³²	lu2
庐	廬		lu²³²	lu2
□	□	tɕia⁵⁵～：知了	lu²³²	lu2
裸	裸		lu³²⁴	lu3
卤	鹵		lu³²⁴	lu3
鲁	魯		lu³²⁴	lu3
橹	櫓		lu³²⁴	lu3
虏	虜		lu³²⁴	lu3
掳	擄		lu³²⁴	lu3
摞	摞		lu³¹³	lu6
露	露		lu³¹³	lu6
路	路		lu³¹³	lu6
赂	賂		lu³¹³	lu6
租	租		tsu⁴⁴³	tsu1
左	左		tsu³²⁴	tsu3
佐	佐		tsu³²⁴	tsu3
祖	祖		tsu³²⁴	tsu3
组	組		tsu³²⁴	tsu3
阻	阻		tsu³²⁴	tsu3
做	做		tsu⁵⁵	tsu5
搓	搓		tsʰu⁴⁴³	tshu1
粗	粗		tsʰu⁴⁴³	tshu1
初	初		tsʰu⁴⁴³	tshu1
楚	楚		tsʰu³²⁴	tshu3
锉	銼		tsʰu⁵⁵	tshu5
挫	挫		tsʰu⁵⁵	tshu5
醋	醋		tsʰu⁵⁵	tshu5
错	錯		tsʰu⁵⁵	tshu5
措	措		tsʰu⁵⁵	tshu5
蓑	蓑		su⁴⁴³	su1
梭	梭		su⁴⁴³	su1
唆	唆		su⁴⁴³	su1
苏	蘇		su⁴⁴³	su1
稣	穌		su⁴⁴³	su1
酥	酥		su⁴⁴³	su1
须	鬚	胡～	su⁴⁴³	su1
疏	疏		su⁴⁴³	su1
蔬	蔬	菜～：菜	su⁴⁴³	su1
锁	鎖		su³²⁴	su3
琐	瑣		su³²⁴	su3
素	素		su⁵⁵	su5
塑	塑		su⁵⁵	su5
溯	溯		su⁵⁵	su5
诉	訴		su⁵⁵	su5
嗉	嗉		su⁵⁵	su5
所	所		su⁵⁵	su5
数	數	名词	su⁵⁵	su5
锄	鋤	文读，～奸	zu²³²	zu2
坐	坐		zu³¹³	zu6
座	座		zu³¹³	zu6
歌	歌		ku⁴⁴³	ku1
哥	哥		ku⁴⁴³	ku1
锅	鍋		ku⁴⁴³	ku1
戈	戈		ku⁴⁴³	ku1
蜗	蝸		ku⁴⁴³	ku1
辜	辜		ku⁴⁴³	ku1
孤	孤		ku⁴⁴³	ku1
姑	姑		ku⁴⁴³	ku1
果	果		ku³²⁴	ku3
裹	裹		ku³²⁴	ku3
估	估		ku³²⁴	ku3
古	古		ku³²⁴	ku3
贾	賈	商～	ku³²⁴	ku3
股	股		ku³²⁴	ku3
鼓	鼓		ku³²⁴	ku3
蛊	蠱		ku³²⁴	ku3
故	故		ku³²⁴	ku3
固	固		ku³²⁴	ku3
个	個	～体户	ku⁵⁵	ku5
过	過		ku⁵⁵	ku5
顾	顧		ku⁵⁵	ku5
柯	柯		kʰu⁴⁴³	khu1
轲	軻		kʰu⁴⁴³	khu1
珂	珂		kʰu⁴⁴³	khu1
苛	苛		kʰu⁴⁴³	khu1
科	科		kʰu⁴⁴³	khu1
棵	棵		kʰu⁴⁴³	khu1
