#符号说明：-白=文/书*俗?待考	
#调值	[1]⁴⁴ [2]²¹ [3]³⁵³ [5]³⁵ [7]²
#ɿ	
tʃ	[1]针津珍蒸精晶睛贞侦正{~月}征[3]枕诊疹振震仅拯井整[5]浸尽进晋镇阵证症静靖净郑正政
tʃʰ	[1]侵亲称{~呼}清青蜻[2]秦陈尘辰晨臣橙乘丞情晴呈程逞成城诚唇沉[3]请[5]秤趁
ʃ	[1]心深辛新薪身申伸欣新胜{~任}声星腥[2]神[3]审婶沈醒[5]甚信讯肾慎剩胜{~利}性姓圣盛
k	[1]今金襟斤巾筋京荆惊鲸经[3]锦紧谨境景警[5]敬竟镜竞颈径妗{舅母}近茎禁劲
kʰ	[1]钦卿轻[2]琴禽擒勤芹倾顷[5]庆磬
x	[1]兴{~旺}[2]行{~为}形型刑[5]衅兴{高~}杏行{品~}幸
Ø	[1]音阴荫因姻殷应{~当}鹰蝇英婴缨[2]壬吟淫人仁银寅盈营颖萤[3]饮忍隐引影[5]任纴刃认印应{~用}映

#uiɲ	
ts	[3]准準[5]俊
tsʰ	[1]椿春[3]蠢
s	[2]荀旬循巡纯绳寻[5]迅顺舜训逊
k	[1]均钧军君
kʰ	[1]熏[2]裙群琼
x	[1]勋熏{文读}
Ø	[1]晕[2]云匀[3]永[5]泳允韵润闰运孕

#æɲ	
p	[1]浜扳[5]蚌
pʰ	[1]攀[2]滂旁螃傍[5]盼瓣胖襻
m	[2]蛮忙芒{麦~}茫莽蟒盲虻[5]慢漫幔
t	[1]耽担{~任}丹单{~独}当{应~}[3]胆掸{鸡毛~}党档挡[5]担{挑~}淡旦诞但弹{子~}蛋当{典~}荡
tʰ	[1]贪滩摊汤[2]潭谭谈痰檀坛弹{~琴}坦棠螳唐糖塘倘躺[3]毯[5]探炭叹烫趟
l	[2]蓝篮男南难兰瓤拦栏囊郎廊狼[3]览揽榄缆撚{以指~碎}朗懒[5]滥难{患~}烂浪
ts	[1]簪赃脏[3]斩[5]暂站蘸赞栈葬藏{西~}钻
tsʰ	[1]参搀仓苍[2]蚕惭谗馋缠蝉藏{躲~}[3]惨[5]灿
s	[1]三杉珊[3]闪伞嗓[5]散{鞋带~了}丧{~失}
k	[1]甘柑肝竿干{~湿}乾杆岗刚冈纲钢缸豇肛[3]感敢橄秆擀港[5]干{~活}幹
kʰ	[1]堪龛勘刊康糠[2]囥{藏}扛[3]坎慷[5]看抗炕
x	[1]蚶酣鼾夯{打~}[2]含函咸衔罕寒韩行{~列}航杭涵[3]喊[5]撼憾旱汉汗焊翰苋
Ø	[1]庵埯{坑}安鞍肮[2]昂[5]揞{~住}暗岸按案

#iæɲ	
l	[1]娘[2]凉良量{~长短}粮梁粱[3]两仰[5]亮谅辆量{数~}
tʃ	[1]将{~来}瘴浆张章樟蟑[3]蒋奖桨长{生~}涨掌[5]丈仗酱将{大~}匠帐账胀障
tʃʰ	[1]枪昌菖[2]墙[3]抢厂[5]畅倡唱
ʃ	[1]箱相厢湘襄镶商伤山衫删[2]详祥常裳尝[3]想赏饷偿[5]象橡像上尚
k	[1]疆僵薑姜江[3]讲[5]降{~落伞}
kʰ	[1]腔[2]强{~大}[3]强{勉~}
x	[1]香乡[2]降{投~}[3]享响[5]向项
Ø	[1]央秧殃[2]羊洋烊{融化}杨阳扬疡[3]养痒[5]样让酿
	
#yæɲ	
tʃ	[1]装庄妆[5]壮状
tʃʰ	[1]窗疮[2]床[3]闯[5]创
ʃ	[1]桑霜孀双[3]陕爽
k	[1]光[3]广
kʰ	[1]筐眶匡[2]狂[5]旷矿况
x	[1]荒慌方肪芳帆藩番翻[2]恒还{~原}房防妨环黄{文读}簧皇蝗烦繁横凡[3]缓慌晃仿纺访反[5]患宦放范犯泛贩饭
Ø	[1]弯湾汪[2]玩黄王亡[3]豌皖腕顽晚挽网枉往[5]万忘旺

#oɲ	
p	[1]□{碰着}
pʰ	[2]朋彭膨棚篷蓬[3]捧
m	[2]蒙盟蚊[3]懵蠓猛[5]孟
t	[1]东冬[3]董懂[5]冻栋动
tʰ	[1]通[2]同铜桐筒童瞳[3]捅桶统[5]痛
l	[2]浓龙农隆笼聋齈{多涕鼻疾}脓[3]陇垅拢[5]弄
ts	[1]棕鬃宗综中忠盅钟终踪[3]总种{~类}肿[5]粽中{射~}仲众纵重{轻~}种{~树}
tsʰ	[1]桩舂聪匆葱囱充冲[2]丛从虫崇重{~复}宠
s	[1]松嵩[2]㞞[3]搡[5]送宋颂诵讼
k	[1]公工蚣功攻[5]贡
kʰ	[1]空{~虚}[3]孔巩[5]控空{~缺}
x	[1]轰烘风枫疯丰封峰锋蜂[2]弘宏红洪鸿虹{文读}逢冯缝{~衣服}[3]吼哄讽[5]奉俸缝{一条~}凤
Ø	[1]翁[5]瓮

#ioɲ	
ʃ	[2]熊雄
k	[1]弓躬宫供{~给}[3]供[5]虹{天上的~}供{上~}共
kʰ	[2]穷
x	[1]胸凶兄
Ø	[1]雍庸[2]荣融戎绒茸容蓉[3]拥甬涌蛹勇[5]用 

#uoɲ	
p	[1]般搬[5]伴拌半
pʰ	[1]潘[2]盘[5]判叛
m	[2]馒瞒[3]满
t	[1]端[3]短[5]断锻缎
tʰ	[2]团
l	[2]鸾[3]暖卵[5]乱
s	[1]酸闩拴[5]算蒜
k	[1]官棺观冠{衣~}关[3]管馆[5]贯惯灌罐冠{~军}逛
kʰ	[1]宽[3]款
x	[1]欢[5]唤换焕幻
Ø	[2]完[3]碗

#eiɲ	
p	[1]奔锛崩[3]本[5]笨
pʰ	[1]喷{~水}烹[2]盆
m	[2]门[5]闷焖
t	[1]墩登灯瞪[3]等[5]盾顿掩钝遁囤沌凳邓炖
tʰ	[1]吞[2]腾藤誉疼
l	[1]扔[2]仑沦轮伦能[3]冷[5]嫩论愣
ts	[1]榛尊遵曾{姓}增憎争筝征[5]赠
