汉字	拼音	IPA	注释		
條	tiau2	tiau˥˥			
調	thiau2	tʰiau˥˥			
調	thiau5	tʰiau˨˩˨	~皮		
掉	tiau6	tiau˨˩			
調	tiau6	tiau˨˩			
尿	jio6	dzio˨˩			
聊	liau2	liau˥˥			
遼	liau2	liau˥˥			
撩	liau2	liau˥˥	文		
撩	lio2	lio˥˥	白		
寥	liau2	liau˥˥			
寮	liau2	liau˥˥			
廖	liau6	liau˨˩			
了	liau3	liau˥˩			
瞭	liau2	liau˥˥			
瞭	liau3	liau˥˩			
料	liau6	liau˨˩			
簫	siau1	siau˧˧			
蕭	siau1	siau˧˧			
嘯	sau5	sau˨˩˨			
澆	nau1	nau˧˧			
繳	kiau3	kiau˥˩			
叫	kio5	kio˨˩˨			
竅	khiau5	kʰiau˨˩˨			
堯	ngiau2	ŋiau˥˥			
曉	hiau3	hiau˥˩			
么	iau1	iau˧˧			
杳	miau3	miau˥˩			
剖	phou3	pʰou˥˩			
某	mong3/mou3	moŋ˥˩/mou˥˩			
畝	bou3	bou˥˩			
牡	bou3	bou˥˩			
拇	bo3	bo˥˩			
母	bo3	bo˥˩			
母	bou3	bou˥˩	妻		
姆	m3	m˥˩			
茂	mou4/mong4	mou˨˥/moŋ˨˥			
戊	bou6	bou˨˩			
貿	mou5/mong5	mou˨˩˨/moŋ˨˩˨			
兜	tau1	tau˧˧			
斗	tau3	tau˥˩			
抖	tou3	tou˥˩	文，~擻		
抖	tau3	tau˥˩	白		
陡	tau3	tau˥˩			
鬥	tou5	tou˨˩˨	文		
鬥	tau5	tau˨˩˨	白		
偷	thau1	tʰau˧˧			
敨	thau3	tʰau˥˩			
透	thau5	tʰau˨˩˨			
頭	thau2	tʰau˥˥			
投	tau2	tau˥˥			
豆	tau6	tau˨˩			
逗	tau6	tau˨˩			
樓	lau2	lau˥˥			
摟	lou3	lou˥˩			
漏	lau6	lau˨˩			
漏	lau5	lau˨˩˨			
陋	lou4	lou˨˥			
走	tsau3	tsau˥˩			
奏	tsau5	tsau˨˩˨			
凑	tshou5	tsʰou˨˩˨			
叟	sou3	sou˥˩			
嗽	sau5	sau˨˩˨			
勾	kau1	kau˧˧			
鉤	kau1	kau˧˧			
溝	kau1	kau˧˧			
狗	kau3	kau˥˩			
苟	kou3	kou˥˩			
枸	kau3	kau˥˩			
垢	kou5	kou˨˩˨	文		
垢	kau1	kau˧˧	白，又		
垢	kau2	kau˥˩	白		
彀	kau5	kau˨˩˨			
夠	kau5	kau˨˩˨			
構	kou5	kou˨˩˨			
購	kou5	kou˨˩˨			
摳	khau1	kʰau˧˧			
口	khau3	kʰau˥˩			
叩	khau5	kʰau˨˩˨			
扣	khau5	kʰau˨˩˨			
寇	khou5	kʰou˨˩˨			
藕	ngou3	ŋou˥˩	文		
藕	ngau4	ŋau˨˥	白		
偶	ngou3	ŋou˥˩			
吼	hou5	hou˨˩˨	文		
吼	hau3	hau˥˩	白		
蔻	khou5	kʰou˨˩˨			
侯	hou2	hou˥˥			
喉	au2	au˥˥			
猴	kau2	kau˥˥			
後	hau4	hau˨˥	~生		
後	au4	au˨˥			
厚	kau4	kau˨˥			
后	hou4	hou˨˥			
候	hau6	hau˨˩			
歐	au1	au˧˧			
區	au1	au˧˧			
嘔	au3	au˥˩			
毆	au1	au˧˧			
漚	au5	au˨˩˨			
否	hounn3	hõu˥˩			
否	phi3	pʰi˥˩			
富	pu5	pu˨˩˨			
副	hu5	hu˨˩˨			
浮	phu2	pʰu˥˥			
阜	hu4	hu˨˥			
負	hu4	hu˨˥			
婦	hu4	hu˨˥	文		
婦	pu4	pu˨˥	白，新~		
復	hiunn4	hiũ˨˥			
謀	mou2	mou˥˥			
謀	mong2	moŋ˥˥	又		
矛	mau2	mau˥˥			
眸	mou2	mou˥˥			
眸	mong2	moŋ˥˥	又		
鍪	bau2	bau˥˥			
紐	niu3	niu˥˩			
扭	niu3	niu˥˩			
留	liu2	liu˥˥	文		
留	lau2	lau˥˥	白		
榴	liu2	liu˥˥			
劉	lau2	lau˥˥			
流	liu2	liu˥˥	文		
流	lau2	lau˥˥	白		
硫	liu2	liu˥˥			
琉	liu2	liu˥˥			
柳	liu3	liu˥˩			
溜	liu5	liu˨˩˨			
酒	tsiu3	tsiu˥˩			
秋	tshiu1	tsʰiu˧˧			
就	tsiu4	tsiu˨˥			
修	siu1	siu˧˧			
羞	siu1	siu˧˧			
秀	siu5	siu˨˩˨			
囚	tshiu2	tsʰiu˥˥			
袖	siu5	siu˨˩˨			
肘	tiu3	tiu˥˩			
晝	tiu4	tiu˨˥	文		
晝	tau5	tau˨˩˨	白		
抽	thiu1	tʰiu˧˧			
丑	thiu3	tʰiu˥˩			
綢	tiu2	tiu˥˥			
稠	tiu2	tiu˥˥			
籌	thiu2	tʰiu˥˥			
紂	tiu4	tiu˨˥			
宙	tiu4	tiu˨˥			
鄒	tsou1	tsou˧˧			
皺	niau5	niau˨˩˨			
縐	niau5	niau˨˩˨			
愁	tshou2	tsʰou˥˥			
驟	tsou4	tsou˨˥			
搜	siau1	siau˧˧			
瘦	sou5	sou˨˩˨			
瘦	sou3	sou˥˩	又		
漱	suak7	suak˨	俗		
周	tsiu1	tsiu˧˧			
舟	tsiu1	tsiu˧˧			
洲	tsiu1	tsiu˧˧			
州	tsiu1	tsiu˧˧			
帚	siu3	siu˥˩			
帚	tsiu3	tsiu˥˩	又		
咒	tsiu5	tsiu˨˩˨			
醜	thiu3	tʰiu˥˩	俗		
臭	tshau5	tsʰau˨˩˨			
收	siu1	siu˧˧			
手	tshiu3	tsʰiu˥˩			
首	siu3	siu˥˩			
守	siu3	siu˥˩			
獸	siu5	siu˨˩˨			
讎	tshiu2	tsʰiu˥˥			
酬	tshiu2	tsʰiu˥˥			
受	siu4	siu˨˥			
壽	siu6	siu˨˩			
授	siu4	siu˨˥			
售	tshiu2	tsʰiu˥˥			
柔	jiu2	dziu˥˥			
揉	jiu2	dziu˥˥			
鬮	khau1	kʰau˧˧			
九	kiu3	kiu˥˩			
九	kau3	kau˥˩			
久	ku3	ku˥˩			
韭	ku3	ku˥˩			
灸	ku5	ku˨˩˨			
究	kiu5	kiu˨˩˨			
救	kiu5	kiu˨˩˨			
丘	khiu1	kʰiu˧˧			
求	khiu2	kʰiu˥˥			
球	kiu2	kiu˥˥			
舅	ku4	ku˨˥			
臼	khu4	kʰu˨˥			
咎	kiu4	kiu˨˥			
舊	ku6	ku˨˩			
柩	kiu4	kiu˨˥			
牛	gu2	gu˥˥			
休	hiunn1	hiũ˧˧			
朽	hiunn3	hiũ˥˩			
嗅	hiunn5	hiũ˨˩˨			
憂	iu1	iu˧˧			
優	iu1	iu˧˧			
尤	iu2	iu˥˥			
郵	iu2	iu˥˥			
有	iu3	iu˥˩	文		
有	u4	u˨˥	白		
友	iu3	iu˥˩			
又	iu4	iu˨˥			
右	iu4	iu˨˥			
宥	iu4	iu˨˥			
祐	iu4	iu˨˥			
油	iu2	iu˥˥			
游	iu2	iu˥˥			
悠	hiunn1	hiũ˧˧			
猶	iu2	iu˥˥			
由	iu2	iu˥˥			
酉	iu3	iu˥˩			
誘	iu3	iu˥˩			
柚	iu6	iu˨˩			
彪	piu1	piu˧˧			
謬	miu4	miu˨˥			
丢	tiu1	tiu˧˧			
糾	kiu4	kiu˨˥			
幽	hiunn1	hiũ˧˧			
幼	iunn5	iũ˨˩˨			
耽	tam1	tam˧˧			
貪	tham1	tʰam˧˧			
探	tham5	tʰam˨˩˨			
潭	tham2	tʰam˥˥			
譚	tham2	tʰam˥˥			
南	lam2	lam˥˥			
男	lam2	lam˥˥			
婪	lam2	lam˥˥			
腩	lam3	lam˥˩			
參	tsham1	tsʰam˧˧			
慘	tsham3	tsʰam˥˩			
蠶	tshoinn2	tsʰõi˥˥			
感	kam3	kam˥˩			
堪	kham1	kʰam˧˧			
坎	kham3	kʰam˥˩			
坎	kham1	kʰam˧˧	~坷		
坎	kham5	kʰam˨˩˨			
砍	kham3	kʰam˥˩			
勘	kham1	kʰam˧˧			
含	ham2	ham˥˥	文		
含	kam2	kam˥˥	白		
函	ham2	ham˥˥			
撼	ham3	ham˥˩			
憾	ham4	ham˨˥			
憾	ham6	ham˨˩			
庵	am1	am˧˧			
諳	am1	am˧˧			
暗	am5	am˨˩˨			
擔	tam1	tam˧˧	文		
擔	tann1	tã˧˧	白		
膽	tann3	tã˥˩			
擔	tann5	tã˨˩˨	白		
坍	tham1	tʰam˧˧			
毯	thang3	tʰaŋ˥˩			
痰	tham2	tʰam˥˥			
談	tham2	tʰam˥˥			
淡	tam4	tam˨˥	文		
淡	tann4	tã˨˥	白		
藍	lam2	lam˥˥	文		
藍	nann2	nã˥˥	白，姓氏		
籃	lam1	lam˧˧	豬~		
籃	nann2	nã˥˥	白		
欖	lam3	lam˥˩	文		
欖	nann3	nã˥˩	白		
攬	lam3	lam˥˩			
覽	lam3	lam˥˩			
纜	lam3	lam˥˩			
濫	lam4	lam˨˥			
慚	tsham2	tsʰam˥˥			
暫	tsiam4	tsiam˨˥			
三	sam1	sam˧˧	文		
三	sann1	sã˧˧	白		
柑	kam1	kam˧˧	文，油~		
柑	kann1	kã˧˧	白		
泔	kam1	kam˧˧			
甘	kam1	kam˧˧			
敢	kann3	kã˥˩			
橄	kann1	kã˧˧			
蚶	ham1	ham˧˧			
喊	ham5	ham˨˩˨			
邯	ham2	ham˥˥			
酣	ham1	ham˧˧			
站	tsam4	tsam˨˥			
賺	tsuang5	tsuaŋ˨˩˨	文		
賺	tann6	tã˨˩	白，錯誤		
賺	thang5	tʰaŋ˨˩˨	訓“趁”		
斬	tsam3	tsam˥˩			
蘸	tsam5	tsam˨˩˨			
讒	tsham2	tsʰam˥˥			
饞	tsham2	tsʰam˥˥			
杉	sam1	sam˧˧			
尷	kam1	kam˧˧			
減	kiam3	kiam˥˩			
槛	kham3	kʰam˥˩			
槛	kham5	kʰam˨˩˨			
鹹	kiam2	kiam˥˥			
咸	ham2	ham˥˥			
陷	ham6	ham˨˩			
懺	tshiam1	tsʰiam˧˧			
懺	tshiam5	tsʰiam˨˩˨			
監	kam1	kam˧˧			
監	kam5	kam˨˩˨			
鑒	kam5	kam˨˩˨			
嵌	khiam2	kʰiam˥˥			
巖	ngam2	ŋam˥˥			
銜	ham2	ham˥˥	文		
銜	kann2	kã˥˥	白		
艦	lam3	lam˥˩			
貶	phiang3	pʰiaŋ˥˩			
貶	phing3	pʰiŋ˥˩			
黏	liam1	liam˧˧	文		
黏	liam2	liam˥˥			
廉	liam2	liam˥˥			
鐮	liam2	liam˥˥			
簾	liam2	liam˥˥			
斂	liam3	liam˥˩			
尖	tsiam1	tsiam˧˧			
殲	tshiam1	tsʰiam˧˧			
籤	tshiam1	tsʰiam˧˧			
簽	tshiam1	tsʰiam˧˧			
潛	tshiam2	tsʰiam˥˥			
漸	tsiam4	tsiam˨˥			
暹	siam2	siam˥˥			
纖	tshiam1	tsʰiam˧˧			
沾	liam1	liam˧˧	俗		
沾	tiam1	tiam˧˧			
粘	liam1	liam˧˧			
瞻	tsiam1	tsiam˧˧			
占	tsiam1	tsiam˧˧			
占	tsiam5	tsiam˨˩˨			
陝	siam3	siam˥˩			
閃	siam3	siam˥˩			
贍	tsiam1	tsiam˧˧			
染	jiam3	dziam˥˩	文		
染	ninn3	nĩ˥˩	白		
冉	jiam3	dziam˥˩			
檢	kiam3	kiam˥˩			
臉	liam3	liam˥˩	文		
臉	liang3	liaŋ˥˩	好~		
鉗	khiam2	kʰiam˥˥	文		
鉗	kinn2	kĩ˥˥	白，鉄~		
鉗	khinn2	kʰĩ˥˥	白，火~		
儉	khiam4	kʰiam˨˥			
驗	ngiam6	ŋiam˨˩			
險	hiam3	hiam˥˩			
淹	iam1	iam˧˧			
淹	im1	im˧˧	口語		
腌	iam1	iam˧˧			
閹	iam1	iam˧˧			
掩	iam1	iam˧˧	俗		
掩	iam3	iam˥˩			
厭	iam5	iam˨˩˨			
炎	iam4	iam˨˥			
炎	iam6	iam˨˩			
鹽	iam2	iam˥˥			
閻	ngiam2	ŋiam˥˥			
檐	liam2	liam˥˥			
檐	siam2	siam˥˥	又		
檐	tsinn2	tsĩ˥˥			
艷	iam6	iam˨˩			
焰	iam6	iam˨˩			
劍	kiam5	kiam˨˩˨			
欠	khiam5	kʰiam˨˩˨			
嚴	ngiam2	ŋiam˥˥			
掂	tiam1	tiam˧˧			
點	tiam3	tiam˥˩			
墊	tiang4	tiaŋ˨˥			
店	tiam5	tiam˨˩˨			
添	thiam1	tʰiam˧˧	文		
添	thinn1	tʰĩ˧˧	白		
忝	thiam3	tʰiam˥˩			
舔	thiam3	tʰiam˥˩			
甜	tiam2	tiam˥˥			
拈	liam1	liam˧˧	文		
拈	ninn1	nĩ˧˧	白		
鮎	liam2	liam˥˥			
念	liam4	liam˨˥			
唸	liam6	liam˨˩			
僭	tshiam5	tsʰiam˨˩˨			
蒹	kiam1	kiam˧˧			
謙	khiam1	kʰiam˧˧			
歉	khiam3	kʰiam˥˩			
嫌	hiam2	hiam˥˥			
泛	huam5	huam˨˩˨			
凡	huam2	huam˥˥			
帆	phang2	pʰaŋ˥˥			
範	huam4	huam˨˥			
范	huam4	huam˨˥			
犯	huam4	huam˨˥			
梵	huam2	huam˥˥			
答	tap7	tap˨			
搭	tap7	tap˨	文		
搭	tah7	taʔ˨	白		
踏	tah8	taʔ˥˦			
納	nap8	nap˥˦			
拉	la1	la˧˧	俗		
拉	lap7	lap˨			
雜	tsap8	tsap˥˦			
蛤	kap7	kap˨			
蛤	hah7	haʔ˨	俗		
鴿	kap7	kap˨			
哈	hah7	haʔ˨			
合	hap8	hap˥˦	文		
合	kap7	kap˨	文		
合	kop8	kop˥˦	替		
合	hah8	haʔ˥˦	白		
合	kah7	kaʔ˨	白		
合	kah8	kaʔ˥˦	白		
盒	ap8	ap˥˦			
榻	thap7	tʰap˨			
塔	thah7	tʰaʔ˨			
塌	thap8	tʰap˥˦			
塌	thap7	tʰap˨			
臘	lah8	laʔ˥˦			
蠟	lah8	laʔ˥˦			
卅	sam1	sam˧˧			
磕	khap7	kʰap˨			
眨	tsap7	tsap˨			
插	tshap7	tsʰap˨	文		
插	tshah7	tsʰaʔ˨	白		
閘	tsah8	tsaʔ˥˦			
煠	tsah8	tsaʔ˥˦			
煠	sah8	saʔ˥˦			
霎	siap7	siap˨			
夾	kiap7	kiap˨	文		
夾	koih7	koiʔ˨	白		
夾	ngoih7	ŋoiʔ˨	白，又		
恰	khap7	kʰap˨			
狹	hiap8	hiap˥˦	文		
狹	oih8	oiʔ˥˦	白		
峽	kiap8	kiap˥˦			
峽	kiap7	kiap˨	又		
洽	tsiap8	tsiap˥˦			
甲	kah7	kaʔ˨			
匣	ap8	ap˥˦			
鴨	ah7	aʔ˨			
押	ap7	ap˨	文		
押	ah7	aʔ˨	白		
壓	iap7	iap˨			
聶	niap7	niap˨			
鑷	niap7	niap˨			
獵	lah8	laʔ˥˦			
接	tsiap7	tsiap˨	文		
接	tsih7	tsiʔ˨	白		
妾	tshiap7	tsʰiap˨			
捷	tsiap8	tsiap˥˦			
摺	tsih7	tsiʔ˨			
聶	niap7	niap˨			
攝	niap7	niap˨			
鑷	niap7	niap˨			
涉	siap8	siap˥˦			
靨	iap7	iap˨			
葉	iap8	iap˥˦			
葉	hiap8	hiap˥˦	又		
葉	hioh8	hioʔ˥˦	訓“箬”		
葉	hah7	haʔ˨	訓		
劫	kiap7	kiap˨			
怯	khiak7	kʰiak˨			
業	ngiap8	ŋiap˥˦	文		
業	giap8	giap˥˦	頻繁		
脅	hiap8	hiap˥˦			
貼	thiap7	tʰiap˨	文		
貼	thoih7	tʰoiʔ˨	白		
帖	thiap7	tʰiap˨			
疊	tiap8	tiap˥˦	文		
疊	thiap8	tʰiap˥˦	動詞		
疊	thah8	tʰaʔ˥˦	替，量詞		
牒	tiap8	tiap˥˦			
蝶	tiap8	tiap˥˦			
諜	tiap8	tiap˥˦			
碟	tih8	tiʔ˥˦			
協	hiap8	hiap˥˦			
俠	hiap8	hiap˥˦			
挾	hiap8	hiap˥˦	文		
挾	kiap8	kiap˥˦	文		
挾	ngiap8	ŋiap˥˦	又		
挾	koih8	koiʔ˥˦	白		
法	huap7	huap˨			
乏	huak8	huak˥˦			
禀	ping3	piŋ˥˩			
品	phing3	pʰiŋ˥˩			
賃	jim4	dzim˨˥			
林	lim2	lim˥˥			
林	nann2	nã˥˥	地名		
淋	lim2	lim˥˥	文		
淋	lam2	lam˥˥	白		
臨	lim2	lim˥˥			
凛	lim3	lim˥˩			
浸	tsim5	tsim˨˩˨			
侵	tshim2	tsʰim˥˥			
寢	tshim3	tsʰim˥˩			
沁	sim3	sim˥˩	俗		
心	sim1	sim˧˧			
尋	tshim2	tsʰim˥˥			
尋	siam2	siam˥˥	白，又，量詞		
尋	tshinn2	tsʰĩ˥˥	白，量詞		
撏	tsiam2	tsiam˥˥			
沉	tim2	tim˥˥			
沉	thim6	tʰim˨˩	使沉		
沈	sim3	sim˥˩			
沈	tim2	tim˥˥			
沈	thim6	tʰim˨˩	使沉		
朕	tim4	tim˨˥			
簪	tsang1	tsaŋ˧˧	俗		
森	som1	som˧˧			
參	som1	som˧˧			
滲	tsham1	tsʰam˧˧	俗		
滲	siam5	siam˨˩˨	白		
針	tsam1	tsam˧˧			
斟	tsim1	tsim˧˧			
枕	tsim3	tsim˥˩			
深	tshim1	tsʰim˧˧			
瀋	sim3	sim˥˩			
審	sim3	sim˥˩			
嬸	sim3	sim˥˩			
甚	sim3	sim˥˩			
甚	sim4	sim˨˥	又		
壬	jim4	dzim˨˥			
任	jim4	dzim˨˥			
任	jim6	dzim˨˩			
妊	jim4	dzim˨˥			
今	kim1	kim˧˧			
金	kim1	kim˧˧			
襟	kim1	kim˧˧			
禁	kim1	kim˧˧			
錦	kim3	kim˥˩			
禁	kim5	kim˨˩˨			
欽	khim1	kʰim˧˧			
琴	khim2	kʰim˥˥			
禽	khim2	kʰim˥˥			
擒	khim2	kʰim˥˥			
妗	kim4	kim˨˥			
吟	ngim2	ŋim˥˥			
音	im1	im˧˧			
陰	im1	im˧˧			
飲	im3	im˥˩	文		
飲	am3	am˥˩	白		
蔭	im5	im˨˩˨			
淫	im2	im˥˥			
立	lip8	lip˥˦			
粒	liap8	liap˥˦			
緝	tship7	tsʰip˨			
集	tsip8	tsip˥˦			
輯	tship7	tsʰip˨			
習	sip8	sip˥˦			
襲	sip8	sip˥˦			
蟄	tek8	tɛk˥˦			
澀	siap7	siap˨			
汁	tsap7	tsap˨			
執	tsip7	tsip˨			
濕	sip7	sip˨			
十	tsap8	tsap˥˦			
什	sim4	sim˨˥	~麽		
什	tsap8	tsap˥˦			
拾	sip8	sip˥˦			
入	jip8	dzip˥˦			
急	kip7	kip˨			
級	khip7	kʰip˨			
汲	khip7	kʰip˨			
給	kip7	kip˨			
泣	khip7	kʰip˨			
及	kip8	kip˥˦			
吸	khip7	kʰip˨			
吸	hiap7	hiap˨	白		
邑	ip7	ip˨			
邑	ik8	ik˥˦	俗		
浥	ip7	ip˨			
丹	tang1	taŋ˧˧	文		
丹	tuann1	tuã˧˧	白，牡~		
旦	tang5	taŋ˨˩˨	文		
旦	tuann5	tuã˨˩˨	白		
灘	thuann1	tʰuã˧˧			
攤	thuann1	tʰuã˧˧			
攤	nuann3	nuã˥˩	替		
攤	nuann5	nuã˨˩˨	替		
坦	thang3	tʰaŋ˥˩			
嘆	thang5	tʰaŋ˨˩˨			
炭	thuann5	tʰuã˨˩˨			
檀	thang2	tʰaŋ˥˥			
壇	tuann2	tuã˥˥			
彈	thang2	tʰaŋ˥˥	文		
彈	tuann2	tuã˥˥	白，~琴		
誕	tang5	taŋ˨˩˨			
但	tang4	taŋ˨˥			
彈	tuann6	tuã˨˩	白		
蛋	tang5	taŋ˨˩˨			
憚	tang4	taŋ˨˥			
難	lang2	laŋ˥˥			
難	lang6	laŋ˨˩			
蘭	lang2	laŋ˥˥			
蘭	lang1	lang˧˧	荷~豆		
攔	lang2	laŋ˥˥			
欄	lang2	laŋ˥˥			
懶	lang3	laŋ˥˩	文		
懶	tuann4	tuã˨˥	白		
爛	lang4	laŋ˨˥	文		
爛	nuann6	nuã˨˩	白		
贊	tsang5	tsaŋ˨˩˨			
餐	tshang1	tsʰaŋ˧˧			
燦	tshang5	tsʰaŋ˨˩˨			
殘	tshang2	tsʰaŋ˥˥			
珊	sang1	saŋ˧˧			
散	suann3	suã˥˩			
傘	suann5	suã˨˩˨			
散	suann5	suã˨˩˨			
肝	kuann1	kuã˧˧			
竿	kuann1	kuã˧˧			
竿	ko1	ko˧˧	訓“篙”		
干	kang1	kaŋ˧˧			
乾	khiang2	kʰiaŋ˥˥	文		
乾	kang1	kaŋ˧˧	文		
乾	kuann1	kuã˧˧	白		
桿	hang3	haŋ˥˩	俗		
桿	kuann1	kuã˧˧			
趕	kuann3	kuã˥˩			
幹	kang5	kaŋ˨˩˨			
看	khang1	kʰaŋ˧˧	文		
刊	khang2	kʰaŋ˥˥			
侃	khang3	kʰaŋ˥˩			
看	khang5	kʰaŋ˨˩˨	文		
看	khuann5	kʰuã˨˩˨	白		
看	thoinn3	tʰõi˥˩	訓		
岸	ngai4	ŋai˨˥	文		
岸	huann6	huã˨˨	白		
鼾	huann2	huã˥˥			
罕	hang3	haŋ˥˩			
焊	hang3	haŋ˥˩			
漢	hang5	haŋ˨˩˨			
寒	hang2	haŋ˥˥	文		
寒	kuann2	kuã˥˥	白		
韓	hang2	haŋ˥˥			
旱	uann4	uã˨˥			
垾	huann6	huã˨˩			
捍	hang3	haŋ˥˩			
扞	hang3	haŋ˥˩	文		
扞	huann6	huã˨˩	白		
悍	hang3	haŋ˥˩			
汗	hang3	haŋ˥˩	文		
汗	hang2	haŋ˥˥	文，可~		
汗	kuann6	kuã˨˩	白		
翰	hang2	haŋ˥˥			
安	ang1	aŋ˧˧	文		
安	uann1	uã˧˧	白		
鞍	uann1	uã˧˧			
按	ang5	aŋ˨˩˨			
案	uann5	uã˨˩˨			
桉	ang5	aŋ˨˩˨			
扮	pang5	paŋ˨˩˨			
盼	phang5	pʰaŋ˨˩˨			
辦	phoinn6	pʰõi˨˩			
綻	teng4	tɛŋ˨˥	俗		
盞	tsuann3	tsuã˥˩			
鏟	tshang3	tsʰaŋ˥˩	文		
鏟	thuann3	tʰuã˥˩	白		
山	sang1	saŋ˧˧	文		
山	suann1	suã˧˧	白		
產	suann3	suã˥˩			
艱	kang1	kaŋ˧˧			
間	kang1	kaŋ˧˧	文		
間	koinn1	kõi˧˧	白		
簡	kang3	kaŋ˥˩			
襇	koinn3	kõi˥˩			
揀	koinn3	kõi˥˩			
柬	kang3	kaŋ˥˩			
間	koinn5	kõi˨˩˨	白		
眼	ngang3	ŋaŋ˥˩	文		
眼	oinn3	õi˥˩	白，龍~		
閒	oinn2	õi˥˥			
限	hang4	haŋ˨˥			
莧	hoinn6	hõi˨˩			
班	pang1	paŋ˧˧			
斑	pang1	paŋ˧˧	文		
斑	poinn1	põi˧˧	白		
頒	pang1	paŋ˧˧			
板	pang3	paŋ˥˩			
版	pang3	paŋ˥˩			
坂	pang3	paŋ˥˩	文		
坂	puann3	puã˥˩	白，地名		
攀	phang1	pʰaŋ˧˧			
蠻	mang2	maŋ˥˥			
慢	muang4/buang4	muaŋ˨˥/buaŋ˨˥	文		
慢	mang6	maŋ˨˩			
慢	mang2	maŋ˥˥	又		
棧	tsang5	tsaŋ˨˩˨			
删	sang1	saŋ˧˧			
奸	kang1	kaŋ˧˧			
姦	kang1	kaŋ˧˧			
諫	kam5	kam˨˩˨			
顏	nguang2	ŋuaŋ˥˥			
顏	hiann2	hiã˥˥	姓氏		
雁	ngang4	ŋaŋ˨˥			
晏	ang5	aŋ˨˩˨	文		
晏	uann5	uã˨˩˨	白，晚		
編	phiang1	pʰiaŋ˧˧	文		
編	pinn1	pĩ˧˧	白		
鞭	piang1	piaŋ˧˧			
變	piang5	piaŋ˨˩˨	文		
變	pinn5	pĩ˨˩˨	白		
篇	phiang1	pʰiaŋ˧˧	文		
篇	phing1	pʰiŋ˧˧	又，量詞		
偏	phiang1	pʰiaŋ˧˧			
騙	phiang5	pʰiaŋ˨˩˨	文		
騙	phing5	pʰiŋ˨˩˨	口語		
辨	piang4	piaŋ˨˥			
辯	piang4	piaŋ˨˥			
便	piang4	piaŋ˨˥	文		
便	ping6	piŋ˨˩			
便	pang2	paŋ˥˥	白，~宜		
綿	miang2	miaŋ˥˥	文		
綿	minn2	mĩ˥˥	白		
免	miang3	miaŋ˥˩	文		
免	ming3	miŋ˥˩			
勉	miang3	miaŋ˥˩			
娩	miang3	miaŋ˥˩			
緬	miang2	miaŋ˥˥			
緬	miang3	miaŋ˥˩	又		
面	ming6	miŋ˨˩			
碾	tiang3	tiaŋ˥˩	俗		
連	liang2	liaŋ˥˥			
聯	liang2	liaŋ˥˥			
輦	ling3	liŋ˥˩			
煎	tsiang1	tsiaŋ˧˧	文		
煎	tsuann1	tsuã˧˧	白		
剪	tsiang3	tsiaŋ˥˩			
箭	tsinn5	tsĩ˨˩˨			
遷	tshiang1	tsʰiaŋ˧˧			
淺	tshiang3	tsʰiaŋ˥˩			
錢	tshiang2	tsʰiaŋ˥˥	文		
錢	tsinn2	tsĩ˥˥	白		
踐	tsiang3	tsiaŋ˥˩			
賤	tsuann6	tsuã˨˩			
仙	siang1	siaŋ˧˧			
鮮	siang3	siaŋ˥˩			
鮮	tshinn1	tsʰĩ˧˧			
癬	siang3	siaŋ˥˩			
線	suann5	suã˨˩˨			
涎	iang4	iaŋ˨˥	俗		
涎	tsuann2	tsuã˥˥	替		
羨	iang4	iaŋ˨˥			
展	tiang3	tiaŋ˥˩			
纏	tinn2	tĩ˥˥			
戰	tsiang5	tsiaŋ˨˩˨			
顫	tsiang5	tsiaŋ˨˩˨			
扇	siang5	siaŋ˨˩˨	文		
扇	sinn5	sĩ˨˩˨	白		
蟬	siang2	siaŋ˥˥			
禪	siang2	siaŋ˥˥			
善	siang4	siaŋ˨˥			
膳	siang4	siaŋ˨˥			
擅	siang4	siaŋ˨˥			
單	siang4	siaŋ˨˥			
單	siang2	siaŋ˥˥	~于		
單	tuann1	tuã˧˧			
禪	siang4	siaŋ˨˥			
然	jiang2	dziaŋ˥˥			
燃	jiang2	dziaŋ˥˥	文		
燃	hiann2	hiã˥˥	白		
遣	khiang3	kʰiaŋ˥˩			
虔	khiang1	kʰiaŋ˧˧			
囝	kiann3	kiã˥˩			
囝	ngiann3	ŋiã˥˩	又		
件	kiann4	kiã˨˥			
諺	ngang4	ŋaŋ˨˥			
焉	iang1	iaŋ˧˧			
延	iang4	iaŋ˨˥			
演	ing2	iŋ˥˥			
建	kiang4	kiaŋ˨˥			
建	kiang5	kiaŋ˨˩˨	福~		
鍵	kiang4	kiaŋ˨˥			
健	kiang4	kiaŋ˨˥	文		
健	kiann6	kiã˨˩	白		
腱	kiang4	kiaŋ˨˥			
言	ngang2	ŋaŋ˥˥			
軒	hurng1	hɯŋ˧˧			
掀	hurng1	hɯŋ˧˧			
掀	hiang1	hiaŋ˧˧			
憲	hiang5	hiaŋ˨˩˨			
獻	hiang5	hiaŋ˨˩˨			
蔫	iang1	iaŋ˧˧			
堰	iam1	iam˧˧	俗		
邊	piang1	piaŋ˧˧	文		
邊	pinn1	pĩ˧˧	白		
蝙	phiang1	pʰiaŋ˧˧			
蝙	piang3	piaŋ˥˩	又		
扁	piang3	piaŋ˥˩	文		
扁	pinn3	pĩ˥˩	白		
匾	piang3	piaŋ˥˩			
匾	ping3	piŋ˥˩	又		
遍	piang5	piaŋ˨˩˨	文		
遍	ping5	piŋ˨˩˨			
片	phiang5	pʰiaŋ˨˩˨	文		
