汉字	拼音	IPA	注释		
布	pou5	pou˨˩˨			
佈	pu5	pu˨˩˨	文		
佈	pou5	pou˨˩˨	~田		
鋪	phou1	pʰou˧˧			
普	phou3	pʰou˥˩			
浦	phou3	pʰou˥˩			
鋪	phou5	pʰou˨˩˨			
怖	pu5	pu˨˩˨			
菩	phu2	pʰu˥˥			
蒲	phu2	pʰu˥˥			
脯	pou3	pou˥˩			
部	pou4	pou˨˥			
簿	phou4	pʰou˨˥			
步	pou6	pou˨˩			
捕	pu1	pu˧˧			
埠	pou1	pou˧˧			
模	mo1	mo˧˧	文		
模	mo2	mo˥˥	文，又		
模	bou2	bou˥˥			
暮	mo4	mo˨˥			
墓	mo4	mo˨˥			
募	mo4	mo˨˥			
慕	mo4	mo˨˥			
都	tou1	tou˧˧			
都	to1	to˧˧	口語		
堵	tu3	tu˥˩			
賭	tu3	tu˥˩			
肚	tou3	tou˥˩			
妒	kou5	kou˨˩˨			
土	thou3	tʰou˥˩			
土	to4	to˨˥	~糞		
吐	thou5	tʰou˨˩˨			
兔	thou5	tʰou˨˩˨			
途	thu2	tʰu˥˥			
屠	tou2	tou˥˥			
圖	thu2	tʰu˥˥	文		
圖	tou2	tou˥˥			
徒	thu2	tʰu˥˥			
塗	thu2	tʰu˥˥	文		
塗	tou2	tou˥˥			
塗	thou2	tʰou˥˥	白		
肚	tou4	tou˨˥			
杜	tou4	tou˨˥			
度	tou6	tou˨˩			
渡	tou6	tou˨˩			
鍍	tou6	tou˨˩			
奴	nou2	nou˥˥			
孥	nou1	nou˧˧			
孥	nou2	nou˥˥			
努	no5	no˨˩˨			
怒	no5	no˨˩˨	文		
怒	lou3	lou˥˩	白		
盧	lou2	lou˥˥			
爐	lou2	lou˥˥			
鹵	lou3	lou˥˩			
鹵	lou4	lou˨˥			
魯	lu3	lu˥˩			
櫓	lu3	lu˥˩			
虜	lu3	lu˥˩			
露	lou5	lou˨˩˨			
露	lou6	lou˨˩	名詞		
路	lou6	lou˨˩			
賂	lu4	lu˨˥			
租	tsou1	tsou˧˧			
祖	tsou3	tsou˥˩			
組	tsu1	tsu˧˧			
粗	tshou1	tsʰou˧˧			
醋	tshou5	tsʰou˨˩˨			
錯	tsho5	tsʰo˨˩˨			
措	tshu5	tsʰu˨˩˨			
厝	tshu5	tsʰu˨˩˨	替		
蘇	sou1	sou˧˧			
酥	sou1	sou˧˧			
素	su5	su˨˩˨	文		
素	sou5	sou˨˩˨	味~		
塑	sok7	sok˨	俗		
塑	suak7	suak˨	俗，又		
訴	su5	su˨˩˨			
辜	ku1	ku˧˧	文		
辜	kou1	kou˧˧			
孤	kou1	kou˧˧			
箍	khou1	kʰou˧˧			
姑	kou1	kou˧˧			
估	kou3	kou˥˩			
古	kou3	kou˥˩			
股	kou3	kou˥˩			
鼓	kou3	kou˥˩			
故	ku5	ku˨˩˨			
故	ku6	ku˨˩	訓“舊”		
顧	ku5	ku˨˩˨	文		
顧	kou5	kou˨˩˨			
固	ku5	ku˨˩˨			
雇	kou5	kou˨˩˨			
枯	kou1	kou˧˧			
苦	khou3	kʰou˥˩			
庫	khou5	kʰou˨˩˨			
褲	khou5	kʰou˨˩˨			
梧	ngo2	ŋo˥˥			
吾	u2	u˥˥			
吳	gou2	gou˥˥			
五	u3	u˥˩	文，二一添作~		
五	ngou3	ŋou˥˩	文		
五	ngou4	ŋou˨˥	白		
午	ngou3	ŋou˥˩	文		
午	ngou4	ŋou˨˥	白，地支		
伍	ngou3	ŋou˥˩			
悟	ngo4	ŋo˨˥			
悟	ngo2	ŋo˥˥	又，孫~空		
誤	gou6	gou˨˩			
呼	u1	u˧˧	文		
呼	hu1	hu˧˧	文，又		
呼	hou1	hou˧˧	招~		
呼	khou1	kʰou˧˧	白		
虎	hu1	hu˧˧	馬~		
虎	hounn3	hõu˥˩	白		
滸	hu3	hu˥˩			
滸	hur3	hɯ˥˩			
戽	hou5	hou˨˩˨			
乎	hu1	hu˧˧			
壺	hu2	hu˥˥			
胡	hu2	hu˥˥	文		
胡	hou2	hou˥˥	~椒		
胡	ou2	ou˥˥	白，姓氏		
鬍	hou2	hou˥˥			
狐	hu2	hu˥˥	文		
狐	hou2	hou˥˥			
湖	ou2	ou˥˥			
糊	hu2	hu˥˥	文		
糊	kou2	kou˥˥	白		
戶	hou4	hou˨˥			
滬	hu4	hu˨˥			
互	hu4	hu˨˥			
護	hu4	hu˨˥			
烏	ou1	ou˧˧			
污	u1	u˧˧			
惡	u5	u˨˩˨			
女	ni3	ni˥˩	文，口語		
女	nng3	nŋ˥˩			
廬	lu2	lu˥˥	文		
廬	lou2	lou˥˥	~山		
驢	lur2	lɯ˥˥			
呂	lur4	lɯ˨˥			
侶	lur4	lɯ˨˥			
旅	li3	li˥˩			
慮	lur4	lɯ˨˥			
濾	lur4	lɯ˨˥			
蛆	tsu1	tsu˧˧	俗		
疽	tsu1	tsu˧˧	俗		
胥	su1	su˧˧			
絮	su5	su˨˩˨	文		
絮	tshiu5	tsʰiu˨˩˨	替		
徐	sur2	sɯ˥˥	文		
徐	tshur2	tsʰɯ˥˥	白		
序	su4	su˨˥			
緒	su3	su˥˩			
叙	su4	su˨˥			
豬	tur1	tɯ˧˧			
貯	tiu3	tiu˥˩			
著	tu5	tu˨˩˨			
褚	su3	su˥˩			
除	tur2	tɯ˥˥			
儲	thu2	tʰu˥˥			
