	字	音	調	注			聲調																																										
	衛	vəi	5																																														
	也	ziɛ	3																																														
	女	ny	3																																														
	刃	zen	5																																														
	飛	fəi	1																																														
	習	siʔ	7																																														
	叉	tsʰa	1																																														
	馬	ma	3																																														
	鄉	hiaŋ	1																																														
	豐	fuŋ	1																																														
	王	vaŋ	2																																														
	開	kʰai	1																																														
	井	tseŋ	3																																														
	天	tʰiəŋ	1																																														
	夫	fu	1																																														
	元	zuən	2																																														
	無	vu	2																																														
	雲	zyin	2																																														
	專	tsuən	1																																														
	丐	kai	5																																														
	紮	tsaʔ	7																																														
	藝	zi	5																																														
	木	muʔ	7																																														
	五	vu	3																																														
	支	tsi	1																																														
	廳	tʰeŋ	1																																														
	不	puʔ	7																																														
	犬	kʰiən	3																																														
	太	tʰai	5																																														
	區	kʰy	1																																														
	曆	liʔ	7																																														
	歹	tai	3																																														
	友	zəu	3																																														
	尤	zəu	2																																														
	匹	pʰiʔ	7																																														
	車	tsʰiɛ	1																																														
	巨	ky	5																																														
	牙	za	2																																														
	牙	ai	2																																														
	屯	tʰən	2																																														
	戈	kɔ	1																																														
	比	pi	3																																														
	互	hu	5																																														
	切	tsʰiɛʔ	7																																														
	切	tsʰiɛ	5																																														
	瓦	va	3																																														
	止	tsi	3																																														
	少	sau	3																																														
	少	sau	5																																														
	曰	ziɛ	1																																														
	日	ziʔ	7																																														
	中	tsuŋ	1																																														
	貝	pəi	5																																														
	岡	kaŋ	1																																														
	內	ləi	5																																														
	水	suəi	3																																														
	見	kiən	5																																														
	午	vu	3																																														
	牛	liu	2																																														
	手	səu	3																																														
	氣	kʰi	5																																														
	毛	mau	2																																														
	壬	zen	2																																														
	升	səŋ	1																																														
	夭	zau	1																																														
	長	tsʰaŋ	2																																														
	長	tsaŋ	3																																														
	仁	zen	2																																														
	什	su	3																																														
	什	si	3																																														
	什	siʔ	7																																														
	片	pʰiən	5																																														
	僕	pʰuʔ	7																																														
	化	hua	5																																														
	仇	tsʰəu	2																																														
	幣	pi	5																																														
	仍	zeŋ	1																																														
	僅	ken	3																																														
	斤	ken	1																																														
	爪	tsau	3																																														
	爪	tsua	3																																														
	反	fan	3																																														
	介	kai	5																																														
	父	fu	5																																														
	從	tsʰuŋ	2																																														
	侖	lən	2																																														
	今	ken	1																																														
	凶	hiuŋ	1																																														
	分	fen	1																																														
	乏	faʔ	7																																														
	公	kuŋ	1																																														
	倉	tsʰaŋ	1																																														
	月	zyɛʔ	7																																														
	氏	si	5																																														
	勿	vuʔ	7																																														
	欠	kʰiən	5																																														
	風	fuŋ	1																																														
	丹	tan	1																																														
	勻	zyin	2																																														
	烏	vu	1																																														
	勾	kəu	1																																														
	鳳	fuŋ	5																																														
	六	luʔ	7																																														
	文	ven	2																																														
	亢	kʰaŋ	5																																														
	方	faŋ	1																																														
	火	huə	3																																														
	爲	vei	2																																														
	爲	vei	3																																														
	鬥	təu	5																																														
	憶	ziʔ	7																																														
	計	ki	5																																														
	訂	teŋ	5																																														
	戶	hu	5																																														
	認	zen	5																																														
	冗	zuŋ	5																																														
	譏	ki	1																																														
	心	sen	1																																														
	尺	tsʰiʔ	7																																														
	引	zen	3																																														
	醜	tsʰəu	3																																														
	巴	pa	1																																														
	孔	kʰuŋ	3																																														
	隊	təi	5																																														
	辦	pan	5																																														
	以	zi	3																																														
	允	zyin	3																																														
	予	zy	3																																														
	鄧	tɘŋ	5																																														
	勸	kʰiən	5																																														
	雙	suaŋ	1																																														
	書	sy	1																																														
	幻	huaŋ	5																																														
	玉	zuʔ	7																																														
	玉	zy	5																																														
	刊	kʰan	1																																														
	未	vəi	5																																														
	末	mɔʔ	7																																														
	示	si	5																																														
	擊	kiʔ	7																																														
	打	ta	3																																														
	巧	kʰiau	3																																														
	正	tseŋ	5																																														
	撲	pʰuʔ	7																																														
	卉	huəi	5																																														
	扒	pa	1																																														
	扒	pʰaʔ	7																																														
	功	kuŋ	1																																														
	扔	ləŋ	1																																														
	去	kɤ	5																																														
	甘	kan	1																																														
	世	si	5																																														
	艾	ai	5																																														
	古	ku	3																																														
	節	tsiɛʔ	7																																														
	本	pen	3																																														
	術	suʔ	7																																														
	可	kɔ	3																																														
	丙	peŋ	3																																														
	左	tsɔ	3																																														
	厲	li	5																																														
	石	siʔ	7																																														
	石	su	2	石榴																																													
	右	zəu	5																																														
	布	pu	5																																														
	夯	haŋ	1																																														
	戊	vu	5																																														
	龍	luŋ	2																																														
	平	pʰeŋ	2																																														
	滅	miɛʔ	7																																														
	軋	iaʔ	7																																														
	東	tuŋ	1																																														
	卡	kʰa	3																																														
	北	puʔ	7																																														
	占	tsaŋ	5																																														
	占	tsiən	5																																														
	凸	tʰuʔ	7																																														
	盧	lu	2																																														
	業	liɛʔ	7																																														
	舊	kiu	5																																														
	帥	suai	5																																														
	歸	kuəi	1																																														
	旦	tan	5																																														
	目	muʔ	7																																														
	且	tsʰiɛ	3																																														
	葉	zəiʔ	7																																														
	葉	ziɛʔ	7																																														
	甲	kiaʔ	7																																														
	申	sen	1																																														
	叮	teŋ	1																																														
	電	tiən	5																																														
	號	hau	5																																														
	田	tiən	2																																														
	由	zəu	2																																														
	只	tsi	3																																														
	叭	pa	1																																														
	史	si	3																																														
	央	iaŋ	1																																														
	兄	hiuŋ	1																																														
	嘰	ki	1																																														
	叼	tiau	1																																														
	叫	kiau	5																																														
	叩	kʰəu	5																																														
	叨	tau	1																																														
	另	leŋ	5																																														
	歎	tʰan	5																																														
	冉	zən	3																																														
	皿	meŋ	3																																														
	凹	au	1																																														
	凹	vaʔ	7																																														
	囚	tsʰiu	2																																														
	四	si	5																																														
	生	səŋ	1																																														
	矢	si	3																																														
	失	siʔ	7																																														
	乍	tsa	5																																														
	禾	huɔ	2																																														
	丘	kʰiu	1																																														
	付	fu	5																																														
	仗	tsaŋ	5																																														
	代	tai	5																																														
	仙	siən	1																																														
	們	məŋ	1																																														
	儀	zi	2																																														
	白	puʔ	7																																														
	仔	tsai	3																																														
	仔	tsɿ	3																																														
	他	tʰa	1																																														
	他	hə	1	口語第三人稱																																													
	斥	tsʰi	5																																														
	斥	tsʰiʔ	7																																														
	瓜	kua	1																																														
	乎	hu	1																																														
	叢	tsʰuŋ	2																																														
	令	leŋ	5																																														
	用	zuŋ	5																																														
	甩	suai	3																																														
	印	zen	5																																														
	爾	ɤ	5																																														
	樂	lɔʔ	7																																														
	樂	zɔʔ	7																																														
	句	ky	5																																														
	匆	tsʰuŋ	1																																														
	冊	tsʰɤʔ	7																																														
	卯	mau	3																																														
	犯	fan	5																																														
	外	vai	5																																														
	處	tsʰy	5																																														
	處	tsʰy	3																																														
	冬	tuŋ	1																																														
	鳥	vu	1																																														
	務	vu	5																																														
	包	pau	1																																														
	饑	ki	1																																														
	主	tsy	3																																														
	市	si	5																																														
	立	liʔ	7																																														
	馮	fuŋ	2																																														
	玄	hiən	2																																														
	閃	saŋ	3																																														
	閃	siən	3																																														
	蘭	laŋ	2																																														
	半	puəŋ	5																																														
	汁	tsi	1																																														
	匯	huəi	5																																														
	頭	tʰəu	2																																														
	漢	han	5																																														
	寧	neŋ	2																																														
	穴	hiɛʔ	7																																														
	它	tʰa	1																																														
	它	hə	1																																														
	討	tʰau	5																																														
	寫	siɛ	3																																														
	讓	zaŋ	5																																														
	禮	li	3																																														
	訓	hyin	5																																														
	議	zi	5																																														
	必	piʔ	7																																														
	必	pi	5																																														
	訊	sen	5																																														
	記	ki	5																																														
	永	zuŋ	3																																														
	司	sɿ	1																																														
	尼	ni	2																																														
	民	nen	2																																														
	弗	fuʔ	1																																														
	弘	huŋ	2																																														
	出	tsʰuʔ	7																																														
	遼	liau	2																																														
	奶	lai	3																																														
	奴	nu	2																																														
	召	tsau	1																																														
	加	kiau	1																																														
	皮	pʰi	2																																														
	邊	piən	1																																														
	孕	zyin	5																																														
	發	faʔ	7																																														
	聖	səŋ	5																																														
	對	təi	5																																														
	台	tʰai	2																																														
	矛	mau	2																																														
	糾	kiu	1																																														
	母	mu	3																																														
	幼	zəu	5																																														
	絲	sɿ	1																																														
	邦	paŋ	1																																														
	式	si	5																																														
	迂	zy	2																																														
	刑	heŋ	2																																														
	戎	zuŋ	2																																														
	動	tuŋ	5																																														
	扛	kaŋ	1																																														
	扛	kʰaŋ	2																																														
	寺	sɿ	5																																														
	吉	kiʔ	7																																														
	扣	kʰəu	5																																														
	考	kʰau	3																																														
	托	tʰɔ	1																																														
	老	lau	3																																														
	鞏	kuŋ	3																																														
	圾	ki	1																																														
	執	tsiʔ	7																																														
	擴	kʰuaŋ	5																																														
	掃	sau	3																																														
	掃	səu	5																																														
	地	ti	5																																														
	場	tsʰaŋ	2																																														
	揚	zaŋ	2																																														
	耳	ɤ	3																																														
	芋	zy	5																																														
	共	kuŋ	5																																														
	芒	maŋ	2	芒種																																													
	芒	muŋ	5	芒果																																													
	亞	za	1																																														
	亞	za	5																																														
	芝	zi	1																																														
	朽	hiu	3																																														
	樸	pʰuʔ	7																																														
	機	ki	1																																														
	權	kʰiən	2																																														
	過	kuə	5																																														
	臣	tsʰen	2																																														
	吏	li	5																																														
	再	tsəi	5																																														
	協	hiɛʔ	7																																														
	西	si	1																																														
	壓	zaʔ	7																																														
	厭	zen	5																																														
	戌	suʔ	7																																														
	在	tsəi	5																																														
	百	puʔ	7																																														
	有	zəu	5																																														
	存	tsʰən	2																																														
	而	ɤ	2																																														
	頁	ziɛʔ	7																																														
	匠	tsiaŋ	5																																														
	誇	kʰua	1																																														
	奪	tɔʔ	7																																														
	灰	huəi	1																																														
	達	taʔ	7																																														
	列	liɛʔ	7																																														
	死	sɿ	3																																														
	成	tsʰeŋ	2																																														
	夾	kiaʔ	7																																														
	夷	zi	2																																														
	軌	kuəi	3																																														
	邪	siɛ	2																																														
	堯	zau	2																																														
	劃	huaʔ	7																																														
	劃	hua	5																																														
	邁	mai	5																																														
	邁	vai	5																																														
	畢	piʔ	7																																														
	至	tsi	5																																														
	此	tsʰɿ	3																																														
	貞	tsəŋ	1																																														
	師	si	1																																														
	塵	tsʰən	2																																														
	尖	tsiən	1																																														
	劣	liɛʔ	7																																														
	光	kuaŋ	1																																														
	當	taŋ	1																																														
	當	taŋ	5																																														
	早	tsau	3																																														
	籲	zy	5																																														
	吐	tʰu	5																																														
	嚇	hia	5																																														
	蟲	tsʰuŋ	2																																														
	曲	kʰiʔ	7																																														
	曲	kʰi	3																																														
	團	tʰuəŋ	2																																														
	呂	ly	5																																														
	同	tʰuŋ	2																																														
	吊	tiau	5																																														
	吃	kʰiʔ	7																																														
	因	zen	1																																														
	吸	hiʔ	7																																														
	吸	si	1																																														
	嗎	ma	1																																														
	吆	zau	1																																														
	嶼	zy	3																																														
	屹	ziʔ	7																																														
	歲	səi	5																																														
	帆	faŋ	1																																														
	回	huəi	2																																														
	豈	kʰi	3																																														
	則	tsɤʔ	7																																														
	剛	kaŋ	1																																														
	網	vaŋ	3																																														
	肉	zuʔ	7																																														
	年	liən	2																																														
	朱	tsy	1																																														
	先	siən	1																																														
	丟	tiu	1																																														
	廷	tʰeŋ	2																																														
	舌	siɛʔ	7																																														
	竹	tsuʔ	7																																														
	遷	tsʰiən	1																																														
	喬	kʰiau	2																																														
	迄	hiʔ	7																																														
	偉	vəi	3																																														
	傳	tsuən	5																																														
	傳	tsʰuən	2																																														
	乒	pʰeŋ	1																																														
	乓	pʰaŋ	1																																														
	休	hiu	1																																														
	伍	vu	3																																														
	伏	fuʔ	7																																														
	優	zəu	1																																														
	臼	kiu	5																																														
	伐	faʔ	7																																														
	延	zən	2																																														
	仲	tsuŋ	5																																														
	件	kiən	5																																														
	任	zen	5																																														
	傷	saŋ	1																																														
	價	kia	5																																														
	倫	lən	2																																														
	份	fən	5																																														
	華	hua	2																																														
	仰	zaŋ	3																																														
	仿	faŋ	3																																														
	夥	huə	3																																														
	僞	vei	3																																														
	自	zɿ	5																																														
	伊	zi	1																																														
	血	hiɛʔ	7																																														
	向	siaŋ	5																																														
	向	hiaŋ	5																																														
	似	sɿ	5																																														
	後	həu	5																																														
	行	heŋ	2																																														
	行	haŋ	2																																														
	舟	tsəu	1																																														
	全	tsʰuən	2																																														
	會	huəi	5																																														
	會	kʰuai	5																																														
	殺	saʔ	7																																														
	合	hɔʔ	7																																														
	兆	tsau	5																																														
	企	kʰi	3																																														
	眾	tsuŋ	5																																														
	爺	ziɛ	2																																														
	傘	saŋ	3																																														
	創	tsʰuaŋ	5																																														
	肌	ki	1																																														
	肋	lɤʔ	7																																														
	朵	tɔ	3																																														
	雜	tsaʔ	7																																														
	危	vəi	1																																														
	旬	syin	2																																														
	旨	tsi	3																																														
	旭	si	5																																														
	負	fu	5																																														
	匈	hiuŋ	1																																														
	名	meŋ	2																																														
	各	kɔʔ	7																																														
	多	tɔ	1																																														
	爭	tsəŋ	1																																														
	色	sɤʔ	7																																														
	壯	tsuaŋ	5																																														
	沖	tsʰuŋ	1																																														
	妝	tsuaŋ	1																																														
	冰	peŋ	1																																														
	莊	tsuaŋ	1																																														
	慶	kʰeŋ	5																																														
	亦	ziʔ	7																																														
	劉	liu	2																																														
	齊	tsʰi	2																																														
	交	kiau	1																																														
	衣	zi	1																																														
	次	tsʰɿ	5																																														
	産	tsʰaŋ	3																																														
	決	kiɛʔ	7																																														
	亥	hai	5																																														
	充	tsʰuŋ	1																																														
	妄	vaŋ	5																																														
	閉	pi	5																																														
	問	ven	5																																														
	闖	tsʰuaŋ	3																																														
	羊	zaŋ	2																																														
	並	peŋ	5																																														
	關	kuəŋ	1																																														
	米	mi	3																																														
	燈	teŋ	1																																														
	州	tsəu	1																																														
	汗	haŋ	5																																														
	汙	vu	1																																														
	江	kiaŋ	1																																														
	汛	sen	5																																														
	池	tsʰi	2																																														
	汝	zy	3																																														
	湯	taŋ	1																																														
	忙	maŋ	2																																														
	興	heŋ	1																																														
	興	heŋ	5																																														
	宇	zy	3																																														
	守	səu	3																																														
	宅	tsɤʔ	7																																														
	宅	tsai	2																																														
	字	tsɿ	5																																														
	安	aŋ	1																																														
	講	kiaŋ	3																																														
	諱	huəi	5																																														
	軍	kyin	1	軍人																																													
	軍	ken	1	軍話																																													
	訝	za	5																																														
	許	hy	3																																														
	訛	ŋuə	2																																														
	論	lən	5																																														
	訟	suŋ	5																																														
	農	nuŋ	2																																														
	諷	fuŋ	3																																														
	設	siɛʔ	7																																														
	訪	faŋ	3																																														
	訣	kiɛʔ	7																																														
	尋	tsʰeŋ	2																																														
	那	la	5																																														
	那	lɔ	5																																														
	迅	sen	5																																														
	盡	tseŋ	5																																														
	導	tau	3																																														
	異	zi	5																																														
	弛	tsʰi	2																																														
	孫	suəŋ	1																																														
	陣	tseŋ	5																																														
	陽	zaŋ	2																																														
	收	səu	1																																														
	階	kai	1																																														
	陰	zeŋ	1																																														
	防	faŋ	2																																														
	奸	kaŋ	1																																														
	如	zy	2																																														
	婦	fu	5																																														
	妃	fəi	1																																														
	好	hau	3																																														
	她	tʰa	1																																														
	她	hə	1	口語第三人稱																																													
	媽	ma	1																																														
	戲	hi	5																																														
	羽	zy	5																																														
	觀	kuəŋ	1																																														
	歡	kuəŋ	1																																														
	買	mai	3																																														
	紅	huŋ	2																																														
	馱	tʰɔ	2																																														
	纖	siən	1																																														
	馴	syin	5																																														
	約	zɔʔ	7																																														
	級	kiʔ	7																																														
	紀	ki	5																																														
	馳	tsʰi	2																																														
	紉	zen	5																																														
	巡	syin	2																																														
	壽	səu	5																																														
	弄	nuŋ	5																																														
	麥	muʔ	7																																														
	玖	kiu	3																																														
	瑪	ma	3																																														
	形	heŋ	2																																														
	進	tseŋ	5																																														
	戒	kai	5																																														
	吞	tʰəŋ	1																																														
	遠	zuən	3																																														
	違	vei	2																																														
	韌	zen	5																																														
	運	zyin	5																																														
	扶	fu	2																																														
	撫	fu	3																																														
	壇	tʰan	2																																														
	技	ki	5																																														
	壞	huai	5																																														
	摳	kʰəu	1																																														
	擾	zau	3																																														
	扼	ɤʔ	7																																														
	拒	ky	5																																														
	找	tsau	3																																														
	批	pʰi	1																																														
	址	tsi	3																																														
	扯	tsʰiɛ	3																																														
	走	tsəu	3																																														
	抄	tsʰau	1																																														
	貢	kuŋ	5																																														
	汞	kuŋ	3																																														
	壩	pa	5																																														
	攻	kuŋ	1																																														
	赤	tsʰiʔ	7																																														
	折	tsiɛʔ	7																																														
	抓	tsua	1																																														
	扳	paŋ	3																																														
	掄	lən	2																																														
	扮	pan	5																																														
	搶	tsʰiaŋ	3																																														
	孝	hiau	5																																														
	坎	kʰaŋ	3																																														
	均	ken	1																																														
	抑	ziʔ	7																																														
	拋	pʰau	1																																														
	投	tʰəu	2																																														
	墳	fən	2																																														
	坑	kʰəŋ	1																																														
	抗	kʰaŋ	5																																														
	坊	faŋ	1																																														
	坊	faŋ	2																																														
	抖	təu	3																																														
	護	hu	5																																														
	殼	kʰɔʔ	7																																														
	志	tsi	5																																														
	塊	kʰuai	5																																														
	扭	niu	3																																														
	聲	səŋ	1																																														
	把	pa	3																																														
	報	pau	5																																														
	擬	ni	3																																														
	卻	kʰiɔʔ	7																																														
	抒	sy	1																																														
	劫	kiɛʔ	7																																														
	芙	fu	1																																														
	蕪	vu	2																																														
	葦	vəi	3																																														
	芽	za	2																																														
	花	hua	1																																														
	芹	kʰen	2																																														
	芥	kai	5																																														
	芬	fən	1																																														
	蒼	tsʰaŋ	1																																														
	芳	faŋ	1																																														
	嚴	zən	2																																														
	蘆	lu	2																																														
	芯	sen	1																																														
	勞	lau	2																																														
	克	kʰɤʔ	7																																														
	芭	pa	1																																														
	蘇	su	1																																														
	杆	kaŋ	1																																														
	杠	kaŋ	5																																														
	杜	tu	5																																														
	材	tsʰai	2																																														
	村	tsʰən	1																																														
	杖	tsaŋ	5																																														
	杏	heŋ	5																																														
	杉	saŋ	1																																														
	巫	vu	1																																														
	極	kiʔ	1																																														
	李	li	3																																														
	楊	zaŋ	2																																														
	求	kʰiu	2																																														
	甫	pʰu	3																																														
	匣	hiaʔ	7																																														
	更	kəŋ	1																																														
	更	kəŋ	5																																														
	束	suʔ	7																																														
	吾	vu	2																																														
	豆	təu	5																																														
	兩	liaŋ	3																																														
	酉	zəu	3																																														
	麗	li	5																																														
	醫	zi	1																																														
	辰	tsʰen	2																																														
	勵	li	5																																														
	否	fəu	3																																														
	還	huən	2																																														
	尬	kai	5																																														
	尬	ka	5																																														
	殲	tsiən	1																																														
	來	ləi	2																																														
	連	liən	2																																														
	軒	hiəŋ	1																																														
	步	pu	5																																														
	鹵	lu	3																																														
	堅	kiən	1																																														
	肖	siau	1																																														
	旱	haŋ	5																																														
	盯	teŋ	1																																														
	呈	tsʰeŋ	2																																														
	時	si	2																																														
	吳	vu	2																																														
	助	tsu	5																																														
