广韵字	繁体字	简体字	常用级	频率	声母	韵母	调值	声调	国际音标	说明	
彼	彼	彼	B	20021	p	i	42	上声	pi42		
比	比	比	A2	200645	p	i	42	上声	pi42		
秕	秕	秕	C	39	p	i	42	上声	pi42		
舭	舭	舭	E		p	i	42	上声	pi42		
鄙	鄙	鄙	C	3670	p	i	42	上声	pi42		
嗶	嗶	哔	E		p	i	45	去声	pi45		
壁	壁	壁			p	i	45	去声	pi45	和氏璧	
婢	婢	婢	D		p	i	45	去声	pi45		
嬖	嬖	嬖	E		p	i	45	去声	pi45		
幣	幣	币	B	22592	p	i	45	去声	pi45		
庇	庇	庇	C	2523	p	i	45	去声	pi45		
庳	庳	庳	E		p	i	45	去声	pi45		
弊	弊	弊	C	4579	p	i	45	去声	pi45		
愎	愎	愎	D		p	i	45	去声	pi45		
敝	敝	敝	D		p	i	45	去声	pi45		
斃	斃	毙	C	3588	p	i	45	去声	pi45		
泌	泌	泌	C	3192	p	i	45	去声	pi45		
潷	潷	滗	E		p	i	45	去声	pi45		
狴	狴	狴	E		p	i	45	去声	pi45		
璧	璧	璧	C	929	p	i	45	去声	pi45		
畀	畀	畀	E		p	i	45	去声	pi45		
痺	痺	痹	C	1158	p	i	45	去声	pi45		
碧	碧	碧	C	5751	p	i	45	去声	pi45		
祕	祕	秘	A3	37560	p	i	45	去声	pi45		
箅	箅	箅	E		p	i	45	去声	pi45		
臂	臂	臂	B	10542	p	i	45	去声	pi45		
蔽	蔽	蔽	C	6016	p	i	45	去声	pi45		
薜	薜	薜	D		p	i	45	去声	pi45		
轡	轡	辔	D		p	i	45	去声	pi45		
避	避	避	B	31731	p	i	45	去声	pi45		
鉍	鉍	铋	E		p	i	45	去声	pi45		
鐾	鐾	鐾	E		p	i	45	去声	pi45		
閉	閉	闭	B	19515	p	i	45	去声	pi45		
陛	陛	陛	D		p	i	45	去声	pi45		
鼻	鼻	鼻	B	17773	p	i	45	去声	pi45		
癟	癟	瘪	C	694	p	ia	42	上声	pia42		
摒	摒	摒	D		p	ia	45	去声	pia45	白读	
砭	砭	砭	D		p	ien	13	阴平	pien13		
編	編	编	A3	39879	p	ien	13	阴平	pien13		
邊	邊	边	A2	136277	p	ien	13	阴平	pien13		
鞭	鞭	鞭	C	5176	p	ien	13	阴平	pien13		
匾	匾	匾	C	1033	p	ien	42	上声	pien42		
扁	扁	扁	B	9917	p	ien	42	上声	pien42		
蝙	蝙	蝙	C	679	p	ien	42	上声	pien42		
貶	貶	贬	C	3580	p	ien	42	上声	pien42		
便	便	便	A2	159479	p	ien	45	去声	pien45		
卞	卞	卞	D		p	ien	45	去声	pien45		
變	變	变	A2	185121	p	ien	45	去声	pien45		
辨	辨	辨	B	8023	p	ien	45	去声	pien45		
辮	辮	辫	C	1408	p	ien	45	去声	pien45		
辯	辯	辩	B	17459	p	ien	45	去声	pien45		
遍	遍	遍	B	30545	p	ien	45	去声	pien45	文	
瀌	瀌	瀌			p	iau	13	阴平	piau13	溅	
彪	彪	彪	C	4186	p	iau	13	阴平	piau13		
標	標	标	A3	86324	p	iau	13	阴平	piau13		
膘	膘	膘	C	205	p	iau	13	阴平	piau13		
鏢	鏢	镖	D		p	iau	13	阴平	piau13		
婊	婊	婊	D		p	iau	42	上声	piau42		
表	表	表	A2	226768	p	iau	42	上声	piau42		
錶	錶	表	A2	226768	p	iau	42	上声	piau42		
鰾	鰾	鳔	D		p	iau	45	去声	piau45		
鱉	鱉	鳖	C	598	p	ie	13	阴平	pie13		
別	別	别	A3	186634	p	ie	24	阳平	pie24		
別	別	别	A3	186634	p	ie	24	阳平	pie24		
彆	彆	别	C		p	ie	24	阳平	pie24		
憋	憋	憋	C	1588	p	ie	24	阳平	pie24		
兵	兵	兵	A3	106982	p	in	13	阴平	pin13		
冰	冰	冰	B	27201	p	in	13	阴平	pin13		
彬	彬	彬	C	2724	p	in	13	阴平	pin13		
濱	濱	滨	C	3811	p	in	13	阴平	pin13		
瀕	瀕	濒	C	1569	p	in	13	阴平	pin13		
絣	絣	絣	E		p	in	13	阴平	pin13		
繽	繽	缤	C	715	p	in	13	阴平	pin13		
賓	賓	宾	B	13149	p	in	13	阴平	pin13		
丙	丙	丙	C	3055	p	in	42	上声	pin42		
柄	柄	柄	C	5229	p	in	42	上声	pin42	文读	
炳	炳	炳	D		p	in	42	上声	pin42		
秉	秉	秉	C	2472	p	in	42	上声	pin42		
稟	稟	禀	C	2048	p	in	42	上声	pin42		
餅	餅	饼	C	4439	p	in	42	上声	pin42		
並	並	并	A3	281616	p	in	45	去声	pin45		
併	併	并	A3	281616	p	in	45	去声	pin45		
并	并	并	C		p	in	45	去声	pin45		
摒	摒	摒			p	in	45	去声	pin45	文读	
殯	殯	殡	D		p	in	45	去声	pin45		
病	病	病	A3	98692	p	in	45	去声	pin45		
逬	逬	逬	E		p	in	45	去声	pin45		
鬢	鬢	鬓	C	758	p	in	45	去声	pin45		
播	播	播	B	19327	p	o	13	阴平	po13		
波	波	波	A3	58859	p	o	13	阴平	po13		
玻	玻	玻	B	9447	p	o	13	阴平	po13		
菠	菠	菠	C	310	p	o	13	阴平	po13		
博	博	博	A3	33366	p	o	24	阳平	po24		
帛	帛	帛	D		p	o	24	阳平	po24		
搏	搏	搏	C	4392	p	o	24	阳平	po24		
撥	撥	拨	B	9047	p	o	24	阳平	po24	拨款	
泊	泊	泊	C	6695	p	o	24	阳平	po24		
渤	渤	渤	C	745	p	o	24	阳平	po24		
箔	箔	箔	D		p	o	24	阳平	po24		
缽	缽	钵	D		p	o	24	阳平	po24		
脖	脖	脖	C	5682	p	o	24	阳平	po24		
膊	膊	膊	C	3989	p	o	24	阳平	po24		
荸	荸	荸	C	55	p	o	24	阳平	po24		
薄	薄	薄	B	15150	p	o	24	阳平	po24		
跋	跋	跋	C	2124	p	o	24	阳平	po24		
鉑	鉑	铂	D		p	o	24	阳平	po24		
駁	駁	驳	C	6879	p	o	24	阳平	po24		
剝	剝	剥	C	7504	p	o	24	阳平	po24		
勃	勃	勃	B	13183	p	o	24	阳平	po24		
簸	簸	簸	C	937	p	o	42	上声	po42		
嘣	嘣	嘣	E		p	oŋ	13	阴平	poŋ13		
崩	崩	崩	C	5658	p	oŋ	13	阴平	poŋ13		
繃	繃	绷	C	1941	p	oŋ	13	阴平	poŋ13		
捧	捧	捧			p	oŋ	42	上声	poŋ42	白，侗（夸奖）	
堋	堋	堋	E		p	oŋ	45	去声	poŋ45		
蹦	蹦	蹦	C	2358	p	oŋ	45	去声	poŋ45		
泵	泵	泵	C	709	p	oŋ	45	去声	poŋ45		
包	包	包	A2	91239	p	əu	13	阴平	pəu13	白	
不	不	不	A0	2237914	p	u	13	阴平	pu13	疑問	
不	不	不	A1	2237915	p	u	24	阳平	pu24		
卜	卜	卜			p	u	42	上声	pu42	占卜	
圃	圃	圃	C	1066	p	u	42	上声	pu42		
補	補	补	A3	34542	p	u	42	上声	pu42		
伏	伏	伏	B	16181	p	u	45	去声	pu45	白读	
卜	卜	卜	C	7301	p	u	45	去声	pu45	萝卜	
埠	埠	埠	C	1091	p	u	45	去声	pu45		
布	布	布	A2	113652	p	u	45	去声	pu45		
怖	怖	怖	B	9400	p	u	45	去声	pu45		
步	步	步	A2	121267	p	u	45	去声	pu45		
簿	簿	簿	C	2333	p	u	45	去声	pu45		
蔔	蔔	卜	C	7301	p	u	45	去声	pu45		
訃	訃	讣	D		p	u	45	去声	pu45		
部	部	部	A1	403066	p	u	45	去声	pu45		
鋪	鋪	铺	B	11654	p	u	45	去声	pu45	床铺	
阜	阜	阜	D		p	u	45	去声	pu45		
搬	搬	搬	B	9478	p	an	13	阴平	pan13	新	
搬	搬	搬	B	9478	p	uan	13	阴平	puan13	老	
般	般	般	A3	63739	p	an	13	阴平	pan13	新	
般	般	般	A3	63739	p	uan	13	阴平	puan13	老	
伴	伴	伴	B	18678	p	an	45	去声	pan45	新	
伴	伴	伴	B	18678	p	uan	45	去声	puan45	老	
半	半	半	A3	80183	p	an	45	去声	pan45	新	
半	半	半	A3	80183	p	uan	45	去声	puan45	老	
扮	扮	扮	C	7372	p	an	45	去声	pan45	新	
扮	扮	扮	C	7372	p	uan	45	去声	puan45	老	
拌	拌	拌	C	950	p	an	45	去声	pan45	新	
拌	拌	拌	C	950	p	uan	45	去声	puan45	老	
瓣	瓣	瓣	C	2127	p	an	45	去声	pan45	新	
瓣	瓣	瓣	C	2127	p	uan	45	去声	puan45	老	
辦	辦	办	A2	116904	p	an	45	去声	pan45	新	
辦	辦	办	A2	116904	p	uan	45	去声	puan45	老	
叉	叉	叉			tsʰ	a	13	阴平	tsʰa13	打叉	
差	差	差	A3	50349	tsʰ	a	13	阴平	tsʰa13		
差	差	差	A3	50349	tsʰ	a	13	阴平	tsʰa13		
杈	杈	杈	C	313	tsʰ	a	13	阴平	tsʰa13		
衩	衩	衩	C	258	tsʰ	a	13	阴平	tsʰa13		
釵	釵	钗	D		tsʰ	a	13	阴平	tsʰa13		
蹅	蹅	蹅			tsʰ	a	13	阴平	tsʰa13	踩	
察	察	察	A3	71894	tsʰ	a	24	阳平	tsʰa24		
插	插	插	B	13938	tsʰ	a	24	阳平	tsʰa24		
搽	搽	搽	D		tsʰ	a	24	阳平	tsʰa24		
擦	擦	擦	B	9542	tsʰ	a	24	阳平	tsʰa24		
查	查	查	A3	90039	tsʰ	a	24	阳平	tsʰa24		
茬	茬	茬	C	717	tsʰ	a	24	阳平	tsʰa24		
茬	茬	茬	C	717	tsʰ	a	24	阳平	tsʰa24		
茶	茶	茶	B	19404	tsʰ	a	24	阳平	tsʰa24		
差	差	差	A3	50349	tsʰ	a	42	上声	tsʰa42	差不多	
叱	叱	叱	D		tsʰ	a	45	去声	tsʰa45		
岔	岔	岔	C	1599	tsʰ	a	45	去声	tsʰa45		
詫	詫	诧	D		tsʰ	a	45	去声	tsʰa45		
猜	猜	猜	B	11875	tsʰ	ai	13	阴平	tsʰai13		
才	才	才	A2	181725	tsʰ	ai	24	阳平	tsʰai24		
材	材	材	A3	34237	tsʰ	ai	24	阳平	tsʰai24		
柴	柴	柴	C	7276	tsʰ	ai	24	阳平	tsʰai24		
裁	裁	裁	B	21918	tsʰ	ai	24	阳平	tsʰai24		
豺	豺	豺	C	438	tsʰ	ai	24	阳平	tsʰai24		
財	財	财	A3	56037	tsʰ	ai	24	阳平	tsʰai24		
彩	彩	彩	B	22982	tsʰ	ai	42	上声	tsʰai42		
採	採	采	A3	68946	tsʰ	ai	42	上声	tsʰai42		
揣	揣	揣			tsʰ	ai	42	上声	tsʰai42		
睬	睬	睬	C	1392	tsʰ	ai	42	上声	tsʰai42		
綵	綵	彩	C	22982	tsʰ	ai	42	上声	tsʰai42		
踩	踩	踩	C	3343	tsʰ	ai	42	上声	tsʰai42		
采	采	采	C	68946	tsʰ	ai	42	上声	tsʰai42		
菜	菜	菜	B	19516	tsʰ	ai	45	去声	tsʰai45		
蔡	蔡	蔡	D		tsʰ	ai	45	去声	tsʰai45		
參	參	参	A3	80663	tsʰ	an	13	阴平	tsʰan13		
參	參	参	A3	80663	tsʰ	an	13	阴平	tsʰan13		
摻	摻	掺	C	1303	tsʰ	an	13	阴平	tsʰan13		
摻	摻	掺	C	1303	tsʰ	an	13	阴平	tsʰan13	新	
攙	攙	搀	C	1172	tsʰ	an	13	阴平	tsʰan13	新	
餐	餐	餐	B	14641	tsʰ	an	13	阴平	tsʰan13		
慚	慚	惭	C	2062	tsʰ	an	24	阳平	tsʰan24		
殘	殘	残	B	24030	tsʰ	an	24	阳平	tsʰan24		
纏	纏	缠	C	6675	tsʰ	an	24	阳平	tsʰan24	老	
蟬	蟬	蝉	C	1771	tsʰ	an	24	阳平	tsʰan24		
蠶	蠶	蚕	C	2549	tsʰ	an	24	阳平	tsʰan24		
讒	讒	谗	D		tsʰ	an	24	阳平	tsʰan24	新	
饞	饞	馋	C	669	tsʰ	an	24	阳平	tsʰan24	新	
剷	剷	铲	C	1756	tsʰ	an	42	上声	tsʰan42		
慘	慘	惨	B	13314	tsʰ	an	42	上声	tsʰan42		
斬	斬	斩	C	3844	tsʰ	an	42	上声	tsʰan42	新	
產	產	产	A2	265164	tsʰ	an	42	上声	tsʰan42		
輾	輾	辗			tsʰ	an	42	上声	tsʰan42	新	
闡	闡	阐			tsʰ	an	42	上声	tsʰan42	新	
𢱟	𢱟	𢱟			tsʰ	an	24	阳平	tsʰan24	新	
顫	顫	颤	B	8079	tsʰ	an	45	去声	tsʰan45		
燦	燦	灿	C	3254	tsʰ	an	45	去声	tsʰan45		
倉	倉	仓	B	8275	tsʰ	aŋ	13	阴平	tsʰaŋ13		
創	創	创	A3	63156	tsʰ	aŋ	13	阴平	tsʰaŋ13		
娼	娼	娼	D		tsʰ	aŋ	13	阴平	tsʰaŋ13		
昌	昌	昌	B	11787	tsʰ	aŋ	13	阴平	tsʰaŋ13		
滄	滄	沧	C	1848	tsʰ	aŋ	13	阴平	tsʰaŋ13		
猖	猖	猖	C	1157	tsʰ	aŋ	13	阴平	tsʰaŋ13		
瘡	瘡	疮	C	1681	tsʰ	aŋ	13	阴平	tsʰaŋ13		
窗	窗	窗	B	26978	tsʰ	aŋ	13	阴平	tsʰaŋ13		
腸	腸	肠	B	7939	tsʰ	aŋ	13	阴平	tsʰaŋ13		
艙	艙	舱	B	8575	tsʰ	aŋ	13	阴平	tsʰaŋ13		
蒼	蒼	苍	B	10027	tsʰ	aŋ	13	阴平	tsʰaŋ13		
鯧	鯧	鲳	D		tsʰ	aŋ	13	阴平	tsʰaŋ13		
長	長	长	A2	342148	tsʰ	aŋ	24	阳平	tsʰaŋ24		
償	償	偿	B	17919	tsʰ	aŋ	24	阳平	tsʰaŋ24	文读	
嘗	嘗	尝			tsʰ	aŋ	24	阳平	tsʰaŋ24	文读	
嚐	嚐	尝			tsʰ	aŋ	24	阳平	tsʰaŋ24	文读	
場	場	场	A2	173632	tsʰ	aŋ	24	阳平	tsʰaŋ24		
嫦	嫦	嫦			tsʰ	aŋ	24	阳平	tsʰaŋ24		
常	常	常			tsʰ	aŋ	24	阳平	tsʰaŋ24	文读	
床	床	床	B	27283	tsʰ	aŋ	24	阳平	tsʰaŋ24		
藏	藏	藏	A3	36704	tsʰ	aŋ	24	阳平	tsʰaŋ24		
廠	廠	厂	A3	33468	tsʰ	aŋ	42	上声	tsʰaŋ42		
撞	撞	撞			tsʰ	aŋ	42	上声	tsʰaŋ42	白读	
敞	敞	敞	C	3248	tsʰ	aŋ	42	上声	tsʰaŋ42		
闖	闖	闯	C	5954	tsʰ	aŋ	42	上声	tsʰaŋ42		
倡	倡	倡	C	5622	tsʰ	aŋ	45	去声	tsʰaŋ45		
創	創	创	A3	63156	tsʰ	aŋ	45	去声	tsʰaŋ45		
唱	唱	唱	B	20085	tsʰ	aŋ	45	去声	tsʰaŋ45		
暢	暢	畅	C	6012	tsʰ	aŋ	45	去声	tsʰaŋ45		
抄	抄	抄	C	5433	tsʰ	au	13	阴平	tsʰau13		
操	操	操	B	23193	tsʰ	au	13	阴平	tsʰau13		
糙	糙	糙	C	1631	tsʰ	au	13	阴平	tsʰau13	粗糙	
超	超	超	A3	48218	tsʰ	au	13	阴平	tsʰau13		
鈔	鈔	钞	C	3049	tsʰ	au	13	阴平	tsʰau13		
嘈	嘈	嘈	D		tsʰ	au	24	阳平	tsʰau24		
嘲	嘲	嘲	C	4709	tsʰ	au	24	阳平	tsʰau24		
噪	噪	噪			tsʰ	au	24	阳平	tsʰau24		
巢	巢	巢	C	4874	tsʰ	au	24	阳平	tsʰau24		
曹	曹	曹	B	12443	tsʰ	au	24	阳平	tsʰau24		
朝	朝	朝	A3	68380	tsʰ	au	24	阳平	tsʰau24		
槽	槽	槽	C	1908	tsʰ	au	24	阳平	tsʰau24		
潮	潮	潮	B	18532	tsʰ	au	24	阳平	tsʰau24		
吵	吵	吵	C	6709	tsʰ	au	42	上声	tsʰau42		
炒	炒	炒	C	3260	tsʰ	au	42	上声	tsʰau42		
草	草	草	A3	44612	tsʰ	au	42	上声	tsʰau42		
噪	噪	噪	C	2501	tsʰ	au	45	去声	tsʰau45	噪音	
操	操	操	B	23193	tsʰ	au	45	去声	tsʰau45		
燥	燥	燥	C	3171	tsʰ	au	45	去声	tsʰau45		
糙	糙	糙			tsʰ	au	45	去声	tsʰau45	毛糙	
躁	躁	躁	C	3917	tsʰ	au	45	去声	tsʰau45		
造	造	造	A2	120496	tsʰ	au	45	去声	tsʰau45		
車	車	车	A2	118824	tsʰ	e	13	阴平	tsʰe13		
側	側	侧	B	20960	tsʰ	e	24	阳平	tsʰe24		
冊	冊	册	B	13462	tsʰ	e	24	阳平	tsʰe24		
切	切	切			tsʰ	e	24	阳平	tsʰe24	老	
則	則	则	A2	149042	tsʰ	e	24	阳平	tsʰe24	老	
廁	廁	厕	C	2118	tsʰ	e	24	阳平	tsʰe24		
徹	徹	彻	B	20461	tsʰ	e	24	阳平	tsʰe24		
惻	惻	恻	D		tsʰ	e	24	阳平	tsʰe24		
拆	拆	拆	C	6412	tsʰ	e	24	阳平	tsʰe24		
撤	撤	撤	B	19485	tsʰ	e	24	阳平	tsʰe24		
擇	擇	择	A3	33615	tsʰ	e	24	阳平	tsʰe24		
澈	澈	澈	C	1202	tsʰ	e	24	阳平	tsʰe24		
澤	澤	泽	A3	34311	tsʰ	e	24	阳平	tsʰe24		
竊	竊	窃			tsʰ	e	24	阳平	tsʰe24	老	
策	策	策	A3	52394	tsʰ	e	24	阳平	tsʰe24		
轍	轍	辙	C	1466	tsʰ	e	24	阳平	tsʰe24		
扯	扯	扯	C	6325	tsʰ	e	42	上声	tsʰe42		
仟	仟	仟	D		tsʰ	en	13	阴平	tsʰen13	老	
千	千	千	A3	67843	tsʰ	en	13	阴平	tsʰen13	老	
摻	摻	掺			tsʰ	en	13	阴平	tsʰen13	老	
攙	攙	搀			tsʰ	en	13	阴平	tsʰen13	老	
芊	芊	芊			tsʰ	en	13	阴平	tsʰen13	老	
阡	阡	阡			tsʰ	en	13	阴平	tsʰen13	老	
前	前	前	A1	381431	tsʰ	en	24	阳平	tsʰen24	老	
嬋	嬋	婵	D		tsʰ	en	24	阳平	tsʰen24	老	
纏	纏	缠			tsʰ	en	24	阳平	tsʰen24	老	
讒	讒	谗			tsʰ	en	24	阳平	tsʰen24	老	
饞	饞	馋			tsʰ	en	24	阳平	tsʰen24	老	
𢱟	𢱟	𢱟			tsʰ	en	42	上声	tsʰen42	老，抽打	
淺	淺	浅			tsʰ	en	42	上声	tsʰen42	老	
闡	闡	阐	C	5532	tsʰ	en	42	上声	tsʰen42	老	
倩	倩	倩	D		tsʰ	en	45	去声	tsʰen45	老	
懺	懺	忏	D		tsʰ	en	45	去声	tsʰen45	老	
茜	茜	茜			tsʰ	en	45	去声	tsʰen45	老	
催	催	催	C	6538	tsʰ	əi	13	阴平	tsʰəi13		
吹	吹	吹			tsʰ	əi	13	阴平	tsʰəi13		
妻	妻	妻	B	26847	tsʰ	əi	13	阴平	tsʰəi13		
崔	崔	崔	C	3476	tsʰ	əi	13	阴平	tsʰəi13		
悽	悽	凄	D		tsʰ	əi	13	阴平	tsʰəi13		
摧	摧	摧	C	5743	tsʰ	əi	13	阴平	tsʰəi13		
淒	淒	凄	C	4552	tsʰ	əi	13	阴平	tsʰəi13		
炊	炊	炊			tsʰ	əi	13	阴平	tsʰəi13		
衰	衰	衰	B	10367	tsʰ	əi	13	阴平	tsʰəi13	新	
垂	垂	垂			tsʰ	əi	24	阳平	tsʰəi24		
捶	捶	捶			tsʰ	əi	24	阳平	tsʰəi24		
槌	槌	槌	D		tsʰ	əi	24	阳平	tsʰəi24		
臍	臍	脐	C	677	tsʰ	əi	24	阳平	tsʰəi24		
錘	錘	锤			tsʰ	əi	24	阳平	tsʰəi24		
齊	齊	齐	B	27480	tsʰ	əi	24	阳平	tsʰəi24		
悴	悴	悴	C	1064	tsʰ	əi	45	去声	tsʰəi45		
瘁	瘁	瘁	D		tsʰ	əi	45	去声	tsʰəi45		
砌	砌	砌	C	1442	tsʰ	əi	45	去声	tsʰəi45		
粹	粹	粹	B	9943	tsʰ	əi	45	去声	tsʰəi45		
翠	翠	翠	C	5661	tsʰ	əi	45	去声	tsʰəi45		
脆	脆	脆	C	7336	tsʰ	əi	45	去声	tsʰəi45		
撐	撐	撑	C	5628	tsʰ	ən	13	阴平	tsʰən13		
