#符号说明：-白=文/书*俗?待考	
#调值	［1］45［2］21［3］53［5］213［0］轻声
#ɿ	
ts [1]资姿咨兹滋辎 [3]紫姊梓子籽滓 [5]自字滞{停～}	
∅ [1]乌污巫诬沃勿 [2]吴蜈吾梧无屋 [3]五伍午坞武舞侮鹉捂{～盖子}[5]误娱悟恶{厌～}务雾戊物勿	
#y	
l [1]捋 [2]驴律率{效～}[3]吕旅缕履 [5]虑滤	
tɕ [1]居车{～马砲}拘驹苴疽 [2]橘菊掬鞠卒{攻～子}足{~ 够}锔局 [3]举 [5]巨拒距据锯聚具惧俱矩句剧{～烈， 戏～}	
tɕʰ[1]蛆趋区驱黢{～黑}屈曲{～折， 歌～}[2]渠瞿焌{火～手了}麯{酒～}[3]取娶 [5]去趣砌{～坎子}	
ɲ [3]女	
ɕ [1]虚嘘墟须{必～胡～}需旭绥 [2]徐戌恤速肃宿{～舍}缩畜{～牧}蓄{储～}俗 [3]许 [5]序叙绪遂隧穗续絮	
∅ [1]淤迂 [2]鱼渔予余愚娱于盂榆逾愉疫役育玉狱欲慾浴 [3]语与雨宇禹羽屿 [5]御誉预豫遇寓愈芋喻裕慰{～问}域郁	
#ɚ	
∅ [2]儿而 [3]尔耳饵 [5]二贰	
#a	
p [1]巴芭疤 [2]爸八拔 [3]把{～守}靶把{一～豇豆}[5]霸把{刀～}坝耙{～地}罢{～场}	
pʰ[2]钯{钉～}爬杷{枇 ~}趴扒 [5]怕帕	
m [1]妈 [2]麻痲蟆{蛤～}抹{～布}[3]马码蚂{～蟥}[5]骂	
f [2]法乏发{头～， ～展}罚伐筏阀	
t [2]答搭达 [3]打 [5]大	
tʰ[2] 他沓{一～纸}踏搨{～本}榻塌溻{汗把衣裳～住了}塔獭	
l [1]拉纳 {~ 鞋底}[2]拿纳{出 ~}腊蜡镴{锡～： 锡}辣瘌捺 [3]哪{～个}[5]那	
ts [2]杂札窄砸咱 [3]眨{～眼}	
tsʰ[1]擦{～肩而过}[2]擦{～屁股、 ~ 皮鞋}察	
s [1]撒{～手人间}[2]靸{～着鞋子}[3]傻耍洒{～水}撒{～种}萨	
tʂ [1]渣楂 [2]乍炸{油～}闸扎{～灯笼}轧{～棉花}铡{～刀}[3]拃 [5]诈榨炸{～弹}柞{～树}	
tʂʰ[1]叉杈差{～别}[2]茶搽{～汁抹粉}查{调～}茬插{～花}[3]衩 [5]岔	
ʂ [1]沙纱痧 [2]杀煞{～尾}刹 {~ 车}[3]傻	
x [1]哈{点头～腰}哈{笑～～}[2]瞎{～子}[3]瞎{～卵： 坏东西}[5]吓-{～人}嚇{～一跳}	
∅ [1]阿啊	
#ia	
p [1]□{敷： ～标语}[3]□{扁， 不圆}	
pʰ[2]□{象声词}[3]□{～脚～胯}[5]□{劈： ～你一个耳光}	
m [1]□{最小的： ～～子}	
t [1]爹{又音}[2]提{～篮子}	
tʰ[3]□{耷拉： ～起耳朶}	
tɕ [1]家傢稼加痂嘉佳甲胛{肩～}[2]夹裌挟 [3]假贾{姓}[5]假{放～}价驾嫁	
tɕʰ[2]掐恰洽狭 [3]卡{～脖子}洽	
ɕ [2]虾霞瑕遐暇峡匣辖瞎 [55]下={～面}吓=夏厦{～门}	
∅ [1]鸦丫{～头}桠{树枝～}鸭呀 [2]牙芽衙涯鸭押 [3]雅哑 [5]亚{～州}压	
#ua	
tʂ [1]抓	
tʂʰ[2]欻	
ʂ [2]刷{～牙}[3]厦{大～}耍{玩～}	
ʐ [2]挼{～面}	
k [1]瓜 [2]刮 [3]寡剐 [5]挂卦褂{汗～子}	
kʰ[1]夸誇 [3]侉垮 [5]跨挎	
x [1]花 [2]华铧划{～船}哗猾滑 [5]化华{～山}桦{～树}画话划{计～}	
∅ [1]蛙洼挖 [2]袜娃 [3]瓦 [5]洼	
#e	
p [2]别{区～}泊{水～}北白百柏伯	
pʰ[2]拍迫魄	
m [2]墨黙麦脉	
t [1]爹{又音}得德	
tʰ[2]特	
l [2]勒	
ts [2]则贼摘责	
tsʰ[2]厕{～所}侧测拆泽择宅策册	
s [2]色啬{吝～}涩瑟{琴～}虱	
tʂ [1]遮 [2]摺褶哲蜇折{～断}浙 [3]者 [5]蔗这鹧	
tʂʰ[2]车彻撤辙澈 [3]扯	
ʂ [1]奢赊 [2]蛇佘{姓}蹑摄涉舌折{～本}[3]捨 [5]社射麝赦舍{宿～}设	
ʐ [2]热 [3]惹	
k [2]胳{～膊}格革隔疙{～瘩}[3]嗝	
kʰ[2]咳{～嗽}刻克客蛤{～蟆， 青蛙}	
ŋ [2]额厄扼轭呃	
x [1]嘿{～～笑}[2]黑{～色}骇嚇{恐～}赫{～～有名}核{审～， ～心}	
#ie	
p [1]鳖憋 [2]别= [3]瘪 [5]迸{裂爆}	
pʰ[2]撇 [5]孬	
m [1]擘{～一块馍给我}[2]灭篾	
t [1]爹 [2]跌叠碟牒谍	
tʰ[2]帖贴铁	
l [2]猎列烈裂劣肋勒	
ts [3]姐 [5]借藉	
tsʰ[3]且 [5]笡	
s [1]些 [2]斜邪涉 [3]写 [5]泻卸谢	
tɕ [2]接捷劫杰揭节截结洁 [3]姐{又音}[5]借{又音}藉{又音， 慰～}	
tɕʰ[2]茄妾怯切 [3]且{又音}[5]笡{又音}去{又音： 到哪里～}趄{趔～}	
ɲ [2]聂镊业苶孽捏	
ɕ [1]些{又音}[2]邪{又音}胁协蝎歇屑楔{～子}血-穴 [3]写{又音}[5]泻{又音}卸{又音}谢{又音}泄{～漏}	
∅ [2]耶爷叶页拽噎 [3]也野 [5]夜液	
#ue	
k [2]国	
kʰ[2]廓扩	
x [2]或惑	
∅ [2]喂	
#ye	
tɕ [2]绝厥掘橛 [3]决诀 [5]掘倔{～脾气}	
tɕʰ[2]瘸缺	
ɕ [1]靴 [2]薛雪血=学	
∅ [2]悦阅月哕越曰粤	
#o	
p [1]波菠{～菜}玻 [2]钵拨钹勃饽博剥{～削}驳脖膊薄{厚～}[3]跛簸{～一～}[5]簸{～箕}	
pʰ[1]坡剖 [2]婆泼{～水}[3]颇叵 [5]破薄{～荷}	
m [1]摸 [2]魔磨{～刀}馍莫膜寞末沫没{沉～}陌{～生}蘑漠 [3]抹摹{～仿}[5]摩磨{石～}暮慕墓募幕	
k [1]歌锅 [2]郭鸽蛤{～蚧}割葛各阁虢 [3]裹餜搁 [5]过	
kʰ[1]科苛 [2]渴括聒阔壳扩瞌磕{～头}[3]棵颗可 [5]课嗑{～瓜子}	
ŋ [2]讹遏噩蛾俄鹅鄂恶 [3]我 [5]饿	
x [1]喝{～水， 吆～}郝{姓}霍藿劐{用刀～开}[2]合盒豁{～口}活获和{～气}禾河何荷{～叶}霍藿镬蠖鹤 [3]火伙 [5]祸货贺荷{薄～}和{～稀泥}	
∅ [2]啊哦 [5]啊	
#uo	
t [1]多 [2]掇夺铎 [3]朶躲垜 [5]舵剁{～猪草}惰	
tʰ[1]拖 [2]驼砣驮脱托拓 铎 [3]妥 楕 {～ 圆}[5]唾{～沫}	
l [1]啰{～嗦}烙 [2]挪罗锣箩萝骡螺{～丝}脶{手～}捋{万源把捋袖子叫捞袖子}诺落骆酪洛络乐{快～}[3]裸瘰 [5]糯摞{～起来}懦诺	
ts [2]作昨撮凿 [3]左佐 [5] 矬{矮～～}坐座	
tsʰ[1]搓磋蹉 [5] 锉莝措错	
s [1]蓑梭{～子}唆{啰～}[2]索 [3]锁琐{～碎}所	
tʂ [2]桌卓琢啄涿拙酌浊捉镯	
tʂʰ[2]绰戳着{～火， 睡～}辍{～学}	
ʂ [2]说勺{～子}芍{～药}朔硕	
ʐ [2]若弱	
∅ [1]阿{～胶}倭窝 [2]握 [5]卧	
#yo	
l [2]略掠 [5]嚼	
tɕ [2]爵脚却觉角	
tɕʰ[1]雀确 [2]雀{麻～}鹊	
ɲ [2]略{～微}	
ɕ [2]学	
∅ [2]虐疟钥{～匙}药约嶽岳乐{音～}	
#ai	
p [3]摆 [5]拜稗{～子}败	
pʰ[2]排牌 {木～}[3]派{帮～}庹{两臂伸展的距离}[5]派{～遣}	
m [2]埋 [3]买 [5]卖迈	
t [1]呆{书～子}[2]逮 [3]歹 [5]待怠殆戴贷代袋带大{～夫}	
tʰ[1]胎 [2]臺台苔抬 [5]态太泰	
l [1]□{脏： ～稀}奶{婆： 你～来了}[2]来 [3]乃奶{吃～}[5]耐奈赖癞	
ts [1]灾栽 [3]宰载{满～}[5]再载{～重量}在	
tsʰ[1]猜 [2]才材财裁纔 [3]彩采睬踩 [5]菜蔡	
s [1]腮鳃塞{～不紧}[5]赛塞{边～}	
tʂ [1]斋 [5]债寨	
tʂʰ[1]钗差{出～}[2]豺柴	
ʂ [1]筛{～子}[5]晒	
k [1]该皆-阶-街- [3]改解-{～手， ～板子}[5]盖蓋丐{乞～}介-界-芥-疥-届-戒-械-	
kʰ[1]开揩 [3]凯楷 [5]概溉慨{慷～}	
ŋ [1]哀埃{尘～}挨{～近}[2]呆{～板}崖捱{～打}岩磑{～墨}[3]碍蔼矮 [5]艾爱隘	
x [2]孩鞋 [3]海 [5]亥骇害	
#iɛi	
tɕ [1]皆=阶= [3]解={～手}[5]介=界=芥=疥=届=戒=械=	
ɕ [2]鞋=谐= [5]懈解{姓}蟹	
#uai	
tʂ [5]拽	
tʂʰ[1]揣{～摸}揣{把钱～在口袋里}[3]喘{～气}	
ʂ [1]衰 [3]甩摔 [5]帅蟀率{表～}疝{～气}	
k [1]乖 [3]拐 [5]怪	
kʰ[3]块会{～计}刽蒯 [5]快筷桧{秦～}	
x [2]怀槐淮 [5]坏	
∅ [1]歪 [3]踒{～了脚}崴 [5]外	
#ei	
p [1]杯背{～包袱}碑卑悲 [5]贝辈背{～诵}焙{～干}鐾{～刀布}	
pʰ[1]胚{～胎}坯{土 ～}披丕 [2]培陪醅脾 [3]辔 [5]沛配佩	
m [1]没{～得}[2]梅枚媒煤霉 [3]每美 [5]妹昧媚寐	
f [1]非飞妃 [2]肥 [3]匪榧翡{～翠}[5]废肺 吠痱费	
k [1]给{～你东西}	
#uei	
t [1]堆 [5]对碓队兑	
tʰ[1]推 [3]腿 [5]退蜕{～皮}	
l [2]雷 [3]儡{傀～}累{积～}垒{积～}屡{～次}[5] 吕{姓}内累{劳～， 连～}类泪	
ts [1]锥 [3]嘴 [5]罪最醉	
tsʰ[1]催崔{姓}炊 [5]脆翠粹	
s [1]虽 [2]随隋遂 [3]髓 [5]絮{棉～}碎岁	
tʂ [1]追锥 [5]缀赘坠	
tʂʰ[1]吹 [2]垂槌锤捶{～背}	
ʂ [2]谁 [3]水 [5]税秽-睡瑞	
ʐ [3]蕊 [5]锐芮	
k [1]鳜圭闺规龟归 [3]诡轨鬼 [5]桂跪癸柜贵	
kʰ[1]盔魁亏窥 [2]奎逵葵跬 [3]傀{～儡}[5]溃愧	
x [1]灰恢麾挥辉徽 [2]回茴 [3]悔诲毁 [5]贿汇晦会绘惠慧秽=讳	
∅ [1]煨威偎萎{～～缩缩}[2]危伪为{作～}桅维惟唯微违围[3]萎委尾伟苇纬 [55]卫餧为{～什么}位遗未味魏畏胃谓蝟	
#au	
p [1]褒{～奖}包胞{衣～}鲍{姓}雹 [2]刨{～火棍}[3]保堡{～垒}宝饱 [5]抱报暴菢{～小鸡}豹爆{～炸}曝{一～十寒}鲍	
pʰ[1]泡{尿～}抛 [2]袍刨{～坑}胞{同～}[3]跑 [5]炮砲鉋泡{浸～}	
m [1]猫 [2]毛矛茅锚 [3]卯 [5]冒帽貌茂贸	
t [1]刀叨{唠～}[3]祷岛倒{颠～}导 [5] 道稻到倒{～水， ～退}盗	
tʰ[1]滔掏涛 [2]桃逃淘陶萄 [3]讨 [5]套	
l [2]劳捞唠{～叨}涝牢铙撩{～起来}[3]脑恼老 [5]闹	
ts [1]遭糟{酒～, ～糕}[3]早枣澡蚤 [5]皂灶笊{～篱子}	
tsʰ[1]操 [2]曹槽巢 [3]草騲 [5]造糙躁燥	
s [1]臊{～气}骚 [3]扫{～地}嫂 [5]扫{～把}潲{猪～水: 猪食; ～雨}	
tʂ [1]櫂朝{今～}召昭招沼 [3]爪{～牙}找 [5]罩赵兆照诏	
tʂʰ[1]抄钞超 [2]朝{～代}潮 [3]吵炒 [5]耖{～地}	
ʂ [1]梢捎稍烧 [2]苕 [3]少{多～}晌{～午}[5]韶绍邵{姓}少{～年}	
ʐ [2]饶 [3]扰绕{围～}挠{阻～}[55]绕{～线}	
k [1]高膏篙羔糕皋槁 [3]稿搞缟 [5]告膏{～油}觉-{睡～}窖-{～洋芋}	
kʰ[1]敲-{～爆栗子： 用指关节打人头部}[3]考烤 [5]靠犒拷	
ŋ [1]熬{受～煎}爊 [2]熬 {~ 药}鳌 [3]咬-袄懊 [5]傲鏊{～子}奥懊澳坳{山～}	
x [1]蒿薅{～草}[2]豪壕毫 [3]好{～坏}[5]号{呼～， ～角}浩好{爱～}耗	
#iau	
p [1]膘标彪 [3]表婊裱	
pʰ[1]飘漂{～流}鳔剽缥 [2]瓢嫖 [3]瞟漂{～白～染}燎{火把眉毛～了}[5]票漂{～亮}	
m [1]喵 [2]苗描瞄 [3]藐渺秒沓{～无 音 信}淼 [231]庙妙	
t [1]刁叼貂雕 [3]吊{～儿郎当}鸟-{男性生殖器}[5]钓弔吊{～起}掉调{～动}	
tʰ[1]挑{～选}[2]调{～皮}条迢笤 [3]挑{～战}调{～换}[5]跳粜眺	
l [2]燎僚嘹聊瞭寥辽疗 [3]了{～结}[5]料尥廖撂	
tɕ [1]交郊胶教{～书}蕉焦椒骄娇浇侥缴跤姣 [2]嚼 [3]绞狡铰饺较{比～}搅剿矫{～诈}[5]教{～育}校{～对}觉={睡～}轿叫	
tɕʰ[1]敲=缲{～边}锹{铁～}悄 [2]樵瞧乔桥侨荞 [3]巧 [5]俏噍窍	
ɲ [3]鸟 [5]尿	
ɕ [1]消宵霄硝销肖枵嚣萧箫 [2]肴淆 [3]小晓 [5]酵{～面}孝效校{学～}校{将～}笑鞘{刀～}	
∅ [1]妖邀腰要{～求}么{～二三}吆{～喝}[2]摇谣窑{烧～}姚尧 [3]舀{～水}杳 [5]要{重～}耀鹞跃{～进}	
#əu	
f [3]否	
t [1]都{～是}兜逗{～你的}[3]斗陡 [5]斗{～争}豆踱	
tʰ[1]偷 [2]头投 [3]抖- [5]透	
l [2]楼搂 [3]屡耧篓 [5]漏陋	
ts [1]邹 [3]走 [5]奏	
tsʰ[1]搊{往起扳： 把人～起来}[2]愁 [5]凑	
s [1]搜飕馊{饭～了}[3]叟 [5]嗽{咳～}瘦	
tʂ [1]周舟州洲 [3]肘掫{往上举： 你把旗子～好}帚 [5]纣{商～王}昼宙咒	
tʂʰ[1]抽 [2]绸稠筹仇酬 [3]丑{～时}瞅醜{美 ～}[5]臭{香～}	
ʂ [1]收 [3]手首守 [5]受授兽寿	
ʐ [2]柔揉 [5]肉	
k [1]勾{～结}钩沟 [3]狗苟枸{～杞}[5]彀{～不上}够构购	
kʰ[1]抠{～门}眍{眼球内陷}[3]口 [5]叩扣寇	
ŋ [1]欧瓯 [3]藕偶{～然， 配～}呕殴{～打}[5]沤怄	
x [1]齁{出气不畅}[2]侯喉猴瘊 [3]吼 [5]後厚后候	
#iəu	
m [5]谬	
t [1]丢 [2]留{～客}	
l [1]溜{～滑}[2]流{～水}刘留{停～}榴硫琉馏{蒸～水}[3]柳 [5]馏{把馍放到蒸笼里～一～}流{二～子}	
tɕ [1]揪{一把～住}鬏{梳个髦～儿}鳩阄{抓～}灸{针～}究柩纠 [3]酒九久韭 [5]就臼舅咎救旧	
tɕʰ[1]秋{～天}秋{～千}丘 [2]求球仇{姓}泅 [3]糗{挤成一团：～成一坨}[5]糗 {~ ~ 摸摸}	
ɲ [2]牛 [3]扭纽 [5]拗{～～扯扯}	
ɕ [1]修羞休 [2]囚{～犯}[3]朽 [5]秀绣锈袖宿{星～}嗅{～觉}	
∅ [1]忧优悠幽 [2]尤邮由油游犹 [3]有友 [5]酉莠诱又右佑宥柚鼬釉幼	
#an	
p [1]班斑颁扳般搬 [3]板版 [5]扮瓣办半伴拌蚌{~ 壳}	
pʰ[1]攀潘 [2]盤 [5]盼襻{纽～}绊判叛	
m [2]蛮瞒馒 [3]满螨 [5]曼慢漫幔谩	
f [1]藩蕃翻番 [2]凡帆樊烦矾繁 [3]反返 [5]范犯泛贩饭嬔{鸡～蛋}	
t [1]耽担{～任}丹单 [3]胆掸{鸡毛～子}诞= [5]淡担{肩上的～子重}旦但弹{子～}蛋	
tʰ[1]贪坍滩摊瘫 [2]潭谭谈痰檀坛弹{～棉花}[3]毯坦诞- [5]探炭叹	
l [2]南男蓝篮难{困～}兰拦栏鸾 [3]漤{～柿子}览揽榄缆懒暖卵 [5]滥难{患～}烂乱	
ts [1]簪钻{～进去}[3]攒 [5]錾暂赞溅{～了一身的水}栈钻{～个眼}渐	
tsʰ[1]参搀餐掺氽 [2]蚕惭谗馋残 [3]惨灿	
s [1]三 [3]散{鞋带～了}伞 [5]散{分～}	
tʂ [1]沾粘瞻毡 [3]斩盏展 [5]占{～卜}站佔战蘸绽{破～}颤	
tʂʰ[2]蟾蝉禅缠 [3]产铲	
ʂ [1]衫山删羶扇{～风}[3]陕闪 [5]善膳扇{～子}单{姓}	
ʐ [2]然燃 [3]染冉	
k [1]甘柑泔尴{～尬}干{树～}干{～湿}竿肝 [3]感敢橄杆{枪～}秆{麦～}擀{～面}赶 [5]干{～部}	
kʰ[1]堪龛嵌看{～守}刊{书～}[3]坎砍槛{门～}[5]勘{～探}看{～见}	
ŋ [1]庵淹安鞍 [3]暗{乌云遮天， 突然能见度很低}揞{用手把它～住， 别让它跑了}[5]暗{黑～}按案晏{晚也}岸	
x [1]憨罕鼾涎 [2]含函酣鹹{盐～}衔-{～在嘴里}寒韩 [3]喊撼 [5]憾陷{～在泥里}馅-陷-{～到里面了}旱汉汗焊翰限-{年～}苋-{～菜}	
#iɛn	
p [1]鞭编边 [3]扁{～担}匾贬蝙 [5]辨辩辫变汴便{方～}遍{一～}	
pʰ[1]偏篇 [2]便{～宜}[3]谝{～淡话}片{洋芋～}[5]骗遍{～地}片{～面}	
m [2]绵棉眠 [3]免勉渑{～池}缅 [5]面	
t [1]掂颠 [3]点典 [5]店电殿奠佃垫	
tʰ[1]添天 [2]甜田填 [3]舔腆 [5]掭{～毛笔}	
l [2]廉镰簾连联蓮怜 [3]脸 [5]敛敛殓练链楝	
tɕ [1]监尖兼艰间{中～}煎犍{～牛， 公牛}肩坚奸 [3]减碱检俭简柬拣谏涧锏剪笕{竹～～水}[5]鑑舰监{国子～}渐剑件践贱饯箭建犍{～子}键健腱荐见	
tɕʰ[1]歼签{～名}搛{～菜}谦迁笺千牵签{抽～}铅 [2]鹐{鸡～毛}钳钱乾{～坤}虔前 [3]潜浅遣 [5]嵌欠歉间{～断}	
ɲ [1]黏拈{～起来}鲇{～鱼}蔫研-{～究}[2]严-俨-{～然}年 [3]辇撵碾捻研{～碎}[5]念验酽砚	
ɕ [1]仙鲜{新～}先锨 [2]嫌衔=闲涎=贤弦{三～子}咸{～阳}[3]险癣显鲜{朝～}[5] 陷=馅=限=线羡宪献现县	
∅ [1]阉炎腌淹蔫焉烟燕{～京}[2]盐檐阎延言颜{～色}沿 [3]掩魇眼演兗 [5]厌艳焰雁筵谚堰燕{～子}宴{酒～}嚥咽{吞～}	
#uan	
t [1]端 [3]短 [5]断锻段缎椴	
tʰ[1]瘫 [2]团	
l [2]鸾 [3]暖卵 [5]乱	
ts [1]钻{～研}[3]攒 [5]钻{～孔， ～子}	
tsʰ[1]氽 [5]篡纂窜	
s [1]酸 [5]算蒜	
tʂ [1]专砖 [3]转{～眼， ～送}[5]赚撰篆转{～圈子}传{～记}	
tʂʰ[1]川穿 [2]传{～达}椽船 [5]串	
ʂ [1]拴 [5]闩栓涮	
ʐ [3]软阮	
k [1]官棺观{参～}冠{衣～}鳏{～寡}关 [3]管馆 [5]贯灌罐观{道～}冠{～军}惯	
kʰ[1]宽 [3]款	
x [1]欢 [2]桓还{～原}还{～有}环 [3]缓 [5]唤焕换幻患宦	
∅ [1]豌剜弯湾 [2]完玩顽 [3]皖碗腕宛娩{分～}晚挽 [5]万蔓院-{医～}	
#yɛn	
tɕ [1]捐娟 [3]卷{～烟}捲{～铺盖}[5] 圈{猪～}眷{家～}卷{试～}倦绢{生丝～子}
tɕʰ [1]圈{圆～}[2]全泉拳权颧踡 [3]犬 [5]劝券	
ɕ [1]鲜{～少}轩掀宣喧 [2]旋{～转}玄眩悬 [3]选 [5]旋{～风}镟楦	
∅ [1]冤铅{～笔}渊 [2]丸{～子}圆员缘元原源袁辕园援沿 [3]远 [5]院=願怨	
#ən	
p [1]奔锛崩{山～}[3]本 [5]笨奔{～不脱}	
pʰ[1]喷{～香}烹 [2]盆彭膨	
m [1]焖 [2]门 [5]闷笨	
f [1]分纷芬份{股～}[2]焚坟 [3]粉 [5]喷{～水}愤忿粪奋分{水～}份{一～， 两～}	
t [1]敦墩蹲登灯 [3]等盹{打～}[5]饨{馄～}顿鈍顿扽{把绳子～紧}囤盾遁凳镫瞪{～眼}邓	
tʰ[1]吞 [2]屯{～积}豚臀腾滕藤疼 [5]褪{把袖子～掉}□{～穷： 攀比}	
l [1]捻{～纸捻子}[2]论{～语}崙伦沦轮能楞 [3]冷 [5]嫩论{议～}	
ts [1]臻尊遵曾{姓}增鋥{～光～亮}争筝挣{～扎}睁 [3] 撙怎 [5]榛憎赠挣{～脱}	
tsʰ[1]参{～差}村皴{脸～}铛{电饼～}[2]岑存曾{～经}层 [3]揿{～住： 按住}[5]寸衬忖蹭{磨磨～～}牚{椅子～～}	
s [1]森参{人～}孙僧生牲笙甥 [3]损省{～俭}省{四川～}榫笋 [5]渗	
tʂ [1]针斟珍真诊疹征{～求}蒸贞侦正{～月}征{～战}[3]枕{名词： ～头}枕{动词}拯整{完～}[5]镇阵振震澄{～清}证症正{～确}政郑	
tʂʰ[1]伸{～手}称{～重量}[2]沉陈尘臣橙澄{～清}乘{～车}承丞橙{～子}呈程成城诚 [3]惩逞{～能}[5]趁慎称{相～}秤盛{～满了}	
ʂ [1]深身申娠升声 [2]神辰晨 [3]沈审婶 [5]葚甚肾胜{～任， ～败}剩圣盛{兴～}	
ʐ [2]壬任{姓}人仁仍 [3]忍扔 [5]刃认韧任{～何，～务}纫孕	
k [1]跟根更{五～}庚羹粳{～米}耕 [3]耿哽梗{～的： 整的，全部都是}[5]更{～加， ～换}埂{田～}	
kʰ[1]坑吭 [3]恳垦啃肯哽{～到了}	
ŋ [1]恩 [3]摁 [5]硬	
x [1]亨哼 [2]痕恒衡 [3]很 [5]恨杏	
#in	
p [1]彬宾滨槟殡鬓冰 兵 [3]禀丙秉 柄 饼 [5]病并倂並	
pʰ[1]拼{～命}[2]贫频凭瓶屏萍平坪评 [3]品 [5]聘姘{～头}拼{～音}摒{～弃}	
