音标	调类	调值	
tɕʰy	3	54	取娶
tɕʰy	5	213	去（来～，～皮）
tɕʰy	7	34	黢（～黑）屈曲（酒～）
ɕy	1	21	须吁
ɕy	2	42	徐
ɕy	6	33	序叙绪续
ɕy	7	34	戌畜（～牧）蓄（储～）续
y	1	21	淤迂
y	2	42	余馀舁（抬）愚虞娱于盂榆逾愉
y	3	54	语雨羽
y	6	33	御御于（～此）与（及，给予）誉（荣誉）预豫遇寓宇禹芋愈（～好，病～）喻裕
y	7	34	域郁育玉狱欲浴
ɚ	2	42	儿而
ɚ	3	54	尔耳饵
ɚ	6	33	二贰（～心）
ɚ	7	34	日
pa	1	21	巴芭疤
pa	3	54	把（～握，～守，一～）
pa	5	213	霸把（柄）坝（堤，平川）爸
pa	7	34	八拔
pʰa	2	42	爬琶（琵～）杷（枇～）钯（～子）耙（犁～，～地）
pʰa	5	213	怕帕
pʰa	6	33	□（形容食物松软）
ma	2	42	麻痲蟆（虾～）妈
ma	3	54	马码（～子）
ma	6	33	骂
ma	7	34	抹（～布，～桌子）
fa	7	34	法（方～，～子）乏发（～财，头～）伐筏罚
ta	3	54	打
ta	7	34	答搭
tʰa	1	21	他
tʰa	7	34	踏拓（～本）沓（一～纸）塔榻塌溻（汗～湿了）獭（水～）达
la	1	21	拉
la	2	42	拿
la	3	54	那
la	6	33	哪
la	7	34	纳腊蜡镴（锡～）捺（撇～）辣癞
ka	1	21	稼
ka	5	213	嫁
ka	7	34	夹挟（～菜）
kʰa	7	34	恰掐
ŋa	1	21	鸦桠（～杈）
ŋa	2	42	牙伢（小孩子）
ŋa	3	54	揢（捕，捉，拿住）哑
ŋa	6	33	砑
ŋa	7	34	鸭
xa	2	42	蛤（～蟆）
xa	5	213	吓
xa	7	34	蛤（～蜊）瞎吓（恐～）
tsa	1	21	渣
tsa	5	213	诈榨（～油）
tsa	6	33	乍
tsa	7	34	炸（～弹）杂扎（用针～）眨（～眼）闸炸（用油～）札扎轧（被车～，～棉花）铡（～刀）柞（橡树）窄摘栅（～栏）
tsʰa	1	21	查（山～）叉杈（枝～）差（～别，～不多，参～）
tsʰa	2	42	茬查（调～）
tsʰa	5	213	岔（三～路）
tsʰa	7	34	插擦察拆
sa	1	21	莎（～草）沙纱杉萨
sa	3	54	洒厦（偏～，前廊后～）傻
sa	7	34	撒（～手，～种）杀蟀
tʂa	1	21	遮
tʂa	6	33	只（～有）
tʂa	7	34	只
tʂʰa	1	21	车（马～）
tʂʰa	2	42	茶搽
tʂʰa	3	54	扯
ʂa	1	21	奢
ʂa	2	42	蛇
ʂa	3	54	舍
ʂa	6	33	射麝（～香）
ʂa	7	34	蜇（蝎子～人）射
ʐa	3	54	惹
a	1	21	阿（～胶，～哥）
pia	1	21	□（贴，～在向上）□（扁的，～～子）
pʰia	1	21	□（没味，淡～～）
tʰia	7	34	踢
tɕia	1	21	家加痂嘉家（～具）佳
tɕia	3	54	假（真～）贾（姓）姐
tɕia	5	213	假（放～）架驾价借
tɕia	7	34	夹（～衣）甲胛（肩～）
tɕʰia	7	34	洽吃
ɕia	1	21	虾（鱼～）
ɕia	2	42	霞瑕遐暇斜
ɕia	6	33	下（底～）夏（姓）厦（～门）下（～降）夏（春～）
ɕia	7	34	狭峡匣（箱～）辖（管～）
ia	1	21	丫（～头）
ia	2	42	芽衙涯（天～）
ia	3	54	雅亚野
ia	6	33	野
ia	7	34	押压（～力）
fua	1	21	花滑猾（狡～）
fua	2	42	划（～船）华（中～）铧
fua	5	213	化
fua	6	33	华（～山，姓）桦（～树）画话
fua	7	34	划
kua	1	21	瓜蜗
kua	3	54	寡剐
kua	5	213	挂卦
kua	7	34	刮
kʰua	1	21	夸
kʰua	3	54	侉垮
kʰua	5	213	跨
sua	3	54	耍
sua	7	34	刷
tʂua	1	21	抓
ua	1	21	蛙洼蛙
ua	3	54	瓦
ua	7	34	挖袜
pɐ	3	54	摆
pɐ	5	213	拜
pɐ	6	33	败
pɐ	7	34	百柏伯白
pʰɐ	2	42	牌排（筏）
pʰɐ	5	213	派
pʰɐ	6	33	罢稗
pʰɐ	7	34	迫拍魄
mɐ	2	42	埋
mɐ	3	54	买
mɐ	6	33	卖迈
mɐ	7	34	麦
tɐ	2	42	呆
tɐ	5	213	戴贷待怠殆带
tɐ	6	33	代袋大（～夫，～黄：药名）
tʰɐ	1	21	胎
tʰɐ	2	42	台（天～，～州）台苔（舌～，青～）抬
tʰɐ	5	213	态太泰
lɐ	2	42	来
lɐ	3	54	乃奶
lɐ	6	33	耐奈赖癞
kɐ	1	21	该
kɐ	2	42	街□（～始：开始）
kɐ	3	54	改解（讲～，解开）
kɐ	5	213	盖丐（乞～）芥尬（尴～）
kɐ	7	34	革隔
kʰɐ	1	21	开揩
kʰɐ	3	54	凯慨（慷～，感～）楷
kʰɐ	5	213	概溉
ŋɐ	1	21	哀埃（尘～）挨（～近，～住）
ŋɐ	2	42	崖（山～）挨（～打，～骂）
ŋɐ	3	54	矮
ŋɐ	5	213	爱蔼（和～）隘
ŋɐ	6	33	碍艾
ŋɐ	7	34	额
xɐ	1	21	核（审～，果子～）
xɐ	2	42	孩鞋还（～有）
xɐ	3	54	海
xɐ	6	33	亥害骇（惊～）
tsɐ	1	21	灾栽斋
tsɐ	3	54	宰载（年～，～重，满～）
tsɐ	5	213	再债
tsɐ	6	33	寨
tsɐ	7	34	则
tsʰɐ	1	21	猜钗差（出～）
tsʰɐ	2	42	才材财裁才豺柴
tsʰɐ	3	54	彩采睬
tsʰɐ	5	213	菜棌（橡树）蔡
tsʰɐ	6	33	在
sɐ	1	21	腮鳃筛（～子）
sɐ	3	54	洒
sɐ	5	213	赛晒
piɐ	7	34	鳖憋
pʰiɐ	7	34	别（区～，离～）撇（～捺，～开）
miɐ	3	54	□（折）
miɐ	7	34	灭篦（竹～）墨默陌（～生）脉
tiɐ	1	21	爹□（锅～：厨房）
tiɐ	7	34	跌叠碟得德特
tʰiɐ	7	34	帖（碑～，请～）贴牒蝶谍铁忒（～杀，～好）
niɐ	3	54	□（在说物品归属时用意为别人，~的）
niɐ	7	34	聂（姓）镊（～子）蹑（～脚走）业茶（发～）孽捏□（那，~个）
liɐ	7	34	猎列烈裂劣肋勒
kiɐ	7	34	格
kʰiɐ	7	34	刻（时～，用刀～）克客
ŋiɐ	7	34	扼轭
xiɐ	7	34	核黑
tɕiɐ	1	21	皆阶秸（麦～）
tɕiɐ	3	54	解（晓也）
tɕiɐ	5	213	介界疥届戒
tɕiɐ	6	33	藉（～故）谛（～子）
tɕiɐ	7	34	接捷劫杰揭节截结洁
tɕʰiɐ	1	21	□（~火，害怕）
tɕʰiɐ	2	42	茄（～子）
tɕʰiɐ	3	54	且
tɕʰiɐ	5	213	笡（斜）
tɕʰiɐ	7	34	妾怯（畏～）切（～开）贼
ɕiɐ	1	21	些
ɕiɐ	2	42	邪谐蟹
ɕiɐ	3	54	写
ɕiɐ	5	213	泻卸
ɕiɐ	6	33	谢械懈解（姓）
ɕiɐ	7	34	胁协涩薛泄（～漏）歇蝎屑（木～）楔（～子，～撅子）血穴瑟塞色啬（吝～）
tsiɐ	7	34	泽择（～菜，选～）宅责
tsʰiɐ	7	34	侧测策册
iɐ	1	21	腌
iɐ	2	42	耶爷
iɐ	3	54	也（者～，～是）
iɐ	7	34	靥（酒～）叶页曳（拖）噎（～住了）腋
kuɐ	1	21	乖
kuɐ	3	54	拐
kuɐ	5	213	怪
kʰuɐ	3	54	会（～计）刽
kʰuɐ	5	213	块快筷
xuɐ	2	42	怀槐淮或获
xuɐ	6	33	坏
tsuɐ	5	213	拽（拉）
tsʰuɐ	3	54	揣（～度）□（日吧～，不行，不怎么样）□（批评，～吧）
suɐ	1	21	衰摔
suɐ	5	213	帅
ʂuɐ	7	34	率（～领）
uɐ	1	21	歪
uɐ	6	33	外
kyɐ	7	34	决诀国
kʰyɐ	2	42	瘸（～腿）
kʰyɐ	7	34	缺
tɕyɐ	1	21	厥倔（～强）
tɕyɐ	7	34	绝憠（脾气～）掘撅（～子）掘
ɕyɐ	1	21	靴
ɕyɐ	7	34	雪
yɐ	7	34	悦阅月越曰粤籰（收丝器）
pɔ	1	21	褒（～奖）包雹
pɔ	3	54	保堡宝饱
pɔ	5	213	报暴菢（～小鸡）豹爆
pɔ	6	33	鲍（姓，～鱼）
pɔ	7	34	曝
pʰɔ	1	21	泡抛
pʰɔ	2	42	袍跑刨（～地）狍
pʰɔ	5	213	炮（枪～）泡（～在水里）
pʰɔ	6	33	抱胞刨
mɔ	2	42	毛茅猫锚
mɔ	3	54	卯牡
mɔ	6	33	冒帽貌茂贸
tɔ	1	21	刀叨（唠～）
tɔ	3	54	祷岛倒（打～，颠～）导
tɔ	5	213	到倒（～水）
tʰɔ	1	21	滔掏（～出来）
tʰɔ	2	42	桃逃淘（～米）陶萄涛
tʰɔ	3	54	讨
tʰɔ	5	213	套
tʰɔ	6	33	道稻盗
lɔ	1	21	劳捞牢唠（～叨）饶挠
lɔ	3	54	脑恼老
lɔ	6	33	涝（旱～）闹
kɔ	1	21	高膏篙（进船竿）羔糕膏（～车，～油）
kɔ	3	54	稿搞
kɔ	5	213	告
kʰɔ	3	54	考烤
kʰɔ	5	213	靠犒
ŋɔ	1	21	熝（～白菜）坳（山～）
ŋɔ	2	42	熬
ŋɔ	3	54	袄懊（～恼）
ŋɔ	6	33	傲鏊（烙饼用具）奥懊（～悔）
xɔ	1	21	蒿（蓬～）薅（～田草）
xɔ	2	42	豪壕毫号（呼～）
xɔ	3	54	好（～坏）
xɔ	5	213	好（喜～）耗
xɔ	6	33	浩号（～数）
xɔ	7	34	郝（姓）赫
tsɔ	1	21	遭糟
tsɔ	3	54	早枣蚤澡爪（～牙，爪子）找
tsɔ	5	213	躁灶罩笊（～篱）
tsɔ	6	33	皂
tsʰɔ	1	21	操（～作，～演）抄（略取，～写）钞（钱～）
tsʰɔ	2	42	曹巢
tsʰɔ	3	54	草炒吵
tsʰɔ	5	213	造（建～）
tsʰɔ	6	33	糙（粗～，～米）槽（马～）
sɔ	1	21	骚臊（～气）梢（树～）捎（～带）稍
sɔ	3	54	扫（～地）嫂
sɔ	5	213	扫（～帚）潲（猪食，～雨）
tʂɔ	1	21	朝（今～）昭招
tʂɔ	3	54	沼（池～，～气）
tʂɔ	5	213	赵兆召照诏
tʂɔ	6	33	棹（桨）
tʂʰɔ	1	21	超
tʂʰɔ	2	42	朝（～代）潮
ʂɔ	1	21	烧
ʂɔ	2	42	韶（～关）苕（形容人愚笨）□（赶禽类牲畜的声音）□（本字「苕」，形容人愚笨）
ʂɔ	3	54	少（多～）
ʂɔ	6	33	少（～年）绍邵
ʐɔ	2	42	饶桡（桨）
ʐɔ	3	54	扰绕（围～，～线）
piɔ	1	21	膘（肥腩）标彪
piɔ	2	42	鳔
piɔ	3	54	表
piɔ	6	33	□（液体喷出）
pʰiɔ	1	21	飘
pʰiɔ	2	42	瓢嫖（～赌）
pʰiɔ	3	54	漂（～白）
pʰiɔ	5	213	票（车～）漂（～亮）
miɔ	2	42	苗描
miɔ	3	54	藐渺秒
miɔ	6	33	庙妙
tiɔ	1	21	刁貂雕
tiɔ	5	213	钓吊
tiɔ	6	33	掉调（音～）
tʰiɔ	1	21	挑
tʰiɔ	2	42	条调（～和）跳
tʰiɔ	3	54	调（～动）
tʰiɔ	5	213	跳
tʰiɔ	6	33	藋（灰～菜）豆
niɔ	2	42	□（厉害）
niɔ	3	54	咬鸟
niɔ	6	33	尿
liɔ	2	42	燎疗聊辽撩（～起来）寥
liɔ	3	54	燎（火～眉毛）了（～结）了
liɔ	6	33	料尥（马～蹶子）廖（姓）
tɕiɔ	1	21	交郊胶教（～书）焦蕉椒骄娇浇
tɕiɔ	2	42	瞧（牛倒～）
tɕiɔ	3	54	绞狡铰搅较剿矫缴侥
tɕiɔ	5	213	酵窖叫
tɕiɔ	6	33	教（～育，～他去）轿
tɕiɔ	7	34	饺
tɕʰiɔ	1	21	敲锹缲（～边）
tɕʰiɔ	2	42	樵瞧乔侨桥荞
tɕʰiɔ	3	54	巧悄
tɕʰiɔ	5	213	俏偢（傻）窍
tɕʰiɔ	7	34	嚼
ɕiɔ	1	21	消宵霄硝销枵嚣萧箫馊屑
ɕiɔ	2	42	淆
ɕiɔ	3	54	小晓
ɕiɔ	5	213	孝笑鞘瘦
ɕiɔ	6	33	校（～对，学～，上～）效
iɔ	1	21	妖邀腰要（～求）幺（～二三）吆（～喝）
iɔ	2	42	肴摇谣窑姚尧
iɔ	3	54	舀（～水）杳（～无音信）
iɔ	5	213	靿（靴～）要（想～，重～）
iɔ	6	33	耀鹞（～鹰）
iɔ	7	34	跃
puo	1	21	波菠玻
puo	3	54	跛簸（～一～）
puo	5	213	簸（～箕）
puo	7	34	钵拨泼铍勃饽（面～）博剥驳帛擘檗
pʰuo	1	21	颇坡
pʰuo	2	42	婆
pʰuo	5	213	破剖
pʰuo	6	33	薄（～荷）
pʰuo	7	34	泊（梁山～）
muo	2	42	魔磨（～刀）摩馍
muo	6	33	磨（～面，石～）
muo	7	34	末沫没莫
fuo	7	34	佛（彷～）
tuo	1	21	多
tuo	3	54	朵躲垛
tuo	5	213	剁
tuo	7	34	铎踱
tʰuo	1	21	拖
tʰuo	2	42	驼驮（拿，～起来，～子）
tʰuo	3	54	妥椭（～圆）
tʰuo	5	213	唾（～液，～沫）
tʰuo	6	33	舵惰
tʰuo	7	34	掇（拾～，两手～起，掂～）脱夺托（手承物）
luo	2	42	挪罗锣箩骡螺（～蛳粉）脶（手指文）啰（～嗦）
luo	3	54	裸（～体）瘰（～症）
luo	6	33	糯（～米）摞（～起来）
luo	7	34	诺落烙骆酪洛络乐略掠
kuo	1	21	歌哥锅
kuo	3	54	果裹馃
kuo	5	213	个（～人，一～）过
kuo	7	34	聒（～耳朵）各阁搁胳（～臂）郭虢（虞～）
kʰuo	1	21	科窠（鸟兽或虫的窝）棵廓扩（～充）
kʰuo	3	54	可颗（一～珠）
kʰuo	5	213	课
kʰuo	7	34	渴括（包～）阔壳
ŋuo	2	42	蛾鹅俄讹
ŋuo	3	54	我
ŋuo	6	33	饿恶（恨，可～）
ŋuo	7	34	鄂恶（善～）
xuo	1	21	劐（用刀～开）
xuo	2	42	河何和（～气）禾
xuo	3	54	荷（薄～，～花）火伙
xuo	5	213	货
xuo	6	33	贺祸和（～面）
xuo	7	34	豁（～然，～嘴，～口）活鹤霍藿（～香）镬（锅）惑
tsuo	3	54	左佐
tsuo	7	34	作（作坊，工作）凿桌卓琢啄涿（涿县，涿鹿）浊捉镯（～子）浞（水湿）
tsʰuo	1	21	搓
tsʰuo	2	42	矬（矮）
tsʰuo	5	213	锉莝（～草：切碎的草）措（～施）
tsʰuo	6	33	坐座
tsʰuo	7	34	错（～误，～杂）撮（一～米）昨戳
suo	1	21	蓑梭（织布～）
suo	3	54	锁琐（～碎）所
suo	6	33	嗦（啰～）
suo	7	34	索（绳～）朔缩
tʂɔ	7	34	拙着（～衣）酌
tʂʰɔ	7	34	着（睡着，附着）绰（宽～）
ʂɔ	7	34	说（～话）
ʐuo	7	34	若弱
uo	1	21	倭崴（～了脚）窝
uo	5	213	涴（弄脏）
uo	6	33	卧
uo	7	34	勿沃
fə	3	54	否
lə	7	34	捋（～袖，～桑叶）
kə	6	33	戈
kə	7	34	合（十合一升）鸽割葛
kʰə	1	21	咳（～嗽）
kʰə	7	34	磕
tʂə	7	34	喝（～酒）合盒（烟～）喝（～采，吆～）
tʂʰə	3	54	也
tʂʰə	6	33	蔗
tʂʰə	7	34	摺（～叠）褶（～子，皱纹）蛰（惊～）哲辙折（～断）浙
ʂə	1	21	赊涉设
ʂə	2	42	佘（姓）
ʂə	5	213	赦舍騇（母的牛马）
ʂə	6	33	社
ʂə	7	34	摄舌折（弄～了）
ʐə	7	34	热
nyo	7	34	虐疟（～疾，发～子）握
tɕyo	6	33	觉（睡～）
tɕyo	7	34	爵脚觉（知～）角
tɕʰyo	3	54	却确㩁（击，～蒜）
tɕʰyo	7	34	雀（麻～）鹊（喜～）
ɕyo	7	34	削勺（～子）芍（～药花）学
yo	7	34	约药钥（～匙）岳乐（音～）
pɪ	1	21	悲
pɪ	5	213	辈背
pɪ	6	33	背（～诵）焙（～干）
pɪ	7	34	北
pʰɪ	1	21	杯胚（～胎）坯（土～）
pʰɪ	2	42	培陪赔裴
pʰɪ	5	213	配
pʰɪ	6	33	倍佩
mɪ	2	42	梅枚媒煤
mɪ	3	54	每
mɪ	6	33	妹昧
tɪ	1	21	堆
tɪ	5	213	对碓队兑
tʰɪ	1	21	推
tʰɪ	3	54	腿
tʰɪ	5	213	退蜕（蛇～皮，蝉～）褪
lɪ	2	42	雷
lɪ	3	54	儡（傀～）累（极困，～积）垒
lɪ	6	33	内累（连～）类泪
tɕɪ	3	54	嘴
tɕɪ	5	213	醉
tɕʰɪ	2	42	□（塞住）
tɕʰɪ	5	213	脆
tsʰɪ	5	213	厕（～所，茅～）
vɪ	1	21	萎（气～，买卖～）威
vɪ	2	42	为（作～）维惟微违围
vɪ	3	54	委尾伟苇（芦苇）纬
vɪ	5	213	喂畏慰
vɪ	6	33	卫为（～什么）位唯未味胃谓猬
fuɪ	1	21	恢灰非飞妃挥辉徽
fuɪ	2	42	回茴（～香）肥
fuɪ	3	54	贿悔晦毁水匪榧（～子）□（用来喜欢做危险动作的的人）
fuɪ	5	213	税废肺痱（痨子）费（～用）
fuɪ	6	33	汇桧会（开～，～不～）绘吠惠慧翡（～翠）汇
kuɪ	1	21	圭闺规龟归
kuɪ	3	54	诡轨癸鬼
kuɪ	5	213	鳜（～鱼）桂贵
kuɪ	6	33	柜
kʰuɪ	1	21	盔魁奎亏窥
kʰuɪ	2	42	逵葵
kʰuɪ	3	54	傀（～儡）
kʰuɪ	5	213	溃（～脓）跪愧
xuɪ	1	21	麾
xuɪ	6	33	秽讳
tsuɪ	5	213	最
tsʰuɪ	1	21	催崔（姓）
tsʰuɪ	5	213	碎翠粹（纯～）
tsʰuɪ	6	33	罪
suɪ	2	42	随虽绥
suɪ	3	54	髓
suɪ	5	213	岁
suɪ	6	33	遂隧（～道）穗
tʂuɪ	1	21	追锥
tʂuɪ	5	213	缀（点～）赘坠（与「堕」异）
tʂʰuɪ	1	21	吹炊
tʂʰuɪ	2	42	垂槌锤
ʂuɪ	2	42	谁
ʂuɪ	6	33	睡
ʐuɪ	3	54	蕊
ʐuɪ	6	33	芮（姓）锐瑞
uɪ	1	21	煨
uɪ	2	42	桅（船～杆）危
uɪ	3	54	伪
uɪ	6	33	魏
fyɪ	1	21	虚嘘（吹～）
fyɪ	3	54	许
ŋyɪ	2	42	鱼渔
ŋyɪ	3	54	女
ɕyɪ	1	21	墟（～市）
məu	2	42	谋矛
təu	1	21	都（～城，～是）兜突□（水不热，温~子）
təu	3	54	堵赌肚（鱼～，猪～，腹～）妒斗抖陡
təu	5	213	斗
təu	6	33	逗
təu	7	34	独读犊（牛～子）笃督
tʰəu	1	21	偷秃
tʰəu	2	42	徒屠途涂图头投[54]
tʰəu	3	54	土吐（～痰，呕～）敨（～开，～气）
tʰəu	5	213	兔透□（捅，烟囱）
tʰəu	7	34	牍毒
ləu	2	42	奴卢炉芦（～苇）鸬（～鹅）庐（茅～，～山）楼搂（～取）耧（播种用的农具）
ləu	3	54	努鲁橹虏篓搂（抱）
ləu	6	33	怒路赂露鹭漏陋
ləu	7	34	鹿禄陆录
ŋəu	1	21	欧瓯
ŋəu	3	54	藕偶（配～，～然）呕（～吐）殴
ŋəu	5	213	沤（久浸水中）怄（～气）
tsəu	1	21	租邹掫（望上～）
tsəu	3	54	祖组阻走
tsəu	5	213	奏皱绉骤
tsəu	7	34	卒（兵～）足
tsʰəu	1	21	粗初搊（～起来）
tsʰəu	2	42	愁
tsʰəu	3	54	楚础（柱下石）瞅
tsʰəu	5	213	醋助凑
tsʰəu	7	34	猝（仓～）族促
səu	1	21	苏酥梳（～头）疏（～远）蔬飕搜（～集）
səu	3	54	数叟
səu	5	213	素诉塑（塑像）嗉（鸟～子）疏（注～）数嗽（咳～）漱（～口）
səu	7	34	速肃粟俗蜀属
tʂəu	1	21	猪诸诛蛛株朱珠周舟州洲
tʂəu	3	54	煮举主肘帚
tʂəu	5	213	咒
tʂəu	6	33	着（显～）驻柱注昼
tʂəu	7	34	竹筑逐轴祝粥烛嘱
tʂʰəu	1	21	抽
tʂʰəu	2	42	除储（～蓄）锄厨雏绸稠筹仇酬
tʂʰəu	3	54	褚（姓）处（相～，～所）杵拄（～楞杖）丑
tʂʰəu	5	213	纣（桀衬）臭（香～）
tʂʰəu	6	33	苎（～麻）箸（筷子）住蛀铸宙
tʂʰəu	7	34	畜（～牲）触
ʂəu	1	21	枢输收术（白～，苍～）述秫书舒殊
ʂəu	3	54	暑鼠黍署（专～）薯（白～）手首守
ʂəu	5	213	戍输（运～）
ʂəu	6	33	庶恕竖树兽受寿授售
ʂəu	7	34	叔熟（煮～，～悉）淑赎束
ʐəu	2	42	柔揉
ʐəu	7	34	肉辱褥
miəu	6	33	谬
tiəu	1	21	丢
niəu	2	42	牛
niəu	3	54	纽扭
liəu	2	42	流刘留榴（石～）硫（～黄）琉（～璃）
liəu	3	54	柳
liəu	6	33	溜馏
liəu	7	34	六绿
kiəu	1	21	勾钩沟
kiəu	3	54	狗苟彀（往上～）
kiəu	5	213	够构购勾（～当）
kʰiəu	1	21	抠眍（眼～）
kʰiəu	3	54	口
kʰiəu	5	213	叩（～头）扣（～住）寇
xiəu	2	42	侯喉猴瘊（～子）
xiəu	3	54	吼
xiəu	6	33	后厚后候
tɕiəu	1	21	揪（一把～住）鬏（梳个～儿）鸠阄（拈～）纠（～缠）究柩
tɕiəu	3	54	酒九久韭灸（针～）纠（～正）
