#a								
l	[1]嚕擼[2]盧爐[3]鹵虜魯櫓[5]露{～马脚}乳{～鸽}[6]賂路露{～水}							
ts	[1]租之芝[2]□{用烧红的铁棍等烫}[3]祖組							
tsʰ	[1]粗[3]娶[5]醋							
s	[1]酥蘇[3]數緒[5]素訴嗦數							
k	[1]估姑孤辜[3]古股鼓蠱[5]固故雇顧賈							
kʰ	[1]枯箍[3]苦{艰～}[5]庫							
∅	[1]污烏塢巫誣鎢[5]惡							
#ai								
p	[3]擺[5]拜[6]敗							
pʰ	[2]牌排[5]派沛							
m	[2]埋[5]買[6]邁賣							
f	[5]快筷							
v	[2]淮槐懷[6]壞							
t	[5]帶滯{训}[6]大戴							
tʰ	[5]態太泰							
n	[5]乃奶[6]耐奈							
l	[1]拉[2]荔[5]賴癩							
ts	[1]齋[5]債[6]寨							
tsʰ	[1]猜差釵搓[2]柴[5]蔡							
s	[2]□{嘴馋}[3]徙[5]賽曬							
k	[1]街階皆稽揩偕[3]解[5]介戒芥届界尬疥							
kʰ	[5]溉概凱慨							
ŋ	[2]崖涯捱[6]艾							
h	[2]孩鞋諧[5]蟹[6]懈械駭係							
j	[2]□{～kuak54:形容不讲卫生}							
∅	[1]哀唉埃[3]矮							
#ɐi								
p	[5]蔽箅[6]敝弊幣斃稗陛							
pʰ	[1]批							
m	[3]米							
f	[1]揮輝徽[5]肺廢費[6]吠							
v	[1]威[2]唯惟維帷遺圍違為[3]偉葦緯委歪[5]畏偽[6]位衛彗惠慧胃猬慰魏巍諱謂為喂							
t	[1]低[3]底抵[5]帝渧[6]第遞隸							
tʰ	[1]梯剃[2]啼提蹄題堤[3]體[5]替弟涕[6]隸							
n	[2]泥尼[6]呢							
l	[2]犁黎[5]禮[6]例麗吏							
ts	[3]子{兒子}[5]祭際標濟制製							
tsʰ	[1]妻凄棲[2]齊[5]砌							
s	[1]篩犀西[3]洗使駛[5]世勢細婿璽[6]逝誓							
k	[1]雞[5]計繼髻							
kʰ	[1]溪稽[3]啟[5]契							
ŋ	[1]□{哀求}[2]危呆獃[3]蟻[6]藝毅							
h	[1]兮奚							
∅	[1]挨[3]□{句首發聲詞，引起注意}							
#au								
p	[1]褒包胞鮑[3]飽							
pʰ	[1]抛[2]刨袍[3]跑[5]炮泡							
t	[1]叨							
m	[2]茅矛[5]卯牡畝[6]貌冒							
n	[6]鬧							
l	[1]撈[2]牢勞唠							
ts	[1]遭糟焦{干}[2]□{用掃帚打人}[3]找笊爪棗[5]澡[6]罩							
tsʰ	[1]抄鈔操[2]巢曹嘈□{水分流失而顯得乾瘤，皺巴巴的}[3]炒[5]燥							
s	[1]搜{白}							
k	[1]交郊膠教鉸[3]搞狡絞攪[5]教窖較酵覺校架{打～}							
kʰ	[1]敲[3]考烤[5]犒							
ŋ	[2]淆肴熬[5]藕咬[6]傲							
h	[1]蒿[2]姣{发～}[5]孝好[6]效校皓							
j	[5]擾							
∅	[5]坳拗襖							
#ɐu								
p	[1]煲[3]保堡寶[5]報[6]暴爆瀑{疑}							
pʰ	[3]剖[5]抱							
m	[2]毛眸謀[3]□{不好}[5]某□{没有}謬[6]帽茂貿戊							
f	[2]浮[3]否[6]埠							
t	[1]刀兜[3]斗{量词}導抖陡倒{～出}島禱[5]鬥倒到[6]盗道稻豆逗							
tʰ	[1]滔濤偷[2]逃桃陶萄掏投頭[3]討[5]套透							
n	[2]□{稠}□{這兒}[3]腦扭紐[5]惱[6]□{頭部轉動}							
l	[1]簍□{攪拌，使均匀}[2]流留琉硫榴劉樓[3]老摟[5]柳[6]陋漏							
ts	[1]州舟周洲[3]早蚤走酒[5]灶咒晝奏帝皺{～纹}[6]造就紂驟宙袖							
tsʰ	[1]抽揪秋[2]囚酬稠綢籌售[3]草丑醜[5]躁凑臭							
s	[1]收臊騒飕修羞餿[2]仇愁[3]叟嫂手守首[5]瘦獸漱秀繡鏽銹掃嗽[6]受授壽							
k	[1]羔高膏糕鳩勾溝咎[3]稿鉤狗苟[5]告垢够媾構{機～}							
kʰ	[1]摳薅[2]□{屈膝蹲著}[5]叩扣寇蔻靠購構{結～}							
ŋ	[2]牛[3]偶嘔							
h	[2]毫豪侯喉猴[3]好口[6]浩耗號薅后厚後候							
j	[1]幽悠憂優[2]尤由油郵游猶柔揉[5]幼有酉莠柚友誘[6]又右宥祐釉							
∅	[1]區歐毆[3]呕[5]奥懊慪漚熰							
#iu								
p	[1]表標飈鰾彪[3]表							
pʰ	[1]標飄漂{～亮}[2]嫖瓢[5]票漂{～白}							
m	[2]苗描[3]秒渺藐貓[6]妙廟							
t	[1]刁貂雕丢[3]鳥[5]吊掉釣[6]調{声～}							
tʰ	[1]挑[2]條調{～动}跳[5]糶							
n	[3]鳥[6]尿							
l	[1]溜[2]燎聊寥撩遼瞭[3]了[6]廖料							
ts	[1]朝椒焦召招昭樵{疑}沼{疑}[3]剿[5]詔照[6]趙肇{～庆}							
tsʰ	[1]超悄鍬[2]朝{～代}潮瞧[5]俏{文}							
s	[1]宵消硝銷霄蕭簫鞘燒[2]韶[3]小少{多～}[5]笑少{～年}[6]嘯邵紹兆肇{～事}							
k	[1]嬌驕澆[3]餃矯繳糾[5]叫[6]轎							
kʰ	[2]喬橋[3]巧[5]竅							
ŋ	[2]摇窯謡饒							
h	[1]囂休[3]曉							
j	[3]繞							
∅	[1]夭妖腰邀要么[2]姚堯[3]舀杳[5]要[6]耀							
#ia								
p	[3]□{差劲}[5]□{拼命追趕}							
pʰ	[3]跛							
m	[2]□{什么}[6]□{手提或背著}							
t	[1]爹							
n	[1]□{你的}[3]□{乳房、乳汁}							
ts	[3]姐者[5]借[6]謝							
tsʰ	[3]且[5]崎							
s	[2]邪斜[3]寫捨[5]卸瀉							
k	[1]□{第三人称所有格}							
kʰ	[1]奇{～数}[2]□{擧}							
h	[1]靴							
j	[5]惹							
#io								
t	[1]□{刁蠻}[3]朵							
l	[2]螺騾[5]□{吐出來}							
kʰ	[2]茄							
h	[1]靴							
#iau								
tsʰ	[5]俏{白}							
#iɐu								
k	[3]九久韭[5]究灸救[6]舊							
kʰ	[2]求球[5]舅							
#ui								
p	[1]杯[3]□{掀開}[5]背輩貝簸[6]倍							
pʰ	[1]胚坯[2]陪培賠[3]□{用力扔}[5]佩配							
m	[2]枚玫梅媒霉[3]妹[5]每							
f	[1]灰恢盔詼開[3]匪毁[5]悔晦賄卉							
t	[1]堆[3]□{往下拉绳子之类的}[5]對兑豕[6]代待怠殆袋隊貸							
tʰ	[1]胎推[2]台抬苔臺頹[3]腿[5]退褪							
n	[5]餒[6]内							
l	[1]□{贝类的一种；戏称钱币}[2]來雷[3]蕊壘儡縷屢櫐[6]累涙類							
ts	[1]災栽追錐[3]載宰嘴[5]醉載再最[6]墜罪贅綴在{文}							
tsʰ	[1]吹炊崔催[2]才材財錘裁槌豺[3]彩睬采揣髓[5]悴翠菜脆粹[6]在{白}							
s	[1]衰雖[2]綏垂誰[3]水隨[5]碎税説歲率帥遂隧[6]瑞睡穗							
k	[1]該[3]改[5]丐蓋							
kʰ	[3]愷楷							
ŋ	[6]礙外							
h	[1]麾[3]海[5]會{待人熱情有禮}[6]害亥							
j	[6]鋭□{植物的粘液}							
∅	[2]回[3]藹靄[5]愛[6]匯會							
#ua								
n	[5]□{趴或賴在地上}							
k	[1]瓜聒[3]寡剮[5]卦掛							
kʰ	[1]誇[5]垮跨							
∅	[1]哇							
#uai								
k	[1]乖[3]拐[5]怪							
kʰ	[5]塊劊							
#uɐi								
k	[1]圭閨歸龜[3]鬼詭傀{疑}[5]貴鱖瑰季桂[6]跪櫃							
kʰ	[1]規窺虧[2]魁奎携癸揆葵夔逵[3]軌[5]愧							
ŋ	[3]□{我们，我们的}							
#am								
t	[1]耽擔[3]膽[5]擔[6]淡							
tʰ	[1]貪[2]潭譚談痰[5]探淡							
n	[1]喃[2]男南[5]腩[6]艦							
l	[1]□{一種筐}[2]婪藍籃[3]覽攬欖纜[6]濫							
ts	[1]簪[3]斬[6]站							
tsʰ	[1]参攙[2]慚讒饞蠶鑱{扎眼}[3]惨[5]懺							
s	[1]三杉[3]□{肉碎}							
k	[1]尷甘柑監[3]減感敢橄[5]鑒							
kʰ	[1]堪龕勘[3]砍坎[5]瞰							
h	[2]咸鹹邯銜							
ŋ	[1]啱[2]岩[5]□{靠著遇角；嵌著}							
∅	[1]庵諳[5]暗							
#ɐm								
l	[2]林淋臨[3]凛廩[5]冧{倒塌，垮了}							
ts	[1]針斟[3]枕[5]朕浸							
tsʰ	[1]侵[2]沉尋□{ŋɐm42～：唠叨}[3]寢							
s	[1]心參森深琛[2]岑□{乜斜著眼看人}[3]沈審嬸[5]滲[6]葚甚							
k	[1]咁{這麽，陳述語氣}[5]咁{這麽，表強調，加重語氣}							
kʰ	[2]螭□{～～kiɔ33:形容不停的顫抖}							
ŋ	[2]□{～tsʰɐm42：唠叨}							
h	[1]蚶[2]含函{3}□{上下夾住}[5]□{密閉，使不透氣}[6]憾撼陷喊{叫喊，稱呼}							
j	[1]吟音陰蔭鑫[2]淫任壬[3]飲[6]任妊賃							
∅	[1]揞{3}□{悄悄地埋伏並抓到偷情者、賊等}							
#im								
n	[1]捻稔{～山，地名}[2]黏[5]染[6]驗							
l	[2]廉簾镰奩[3]斂臉僉[6]殮							
ts	[1]尖粘沾瞻贍[3]蘸[5]漸占佔[6]暫							
tsʰ	[1]簽籤[2]潛							
s	[1]□{稍微剪一下；喻旁敲側撃地諷刺人家}[2]蟬禪單[3]陝閃[6]禪							
k	[1]兼[3]儉檢[5]劍鹻							
kʰ	[1]衾襟[2]鉗[5]欠嵌							
ŋ	[1]啱{～～：剛剛好}[2]嚴儼釅閻							
h	[2]嫌[3]險							
∅	[1]閹[2]鹽檐[3]掩淹[5]厭[6]焰艷炎							
#iɐm								
k	[1]今金[3]錦[5]禁							
kʰ	[1]襟欽[2]琴禽擒[5]妗							
#an								
p	[1]扳扳班頒[3]板版[5]扮絆[6]辦瓣							
pʰ	[1]攀襻[5]盼□{用細長的東西打}							
m	[1]□{抓住}[2]蠻[3]挽[5]晚[6]萬幔饅漫慢							
f	[1]番翻藩[2]帆凡梵煩繁[3]反[5]販[6]犯泛范範飯							
v	[1]彎灣[2]頑還環[5]玩[6]幻宦患							
t	[1]丹單[6]旦但蛋誕彈憚							
tʰ	[1]攤灘[2]彈壇檀[3]坦[5]炭嘆							
n	[2]難[6]難							
l	[2]攔蘭欄[5]懶[6]爛							
ts	[3]盞[5]饌[6]贊綻棧賺							
tsʰ	[1]餐[2]殘潺泉[3]鏟[5]燦							
s	[1]珊删山閂[3]散産[5]傘散疝訕							
k	[1]間艱肩姦[3]柬揀簡繭諫[5]間							
kʰ	[3]侃							
ŋ	[2]顏[3]眼[6]岸晏雁諺							
h	[2]閑[6]限							
∅	[1]晏{～昼：下午}[5]晏{形容词，晚}							
#ɐn								
p	[1]彬賓[3]禀品[5]殯檳辮[6]笨							
pʰ	[1]噴奔[2]貧頻[5]拚噴牝笨{厚}							
m	[2]文紋蚊聞民眠[3]泯敏憫刎吻閩[6]問							
f	[1]芬紛分昏婚葷勛熏薰[2]焚墳[3]粉混[5]奮訓糞[6]分份忿憤							
v	[1]温瘟[2]魂云雲匀暈渾餛[3]穩允隕[6]運韻							
t	[1]敦墩[3]盾[6]頓							
tʰ	[1]吞							
l	[1]□{相当于量词“趟”}[2]崙鄰磷鱗倫淪輪論[3]卵{陰莖}[5]吝[6]論閏							
ts	[1]珍真榛臻津[3]疹診准準[5]進振震[6]陣鎮{～定}盡晉							
tsʰ	[1]春親[2]陳秦塵[5]襯趁							
s	[1]申伸身辛新薪[2]臣辰晨唇娠神旬荀[3]筍[5]信訊迅腎慎[6]順殉							
k	[1]根跟斤筋巾[3]謹僅緊[6]近{～视}							
kʰ	[2]芹勤[3]墾懇[5]近{远～}							
ŋ	[2]銀齦[3]□{形容不好看}[5]忍[6]□{韧}							
h	[2]痕[3]很[6]恨							
j	[1]殷欣因姻[2]寅人仁[3]引隱尹[5]印[6]刃認潤							
∅	[1]恩							
#uan								
k	[1]鳏關[5]慣[6]摜							
#uɐn								
k	[1]君軍均鈞□{形容口腔发涩的感觉}[3]滚兖[5]棍郡							
kʰ	[1]坤昆崑[2]裙群[3]捆菌[5]困							
#in								
p	[1]邊鞭遍編{髮辮}[3]蝙扁匾貶[5]變[6]辨辯便							
pʰ	[1]編偏篇[2]便{3}□{從表層薄薄地削過}[5]騙片							
m	[2]綿[3]免勉娩緬[6]面攆							
t	[1]顛癲[3]典[5]□{～位：碍地方}鎮{～长}[6]佃奠殿電							
tʰ	[1]天[2]田填							
n	[2]年[3]撚							
l	[2]連聯蓮憐[6]戀煉練							
ts	[1]煎[3]剪展碾{训}[5]箭薦戰[6]轉{～来～去}箋賤踐濺							
tsʰ	[1]遷千[2]纏錢前[3]淺							
s	[1]先仙鮮宣[2]涎[3]癬鮮選[5]扇綫[6]扇羡擅膳善							
k	[1]捐絹涓堅[3]卷券眷[5]見建[6]倦件健腱鍵							
kʰ	[1]圈[2]乾虔拳權							
ŋ	[2]言原源[6]願研							
h	[1]牽掀軒喧楦[2]弦賢玄懸[3]顯遣犬[5]獻[6]現憲勸							
∅	[1]煙淵焉冤[2]丸完紈鉛沿員圓緣延然燃元袁援園[3]阮遠宛院皖[5]演怨堰硯燕[6]宴縣							
#un								
p	[1]搬[3]本[5]半							
pʰ	[1]潘般[2]盤盆[5]判叛伴							
m	[1]□{烹饪的一种}[2]瞞門[5]滿悶							
f	[1]歡寬							
t	[1]端蹲[3]短[6]段緞鍛傳沌遁鈍斷{文}							
tʰ	[1]飩[2]團臀囤屯豚[5]斷{白}							
n	[5]暖[6]嫩							
l	[2]鸞[5]卵[6]亂							
ts	[1]尊專磚遵鑽[3]轉{倒～}[5]鑽撰纂篆俊竣浚[6]傳							
tsʰ	[1]村川穿椿[2]存傳全痊[3]喘蠢[5]寸串篡竄							
s	[1]酸孫拴[2]巡循詢船純赫醇旋[3]損[5]蒜算舜瞬遜涮							
k	[1]干肝竿冠觀官[3]桿稈趕管館擀[5]觀干冠貫灌罐							
kʰ	[1]刊[3]款[5]看							
h	[2]寒韓鼾[3]罕緩[5]漢翰[6]汗旱喚煥焊							
∅	[1]安鞍[3]碗腕豌[5]按案[6]換							
#iun								
∅	[5]軟							
#aŋ								
pʰ	[1]□{勻出一些分給別人}[2]彭膨棚[5]棒胖							
m	[1]□{绷住的感觉}[2]盲[5]莽□{～～siaŋ24：赶紧}[6]孟							
v	[1]轟[2]横							
n	[3]嚷[6]□{老是……}							
l	[5]冷[6]唥{來自法語laine，毛綫}							
ts	[1]爭[5]正[6]鄭掙							
tsʰ	[1]撑[2]□{擢眼，炫目}							
s	[1]生牲笙甥聲[2]成{白}城[3]省□{用刷子擦洗：喻訓斥人}							
k	[1]更庚羹耕[5]杠							
kʰ	[3]哽							
ŋ	[6]硬							
h	[1]坑[2]行{～走}							
j	[2]赢迎[3]影{白}[6]□{老是……}							
∅	[5]更{再……也}							
#ɐŋ								
p	[1]崩兵冰浜[3]秉[5]迸並併[6]凴{倚靠}							
pʰ	[1]烹[2]朋評姘瓶屏憑[5]聘拼							
m	[1]掹[2]盟明鳴萌[3]皿[5]猛							
v	[5]永咏							
t	[1]登燈丁汀[3]等鼎[5]凳[6]鄧定訂錠瞪							
tʰ	[2]藤騰疼謄廷亭庭蜓停[3]挺							
n	[2]能寧[3]□{頂部，上面}□{掂起腳尖}[6]佞							
l	[2]伶鈴零靈凌陵菱[6]楞另令							
ts	[1]僧增憎贈曾睁筝晶睛精蒸徵貞征[3]拯整[5]證正症政[6]淨靜							
tsʰ	[1]清稱[2]情澄橙懲層曾呈程[3]逞[5]稱秤							
s	[1]升旌[2]成誠丞乘繩承[5]聖性勝[6]剩盛							
k	[3]亘更{表程度加深}[5]更{～上一層樓}							
h	[1]興亨兄[2]恒衡行□{緊}[3]肯[5]興[6]杏幸							
j	[1]英應櫻鶯鸚嬰纓鷹扔仍[2]盈瑩營榮蠅刑形型螢[3]映[5]應穎[6]孕							
∅	[5]應{答話}							
#ɔŋ								
p	[1]邦幫[3]榜綁[6]謗							
pʰ	[2]傍旁滂龐							
m	[2]忙芒茫亡[3]網[5]莽[6]妄忘望							
f	[1]荒慌方芳謊[2]防妨彷房[3]恍肪仿紡訪[5]放							
v	[1]汪[2]皇黃蝗王[3]枉[5]往[6]旺							
t	[1]當[3]擋黨[5]當宕蕩							
tʰ	[1]湯[2]唐堂塘糖螳[3]倘躺[5]趟燙							
l	[2]郎狼廊螂囊曩[3]朗[5]□{拉肚子}[6]浪							
ts	[1]贓臧髒莊裝張章樟[3]掌長[5]藏葬仗杖壯[6]丈狀漲帳脹障賬臓							
tsʰ	[1]倉蒼昌倡瘡[2]藏長腸場床[3]廠[5]唱暢創							
s	[1]商傷桑霜孀喪{～事}[2]嘗裳償常[3]賞爽嗓喪{～失}[5]上{動詞}[6]尚上{方位詞}							
k	[1]岡缸剛綱鋼光肛江崗[3]廣港構講[5]降							
kʰ	[1]康慷[2]逛狂扛[5]况擴礦抗曠炕							
ŋ	[2]昂[5]仰{頭～～}							
h	[1]糠[2]行降杭航[6]巷項							
j	[1]央殃秧[2]羊洋陽揚楊娘{伯～：伯母}[3]仰泳{疑}[5]養嚷壤癢[6]恙樣譲釀							
∅	[1]骯[5]戇							
#uŋ								
p	[3]捧							
pʰ	[2]蓬篷馮[5]胖蚌							
m	[2]蒙朦噱濛矇[3]懵檬[6]夢							
f	[1]風瘋豐封峰蜂鋒[2]逢縫洪紅虹鴻宏[3]諷[6]奉俸鳳							
t	[1]冬東[3]董懂[5]凍棟[6]洞動							
tʰ	[1]通[2]同桐筒童銅瞳[3]捅桶銃統[5]痛							
n	[1]燶{烧焦}[2]農膿濃[5]□{拱}[6]弄							
l	[2]隆籠聾龍[3]壟攏[5]隴{梅～，地名}							
ts	[1]中忠終宗樁盅鐘踪棕鬃撞[3]腫種總冢[5]種縱中仲眾粽[6]重□{用開水沖茶或麵粉等}							
tsʰ	[1]衝舂窗[2]鬆從叢[5]重寵							
s	[1]松雙[3]慫[5]送宋[6]訟頌誦							
k	[1]供{～應}恭[3]拱汞[5]供{～品}[6]共閧							
kʰ	[1]空[2]窮穹[3]恐孔鞏[5]控虹							
h	[1]凶兇胸							
j	[1]庸雍擁[2]茸冗容熔榕[3]甬勇湧[6]用							
∅	[1]翁[3]□{推操}							
#iaŋ								
p	[3]餅丙[5]柄摒偋[6]病							
pʰ	[1]□{扔}[2]平{白}							
m	[2]冥銘名[6]命							
t	[1]釘[3]頂{量词}							
tʰ	[1]聽廳							
l	[2]晾零{白}[5]領嶺							
ts	[3]井[5]正{剛剛}[6]淨{白}							
tsʰ	[1]青蜻[2]晴[3]請[5]□{約定}							
s	[1]星腥[3]醒省[5]姓							
k	[1]驚[3]頸[5]鏡[6]儆{儉省，愛惜}							
h	[1]輕							
#iɔŋ								
l	[2]良凉梁粱糧量[3]兩[6]亮量諒輛							
ts	[1]漿將[3]蔣槳獎[5]將醬[6]象像匠							
tsʰ	[1]槍[2]祥詳牆[3]搶[5]悵							
s	[1]相厢箱襄鑲[3]想[5]相							
k	[1]姜僵薑疆羌							
kʰ	[1]腔[2]强							
h	[1]香鄉[3]享餉響[5]向							
#iɐŋ								
k	[1]京兢荆經[3]景警竟境[5]敬徑[6]競勁							
kʰ	[1]卿傾[2]鯨瓊擎凝{白}[3]耿頃迥[5]慶磬馨							
#uaŋ								
kʰ	[1]匡筐[3]莖{疑}							
#ap								
t	[8]踏[9]搭答							
tʰ	[9]塌塔榻							
n	[8]諾[9]納衲							
l	[8]臘蠟鑼[9]□{～耙：大扫把}							
ts	[8]閘雜習襲[9]眨劄							
tsʰ	[9]插							
s	[7]耍							
k	[7]夾甲袷[9]鴿蛤佮挟{～餸:挟菜}							
h	[8]合盒匝狎[9]喝							
∅	[9]鴨壓押							
#ɐp								
t	[8]□{拳頭又快又重地打；東西掉下來砸到}							
tʰ	[7]□{凹進去}							
l	[7]粒[8]立							
ts	[7]汁執[8]集							
tsʰ	[7]緝輯							
s	[7]濕澀[8]十拾什							
k	[7]蛤鴿							
kʰ	[7]□{用量器從缸或罈子裏舀}[8]磕							
ŋ	[7]□{随口乱说}							
h	[7]□{密閉，使不透氣；中暑}							
j	[8]邑揖入							
∅	[7]□{敷草药或膏藥}							
#ip								
t	[7]貼{贴纸}[8]牒蝶諜疊							
tʰ	[7]貼{～底}帖							
n	[7]捏聶鑷攝{疑}							
l	[8]獵□{赶走}							
ts	[7]折{～纸}接[8]捷摺							
tsʰ	[8]妾							
s	[8]泄涉							
k	[7]劫[8]夾狹峽							
ŋ	[8]業							
h	[8]協挾俠脅							
j	[7]醃{腌制}[8]葉							
#iɐp								
k	[7]急[8]及							
kʰ	[7]吸汲給級							
#at								
p	[9]八							
m	[8]襪							
f	[8]乏伐筏罰[9]法發髮							
v	[9]挖							
t	[8]達							
n	[7]焫{用火迅速地燙一下}							
l	[8]辣							
ts	[9]紮扎札							
tsʰ	[9]擦察漆							
s	[9]薩撒殺							
k	[8]□{很費勁地做}							
kʰ	[8]□{抓癢}							
ŋ	[8]□{啃}							
h	[8]□{物質貧乏，缺少營養、錢財等}							
#ɐt								
p	[7]不筆畢[8]弼							
pʰ	[7]匹							
m	[7]□{糜爛}[8]勿物密蜜							
f	[7]忽[8]核佛拂弗							
t	[8]突							
n	[8]昵							
l	[7]甩{訓}[8]律率栗							
ts	[7]質[8]疾侄秩窒詰							
tsʰ	[7]出七							
s	[7]失室悉瑟膝虱[8]术述實							
k	[7]橘吉							
kʰ	[7]咳							
ŋ	[7]日							
h	[7]乞							
j	[7]一乙[8]逸							
#it								
p	[7]憋鱉必[8]别							
pʰ	[7]撇							
m	[8]滅蔑							
t	[7]跌							
tʰ	[7]鐵							
n	[7]孽							
l	[8]列烈裂							
ts	[7]節哲浙[8]截絕							
tsʰ	[7]切轍徹撤設							
s	[7]薛雪[8]舌食蝕							
k	[7]結潔决訣揭[8]杰竭							
kʰ	[7]缺孑孓厥闕蝎							
ŋ	[7]吃[8]熱月							
h	[7]穴血歇							
∅	[7]曰[8]悦閲越粵							
#ut								
p	[7]缽[8]脖勃撥							
pʰ	[7]潑							
m	[7]抹[8]没末沫							
f	[7]渴闊							
t	[7]□{大声喝}[8]奪							
tʰ	[7]脱							
l	[7]□{杀家禽家畜等}[8]捋							
ts	[7]卒猝卒蟀□{用力吸}							
tsʰ	[7]絀							
s	[7]率戌恤说{小～}							
k	[7]割							
h	[7]豁							
∅	[8]活							
#uat								
k	[9]刮							
kʰ	[9]括							
#uɐt								
k	[7]骨[8]掘倔撅							
kʰ	[7]屈							
#ak								
p	[8]拔白[9]百伯柏							
pʰ	[7]珀[9]拍魄泊{梁山～}							
m	[8]麥[9]脈							
v	[8]或惑劃滑猾							
ts	[7]窄[8]栅鍘[9]摘宅							
tsʰ	[9]册策尺赤拆							
s	[8]石[9]析{量詞，片，邊}							
k	[9]格革隔							
