冷水滩	
m	[2]眸谋牟[3]牡[5]贸茂
l	[2]娄楼头投[3]□{~□/sueɪ55/：①环境差；②人邋遢}搂篓[5]漏陋镂逗豆逗窦
b	[2]浮{白读。~水：游泳}
t	[1]兜株{白读，俗字作“篼”。①植物根茎；②量词}招{白读。招惹，戏弄，被传染疾病}[3]抖斗{一斗米}陡蚪[5]斗{斗争}
d	[2]头投[5]逗豆逗窦
tʰ	[1]偷[3]敨{~凉：乘凉}[5]透
z	[2]愁
s	[1]搜馊飕[3]艘[5]瘦嗽
ts	[1]邹□{蹲}[3]走[5]奏皱咒
tsʰ	[1]搊{①抱小孩大小便；②从底下托住}[5]凑
k	[1]钩沟勾[3]狗苟枸[5]够购构垢□{起~：结冰}
kʰ	[1]抠{文读}[3]口[5]扣寇叩
x	[1]抠{白读}齁{扯~：出气不赢}[3]吼否
ɣ	[2]侯吼猴[5]候后厚
ŋ	[3]藕偶呕[5]怄沤
Ø	[1]欧殴鸥
#iəɯ	
m	[5]谬
t	[1]丢
l	[1]溜[2]流刘留榴硫瘤琉馏浏[3]柳
ȵ	[2]牛[3]扭纽钮
tɕ	[1]州周舟洲究鸠纠疚柩阄[3]九久酒韭肘灸[5]昼咒救
tɕʰ	[1]秋蚯邱丘抽鳅[3]丑[5]臭
ɕ	[1]修收休羞[3]手首守朽[5]秀绣嗅兽锈宿
ʑ	[2]囚求球泅绸筹仇揉柔酬稠[5]受寿授售袖就舅旧宙臼
Ø	[1]优忧悠幽柔攸[2]尤邮由油游鱿犹球[3]有友酉[5]又右诱幼柚釉佑就受寿袖
#u	
ɣ	[2]壶服佛浮{文读}胡狐葫蝴弧湖符扶芙伏[5]互户沪父妇护负
x	[1]福复忽敷呼乎蝠肤[2]无物[3]虎唬腐浒□{碰，打扰}抚腑[5]附赋付副富务误戊
k	[1]骨孤谷姑箍[3]古估鼓
kʰ	[1]哭窟枯[3]苦[5]裤库
m	[2]木悟吴睦目[3]母拇亩姆{保~}
p	[1]不卜{萝~}[3]补[5]布怖
b	[2]菩葡蒲脯[5]步部缚簿
pʰ	[1]扑瀑铺{~床}朴仆[3]谱普埔辅卜{占~}浦哺圃甫[5]铺{店~}
f	[1]福[2]无[3]府[5]副富
v	[2]浮{文读}壶佛服[5]户父妇
n	[2]奴[3]努[5]怒
l	[2]绿卢录陆鹿驴炉六禄芦麓毒独读图途涂徒屠渎犊[3]卤鲁□{锈，生锈}虏[5]路露鹭度杜渡镀
z	[2]俗续肉辱族熟属锄蜀淑赎孰逐塾轴[5]助
s	[1]苏束酥速缩宿梳疏蔬叔粟肃[3]数{动词}[5]数{名词}诉素塑漱
ts	[1]粥祝租卒筑烛嘱竹足[3]祖组阻
tsʰ	[1]粗初触促猝促畜[3]楚础[5]醋
t	[1]都督笃嘟[3]赌肚堵睹[5]妒
d	[2]毒独读图途涂徒屠渎犊[5]度杜渡镀
tʰ	[1]突秃[3]土[5]兔吐
Ø	[1]乌污巫屋握诬勿[2]物服葡蜈梧[3]武五伍午鹉舞[5]雾恶{厌~}父妇
#æ	
p	[1]跛{白读}[3]摆[5]拜
pʰ	[3]□{扛：一边重一边轻}□{一~：双手伸开的长度}[5]派湃
b	[2]排牌徘[5]稗败
m	[2]埋[3]买[5]卖迈
t	[1]呆{书~子}[3]逮[5]带戴
tʰ	[1]胎[5]泰太态汰
d	[2]台抬苔[5]大{~夫}贷待袋代
l	[2]来莱台抬苔[5]赖奈{~李}㸊癞大{~夫}贷待袋代
n	[3]奶乃[5]耐
s	[1]腮鳃筛酾{~酒、~水}□{~木头：锯木头}[5]赛晒
ts	[1]哉斋灾栽[3]宰崽载{年}[5]再载{装}债
tsʰ	[1]钗猜差{出~}[3]彩踩睬采[5]菜蔡
z	[2]柴才财材裁豺[5]在寨浞{淋雨}
k	[1]街皆阶该赅[3]改解[5]盖钙介{白读}界芥戒{白读}届
kʰ	[1]开揩[3]楷凯慨溉铠概
ŋ	[1]挨[2]呆{~板}癌[3]矮[5]艾爱暧碍蔼
x	[3]海蟹[5]□{擦}
ɣ	[2]还鞋孩骸[5]害亥骇
Ø	[1]哀埃[5]二贰
#uæ	
x	[3]□{扔，摔}
ɣ	[2]淮槐怀徊踝[5]坏外
k	[1]乖[3]拐□{麻~：蛙类}[5]怪
kʰ	[3]块[5]筷快会{~计}
ts	[1]□{~下去：向前扑}[3]拽
tsʰ	[3]喘
s	[1]摔衰[3]甩[5]帅率{~领}蟀
z	[2]□{用拳头打人}
Ø	[1]歪□{从袋里掏东西，从土里挖东西}[2]牌排[5]外坏
#eɪ	
p	[1]背{~书包}碑卑悲杯[3]□{埋}[5]背{~后}贝辈
pʰ	[1]胚坯[5]沛佩配
f	[1]非飞妃[3]匪翡[5]费肺废沸
b	[2]陪裴培赔[5]倍背{~书}被{文读}备{文读}焙鐾蓓
m	[1]糜[2]梅玫煤眉{文读}枚霉媒[3]美每[5]妹媚昧魅未{~有}
#ueɪ	
l	[1]□{形容词前缀。~壮：很壮的样子}[2]雷擂颓[3]屡累{积~}垒[5]累{劳~}泪类内馁锐队
t	[1]堆[3]□{~买~卖：现买现卖}[5]对兑
d	[2]颓[5]队
tʰ	[1]推[3]腿[5]退蜕
ts	[1]追椎锥[3]嘴[5]最醉坠赘缀
tsʰ	[1]催崔吹炊摧[5]脆翠萃粹淬悴
z	[2]随遂谁锤垂捶槌[5]罪睡瑞睿
s	[1]虽[3]髓水[5]碎岁穗隧税
x	[1]恢灰徽挥辉非飞妃[3]毁悔匪翡[5]晦讳慧费肺废沸
ɣ	[2]回围茴蛔肥[5]会汇柜{白读}胃绘贿惠魏位卫
kʰ	[1]盔亏魁窥[3]跪傀[5]愧馈匮溃
g	[2]葵逵馗[5]柜{文读}
k	[1]规龟归硅闺[3]鬼诡轨癸[5]鳜桂贵
Ø	[1]煨微威薇[2]桅为{~人}唯维惟危违韦[3]伪萎委尾{文读}伟纬猥陪裴培赔痿苇[5]为{~了}秽未味喂未{文读}畏尉慰倍背{~书}被
#ɔ	
p	[1]包胞煲苞褒[3]保宝堡饱[5]爆报豹鲍龅□{突出}
b	[2]跑刨{动词}袍雹□{炸}[5]抱暴菢曝刨{名词}
pʰ	[1]抛脬[5]泡炮
m	[1]猫[2]毛矛锚[3]铆卯[5]帽冒貌
t	[1]刀叨[3]岛倒捣祷[5]到倒
tʰ	[1]涛掏滔韬焘[3]讨[5]套
d	[2]陶桃逃淘萄[5]道稻盗导
l	[1]捞涝□{形容词前缀：~轻}[2]劳牢痨陶桃逃淘萄[3]脑老姥佬[5]闹□{串}□{乱}
n	[2]挠[3]恼瑙
ts	[1]㷮遭糟[3]早枣澡藻爪找蚤[5]灶噪罩笊肇燥
tsʰ	[1]超钞操抄[3]草吵炒[5]糙造
s	[1]骚臊搔□{~边：结果，最后}[3]扫{~地}嫂[5]扫{~把}潲
z	[2]曹槽嘈巢[5]皂
k	[1]高膏篙羔糕跤[3]稿搞[5]告觉{睡~}窖
kʰ	[1]敲[3]考拷拷[5]犒靠
ŋ	[2]熬鳌敖[3]咬[5]傲奥懊坳凹澳
x	[1]薅蒿[3]好{良~}[5]好{喜~}耗孝{白读}
ɣ	[2]豪号{~叫}毫嚎蚝壕□{}[5]号{编~}浩
#uɔ	
Ø	[2]跑刨{动词}袍雹[5]抱暴菢刨{名词}
#iɔ	
d	[2]条调[5]调
t	[1]雕刁叼貂凋碉[3]鸟{男性生殖器}[5]钓掉吊
tʰ	[1]挑[3]□{换}[5]跳
l	[2]撩聊疗燎潦缭辽嘹僚条调[3]了[5]廖撂料调
ȵ	[3]鸟[5]尿
tɕ	[1]蛟交教{~书}焦娇胶浇椒蕉郊骄礁朝{今~}召昭招[3]狡绞铰搅剿矫缴侥饺较[5]照叫较教{~室}校{~对}
tɕʰ	[1]悄敲{文读}[3]巧[5]窍俏翘
ʑ	[2]朝{~向}潮嘲樵韶饶桥乔瞧荞憔[5]效校{学~}赵兆召{号~}藠轿
ɕ	[1]捎梢销消硝逍烧嚣萧潇箫宵霄[3]小少晓[5]笑邵少孝酵绍
p	[1]标镖膘飚彪[3]表裱
pʰ	[1]飘漂[3]瞟[5]漂票
b	[2]瓢嫖□{发~：皮肤上有红点且发痒}
m	[2]苗瞄描[3]藐秒渺[5]庙妙
Ø	[1]妖要邀腰吆[2]瑶肴摇姚窑遥尧谣桥饶[3]绕扰舀[5]要跃耀
#ã	
p	[1]班斑颁扳般搬帮邦[3]板版榜谤绑镑磅[5]半绊泵
pʰ	[1]攀潘藩樊乓[3]□{一~人：一群人}[5]盼判叛胖
b	[2]凡帆盘矾烦繁滂旁螃膀傍妨房防庞[5]范犯扮瓣办伴拌饭万忘棒蚌磅望{白读}
m	[2]蛮瞒馒忙芒茫亡盲虻氓[3]满莽蟒晚{晚晚：叔叔}[5]慢漫幔蔓曼
t	[1]耽担丹单当铛裆[3]胆疸诞党挡档[5]担旦但当
tʰ	[1]贪坍滩摊瘫汤[3]毯坦倘躺趟袒淌盪[5]探炭叹烫碳
d	[2]潭谭坛谈痰檀弹堂棠螳唐糖塘膛搪[5]淡弹蛋荡宕窞凼
l	[2]蓝篮兰拦栏郎廊狼螂榔潭谭坛谈痰檀弹堂棠螳唐糖塘膛搪[3]览揽榄缆懒朗埌[5]滥烂浪淡弹蛋荡宕窞凼
n	[2]男南囊楠喃腩[5]难
ts	[1]簪粘瞻毡赃脏詹[3]斩盏攒崭[5]站{罚~}赞绽葬灒
tsʰ	[1]参搀餐仓苍舱沧[3]铲产惨[5]忏灿
s	[1]三衫珊山删桑丧姗[3]散伞嗓[5]丧散汕
z	[2]蚕惭谗馋蟾残蝉禅藏婵[5]暂站{车~}栈脏湛
k	[1]甘柑尴监干肝间{中~}奸{强~}冈刚纲钢缸扛肛疳[3]感敢橄减{白读}竿杆秆擀赶岗讲港[5]鉴干间{~隔}杠赣戆虹{白读}
kʰ	[1]堪{①能。②地面凸起。}勘看刊康糠慷龛[3]砍侃[5]看抗炕
x	[1]鼾夯憨[3]喊罕[5]汉
f	[1]翻方坊藩肪[3]反返仿纺访[5]放
ɣ	[2]含衔{白读}函咸{白读}寒韩行航杭涵闲{白读}[5]撼憾旱汗焊翰苋项{白读}巷{白读}悍瀚捍限馅
ŋ	[1]庵鹌安鞍[2]岩颜昂[3]眼[5]揞暗岸按案晏□{～坛子菜：腌菜}
#iẽ	
p	[1]鞭编边辫鳊[3]贬蝙扁匾[5]变
pʰ	[1]篇偏翩[5]骗遍片
b	[2]便{～宜}[5]辨辩汴便{方～}
m	[2]绵棉眠[3]免勉娩缅冕腼[5]面
t	[1]掂颠癫巅[3]点典腆碘[5]店踮惦玷
tʰ	[1]添天[3]舔
d	[2]甜田填[5]电殿奠垫淀靛簟
l	[2]廉镰帘鲶连联鲢怜莲甜田填[3]敛脸楝[5]殓练炼恋链电殿奠垫淀簟
tɕ	[1]尖占{～卜}兼艰沾间{文读}奸{文读}煎肩坚[3]碱检俭搛简拣柬锏剪展茧翦捡减{文读}[5]舰占{～领}剑间{～隔}谏涧箭溅饯战颤犍建键健腱荐见
tɕʰ	[1]歼签谦迁千乾{～坤}牵悭铅{文读}[3]浅遣谴[5]芡欠歉纤
ȵ	[2]黏年研严□{寻找}[3]碾[5]念酽验
ɕ	[1]仙扇掀先鲜[3]陕闪险显蚬冼染[5]疝线扇宪献煽骟䘆{虫~(变调为21)：蚯蚓}
ʑ	[2]咸{文读}衔潜钳嫌闲{文读}钱涎缠然燃虔前贤[5]陷馅{文读}渐限{文读}践贱羡善鳝单{姓氏}膳禅{～让}件县缮赡
Ø	[1]淹阉焉烟胭[2]炎盐阎檐严{文读}腌延筵言砚研{文读}蜒芫颜{～料}前钱[3]掩演衍染眼{～光}[5]艳焰雁谚堰燕咽宴唁现件鳝县善羡
#uã	
t	[1]端[3]短[5]锻
d	[2]团[5]断{折~}段缎
l	[2]鸾銮峦滦孪团[3]暖卵[5]乱断段缎
ts	[1]钻{动词}庄装妆桩[3]□{装鱼容器}[5]纂钻{名词}撰篆壮
tsʰ	[1]疮创{～伤}窗[3]闯□{撞}[5]创{~造}窜篡
s	[1]酸闩拴栓霜孀双[3]爽□{一大～：一大截}[5]算蒜涮
z	[2]床[5]状撞赚
k	[1]官棺观冠{衣～}关倌光胱[3]管馆广犷莞[5]贯灌罐冠{夺～}惯逛
g	[2]狂
kʰ	[1]匡筐眶框宽[3]款□{用力关门；撞击}[5]旷况矿
x	[1]欢翻幡荒慌翻方坊藩肪[3]缓反谎恍晃幌反返仿纺访[5]泛唤焕贩涣痪放
ɣ	[2]桓完簧皇蝗黄王凰隍蟥肪环磺煌惶寰还{归～}[5]换幻患宦鲩
Ø	[1]汪枉弯湾[2]凡帆盘矾烦黄王繁顽妨玩房防旁丸{文读，药~}[3]网往皖豌剜碗惋腕晚挽宛婉蜿罔[5]范犯妄望旺饭万忘
#yẽ	
tɕ	[1]专砖捐鹃娟涓[3]转{运～}卷{花～,试～}[5]眷绢倦转{～动}
tɕʰ	[1]川穿串圈[3]犬[5]串劝券
ɕ	[1]鲜轩宣喧楦[3]癣选软
ʑ	[2]弦舷全泉传{流～}船拳权颧玄悬痊燖[5]漩旋传{～记}眩炫
Ø	[1]冤鸳渊[2]圆员丸{~子}缘沿铅{~笔}元原源袁辕园援弦舷全泉传{流～}船拳权颧玄悬痊燖猿便{~宜}[3]阮远[5]院愿怨漩旋便{方～}
#ə̃	
p	[1]奔崩[3]本[5]笨拫{拉扯}
pʰ	[1]喷烹[5]□{～香：形容饭菜很香}
f	[1]分芬氛[3]粉[5]愤粪奋
b	[2]盆焚坟文纹闻湓[5]份问璺凭{依靠在某物上}
m	[1]焖闷[2]门蚊[3]蠓[5]闷
t	[1]敦蹲登灯炖[3]墩等[5]顿凳瞪蹬
tʰ	[1]吞[3]磴[5]□{较劲}
d	[2]屯饨沌腾疼誊藤澄{～水}[5]遁盾钝邓
l	[2]论{～语}仑伦轮楞屯饨沌腾疼誊藤澄{～水}[3]冷[5]论{议～}凌{～构子：冰锥}遁盾钝邓
n	[2]能[5]嫩
ts	[1]尊遵曾{姓～}增罾争睁樽挣狰诤铮[5]憎赠甑{饭~}俊
tsʰ	[1]参{～差}村[5]衬忖寸
s	[1]森参{人～}娠孙僧生牲笙甥[3]损笋省{～会}[5]渗
z	[2]岑存曾{～经}层澄{～清}橙
k	[1]跟根更{～换}庚羹耕[3]哽埂梗耿□{鞋子里有沙子}[35]更{～加}
kʰ	[1]坑铿[3]恳垦啃肯
ŋ	[1]恩[3]□{触着凸起的东西觉得不舒服或受到损伤}[5]硬
x	[1]亨哼[3]很擤狠□{~想去：不想去}
ɣ	[2]痕恒衡[5]恨横{蛮～}
#uə̃	
d	[2]豚臀囤
k	[3]滚磙[5]棍
kʰ	[1]昆坤[3]捆[5]困
x	[1]昏婚分{划～}吩芬纷荤氛[3]粉[5]混粪奋愤
ɣ	[2]魂馄浑横
Ø	[1]温瘟[2]盆焚坟文纹闻湓横[3]稳吻刎[5]份本问璺
#ĩ	
ʑ	[2]惩沉壬琴禽擒秦寻陈尘神辰晨臣人仁勤芹乘{～法}承丞仍行{罪～}情晴逞呈任{姓氏}程成城诚盛{～饭}形型刑覃擎[5]甚任尽阵认韧近剩杏幸静靖净郑盛刃
ɕ	[1]心深辛新薪身申伸欣升兴{时～}声星腥猩馨锌莘呻绅惺芯[3]沈审婶忍省{反～}醒□{笨}[5]信衅胜{～利}兴{高～}性姓焮{～一下：热一下、温一下}□{铁锈}
ȵ	[2]宁{安～}狞咛泞柠[3]拧[5]宁{～可}
tɕʰ	[1]侵钦亲{母～}称{自～}卿清轻青蜻氢撑[3]请[5]寝亲{～家}趁称{相～}秤庆磬凊
tɕ	[1]针斟今金禁襟津珍真巾斤筋征蒸茎京荆惊鲸晶精睛贞侦正{～月}经[3]枕锦诊疹紧仅谨拯景警井整颈[5]浸禁进晋镇振震劲证症境敬竟镜竞正政径茎胫
d	[2]亭停廷庭蜓婷[5]锭定
l	[1]拎□{形容词前缀：～光}[2]林淋临邻鳞燐磷陵凌菱灵零铃伶翎龄琳霖麟鲮绫聆羚苓玲亭停廷庭蜓婷[3]岭领[5]令另锭定
tʰ	[1]听厅汀[3]艇挺铤
t	[1]砧丁钉盯叮[3]顶鼎[5]订
m	[2]民鸣明名铭冥螟瞑酩[3]闽悯敏抿皿[5]命
b	[2]贫频凭{文～}平坪评苹瓶屏萍颦濒[5]病
pʰ	[1]拼[3]品乒{～乓球}[5]聘娉
p	[1]宾槟鬓冰兵缤斌滨[3]禀丙秉柄饼[5]殡并
Ø	[1]音阴荫因姻殷应{～当}鹰蝇莺鹦樱英婴缨今{白读。~朝：今天}[2]吟惩程成城诚盛{～饭}形型沉壬琴禽任{姓氏}仁勤芹乘{～法}承丞仍行{罪～}情晴擒秦寻陈尘神辰晨臣淫银寅迎盈赢莹营{文读}人{文读}萤{文读}[3]饮忍{文读}引蚓隐影颖[5]印刃应{回～}映甚任{文读}尽阵认{文读}韧{文读}近剩杏幸静靖净郑盛
#ỹ	
tɕ	[1]均钧君军[3]准[5]俊{文读}骏郡峻竣
tɕʰ	[1]椿春倾顷[3]蠢
ɕ	[1]熏薰[5]讯逊迅驯殉训舜
ʑ	[2]寻{文读}荀旬循巡唇纯醇鹑群裙绳浔询徇[5]顺润闰菌
Ø	[1]晕[2]贫频凭{文～}平坪评苹瓶屏萍匀云唇纯醇鹑群裙绳耘芸[3]允永咏陨尹泳[5]酝韵运孕顺润闰菌病
#iã	
l	[2]良凉量{测～}粮梁粱[3]两俩辆[5]亮谅晾量{数～}靓
tɕ	[1]将{～来}张章樟疆僵姜缰江彰[3]蒋奖长{生～}涨{～水}掌讲{文读}[5]浆桨酱将{大～}帐账胀涨{发～}仗{打～}障瘴降{下～}
tɕʰ	[1]枪昌菖腔鲳娼猖倡[3]抢厂敞强{勉～}[5]畅唱
ȵ	[2]娘[5]酿䑋{肥肉腻人}
ɕ	[1]相{互～}箱厢湘镶商伤香乡[3]想赏晌饷仗{炮~}享响[5]相{长～}向
ʑ	[2]墙详祥翔长肠场常瓤尝偿强降{投～}嫦[5]匠象像橡丈杖上尚让
Ø	[1]央秧殃鸯泱佯漾[2]壤攘嚷墙详祥翔长肠场常瓤尝偿强降{投～}嫦羊洋烊杨阳扬疡萤{白读}[3]仰养痒仗{炮~}[5]恙样匠象像橡丈杖上尚让养{～牛：放牛}
#oŋ	
p	[1]崩绷蹦[5]迸泵蹦
pʰ	[3]捧[5]碰
b	[2]朋鹏彭膨棚蓬篷蠓冯逢缝{～补}硼髼[5]凤奉俸缝{裂~}
m	[2]萌盟蒙濛朦檬[3]猛锰蜢[5]孟懵梦
t	[1]东冬[3]董懂[5]冻栋
tʰ	[1]通彤[3]桶捅统[5]痛
d	[2]同铜桐茼筒童瞳[5]动洞侗垌
