简体	繁體	声	韵	调	备注	其他的话	音標
谜	謎	m	i	阳平			mi˨˧˩
糜	糜	m	i	阳平			mi˨˧˩
弥	彌	m	i	阳平			mi˨˧˩
靡	靡	m	i	阳平			mi˨˧˩
眉	眉	m	i	阳平			mi˨˧˩
楣	楣	m	i	阳平			mi˨˧˩
媚	媚	m	i	阳平			mi˨˧˩
米	米	m	i	阳上			mi˧˩
美	美	m	i	阳上			mi˧˩
蓖	蓖	m	i	阳去	～麻子		mi˨˩˧
味	味	m	i	阳去			mi˨˩˧
寐	寐	m	i	阳去			mi˨˩˧
未	未	m	i	阳去	mɑ231-22 ～：还没		mi˨˩˧
非	非	f	i	阴平			fi˧˧˦
飞	飛	f	i	阴平			fi˧˧˦
妃	妃	f	i	阴平			fi˧˧˦
匪	匪	f	i	阴上			fi˥˧
榧	榧	f	i	阴上			fi˥˧
翡	翡	f	i	阴上			fi˥˧
痱	痱	f	i	阴上			fi˥˧
废	廢	f	i	阴去			fi˥˥˦
肺	肺	f	i	阴去			fi˥˥˦
费	費	f	i	阴去			fi˥˥˦
维	維	v	i	阳平			vi˨˧˩
惟	惟	v	i	阳平			vi˨˧˩
唯	唯	v	i	阳平	mɑ231-22 ～：还没		vi˨˧˩
肥	肥	v	i	阳平			vi˨˧˩
微	微	v	i	阳平			vi˨˧˩
尾	尾	v	i	阳上			vi˧˩
未	未	v	i	阳上			vi˧˩
味	味	v	i	阳去	2		vi˨˩˧
猪	豬	ʔd	i	阴平	1		ʔdi˧˧˦
氐	氐	ʔd	i	阴平			ʔdi˧˧˦
低	低	ʔd	i	阴平			ʔdi˧˧˦
底	底	ʔd	i	阴上			ʔdi˥˧
抵	抵	ʔd	i	阴上			ʔdi˥˧
里	裏	ʔd	i	阴上	～面		ʔdi˥˧
帝	帝	ʔd	i	阴去			ʔdi˥˥˦
置	置	ʔd	i	阴去	盛		ʔdi˥˥˦
体	體	tʰ	i	阴上			tʰi˥˧
替	替	tʰ	i	阴去			tʰi˥˥˦
涕	涕	tʰ	i	阴去			tʰi˥˥˦
剃	剃	tʰ	i	阴去			tʰi˥˥˦
屉	屜	tʰ	i	阴去			tʰi˥˥˦
题	題	d	i	阳平			di˨˧˩
提	提	d	i	阳平			di˨˧˩
蹄	蹄	d	i	阳平			di˨˧˩
啼	啼	d	i	阳平			di˨˧˩
堤	堤	d	i	阳平			di˨˧˩
第	第	d	i	阳去			di˨˩˧
递	遞	d	i	阳去			di˨˩˧
地	地	d	i	阳去			di˨˩˧
□	□	d	i	阳去	没～：不可以		di˨˩˧
黎	黎	l	i	阳平			li˨˧˩
犁	犁	l	i	阳平			li˨˧˩
离	離	l	i	阳平			li˨˧˩
篱	籬	l	i	阳平			li˨˧˩
璃	璃	l	i	阳平			li˨˧˩
梨	梨	l	i	阳平			li˨˧˩
厘	厘	l	i	阳平			li˨˧˩
狸	狸	l	i	阳平			li˨˧˩
礼	禮	l	i	阳上			li˧˩
履	履	l	i	阳上	1		li˧˩
李	李	l	i	阳上			li˧˩
里	裏	l	i	阳上			li˧˩
里	裏	l	i	阳上			li˧˩
鲤	鯉	l	i	阳上			li˧˩
□	□	l	i	阳上	划破		li˧˩
例	例	l	i	阳去			li˨˩˧
厉	厲	l	i	阳去			li˨˩˧
隶	隸	l	i	阳去			li˨˩˧
荔	荔	l	i	阳去			li˨˩˧
利	利	l	i	阳去			li˨˩˧
痢	痢	l	i	阳去			li˨˩˧
吏	吏	l	i	阳去			li˨˩˧
泪	淚	l	i	阳去			li˨˩˧
莉	莉	l	i	阳去			li˨˩˧
鸡	雞	ʨ	i	阴平			ʨi˧˧˦
稽	稽	ʨ	i	阴平			ʨi˧˧˦
饥	饑	ʨ	i	阴平			ʨi˧˧˦
肌	肌	ʨ	i	阴平			ʨi˧˧˦
基	基	ʨ	i	阴平			ʨi˧˧˦
几	幾	ʨ	i	阴平	～乎		ʨi˧˧˦
机	機	ʨ	i	阴平			ʨi˧˧˦
讥	譏	ʨ	i	阴平			ʨi˧˧˦
乩	乩	ʨ	i	阴平			ʨi˧˧˦
几	幾	ʨ	i	阴上	茶～		ʨi˥˧
己	己	ʨ	i	阴上			ʨi˥˧
几	幾	ʨ	i	阴上	2 ～个		ʨi˥˧
计	計	ʨ	i	阴去			ʨi˥˥˦
继	繼	ʨ	i	阴去			ʨi˥˥˦
系	系	ʨ	i	阴去	～鞋带		ʨi˥˥˦
髻	髻	ʨ	i	阴去			ʨi˥˥˦
纪	紀	ʨ	i	阴去			ʨi˥˥˦
记	記	ʨ	i	阴去			ʨi˥˥˦
既	既	ʨ	i	阴去			ʨi˥˥˦
季	季	ʨ	i	阴去			ʨi˥˥˦
寄	寄	ʨ	i	阴去			ʨi˥˥˦
□	□	ʨ	i	阴入	面疙瘩		ʨi˦˨˧
溪	溪	ʨʰ	i	阴平			ʨʰi˧˧˦
欺	欺	ʨʰ	i	阴平			ʨʰi˧˧˦
启	啟	ʨʰ	i	阴上			ʨʰi˥˧
起	起	ʨʰ	i	阴上			ʨʰi˥˧
杞	杞	ʨʰ	i	阴上			ʨʰi˥˧
契	契	ʨʰ	i	阴去			ʨʰi˥˥˦
器	器	ʨʰ	i	阴去			ʨʰi˥˥˦
弃	棄	ʨʰ	i	阴去			ʨʰi˥˥˦
气	氣	ʨʰ	i	阴去			ʨʰi˥˥˦
汽	汽	ʨʰ	i	阴去			ʨʰi˥˥˦
奇	奇	ʥ	i	阳平			ʥi˨˧˩
骑	騎	ʥ	i	阳平			ʥi˨˧˩
其	其	ʥ	i	阳平			ʥi˨˧˩
棋	棋	ʥ	i	阳平			ʥi˨˧˩
期	期	ʥ	i	阳平			ʥi˨˧˩
旗	旗	ʥ	i	阳平			ʥi˨˧˩
蕲	蘄	ʥ	i	阳平			ʥi˨˧˩
岐	岐	ʥ	i	阳去			ʥi˨˩˧
企	企	ʥ	i	阳去			ʥi˨˩˧
忌	忌	ʥ	i	阳去			ʥi˨˩˧
祈	祈	ʥ	i	阳去			ʥi˨˩˧
技	技	ʥ	i	阳去			ʥi˨˩˧
妓	妓	ʥ	i	阳去			ʥi˨˩˧
及	及	ʥ	i	阳去	来勿～：来不及		ʥi˨˩˧
牺	犧	ɕ	i	阴平			ɕi˧˧˦
嬉	嬉	ɕ	i	阴平			ɕi˧˧˦
熙	熙	ɕ	i	阴平			ɕi˧˧˦
希	希	ɕ	i	阴平			ɕi˧˧˦
稀	稀	ɕ	i	阴平			ɕi˧˧˦
喜	喜	ɕ	i	阴上			ɕi˥˧
蟢	蟢	ɕ	i	阴上			ɕi˥˧
系	系	ɕ	i	阴去			ɕi˥˥˦
戏	戲	ɕ	i	阴去			ɕi˥˥˦
泥	泥	ȵ	i	阳平			ȵi˨˧˩
倪	倪	ȵ	i	阳平			ȵi˨˧˩
儿	兒	ȵ	i	阳平	1		ȵi˨˧˩
宜	宜	ȵ	i	阳平			ȵi˨˧˩
仪	儀	ȵ	i	阳平	礼～		ȵi˨˧˩
谊	誼	ȵ	i	阳平			ȵi˨˧˩
尼	尼	ȵ	i	阳平			ȵi˨˧˩
疑	疑	ȵ	i	阳平			ȵi˨˧˩
拟	擬	ȵ	i	阳平			ȵi˨˧˩
蚁	蟻	ȵ	i	阳上	2		ȵi˧˩
议	議	ȵ	i	阳上			ȵi˧˩
你	你	ȵ	i	阳上			ȵi˧˩
仪	儀	ȵ	i	阳上	～表		ȵi˧˩
艺	藝	ȵ	i	阳去			ȵi˨˩˧
义	義	ȵ	i	阳去			ȵi˨˩˧
腻	膩	ȵ	i	阳去			ȵi˨˩˧
二	二	ȵ	i	阳去			ȵi˨˩˧
贰	貳	ȵ	i	阳去			ȵi˨˩˧
毅	毅	ȵ	i	阳去			ȵi˨˩˧
谜	謎	ȵ	i	阳去	猜～：猜谜		ȵi˨˩˧
衣	衣		i	阴平			i˧˧˦
依	依		i	阴平			i˧˧˦
伊	伊		i	阴平			i˧˧˦
医	醫		i	阴平			i˧˧˦
移	移		i	阳平			i˨˧˩
夷	夷		i	阳平			i˨˧˩
姨	姨		i	阳平			i˨˧˩
遗	遺		i	阳平			i˨˧˩
已	已		i	阴上			i˥˧
煮	煮		i	阴上	烧煮		i˥˧
意	意		i	阴去			i˥˥˦
忆	憶		i	阴去			i˥˥˦
亿	億		i	阴去			i˥˥˦
易	易		i	阴去	难～		i˥˥˦
亦	亦		i	阴去			i˥˥˦
系	系		i	阴去	拉关～		i˥˥˦
以	以		i	阳去			i˨˩˧
异	異		i	阳去			i˨˩˧
□	□		i	阳去	～个：这个		i˨˩˧
起	起		i	阳去	动词后缀。起来。		i˨˩˧
补	補	ʔb	u	阴上			ʔbu˥˧
谱	譜	ʔb	u	阴上			ʔbu˥˧
布	布	ʔb	u	阴去			ʔbu˥˥˦
怖	怖	ʔb	u	阴去			ʔbu˥˥˦
布	佈	ʔb	u	阴去			ʔbu˥˥˦
潽	潽	pʰ	u	阴平	液体烧开溢出		pʰu˧˧˦
普	普	pʰ	u	阴上			pʰu˥˧
甫	甫	pʰ	u	阴上			pʰu˥˧
脯	脯	pʰ	u	阴上			pʰu˥˧
浦	浦	pʰ	u	阴上			pʰu˥˧
捕	捕	pʰ	u	阴上	逮～		pʰu˥˧
铺	鋪	pʰ	u	阴去			pʰu˥˥˦
蒲	蒲	b	u	阳平			bu˨˧˩
瓠	瓠	b	u	阳平			bu˨˧˩
荸	荸	b	u	阳平	～荠		bu˨˧˩
□	□	b	u	阳平	一～花：一朵花		bu˨˧˩
部	部	b	u	阳上			bu˧˩
簿	簿	b	u	阳上			bu˧˩
步	步	b	u	阳去			bu˨˩˧
孵	孵	b	u	阳去			bu˨˩˧
捕	捕	b	u	阳去			bu˨˩˧
埠	埠	b	u	阳去			bu˨˩˧
曝	曝	b	u	阳去			bu˨˩˧
阜	阜	b	u	阳去			bu˨˩˧
暮	暮	m	u	阳去			mu˨˩˧
慕	慕	m	u	阳去			mu˨˩˧
墓	墓	m	u	阳去			mu˨˩˧
募	募	m	u	阳去			mu˨˩˧
呼	呼	f	u	阴平			fu˧˧˦
夫	夫	f	u	阴平			fu˧˧˦
肤	膚	f	u	阴平			fu˧˧˦
麸	麩	f	u	阴平			fu˧˧˦
俘	俘	f	u	阴平			fu˧˧˦
虎	虎	f	u	阴上			fu˥˧
浒	滸	f	u	阴上			fu˥˧
府	府	f	u	阴上			fu˥˧
腑	腑	f	u	阴上			fu˥˧
斧	斧	f	u	阴上			fu˥˧
抚	撫	f	u	阴上			fu˥˧
釜	釜	f	u	阴上			fu˥˧
辅	輔	f	u	阴上			fu˥˧
脯	脯	f	u	阴上	螟～：乌贼		fu˥˧
付	付	f	u	阴去			fu˥˥˦
赋	賦	f	u	阴去			fu˥˥˦
傅	傅	f	u	阴去			fu˥˥˦
赴	赴	f	u	阴去			fu˥˥˦
敷	敷	f	u	阴去			fu˥˥˦
戽	戽	f	u	阴去			fu˥˥˦
富	富	f	u	阴去			fu˥˥˦
副	副	f	u	阴去			fu˥˥˦
符	符	v	u	阳平			vu˨˧˩
芙	芙	v	u	阳平			vu˨˧˩
无	無	v	u	阳平			vu˨˧˩
巫	巫	v	u	阳平			vu˨˧˩
诬	誣	v	u	阳平			vu˨˧˩
胡	胡	v	u	阳平			vu˨˧˩
湖	湖	v	u	阳平			vu˨˧˩
狐	狐	v	u	阳平			vu˨˧˩
壶	壺	v	u	阳平			vu˨˧˩
胡	鬍	v	u	阳平			vu˨˧˩
浮	浮	v	u	阳平			vu˨˧˩
妇	婦	v	u	阳上			vu˧˩
扶	扶	v	u	阳上			vu˧˩
父	父	v	u	阳上			vu˧˩
武	武	v	u	阳上			vu˧˩
户	戶	v	u	阳上			vu˧˩
沪	滬	v	u	阳上			vu˧˩
互	互	v	u	阳上			vu˧˩
鹉	鵡	v	u	阳上			vu˧˩
□	□	v	u	阳上	ɔ231-22 ～：漂亮		vu˧˩
附	附	v	u	阳去			vu˨˩˧
腐	腐	v	u	阳去			vu˨˩˧
舞	舞	v	u	阳去			vu˨˩˧
侮	侮	v	u	阳去			vu˨˩˧
务	務	v	u	阳去			vu˨˩˧
雾	霧	v	u	阳去			vu˨˩˧
护	護	v	u	阳去			vu˨˩˧
都	都	ʔd	u	阴平	～城，～是		ʔdu˧˧˦
赌	賭	ʔd	u	阴上			ʔdu˥˧
躲	躲	ʔd	u	阴上			ʔdu˥˧
剁	剁	ʔd	u	阴上	2		ʔdu˥˧
堵	堵	ʔd	u	阴上			ʔdu˥˧
肚	肚	ʔd	u	阴上	人、动物的胃		ʔdu˥˧
□	□	ʔd	u	阴上	瓜瓤		ʔdu˥˧
□	□	ʔd	u	阴上	牲～：牲口		ʔdu˥˧
妒	妒	ʔd	u	阴去			ʔdu˥˥˦
朵	朵	ʔd	u	阴去			ʔdu˥˥˦
土	土	tʰ	u	阴上			tʰu˥˧
吐	吐	tʰ	u	阴上	痰～，呕～		tʰu˥˧
兔	兔	tʰ	u	阴去			tʰu˥˥˦
唾	唾	tʰ	u	阴去			tʰu˥˥˦
徒	徒	d	u	阳平			du˨˧˩
屠	屠	d	u	阳平			du˨˧˩
途	途	d	u	阳平			du˨˧˩
涂	塗	d	u	阳平			du˨˧˩
图	圖	d	u	阳平			du˨˧˩
杜	杜	d	u	阳上			du˧˩
肚	肚	d	u	阳上	～皮		du˧˩
度	度	d	u	阳去			du˨˩˧
渡	渡	d	u	阳去			du˨˩˧
镀	鍍	d	u	阳去			du˨˩˧
毒	毒	d	u	阳去	～死		du˨˩˧
炉	爐	l	u	阳平			lu˨˧˩
卢	盧	l	u	阳平			lu˨˧˩
芦	蘆	l	u	阳平			lu˨˧˩
鸬	鸕	l	u	阳平			lu˨˧˩
庐	廬	l	u	阳平			lu˨˧˩
鲁	魯	l	u	阳上			lu˧˩
卤	鹵	l	u	阳上			lu˧˩
撸	擼	l	u	阳上			lu˧˩
路	路	l	u	阳去			lu˨˩˧
露	露	l	u	阳去			lu˨˩˧
鹭	鷺	l	u	阳去			lu˨˩˧
租	租	ʦ	u	阴平			ʦu˧˧˦
□	□	ʦ	u	阴平	口嘴巴～i31：撅嘴		ʦu˧˧˦
祖	祖	ʦ	u	阴上			ʦu˥˧
组	組	ʦ	u	阴上			ʦu˥˧
阻	阻	ʦ	u	阴上			ʦu˥˧
粗	粗	ʦʰ	u	阳平			ʦʰu˨˧˩
初	初	ʦʰ	u	阳平			ʦʰu˨˧˩
楚	楚	ʦʰ	u	阳上			ʦʰu˧˩
础	礎	ʦʰ	u	阳上			ʦʰu˧˩
醋	醋	ʦʰ	u	阳去			ʦʰu˨˩˧
酥	酥	s	u	阴上			su˥˧
梳	梳	s	u	阴上	2		su˥˧
疏	疏	s	u	阴上			su˥˧
蔬	蔬	s	u	阴上			su˥˧
苏	蘇	s	u	阴上			su˥˧
素	素	s	u	阴去			su˥˥˦
诉	訴	s	u	阴去			su˥˥˦
塑	塑	s	u	阴去			su˥˥˦
姑	姑	k	u	阴平			ku˧˧˦
孤	孤	k	u	阴平			ku˧˧˦
菇	菇	k	u	阴平			ku˧˧˦
鸪	鴣	k	u	阴平			ku˧˧˦
古	古	k	u	阴上			ku˥˧
估	估	k	u	阴上			ku˥˧
牯	牯	k	u	阴上			ku˥˧
股	股	k	u	阴上			ku˥˧
鼓	鼓	k	u	阴上			ku˥˧
故	故	k	u	阴上	～事		ku˥˧
固	固	k	u	阴去			ku˥˥˦
锢	錮	k	u	阴去			ku˥˥˦
雇	雇	k	u	阴去			ku˥˥˦
顾	顧	k	u	阴去			ku˥˥˦
故	故	k	u	阴去	事～		ku˥˥˦
枯	枯	kʰ	u	阴平			kʰu˧˧˦
箍	箍	kʰ	u	阴平			kʰu˧˧˦
苦	苦	kʰ	u	阴上			kʰu˥˧
口	口	kʰ	u	阴上	～嘴：嘴		kʰu˥˧
尻	尻	kʰ	u	阴上	～臀：屁股		kʰu˥˧
库	庫	kʰ	u	阴去			kʰu˥˥˦
裤	褲	kʰ	u	阴去			kʰu˥˥˦
□	□	kʰ	u	阴去	固执不化，不灵活		kʰu˥˥˦
箍	箍	kʰ	u	阴入	妇女戴的头圈		kʰu˦˨˧
踞	踞	ɡ	u	阳平	蹲		ɡu˨˧˩
乌	烏		u	阴平			u˧˧˦
污	汙		u	阴平			u˧˧˦
坞	塢		u	阴平			u˧˧˦
乎	乎		u	阴平	几～		u˧˧˦
□	□		u	阴上	不见了		u˥˧
恶	惡		u	阴去			u˥˥˦
乎	乎		u	阴去	几～		u˥˥˦
熓	熓		u	阴去	用文火烧煮		u˥˥˦
布	布		u	阴去	～裤：裤子		u˥˥˦
□	□	ʔd	y	阴上	动词，指		ʔdy˥˧
拄	拄	ʔd	y	阴去			ʔdy˥˥˦
骡	騾	l	y	阳平		疑为“驴”之误	ly˨˧˩
吕	呂	l	y	阳上	1		ly˧˩
屡	屢	l	y	阳上			ly˧˩
稆	穭	l	y	阳上			ly˧˩
旅	旅	l	y	阳上	1		ly˧˩
虑	慮	l	y	阳上			ly˧˩
滤	濾	l	y	阳上			ly˧˩
履	履	l	y	阳上	2		ly˧˩
居	居	ʨ	y	阴平			ʨy˧˧˦
