漢字	音標	註釋
搓	tsʰai1	
猜	tsʰai1	
差	tsʰai1	出～
柴	tsʰai2	
蔡	tsʰai5	
寨	tsʰai5	
豺	sai2	
□	sai2	因缺乏油水而覺極餓
□	sai2	紅～～：紅艷艷
徙	sai3	
曬	sai5	
釃	sai5	倒（茶、酒等）
皆	kai1	
階	kai1	
佳	kai1	
街	kai1	
乖	kai1	
解	kai3	～放
柺	kai3	
𧊅	kai3	～子：青蛙
介	kai5	
界	kai5	
芥	kai5	
尬	kai5	
屆	kai5	
戒	kai5	
怪	kai5	
荷	kʰai1	挑
概	kʰai3	
溉	kʰai3	
凱	kʰai3	
慨	kʰai3	
楷	kʰai3	
快	kʰai5	
□	kʰai5	拿
涯	ŋai2	
崖	ŋai2	
艾	ŋai5	
孩	hai2	
鞋	hai2	
諧	hai3	
械	hai3	
懈	hai3	
蟹	hai3	
挨	ai1	
埃	ai1	
矮	ai3	
隘	ai5	
簸	pɔi5	
背	pɔi5	文，背後
坯	pʰɔi1	
胚	pʰɔi1	
背	pʰɔi1	～誦
吠	pʰɔi1	
培	pʰɔi2	
賠	pʰɔi2	
陪	pʰɔi2	
倍	pʰɔi2	
沛	pʰɔi5	
佩	pʰɔi5	
配	pʰɔi5	
梅	mɔi2	
枚	mɔi2	
媒	mɔi2	
脢	mɔi2	背～：背脊
□	mɔi2	摎～：總共
妹	mɔi5	
盔	fɔi1	
恢	fɔi1	
灰	fɔi1	
悔	fɔi1	
晦	fɔi1	
匯	fɔi1	
彙	fɔi1	
回	fɔi2	
茴	fɔi2	
會	fɔi5	～計；開～
煨	vɔi5	
會	vɔi5	～不～
繪	vɔi5	
堆	tɔi1	
□	tɔi3	整（個）
對	tɔi5	
碓	tɔi5	
隊	tɔi5	
兌	tɔi5	
胎	tʰɔi1	
貸	tʰɔi1	
待	tʰɔi1	
代	tʰɔi1	
袋	tʰɔi1	
臺	tʰɔi2	
苔	tʰɔi2	
抬	tʰɔi2	
腿	tʰɔi3	
退	tʰɔi5	
蛻	tʰɔi5	
內	nɔi1	
來	lɔi2	
□	lɔi5	狗～：狗洞
載	tsɔi5	
再	tsɔi5	
催	tsʰɔi1	
罪	tsʰɔi1	
栽	tsʰɔi2	
才	tsʰɔi2	
纔	tsʰɔi2	
材	tsʰɔi2	
財	tsʰɔi2	
𬏛	tsʰɔi2	瘡癤
彩	tsʰɔi3	
採	tsʰɔi3	
采	tsʰɔi3	
睬	tsʰɔi3	
菜	tsʰɔi5	
在	tsʰɔi5	
腮	sɔi1	
鰓	sɔi1	
衰	sɔi1	
髓	sɔi3	
歲	sɔi5	
賽	sɔi5	
帥	sɔi5	
嘴	tʃɔi5	俗，嘴巴
睡	ʃɔi1	
稅	ʃɔi5	
該	kɔi1	
胲	kɔi1	
□	kɔi1	私～錢：私房錢
改	kɔi3	
個	kɔi3	那
蓋	kɔi5	
丐	kɔi5	
鈣	kɔi5	
礙	ŋɔi1	
外	ŋɔi1	
獃	ŋɔi2	
我	ŋɔi5	白
開	hɔi1	
亥	hɔi1	
害	hɔi1	
痎	hɔi2	癢
海	hɔi3	
哀	ɔi1	
愛	ɔi3	要
愛	ɔi5	熱～
䠩	kʰiɔi1	疲倦
□	iɔi1	抓痕
跛	pɛi1	
斃	pɛi2	
鄙	pɛi3	（質量）差
蔽	pɛi5	
敝	pɛi5	
弊	pɛi5	
閉	pɛi5	
稗	pʰɛi1	
幣	pʰɛi1	
批	pʰɛi1	
𠜱	pʰɛi1	削
母	mɛi1	阿～：母親（舊稱）
迷	mɛi2	
謎	mɛi2	
米	mɛi3	
啡	fɛi2	咧～：吊兒郎當；行爲邋遢
歪	vɛi3	
低	tɛi1	
底	tɛi3	
抵	tɛi3	
帝	tɛi5	
梯	tʰɛi1	
弟	tʰɛi1	文，兄～
第	tʰɛi1	
題	tʰɛi2	
提	tʰɛi2	
蹄	tʰɛi2	
啼	tʰɛi2	
堤	tʰɛi2	
體	tʰɛi3	
睇	tʰɛi3	看
弟	tʰɛi5	白，老～
遞	tʰɛi5	
剃	tʰɛi5	
替	tʰɛi5	
隸	nɛi1	
泥	nɛi2	
□	nɛi3	奈～：哪些
□	nɛi5	骯髒
例	lɛi1	
荔	lɛi1	
□	lɛi1	我～：我們
犁	lɛi2	
黎	lɛi2	
□	lɛi2	伸出（舌頭）
咧	lɛi2	～啡：吊兒郎當；行爲邋遢
禮	lɛi5	
仔	tsɛi3	名詞詞尾
祭	tsɛi5	
際	tsɛi5	
擠	tsɛi5	
濟	tsɛi5	
劑	tsɛi5	
妻	tsʰɛi1	
迣	tsʰɛi1	傳染
齊	tsʰɛi2	
篩	sɛi1	
西	sɛi1	
事	sɛi1	白，做～
洗	sɛi3	
使	sɛi3	
細	sɛi5	
婿	sɛi5	
□	tʃɛi1	阿～：祖母
□	tʃɛi1	趼子
制	tʃɛi5	
製	tʃɛi5	
滯	tʃʰɛi1	
誓	ʃɛi1	
世	ʃɛi5	
勢	ʃɛi5	
逝	ʃɛi5	
舐	ʃɛi5	
雞	kɛi1	
繼	kɛi5	
計	kɛi5	
桂	kɛi5	
溪	kʰɛi1	
啟	kʰɛi3	
契	kʰɛi5	
藝	ŋɛi1	
毅	ŋɛi1	
蟻	ŋɛi3	
系	hɛi1	
繫	hɛi1	是
繫	hɛi5	聯～
□	ɛi1	我～：我的
子	ɛi3	白，名詞詞尾
□	iɛi2	動作緩慢；拖拉
杯	pui1	
悲	pui1	
貝	pui5	
輩	pui5	
昧	mui1	
味	mui1	
未	mui1	
美	mui3	
尾	mui5	
痱	mui5	
每	mui5	
□	mui5	嚴實
惠	fui1	
非	fui1	
飛	fui1	
妃	fui1	
揮	fui1	
輝	fui1	
徽	fui1	
肥	fui2	
慧	fui3	
翡	fui3	
匪	fui3	
穗	fui3	
廢	fui5	
肺	fui5	
費	fui5	
衛	vui1	
位	vui1	
威	vui1	
畏	vui1	
胃	vui1	
謂	vui1	
爲	vui2	作～
維	vui2	
唯	vui2	
遺	vui2	文
違	vui2	
圍	vui2	
諱	vui2	
萎	vui3	
慰	vui3	
偉	vui3	
葦	vui3	
緯	vui3	
爲	vui5	～什麼
□	tui3	往下拉
推	tʰui1	文
□	tʰui5	吐
□	nui5	豆腐～：豆腐乳
□	nui5	（嚼後）吐出
類	lui1	
淚	lui1	
雷	lui2	
屢	lui5	
累	lui5	連～；積～
嘴	tsui3	
醉	tsui5	
吹	tsʰui1	
炊	tsʰui1	
推	tsʰui1	白
隨	tsʰui2	白，～便
脆	tsʰui5	
翠	tsʰui5	
粹	tsʰui5	
雖	sui1	
須	sui1	必～
需	sui1	
隨	sui2	文，跟～
碎	sui5	
追	tʃui1	
錐	tʃui1	
綴	tʃui5	
槌	tʃʰui2	
錘	tʃʰui2	
捶	tʃʰui2	
垂	tʃʰui2	
瑞	ʃui1	
□	ʃui1	布沿起毛邊
誰	ʃui2	
水	ʃui3	
遂	ʃui3	
隧	ʃui3	
閨	kui1	
規	kui1	
龜	kui1	
歸	kui1	
詭	kui3	
鬼	kui3	
軌	kui3	
季	kui5	
貴	kui5	
賄	kʰui1	
虧	kʰui1	
窺	kʰui1	
櫃	kʰui1	
魁	kʰui2	
馗	kʰui2	
奎	kʰui2	
攜	kʰui2	
癸	kʰui2	
逵	kʰui2	
葵	kʰui2	
潰	kʰui3	
跪	kʰui3	
毀	kʰui3	
愧	kʰui3	
魏	ŋui1	
危	ŋui2	
偽	ŋui3	
委	ŋui3	
銳	iui3	
睿	iui3	
褒	pau1	
包	pau1	
胞	pau1	
保	pau3	
堡	pau3	
寶	pau3	
飽	pau3	
報	pau5	
豹	pau5	
暴	pau5	～圻：皸裂
泡	pʰau1	單用
拋	pʰau1	顛簸
袍	pʰau2	
抱	pʰau2	
