#备注：	《海安县志》																		
#调值	[1]21 [2]45 [3]213 [4]33 [5]3 [6]45																		
#符号说明：-白=文																			
#ɿ																			
tʰ	[1]推=[3]腿=[4]退=褪=																		
n	[1]内类[2]擂雷=[3]累垒[4]虑=滤=泪=																		
k	[1]规龟归[3]鬼轨癸[4]桂贵																		
kʰ	[1]跪柜亏[2]葵魁奎[4]愧溃																		
x	[1]灰恢挥辉徽汇会[2]回茴蛔[3]毁悔[4]贿惠慧																		
#yɘi																			
tɕ	[1]追锥[4]罪坠2{耳~}																		
tɕʰ	[1]吹炊[2]锤随垂[4]翠脆																		
ɕ	[1]吹炊=[2]锤随-垂-[4]翠脆=																		
#ɤɯ																			
t	[1]兜丢□{打}㨮{~答}[3]抖陡斗1{~十升}[4]斗2{~搞；撞碰，头~门上}																		
tʰ	[1]豆痘偷[3]头投[4]透																		
n	[1]漏溜-熘-[2]楼刘-流-留-[3]柳-榴-扭-篓楼柳纽-[4]陋																		
ts	[1]周舟洲州[3]走[4]奏纣宙咒昼骤揍2绉																		
tsʰ	[1]抽煼[2]绸筹稠愁酬□{吸}仇1[3]丑[4]凑臭																		
s	[1]搜1馊收受寿[2]搜2{偷偷抽取}[3]手首守[4]兽瘦售授																		
ʐ	[2]柔揉[4]肉1{不知趣}日=																		
k	[1]勾钩沟[3]狗苟给拘[4]够{足~；累}构购彀{~不到}																		
kʰ	[1]抠[2]扣1{~劲大}剋{~架}眍[3]口[4]扣2寇																		
x	[1]后厚[2]喉猴瘊齁□{流淌}[3]吼[4]候䞧{往前~}																		
Ø	[1]欧沤𰟱讴[2]牛-[3]呕偶藕[4]怄𡂿																		
#iɤɯ																			
n	[1]溜=熘=[2]流=刘=留=牛=[3]柳=扭=纽=																		
tɕ	[1]纠揪阄鬏皱[3]酒九久韭[4]救究舅=旧=就=㾭{~筋}																		
tɕʰ	[1]舅-旧-秋丘就-臼鳅[2]囚求球虬{卷毛，~头发}旋1{~风}仇2{~姓}[3]□{搞，弄}																		
