	符號說明：-白讀，=文讀
n	[1]賴-爛-[3]攤[5]僆{未生過蛋的母禽}
l	[6]辣瀾{涎～：唾沫}[9]辣
ts	[2]蛇移-殘-[3]紙[6]漬
tsʰ	[1]䉔{小刺}[3]癬-[5]蔡[6]鱔-[9]擦-
ɬ	[1]蓑莎沙紗痧砂鯊裟山-[3]徙[5]散傘線腺[9]撒煞殺-刹-
k	[1]歌-鍋肝杆-汗-官棺[2]寒-[3]果裹趕-管-[5]蓋-灌-旰{上～：上午}[6]摜{提}[9]芥-割曷
kʰ	[1]科蝌誇跨[5]課[9]渴闊擴
ŋ	[9]刈{用鐮刀割}
h	[1]崖-扞{扶著}[2]和華樺鏵華[6]乏-[9]喝
∅	[1]窩蝸渦萵蛙窪蝸娃鞍[2]何-[3]倚-碗[5]案晏[6]禍旱-活-
#ɛ	
p	[1]病[2]爬-耙平-[3]把-馬碼瑪螞冥{～早：早晨}[5]柄[6]爸白麥-脈[9]百-柏伯-
pʰ	[2]平-[5]帕[9]魄
m	[1]罵[2]盲-明-暝{～昏：晚上}[3]猛-蜢
t	[1]姼{翁～：岳父}代-袋䭔{煎～：麻團}䟓{骹～：腳後跟}[2]茶[3]短[5]詐-榨-[9]簀{牀～：用厚篾片編成的鋪板}矺{壓}
tʰ	[1]䖳{～母：海蜇}胎苔推-撐-[2]退{倒退}[5]牚{支撐}[6]宅-[9]徹-澈-
n	[3]冷-[6]捏-
l	[2]螺-腡
ts	[1]齋爭-[2]搽情-[3]姐-者這井阱[5]債[6]坐[9]姐窄績-仄
tsʰ	[1]叉杈釵差生-青-星-[3]且扯省{反～}醒[5]脆[9]策冊
ɬ	[1]紗生-牲-甥[5]性姓[9]些色-{～子}
j	[2]耶爺椰[3]也野=冶
k	[1]家傢加痂嘉枷袈稼更-[2]牙芽蚜衙-椵蜈[3]賈假哽[5]架駕嫁價鏡逕[9]格隔膈
kʰ	[1]坑[2]茄[9]客
ŋ	[2]捱-[6]硬
h	[1]賀-瘕[2]蝦[6]下喏[9]嚇瘕歇-赫
∅	[1]下-[2]桁[3]啞[6]下-[9]扼-軛
#uɛ	
k	[1]瓜棺關-菅-[3]寡剮梗-{卡住}[5]掛卦褂
kʰ	[5]快-
h	[1]花[2]橫[5]化
∅	[1]話[6]劃-畫划[9]噦-
#ɔ	
p	[1]波菠玻[2]婆-無[3]保堡寶母-拇-[5]播報[6]薄泊箔[9]博-
pʰ	[1]坡[2]婆=菩[3]頗[6]抱[9]粕
m	[2]磨蘑[6]膜[9]魔摩摸
w	[2]禾
t	[1]多刀[2]砣汏逃[3]朵倒{掠～：抓到}[5]倒[6]橢惰墮著-{～火}
tʰ	[2]駝佗陀鴕馱舵桃萄[3]妥討[5]套[9]托託
n	[2]挪娜那螺-[6]兩
l	[1]路[2]羅鑼籮蘿邏騾螺=牢[3]裸栳{ka33～: 筲箕}[6]落絡樂-[9]啰
ts	[1]糟-[2]槽-[3]左組阻詛棗[5]佐[6]座助昨[9]作-
tsʰ	[1]搓磋初=差{參～}[2]傻鋤[3]楚礎草-[5]銼挫措錯糙
ɬ	[1]梭唆疏蔬[3]鎖瑣所嫂[6]鐲[9]嗦索嗽
ȵ	[2]捼{用手摩}
k	[1]哥歌=餓膏篙稿[2]鵝[3]稿[5]告-[9]哥各-閣-
kʰ	[1]戈柯苛軻[3]可洘{烤乾}[9]棵顆艐{船隻擱淺}
ŋ	[2]蛾俄娥峨訛[3]我=[5]戇{愚蠢}[9]臥
h	[1]號[2]河何=荷荷[3]好[5]耗[6]賀=鶴[9]呵
∅	[1]阿婀倭汙-[2]蠔-[6]學[9]惡-沃-
#iɔ	
p	[1]標-表廟摽{投擲}[2]苗-[3]表-[6]鰾
pʰ	[1]飆{快速奔跑}[5]票漂
t	[1]張-[2]跳場-[5]釣帳賬脹-[6]丈-著-
tʰ	[1]挑-[5]糶
n	[2]娘-良-量-糧梁-[3]兩
l	[9]掠-{從表面薄薄地舀一點}
ts	[1]蕉椒招召-漿上-[3]少掌[5]醮照醬[6]上-石[9]借雀-
tsʰ	[1]鯧昌匠-[2]牆揚-[5]笑唱[6]象-橡蓆-[9]尺
ɬ	[1]燒邵箱廂[2]嘗-瘍{黏液}[3]賞[5]相-像-[6]想[9]惜-縮-
ȵ	[3]仰-
j	[1]尿
k	[1]嬌-轎薑[2]橋[5]叫-
kʰ	[9]挈{撿}
h	[1]香-[5]向-[6]箬{葉}
∅	[1]邀腰樣-[2]搖-窯羊洋-楊-陽-[6]鷂藥
#ai	
p	[1]稗篦斑-[2]排-牌爿[3]擺=板-版阪[5]拜[6]敗[9]跛
pʰ	[1]耚{～塍：犁田}[2]排=徘[5]派湃
m	[2]埋霾[6]邁[9]靡米{厘～}
w	[9]歪
t	[1]事-[3]歹傣滓-[5]戴=帶=滯蒂=[6]待怠殆代=黛岱事
tʰ	[1]篩[2]臺苔抬治{宰，殺}[5]態貸太泰汰[9]銻{～煲：鋁鍋}
n	[1]耐-膩[2][3]乃奶[5][6]耐奈楝-[9]奶
l	[1]利-[2]來萊狸-[5]癩[6]賴=睞籟柰裏-
ts	[1]災栽哉知先[2]財-臍-前[3]宰載璽滓=[5]再載[6]在寨滯[9]擠劑
tsʰ	[1]猜千-[2]才才材財豺裁蠶-[3]采彩睬踩[5]菜[9]搓
ɬ	[1]篩西犀先-[3]屎使駛[5]賽塞曬婿-[9]嘥{浪費}荽
ȵ	[3]蹨{踩}
k	[1]該賅皆階秸楷佳肩-間-[2]個[3]襇揀繭趼[5]蓋=介界=芥=尬疥屆戒誡計-
kʰ	[3]凱愷鎧啟[5]概溉慨愾丐鈣[9]稽
ŋ	[1]哀[2]涯崖捱=倪霓危偽[3]眼-[5]愛[6]礙藝詣羿毅[9]艾=
h	[2]孩諧偕骸械懈奚兮[3]海[6]亥害駭[9]
∅	[2]閑-[3]藹靄埃挨矣[5]愛[9]隘
#uai	
ɬ	[1]衰摔[3]甩[5]帥率
k	[2]懸-{高}[3]拐[5]怪慣-[9]乖
kʰ	[5]塊快筷
ŋ	[2]獃[3]歪[6]外=
h	[1]壞-[2]懷淮[6]壞=
∅	[3]拐
#ei	
pʰ	[9]呸
m	[9]妹
w	[9]喂
tsʰ	[9]啐
#ɔi	
p	[1]賣杯袂飛-緋-[2]賠梅媒-煤莓黴脢玫[3]擺-買尾[5]貝-狽輩-背-[6]倍蓓碚拔-[9]背八-
pʰ	[1]批砒坯丕胚㓟{削}[2]皮[5]配-杮[6]被垡
m	[2]糜{粥}眠-
w	[9]謂-
t	[1]低第-[2]題蹄[3]底-抵詆邸[5]帝-綴-
tʰ	[5]替
l	[1]例[2]犁黎雷-[3]禮[6]笠
ts	[1]多{訓}[2]齊[5]祭製制[6]罪截-[9]節-
tsʰ	[1]初-炊-[3]髓[5]砌粞[9]惜-
ɬ	[1]梳疏-鰓腮[3]洗水=[5]細[6]誓[9]薛雪說楔
ȵ	[2]研-
k	[1]街雞笄肌-機-[3]改解[5]過界-計-系髻[6]月[9]圿潔-挾莢
kʰ	[1]靴溪[2]瘸渠槐葵-[5]契快-喫{啃}
h	[1]灰-[3]火伙夥[5]貨歲[6]蟹[9]血
∅	[1]挨[2]鞋[3]矮[6]解{會，懂得}
#ui	
p	[1]吠碑卑悲飯檳-[2]媒=肥[3]本-[5]貝=閉-輩=背痱沸[9]杯
pʰ	[2]培陪裴[5]沛配=佩肺屁-
m	[1]妹昧問[2]枚門們[3]每美晚-[9]妹
w	[2]為維惟唯[6]匯會繪薈
t	[2]捶[3]轉[5]對碓兌頓[6]隊斷[9]堆
tʰ	[1]推=梯[2]頹槌錘團-[3]腿[5]退蛻褪-
n	[1]亂-[2]䙇{縫製}[3]軟[6]內卵
l	[1]追-[2]雷擂蕾[3]屢履磊儡壘累蕊[6]濾累類淚
ts	[1]追=磚[3]嘴水-[5]最綴=醉[6]敘聚贅惴墜[9]錐椎
tsʰ	[1]催崔摧吹炊=村[2]隋隨垂陲蹲[3]璀[5]碎-淬脆=喙嘴翠粹悴瘁
ɬ	[1]雖綏穗酸栓{轄木}[2]誰[5]碎=稅說算[6]瑞遂隧墅
j	[6]芮銳彗睿惠慧慰尉蔚
k	[1]圭閨機-龜歸皈光[1]圭[3]幾-詭軌晷鬼[5]桂癸季悸貴瑰棬[6]跪櫃
kʰ	[1]開盔規虧窺[2]渠衢魁攜畦逵葵=馗[3]傀[5]氣-愧[9]潰劊檜奎饋
ŋ	[2]桅嵬危巍魏
h	[1]恢詼灰=麾非維扉霏菲飛=妃揮輝暉徽昏-蕃[2]回茴洄蛔徊園[3]賄悔晦誨毀匪翡誹[5]廢費諱卉[6]遠-
∅	[1]位威[2]遺圍韋違幃闈轅-黃磺皇王-{姓}[3]猥萎委偉葦緯煒痿䘼{手～：袖子}箢[5]煨穢喂畏胃謂蝟[6]衛為
#au	
p	[1]褒包胞鮑苞=煲雹[2]袍狗庖刨[6]暴爆瀑[9]煲
pʰ	[1]拋=[3]跑咆剖[5]泡炮
m	[2]毛=茅=錨牡矛謀眸[3]畝卯鉚某[6]冒帽貌茂貿袤謬[9]踎{蹲著}
t	[1]叨豆痘脰逗[2]濤投-[3]禱島搗倒=鬥抖蚪陡[5]到鬥逗晝[6]道稻盜導蹈悼逗=竇[9]兜
tʰ	[1]滔韜偷毒[2]逃=陶淘掏討頭投=[3]敨{解開}[5]透
n	[2]撓[3]腦扭瑙紐=[6]鬧=[9]惱
l	[1]漏-[2]牢=勞撈澇癆嘮樓流留劉瀏榴硫琉瘤騮[3]縷老=簍摟[5]漏=陋鏤[6]老-
ts	[1]遭糟=[3]蚤找走[5]灶奏驟[6]皂造棹就-{遷就}
tsʰ	[1]操抄鈔[2]曹槽嘈漕巢[3]草=[5]澡噪躁燥操湊
ɬ	[1]騷臊搔艄[2]愁[3]稍擻叟搜艘[5]掃哨嗽漱
ȵ	[3]爪[9]爪
j	[2]饒搖=謠遙瑤姚堯柔尤遊猶魷攸悠[3]擾繞舀誘柚[6]耀
k	[1]高羔糕交-溝鳩糾[2]猴-[3]狗苟枸笱垢九韭餃[5]告=誥珓較-窖夠[6]厚
kʰ	[1]跤摳鬮[3]考烤拷口[5]浩靠犒銬叩構購扣寇蔻哭酷[9]媾{～妹：追求女孩}
ŋ	[1]鉤[2]熬鼇嗷翱肴淆[3]耦偶偶咬[5]貓[6]傲[9]勾鉤
h	[1]蒿薅候-鱟[2]豪壕嚎毫號蠔=侯猴=[3]吼[5]好[6]後=厚=候=阜[9]昊顥
∅	[1]歐甌區鷗謳[2]喉[3]襖嘔毆朽[5]懊奧澳靿漚慪毆{打}[6]後-后[9]凹
#iau	
p	[1]標=彪鏢[3]表=裱婊
pʰ	[1]飄漂[2]瓢嫖
m	[2]描苗=際瞄[3]藐渺秒淼杳[6]妙
t	[1]刁貂雕凋碉叼[2]條-鰷[5]吊[6]掉調
tʰ	[1]挑=[2]條=迢調[5]跳眺[6]柱
n	[3]嫋
l	[1]料-廖[2]燎療聊遼寥撩寮僚嘹潦繚獠[3]了[5]鐐[6]料=
ts	[1]焦礁朝沼雄[2][3]剿[6]趙兆召=詔
tsʰ	[1]抄超昭釗[2]憔朝潮[3]醜羞[5]臭
ɬ	[1]梢捎消宵霄硝銷逍悄肖蕭瀟[2]韶簫[3]小筱[5]數少[6]紹肇[9]梢
k	[1]交=郊蛟驕嬌=[3]絞=狡佼攪矯繳皎糾[5]較=校=叫=[6]撬[9]澆
kʰ	[1]蹺[2]喬僑蕎翹[3]巧[5]竅[9]翹
h	[1]囂梟驍[2]姣[3]曉僥[5]酵孝哮校[6]效校
∅	[1]妖夭要么吆憂優幽[5]要
#uau	
h	[2]浮=[3]否[6]埠
#eu	
p	[1]步-[2]模-符-[3]補脯斧[5]布
pʰ	[2]扶-[5]鋪[6]簿
m	[1]墓[2]摸[6]舞-
t	[1]都渡-[3]肚肚
tʰ	[2]塗[3]土-[5]吐兔
n	[2]奴
l	[1]路露-賂[2]爐鸕鱸[3]魯-紐-柳[5]露-鷺
ts	[1]租[3]祖
tsʰ	[1]粗[5]醋
k	[1]姑-蛄-菇-鴣[2]糊-吳[3]古-鼓-估牯[5]雇
kʰ	[1]呼-箍[3]苦[5]庫褲[9]箍
ŋ	[6]五伍午
h	[2]胡-胡-[3]虎琥[5]戽[6]戶雨-
∅	[1]烏-芋
#iu	
p	[9]飆{很快地奔跑}
t	[1]住-[2]綢[6]粙{水稻}[9]丟
l	[9]溜
ts	[1]鄒周舟州洲[3]酒[5]咒[6]就=紂胄[9]袖晝=宙
tsʰ	[1]鬚樹-秋鞦抽[2]囚仇惆稠籌疇酬抽[3]丑帚手
ɬ	[1]修羞收[2]泅[3]首守狩[5]秀繡鏽獸[6]受授綬壽售
j	[1]又-[2]由郵[3]友[6]又=右佑
k	[2]求裘[5]咎救究灸=廄柩疚
kʰ	[1]丘=邱蚯[2]球逑俅
h	[1]休
∅	[2]油[3]酉[5]幼
#am	
t	[1]耽眈擔=[2]澹{濕}[6]淡啖
tʰ	[1]貪[2]潭譚燂{小火燒}談痰[5]探
n	[2]男南楠蚺[3]腩
l	[1]纜艦[2]藍籃=襤婪淋-[3]覽攬欖=[6]濫
ts	[1]簪針[3]斬嶄怎[6]暫鏨站漸湛
tsʰ	[1]參攙摻[2]蠶慚讒饞岑[3]慘[5]杉滲
ɬ	[1]三=[5]鬖{頭髮披散下來}[9]三
ȵ	[6]任-
k	[1]甘=柑泔疳監[2]含-[3]感敢=橄減[5]監尷鑒監
kʰ	[1]堪龕坎[3]砍[5]勘瞰磡
ŋ	[2]岩癌
h	[1]蛆酣憨[2]茅-含=函涵咸銜[5]喊[6]撼憾陷餡
∅	[1]鵪庵諳[3]措飲-[5]暗晏[6]頷
#iam	
t	[1]掂砧[2]甜恬[3]點[5]店惦玷[6][9]掂
tʰ	[1]添[2]沉[3]舔[6]簟墊
n	[1]念[2]黏站炎嚴[6]驗念[9]拈{拿}
l	[2]廉鐮濂簾奩[3]斂斂臉凜檁[6]殮
ts	[1]橄沾粘詹瞻占針[5]佔[9]尖
tsʰ	[1]殲纖暹籤簽[5]侵僭
ɬ	[3]陝閃[5]閃{偷窺}
k	[1]兼[2]鹹[3]檢撿[5]劍[6]儉
kʰ	[1]謙[2]鉗嵌[5]欠[6]檻
h	[2]嫌[3]險
∅	[1]閹[2]鹽[3]淹奄掩厴[5]厭[6]豔灩
#uam	
h	[2]凡帆[5]泛[6]範範犯
#em	
tsʰ	[9]挦{拔}
k	[9]噤{緊閉著嘴}
kʰ	[9]咳{咳嗽聲}
h	[9]蘞{辣～：辛辣味}
#im	
l	[2]林=淋=琳霖臨
ts	[1]斟[3]寢嬸枕[5]浸枕
tsʰ	[1]森深琛[2]潛尋蟾沉=忱嬋[9]挦
ɬ	[1]心芯[2]蟬禪[3]沈瀋審[6]甚葚
ȵ	[2]閻簷焰壬任吟淫撢{掏摸}[3]冉染=飲=[6]任=賃妊
k	[1]今金[3]錦[5]禁[6]妗
kʰ	[1]禁襟欽衾鑫[2]琴禽擒苓芹
∅	[1]音陰[5]蔭潤
#an	
p	[1]範-班斑=頒扳奔[2]便瓶-[3]板[5]摒[6]斑扮瓣辦
pʰ	[1]攀[2]樊[3][5]盼襻
m	[1]慢漫萬[2]蠻[3]晚[5]饅幔曼鰻曼[6]萬[9]晚
t	[1]丹單鄲蛋[2]彈陳-[3]等[5]誕旦[6]但彈蛋憚疍
tʰ	[1]灘攤=癱[2]檀壇=彈=[3]毯疸坦袒[5]歎趁
n	[2]難[3]咱[6]難
l	[2]蘭攔欄闌瀾鱗磷麟鈴-[3]懶[6]爛=
ts	[1]罾[2][3]盞攢[5]贊[6]賺綻棧陣=
tsʰ	[1]餐呻[2]殘塍[3]鏟=產診疹[5]燦璨趁=襯[9]餐
ɬ	[1]珊姍山=刪閂拴鉎{鐵銹}[2]涎[3]散㾪{瘦}[5]散汕疝訕
k	[1]幹幹竿枉艱間奸[3]趕擀簡柬[5]幹間諫澗銅[9]幹
kʰ	[1]刊牽[3]懇墾啃
ŋ	[1]安銨恩[2]顏研[3]眼=[6]岸=雁贗
h	[2]寒=韓邯罕閑=癇嫻痕[3]很狠[5]漢[6]旱焊悍捍汗=翰限莧恨[9]慳{節儉}
∅	[1]安[5]按
#uan	
k	[1]關=菅=鰥[5]慣=
ŋ	[2]頑[5]玩
h	[1]瘓藩翻番=幡吩[2]桓還環煩繁[3]反返飯[5]販[6]幻患豢
∅	[1]灣[3]挽宛豌惋婉腕鯇[5]怨-[9]彎
#en	
p	[1]汴賓檳=繽濱瀕冰[3]扁秉稟炳[5]迸並併
pʰ	[1]篇[2]駢貧頻嬪平=坪=評蘋屏萍瓶=[5]片拼聘姘
m	[2]綿=眠=民岷鳴明=銘茗[3]免冕閩抿泯吻刎[6]命=[9]緬
t	[1]燈丁釘疔叮仃盯[2]亭[3]頂鼎=戥[5]鐙訂釘[6]定=澱錠[9]甸
tʰ	[1]天=[2]田亭=停婷廷庭蜓霆[3]挺[5]等
n	[2]仍凝檸寧嚀[3]輦擰[9]奶{乳房，乳汁}
l	[1]憐棱陵淩菱鯪綾靈零鈴=伶拎玲聆齡羚翎[3]領[6]令另[9]吝
ts	[1]煎-榛征蒸精晶睛貞偵幀旌征[3]拯整=[5]證症正=政[6]靜靖=淨=鄭
tsʰ	[1]親-稱清=青=蜻[2]纏=陳=澄懲橙乘繩承=丞蠅情=晴呈程=成=誠[3]逞騁[5]稱
ɬ	[1]宣喧申伸=紳呻升聲=猩星=腥惺[2]承[5]勝勝性=聖=[6]盛剩
j	[2]延筵研=妍援媛盈營=瑩螢[3]永穎[5]泳詠[9]紉諺刃韌=
k	[1]君兢京荊驚=鯨經經[3]僅謹瑾境景憬警頸[5]勁莖敬竟競勁徑
kʰ	[1]均鈞卿傾[2]乾瓊[3]遣譴肯頃[5]杏慶磬罄[9]圈
h	[1]興[2]形型刑邢[5]興[6]幸
∅	[1]淵應鷹膺鶯鸚櫻英瑛嬰纓[3]影映[5]應=
#in	
p	[1]鞭邊=便-{隨～}彬斌[3]稟品貶匾[5]變[6]便=辨辯辮[9]鬢
pʰ	[1]編偏蝙翩[5]遍騙
m	[1]面[3]免勉娩憫敏皿
t	[1]顛癲陣-[2]藤[3]典碘[5]凳[6]電殿奠佃
tʰ	[2]填[9]天
l	[1]鏈戀[2]連漣蓮鰱聯戀鄰[6]煉練楝=
ts	[1]煎=氈箋專津珍臻真甄升淨[3]剪踐展輾轉[5]戰薦鑽進鎮振震=賑圳[6]濺賤餞撰傳盡燼
tsʰ	[1]千=遷川親[2]泉傳臣[5]秤㵾{寒冷}
ɬ	[1]仙先=辛新薪身娠[2]旋璿神辰=晨蠅[3]鮮癬=蘚選冼損[5]線腎信囟[6]羨善鱔=膳繕單{姓}擅
ȵ	[6]院願孕
j	[1]認[2]然燃言丸沿鉛員緣圓=元原源袁轅=仁齦迎焉[3]衍遠=[6]苑
k	[1]肩=堅鵑涓絹捐跟根巾斤筋軍-[2]勤[3]卷捲倦緊[5]建健鍵毽見=眷券[6]件近[9]娟
kʰ	[1]輕氫[2]虔拳權顴群=[5]勸
ŋ	[2]銀
h	[1]軒掀欣勳馨[2]賢弦舷=玄懸=眩{頭暈}[3]顯蜆犬[5]憲獻釁爨訓-[6]現縣炫
∅	[1]蔫煙胭鶯冤鴛因姻茵殷[2]演寅勻[3]引蚓=隱癮[5]晏堰燕咽宴怨=印胤應-
#un	
p	[1]分-[2]㖹{吹}[3]本=[5]糞笨[9]般搬
pʰ	[1]潘=[2]盤=磐盆[3][5]判叛畔噴噴[9]絆
m	[2]文紋蚊雯聞[3]滿=[5]悶燜
t	[1]端敦鈍[2]唇-[3]斷頓墩[5]斷扽[6]段鍛緞沌燉盾遁[9]噸墩
tʰ	[1]吞[2]團=屯豚臀鶉[5]褪=
n	[1]韌-閏[2]暖[3]暖忍[5]潤
l	[2]鸞鑾巒欒磷侖倫淪輪綸[6]亂=論[9]攣
ts	[1]尊遵[2]前船[3]攢准準[5]顫晉震-俊竣峻駿[6]旋漩[9]樽
tsʰ	[1]伸-春椿[2]全痊詮秦塵存[3]竄喘揣忖蠢[5]篡篆寸
ɬ	[1]孫[2]辰-詢荀旬循巡馴唇=諄純蓴醇淳[3]筍榫[5]蒜訊汛遜迅殉舜瞬[6]蜃慎順
ȵ	[3]乳蕊阮嫩[9]蕊
k	[1]觀冠軍=[2]裙群-[3]管=館滾混[5]貫灌=罐冠棍[6]郡[9]官
kʰ	[1]寬歡昆鯤坤[2]蜷[3]款捆菌[5]困
h	[1]昏=婚分=芬紛氛吩份熏薰[2]完痕魂渾焚墳汾葷雲[3]粉忿[5]緩喚煥渙奮訓=[6]憤
∅	[1]溫瘟[2]巡[3]皖蚓-隱隕殞醞穩允=尹[6]韻運
#aŋ	
